Store,Dept,Inventory Dollars,Format
490,80,8792.96,WM Supercenter
491,80,17906.22,WM Supercenter
492,80,23847.92,WM Supercenter
493,80,24432.59,WM Supercenter
494,80,11421.67,WM Supercenter
495,80,16293.24,WM Supercenter
497,80,13744.94,WM Supercenter
498,80,8541.14,WM Supercenter
499,80,16584.36,WM Supercenter
500,80,19377.31,WM Supercenter
501,80,21355.83,WM Supercenter
502,80,9287.37,WM Supercenter
504,80,15507.83,WM Supercenter
505,80,14505.95,WM Supercenter
506,80,9651.89,WM Supercenter
507,80,24824.73,WM Supercenter
508,80,11017.25,WM Supercenter
510,80,14031.09,WM Supercenter
511,80,16370,WM Supercenter
512,80,21163.89,WM Supercenter
513,80,12075.99,WM Supercenter
514,80,12989.42,WM Supercenter
515,80,10388.16,WM Supercenter
516,80,13344.31,WM Supercenter
517,80,11396.95,WM Supercenter
518,80,21518.81,WM Supercenter
519,80,11806.78,WM Supercenter
520,80,13471.78,WM Supercenter
521,80,14880.64,WM Supercenter
522,80,7481.71,WM Supercenter
523,80,12795.42,WM Supercenter
524,80,6871.57,WM Supercenter
525,80,12078.97,Neighborhood Market
526,80,9386.6,WM Supercenter
527,80,7734.15,WM Supercenter
528,80,13785.45,WM Supercenter
529,80,12306.65,WM Supercenter
530,80,67600.43,WM Supercenter
531,80,10146.06,WM Supercenter
532,80,19526.01,WM Supercenter
533,80,13115.46,WM Supercenter
535,80,11376.54,WM Supercenter
536,80,12513.47,WM Supercenter
537,80,23759.55,WM Supercenter
538,80,17952.27,WM Supercenter
539,80,13633.37,WM Supercenter
540,80,10058.24,WM Supercenter
541,80,26809.4,WM Supercenter
542,80,12096.39,WM Supercenter
543,80,19303.32,WM Supercenter
544,80,14609.63,WM Supercenter
546,80,21640.01,WM Supercenter
547,80,14598.19,WM Supercenter
548,80,38479.43,WM Supercenter
549,80,11852.82,WM Supercenter
550,80,13626.73,WM Supercenter
551,80,21649.51,WM Supercenter
553,80,18324.11,WM Supercenter
555,80,15048.49,WM Supercenter
556,80,12352.9,WM Supercenter
557,80,14169.88,WM Supercenter
558,80,13067.11,WM Supercenter
559,80,23291.83,WM Supercenter
560,80,15589.39,WM Supercenter
561,80,10956.9,WM Supercenter
562,80,14131.98,WM Supercenter
563,80,17175.02,WM Supercenter
564,80,17734.73,WM Supercenter
565,80,9686.25,WM Supercenter
566,80,14469.19,WM Supercenter
568,80,13725,WM Supercenter
569,80,14596.66,WM Supercenter
571,80,16966.92,WM Supercenter
572,80,16170.27,WM Supercenter
573,80,18210.3,WM Supercenter
574,80,12011.22,WM Supercenter
575,80,12959.22,WM Supercenter
576,80,26423.6,WM Supercenter
577,80,17986.05,WM Supercenter
578,80,15832.42,WM Supercenter
579,80,18460.39,WM Supercenter
580,80,12439.7,WM Supercenter
581,80,10320.37,WM Supercenter
582,80,25010.56,WM Supercenter
583,80,17959.95,WM Supercenter
584,80,21385,WM Supercenter
