Market,Region,Store Nbr,Tier,Details
105,9,5055,Tier 1,ISA On in Total Store
800,29,3681,Tier 1,ISA On in Total Store
50,5,3274,Tier 1,ISA On in Total Store
109,9,2591,Tier 1,ISA On in Total Store
458,57,5938,Tier 1,ISA On in Total Store
290,75,2160,Tier 1,ISA On in Total Store
15,14,1207,Tier 1,ISA On in Total Store
300,26,1767,Tier 1,ISA On in Total Store
512,61,5611,Tier 1,ISA On in Total Store
141,13,916,Tier 1,ISA On in Total Store
350,44,975,Tier 1,ISA On in Total Store
219,21,5466,Tier 1,ISA On in Total Store
308,26,1322,Tier 1,ISA On in Total Store
401,54,3366,Tier 1,ISA On in Total Store
288,75,4623,Tier 1,ISA On in Total Store
68,6,3585,Tier 1,ISA On in Total Store
20,2,2475,Tier 1,ISA On in Total Store
19,2,3709,Tier 1,ISA On in Total Store
294,2,1242,Tier 1,ISA On in Total Store
309,26,5063,Tier 1,ISA On in Total Store
188,17,2152,Tier 1,ISA On in Total Store
89,9,2843,Tier 1,ISA On in Total Store
129,13,1016,Tier 1,ISA On in Total Store
165,22,1742,Tier 1,ISA On in Total Store
23,2,1578,Tier 1,ISA On in Total Store
294,2,1317,Tier 1,ISA On in Total Store
499,59,4848,Tier 1,ISA On in Total Store
585,47,3533,Tier 1,ISA On in Total Store
502,59,4220,Tier 1,ISA On in Total Store
136,12,716,Tier 1,ISA On in Total Store
297,26,5118,Tier 1,ISA On in Total Store
92,9,974,Tier 1,ISA On in Total Store
86,6,2599,Tier 1,ISA On in Total Store
87,6,765,Tier 1,ISA On in Total Store
91,9,955,Tier 1,ISA On in Total Store
98,3,3309,Tier 1,ISA On in Total Store
392,56,3408,Tier 1,ISA On in Total Store
284,75,1860,Tier 1,ISA On in Total Store
455,56,4202,Tier 1,ISA On in Total Store
234,22,1591,Tier 1,ISA On in Total Store
378,54,980,Tier 1,ISA On in Total Store
70,46,812,Tier 1,ISA On in Total Store
165,22,5476,Tier 1,ISA On in Total Store
577,17,3795,Tier 1,ISA On in Total Store
39,2,1382,Tier 1,ISA On in Total Store
171,17,2286,Tier 1,ISA On in Total Store
272,25,317,Tier 1,ISA On in Total Store
32,3,2733,Tier 1,ISA On in Total Store
71,46,945,Tier 1,ISA On in Total Store
5,12,6878,Tier 1,ISA On in Total Store
305,4,5298,Tier 1,ISA On in Total Store
81,5,781,Tier 1,ISA On in Total Store
515,61,3026,Tier 1,ISA On in Total Store
264,25,5442,Tier 1,ISA On in Total Store
450,56,1983,Tier 1,ISA On in Total Store
23,2,3621,Tier 1,ISA On in Total Store
225,21,3749,Tier 1,ISA On in Total Store
103,72,4826,Tier 1,ISA On in Total Store
353,44,139,Tier 1,ISA On in Total Store
362,40,577,Tier 1,ISA On in Total Store
120,2,1469,Tier 1,ISA On in Total Store
534,72,2741,Tier 1,ISA On in Total Store
347,44,10,Tier 1,ISA On in Total Store
528,64,2835,Tier 1,ISA On in Total Store
262,25,5038,Tier 1,ISA On in Total Store
321,42,279,Tier 1,ISA On in Total Store
217,21,2426,Tier 1,ISA On in Total Store
580,25,1002,Tier 1,ISA On in Total Store
279,25,2231,Tier 1,ISA On in Total Store
116,9,859,Tier 1,ISA On in Total Store
35,2,4583,Tier 1,ISA On in Total Store
92,9,649,Tier 1,ISA On in Total Store
327,42,83,Tier 1,ISA On in Total Store
125,13,2706,Tier 1,ISA On in Total Store
308,26,4477,Tier 2,GM Pause
263,53,1490,Tier 1,ISA On in Total Store
369,46,1532,Tier 1,ISA On in Total Store
371,46,1746,Tier 1,ISA On in Total Store
24,2,2154,Tier 1,ISA On in Total Store
458,57,3516,Tier 1,ISA On in Total Store
485,59,5308,Tier 1,ISA On in Total Store
62,6,2505,Tier 1,ISA On in Total Store
41,4,4506,Tier 1,ISA On in Total Store
115,9,1171,Tier 1,ISA On in Total Store
233,22,5795,Tier 1,ISA On in Total Store
457,56,1910,Tier 1,ISA On in Total Store
290,75,2808,Tier 1,ISA On in Total Store
187,17,2424,Tier 1,ISA On in Total Store
376,47,2892,Tier 1,ISA On in Total Store
30,3,2754,Tier 1,ISA On in Total Store
541,64,4659,Tier 1,ISA On in Total Store
223,21,1331,Tier 1,ISA On in Total Store
223,21,1495,Tier 1,ISA On in Total Store
495,59,3166,Tier 1,ISA On in Total Store
379,47,5370,Tier 1,ISA On in Total Store
14,14,7247,Tier 1,ISA On in Total Store
290,75,1969,Tier 2,GM Pause
514,60,2516,Tier 1,ISA On in Total Store
251,25,995,Tier 1,ISA On in Total Store
306,4,3371,Tier 1,ISA On in Total Store
361,40,184,Tier 1,ISA On in Total Store
397,61,3356,Tier 1,ISA On in Total Store
208,20,2063,Tier 1,ISA On in Total Store
286,75,1406,Tier 1,ISA On in Total Store
371,46,2482,Tier 1,ISA On in Total Store
334,42,34,Tier 1,ISA On in Total Store
499,59,4431,Tier 1,ISA On in Total Store
10,14,863,Tier 1,ISA On in Total Store
309,26,3700,Tier 1,ISA On in Total Store
172,17,3420,Tier 1,ISA On in Total Store
90,9,1220,Tier 1,ISA On in Total Store
109,9,1851,Tier 1,ISA On in Total Store
364,46,1369,Tier 1,ISA On in Total Store
447,57,2557,Tier 1,ISA On in Total Store
13,14,5262,Tier 1,ISA On in Total Store
341,25,361,Tier 1,ISA On in Total Store
490,61,3126,Tier 1,ISA On in Total Store
268,25,3004,Tier 1,ISA On in Total Store
145,12,93,Tier 1,ISA On in Total Store
258,41,1113,Tier 1,ISA On in Total Store
506,6,508,Tier 1,ISA On in Total Store
27,3,1072,Tier 1,ISA On in Total Store
201,19,4439,Tier 1,ISA On in Total Store
66,13,457,Tier 1,ISA On in Total Store
414,52,2764,Tier 1,ISA On in Total Store
495,59,5421,Tier 1,ISA On in Total Store
225,21,2250,Tier 1,ISA On in Total Store
21,2,5482,Tier 1,ISA On in Total Store
167,22,3475,Tier 1,ISA On in Total Store
478,60,1925,Tier 1,ISA On in Total Store
333,40,379,Tier 1,ISA On in Total Store
335,40,30,Tier 1,ISA On in Total Store
352,44,389,Tier 1,ISA On in Total Store
328,42,18,Tier 1,ISA On in Total Store
559,72,5255,Tier 1,ISA On in Total Store
29,4,1011,Tier 1,ISA On in Total Store
251,25,1310,Tier 1,ISA On in Total Store
335,40,82,Tier 1,ISA On in Total Store
74,5,535,Tier 1,ISA On in Total Store
87,6,4055,Tier 1,ISA On in Total Store
566,59,5182,Tier 1,ISA On in Total Store
496,59,3646,Tier 1,ISA On in Total Store
25,2,1720,Tier 1,ISA On in Total Store
364,46,5303,Tier 1,ISA On in Total Store
352,44,1626,Tier 1,ISA On in Total Store
116,9,5035,Tier 1,ISA On in Total Store
482,25,1557,Tier 1,ISA On in Total Store
88,46,782,Tier 1,ISA On in Total Store
258,41,739,Tier 1,ISA On in Total Store
449,57,2001,Tier 1,ISA On in Total Store
27,3,1006,Tier 1,ISA On in Total Store
490,61,3019,Tier 1,ISA On in Total Store
134,13,75,Tier 1,ISA On in Total Store
454,56,2464,Tier 1,ISA On in Total Store
41,4,4440,Tier 1,ISA On in Total Store
217,21,5203,Tier 1,ISA On in Total Store
481,61,5602,Tier 1,ISA On in Total Store
488,72,2396,Tier 1,ISA On in Total Store
42,4,1035,Tier 1,ISA On in Total Store
107,9,3527,Tier 1,ISA On in Total Store
218,21,1427,Tier 1,ISA On in Total Store
256,41,4118,Tier 1,ISA On in Total Store
96,72,4425,Tier 1,ISA On in Total Store
138,14,1271,Tier 1,ISA On in Total Store
156,16,2118,Tier 1,ISA On in Total Store
435,53,3488,Tier 1,ISA On in Total Store
453,56,1755,Tier 1,ISA On in Total Store
453,56,2190,Tier 1,ISA On in Total Store
225,21,4609,Tier 1,ISA On in Total Store
206,19,2559,Tier 1,ISA On in Total Store
152,41,657,Tier 1,ISA On in Total Store
464,57,5032,Tier 1,ISA On in Total Store
41,4,1164,Tier 1,ISA On in Total Store
52,5,2427,Tier 1,ISA On in Total Store
341,25,1418,Tier 1,ISA On in Total Store
311,20,3772,Tier 1,ISA On in Total Store
223,21,3502,Tier 1,ISA On in Total Store
166,22,2141,Tier 2,GM Pause
41,4,4521,Tier 1,ISA On in Total Store
91,9,5894,Tier 1,ISA On in Total Store
388,54,5458,Tier 1,ISA On in Total Store
16,3,3461,Tier 1,ISA On in Total Store
384,46,5492,Tier 1,ISA On in Total Store
22,2,1488,Tier 1,ISA On in Total Store
38,4,1030,Tier 1,ISA On in Total Store
128,13,489,Tier 1,ISA On in Total Store
159,16,1970,Tier 1,ISA On in Total Store
88,46,3518,Tier 1,ISA On in Total Store
102,72,7221,Tier 1,ISA On in Total Store
214,20,1839,Tier 1,ISA On in Total Store
242,41,4450,Tier 1,ISA On in Total Store
450,56,2054,Tier 1,ISA On in Total Store
561,64,4046,Tier 1,ISA On in Total Store
82,5,1253,Tier 1,ISA On in Total Store
32,3,907,Tier 1,ISA On in Total Store
161,16,2283,Tier 1,ISA On in Total Store
328,42,11,Tier 1,ISA On in Total Store
42,4,3733,Tier 1,ISA On in Total Store
562,64,7361,Tier 1,ISA On in Total Store
506,6,1126,Tier 1,ISA On in Total Store
392,56,3729,Tier 1,ISA On in Total Store
233,22,2945,Tier 1,ISA On in Total Store
396,57,1560,Tier 1,ISA On in Total Store
533,64,2984,Tier 1,ISA On in Total Store
580,25,870,Tier 1,ISA On in Total Store
558,22,2871,Tier 1,ISA On in Total Store
149,12,4483,Tier 1,ISA On in Total Store
242,41,5417,Tier 1,ISA On in Total Store
9,61,4603,Tier 1,ISA On in Total Store
71,46,927,Tier 1,ISA On in Total Store
444,53,2452,Tier 1,ISA On in Total Store
299,26,4499,Tier 1,ISA On in Total Store
219,21,3580,Tier 1,ISA On in Total Store
438,53,1669,Tier 1,ISA On in Total Store
170,22,3564,Tier 1,ISA On in Total Store
78,6,490,Tier 1,ISA On in Total Store
271,25,233,Tier 1,ISA On in Total Store
160,16,3561,Tier 2,GM Pause
339,40,243,Tier 1,ISA On in Total Store
18,2,5812,Tier 1,ISA On in Total Store
25,2,780,Tier 1,ISA On in Total Store
24,2,4436,Tier 1,ISA On in Total Store
134,13,405,Tier 1,ISA On in Total Store
528,64,6098,Tier 1,ISA On in Total Store
409,44,794,Tier 2,GM Pause
70,46,600,Tier 1,ISA On in Total Store
561,64,2975,Tier 1,ISA On in Total Store
515,61,2826,Tier 1,ISA On in Total Store
143,13,2715,Tier 1,ISA On in Total Store
339,40,2616,Tier 1,ISA On in Total Store
29,4,7181,Tier 1,ISA On in Total Store
153,12,406,Tier 1,ISA On in Total Store
254,41,1341,Tier 1,ISA On in Total Store
144,12,2846,Tier 1,ISA On in Total Store
410,44,111,Tier 1,ISA On in Total Store
71,46,3826,Tier 1,ISA On in Total Store
50,5,807,Tier 1,ISA On in Total Store
149,12,1226,Tier 1,ISA On in Total Store
216,20,3581,Tier 1,ISA On in Total Store
504,64,5624,Tier 1,ISA On in Total Store
268,25,5485,Tier 1,ISA On in Total Store
509,59,3605,Tier 1,ISA On in Total Store
562,64,3509,Tier 1,ISA On in Total Store
566,59,5716,Tier 1,ISA On in Total Store
49,5,3433,Tier 1,ISA On in Total Store
156,16,3409,Tier 1,ISA On in Total Store
451,56,5435,Tier 1,ISA On in Total Store
122,2,2932,Tier 1,ISA On in Total Store
424,52,1999,Tier 1,ISA On in Total Store
435,53,2828,Tier 1,ISA On in Total Store
5,12,712,Tier 1,ISA On in Total Store
405,46,1438,Tier 1,ISA On in Total Store
543,64,5102,Tier 1,ISA On in Total Store
36,4,1359,Tier 1,ISA On in Total Store
369,46,2512,Tier 1,ISA On in Total Store
368,46,1549,Tier 1,ISA On in Total Store
448,57,2951,Tier 1,ISA On in Total Store
553,9,1511,Tier 1,ISA On in Total Store
37,4,5087,Tier 2,GM Pause
451,56,4488,Tier 1,ISA On in Total Store
526,64,4415,Tier 1,ISA On in Total Store
552,61,5007,Tier 1,ISA On in Total Store
141,13,2717,Tier 1,ISA On in Total Store
161,16,1873,Tier 2,GM Pause
455,56,1988,Tier 1,ISA On in Total Store
800,29,3694,Tier 1,ISA On in Total Store
422,52,1861,Tier 1,ISA On in Total Store
137,12,660,Tier 1,ISA On in Total Store
39,2,4487,Tier 1,ISA On in Total Store
157,16,2139,Tier 2,GM Pause
447,57,5134,Tier 1,ISA On in Total Store
36,4,3367,Tier 1,ISA On in Total Store
237,22,1607,Tier 1,ISA On in Total Store
515,61,3132,Tier 1,ISA On in Total Store
109,9,1349,Tier 1,ISA On in Total Store
264,25,1848,Tier 1,ISA On in Total Store
462,57,3464,Tier 1,ISA On in Total Store
266,25,1256,Tier 1,ISA On in Total Store
314,75,3768,Tier 1,ISA On in Total Store
334,42,17,Tier 1,ISA On in Total Store
16,3,932,Tier 1,ISA On in Total Store
223,21,2429,Tier 1,ISA On in Total Store
90,9,1086,Tier 1,ISA On in Total Store
24,2,1373,Tier 1,ISA On in Total Store
580,25,1162,Tier 1,ISA On in Total Store
77,6,3279,Tier 1,ISA On in Total Store
800,29,3687,Tier 1,ISA On in Total Store
264,25,1420,Tier 1,ISA On in Total Store
339,40,5313,Tier 1,ISA On in Total Store
511,56,5426,Tier 2,GM Pause
496,59,5367,Tier 1,ISA On in Total Store
221,21,1463,Tier 1,ISA On in Total Store
367,46,1291,Tier 1,ISA On in Total Store
266,25,5965,Tier 1,ISA On in Total Store
265,25,2215,Tier 1,ISA On in Total Store
515,61,5663,Tier 1,ISA On in Total Store
233,22,2340,Tier 1,ISA On in Total Store
41,4,881,Tier 1,ISA On in Total Store
269,25,1489,Tier 2,GM Pause
340,40,2694,Tier 1,ISA On in Total Store
301,26,1379,Tier 1,ISA On in Total Store
533,64,2394,Tier 1,ISA On in Total Store
1,14,991,Tier 1,ISA On in Total Store
116,9,941,Tier 1,ISA On in Total Store
583,5,5987,Tier 1,ISA On in Total Store
287,75,1730,Tier 1,ISA On in Total Store
283,75,2258,Tier 2,GM Pause
272,25,253,Tier 1,ISA On in Total Store
176,17,5447,Tier 1,ISA On in Total Store
465,57,3477,Tier 1,ISA On in Total Store
81,5,813,Tier 1,ISA On in Total Store
87,6,404,Tier 1,ISA On in Total Store
192,17,2785,Tier 1,ISA On in Total Store
454,56,2735,Tier 1,ISA On in Total Store
432,47,3151,Tier 1,ISA On in Total Store
495,59,5697,Tier 1,ISA On in Total Store
488,72,2406,Tier 1,ISA On in Total Store
479,5,5247,Tier 1,ISA On in Total Store
544,72,4672,Tier 1,ISA On in Total Store
167,22,5881,Tier 1,ISA On in Total Store
118,9,2484,Tier 1,ISA On in Total Store
26,2,5814,Tier 1,ISA On in Total Store
3,14,2713,Tier 1,ISA On in Total Store
327,42,714,Tier 1,ISA On in Total Store
13,14,4497,Tier 1,ISA On in Total Store
499,59,4148,Tier 1,ISA On in Total Store
388,54,1199,Tier 1,ISA On in Total Store
562,64,3542,Tier 1,ISA On in Total Store
229,20,1568,Tier 1,ISA On in Total Store
222,21,1718,Tier 1,ISA On in Total Store
409,44,3103,Tier 1,ISA On in Total Store
296,26,2256,Tier 1,ISA On in Total Store
97,3,1375,Tier 1,ISA On in Total Store
515,61,2487,Tier 2,GM Pause
551,61,3084,Tier 1,ISA On in Total Store
405,46,5168,Tier 1,ISA On in Total Store
359,40,783,Tier 2,GM Pause
180,16,3269,Tier 1,ISA On in Total Store
102,72,5321,Tier 1,ISA On in Total Store
271,25,196,Tier 1,ISA On in Total Store
304,4,1039,Tier 1,ISA On in Total Store
50,5,2834,Tier 1,ISA On in Total Store
27,3,899,Tier 1,ISA On in Total Store
465,57,2609,Tier 1,ISA On in Total Store
364,46,4252,Tier 1,ISA On in Total Store
336,40,21,Tier 1,ISA On in Total Store
281,75,3489,Tier 1,ISA On in Total Store
149,12,4435,Tier 1,ISA On in Total Store
170,22,5649,Tier 1,ISA On in Total Store
435,53,2668,Tier 1,ISA On in Total Store
373,46,4430,Tier 1,ISA On in Total Store
138,14,205,Tier 1,ISA On in Total Store
14,14,2739,Tier 1,ISA On in Total Store
11,14,2306,Tier 1,ISA On in Total Store
115,9,3370,Tier 1,ISA On in Total Store
112,9,5220,Tier 1,ISA On in Total Store
458,57,2253,Tier 1,ISA On in Total Store
392,56,2189,Tier 1,ISA On in Total Store
49,5,896,Tier 1,ISA On in Total Store
272,25,198,Tier 1,ISA On in Total Store
73,46,3645,Tier 1,ISA On in Total Store
247,21,1304,Tier 1,ISA On in Total Store
484,57,2292,Tier 1,ISA On in Total Store
206,19,2558,Tier 1,ISA On in Total Store
102,72,6941,Tier 1,ISA On in Total Store
392,56,4370,Tier 1,ISA On in Total Store
25,2,3389,Tier 1,ISA On in Total Store
23,2,3775,Tier 1,ISA On in Total Store
543,64,5464,Tier 1,ISA On in Total Store
152,41,879,Tier 1,ISA On in Total Store
162,17,2331,Tier 1,ISA On in Total Store
246,21,2491,Tier 1,ISA On in Total Store
351,44,31,Tier 1,ISA On in Total Store
65,6,4512,Tier 1,ISA On in Total Store
457,56,2537,Tier 1,ISA On in Total Store
20,2,3710,Tier 1,ISA On in Total Store
85,6,321,Tier 1,ISA On in Total Store
485,59,6172,Tier 1,ISA On in Total Store
405,46,2794,Tier 1,ISA On in Total Store
25,2,3388,Tier 1,ISA On in Total Store
215,20,5410,Tier 1,ISA On in Total Store
384,46,906,Tier 1,ISA On in Total Store
55,5,286,Tier 1,ISA On in Total Store
13,14,1229,Tier 1,ISA On in Total Store
149,12,3495,Tier 1,ISA On in Total Store
101,3,2920,Tier 1,ISA On in Total Store
801,29,1822,Tier 1,ISA On in Total Store
216,20,2149,Tier 1,ISA On in Total Store
217,21,5185,Tier 1,ISA On in Total Store
146,41,107,Tier 1,ISA On in Total Store
227,20,5381,Tier 1,ISA On in Total Store
368,46,5369,Tier 2,GM Pause
89,9,705,Tier 1,ISA On in Total Store
120,2,669,Tier 1,ISA On in Total Store
347,44,12,Tier 1,ISA On in Total Store
83,5,5480,Tier 1,ISA On in Total Store
183,16,1954,Tier 1,ISA On in Total Store
508,75,1985,Tier 1,ISA On in Total Store
472,60,5272,Tier 1,ISA On in Total Store
435,53,1394,Tier 1,ISA On in Total Store
233,22,2888,Tier 1,ISA On in Total Store
110,9,5854,Tier 1,ISA On in Total Store
44,5,2978,Tier 1,ISA On in Total Store
91,9,4588,Tier 1,ISA On in Total Store
352,44,3430,Tier 1,ISA On in Total Store
405,46,3220,Tier 1,ISA On in Total Store
5,12,434,Tier 1,ISA On in Total Store
380,47,5676,Tier 1,ISA On in Total Store
500,59,4147,Tier 1,ISA On in Total Store
217,21,2725,Tier 1,ISA On in Total Store
3,14,681,Tier 1,ISA On in Total Store
74,5,536,Tier 1,ISA On in Total Store
90,9,5250,Tier 1,ISA On in Total Store
371,46,3771,Tier 1,ISA On in Total Store
304,4,1064,Tier 1,ISA On in Total Store
561,64,5702,Tier 1,ISA On in Total Store
400,56,1900,Tier 1,ISA On in Total Store
80,6,5165,Tier 1,ISA On in Total Store
52,5,5311,Tier 1,ISA On in Total Store
143,13,969,Tier 1,ISA On in Total Store
122,2,1318,Tier 1,ISA On in Total Store
506,6,3056,Tier 1,ISA On in Total Store
494,59,5372,Tier 1,ISA On in Total Store
30,3,1293,Tier 1,ISA On in Total Store
347,44,130,Tier 1,ISA On in Total Store
61,6,504,Tier 2,GM Pause
11,14,287,Tier 1,ISA On in Total Store
227,20,3838,Tier 1,ISA On in Total Store
28,3,864,Tier 1,ISA On in Total Store
83,5,1185,Tier 1,ISA On in Total Store
111,9,5218,Tier 1,ISA On in Total Store
223,21,3765,Tier 1,ISA On in Total Store
306,4,1027,Tier 1,ISA On in Total Store
317,20,2036,Tier 1,ISA On in Total Store
397,61,5269,Tier 1,ISA On in Total Store
202,19,5160,Tier 1,ISA On in Total Store
60,6,194,Tier 1,ISA On in Total Store
528,64,3449,Tier 1,ISA On in Total Store
552,61,5981,Tier 1,ISA On in Total Store
287,75,4350,Tier 1,ISA On in Total Store
52,5,467,Tier 1,ISA On in Total Store
64,6,3584,Tier 1,ISA On in Total Store
136,12,1530,Tier 1,ISA On in Total Store
453,56,1704,Tier 1,ISA On in Total Store
425,53,4257,Tier 1,ISA On in Total Store
205,19,2693,Tier 1,ISA On in Total Store
266,25,1497,Tier 1,ISA On in Total Store
316,20,2244,Tier 1,ISA On in Total Store
411,47,2131,Tier 1,ISA On in Total Store
515,61,8958,Tier 2,GM Pause
201,19,5065,Tier 1,ISA On in Total Store
183,16,2130,Tier 1,ISA On in Total Store
376,47,3313,Tier 1,ISA On in Total Store
439,53,1449,Tier 1,ISA On in Total Store
442,53,1635,Tier 1,ISA On in Total Store
561,64,5824,Tier 1,ISA On in Total Store
308,26,2472,Tier 1,ISA On in Total Store
42,4,629,Tier 1,ISA On in Total Store
225,21,2447,Tier 1,ISA On in Total Store
445,57,1692,Tier 1,ISA On in Total Store
180,16,2140,Tier 2,GM Pause
105,9,3417,Tier 1,ISA On in Total Store
577,17,3562,Tier 1,ISA On in Total Store
271,25,833,Tier 1,ISA On in Total Store
18,2,2753,Tier 1,ISA On in Total Store
154,16,2289,Tier 1,ISA On in Total Store
376,47,5137,Tier 1,ISA On in Total Store
114,9,779,Tier 1,ISA On in Total Store
388,54,5099,Tier 2,GM Pause
197,19,2912,Tier 2,GM Pause
392,56,3277,Tier 1,ISA On in Total Store
407,47,4322,Tier 2,GM Pause
465,57,5072,Tier 1,ISA On in Total Store
419,52,3233,Tier 1,ISA On in Total Store
477,60,1784,Tier 1,ISA On in Total Store
293,75,3720,Tier 1,ISA On in Total Store
448,57,3523,Tier 1,ISA On in Total Store
112,9,3418,Tier 1,ISA On in Total Store
92,9,973,Tier 2,GM Pause
370,46,1598,Tier 2,GM Pause
403,54,3589,Tier 1,ISA On in Total Store
463,57,1832,Tier 1,ISA On in Total Store
582,54,3208,Tier 1,ISA On in Total Store
345,44,168,Tier 1,ISA On in Total Store
123,2,678,Tier 1,ISA On in Total Store
1,14,934,Tier 1,ISA On in Total Store
298,26,3658,Tier 1,ISA On in Total Store
461,57,1899,Tier 1,ISA On in Total Store
108,9,5882,Tier 1,ISA On in Total Store
361,40,4553,Tier 1,ISA On in Total Store
424,52,1633,Tier 1,ISA On in Total Store
506,6,1198,Tier 1,ISA On in Total Store
115,9,3474,Tier 2,GM Pause
213,19,5471,Tier 1,ISA On in Total Store
82,5,2133,Tier 1,ISA On in Total Store
582,54,4696,Tier 1,ISA On in Total Store
83,5,3169,Tier 1,ISA On in Total Store
321,42,3231,Tier 1,ISA On in Total Store
81,5,407,Tier 1,ISA On in Total Store
263,53,2532,Tier 1,ISA On in Total Store
321,42,16,Tier 1,ISA On in Total Store
68,6,602,Tier 1,ISA On in Total Store
76,5,6929,Tier 1,ISA On in Total Store
373,46,6480,Tier 1,ISA On in Total Store
239,21,1665,Tier 1,ISA On in Total Store
357,40,138,Tier 1,ISA On in Total Store
327,42,530,Tier 1,ISA On in Total Store
165,22,1807,Tier 1,ISA On in Total Store
545,72,4357,Tier 1,ISA On in Total Store
81,5,381,Tier 1,ISA On in Total Store
89,9,2695,Tier 1,ISA On in Total Store
528,64,5290,Tier 1,ISA On in Total Store
226,17,1623,Tier 2,GM Pause
482,25,1518,Tier 1,ISA On in Total Store
349,44,1148,Tier 1,ISA On in Total Store
811,29,2240,Tier 1,ISA On in Total Store
492,72,4619,Tier 1,ISA On in Total Store
294,2,1036,Tier 1,ISA On in Total Store
248,21,1804,Tier 2,GM Pause
260,41,493,Tier 1,ISA On in Total Store
432,47,4358,Tier 1,ISA On in Total Store
476,60,5462,Tier 1,ISA On in Total Store
504,64,7362,Tier 1,ISA On in Total Store
335,40,19,Tier 1,ISA On in Total Store
256,41,709,Tier 1,ISA On in Total Store
238,19,1487,Tier 1,ISA On in Total Store
171,17,2156,Tier 2,GM Pause
548,72,5221,Tier 1,ISA On in Total Store
271,25,216,Tier 1,ISA On in Total Store
141,13,1025,Tier 1,ISA On in Total Store
39,2,1130,Tier 1,ISA On in Total Store
219,21,1594,Tier 1,ISA On in Total Store
341,25,1761,Tier 1,ISA On in Total Store
488,72,7299,Tier 2,GM Pause
77,6,1313,Tier 1,ISA On in Total Store
512,61,4174,Tier 1,ISA On in Total Store
454,56,2598,Tier 1,ISA On in Total Store
369,46,3241,Tier 1,ISA On in Total Store
273,25,936,Tier 1,ISA On in Total Store
283,75,5968,Tier 1,ISA On in Total Store
20,2,1184,Tier 1,ISA On in Total Store
425,53,1038,Tier 1,ISA On in Total Store
127,42,3868,Tier 1,ISA On in Total Store
453,56,2048,Tier 1,ISA On in Total Store
415,52,2889,Tier 1,ISA On in Total Store
287,75,2295,Tier 1,ISA On in Total Store
154,16,2228,Tier 1,ISA On in Total Store
37,4,5705,Tier 2,GM Pause
504,64,3199,Tier 1,ISA On in Total Store
249,25,2787,Tier 1,ISA On in Total Store
350,44,147,Tier 1,ISA On in Total Store
566,59,2488,Tier 1,ISA On in Total Store
181,16,2758,Tier 1,ISA On in Total Store
423,52,5089,Tier 1,ISA On in Total Store
214,20,4285,Tier 1,ISA On in Total Store
329,12,70,Tier 1,ISA On in Total Store
201,19,2678,Tier 1,ISA On in Total Store
339,40,60,Tier 1,ISA On in Total Store
108,9,2963,Tier 1,ISA On in Total Store
38,4,630,Tier 1,ISA On in Total Store
467,60,2249,Tier 1,ISA On in Total Store
112,9,2627,Tier 1,ISA On in Total Store
475,60,1817,Tier 1,ISA On in Total Store
357,40,20,Tier 1,ISA On in Total Store
279,25,4511,Tier 1,ISA On in Total Store
451,56,2119,Tier 1,ISA On in Total Store
498,59,7315,Tier 1,ISA On in Total Store
583,5,259,Tier 1,ISA On in Total Store
345,44,823,Tier 1,ISA On in Total Store
102,72,5622,Tier 1,ISA On in Total Store
454,56,5192,Tier 1,ISA On in Total Store
356,44,1597,Tier 1,ISA On in Total Store
391,47,1434,Tier 1,ISA On in Total Store
292,75,2015,Tier 1,ISA On in Total Store
42,4,4237,Tier 1,ISA On in Total Store
219,21,5857,Tier 1,ISA On in Total Store
70,46,5216,Tier 2,GM Pause
484,57,2948,Tier 1,ISA On in Total Store
141,13,954,Tier 1,ISA On in Total Store
239,21,1728,Tier 1,ISA On in Total Store
58,64,5715,Tier 1,ISA On in Total Store
90,9,817,Tier 2,GM Pause
260,41,571,Tier 2,GM Pause
476,60,2927,Tier 1,ISA On in Total Store
214,20,5066,Tier 1,ISA On in Total Store
153,12,272,Tier 1,ISA On in Total Store
208,20,2197,Tier 1,ISA On in Total Store
166,22,5229,Tier 1,ISA On in Total Store
251,25,4417,Tier 1,ISA On in Total Store
312,75,3243,Tier 1,ISA On in Total Store
368,46,3896,Tier 1,ISA On in Total Store
47,44,240,Tier 2,GM Pause
104,9,1085,Tier 1,ISA On in Total Store
361,40,319,Tier 1,ISA On in Total Store
397,61,5259,Tier 2,GM Pause
551,61,5684,Tier 1,ISA On in Total Store
387,46,851,Tier 1,ISA On in Total Store
415,52,2716,Tier 1,ISA On in Total Store
422,52,1864,Tier 2,GM Pause
103,72,4140,Tier 1,ISA On in Total Store
275,25,3602,Tier 1,ISA On in Total Store
137,12,394,Tier 1,ISA On in Total Store
29,4,728,Tier 1,ISA On in Total Store
352,44,4241,Tier 1,ISA On in Total Store
251,25,1356,Tier 1,ISA On in Total Store
468,56,5424,Tier 1,ISA On in Total Store
322,42,359,Tier 1,ISA On in Total Store
201,19,5064,Tier 1,ISA On in Total Store
583,5,3224,Tier 1,ISA On in Total Store
324,42,5706,Tier 1,ISA On in Total Store
161,16,2261,Tier 1,ISA On in Total Store
352,44,2804,Tier 1,ISA On in Total Store
140,13,3060,Tier 1,ISA On in Total Store
5,12,306,Tier 1,ISA On in Total Store
544,72,3184,Tier 1,ISA On in Total Store
136,12,155,Tier 1,ISA On in Total Store
494,59,6470,Tier 1,ISA On in Total Store
326,42,5,Tier 1,ISA On in Total Store
131,13,3288,Tier 1,ISA On in Total Store
