Store,Commodity,Delivery Saturday,Delivery Sunday,Delivery Monday,Delivery Tuesday,Delivery Wednesday,Delivery Thursday,Delivery Friday
5996,MP,0,0,0,0,0,Closed,0
6078,HVDC,0,1,1,0,1,Closed,1
6098,HVDC,1,0,1,0,1,Closed,1
6098,FDD,1,1,0,1,1,Closed,1
6159,HVDC,1,0,1,0,1,Closed,1
6264,HVDC,1,1,0,1,1,Closed,1
6459,HVDC,1,1,0,1,1,Closed,1
6470,HVDC,1,1,1,1,1,Closed,1
6548,HVDC,0,1,0,1,1,Closed,1
6578,HVDC,1,1,1,1,1,Closed,1
6786,HVDC,1,1,0,1,0,Closed,1
6849,HVDC,0,1,0,1,1,Closed,1
6850,HVDC,1,0,1,1,1,Closed,1
6851,HVDC,1,0,1,0,1,Closed,1
6876,HVDC,1,1,1,0,1,Closed,1
6936,HVDC,1,1,1,1,1,Closed,1
6952,FDD,0,1,1,1,1,Closed,1
7098,HVDC,1,0,1,1,1,Closed,1
7168,HVDC,1,0,1,0,1,Closed,1
7206,HVDC,1,1,0,1,0,Closed,1
7209,HVDC,1,1,1,0,1,Closed,1
7220,HVDC,1,1,1,0,1,Closed,1
7224,HVDC,1,1,1,1,1,Closed,1
7229,HVDC,1,1,1,1,1,Closed,1
7232,HVDC,1,1,1,1,1,Closed,1
7233,HVDC,1,1,1,1,1,Closed,1
7235,HVDC,1,1,1,1,1,Closed,1
7238,HVDC,1,1,0,0,1,Closed,1
7242,HVDC,1,1,1,1,1,Closed,1
7243,FDD,1,1,0,1,1,Closed,1
7245,FDD,1,1,1,1,1,Closed,1
7246,HVDC,1,0,1,1,1,Closed,1
7246,FDD,0,1,1,1,1,Closed,1
7247,HVDC,1,1,1,1,1,Closed,1
7298,HVDC,1,1,0,1,1,Closed,1
7308,HVDC,1,1,1,0,1,Closed,1
7311,HVDC,1,1,0,1,0,Closed,1
7311,FDD,1,1,1,1,1,Closed,1
7334,HVDC,1,0,1,0,1,Closed,1
7337,HVDC,1,1,1,1,1,Closed,1
7339,HVDC,1,1,1,1,1,Closed,1
7340,HVDC,1,1,1,1,1,Closed,1
7347,HVDC,1,1,1,1,1,Closed,1
7349,HVDC,1,0,1,1,1,Closed,1
7357,HVDC,1,1,1,1,1,Closed,1
7361,HVDC,1,1,1,1,1,Closed,1
7362,HVDC,1,1,0,1,1,Closed,1
7601,FDD,0,1,1,1,1,Closed,1
8958,HVDC,1,0,1,0,1,Closed,1
