Region,Market,Store,Labor Status,,,,,,,,,,,,
11,329,128,,,,,,,,,,,,,
42,325,133,,,,,,,,,,,,,
13,503,140,,,,,,,,,,,,,
42,327,171,,,,,,,,,,,,,
44,350,185,,,,,,,,,,,,,
40,336,219,,,,,,,,,,,,,
11,329,229,,,,,,,,,,,,,
13,503,236,,,,,,,,,,,,,
13,503,249,,,,,,,,,,,,,
5,45,251,,,,,,,,,,,,,
42,325,261,,,,,,,,,,,,,
13,503,275,,,,,,,,,,,,,
7,83,280,,,,,,,,,,,,,
42,328,281,,,,,,,,,,,,,
13,503,285,,,,,,,,,,,,,
13,503,288,,,,,,,,,,,,,
42,327,289,,,,,,,,,,,,,
42,325,296,,,,,,,,,,,,,
6,59,297,,,,,,,,,,,,,
12,5,314,,,,,,,,,,,,,
42,325,318,,,,,,,,,,,,,
6,85,321,,,,,,,,,,,,,
6,85,322,,,,,,,,,,,,,
6,84,330,,,,,,,,,,,,,
42,325,336,,,,,,,,,,,,,
42,327,339,,,,,,,,,,,,,
42,327,348,,,,,,,,,,,,,
40,336,354,,,,,,,,,,,,,
7,81,381,,,,,,,,,,,,,
13,66,383,,,,,,,,,,,,,
13,66,384,,,,,,,,,,,,,
6,84,385,,,,,,,,,,,,,
6,80,395,,,,,,,,,,,,,
6,80,397,,,,,,,,,,,,,
7,87,404,,,,,,,,,,,,,
7,81,407,,,,,,,,,,,,,
13,66,408,,,,,,,,,,,,,
5,45,412,,,,,,,,,,,,,
44,349,414,,,,,,,,,,,,,
44,349,420,,,,,,,,,,,,,
6,78,440,,,,,,,,,,,,,
7,88,447,,,,,,,,,,,,,
13,66,449,,,,,,,,,,,,,
13,66,457,,,,,,,,,,,,,
6,78,470,,,,,,,,,,,,,
12,119,477,,,,,,,,,,,,,
6,78,490,,,,,,,,,,,,,
7,505,500,,,,,,,,,,,,,
7,506,508,,,,,,,,,,,,,
7,505,512,,,,,,,,,,,,,
42,327,530,,,,,,,,,,,,,
7,74,535,,,,,,,,,,,,,
7,74,536,,,,,,,,,,,,,
7,73,537,,,,,,,,,,,,,
6,62,546,,,,,,,,,,,,,
5,55,565,,,,,,,,,,,,,
12,123,578,,,,,,,,,,,,,
6,569,595,,,,,,,,,,,,,
5,76,610,,,,,,,,,,,,,
12,119,619,,,,,,,,,,,,,
12,124,620,,,,,,,,,,,,,
13,66,651,,,,,,,,,,,,,
12,122,672,,,,,,,,,,,,,
12,123,678,,,,,,,,,,,,,
12,123,680,,,,,,,,,,,,,
12,123,685,,,,,,,,,,,,,
12,121,687,,,,,,,,,,,,,
12,119,698,,,,,,,,,,,,,
12,124,742,,,,,,,,,,,,,
6,59,744,,,,,,,,,,,,,
7,70,755,,,,,,,,,,,,,
13,66,777,,,,,,,,,,,,,
7,81,781,,,,,,,,,,,,,
7,88,782,,,,,,,,,,,,,
42,328,788,,,,,,,,,,,,,
40,336,815,,,,,,,,,,,,,
5,45,827,,,,,,,,,,,,,
7,71,861,,,,,,,,,,,,,
7,87,865,,,,,,,,,,,,,
26,309,877,,,,,,,,,,,,,
40,336,895,,,,,,,,,,,,,
7,73,898,,,,,,,,,,,,,
7,77,901,,,,,,,,,,,,,
6,62,915,,,,,,,,,,,,,
7,81,917,,,,,,,,,,,,,
5,76,939,,,,,,,,,,,,,
