Store # ,LAST STRIPING DATE ,City ,State ,Approved Budget- 2024
1233,10/20/2022,PAINTSVILLE,KY,"$15,000"
1505,5/14/2020,PIKEVILLE,KY,"$15,000"
1675,4/17/2020,LEBANON,KY,"$15,000"
1743,10/25/2021,HARLAN,KY,"$11,500"
2628,6/28/2022,LEXINGTON,KY,"$15,000"
2654,10/23/2022,TOMPKINSVILLE,KY,"$15,000"
2968,4/2/2020,CARROLLTON,KY,"$15,000"
3894,11/14/2022,Lexington,KY,"$15,000"
7290,4/28/2021,CRESTWOOD,KY,"$15,000"
98,4/13/2020,BASTROP,LA,"$15,000"
278,7/24/2019,SHREVEPORT,LA,"$15,000"
311,12/1/2022,FRANKLIN,LA,"$11,500"
331,4/7/2021,Sulphur,LA,"$15,000"
386,9/13/2019,JENNINGS,LA,"$15,000"
405,5/19/2022,LEESVILLE,LA,"$15,000"
450,9/14/2021,SHREVEPORT,LA,"$15,000"
469,3/23/2020,LAKE CHARLES,LA,"$15,000"
485,9/27/2022,DONALDSONVILLE,LA,"$15,000"
489,3/1/2021,HAMMOND,LA,"$15,000"
502,12/2/2021,CUT OFF,LA,"$15,000"
532,11/3/2020,GONZALES,LA,"$15,000"
542,11/6/2021,HOUMA,LA,"$15,000"
761,5/7/2022,RACELAND,LA,"$15,000"
839,10/29/2021,BATON ROUGE,LA,"$15,000"
876,9/29/2022,MANY,LA,"$15,000"
909,4/13/2018,Chalmette,LA,"$15,000"
912,3/1/2021,NEW ORLEANS,LA,"$15,000"
976,7/18/2019,Winnsboro,LA,"$15,000"
1108,4/13/2020,OAK GROVE,LA,"$15,000"
1128,5/6/2019,Mansura,LA,"$15,000"
1266,10/21/2021,BATON ROUGE,LA,"$15,000"
1342,6/22/2022,KENNER,LA,"$15,000"
1353,1/29/2022,HARAHAN,LA,"$15,000"
2706,9/24/2022,HARVEY,LA,"$15,000"
2822,3/9/2021,WALKER,LA,"$15,000"
2913,10/9/2020,BOUTTE,LA,"$15,000"
3042,10/30/2021,Covington,LA,"$8,500"
3288,3/1/2021,BATON ROUGE,LA,"$15,000"
3483,11/3/2021,Houma,LA,"$15,000"
3616,10/9/2020,AMITE,LA,"$15,000"
3703,7/2/2021,KENNER,LA,"$8,500"
3752,9/6/2021,BOSSIER CITY,LA,"$8,500"
3868,10/20/2021,SHREVEPORT,LA,"$15,000"
4048,10/26/2021,PRAIRIEVILLE,LA,"$8,500"
4129,7/14/2021,PONCHATOULA,LA,"$15,000"
4295,11/18/2021,ALEXANDRIA,LA,"$15,000"
4683,10/26/2021,BATON ROUGE,LA,"$15,000"
5056,6/26/2021,PRAIRIEVILLE,LA,"$15,000"
5102,6/29/2021,GRETNA,LA,"$8,500"
5204,9/8/2021,BOSSIER CITY,LA,"$8,500"
5310,8/8/2021,Ascension Parish (C),LA,"$8,500"
5327,4/22/2021,BATON ROUGE,LA,"$8,500"
5464,11/15/2021,Thibodaux,LA,"$8,500"
5722,7/1/2021,HARVEY,LA,"$8,500"
6577,11/8/2021,SLIDELL,LA,"$8,500"
6588,10/9/2020,SLIDELL,LA,"$8,500"
6932,4/27/2020,SHREVEPORT,LA,"$15,000"
7233,5/27/2021,BATON ROUGE,LA,"$8,500"
7262,4/22/2021,BATON ROUGE,LA,"$8,500"
1970,7/15/2019,HUDSON,MA,"$15,000"
1984,8/17/2021,NORTH ADAMS,MA,"$15,000"
2012,9/15/2021,NORTH OXFORD,MA,"$15,000"
2095,10/19/2021,WAREHAM,MA,"$15,000"
2103,9/2/2021,WALPOLE,MA,"$15,000"
2118,10/27/2021,LUNENBURG,MA,"$11,500"
2122,8/18/2021,AVON,MA,"$15,000"
2155,10/27/2021,GARDNER,MA,"$15,000"
2157,10/18/2021,NORTH DARTMOUTH,MA,"$15,000"
2174,9/25/2018,WESTFIELD,MA,"$15,000"
2180,8/17/2021,DANVERS,MA,"$11,500"
2184,8/1/2019,SEEKONK,MA,"$11,500"
2222,10/1/2018,TEWKSBURY,MA,"$15,000"
2267,9/15/2021,WEST BOYLSTON,MA,"$11,500"
2336,9/3/2021,PLYMOUTH,MA,"$15,000"
2341,8/17/2021,QUINCY,MA,"$11,500"
2904,8/20/2021,BROCKTON,MA,"$11,500"
2953,8/13/2018,SWANSEA,MA,"$15,000"
3409,8/17/2020,LEICESTER,MA,"$15,000"
3560,10/21/2021,FALL RIVER,MA,"$15,000"
4387,11/18/2021,WORCESTER,MA,"$15,000"
5448,9/1/2021,RAYNHAM (N),MA,"$15,000"
1674,6/14/2022,HAGERSTOWN,MD,"$11,500"
1715,7/23/2019,Easton,MD,"$11,500"
1875,10/17/2018,Severn,MD,"$11,500"
1893,7/19/2022,BOWIE,MD,"$11,500"
2009,10/1/2018,ABINGDON,MD,"$11,500"
2045,6/26/2018,NOTTINGHAM,MD,"$15,000"
2248,7/20/2018,CATONSVILLE,MD,"$11,500"
2272,9/17/2019,Cambridge,MD,"$15,000"
2279,7/2/2018,GLEN BURNIE,MD,"$15,000"
2412,8/21/2020,ELLICOTT CITY,MD,"$15,000"
2551,9/7/2018,MOUNT AIRY,MD,"$11,500"
2560,5/22/2020,Berlin,MD,"$15,000"
2577,4/23/2019,COCKEYSVILLE,MD,"$15,000"
2799,12/26/2019,CLINTON,MD,"$11,500"
2850,9/13/2018,HAMPSTEAD,MD,"$15,000"
2894,9/29/2020,Oakland,MD,"$15,000"
2931,5/27/2020,SALISBURY,MD,"$15,000"
3490,5/14/2018,HANOVER,MD,"$11,500"
3780,9/17/2019,FALLSTON,MD,"$15,000"
3843,7/3/2018,DENTON,MD,"$15,000"
5228,5/25/2021,COLUMBIA,MD,"$11,500"
5345,8/22/2018,DUNKIRK,MD,"$11,500"
1788,8/7/2018,SCARBOROUGH,ME,"$11,500"
1797,7/21/2021,THOMASTON,ME,"$11,500"
1932,7/16/2021,LAMOINE,ME,"$11,500"
1939,6/6/2018,BRUNSWICK,ME,"$11,500"
1954,8/20/2021,SANFORD,ME,"$15,000"
1974,7/31/2022,HOULTON,ME,"$11,500"
2153,8/1/2019,BIDDEFORD,ME,"$15,000"
5076,8/8/2022,BREWER,ME,"$15,000"
1422,6/23/2021,ALMA,MI,"$15,000"
1542,7/1/2021,GAYLORD,MI,"$15,000"
1592,5/13/2021,Bad Axe,MI,"$15,000"
1611,6/24/2021,Fort Gratiot,MI,"$15,000"
1642,6/22/2021,Charlotte,MI,"$15,000"
1719,6/30/2021,BIG RAPIDS,MI,"$15,000"
1733,7/1/2021,OWOSSO,MI,"$15,000"
1752,9/1/2021,BAY CITY,MI,"$15,000"
1771,6/19/2018,STURGIS,MI,"$15,000"
1790,6/11/2021,MONROE,MI,"$15,000"
1791,8/17/2021,FREMONT,MI,"$15,000"
1836,6/7/2021,ADRIAN,MI,"$15,000"
1928,5/14/2018,FLINT,MI,"$15,000"
1987,5/11/2021,LAPEER,MI,"$15,000"
2010,11/8/2022,NILES,MI,"$15,000"
2014,6/12/2020,HOUGHTON LAKE,MI,"$15,000"
2080,6/14/2021,Battle Creek,MI,"$15,000"
2100,8/24/2018,CHEBOYGAN,MI,"$15,000"
2192,4/28/2021,HOUGHTON,MI,"$15,000"
2338,6/28/2021,TRAVERSE CITY,MI,"$15,000"
2434,7/22/2022,IRON MOUNTAIN,MI,"$15,000"
2522,8/5/2021,ESCANABA,MI,"$15,000"
2631,9/2/2021,Livonia,MI,"$15,000"
2692,10/11/2021,Chesterfield,MI,"$15,000"
2693,10/4/2021,FENTON,MI,"$15,000"
2866,10/13/2021,Okemos,MI,"$11,500"
2869,10/13/2021,Lansing,MI,"$15,000"
3476,4/19/2021,CANTON,MI,"$15,000"
3487,6/25/2021,Shelby Township,MI,"$15,000"
3876,9/29/2021,MUSKEGON,MI,"$15,000"
4424,8/31/2021,Warren,MI,"$15,000"
4439,8/19/2021,PAW PAW,MI,"$15,000"
4540,10/13/2021,FOWLERVILLE,MI,"$15,000"
5160,7/1/2021,Jackson,MI,"$15,000"
5280,6/2/2021,PORTAGE,MI,"$15,000"
5376,8/31/2021,TAWAS CITY,MI,"$15,000"
5386,9/30/2021,GRAND HAVEN,MI,"$15,000"
5842,6/11/2021,Southgate,MI,"$15,000"
5844,7/23/2019,Livonia,MI,"$15,000"
1472,10/30/2021,HASTINGS,MN,"$15,000"
1577,10/31/2021,BUFFALO,MN,"$15,000"
1627,7/9/2020,DILWORTH,MN,"$15,000"
1722,11/4/2021,MARSHALL,MN,"$15,000"
1757,9/21/2020,HERMANTOWN,MN,"$15,000"
1861,8/6/2020,OAK PARK HEIGHTS,MN,"$15,000"
1952,8/19/2020,FRIDLEY,MN,"$15,000"
1971,7/14/2022,ROCHESTER,MN,"$15,000"
2087,8/3/2020,VADNAIS HEIGHTS,MN,"$15,000"
2198,7/30/2020,BLOOMINGTON,MN,"$15,000"
2274,10/18/2021,Forest Lake,MN,"$15,000"
2642,9/29/2020,APPLE VALLEY,MN,"$15,000"
2937,10/19/2018,HIBBING,MN,"$15,000"
2957,11/5/2021,DETROIT LAKES,MN,"$15,000"
3209,9/21/2020,ELK RIVER,MN,"$15,000"
3233,11/7/2021,BEMIDJI,MN,"$15,000"
3364,10/16/2021,SAINT PAUL,MN,"$15,000"
3498,10/11/2021,Blaine,MN,"$15,000"
3534,5/20/2020,RED WING,MN,"$15,000"
4246,11/13/2020,WADENA,MN,"$15,000"
4374,10/24/2021,LITCHFIELD,MN,"$15,000"
4849,10/30/2021,MOUNTAIN IRON,MN,"$15,000"
5397,10/27/2021,WINONA,MN,"$15,000"
5992,5/21/2020,LAKEVILLE,MN,"$15,000"
15,6/24/2021,WEST PLAINS,MO,"$15,000"
21,7/20/2021,SAINT ROBERT,MO,"$15,000"
30,7/21/2021,DEXTER,MO,"$15,000"
32,4/20/2021,BRANSON,MO,"$11,500"
44,10/11/2022,ELDON,MO,"$11,500"
46,5/27/2020,BOLIVAR,MO,"$15,000"
48,8/23/2022,MONETT,MO,"$15,000"
59,6/7/2022,JOPLIN,MO,"$15,000"
78,4/8/2021,MARSHFIELD,MO,"$15,000"
88,4/20/2021,MOUNTAIN GROVE,MO,"$15,000"
92,10/4/2022,AURORA,MO,"$15,000"
95,11/3/2022,DESLOGE,MO,"$15,000"
96,4/7/2021,HARRISONVILLE,MO,"$15,000"
99,6/22/2022,UNION,MO,"$15,000"
109,7/14/2022,Cameron,MO,"$15,000"
122,8/26/2021,JACKSON,MO,"$15,000"
152,10/13/2022,De Soto,MO,"$15,000"
159,10/10/2022,COLUMBIA,MO,"$15,000"
172,10/6/2022,Washington,MO,"$15,000"
179,5/19/2021,SPRINGFIELD,MO,"$15,000"
188,8/26/2021,CAPE GIRARDEAU,MO,"$15,000"
189,4/28/2020,KIRKSVILLE,MO,"$15,000"
190,7/21/2021,KENNETT,MO,"$15,000"
234,8/17/2021,Kansas City,MO,"$15,000"
243,9/21/2022,WENTZVILLE,MO,"$15,000"
267,11/3/2022,WEBB CITY,MO,"$15,000"
313,11/12/2021,HIGH RIDGE,MO,"$15,000"
325,6/15/2021,Richmond,MO,"$15,000"
354,3/30/2021,OWENSVILLE,MO,"$15,000"
379,3/5/2021,OZARK,MO,"$15,000"
801,8/20/2021,Maryville,MO,"$15,000"
805,7/12/2022,FENTON,MO,"$15,000"
815,3/31/2021,OSAGE BEACH,MO,"$15,000"
820,9/2/2021,BOONVILLE,MO,"$15,000"
888,11/12/2021,BUTLER,MO,"$15,000"
914,7/28/2020,CASSVILLE,MO,"$15,000"
1161,5/11/2020,SAINT CHARLES,MO,"$15,000"
2221,10/27/2021,Springfield,MO,"$15,000"
2600,6/9/2021,CHESTERFIELD,MO,"$15,000"
2694,5/28/2020,Kirkwood,MO,"$15,000"
2856,5/25/2021,OAK GROVE,MO,"$15,000"
2994,9/25/2019,Saint Joseph,MO,"$15,000"
3061,5/7/2020,SHREWSBURY,MO,"$15,000"
3111,8/30/2021,SPRINGFIELD,MO,"$8,500"
4057,11/4/2022,JOPLIN,MO,"$8,500"
4470,3/31/2022,JOPLIN,MO,"$8,500"
4478,5/4/2021,JOPLIN,MO,"$8,500"
4553,8/18/2021,Kansas City,MO,"$15,000"
4590,8/19/2021,Lees Summit,MO,"$15,000"
5150,10/3/2022,MAPLEWOOD,MO,"$15,000"
5421,5/4/2020,ST. PETERS,MO,"$8,500"
5693,11/3/2022,SPRINGFIELD (BENNETT),MO,"$8,500"
7249,4/30/2021,MOUNT VERNON,MO,"$15,000"
105,3/16/2020,CORINTH,MS,"$15,000"
115,3/11/2022,WEST POINT,MS,"$15,000"
303,11/15/2021,HOLLY SPRINGS,MS,"$15,000"
391,4/13/2020,TUPELO,MS,"$15,000"
495,11/18/2018,Columbus,MS,"$15,000"
699,11/15/2021,OXFORD,MS,"$15,000"
708,4/28/2020,VICKSBURG,MS,"$15,000"
970,7/23/2019,PICAYUNE,MS,"$15,000"
1069,11/13/2018,NEWTON,MS,"$15,000"
1168,12/13/2021,COLUMBIA,MS,"$15,000"
1468,11/16/2021,BATESVILLE,MS,"$15,000"
1530,3/18/2020,CLEVELAND,MS,"$15,000"
2755,12/6/2021,FLOWOOD,MS,"$15,000"
3059,11/17/2021,CANTON,MS,"$15,000"
5079,12/9/2021,PASS CHRISTIAN,MS,"$15,000"
5459,11/8/2022,Starkville,MS,"$8,500"
5776,12/9/2021,Ocean Springs (Gulf Hills),MS,"$8,500"
6165,12/15/2021,Gulfport,MS,"$8,500"
6323,12/13/2021,GULFPORT,MS,"$8,500"
1901,5/15/2021,Butte,MT,"$15,000"
2084,5/21/2020,Bozeman,MT,"$15,000"
2147,6/7/2021,MISSOULA,MT,"$15,000"
2455,7/7/2022,GREAT FALLS,MT,"$15,000"
2607,5/24/2020,POLSON,MT,"$15,000"
4412,5/13/2021,Laurel,MT,"$15,000"
7199,4/21/2020,Great Falls,MT,"$15,000"
1034,5/18/2018,SHELBY,NC,"$15,000"
1096,5/12/2021,MOCKSVILLE,NC,"$15,000"
1132,5/18/2021,Asheboro,NC,"$15,000"
1166,8/29/2018,ELIZABETHTOWN,NC,"$11,500"
1197,5/14/2019,Rocky Mount,NC,"$15,000"
1209,10/29/2021,Lincolnton,NC,"$15,000"
1238,1/9/2022,Fayetteville,NC,"$15,000"
1261,10/1/2020,Fayetteville,NC,"$15,000"
1268,8/30/2019,WHITEVILLE,NC,"$15,000"
1287,6/21/2021,Burlington,NC,"$15,000"
1312,4/25/2020,Spring Lake,NC,"$15,000"
1322,6/29/2020,LEXINGTON,NC,"$15,000"
1348,4/25/2020,Wilmington,NC,"$15,000"
1372,5/12/2021,Raleigh,NC,"$15,000"
1464,11/25/2020,Charlotte,NC,"$15,000"
1498,9/18/2020,Greensboro,NC,"$15,000"
1527,8/26/2020,ELIZABETH CITY,NC,"$15,000"
1552,5/12/2021,Salisbury,NC,"$15,000"
1579,5/17/2019,Oxford,NC,"$15,000"
1613,6/5/2020,HIGH POINT,NC,"$15,000"
1614,5/28/2021,DURHAM,NC,"$15,000"
1662,11/23/2022,Statesville,NC,"$15,000"
1664,4/1/2019,WILSON,NC,"$15,000"
1767,4/29/2020,SHALLOTTE,NC,"$15,000"
1774,5/7/2019,SANFORD,NC,"$15,000"
1821,5/18/2021,CHARLOTTE,NC,"$11,500"
1842,6/5/2020,GREENSBORO,NC,"$15,000"
2005,3/14/2019,KANNAPOLIS,NC,"$15,000"
2134,5/5/2021,CHARLOTTE,NC,"$15,000"
2704,6/21/2021,RANDLEMAN,NC,"$15,000"
2730,5/9/2019,TARBORO,NC,"$15,000"
2793,5/20/2020,KERNERSVILLE,NC,"$15,000"
2836,6/11/2020,FUQUAY VARINA,NC,"$15,000"
2845,5/19/2021,SILER CITY,NC,"$15,000"
2908,5/23/2019,BISCOE,NC,"$15,000"
3371,5/12/2021,CHARLOTTE,NC,"$15,000"
3456,1/10/2022,Hope Mills,NC,"$8,500"
3658,6/21/2021,GREENSBORO,NC,"$15,000"
3825,8/2/2018,HAVELOCK,NC,"$15,000"
4065,4/25/2020,Wilmington,NC,"$15,000"
4273,3/8/2022,Leland,NC,"$15,000"
4458,9/30/2020,HOLLY SPRINGS,NC,"$15,000"
4459,10/22/2018,NASHVILLE,NC,"$15,000"
4484,5/7/2021,RALEIGH,NC,"$15,000"
4499,10/27/2018,ZEBULON,NC,"$15,000"
4848,6/7/2021,CHARLOTTE,NC,"$8,500"
5063,6/8/2021,CHARLOTTE,NC,"$15,000"
5085,8/20/2021,BELMONT,NC,"$15,000"
5118,5/12/2021,RALEIGH,NC,"$15,000"
5254,5/17/2021,WAKE FOREST,NC,"$15,000"
5320,7/5/2018,GREENSBORO,NC,"$15,000"
5393,6/20/2020,GREENSBORO,NC,"$8,500"
5743,4/16/2018,GARNER,NC,"$15,000"
5747,6/17/2021,LOCUST,NC,"$15,000"
6233,5/10/2021,Charlotte (Tryon),NC,"$8,500"
6263,4/25/2020,WINSTON SALEM,NC,"$8,500"
6586,5/10/2021,CONCORD,NC,"$8,500"
6789,4/25/2020,King,NC,"$15,000"
6958,8/31/2018,CAMERON,NC,"$15,000"
7098,8/2/2018,NEWPORT,NC,"$8,500"
7162,5/25/2018,HAMPSTEAD,NC,"$8,500"
7179,5/17/2019,Swansboro,NC,"$15,000"
7205,9/18/2020,LEXINGTON,NC,"$8,500"
7206,6/23/2020,ARCHDALE,NC,"$8,500"
7238,5/17/2019,GRANTSBORO,NC,"$15,000"
7337,3/29/2021,GREENVILLE,NC,"$8,500"
7340,5/17/2019,GOLDSBORO,NC,"$8,500"
1565,5/27/2022,WILLISTON,ND,"$15,000"
1636,5/24/2022,MINOT,ND,"$15,000"
1649,9/8/2022,JAMESTOWN,ND,"$15,000"
2033,6/13/2021,MANDAN,ND,"$15,000"
3648,6/12/2021,BISMARCK,ND,"$15,000"
4569,10/22/2022,BOTTINEAU,ND,"$15,000"
350,10/1/2020,York,NE,"$15,000"
637,7/12/2019,LEXINGTON,NE,"$15,000"
867,7/22/2021,SCOTTSBLUFF,NE,"$15,000"
885,5/6/2021,Seward,NE,"$15,000"
1326,8/20/2021,GRAND ISLAND,NE,"$15,000"
1460,10/1/2020,Hastings,NE,"$15,000"
1585,7/18/2021,NORTH PLATTE,NE,"$15,000"
1637,11/18/2021,OMAHA,NE,"$15,000"
1671,9/27/2018,Papillion,NE,"$15,000"
1943,11/3/2021,LINCOLN,NE,"$15,000"
2432,5/17/2021,Lincoln,NE,"$15,000"
2579,7/18/2021,CHADRON,NE,"$15,000"
2784,4/6/2022,BEATRICE,NE,"$15,000"
2847,8/13/2018,Bellevue,NE,"$15,000"
3151,8/19/2021,OMAHA,NE,"$15,000"
3152,9/10/2021,Omaha,NE,"$8,500"
3153,9/10/2021,Omaha,NE,"$8,500"
3173,4/4/2022,La Vista,NE,"$8,500"
3278,6/23/2018,Lincoln,NE,"$15,000"
4568,11/4/2021,Blair,NE,"$15,000"
5141,2/2/2022,OMAHA,NE,"$15,000"
5170,11/11/2021,SIDNEY,NE,"$15,000"
5361,11/24/2020,OMAHA,NE,"$15,000"
7129,7/30/2021,OGALLALA,NE,"$15,000"
1749,10/29/2020,SOMERSWORTH,NH,"$11,500"
1753,7/31/2021,Derry,NH,"$11,500"
1785,5/24/2022,HUDSON,NH,"$11,500"
1907,11/23/2021,HINSDALE,NH,"$11,500"
2055,7/26/2021,CONCORD,NH,"$15,000"
2057,11/17/2021,RINDGE,NH,"$11,500"
2142,8/12/2021,SALEM,NH,"$15,000"
2330,8/1/2019,ROCHESTER,NH,"$15,000"
2398,8/17/2021,NEWINGTON,NH,"$11,500"
1807,11/11/2021,BERLIN,NJ,"$11,500"
1869,11/2/2021,MARLTON,NJ,"$11,500"
1921,8/6/2019,MANAHAWKIN,NJ,"$11,500"
2108,4/28/2021,MAYS LANDING,NJ,"$15,000"
2254,11/23/2021,HAMMONTON,NJ,"$11,500"
2497,7/13/2022,PHILLIPSBURG,NJ,"$15,000"
2633,4/17/2019,PISCATAWAY,NJ,"$11,500"
2841,11/4/2021,LUMBERTON,NJ,"$11,500"
3236,12/13/2021,FREEHOLD,NJ,"$15,000"
3266,4/20/2021,EAST WINDSOR,NJ,"$11,500"
3422,8/7/2018,WOODBURY,NJ,"$15,000"
3774,11/23/2021,WILLIAMSTOWN,NJ,"$15,000"
5012,4/21/2021,HAMILTON,NJ,"$15,000"
5476,11/15/2021,WOODBURY,NJ,"$15,000"
5944,11/2/2021,Mount Laurel,NJ,"$15,000"
611,9/9/2022,ROSWELL,NM,"$15,000"
835,11/1/2022,ALBUQUERQUE,NM,"$15,000"
851,10/19/2020,RUIDOSO DOWNS,NM,"$15,000"
1306,10/14/2021,ALAMOGORDO,NM,"$15,000"
1380,9/17/2021,LAS VEGAS,NM,"$15,000"
2653,5/17/2021,Portales,NM,"$15,000"
3317,8/16/2022,ALAMEDA,NM,"$8,500"
3423,5/20/2021,SANTA FE,NM,"$15,000"
3731,8/16/2022,Bernalillo,NM,"$15,000"
4601,4/5/2022,LAS CRUCES,NM,"$15,000"
5166,3/11/2021,DEMING,NM,"$15,000"
1648,9/12/2018,CARSON CITY,NV,"$15,000"
2402,7/1/2022,ELKO,NV,"$15,000"
2453,6/8/2018,FALLON,NV,"$15,000"
2483,6/20/2021,Las Vegas (Blue Diamond),NV,"$15,000"
2593,4/30/2021,LAS VEGAS,NV,"$15,000"
2884,12/1/2022,LAS VEGAS,NV,"$15,000"
3356,5/22/2020,LAS VEGAS,NV,"$8,500"
3408,9/10/2022,CARSON CITY,NV,"$15,000"
3473,12/3/2022,LAS VEGAS,NV,"$15,000"
3655,10/10/2022,LAS VEGAS,NV,"$8,500"
3729,6/29/2022,SPARKS,NV,"$15,000"
3847,10/28/2021,Mesquite,NV,"$15,000"
4370,6/8/2018,FERNLEY,NV,"$15,000"
5070,11/19/2021,LAS VEGAS,NV,"$15,000"
5258,10/29/2018,LAS VEGAS,NV,"$8,500"
5269,5/27/2022,LAS VEGAS,NV,"$8,500"
5306,5/22/2020,NORTH LAS VEGAS,NV,"$8,500"
5423,10/26/2021,LAS VEGAS,NV,"$8,500"
5864,6/9/2018,GARDNERVILLE,NV,"$15,000"
1619,10/29/2021,Rochester,NY,"$11,500"
1677,9/7/2021,NEW HARTFORD,NY,"$11,500"
1731,10/14/2021,Geneva,NY,"$11,500"
1781,10/27/2021,CORTLAND,NY,"$11,500"
1806,10/4/2021,GLOVERSVILLE,NY,"$11,500"
1830,11/13/2018,AUBURN,NY,"$11,500"
1946,5/31/2021,MASSENA,NY,"$11,500"
1949,6/11/2020,FREDONIA,NY,"$15,000"
2043,8/12/2021,WARSAW,NY,"$11,500"
2088,4/4/2019,BATAVIA,NY,"$15,000"
2092,5/28/2021,OGDENSBURG,NY,"$11,500"
2093,9/20/2021,UTICA,NY,"$15,000"
2146,10/31/2018,AMSTERDAM,NY,"$15,000"
2156,11/8/2018,MIDDLE ISLAND,NY,"$11,500"
2166,9/8/2020,EAST SYRACUSE,NY,"$15,000"
2210,7/26/2019,AMHERST,NY,"$15,000"
2234,9/8/2021,ROME,NY,"$15,000"
2285,10/4/2021,HERKIMER,NY,"$15,000"
2370,8/21/2018,TROY,NY,"$15,000"
2581,9/11/2020,CAMILLUS,NY,"$15,000"
2586,8/3/2021,Cheektowaga,NY,"$15,000"
2844,8/22/2018,CLIFTON PARK,NY,"$15,000"
2905,6/23/2020,SUFFERN,NY,"$11,500"
2992,10/26/2021,PAINTED POST,NY,"$15,000"
3221,10/14/2021,WATKINS GLEN,NY,"$15,000"
3280,8/1/2019,ROCHESTER,NY,"$15,000"
3332,10/18/2019,FULTON,NY,"$15,000"
3334,5/28/2021,MALONE,NY,"$15,000"
3607,7/31/2021,ALBION,NY,"$15,000"
4403,6/17/2019,QUEENSBURY,NY,"$15,000"
5027,4/3/2019,DEPEW,NY,"$15,000"
5240,10/21/2021,ITHACA,NY,"$15,000"
5242,6/15/2020,CICERO,NY,"$15,000"
5282,10/11/2018,GREECE,NY,"$15,000"
5497,8/15/2022,EVANS MILLS,NY,"$15,000"
1264,6/17/2022,BELLEFONTAINE,OH,"$15,000"
1330,4/22/2022,LIMA,OH,"$15,000"
1333,4/25/2021,VAN WERT,OH,"$15,000"
1407,9/14/2021,LEBANON,OH,"$15,000"
1410,8/17/2021,TROY,OH,"$15,000"
1416,3/26/2020,NAPOLEON,OH,"$15,000"
1427,4/22/2020,CIRCLEVILLE,OH,"$15,000"
1441,6/2/2022,MASON,OH,"$15,000"
1443,8/6/2018,CINCINNATI,OH,"$15,000"
1445,4/20/2020,PORT CLINTON,OH,"$15,000"
1478,8/18/2022,SOUTH POINT,OH,"$15,000"
1495,9/8/2021,HUBER HEIGHTS,OH,"$15,000"
1503,9/13/2021,DAYTON,OH,"$15,000"
1504,10/29/2021,DAYTON,OH,"$15,000"
1622,9/25/2020,TIFFIN,OH,"$15,000"
1724,10/28/2021,MILLERSBURG,OH,"$15,000"
1750,9/29/2021,Marion,OH,"$15,000"
1839,4/4/2020,LORAIN,OH,"$15,000"
1863,4/29/2022,EASTLAKE,OH,"$15,000"
1913,9/28/2021,BOWLING GREEN,OH,"$15,000"
1927,5/22/2020,MACEDONIA,OH,"$15,000"
1990,4/2/2020,DELAWARE,OH,"$11,500"
2063,9/13/2021,AUSTINTOWN,OH,"$15,000"
2073,5/22/2020,CLEVELAND,OH,"$15,000"
2124,6/23/2022,BEAVERCREEK,OH,"$15,000"
2191,4/27/2020,BRYAN,OH,"$15,000"
2211,9/17/2020,POLAND,OH,"$15,000"
2266,5/25/2022,STRONGSVILLE,OH,"$15,000"
2359,4/25/2021,ASHTABULA,OH,"$15,000"
2361,6/5/2021,NORTH CANTON,OH,"$11,500"
2426,4/21/2020,COLUMBUS,OH,"$15,000"
2447,9/2/2021,CINCINNATI,OH,"$15,000"
2471,4/21/2020,DUBLIN,OH,"$15,000"
2572,8/10/2019,WAVERLY,OH,"$15,000"
3282,9/21/2021,LOGAN,OH,"$15,000"
3293,11/30/2020,CHARDON,OH,"$15,000"
3300,4/14/2020,WAPAKONETA,OH,"$15,000"
3445,3/20/2020,HOLLAND,OH,"$15,000"
3486,9/23/2021,ATHENS,OH,"$15,000"
3571,5/8/2020,MIDDLETOWN,OH,"$15,000"
3580,3/9/2020,NEWARK,OH,"$15,000"
3581,3/3/2020,ZANESVILLE,OH,"$15,000"
3641,4/23/2020,SPRINGFIELD,OH,"$15,000"
3749,4/7/2020,CINCINNATI,OH,"$15,000"
3783,10/29/2021,DAYTON,OH,"$15,000"
3784,9/13/2021,FRANKLIN,OH,"$15,000"
3792,3/25/2020,LANCASTER,OH,"$15,000"
3809,4/2/2020,UPPER SANDUSKY,OH,"$15,000"
3860,6/23/2022,YOUNGSTOWN,OH,"$15,000"
4479,9/27/2021,PERRYSBURG,OH,"$15,000"
5030,4/27/2020,TOLEDO,OH,"$15,000"
5185,4/21/2020,COLUMBUS,OH,"$15,000"
5355,4/21/2020,KENTON,OH,"$15,000"
5385,4/14/2020,DEFIANCE,OH,"$15,000"
5409,9/22/2022,Clayton,OH,"$15,000"
10,9/16/2021,Tahlequah,OK,"$15,000"
22,4/4/2019,PRYOR,OK,"$15,000"
28,4/28/2021,MIAMI,OK,"$15,000"
49,8/19/2021,HUGO,OK,"$15,000"
73,6/27/2022,SAPULPA,OK,"$15,000"
81,10/21/2021,STILWELL,OK,"$15,000"
90,11/5/2021,GROVE,OK,"$15,000"
121,5/20/2022,OKMULGEE,OK,"$15,000"
129,8/10/2021,ARDMORE,OK,"$15,000"
139,6/9/2021,PURCELL,OK,"$15,000"
150,4/6/2020,WOODWARD,OK,"$15,000"
162,3/28/2022,ANADARKO,OK,"$15,000"
212,3/29/2022,NORMAN,OK,"$15,000"
225,11/9/2020,SULPHUR,OK,"$15,000"
324,6/27/2022,BRISTOW,OK,"$15,000"
