Store,Store City,Store State,Launch Week,Launch Date
1755,ROHNERT PARK,CA,Week 8,3/22/2022
1764,DES MOINES,IA,Week 8,3/22/2022
1775,LEBANON,OR,Week 8,3/22/2022
1784,SALEM,OR,Week 8,3/22/2022
1816,KNIGHTDALE,NC,Week 8,3/22/2022
1826,VISALIA,CA,Week 8,3/22/2022
1840,MANTECA,CA,Week 8,3/22/2022
1877,PORTERVILLE,CA,Week 8,3/22/2022
1880,COOS BAY,OR,Week 8,3/22/2022
1888,NORTH LOGAN,UT,Week 8,3/22/2022
1901,BUTTE,MT,Week 8,3/22/2022
1903,YUBA CITY,CA,Week 8,3/22/2022
1917,SANTEE,CA,Week 8,3/22/2022
1956,BILLINGS,MT,Week 8,3/22/2022
1963,TURLOCK,CA,Week 8,3/22/2022
1971,ROCHESTER,MN,Week 8,3/22/2022
1983,CERES,CA,Week 8,3/22/2022
2001,FRESNO,CA,Week 8,3/22/2022
2030,SONORA,CA,Week 8,3/22/2022
2031,UNION CITY,CA,Week 8,3/22/2022
2177,SAN DIEGO,CA,Week 8,3/22/2022
2202,WINDHAM,ME,Week 8,3/22/2022
2233,FREDERICK,MD,Week 8,3/22/2022
2245,OCEANSIDE,CA,Week 8,3/22/2022
2253,EL CAJON,CA,Week 8,3/22/2022
2277,CLOVIS,CA,Week 8,3/22/2022
2291,CHULA VISTA,CA,Week 8,3/22/2022
2307,SOUTH JORDAN,UT,Week 8,3/22/2022
2403,PUYALLUP,WA,Week 8,3/22/2022
2443,SIOUX FALLS,SD,Week 8,3/22/2022
2475,CONYERS,GA,Week 8,3/22/2022
2476,COLLEGE PLACE,WA,Week 8,3/22/2022
2477,ROSEBURG,OR,Week 8,3/22/2022
2479,SAN DIEGO,CA,Week 8,3/22/2022
2494,OCEANSIDE,CA,Week 8,3/22/2022
2536,TULARE,CA,Week 8,3/22/2022
2546,ORANGE,CA,Week 8,3/22/2022
2553,WINDSOR,CA,Week 8,3/22/2022
2557,BAKERSFIELD,CA,Week 8,3/22/2022
2598,SACRAMENTO,CA,Week 8,3/22/2022
2599,SAN ANTONIO,TX,Week 8,3/22/2022
2631,LIVONIA,MI,Week 8,3/22/2022
2636,HUNTINGTON BEACH,CA,Week 8,3/22/2022
2708,TEMECULA,CA,Week 8,3/22/2022
2735,SACRAMENTO,CA,Week 8,3/22/2022
2751,ENGLEWOOD,CO,Week 8,3/22/2022
2952,MURRIETA,CA,Week 8,3/22/2022
3218,SPANAWAY,WA,Week 8,3/22/2022
3254,RENO,NV,Week 8,3/22/2022
3277,RENO,NV,Week 8,3/22/2022
3298,KEMAH,TX,Week 8,3/22/2022
3382,PUEBLO WEST,CO,Week 8,3/22/2022
3587,ROCKLIN,CA,Week 8,3/22/2022
3659,CHATTANOOGA,TN,Week 8,3/22/2022
3764,LINDALE,TX,Week 8,3/22/2022
4115,CIBOLO,TX,Week 8,3/22/2022
4235,TERRE HAUTE,IN,Week 8,3/22/2022
4340,HESPERIA,CA,Week 8,3/22/2022
4440,IRMO,SC,Week 8,3/22/2022
4553,KANSAS CITY,MO,Week 8,3/22/2022
5118,RALEIGH,NC,Week 8,3/22/2022
5136,MARYSVILLE,CA,Week 8,3/22/2022
5245,SAN ANTONIO,TX,Week 8,3/22/2022
5272,POULSBO,WA,Week 8,3/22/2022
5373,CHIPPEWA FALLS,WI,Week 8,3/22/2022
5394,DINUBA,CA,Week 8,3/22/2022
5488,NORFOLK,VA,Week 8,3/22/2022
5845,NICEVILLE,FL,Week 8,3/22/2022
5987,ROYSE CITY,TX,Week 8,3/22/2022
