Store,,DEC,73,YTD,74,DEC,75,YTD,76,DEC,77,YTD,78,DEC,79,YTD,80,DEC,81,YTD,82,DEC,83,YTD,84,DEC,85,YTD,86,DEC,87,YTD,88,DEC,89,YTD,90,DEC,91,YTD,92
2713,,-2.48%,,-1.68%,R,35.24%,G,12.55%,,29.00%,G,8.57%,,63.92%,G,14.62%,,3,,76,,42.45%,G,45.51%,G,0,R,42,,77.36%,,53.70%,,0:32:53,G,0:42:10,,280/2576,G,1732/2576,
3386,,0.11%,,13.98%,G,22.89%,,48.31%,G,1.83%,,18.90%,G,13.68%,,30.95%,G,85,G,352,G,40.43%,,38.59%,,47,G,137,G,100.00%,G,83.90%,G,0:41:08,,0:38:30,,445/2576,G,18/2576,G
5126,,-0.02%,,1.48%,,12.28%,,16.92%,,-1.51%,R,-3.22%,R,18.26%,,16.19%,,37,G,152,,29.41%,,40.15%,,29,G,102,,95.96%,G,99.11%,G,0:42:33,,0:41:21,,919/2576,,1274/2576,
Total,B,-2.89%,,2.77%,,16.17%,,19.70%,,7.74%,,5.76%,,7.05%,,13.87%,,0.73,,0.50,,34.09%,,38.02%,,0.42,G,0.32,,76.45%,,61.52%,,0:40:19,G,0:42:43,G,126/394,,136/394,
604,,-10.94%,R,2.79%,,10.27%,,21.78%,,6.32%,,8.07%,,6.04%,,11.71%,,23,,319,G,25.05%,R,36.64%,,11,G,173,G,70.02%,,63.41%,,0:51:09,,0:52:10,,1771/2576,,971/2576,
723,,-4.10%,,6.92%,,14.86%,,19.38%,,15.96%,,12.97%,,8.14%,,17.06%,,13,,128,,31.38%,,36.79%,,10,G,151,G,74.69%,,63.97%,,0:24:56,G,0:28:57,G,883/2576,,530/2576,
734,,-10.16%,R,3.51%,,7.66%,,16.14%,,5.17%,,9.70%,,-3.00%,,16.27%,,11,,214,,36.64%,,33.77%,,1,R,33,,60.04%,,55.20%,,0:58:14,,0:51:58,,2103/2576,R,1316/2576,
740,,1.51%,,4.96%,,4.00%,,19.29%,,-3.90%,R,7.61%,,15.48%,,8.72%,,25,,264,,34.71%,,43.42%,,5,,55,,71.82%,,82.80%,G,0:30:48,G,0:29:16,G,1157/2576,,732/2576,
1091,,-4.04%,,-0.94%,R,25.54%,,24.08%,,1.84%,,19.21%,G,43.36%,G,13.01%,,14,,87,,19.85%,R,21.06%,R,6,,35,,33.46%,R,41.67%,,0:37:39,,0:42:53,,850/2576,,1285/2576,
1134,,-3.28%,,5.05%,,15.68%,,14.48%,,7.10%,,8.72%,,32.24%,G,16.18%,,87,G,152,,38.97%,,36.50%,,8,,44,,60.14%,,54.84%,,1:32:03,R,1:21:23,R,1086/2576,,1444/2576,
1462,,-10.57%,R,6.47%,,-5.74%,R,28.78%,G,-4.57%,R,13.15%,,-21.37%,R,23.13%,,0,R,15,R,38.93%,,30.05%,,0,R,13,R,25.17%,R,28.67%,R,0:31:12,G,0:35:32,G,2415/2576,R,647/2576,
2114,,2.49%,G,9.12%,G,13.14%,,17.50%,,8.72%,,7.66%,,13.78%,,14.76%,,6,,332,G,34.26%,,39.79%,,6,,178,G,64.53%,,72.40%,,0:29:59,G,0:27:48,G,739/2576,,507/2576,G
2534,,-5.25%,,1.53%,,28.32%,,10.72%,,0.00%,,-4.28%,R,17.63%,,7.53%,,47,G,419,G,31.85%,,41.29%,,10,G,101,,72.13%,,66.53%,,0:35:59,G,0:35:59,G,682/2576,,1667/2576,
Total,B,-5.17%,,4.23%,,13.26%,,18.22%,,4.22%,R,7.72%,,11.91%,,14.22%,,0.84,,0.65,,31.93%,,35.49%,,0.21,,0.26,,59.81%,,59.04%,,0:41:58,G,0:41:44,G,189/394,,110/394,
424,,0.84%,,6.99%,,10.53%,,23.54%,,9.14%,,9.96%,,-6.28%,,23.02%,,27,,624,G,35.27%,,46.12%,G,2,,6,R,93.97%,G,87.33%,G,0:44:15,,0:43:07,,1146/2576,,438/2576,G
483,,2.88%,G,5.89%,,26.76%,,22.36%,,30.82%,G,15.43%,,17.61%,,19.19%,,10,,123,,34.43%,,37.39%,,3,,18,R,62.87%,,50.79%,,0:37:21,,0:34:39,G,287/2576,G,615/2576,
700,,-4.24%,,5.61%,,3.81%,,18.37%,,9.47%,,11.09%,,-11.41%,R,16.42%,,41,G,200,,17.66%,R,33.87%,,19,G,41,,26.95%,R,20.97%,R,0:57:30,,0:51:34,,1979/2576,,1073/2576,
930,,-3.72%,,1.05%,,18.75%,,2.05%,R,49.69%,G,-6.43%,R,-26.00%,R,-4.60%,R,6,,60,,32.82%,,32.44%,,7,,53,,26.25%,R,41.52%,,0:30:45,G,0:31:17,G,1002/2576,,2271/2576,R
938,,3.13%,G,8.10%,G,26.20%,,24.41%,,87.89%,G,12.04%,,0.37%,,25.87%,G,5,,30,R,19.26%,R,30.65%,,4,,16,R,7.04%,R,8.54%,R,0:41:00,,0:33:46,G,611/2576,,625/2576,
1101,,-5.66%,,5.50%,,-1.67%,R,16.94%,,12.11%,,-1.03%,,-17.97%,R,20.63%,,7,,99,,29.68%,,34.20%,,2,,29,,61.48%,,60.96%,,0:45:58,,0:54:46,,2144/2576,R,1313/2576,
4318,,-3.80%,,8.09%,G,8.00%,,25.64%,,7.99%,,19.01%,G,4.66%,,16.45%,,3,,50,,29.17%,,35.74%,,3,,65,,11.06%,R,14.14%,R,0:31:38,G,0:29:32,G,1578/2576,,447/2576,G
4407,,-2.37%,,7.67%,,13.41%,,28.62%,G,-8.41%,R,17.02%,,16.19%,,22.34%,,20,,48,,48.14%,G,42.48%,,1,R,8,R,47.37%,,27.90%,R,0:35:57,G,0:36:53,G,1116/2576,,456/2576,G
5348,,-6.93%,,7.13%,,-10.41%,R,15.10%,,-53.67%,R,-4.66%,R,10.93%,,18.58%,,12,,34,R,34.24%,,34.93%,,7,,11,R,44.09%,,16.21%,R,0:37:53,,0:38:18,,2114/2576,R,1398/2576,
Total,B,-2.36%,,6.30%,G,9.98%,,20.18%,,13.16%,,8.72%,,-0.38%,,17.61%,,0.49,,0.42,,32.81%,,37.05%,,0.18,,0.08,R,42.00%,R,35.45%,R,0:40:03,G,0:38:43,G,227/394,,85/394,
329,,-14.82%,R,3.07%,,-6.40%,R,26.47%,,11.91%,,25.86%,G,-33.54%,R,5.30%,,35,G,614,G,31.43%,,44.05%,,8,,123,G,112.38%,G,101.28%,G,0:31:16,G,0:36:44,G,2102/2576,R,479/2576,G
355,,-0.99%,,3.48%,,2.64%,,3.62%,R,-0.63%,,-6.70%,R,-6.37%,,3.61%,R,8,,42,,29.17%,,32.52%,,1,R,18,R,28.29%,R,38.20%,,1:17:01,R,1:10:21,R,2158/2576,R,2389/2576,R
356,,-9.85%,,0.07%,R,-3.89%,R,18.81%,,12.14%,,11.35%,,-13.92%,R,18.18%,,11,,215,,27.76%,,28.11%,,0,R,17,R,67.92%,,76.21%,,0:25:29,G,0:25:56,G,2169/2576,R,1143/2576,
432,,-5.71%,,-1.21%,R,-8.60%,R,4.11%,R,2.47%,,-1.84%,,-29.91%,R,1.07%,R,2,R,47,,32.93%,,31.29%,,2,,9,R,49.59%,,61.45%,,0:35:05,G,0:35:30,G,2261/2576,R,2331/2576,R
726,,-2.77%,,5.59%,,7.99%,,24.79%,,14.34%,,11.46%,,1.11%,,16.73%,,19,,348,G,18.72%,R,26.24%,R,0,R,41,,17.61%,R,14.62%,R,0:54:17,,0:59:13,,1792/2576,,892/2576,
730,,1.70%,,0.48%,,5.63%,,9.53%,,16.00%,,6.10%,,-14.96%,R,3.62%,R,44,G,195,,42.82%,G,44.34%,G,3,,67,,71.30%,,55.95%,,0:56:26,,0:56:35,,1395/2576,,1965/2576,
733,,8.03%,G,14.21%,G,20.18%,,25.48%,,8.33%,,9.94%,,42.25%,G,30.60%,G,25,,379,G,33.08%,,38.30%,,12,G,86,,68.80%,,56.17%,,0:37:16,,0:46:07,,302/2576,G,224/2576,G
809,,1.19%,,3.31%,,16.09%,,15.66%,,20.15%,,13.92%,,14.54%,,16.98%,,13,,112,,28.52%,,33.69%,,6,,40,,57.81%,,43.39%,,0:43:51,,0:48:50,,729/2576,,1325/2576,
863,,5.36%,G,6.24%,,32.43%,G,32.18%,G,24.20%,,17.77%,G,61.02%,G,36.47%,G,7,,108,,21.05%,R,25.18%,R,0,R,21,,21.40%,R,21.91%,R,0:37:54,,0:37:06,G,354/2576,G,448/2576,G
Total,B,-2.18%,,3.69%,,5.88%,R,16.42%,,11.67%,,9.01%,,-3.49%,R,12.59%,,0.61,,0.69,,29.01%,,33.65%,,0.12,,0.14,,50.65%,,49.82%,,0:44:40,,0:46:24,,309/394,,199/394,
423,,-14.87%,R,-3.46%,R,-5.90%,R,5.87%,R,-7.08%,R,3.96%,,-12.63%,R,-4.71%,R,4,,25,R,34.77%,,43.62%,,4,,30,,87.11%,,45.23%,,1:12:49,R,0:50:40,,2504/2576,R,2361/2576,R
1229,,-2.54%,,-4.71%,R,0.65%,R,0.25%,R,2.77%,,-5.52%,R,7.25%,,14.87%,,12,,58,,36.90%,,44.80%,G,2,,43,,51.55%,,27.20%,R,0:48:55,,0:59:56,,1790/2576,,2425/2576,R
2111,,-11.24%,R,-0.45%,R,15.01%,,13.10%,,38.83%,G,17.77%,G,-13.95%,R,11.50%,,7,,120,,32.43%,,37.03%,,1,R,11,R,85.33%,,57.26%,,0:28:42,G,0:38:59,,1348/2576,,1647/2576,
3271,,-7.55%,,6.16%,,3.04%,,15.37%,,1.36%,,13.26%,,1.64%,,12.88%,,21,,132,,39.53%,,48.83%,G,11,G,51,,57.60%,,31.30%,R,0:32:21,G,0:37:55,,1695/2576,,927/2576,
4330,,-8.05%,,5.89%,,12.09%,,27.41%,,28.63%,,12.37%,,-6.40%,,11.25%,,19,,275,G,35.14%,,46.84%,G,4,,107,,102.83%,G,98.20%,G,0:26:33,G,0:27:42,G,1135/2576,,267/2576,G
4497,,-1.00%,,3.67%,,22.50%,,23.99%,,21.48%,,15.22%,,14.78%,,17.73%,,16,,165,,34.25%,,35.72%,,2,,54,,9.32%,R,24.65%,R,0:42:14,,0:44:37,,693/2576,,797/2576,
5262,,-1.15%,,8.94%,G,21.31%,,30.50%,G,45.41%,G,31.44%,G,16.60%,,30.29%,G,12,,147,,31.07%,,42.01%,,5,,38,,89.00%,,66.49%,,0:38:43,,0:42:29,,462/2576,G,146/2576,G
Total,B,-7.20%,,2.24%,,7.32%,R,15.46%,,13.07%,,10.77%,,-0.75%,R,11.64%,,0.43,,0.40,,35.36%,,43.17%,G,0.14,,0.14,,68.88%,,49.17%,,0:43:25,,0:44:24,,301/394,,244/394,
990,,5.22%,G,4.37%,,9.18%,,15.70%,,7.44%,,6.84%,,-1.52%,,4.18%,R,2,R,21,R,39.11%,,39.37%,,3,,43,,83.02%,,71.61%,,0:45:41,,0:48:46,,1172/2576,,1470/2576,
1174,,-3.59%,,1.34%,,7.11%,,16.22%,,13.78%,,6.29%,,-8.98%,R,5.92%,,11,,162,,31.20%,,36.48%,,2,,26,,40.27%,,55.82%,,0:46:53,,1:13:31,R,1737/2576,,1839/2576,
1222,,3.96%,G,9.61%,G,40.18%,G,54.42%,G,27.76%,,30.35%,G,20.71%,,27.43%,G,150,G,2000,G,50.21%,G,58.78%,G,75,G,423,G,87.24%,,77.91%,,0:59:28,,1:07:57,R,104/2576,G,42/2576,G
1224,,-0.98%,,0.67%,,0.81%,R,15.94%,,8.62%,,5.33%,,-2.16%,,9.56%,,89,G,376,G,36.50%,,46.24%,G,5,,69,,56.42%,,36.77%,,0:49:29,,0:47:22,,1610/2576,,1528/2576,
1620,,-1.50%,,5.04%,,12.61%,,11.89%,,10.23%,,-1.25%,,13.16%,,10.08%,,6,,326,G,33.63%,,35.06%,,17,G,131,G,88.55%,,68.05%,,0:33:21,G,0:37:37,,858/2576,,1326/2576,
2533,,-5.11%,,2.97%,,15.73%,,13.91%,,-2.87%,R,-2.83%,R,43.71%,G,29.16%,G,17,,159,,31.63%,,48.00%,G,6,,69,,111.19%,G,99.23%,G,0:50:34,,0:40:09,,1100/2576,,1123/2576,
2739,,0.91%,,5.65%,,15.61%,,17.23%,,17.59%,,12.31%,,9.70%,,9.82%,,17,,520,G,19.19%,R,28.36%,,4,,47,,75.76%,,60.66%,,1:14:55,R,1:06:48,R,1101/2576,,1207/2576,
3484,,-13.96%,R,1.99%,,-2.65%,R,13.89%,,1.71%,,7.71%,,-19.52%,R,7.53%,,44,G,405,G,62.12%,G,53.89%,G,9,,54,,63.73%,,62.21%,,0:54:40,,0:46:47,,2295/2576,R,1433/2576,
Total,B,-1.41%,,4.22%,,10.96%,,19.51%,,9.14%,,8.18%,,3.59%,,11.29%,,1.40,G,1.49,G,38.74%,,43.32%,G,0.50,G,0.32,G,76.66%,,65.42%,,0:52:25,,0:51:38,,168/394,,107/394,
818,,-2.18%,,-3.41%,R,4.01%,,4.12%,R,26.30%,,2.77%,,-0.40%,,4.90%,R,3,,44,,27.54%,,36.23%,,2,,21,,18.76%,R,28.46%,R,0:57:21,,1:15:14,R,1834/2576,,2497/2576,R
919,,-1.69%,,1.82%,,9.55%,,12.80%,,9.50%,,5.95%,,-1.03%,,10.60%,,45,G,500,G,48.26%,G,48.02%,G,29,G,158,G,67.53%,,55.27%,,0:38:58,,0:33:35,G,1032/2576,,1303/2576,
944,,-1.28%,,5.17%,,8.68%,,19.63%,,4.55%,,14.97%,,9.59%,,18.67%,,3,,66,,42.42%,G,44.31%,G,3,,51,,66.09%,,55.60%,,0:57:37,,0:55:46,,1480/2576,,875/2576,
1207,,2.14%,,6.17%,,13.60%,,18.65%,,8.22%,,6.55%,,15.42%,,11.51%,,11,,127,,40.84%,,42.46%,,5,,60,,87.24%,,73.74%,,0:57:16,,0:54:48,,912/2576,,973/2576,
1362,,-9.28%,,0.67%,,-5.51%,R,25.43%,,3.64%,,24.86%,G,6.39%,,11.75%,,15,,470,G,39.92%,,51.74%,G,24,G,519,G,100.78%,G,96.25%,G,1:27:56,R,1:15:37,R,2147/2576,R,804/2576,
3439,,-1.00%,,-0.74%,R,35.10%,G,18.11%,,115.79%,G,39.22%,G,7.06%,,10.99%,,4,,281,G,43.92%,G,44.56%,G,4,,37,,84.12%,,78.15%,,1:25:27,R,1:19:46,R,531/2576,,1415/2576,
Total,B,-1.84%,,2.06%,,9.66%,,16.66%,,14.95%,,11.52%,,6.44%,,11.87%,,0.45,,0.75,,40.82%,G,44.63%,G,0.37,G,0.42,G,71.11%,,64.41%,,0:59:00,R,0:56:49,,194/394,,194/394,
494,,-14.40%,R,2.44%,,-3.90%,R,-12.08%,R,8.64%,,-31.75%,R,-29.16%,R,2.02%,R,0,R,6,R,27.21%,,30.13%,,0,R,10,R,7.14%,R,12.63%,R,0:32:00,G,0:35:17,G,2462/2576,R,2439/2576,R
614,,0.33%,,5.27%,,9.82%,,18.81%,,17.55%,,4.83%,,16.12%,,24.51%,,13,,89,,20.76%,R,26.02%,R,5,,97,,37.45%,R,27.93%,R,0:52:17,,0:50:14,,1232/2576,,1115/2576,
932,,-4.06%,,6.20%,,11.73%,,23.79%,,0.41%,,0.52%,,19.53%,,44.81%,G,76,G,439,G,33.07%,,34.41%,,12,G,77,,77.24%,,76.71%,,0:40:25,,0:40:52,,1083/2576,,473/2576,G
1112,,5.93%,G,5.54%,,22.00%,,19.64%,,-2.72%,R,-6.45%,R,27.61%,G,26.82%,G,9,,62,,26.68%,,24.65%,R,3,,45,,68.27%,,47.18%,,0:48:58,,1:06:23,R,704/2576,,1355/2576,
1284,,-2.51%,,-4.40%,R,-11.29%,R,-4.00%,R,-26.12%,R,-0.30%,,1.40%,,-2.74%,R,4,,19,R,28.66%,,28.96%,,0,R,0,R,12.06%,R,14.91%,R,0:26:44,G,0:30:38,G,2174/2576,R,2504/2576,R
1311,,-2.08%,,5.44%,,13.63%,,25.58%,,21.35%,,26.14%,G,6.39%,,17.07%,,25,,495,G,29.33%,,32.67%,,5,,40,,68.61%,,52.23%,,0:58:17,,0:56:51,,1158/2576,,629/2576,
1338,,3.29%,G,5.52%,,26.67%,,20.84%,,4.95%,,27.56%,G,17.46%,,4.71%,R,17,,21,R,23.78%,R,26.36%,R,1,R,18,R,44.05%,,16.72%,R,1:06:56,R,1:02:13,,918/2576,,1382/2576,
3461,,66488.12%,G,38.27%,G,63776.25%,G,39.66%,G,,,20.74%,G,,,22.00%,,110,G,236,,24.45%,R,36.51%,,27,G,74,,113.88%,G,91.47%,G,0:36:32,,0:36:20,G,53/2576,G,31/2576,G
4200,,1.12%,,6.17%,,10.74%,,16.81%,,25.45%,,23.75%,G,22.02%,,15.64%,,1,R,36,R,25.33%,R,32.02%,,0,R,14,R,76.66%,,49.34%,,0:45:37,,0:50:47,,1084/2576,,1142/2576,
5363,,-2.92%,,3.47%,,-15.10%,R,5.66%,R,-13.63%,R,-9.56%,R,-6.54%,,17.42%,,0,R,0,R,21.68%,R,27.63%,R,2,,50,,20.75%,R,29.24%,R,0:41:15,,0:46:54,,2364/2576,R,2102/2576,R
Total,B,7.62%,G,6.01%,,21.08%,,14.75%,,16.07%,,2.79%,,19.07%,G,17.21%,,0.85,,0.42,,26.01%,R,30.03%,,0.18,,0.13,,54.52%,,42.81%,,0:44:30,,0:46:04,,37/394,G,228/394,
1223,,15.15%,G,13.33%,G,61.48%,G,39.80%,G,28.09%,,22.48%,G,93.67%,G,54.42%,G,10,,122,,45.09%,G,39.78%,,1,R,16,R,26.87%,R,34.56%,,0:59:56,,0:58:21,,155/2576,G,238/2576,G
1375,,5.33%,G,6.98%,,21.67%,,27.28%,,18.11%,,16.82%,,9.65%,,21.27%,,59,G,506,G,38.40%,,30.94%,,16,G,434,G,101.76%,G,80.49%,G,0:30:05,G,0:30:59,G,178/2576,G,175/2576,G
1408,,-7.41%,,2.59%,,7.69%,,14.30%,,0.17%,,13.06%,,-3.58%,,13.00%,,151,G,321,G,30.21%,,30.87%,,14,G,49,,65.72%,,37.82%,,1:04:46,R,0:50:31,,1925/2576,,1484/2576,
3307,,10.21%,G,8.18%,G,40.91%,G,19.60%,,24.44%,,13.10%,,49.36%,G,21.03%,,152,G,187,,37.77%,,50.07%,G,17,G,48,,100.43%,G,94.61%,G,0:46:09,,0:37:29,G,37/2576,G,388/2576,G
5172,,2.02%,,11.20%,G,25.71%,,21.50%,,16.06%,,9.92%,,-3.66%,,16.88%,,15,,68,,40.22%,,43.20%,,8,,38,,43.21%,,38.00%,,0:52:11,,0:41:14,,672/2576,,586/2576,
5422,,-4.99%,,-0.17%,R,3.86%,,11.77%,,5.87%,,1.24%,,13.49%,,14.76%,,0,R,0,R,12.78%,R,18.56%,R,2,,50,,6.28%,R,3.44%,R,0:26:07,G,0:27:19,G,1829/2576,,2005/2576,
Total,B,3.10%,G,6.80%,G,24.40%,G,21.81%,,14.42%,,12.39%,G,17.61%,G,21.14%,,2.15,G,0.60,,33.98%,,34.75%,,0.32,,0.32,,61.33%,,49.47%,,0:46:00,,0:40:43,G,20/394,G,31/394,G
&nbsp;,B,-1.87%,,3.91%,,11.92%,,16.90%,,10.47%,,7.59%,,5.17%,,13.33%,,0.89,,0.63,,34.93%,,39.15%,,0.27,,0.23,,63.38%,,53.15%,,0:46:31,,0:46:43,,18/34,,12/34,
87,,-6.70%,,9.22%,G,11.67%,,17.93%,,12.13%,,15.24%,,-12.36%,R,8.71%,,33,G,82,,34.48%,,34.15%,,0,R,4,R,59.56%,,42.06%,,0:29:59,G,0:28:38,G,1481/2576,,846/2576,
278,,-7.31%,,4.89%,,9.69%,,23.64%,,12.99%,,8.61%,,-14.65%,R,12.29%,,4,,34,R,45.56%,G,36.93%,,0,R,7,R,78.99%,,82.67%,G,0:27:43,G,0:37:03,G,1563/2576,,827/2576,
376,,3.02%,G,4.76%,,10.23%,,22.88%,,5.28%,,15.72%,,-2.61%,,14.74%,,0,R,3,R,34.78%,,34.81%,,0,R,2,R,42.47%,,40.42%,,0:51:53,,0:52:36,,1567/2576,,1102/2576,
448,,-4.90%,,-3.09%,R,-3.83%,R,-1.47%,R,-12.85%,R,-7.12%,R,-3.85%,,-8.23%,R,0,R,2,R,33.71%,,39.03%,,0,R,0,R,13.71%,R,8.21%,R,0:33:25,G,0:33:22,G,2266/2576,R,2503/2576,R
450,,0.40%,,11.55%,G,26.04%,,29.02%,G,16.67%,,16.11%,,2.37%,,13.03%,,6,,108,,39.31%,,41.44%,,0,R,13,R,46.82%,,33.82%,,0:33:27,G,0:36:39,G,626/2576,,399/2576,G
3868,,-5.65%,,-5.06%,R,-0.02%,R,6.22%,R,-7.91%,R,-8.17%,R,0.36%,,4.93%,R,18,,18,R,29.09%,,32.24%,,10,G,14,R,42.55%,,41.03%,,0:41:01,,0:38:51,,2016/2576,,2419/2576,R
6932,,1.70%,,4.68%,,20.97%,,14.37%,,2.81%,,7.04%,,32.80%,G,12.86%,,0,R,2,R,35.46%,,38.09%,,0,R,9,R,51.39%,,37.31%,,0:44:05,,0:42:54,,877/2576,,1544/2576,
Total,B,-2.74%,,4.16%,,11.53%,,17.32%,,5.70%,,7.84%,,-2.29%,R,9.20%,,0.29,,0.11,R,36.55%,,36.56%,,0.05,R,0.02,R,50.72%,,43.82%,,0:36:25,G,0:38:25,G,253/394,,206/394,
23,,-5.61%,,5.63%,,8.71%,,21.18%,,2.58%,,13.17%,,-6.21%,,5.57%,,29,G,253,,34.44%,,35.37%,,12,G,139,G,89.07%,,79.50%,G,0:32:47,G,0:38:34,,1406/2576,,668/2576,
98,,6.38%,G,10.47%,G,21.31%,,31.61%,G,37.62%,G,33.41%,G,2.22%,,17.18%,,14,,100,,39.57%,,44.98%,G,1,R,13,R,40.92%,,41.85%,,0:36:47,,0:37:51,,463/2576,G,235/2576,G
307,,-4.44%,,10.00%,G,22.06%,,32.87%,G,25.22%,,21.89%,G,5.00%,,21.59%,,51,G,385,G,36.77%,,37.93%,,19,G,82,,41.27%,,38.36%,,0:37:35,,0:49:09,,648/2576,,195/2576,G
976,,-13.89%,R,2.53%,,4.07%,,16.88%,,-2.08%,R,7.74%,,-6.70%,,1.04%,R,32,G,140,,34.84%,,37.35%,,2,,21,,36.97%,R,55.43%,,0:20:07,G,0:25:49,G,2081/2576,R,1391/2576,
1193,,0.68%,,6.47%,,24.98%,,10.00%,,7.64%,,-1.18%,,39.00%,G,9.33%,,9,,142,,38.33%,,49.23%,G,6,,36,,50.28%,,44.18%,,0:52:44,,0:54:47,,595/2576,,1654/2576,
Total,B,-3.84%,,6.93%,G,14.79%,,21.54%,,9.75%,,12.16%,,2.96%,,9.99%,,0.90,,0.61,,36.51%,,40.24%,,0.27,,0.18,,55.82%,,54.52%,,0:36:05,G,0:40:54,G,150/394,,49/394,G
16,,0.93%,,2.78%,,22.71%,,19.13%,,20.63%,,6.63%,,26.10%,G,11.45%,,34,G,355,G,28.39%,,39.33%,,11,G,104,,90.29%,,90.71%,G,0:44:35,,0:50:19,,377/2576,G,1029/2576,
66,,-4.22%,,-0.76%,R,-2.66%,R,8.39%,,1.60%,,8.34%,,-1.45%,,-5.84%,R,6,,120,,31.96%,,42.79%,,2,,417,G,82.99%,,76.11%,,0:33:29,G,0:30:03,G,1872/2576,,1779/2576,
67,,-2.36%,,3.70%,,22.81%,,13.09%,,-1.26%,R,-1.33%,,20.35%,,9.52%,,32,G,153,,38.24%,,47.33%,G,22,G,73,,68.63%,,74.57%,,0:52:19,,0:55:42,,784/2576,,1563/2576,
125,,1.28%,,4.12%,,34.80%,G,19.10%,,32.33%,G,4.44%,,19.45%,,6.76%,,26,,171,,24.14%,R,31.23%,,21,G,199,G,57.85%,,61.47%,,0:54:12,,1:04:26,R,362/2576,G,1353/2576,
141,,-7.43%,,3.40%,,14.70%,,15.52%,,12.69%,,6.43%,,9.13%,,10.79%,,15,,464,G,31.14%,,35.36%,,2,,107,,77.05%,,59.93%,,0:37:17,,0:41:36,,1208/2576,,1191/2576,
358,,-9.46%,,5.39%,,1.80%,,20.20%,,2.82%,,12.27%,,-11.24%,R,5.80%,,18,,175,,30.63%,,42.99%,,89,G,506,G,54.18%,,68.28%,,0:45:40,,0:49:12,,2115/2576,R,796/2576,
388,,-5.85%,,2.13%,,-0.31%,R,2.56%,R,-9.00%,R,-11.57%,R,0.17%,,7.20%,,43,G,177,,35.77%,,37.82%,,29,G,156,G,56.41%,,70.27%,,1:08:40,R,1:00:37,,2123/2576,R,2159/2576,R
Total,B,-3.70%,,2.85%,,11.61%,,13.30%,,7.65%,,2.94%,,7.37%,,5.87%,R,0.83,,0.69,,31.38%,,39.28%,,0.84,G,0.67,G,70.69%,,71.53%,G,0:47:27,,0:49:35,,190/394,,283/394,
2,,-8.31%,,0.34%,,-12.08%,R,1.27%,R,-5.77%,R,-6.64%,R,-9.58%,R,-2.62%,R,32,G,783,G,30.06%,,45.78%,G,17,G,384,G,64.16%,,63.32%,,0:32:28,G,0:53:14,,2170/2576,R,2175/2576,R
54,,-3.17%,,4.43%,,10.53%,,17.77%,,15.57%,,10.33%,,8.04%,,10.98%,,6,,61,,29.58%,,35.31%,,12,G,57,,87.66%,,86.67%,G,0:58:23,,1:00:46,,1334/2576,,1246/2576,
76,,2.38%,,4.35%,,16.58%,,13.59%,,12.90%,,1.80%,,6.61%,,9.98%,,15,,55,,36.43%,,48.34%,G,13,G,40,,62.02%,,64.76%,,0:43:40,,0:34:39,G,689/2576,,1338/2576,
144,,-4.06%,,0.63%,,13.97%,,5.71%,R,27.20%,,8.60%,,-1.39%,,-3.58%,R,17,,46,,29.67%,,36.61%,,1,R,21,,41.60%,,42.71%,,0:54:35,,1:00:20,,1411/2576,,2327/2576,R
359,,-4.61%,,-1.00%,R,2.20%,,-0.65%,R,4.42%,,-9.19%,R,25.77%,G,7.27%,,14,,66,,25.56%,R,41.60%,,2,,33,,41.99%,,44.96%,,1:08:03,R,1:11:32,R,1960/2576,,2479/2576,R
914,,-5.35%,,3.94%,,11.61%,,19.84%,,3.48%,,8.52%,,6.77%,,10.40%,,8,,146,,41.22%,,50.77%,G,2,,64,,113.41%,G,103.68%,G,0:21:49,G,0:23:38,G,1149/2576,,693/2576,
Total,B,-4.30%,,1.94%,,6.32%,R,9.13%,R,9.77%,,2.48%,,4.37%,,4.12%,R,0.51,,0.58,,31.28%,,42.25%,G,0.26,,0.30,,66.70%,,66.96%,,0:48:06,,0:51:49,,293/394,,343/394,R
1,,0.32%,,5.04%,,8.19%,,19.16%,,3.76%,,12.76%,,11.71%,,10.48%,,2,R,33,R,28.42%,,46.24%,G,2,,17,R,91.49%,,81.64%,G,1:07:46,R,0:56:10,,1573/2576,,1090/2576,
4,,-1.91%,,0.63%,,4.35%,,8.08%,R,-11.46%,R,2.27%,,39.78%,G,4.95%,R,7,,77,,25.10%,R,33.48%,,5,,45,,33.20%,R,41.35%,,0:48:37,,0:52:43,,1700/2576,,2203/2576,R
100,,0.25%,,3.56%,,26.87%,,14.87%,,41.84%,G,9.57%,,25.11%,G,20.99%,,126,G,1116,G,27.11%,,42.71%,,158,G,931,G,78.79%,,58.86%,,0:42:25,,0:52:24,,215/2576,G,1010/2576,
4108,,3.32%,G,7.05%,,23.76%,,28.26%,G,26.69%,,20.18%,G,5.83%,,23.45%,,19,,135,,30.14%,,36.15%,,3,,37,,48.99%,,51.54%,,0:38:24,,0:45:49,,482/2576,G,424/2576,G
5260,,-1.11%,,1.03%,,23.90%,,14.85%,,33.56%,G,9.34%,,12.30%,,8.16%,,34,G,249,,24.87%,R,39.94%,,4,,33,,70.09%,,62.13%,,1:12:52,R,1:02:58,,785/2576,,1717/2576,
5261,,4.78%,G,11.43%,G,11.38%,,28.45%,G,19.80%,,18.39%,G,-2.23%,,22.56%,,30,G,63,,28.50%,,45.19%,G,7,,43,,58.14%,,47.30%,,0:48:47,,0:47:10,,988/2576,,304/2576,G
