Store,DSL Gen,DSL Start date,Resource Link,Toolkit Link by Gen,RDC,APD Phase 1,APD Phase 2,APD Phase 3,HVDC Start Date,FDD Start Date,CoSTL Install Date,Digital Lock Install Date,Digital Lock Survey Date,Next Gen Cash Recycler Install Date
963,Gen 2,4/30/2023,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,Completed,Completed,6/10/2024,,,
964,,,,,6012,12/18/2024,6/18/2026,10/18/2027,7/15/2024,7/15/2024,9/17/2024,,,8/19/2024
965,,,,,7039,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,
966,Gen 3,6/16/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7026,7/1/2027,10/1/2028,,7/15/2024,7/15/2024,8/27/2024,,,
967,,,,,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,7/17/2024,,,
968,,,,,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,9/22/2024,,,
969,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
970,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,7/19/2024
971,,,,,7039,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,
972,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,2/28/2024,TBD,,
973,,,,,7038,1/1/2028,4/1/2029,,Completed,Completed,9/23/2024,,,
974,,,,,7038,1/1/2028,4/1/2029,,Completed,Completed,9/25/2024,,,
975,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
976,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
977,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,6/16/2024,,,
978,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
979,,,,,7039,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,
980,Gen 2,5/14/2023,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6019,12/8/2025,3/8/2027,7/8/2028,8/19/2024,8/19/2024,8/11/2024,,,
981,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
982,,,,,6025,Complete,4/6/2025,8/6/2026,Completed,Completed,,,,
984,Gen 3,6/16/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,12/8/2025,3/8/2027,7/8/2028,8/19/2024,8/19/2024,8/18/2024,,,
985,,,,,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,,,,
986,Gen 3,6/16/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,12/8/2025,3/8/2027,7/8/2028,8/19/2024,8/19/2024,8/19/2024,,,8/29/2024
987,,,,,7038,1/1/2028,4/1/2029,,9/16/2024,9/16/2024,9/23/2024,,,
988,,,,,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,9/4/2024,,,
989,,,,,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,,,,7/15/2024
990,,,,,6011,Complete,9/12/2025,1/12/2027,8/19/2024,8/19/2024,9/15/2024,,,
991,,,,,6011,Complete,9/12/2025,1/12/2027,8/19/2024,8/19/2024,,,Week 33,
992,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
993,,,,,6035,8/15/2024,1/26/2026,5/26/2027,8/5/2024,8/5/2024,,,Week 33,
994,,,,,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,7/9/2024,,,7/19/2024
995,,,,,6017,4/7/2025,10/31/2026,2/29/2028,Completed,Completed,,,,8/15/2024
996,,,,,6017,4/7/2025,10/31/2026,2/29/2028,Completed,Completed,,,,
998,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,,,
999,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,,,,
1000,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,,,,
1001,Gen 3,7/7/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,12/8/2025,3/8/2027,7/8/2028,8/19/2024,8/19/2024,8/27/2024,,,8/30/2024
1002,,,,,6017,4/7/2025,10/31/2026,2/29/2028,Completed,Completed,,,,
1003,,,,,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,,,,
1004,,,,,6020,Complete,9/1/2024,In Progress,9/16/2024,9/16/2024,8/11/2024,,,
1005,,,,,6009,10/1/2026,1/1/2028,,Completed,Completed,,,,
1006,,,,,6010,Complete,1/6/2025,5/6/2026,6/24/2024,6/24/2024,,,,
1007,,,,,7039,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,
1008,Gen 3,6/16/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,12/8/2025,3/8/2027,7/8/2028,8/19/2024,8/19/2024,,,,
1009,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,,,,
1010,,,,,6040,8/15/2024,12/22/2025,4/22/2027,7/22/2024,7/22/2024,8/11/2024,9/27/2024,,
1011,,,,,6010,Complete,1/6/2025,5/6/2026,6/24/2024,6/24/2024,,,Week 33,
1012,,,,,7039,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,
1013,,,,,6092,4/1/2028,7/1/2029,,,,,,,
1014,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,TBD,,
1015,,,,,6012,12/18/2024,6/18/2026,10/18/2027,7/15/2024,7/15/2024,,,,
1016,,,,,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,,,,
1017,,,,,6040,8/15/2024,12/22/2025,4/22/2027,Completed,Completed,,,,
1018,,,,,6010,Complete,1/6/2025,5/6/2026,6/24/2024,6/24/2024,,,,7/27/2024
1019,Gen 3,7/7/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,12/8/2025,3/8/2027,7/8/2028,8/19/2024,8/19/2024,8/12/2024,,,8/30/2024
1020,,,,,6025,Complete,4/6/2025,8/6/2026,Completed,Completed,,,,
1021,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
1022,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,9/10/2024,,,
1023,,,,,6039,Complete,4/18/2025,8/18/2026,7/22/2024,7/22/2024,7/16/2024,,,
1024,,,,,6010,Complete,1/6/2025,5/6/2026,6/24/2024,6/24/2024,,,,
1025,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
1026,,,,,6017,4/7/2025,10/31/2026,2/29/2028,Completed,Completed,,,,
1027,,,,,6070,1/1/2028,4/1/2029,,7/22/2024,7/22/2024,8/28/2024,9/30/2024,,
1028,,,,,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,,,,
1029,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,7/16/2024,,,
1030,,,,,6070,1/1/2028,4/1/2029,,Completed,Completed,9/17/2024,TBD,,
1032,,,,,6010,Complete,1/6/2025,5/6/2026,8/19/2024,8/19/2024,,,,
1033,,,,,6017,4/7/2025,10/31/2026,2/29/2028,Completed,Completed,,,,
1034,,,,,6070,1/1/2028,4/1/2029,,Completed,Completed,8/26/2024,10/2/2024,,
1035,,,,,6070,1/1/2028,4/1/2029,,Completed,Completed,5/13/2024,TBD,,
1036,,,,,6070,1/1/2028,4/1/2029,,Completed,Completed,8/19/2024,10/1/2024,,
1037,,,,,6040,8/15/2024,12/22/2025,4/22/2027,Completed,Completed,,TBD,,
1038,,,,,6025,Complete,4/6/2025,8/6/2026,Completed,Completed,,,,
1039,,,,,6039,Complete,4/18/2025,8/18/2026,7/22/2024,7/22/2024,9/22/2024,,,
1040,,,,,7036,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,9/29/2024,9/17/2024,,
1041,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,9/17/2024,,,
1042,,,,,6016,4/1/2028,7/1/2029,,Completed,Completed,9/30/2024,9/9/2024,,
1043,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
1044,,,,,6036,Complete,12/5/2024,4/5/2026,6/24/2024,6/24/2024,,,,
1045,Gen 3,7/7/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,12/8/2025,3/8/2027,7/8/2028,8/5/2024,8/5/2024,,,,
1046,,,,,6016,Complete,11/12/2024,3/12/2026,,,1/20/2025,,,
1047,,,,,6054,4/1/2027,7/1/2028,,8/5/2024,8/5/2024,,LIVE,,
1048,,,,,6039,Complete,4/18/2025,8/18/2026,6/24/2024,6/24/2024,6/16/2024,,,
1051,,,,,6012,12/18/2024,6/18/2026,10/18/2027,Completed,Completed,,,,
1052,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,
1053,,,,,6017,4/7/2025,10/31/2026,2/29/2028,6/24/2024,6/24/2024,5/13/2024,,,
1054,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,1/20/2025,,Week 33,
1055,,,,,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,3/4/2024,LIVE,,
1056,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
1057,,,,,6054,4/1/2027,7/1/2028,,8/19/2024,8/19/2024,,,,
1058,Gen 3,6/16/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,12/8/2025,3/8/2027,7/8/2028,9/16/2024,9/16/2024,8/13/2024,,,8/27/2024
1059,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
1060,,,,,6070,1/1/2028,4/1/2029,,7/22/2024,7/22/2024,9/10/2024,TBD,,
1061,,,,,6010,Complete,1/6/2025,5/6/2026,6/24/2024,6/24/2024,,,,
1062,,,,,7036,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,,,,
1063,,,,,6010,Complete,1/6/2025,5/6/2026,,,8/5/2024,,,
1064,,,,,6070,1/1/2028,4/1/2029,,7/22/2024,7/22/2024,,TBD,,
1065,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/16/2024,,,8/7/2024
1066,,,,,6011,Complete,9/12/2025,1/12/2027,8/19/2024,8/19/2024,,,,
1067,,,,,7036,4/1/2028,7/1/2029,,Completed,Completed,1/21/2025,,,
1068,,,,,7038,1/1/2028,4/1/2029,,Completed,Completed,7/28/2024,,,
1069,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
1070,,,,,6039,Complete,4/18/2025,8/18/2026,Completed,Completed,,,,
1071,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
1072,,,,,6010,Complete,1/6/2025,5/6/2026,6/24/2024,6/24/2024,,,,7/22/2024
1073,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,,,,
1074,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,,,8/2/2024
1075,,,,,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,8/20/2024,,Week 33,
1076,,,,,6010,Complete,1/6/2025,5/6/2026,8/5/2024,8/5/2024,,,,
1077,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,3/6/2024,,,
1078,,,,,6012,12/18/2024,6/18/2026,10/18/2027,Completed,Completed,,,,
1079,,,,,7035,7/1/2026,10/1/2027,,Completed,Completed,6/26/2024,,,
1080,,,,,6039,Complete,4/18/2025,8/18/2026,6/24/2024,6/24/2024,8/20/2024,,,
1081,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,6/24/2024,,,
1082,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,7/14/2024,TBD,,4/26/2024
1083,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,7/7/2024,TBD,,
1084,,,,,6020,Complete,9/1/2024,In Progress,Completed,Completed,,,,
1085,,,,,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,9/10/2024,,,
1086,,,,,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,7/7/2024,,,
1087,,,,,7038,1/1/2028,4/1/2029,,Completed,Completed,9/11/2024,,,
1088,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,Week 33,
1089,,,,,6006,8/22/2024,4/2/2026,8/2/2027,6/24/2024,6/24/2024,8/18/2024,,,
1090,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,7/8/2024,TBD,,
1091,,,,,6010,Complete,1/6/2025,5/6/2026,8/19/2024,8/19/2024,8/20/2024,,,
1093,,,,,6092,4/1/2028,7/1/2029,,Completed,Completed,,,,
1094,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,TBD,,
1095,Gen 3,6/16/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,12/8/2025,3/8/2027,7/8/2028,8/19/2024,8/19/2024,8/27/2024,,,8/23/2024
1096,,,,,6070,1/1/2028,4/1/2029,,7/22/2024,7/22/2024,9/11/2024,TBD,,
1097,,,,,6040,8/15/2024,12/22/2025,4/22/2027,7/22/2024,7/22/2024,8/20/2024,,,
1098,,,,,7036,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,,,,6/30/2024
1099,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,LIVE,,8/28/2024
1100,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,
1101,,,,,6006,8/22/2024,4/2/2026,8/2/2027,8/19/2024,8/19/2024,8/4/2024,,,
1102,,,,,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,1/21/2025,,Week 33,
1103,,,,,7036,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,9/11/2024,LIVE,,
1104,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,7/7/2024,,,
1105,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/7/2024,8/29/2024,,8/8/2024
1106,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
1107,,,,,6048,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,
1108,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
1109,,,,,6011,Complete,9/12/2025,1/12/2027,Completed,Completed,,,,
1110,,,,,6048,11/1/2026,2/1/2028,,Completed,Completed,,,,7/26/2024
1111,,,,,6070,1/1/2028,4/1/2029,,Completed,Completed,1/19/2025,,,
1112,,,,,6054,4/1/2027,7/1/2028,,8/5/2024,8/5/2024,,,,
1113,,,,,6039,Complete,4/18/2025,8/18/2026,6/24/2024,6/24/2024,,,,
1114,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,,,,
1115,,,,,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,,,,
1116,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,8/15/2024
1117,,,,,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,8/2/2023,,,
1118,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,5/13/2024,LIVE,,
1119,,,,,7038,1/1/2028,4/1/2029,,9/16/2024,9/16/2024,6/16/2024,,,7/7/2024
1120,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,,,
1121,,,,,6010,Complete,1/6/2025,5/6/2026,Completed,Completed,,,,
1122,,,,,6070,1/1/2028,4/1/2029,,Completed,Completed,,,,8/6/2024
1123,,,,,6070,1/1/2028,4/1/2029,,Completed,Completed,9/3/2024,,,
1124,,,,,6006,8/22/2024,4/2/2026,8/2/2027,6/24/2024,6/24/2024,,,,
1125,,,,,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,,,,
1126,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,,,,
1128,,,,,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,,,Week 33,
1129,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,,9/9/2024,,
1130,,,,,6070,1/1/2028,4/1/2029,,Completed,Completed,9/16/2024,,,
1131,,,,,6070,1/1/2028,4/1/2029,,7/22/2024,7/22/2024,8/11/2024,,,
1132,,,,,6070,1/1/2028,4/1/2029,,7/22/2024,7/22/2024,8/20/2024,,,
1133,,,,,6070,1/1/2028,4/1/2029,,7/22/2024,7/22/2024,9/29/2024,,,
1134,,,,,6010,Complete,1/6/2025,5/6/2026,8/19/2024,8/19/2024,6/17/2024,,,
1135,,,,,6040,8/15/2024,12/22/2025,4/22/2027,Completed,Completed,6/19/2024,TBD,,
1136,,,,,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,,,Week 33,
1137,,,,,7036,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,,TBD,,
1138,,,,,7039,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,
1139,,,,,6024,Complete,1/24/2025,5/24/2026,6/24/2024,6/24/2024,,,,
1140,,,,,6017,4/7/2025,10/31/2026,2/29/2028,6/24/2024,6/24/2024,8/21/2024,,,
1141,,,,,6017,4/7/2025,10/31/2026,2/29/2028,Completed,Completed,7/7/2024,,,
1142,,,,,6017,4/7/2025,10/31/2026,2/29/2028,Completed,Completed,,,,
1143,,,,,6010,Complete,1/6/2025,5/6/2026,8/5/2024,8/5/2024,,,,7/29/2024
1144,,,,,6070,1/1/2028,4/1/2029,,Completed,Completed,5/21/2024,TBD,,
1146,,,,,6040,8/15/2024,12/22/2025,4/22/2027,Completed,Completed,,,,
1147,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,7/24/2024,,,
1148,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,9/9/2024,,,
1149,,,,,6031,6/30/2025,10/30/2026,,Completed,Completed,,,,
1150,,,,,7036,4/1/2028,7/1/2029,,Completed,Completed,,,,6/18/2024
1151,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,,,
1152,,,,,6025,Complete,4/6/2025,8/6/2026,Completed,Completed,,,,
1153,,,,,6010,Complete,1/6/2025,5/6/2026,8/5/2024,8/5/2024,,,Week 33,
1154,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,,,,
1155,,,,,6040,8/15/2024,12/22/2025,4/22/2027,Completed,Completed,8/11/2024,,,
1156,,,,,6070,1/1/2028,4/1/2029,,7/22/2024,7/22/2024,,TBD,,
1157,,,,,6017,4/7/2025,10/31/2026,2/29/2028,Completed,Completed,,,,
1158,,,,,6006,8/22/2024,4/2/2026,8/2/2027,8/5/2024,8/5/2024,,,,
1159,,,,,6039,Complete,4/18/2025,8/18/2026,,,8/11/2024,,,
1160,,,,,6017,4/7/2025,10/31/2026,2/29/2028,Completed,Completed,,,,
1161,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,9/24/2024,,
1162,,,,,6066,7/1/2027,10/1/2028,,Completed,Completed,,,,8/16/2024
1163,,,,,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,,9/26/2024,,
1164,,,,,6070,1/1/2028,4/1/2029,,Completed,Completed,3/25/2024,TBD,,
1165,,,,,6017,4/7/2025,10/31/2026,2/29/2028,6/24/2024,6/24/2024,8/20/2024,,,
1166,,,,,6040,8/15/2024,12/22/2025,4/22/2027,,,9/23/2024,,,
1167,,,,,7039,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,,TBD,,
1168,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
1169,,,,,6018,3/17/2025,11/13/2026,3/13/2028,9/16/2024,9/16/2024,,,,
1170,,,,,6017,4/7/2025,10/31/2026,2/29/2028,6/24/2024,6/24/2024,6/16/2024,,,
1171,,,,,6020,Complete,9/1/2024,In Progress,9/16/2024,9/16/2024,,,,
1172,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,,TBD,,
1173,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,7/10/2024,,,
1174,,,,,6006,8/22/2024,4/2/2026,8/2/2027,8/19/2024,8/19/2024,,,,
1175,,,,,6031,6/30/2025,10/30/2026,,Completed,Completed,,TBD,,
1176,,,,,7039,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,
1177,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
1178,,,,,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,6/17/2024,,,
1179,,,,,6039,Complete,4/18/2025,8/18/2026,6/24/2024,6/24/2024,,,Week 33,
1180,,,,,6017,4/7/2025,10/31/2026,2/29/2028,Completed,Completed,,,,
1181,,,,,6054,4/1/2027,7/1/2028,,8/5/2024,8/5/2024,,LIVE,,
1182,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,,,,
1183,,,,,6070,1/1/2028,4/1/2029,,Completed,Completed,3/26/2024,TBD,,
1184,,,,,6054,4/1/2027,7/1/2028,,8/5/2024,8/5/2024,,,,
1185,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,,9/9/2024,,6/23/2024
1186,,,,,7036,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,9/23/2024,,,
1187,,,,,6035,8/15/2024,1/26/2026,5/26/2027,7/15/2024,7/15/2024,,,,
1188,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,9/25/2024,,
1189,,,,,6039,Complete,4/18/2025,8/18/2026,6/24/2024,6/24/2024,6/17/2024,,,
1190,,,,,6039,Complete,4/18/2025,8/18/2026,6/24/2024,6/24/2024,6/19/2024,,,
1191,,,,,6040,8/15/2024,12/22/2025,4/22/2027,7/22/2024,7/22/2024,8/20/2024,,,
1192,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
1193,,,,,6011,Complete,9/12/2025,1/12/2027,Completed,Completed,,,Week 33,7/27/2024
1194,,,,,6039,Complete,4/18/2025,8/18/2026,6/24/2024,6/24/2024,8/19/2024,,,8/7/2024
1195,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
1196,,,,,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,,,,
1197,,,,,6040,8/15/2024,12/22/2025,4/22/2027,Completed,Completed,8/11/2024,,,
1198,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,9/25/2024,,,
1199,Gen 3,6/16/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,12/8/2025,3/8/2027,7/8/2028,8/19/2024,8/19/2024,8/13/2024,,,8/24/2024
1200,Gen 3,6/16/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,12/8/2025,3/8/2027,7/8/2028,8/19/2024,8/19/2024,,LIVE,,8/31/2024
1201,,,,,6006,8/22/2024,4/2/2026,8/2/2027,8/5/2024,8/5/2024,,,,
1202,,,,,7039,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,
1203,,,,,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,7/28/2024,,,
1204,,,,,6048,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,TBD,,
1205,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,7/24/2024,,,
1206,,,,,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,1/22/2025,,Week 33,
1207,,,,,6010,Complete,1/6/2025,5/6/2026,8/19/2024,8/19/2024,8/21/2024,,,7/22/2024
1209,,,,,6070,1/1/2028,4/1/2029,,7/22/2024,7/22/2024,8/21/2024,10/3/2024,,
1210,,,,,6017,4/7/2025,10/31/2026,2/29/2028,6/24/2024,6/24/2024,3/4/2024,,,
1211,,,,,7039,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,,,,
1212,,,,,6011,Complete,9/12/2025,1/12/2027,8/19/2024,8/19/2024,,,,
1213,,,,,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,7/10/2024,,,
1214,,,,,6019,12/8/2025,3/8/2027,7/8/2028,8/5/2024,8/5/2024,,,,
1215,,,,,6006,8/22/2024,4/2/2026,8/2/2027,Completed,Completed,,,,
1216,Gen 3,5/26/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,5/15/2024,TBD,,
1217,,,,,6039,Complete,4/18/2025,8/18/2026,Completed,Completed,9/8/2024,,,
1218,,,,,6031,6/30/2025,10/30/2026,,Completed,Completed,,,,
1219,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,6/19/2024,TBD,,
1220,,,,,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,6/18/2024,TBD,,
1221,,,,,6035,8/15/2024,1/26/2026,5/26/2027,7/15/2024,7/15/2024,,,Week 33,
1222,,,,,6011,Complete,9/12/2025,1/12/2027,8/19/2024,8/19/2024,7/8/2024,,,
1223,,,,,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,3/25/2024,,,
1224,,,,,6011,Complete,9/12/2025,1/12/2027,8/19/2024,8/19/2024,7/31/2024,,,
1225,Gen 2,5/14/2023,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,7035,7/1/2026,10/1/2027,,6/24/2024,6/24/2024,7/24/2024,,,
1226,,,,,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,8/5/2024,,,11/8/2023
1227,,,,,6010,Complete,1/6/2025,5/6/2026,Completed,Completed,,,,
1228,,,,,7039,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,,,,
1229,,,,,6006,8/22/2024,4/2/2026,8/2/2027,8/19/2024,8/19/2024,,,,
1230,,,,,6031,6/30/2025,10/30/2026,,Completed,Completed,,,,
1231,Gen 3,6/16/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,12/8/2025,3/8/2027,7/8/2028,8/19/2024,8/19/2024,,9/3/2024,,
1232,,,,,6036,Complete,12/5/2024,4/5/2026,Completed,Completed,,,,
1233,,,,,6039,Complete,4/18/2025,8/18/2026,6/24/2024,6/24/2024,8/19/2024,,,
1234,,,,,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,9/9/2024,,,
1235,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,9/24/2024,,,
