BU,Region,Market,Stores,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,,,
E,40,357,88,"$13,669.29","$13,669.29","$13,669.29","$12,165.54","$12,165.54","$12,165.54","$12,165.54","$10,109.32",,,
E,40,336,89,"$21,256.93","$21,256.93","$21,256.93","$18,493.63","$18,493.63","$18,493.63","$18,493.63","$16,236.70",,,
B,44,347,90,"$19,504.28","$19,504.28","$19,504.28","$17,402.90","$17,402.90","$17,402.90","$17,402.90","$15,502.57",,,
A,12,329,91,"$17,349.08","$17,349.08","$17,349.08","$12,897.66","$12,897.66","$12,897.66","$12,897.66","$10,851.24",,,
A,42,334,92,"$14,406.66","$14,406.66","$14,406.66","$13,026.24","$13,026.24","$13,026.24","$13,026.24","$12,539.40",,,
A,12,145,93,"$19,548.62","$19,548.62","$19,548.62","$17,194.29","$17,194.29","$17,194.29","$17,194.29","$17,226.96",,,
A,12,145,94,"$25,893.89","$25,893.89","$25,893.89","$20,682.91","$20,682.91","$20,682.91","$20,682.91","$18,726.35",,,
E,40,335,95,"$21,880.22","$21,880.22","$21,880.22","$18,604.62","$18,604.62","$18,604.62","$18,604.62","$16,460.08",,,
E,40,361,96,"$22,300.23","$22,300.23","$22,300.23","$18,705.35","$18,705.35","$18,705.35","$18,705.35","$16,663.14",,,
E,41,146,97,"$11,831.16","$11,831.16","$11,831.16","$9,882.18","$9,882.18","$9,882.18","$9,882.18","$8,479.86",,,
A,42,135,98,"$15,950.06","$15,950.06","$15,950.06","$13,367.58","$13,367.58","$13,367.58","$13,367.58","$12,230.28",,,
E,40,336,99,"$15,533.12","$15,533.12","$15,533.12","$13,275.77","$13,275.77","$13,275.77","$13,275.77","$11,170.48",,,
A,42,323,100,"$34,135.30","$34,135.30","$34,135.30","$29,623.87","$29,623.87","$29,623.87","$29,623.87","$27,395.48",,,
E,40,336,101,"$25,414.81","$25,414.81","$25,414.81","$21,531.52","$21,531.52","$21,531.52","$21,531.52","$18,612.17",,,
A,42,327,102,"$14,166.38","$14,166.38","$14,166.38","$12,833.11","$12,833.11","$12,833.11","$12,833.11","$11,277.81",,,
B,44,351,103,"$33,668.15","$33,668.15","$33,668.15","$27,207.08","$27,207.08","$27,207.08","$27,207.08","$23,739.25",,,
E,41,146,104,"$20,133.06","$20,133.06","$20,133.06","$16,098.18","$16,098.18","$16,098.18","$16,098.18","$15,391.49",,,
A,12,4,105,"$27,004.68","$27,004.68","$27,004.68","$20,677.78","$20,677.78","$20,677.78","$20,677.78","$18,483.05",,,
E,41,146,106,"$11,292.10","$11,292.10","$11,292.10","$9,325.81","$9,325.81","$9,325.81","$9,325.81","$7,989.63",,,
E,41,146,107,"$18,578.00","$18,578.00","$18,578.00","$15,169.22","$15,169.22","$15,169.22","$15,169.22","$13,213.54",,,
