Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5,781,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202226,87.36%,81.67%,9.8,86.40%,95.60%,84.60%,82.60%
5,813,POINTPICKUP,Scheduled Express Delivery ,8,Executive Review,Degrading,Store Focus,202226,70.83%,97.62%,9.6,80.00%,66.70%,70.00%,66.70%
5,1303,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202226,86.81%,81.53%,19.2,85.90%,70.20%,94.50%,90.70%
5,1303,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202226,82.70%,82.13%,13.6,80.70%,66.90%,93.30%,87.30%
5,1129,DOORDASH,Scheduled Standard Delivery,24,Executive Review,Degrading,Store Focus,202226,84.43%,79.93%,13.9,81.60%,68.60%,89.50%,88.60%
5,1129,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202226,91.47%,84.97%,11.9,92.10%,94.00%,91.80%,87.30%
5,1253,SPARK,Scheduled Standard Delivery,39,Executive Review,Degrading,Store Focus,202226,85.33%,75.52%,11,81.90%,84.60%,81.80%,91.90%
5,2133,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202226,85.37%,86.36%,10.2,78.30%,95.20%,88.20%,81.00%
5,2991,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202226,81.70%,64.93%,15.2,76.70%,89.80%,76.80%,85.30%
5,4130,UBER,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202226,74.79%,69.84%,16.9,85.70%,71.40%,66.70%,70.90%
5,4163,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202226,72.81%,54.73%,18.7,82.40%,100.00%,64.00%,75.30%
5,4163,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202226,82.60%,64.57%,14.3,90.50%,85.00%,80.00%,79.40%
5,4219,POINTPICKUP,Scheduled Standard Delivery,16,Executive Review,Degrading,Store Focus,202226,58.14%,60.59%,21.5,79.30%,45.50%,49.20%,59.70%
5,4554,SPARK,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202226,80.38%,77.92%,10,79.30%,81.90%,74.90%,86.40%
5,475,DOORDASH,Scheduled Standard Delivery,10,Executive Review,Recovering,Store Focus,202226,90.45%,84.39%,9.9,96.00%,93.80%,84.80%,93.70%
5,1185,DOORDASH,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202226,61.03%,54.73%,34.3,76.60%,54.50%,32.80%,78.10%
5,1185,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Store Focus,202226,60.55%,61.55%,26.8,67.10%,58.40%,44.90%,68.90%
5,3169,POINTPICKUP,Scheduled Standard Delivery,30,Executive Review,Degrading,Store Focus,202226,66.67%,64.88%,26.9,71.40%,86.10%,64.40%,37.50%
5,3170,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202226,76.83%,65.59%,14.2,84.70%,85.40%,76.70%,64.40%
5,3569,DOORDASH,Scheduled Standard Delivery,28,Executive Review,Degrading,Store Focus,202226,70.00%,61.74%,21.7,88.90%,50.00%,60.30%,75.30%
5,5479,SPARK,Scheduled Standard Delivery,9,Executive Review,Recovering,Store Focus,202226,89.71%,77.34%,13,94.60%,91.00%,86.60%,86.00%
