StoreNumber,Category,Item #,Item Description,Hot PLU, New Retails  
1039,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1039,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1039,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1039,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1039,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1039,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1039,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1040,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1040,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1040,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1040,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1040,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1040,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1040,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1040,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1040,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1040,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1041,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1041,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1041,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1041,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1041,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1041,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1041,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1041,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1041,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1041,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1042,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1042,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1042,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1042,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1042,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1042,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1042,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1042,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1042,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1042,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1043,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1043,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1043,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1043,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1043,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1043,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1043,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1043,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1043,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1043,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1044,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1044,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1044,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1044,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1044,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1044,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1044,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1044,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1044,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1044,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1045,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1045,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1045,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1045,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1045,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1045,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1045,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1045,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1045,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1045,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1047,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1047,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1047,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1047,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1047,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1047,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1047,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1047,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1047,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1047,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1048,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1048,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1048,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1048,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1048,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1048,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1048,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1048,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1048,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1048,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1051,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1051,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1051,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1051,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1051,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1051,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1051,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1051,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1051,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1051,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1052,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1052,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1052,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1052,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1052,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1052,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1052,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1052,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1052,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1052,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1053,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1053,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1053,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1053,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1053,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1053,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1053,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1053,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1053,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1053,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1054,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1054,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1054,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1054,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1054,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1054,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1054,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1054,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1054,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1054,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1055,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1055,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1055,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1055,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1055,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1055,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1055,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1055,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1055,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1055,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1056,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1056,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1056,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1056,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1056,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1056,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1056,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1056,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1056,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1056,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1058,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1058,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1058,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1058,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1058,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1058,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1058,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1058,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1058,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1058,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1059,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1059,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1059,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1059,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1059,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1059,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1059,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1059,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1059,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1059,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1060,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1060,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1060,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1060,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1060,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1060,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1060,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1060,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1060,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1060,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1061,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1061,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1061,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1061,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1061,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1061,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1061,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1061,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1061,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1061,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1062,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1062,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1062,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1062,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1062,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1062,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1062,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1062,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1062,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1062,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1064,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1064,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1064,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1064,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1064,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1064,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1064,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1064,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1064,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1064,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1065,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1065,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1065,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1065,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1065,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1065,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1065,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1065,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1065,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1065,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1066,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1066,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1066,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1066,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1066,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1066,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1066,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1066,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1066,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1066,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1068,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1068,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1068,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1068,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1068,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1068,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1068,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1068,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1068,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1068,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1069,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1069,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1069,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1069,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1069,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1069,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1069,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1069,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1069,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1069,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1070,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1070,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1070,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1070,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1070,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1070,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1070,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1070,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1070,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1070,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1071,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1071,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1071,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1071,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1071,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1071,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1071,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1071,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1071,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1071,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1072,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1072,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1072,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1072,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1072,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1072,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1072,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1072,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1072,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1072,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1073,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1073,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1073,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1073,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1073,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1073,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1073,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1073,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1073,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1073,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1074,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1074,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1074,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1074,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1074,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1074,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1074,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1074,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1074,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1074,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1075,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1075,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1075,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1075,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1075,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1075,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1075,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1075,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1075,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1075,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1076,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1076,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1076,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1076,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1076,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1076,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1076,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1076,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1076,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1076,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1077,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1077,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1077,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1077,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1077,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1077,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1077,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1077,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1077,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1077,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1079,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1079,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1079,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1079,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1079,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1079,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1079,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1079,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1079,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1079,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1080,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1080,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1080,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1080,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1080,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1080,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1080,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1080,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1080,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1080,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
1081,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1081,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1081,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
