Inventory Correction for Timestamp Issue,,,,,,,"Updated July 18, 2025"
BU,Reg,Mrkt,Store,City,ST,Sum of cost,Sum of retail
WEST,54,401,4208,SALT LAKE CITY,UT,$0.00,"$10,806.19"
WEST,54,403,1686,TAYLORSVILLE,UT,$0.00,"$11,020.02"
WEST,54,582,4438,SARATOGA SPRINGS,UT,$0.00,"$16,835.45"
WEST,54,582,5167,PAYSON,UT,$0.00,"$7,308.85"
WEST,54,585,2223,WESTMINSTER,CO,$0.00,"$15,274.17"
WEST,54,585,3533,DENVER,CO,$0.00,"$13,642.83"
WEST,56,400,5494,IDAHO FALLS,ID,$0.00,"$11,080.80"
WEST,56,452,3352,STOCKTON,CA,$0.00,"$5,698.81"
WEST,56,455,3408,CARSON CITY,NV,$0.00,"$5,055.11"
WEST,56,457,2052,UKIAH,CA,$0.00,"$8,367.34"
WEST,56,468,1834,GRANTS PASS,OR,$0.00,"$10,657.19"
WEST,56,468,5424,EAGLE POINT,OR,$0.00,"$14,513.04"
WEST,56,511,2031,UNION CITY,CA,$0.00,"$9,840.38"
WEST,57,396,1560,LAS VEGAS,NV,$0.00,"$5,408.25"
WEST,57,447,2507,SANTA MARIA,CA,$0.00,"$6,101.11"
WEST,57,465,5072,TORRANCE,CA,$0.00,"$5,463.66"
WEST,57,581,2536,TULARE,CA,$0.00,"$7,801.17"
WEST,58,445,1588,VICTORVILLE,CA,$0.00,"$12,123.00"
WEST,58,445,2333,APPLE VALLEY,CA,$0.00,"$6,993.02"
WEST,58,445,4340,HESPERIA,CA,$0.00,"$11,267.18"
WEST,58,458,2150,SAN DIEGO,CA,$0.00,"$23,535.71"
WEST,58,458,2291,CHULA VISTA,CA,$0.00,"$9,990.79"
WEST,58,459,1917,SANTEE,CA,$0.00,"$10,326.47"
WEST,58,459,2177,SAN DIEGO,CA,$0.00,"$14,847.80"
WEST,58,460,2245,OCEANSIDE,CA,$0.00,"$10,343.98"
WEST,58,463,1859,CALEXICO,CA,$0.00,"$7,189.56"
WEST,60,467,2469,LONGVIEW,WA,$0.00,"$10,354.92"
WEST,60,471,2319,OAK HARBOR,WA,$0.00,"$11,807.94"
WEST,60,473,3260,EPHRATA,WA,$0.00,"$12,440.92"
WEST,60,475,2101,KENNEWICK,WA,$0.00,"$13,669.51"
WEST,60,475,2476,COLLEGE PLACE,WA,$0.00,"$5,596.26"
WEST,60,475,3261,RICHLAND,WA,$0.00,"$11,961.50"
WEST,60,477,1843,MCMINNVILLE,OR,$0.00,"$10,319.42"
WEST,60,478,2315,DALLAS,OR,$0.00,"$5,745.91"
WEST,60,514,2385,AUBURN,WA,$0.00,"$5,291.57"
WEST,60,514,3794,FEDERAL WAY,WA,$0.00,"$5,683.75"
