Store #,First Carrier Assigned,Fulfilment Type, Status,Weeks With Status, Trend,Directional Focus ,Max WM WK ID,OTD* %,OTP* % ,Dwell Time* ,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
2193,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,79.98%,95.05%,10.17,84.19%,82.77%,72.31%,78.26%
2211,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,81.17%,79.65%,15.55,86.41%,79.10%,75.44%,83.39%
2541,,Scheduled Delivery Standard,Active Monitoring,2,Degrading,Store Focus,202245,77.39%,79.87%,14.9,81.25%,72.60%,75.00%,81.17%
1863,,Scheduled Delivery Standard,At Risk,6,Degrading,Store Focus,202245,80.34%,86.23%,10.95,87.29%,74.81%,64.00%,93.98%
2313,,Scheduled Delivery Standard,Executive Review,12,Recovering,Store Focus,202245,88.73%,94.35%,11.38,92.64%,89.17%,79.85%,92.57%
2362,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,91.47%,64.26%,15.97,96.91%,95.22%,91.26%,79.59%
2362,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,46.30%,73.09%,25.36,70.00%,40.31%,26.29%,75.94%
3250,,Scheduled Delivery Standard,Executive Review,27,Degrading,Store Focus,202245,54.36%,59.07%,28.54,65.58%,30.75%,40.00%,74.03%
3293,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,68.04%,77.41%,9.85,73.04%,72.90%,45.64%,76.81%
3608,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,68.73%,78.76%,18.06,80.28%,69.89%,29.36%,78.39%
1839,,Scheduled Delivery Express,Active Monitoring,3,Degrading,Store Focus,202245,80.16%,72.94%,23.63,87.88%,84.62%,95.31%,55.71%
1839,,Scheduled Delivery Standard,Executive Review,9,Degrading,Store Focus,202245,63.59%,73.90%,25.62,50.11%,63.59%,60.04%,79.93%
1894,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,60.86%,61.83%,17.69,69.59%,70.22%,43.95%,61.44%
1927,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,93.17%,61.06%,13.26,97.50%,93.48%,95.52%,86.54%
1927,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,70.75%,86.04%,15.13,76.09%,64.16%,54.12%,88.64%
2073,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,69.95%,84.46%,13.26,80.99%,59.52%,51.74%,85.50%
2266,,Scheduled Delivery Standard,Executive Review,11,Degrading,Store Focus,202245,71.85%,63.76%,18.84,78.26%,73.90%,45.71%,83.70%
2316,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,83.59%,79.67%,12.23,89.04%,81.79%,67.16%,93.75%
4255,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,80.10%,69.75%,14.76,83.37%,80.72%,70.81%,82.87%
4285,,Scheduled Delivery Express,Executive Review,14,Degrading,Store Focus,202245,85.17%,48.68%,18.38,80.72%,85.88%,80.00%,95.35%
4285,,Scheduled Delivery Standard,Executive Review,48,Degrading,Store Focus,202245,44.59%,57.15%,21.27,41.78%,45.85%,33.49%,55.56%
5066,,Scheduled Delivery Standard,At Risk,6,Degrading,Store Focus,202245,76.29%,69.78%,16.48,85.11%,71.53%,68.66%,78.62%
1895,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,74.61%,89.69%,11.11,79.00%,71.43%,64.50%,83.13%
2966,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,83.45%,93.84%,12.84,88.46%,69.92%,84.15%,93.85%
3722,,Scheduled Delivery Standard,Executive Review,11,Recovering,Store Focus,202245,90.04%,97.07%,10.17,93.10%,92.04%,77.55%,95.07%
5285,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,92.51%,78.46%,16.24,99.10%,98.21%,92.42%,78.79%
5285,,Scheduled Delivery Standard,Active Monitoring,1,Recovering,Store Focus,202245,85.78%,88.35%,16.29,91.53%,85.85%,78.63%,85.68%
1782,,Scheduled Delivery Standard,Executive Review,12,Recovering,Store Focus,202245,85.72%,84.55%,14.48,91.79%,82.13%,78.58%,89.66%
2199,,Scheduled Delivery Standard,Executive Review,44,Degrading,Store Focus,202245,79.15%,81.17%,13.54,78.28%,76.32%,73.62%,88.20%
2209,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,80.54%,86.50%,17.43,87.83%,74.39%,73.42%,84.63%
2823,,Scheduled Delivery Express,Executive Review,7,Recovering,Store Focus,202245,92.89%,89.52%,10.44,100.00%,94.64%,100.00%,79.37%
2852,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,83.66%,80.02%,10.56,86.11%,75.80%,80.00%,93.26%
3262,,Scheduled Delivery Standard,Executive Review,19,Recovering,Store Focus,202245,86.77%,93.83%,10.07,96.77%,82.48%,77.94%,86.27%
3581,,Scheduled Delivery Standard,Active Monitoring,2,Degrading,Store Focus,202245,82.08%,93.09%,13.05,87.13%,75.58%,80.26%,84.62%
1739,,Scheduled Delivery Standard,Executive Review,48,Recovering,Store Focus,202245,82.82%,78.85%,17.5,90.12%,79.12%,81.56%,81.52%
2300,,Scheduled Delivery Express,At Risk,6,Recovering,Store Focus,202245,91.30%,67.71%,13.41,94.68%,90.91%,83.33%,100.00%
2300,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,67.25%,76.27%,18.01,78.64%,60.04%,73.83%,59.36%
2603,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,60.98%,78.14%,7.63,63.06%,54.95%,52.05%,74.65%
3738,,Scheduled Delivery Standard,Executive Review,15,Degrading,Store Focus,202245,83.38%,61.65%,14.25,77.43%,83.07%,86.94%,87.98%
4644,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,67.97%,71.23%,21.18,79.59%,63.99%,56.28%,69.89%
5040,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,53.22%,59.75%,11.36,56.59%,48.96%,43.56%,64.29%
5088,,Scheduled Delivery Standard,At Risk,6,Degrading,Store Focus,202245,71.50%,86.30%,11.05,69.57%,72.07%,62.79%,81.05%
1770,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,75.12%,79.63%,17.77,61.56%,78.37%,73.43%,85.31%
1885,,Scheduled Delivery Standard,Executive Review,45,Recovering,Store Focus,202245,89.72%,78.54%,11.44,91.26%,89.70%,83.16%,92.52%
3223,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,89.94%,81.82%,13.62,100.00%,97.67%,85.71%,78.13%
3223,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,83.87%,92.77%,11.91,84.94%,83.15%,75.88%,89.51%
4643,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,90.44%,89.16%,11.47,86.35%,95.00%,90.40%,90.33%
2019,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,94.32%,65.73%,15.58,96.47%,98.98%,99.06%,82.65%
2019,,Scheduled Delivery Standard,At Risk,5,Recovering,Store Focus,202245,90.40%,87.98%,13.41,92.08%,94.41%,86.21%,87.67%
2281,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,58.01%,74.14%,18.28,64.78%,51.95%,49.44%,66.75%
2588,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,90.50%,73.57%,16.42,96.97%,93.37%,96.55%,73.15%
2588,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,66.35%,70.52%,19.29,89.65%,54.97%,60.12%,69.38%
2611,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,91.52%,70.33%,13.97,100.00%,100.00%,100.00%,72.00%
1302,,Scheduled Delivery Express,Executive Review,20,Recovering,Store Focus,202245,93.51%,66.67%,25,100.00%,86.67%,94.74%,84.62%
1302,,Scheduled Delivery Standard,Executive Review,17,Recovering,Store Focus,202245,88.67%,72.89%,18.01,91.74%,81.75%,83.33%,96.33%
2576,,Scheduled Delivery Express,Executive Review,9,Degrading,Store Focus,202245,90.95%,78.26%,10.86,89.61%,98.25%,92.16%,82.98%
2610,,Scheduled Delivery Express,Executive Review,10,Recovering,Store Focus,202245,94.12%,77.19%,18.63,100.00%,100.00%,90.91%,83.33%
2610,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,80.29%,76.04%,18.7,78.45%,81.08%,78.16%,83.51%
4277,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,68.37%,72.14%,23.82,76.78%,72.77%,39.23%,80.49%
1351,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,93.13%,79.29%,13.74,98.63%,100.00%,96.88%,76.19%
1360,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,90.68%,89.08%,15.07,100.00%,100.00%,100.00%,64.52%
2036,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,74.91%,82.86%,20.29,71.38%,76.97%,68.41%,81.64%
444,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,91.93%,75.22%,13.97,100.00%,99.05%,99.11%,75.73%
2221,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,92.47%,72.80%,12.09,97.87%,100.00%,91.30%,82.28%
4381,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,78.50%,70.06%,19.07,88.05%,77.22%,61.56%,84.39%
9,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,97.14%,90.74%,14.7,100.00%,96.43%,100.00%,91.30%
152,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,96.92%,95.59%,10.27,100.00%,100.00%,100.00%,85.71%
188,,Scheduled Delivery Standard,Executive Review,14,Recovering,Store Focus,202245,86.28%,73.00%,12.12,93.54%,87.82%,83.70%,81.14%
21,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,92.93%,79.44%,17.3,99.15%,92.74%,98.59%,77.55%
51,,Scheduled Delivery Express,Executive Review,18,Recovering,Store Focus,202245,94.35%,87.68%,9.06,100.00%,93.55%,85.71%,95.00%
60,,Scheduled Delivery Standard,Executive Review,9,Degrading,Store Focus,202245,73.00%,67.47%,15.52,86.98%,84.19%,62.31%,45.37%
1021,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,90.24%,71.59%,12.01,96.55%,94.12%,100.00%,66.67%
1021,,Scheduled Delivery Standard,Executive Review,7,Degrading,Store Focus,202245,69.60%,65.14%,17.16,74.13%,64.94%,66.17%,71.93%
1161,,Scheduled Delivery Standard,At Risk,5,Degrading,Store Focus,202245,61.43%,50.96%,19.73,72.39%,49.41%,53.91%,71.61%
1188,,Scheduled Delivery Express,At Risk,6,Recovering,Store Focus,202245,91.02%,56.66%,18.48,94.74%,91.84%,96.15%,84.00%
1188,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,47.79%,59.45%,30.67,67.20%,42.50%,36.24%,49.25%
2600,,Scheduled Delivery Standard,Executive Review,9,Degrading,Store Focus,202245,54.87%,56.18%,17.76,70.43%,53.90%,35.96%,59.29%
5313,,Scheduled Delivery Standard,Executive Review,7,Degrading,Store Focus,202245,77.21%,64.62%,19.03,83.27%,80.32%,83.33%,64.49%
1177,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,68.41%,80.56%,21.02,74.70%,57.38%,61.04%,78.64%
1265,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,76.65%,88.49%,21.31,78.42%,79.52%,70.72%,76.17%
2213,,Scheduled Delivery Standard,Executive Review,23,Degrading,Store Focus,202245,71.98%,81.22%,17.92,85.96%,69.66%,60.68%,69.44%
2694,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,67.99%,74.02%,19.93,70.35%,70.22%,57.61%,70.49%
3061,,Scheduled Delivery Express,Executive Review,13,Recovering,Store Focus,202245,84.57%,66.16%,13.98,97.35%,89.29%,91.26%,55.14%
3061,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,46.72%,60.41%,26.43,60.31%,26.76%,37.75%,56.96%
5150,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,72.20%,92.91%,12.89,77.96%,73.32%,55.71%,80.13%
5927,,Scheduled Delivery Standard,Executive Review,28,Degrading,Store Focus,202245,78.71%,82.66%,16.68,83.04%,81.37%,69.57%,77.82%
14,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,89.39%,83.58%,10.7,100.00%,91.67%,87.50%,71.43%
86,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,82.84%,69.11%,17.38,84.65%,87.34%,70.16%,83.62%
138,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,98.80%,77.65%,12.19,100.00%,96.97%,100.00%,
179,,Scheduled Delivery Standard,Active Monitoring,2,Degrading,Store Focus,202245,71.74%,48.13%,21.05,73.73%,51.72%,75.12%,86.82%
29,,Scheduled Delivery Standard,At Risk,4,Recovering,Store Focus,202245,70.62%,71.10%,20.95,90.30%,77.25%,40.23%,65.35%
219,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,92.91%,72.20%,16.12,98.39%,96.83%,90.91%,76.79%
219,,Scheduled Delivery Standard,Executive Review,8,Recovering,Store Focus,202245,86.81%,82.54%,15.76,97.09%,87.37%,86.68%,77.22%
195,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,85.51%,66.67%,12.78,100.00%,94.74%,93.33%,57.89%
195,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,77.56%,81.82%,11.61,89.12%,75.21%,56.25%,85.71%
234,,Scheduled Delivery Standard,Executive Review,9,Degrading,Store Focus,202245,80.80%,78.47%,14.6,89.98%,86.78%,65.81%,81.53%
560,,Scheduled Delivery Standard,At Risk,6,Degrading,Store Focus,202245,73.66%,64.86%,18.76,86.29%,71.02%,58.93%,69.62%
1120,,Scheduled Delivery Standard,At Risk,4,Recovering,Store Focus,202245,78.56%,76.49%,18.46,90.69%,79.45%,57.94%,82.37%
2857,,Scheduled Delivery Standard,Executive Review,9,Degrading,Store Focus,202245,75.86%,83.01%,19.4,86.54%,83.64%,65.26%,68.47%
2994,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,95.67%,73.80%,11,100.00%,100.00%,98.33%,84.38%
2994,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,80.67%,70.99%,13.96,82.61%,82.29%,73.05%,83.14%
184,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,96.20%,71.65%,14.5,100.00%,97.78%,98.08%,88.89%
319,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,86.65%,76.18%,13.37,99.06%,98.89%,85.71%,57.50%
319,,Scheduled Delivery Standard,At Risk,4,Recovering,Store Focus,202245,80.00%,88.44%,15.43,91.80%,86.23%,57.60%,80.84%
573,,Scheduled Delivery Standard,At Risk,6,Recovering,Store Focus,202245,89.22%,83.87%,13.86,95.92%,83.27%,84.99%,91.55%
1014,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,92.33%,73.33%,11.96,98.84%,97.65%,97.00%,78.50%
1014,,Scheduled Delivery Standard,Executive Review,13,Recovering,Store Focus,202245,85.06%,85.60%,13.54,95.58%,82.74%,66.71%,91.40%
1094,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,79.81%,85.36%,12.02,89.20%,83.19%,55.92%,83.01%
2856,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,96.30%,86.90%,10.31,100.00%,100.00%,100.00%,86.96%
4553,,Scheduled Delivery Standard,Executive Review,13,Recovering,Store Focus,202245,77.77%,85.16%,18.43,93.84%,72.12%,58.57%,80.81%
4590,,Scheduled Delivery Standard,Executive Review,14,Recovering,Store Focus,202245,87.53%,91.23%,12.75,95.52%,77.78%,85.02%,91.08%
486,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,95.00%,82.88%,9.78,100.00%,96.77%,100.00%,86.36%
577,,Scheduled Delivery Standard,At Risk,5,Recovering,Store Focus,202245,85.01%,82.44%,18.81,92.85%,93.45%,87.93%,67.30%
1151,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,77.93%,88.63%,16.75,83.95%,81.30%,66.53%,77.22%
2855,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,78.86%,69.27%,15.92,85.94%,74.63%,74.84%,81.87%
2955,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,88.12%,76.74%,14.13,98.89%,90.22%,93.41%,69.66%
2955,,Scheduled Delivery Standard,Executive Review,9,Recovering,Store Focus,202245,65.40%,66.08%,21.47,92.62%,58.44%,55.95%,71.87%
4475,,Scheduled Delivery Standard,Active Monitoring,3,Degrading,Store Focus,202245,88.31%,89.53%,16.02,87.95%,90.91%,83.95%,89.73%
4611,,Scheduled Delivery Standard,Active Monitoring,1,Recovering,Store Focus,202245,87.03%,86.48%,14.19,93.67%,84.42%,81.28%,88.47%
2338,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,89.94%,75.29%,10.99,100.00%,97.22%,94.12%,74.07%
2417,,Scheduled Delivery Standard,Active Monitoring,2,Degrading,Store Focus,202245,75.43%,85.99%,7.42,77.27%,76.12%,68.18%,78.18%
2545,,Scheduled Delivery Standard,Executive Review,11,Degrading,Store Focus,202245,75.38%,67.49%,15.7,82.49%,70.16%,63.23%,85.06%
1955,,Scheduled Delivery Standard,Executive Review,27,Degrading,Store Focus,202245,75.80%,73.63%,16.67,75.10%,63.46%,76.93%,86.96%
5398,,Scheduled Delivery Standard,Executive Review,16,Degrading,Store Focus,202245,83.80%,86.87%,12.94,88.05%,82.34%,77.78%,85.84%
982,,Scheduled Delivery Standard,Executive Review,10,Degrading,Store Focus,202245,80.47%,63.64%,11.55,75.96%,79.69%,81.13%,86.84%
1657,,Scheduled Delivery Express,At Risk,6,Recovering,Store Focus,202245,87.10%,70.59%,9,100.00%,88.89%,100.00%,76.92%
1657,,Scheduled Delivery Standard,Executive Review,10,Degrading,Store Focus,202245,57.14%,80.97%,12.8,73.40%,64.00%,40.28%,47.73%
1971,,Scheduled Delivery Standard,Executive Review,48,Degrading,Store Focus,202245,79.72%,66.75%,17.48,79.10%,78.85%,79.92%,80.99%
3534,,Scheduled Delivery Express,At Risk,6,Degrading,Store Focus,202245,90.24%,85.71%,12.01,81.82%,87.50%,92.31%,100.00%
1167,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,82.69%,89.74%,15.81,87.41%,84.62%,67.30%,89.42%
1394,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,92.26%,84.92%,12.1,100.00%,100.00%,96.97%,72.09%
1394,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,80.37%,75.79%,12.23,84.86%,85.76%,65.66%,82.12%
2668,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,68.75%,73.50%,23.18,72.06%,71.48%,46.29%,76.86%
2828,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,66.64%,81.83%,19.94,83.56%,69.97%,41.29%,63.75%
1819,,Scheduled Delivery Express,Executive Review,24,Recovering,Store Focus,202245,93.75%,80.00%,12.37,100.00%,100.00%,100.00%,66.67%
5432,,Scheduled Delivery Express,Executive Review,8,Recovering,Store Focus,202245,94.64%,88.89%,12.84,100.00%,86.67%,90.91%,100.00%
1202,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,93.96%,74.04%,11.79,100.00%,98.63%,98.39%,77.78%
5127,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,89.16%,74.45%,9.69,85.54%,94.00%,83.64%,92.60%
1828,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,84.00%,79.05%,12.64,97.06%,94.12%,70.59%,71.88%
1828,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,79.12%,88.19%,16.7,88.81%,77.36%,64.58%,80.00%
2958,,Scheduled Delivery Standard,Executive Review,15,Degrading,Store Focus,202245,90.37%,86.71%,11.21,89.47%,89.73%,91.09%,90.85%
1453,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,81.80%,74.53%,14.04,88.84%,76.64%,74.18%,87.76%
2813,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,91.30%,80.33%,11.71,93.33%,91.18%,95.65%,85.71%
1138,,Scheduled Delivery Standard,Executive Review,15,Degrading,Store Focus,202245,55.45%,49.50%,15.74,50.68%,53.97%,52.21%,65.12%
1176,,Scheduled Delivery Standard,Active Monitoring,3,Degrading,Store Focus,202245,78.12%,61.52%,13.67,75.14%,86.52%,66.55%,82.21%
1274,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,73.81%,82.98%,4.68,100.00%,86.67%,83.33%,41.67%
3505,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,91.86%,66.29%,12.39,96.15%,95.83%,92.86%,81.82%
3857,,Scheduled Delivery Standard,Executive Review,14,Degrading,Store Focus,202245,72.13%,69.82%,11.89,66.67%,68.16%,67.82%,84.82%
1515,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,87.10%,61.97%,13.89,95.12%,100.00%,94.74%,59.38%
1515,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,64.95%,67.91%,15.65,70.63%,68.47%,45.45%,68.75%
2936,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,68.75%,79.78%,14.61,73.26%,61.02%,57.47%,83.33%
3499,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,95.59%,84.51%,12.01,100.00%,92.86%,100.00%,80.00%
1012,,Scheduled Delivery Express,Executive Review,29,Degrading,Store Focus,202245,72.00%,73.17%,9.23,64.29%,80.00%,100.00%,75.00%
1012,,Scheduled Delivery Standard,Executive Review,9,Degrading,Store Focus,202245,73.08%,63.71%,15.34,78.21%,62.67%,72.41%,77.23%
1650,,Scheduled Delivery Standard,Executive Review,11,Degrading,Store Focus,202245,80.50%,93.25%,10.69,79.63%,86.34%,74.07%,81.21%
2452,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,75.37%,80.39%,16.98,86.55%,69.25%,64.45%,77.43%
5438,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,75.71%,84.69%,18.09,80.36%,69.86%,73.13%,79.32%
6394,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,62.33%,60.91%,25.27,82.45%,52.60%,33.60%,67.92%
2426,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,66.38%,65.82%,23.57,75.26%,45.54%,63.57%,79.73%
3812,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,88.46%,74.83%,15.37,100.00%,93.10%,100.00%,63.89%
3812,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,76.33%,88.85%,15.64,80.56%,65.40%,73.35%,86.13%
5185,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,86.73%,84.02%,19.36,100.00%,92.50%,91.57%,62.86%
5185,,Scheduled Delivery Standard,Active Monitoring,2,Degrading,Store Focus,202245,67.75%,82.66%,27.72,79.60%,65.55%,42.15%,78.09%
1564,,Scheduled Delivery Standard,Executive Review,17,Degrading,Store Focus,202245,75.63%,89.09%,15.32,85.68%,57.98%,72.20%,84.81%
2605,,Scheduled Delivery Express,At Risk,6,Recovering,Store Focus,202245,88.31%,91.76%,13.35,95.24%,100.00%,78.57%,78.26%
2605,,Scheduled Delivery Standard,Active Monitoring,3,Degrading,Store Focus,202245,77.62%,76.61%,14.22,83.50%,80.56%,60.00%,82.22%
3515,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,94.87%,84.09%,15.56,100.00%,100.00%,88.89%,85.71%
1594,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,91.74%,72.27%,9.93,100.00%,100.00%,92.31%,77.78%
1594,,Scheduled Delivery Standard,Active Monitoring,2,Degrading,Store Focus,202245,76.93%,73.59%,11.89,89.37%,66.67%,58.65%,87.96%
2726,,Scheduled Delivery Standard,Executive Review,9,Recovering,Store Focus,202245,74.31%,80.34%,17.98,91.17%,69.62%,49.77%,83.11%
3447,,Scheduled Delivery Express,At Risk,4,Degrading,Store Focus,202245,87.10%,62.06%,14.74,86.15%,90.98%,98.00%,70.49%
3447,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,68.13%,84.35%,17.78,65.30%,66.11%,62.04%,79.76%
3580,,Scheduled Delivery Standard,Executive Review,43,Degrading,Store Focus,202245,75.42%,84.68%,17.61,78.34%,74.11%,61.24%,86.28%
3792,,Scheduled Delivery Express,Executive Review,8,Recovering,Store Focus,202245,92.66%,60.16%,12.82,92.31%,92.00%,100.00%,86.21%
5466,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,71.15%,72.64%,19.39,87.50%,64.90%,54.41%,84.35%
5857,,Scheduled Delivery Express,At Risk,6,Recovering,Store Focus,202245,93.55%,78.98%,14.53,97.78%,89.66%,97.22%,88.89%
1407,,Scheduled Delivery Standard,Active Monitoring,2,Degrading,Store Focus,202245,70.58%,65.66%,15.45,67.02%,65.32%,70.09%,80.44%
1441,,Scheduled Delivery Standard,Executive Review,9,Degrading,Store Focus,202245,81.67%,69.87%,16.46,82.34%,81.17%,76.15%,87.00%
1463,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,82.53%,70.57%,13.79,87.98%,70.25%,85.84%,88.18%
1503,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,89.47%,75.00%,15.49,92.86%,94.12%,87.88%,84.21%
1503,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,71.76%,76.41%,20.55,80.25%,60.27%,63.35%,82.50%
1504,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,94.57%,68.48%,12.15,100.00%,94.44%,94.92%,86.00%
3571,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,85.56%,56.72%,17.32,96.74%,79.45%,86.96%,75.76%
3571,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,68.47%,63.89%,21.66,74.89%,47.38%,56.42%,87.05%
5104,,Scheduled Delivery Standard,Executive Review,12,Recovering,Store Focus,202245,85.35%,86.61%,14.64,93.04%,77.19%,77.66%,92.45%
1750,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,91.45%,71.01%,12.19,96.88%,96.77%,93.33%,75.00%
1750,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,71.48%,61.11%,15.51,64.75%,66.82%,67.91%,87.73%
3840,,Scheduled Delivery Standard,Active Monitoring,2,Recovering,Store Focus,202245,74.76%,55.84%,13.79,90.73%,69.55%,57.11%,79.17%
1495,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,72.89%,64.31%,18.78,86.77%,79.98%,55.20%,68.52%
3502,,Scheduled Delivery Standard,Executive Review,7,Degrading,Store Focus,202245,73.91%,80.23%,15.62,84.02%,54.26%,77.92%,81.86%
