Location ID#,Year,Wk 21,Wk 22,Wk 23,Wk 24,Wk 25,,,,,,,,
8129,2024,14,15,17,17,18,,,,,,,,
8130,2024,14,17,14,14,16,,,,,,,,
8132,2024,14,14,16,14,17,,,,,,,,
8133,2024,14,13,15,14,15,,,,,,,,
8134,2024,16,18,16,17,19,,,,,,,,
8135,2024,9,11,11,10,13,,,,,,,,
8136,2024,12,12,13,11,15,,,,,,,,
8138,2024,15,15,15,13,13,,,,,,,,
8139,2024,14,15,16,14,14,,,,,,,,
8141,2024,10,11,11,11,11,,,,,,,,
8142,2024,16,17,17,18,17,,,,,,,,
8144,2024,14,15,18,16,16,,,,,,,,
8145,2024,13,15,14,14,15,,,,,,,,
8146,2024,19,19,18,19,17,,,,,,,,
8147,2024,9,9,9,10,9,,,,,,,,
8149,2024,10,12,11,10,13,,,,,,,,
8150,2024,13,13,13,13,13,,,,,,,,
8151,2024,15,16,18,16,17,,,,,,,,
8152,2024,15,12,14,14,15,,,,,,,,
8153,2024,17,17,18,15,15,,,,,,,,
8155,2024,15,17,17,15,15,,,,,,,,
8156,2024,23,28,21,21,22,,,,,,,,
8157,2024,22,24,25,22,23,,,,,,,,
8158,2024,10,13,12,11,11,,,,,,,,
8160,2024,15,17,16,15,17,,,,,,,,
8161,2024,15,14,14,13,16,,,,,,,,
8162,2024,12,14,12,13,12,,,,,,,,
8163,2024,14,17,14,16,14,,,,,,,,
8164,2024,9,12,10,10,10,,,,,,,,
8165,2024,18,17,17,17,16,,,,,,,,
8166,2024,14,16,18,15,17,,,,,,,,
8167,2024,13,15,14,14,15,,,,,,,,
8168,2024,14,15,16,13,17,,,,,,,,
8169,2024,12,11,12,11,13,,,,,,,,
8172,2024,12,15,14,12,14,,,,,,,,
8173,2024,22,24,24,22,25,,,,,,,,
8174,2024,17,20,17,19,17,,,,,,,,
8175,2024,11,13,14,14,15,,,,,,,,
8176,2024,14,16,15,17,13,,,,,,,,
8177,2024,14,14,14,15,14,,,,,,,,
8180,2024,8,10,11,10,10,,,,,,,,
8181,2024,12,15,14,11,16,,,,,,,,
8182,2024,7,6,9,7,7,,,,,,,,
8183,2024,12,16,15,13,15,,,,,,,,
8184,2024,13,14,16,13,14,,,,,,,,
8185,2024,9,9,11,8,9,,,,,,,,
8186,2024,9,10,13,10,12,,,,,,,,
8188,2024,18,19,19,18,22,,,,,,,,
8189,2024,11,11,11,11,11,,,,,,,,
8190,2024,11,12,12,13,14,,,,,,,,
8191,2024,19,20,17,19,24,,,,,,,,
8192,2024,17,18,18,15,18,,,,,,,,
8193,2024,15,15,16,14,17,,,,,,,,
8194,2024,11,14,15,13,13,,,,,,,,
8196,2024,11,11,14,13,12,,,,,,,,
8197,2024,11,9,11,10,12,,,,,,,,
8201,2024,12,12,12,11,13,,,,,,,,
8202,2024,12,12,14,11,12,,,,,,,,
8203,2024,12,14,15,13,14,,,,,,,,
8205,2024,12,16,14,12,15,,,,,,,,
8207,2024,12,13,11,13,10,,,,,,,,
8208,2024,14,14,14,13,12,,,,,,,,
8209,2024,12,9,12,12,11,,,,,,,,
8210,2024,15,15,17,15,16,,,,,,,,
8211,2024,12,14,14,13,11,,,,,,,,
8213,2024,18,19,20,18,18,,,,,,,,
8215,2024,14,13,12,13,15,,,,,,,,
8218,2024,23,23,26,25,25,,,,,,,,
8219,2024,13,14,14,15,16,,,,,,,,
8220,2024,12,14,16,16,15,,,,,,,,
8221,2024,17,20,17,18,18,,,,,,,,
8222,2024,15,19,19,19,19,,,,,,,,
8223,2024,14,15,16,15,16,,,,,,,,
8224,2024,11,14,13,12,13,,,,,,,,
8225,2024,18,18,19,18,15,,,,,,,,
8226,2024,15,16,17,15,15,,,,,,,,
8227,2024,19,21,21,16,20,,,,,,,,
8228,2024,13,16,15,15,17,,,,,,,,
8236,2024,16,17,19,16,16,,,,,,,,
8237,2024,13,15,16,14,13,,,,,,,,
8238,2024,15,18,15,16,16,,,,,,,,
8239,2024,11,9,13,9,11,,,,,,,,
8241,2024,13,13,15,13,14,,,,,,,,
8242,2024,16,17,17,16,15,,,,,,,,
8243,2024,12,12,13,13,10,,,,,,,,
8244,2024,21,22,22,18,23,,,,,,,,
8245,2024,22,21,22,19,24,,,,,,,,
8246,2024,19,19,21,15,20,,,,,,,,
8247,2024,13,17,14,14,13,,,,,,,,
8248,2024,14,15,16,13,15,,,,,,,,
8250,2024,24,31,27,22,26,,,,,,,,
8251,2024,10,11,12,11,11,,,,,,,,
8252,2024,20,18,22,18,18,,,,,,,,
8253,2024,15,13,12,12,11,,,,,,,,
8254,2024,13,13,15,12,15,,,,,,,,
8256,2024,16,19,18,19,18,,,,,,,,
8257,2024,10,11,13,11,10,,,,,,,,
8259,2024,13,16,14,12,15,,,,,,,,
8261,2024,12,14,14,12,13,,,,,,,,
8262,2024,15,18,16,13,16,,,,,,,,
8263,2024,12,14,16,11,16,,,,,,,,
8264,2024,16,17,16,14,16,,,,,,,,
8265,2024,15,17,16,14,18,,,,,,,,
8266,2024,15,13,14,15,13,,,,,,,,
