Store,Tier
3860,Tier 2
3860,Tier 2
3872,Tier 2
3877,Tier 1 
3884,Tier 1 
3888,Tier 1 
3897,Tier 2
3912,Tier 2
4068,Tier 2
4108,Tier 2
4130,Tier 2
4163,Tier 2
4183,Tier 1 
4187,Tier 2
4208,Tier 2
4235,Tier 2
4240,Tier 2
4241,Tier 1 
4244,Tier 2
4246,Tier 2
4247,Tier 2
4252,Tier 1 
4253,Tier 2
4256,Tier 1 
4272,Tier 2
4285,Tier 2
4352,Tier 2
4358,Tier 1 
4377,Tier 2
4407,Tier 2
4414,Tier 2
4427,Tier 2
4438,Tier 2
4440,Tier 2
4458,Tier 2
4474,Tier 2
4476,Tier 2
4477,Tier 1 
4501,Tier 2
4501,Tier 2
4506,Tier 2
4520,Tier 2
4554,Tier 1 
4556,Tier 2
4570,Tier 2
4574,Tier 1 
4599,Tier 1 
4611,Tier 2
4615,Tier 2
4627,Tier 1 
4631,Tier 2
4644,Tier 1 
4664,Tier 1 
4683,Tier 1 
4683,Tier 2
4687,Tier 2
4689,Tier 2
4865,Tier 2
5003,Tier 2
5022,Tier 1 
5040,Tier 2
5057,Tier 1 
5060,Tier 2
5063,Tier 2
5065,Tier 2
5085,Tier 2
5088,Tier 2
5095,Tier 1 
5097,Tier 1 
5099,Tier 1 
5104,Tier 1 
5137,Tier 2
5139,Tier 2
5141,Tier 2
5142,Tier 2
5150,Tier 1 
5155,Tier 1 
5175,Tier 2
5201,Tier 2
5202,Tier 2
5210,Tier 2
5211,Tier 2
5219,Tier 2
5240,Tier 1 
5247,Tier 2
5260,Tier 2
5261,Tier 2
5262,Tier 2
5270,Tier 2
5303,Tier 2
5311,Tier 2
5320,Tier 2
5330,Tier 1 
5341,Tier 1 
5347,Tier 2
5348,Tier 2
5358,Tier 1 
5370,Tier 2
5390,Tier 1 
5396,Tier 2
5397,Tier 1 
5403,Tier 1 
5411,Tier 2
5416,Tier 2
5418,Tier 1 
5439,Tier 1 
5440,Tier 2
5445,Tier 2
5458,Tier 2
5470,Tier 2
5472,Tier 1 
5479,Tier 2
5488,Tier 1 
5489,Tier 1 
5489,Tier 2
5494,Tier 2
5612,Tier 1 
5616,Tier 1 
5626,Tier 1 
5629,Tier 2
5649,Tier 2
5672,Tier 2
5706,Tier 2
5713,Tier 2
5768,Tier 1 
5797,Tier 2
5806,Tier 2
5823,Tier 1 
5851,Tier 1 
5869,Tier 1 
5879,Tier 2
5880,Tier 1 
5894,Tier 2
5957,Tier 2
5968,Tier 2
5977,Tier 2
5992,Tier 2
6300,Tier 2
6392,Tier 2
6467,Tier 2
6469,Tier 2
6476,Tier 2
6898,Tier 2
7032,Tier 2
7156,Tier 2
7281,Tier 1 
7290,Tier 2
7294,Tier 1 
7324,Tier 2
8331,Tier 2
