Store Number,Fashion Op Model Tier,Fashion Coach?,Coach Action,Total TL Headcount,Go-Live Week,Fashion Stocking Team Hours
1765,2,YES,MOVE EXISTING,4,WK 37,120
1935,1,YES,MOVE EXISTING,4,WK 37,140
2059,2,YES,MOVE EXISTING,4,WK 37,120
2318,2,YES,MOVE EXISTING,4,WK 37,120
2502,2,YES,MOVE EXISTING,4,WK 37,120
2663,2,YES,HIRE,4,WK 37,120
2664,3,NO,-,4,WK 37,80
3228,3,NO,-,4,WK 37,80
5241,2,YES,HIRE,4,WK 37,120
5356,3,NO,-,3,WK 37,80
1674,1,YES,MOVE EXISTING,4,WK 37,140
1703,2,YES,MOVE EXISTING,4,WK 37,120
2233,1,YES,MOVE EXISTING,4,WK 37,140
2357,1,YES,MOVE EXISTING,4,WK 37,140
2551,3,NO,-,3,WK 37,80
2566,2,YES,HIRE,4,WK 37,120
2756,2,YES,MOVE EXISTING,4,WK 37,120
2790,2,YES,HIRE,4,WK 37,120
4423,1,YES,MOVE EXISTING,4,WK 37,140
1985,1,YES,MOVE EXISTING,4,WK 37,140
2194,1,YES,HIRE,4,WK 37,140
2258,2,YES,HIRE,4,WK 37,120
3035,1,YES,MOVE EXISTING,4,WK 37,140
5129,1,YES,MOVE EXISTING,4,WK 37,140
5753,3,NO,-,3,WK 37,80
5936,3,NO,-,4,WK 37,80
5968,2,YES,HIRE,4,WK 37,120
1406,2,YES,HIRE,4,WK 37,120
1825,1,YES,HIRE,4,WK 37,140
2437,3,NO,-,4,WK 37,80
2564,3,NO,-,3,WK 37,80
2647,3,NO,-,4,WK 37,80
3344,2,YES,MOVE EXISTING,4,WK 37,120
3573,2,YES,MOVE EXISTING,4,WK 37,120
4514,3,NO,-,4,WK 37,80
5105,2,YES,MOVE EXISTING,4,WK 37,120
6952,3,NO,-,3,WK 37,80
1904,1,YES,MOVE EXISTING,4,WK 37,140
2015,3,NO,-,4,WK 37,80
2038,1,YES,MOVE EXISTING,4,WK 37,140
3077,2,YES,MOVE EXISTING,4,WK 37,120
3639,2,YES,MOVE EXISTING,4,WK 37,120
5227,2,YES,HIRE,4,WK 37,120
5880,3,NO,-,4,WK 37,80
5969,3,NO,-,3,WK 37,80
1707,2,YES,HIRE,4,WK 37,120
2063,2,YES,MOVE EXISTING,4,WK 37,120
2197,1,YES,HIRE,4,WK 37,140
2211,2,YES,MOVE EXISTING,4,WK 37,120
2506,3,NO,-,4,WK 37,80
2541,2,YES,MOVE EXISTING,4,WK 37,120
2910,2,YES,HIRE,4,WK 37,120
3722,2,YES,HIRE,4,WK 37,120
3860,2,YES,MOVE EXISTING,4,WK 37,120
1857,2,YES,HIRE,4,WK 37,120
1863,2,YES,MOVE EXISTING,4,WK 37,120
1927,2,YES,HIRE,4,WK 37,120
2313,3,NO,-,Stocking ,WK 37,80
2359,1,YES,HIRE,4,WK 37,140
2362,2,YES,MOVE EXISTING,4,WK 37,120
3250,3,NO,-,4,WK 37,80
3293,2,YES,MOVE EXISTING,4,WK 37,120
3608,2,YES,HIRE,4,WK 37,120
5387,3,NO,-,4,WK 37,80
1839,2,YES,MOVE EXISTING,4,WK 37,120
2073,2,YES,MOVE EXISTING,4,WK 37,120
2266,2,YES,HIRE,4,WK 37,120
2316,2,YES,HIRE,4,WK 37,120
4255,2,YES,MOVE EXISTING,4,WK 37,120
4285,2,YES,MOVE EXISTING,4,WK 37,120
5066,2,YES,HIRE,4,WK 37,120
5082,1,YES,MOVE EXISTING,4,WK 37,140
1812,2,YES,MOVE EXISTING,4,WK 37,120
1894,2,YES,HIRE,4,WK 37,120
1895,2,YES,MOVE EXISTING,4,WK 37,120
1911,2,YES,MOVE EXISTING,4,WK 37,120
2323,2,YES,MOVE EXISTING,4,WK 37,120
2361,2,YES,HIRE,4,WK 37,120
2914,2,YES,MOVE EXISTING,4,WK 37,120
2966,2,YES,MOVE EXISTING,4,WK 37,120
5285,2,YES,MOVE EXISTING,4,WK 37,120
5410,2,YES,HIRE,4,WK 37,120
1724,3,NO,-,4,WK 37,80
1782,2,YES,MOVE EXISTING,4,WK 37,120
1937,2,YES,HIRE,4,WK 37,120
2078,2,YES,MOVE EXISTING,4,WK 37,120
2115,1,YES,MOVE EXISTING,4,WK 37,140
2149,2,YES,MOVE EXISTING,4,WK 37,120
2209,2,YES,MOVE EXISTING,4,WK 37,120
2684,3,NO,-,4,WK 37,80
2823,2,YES,HIRE,4,WK 37,120
2852,3,NO,-,4,WK 37,80
3262,2,YES,MOVE EXISTING,4,WK 37,120
3581,2,YES,HIRE,4,WK 37,120
1948,2,YES,HIRE,4,WK 37,120
2193,2,YES,MOVE EXISTING,4,WK 37,120
2300,2,YES,MOVE EXISTING,4,WK 37,120
2588,2,YES,MOVE EXISTING,4,WK 37,120
3738,2,YES,MOVE EXISTING,4,WK 37,120
3838,2,YES,MOVE EXISTING,4,WK 37,120
4644,3,NO,-,4,WK 37,80
5040,2,YES,HIRE,4,WK 37,120
5381,2,YES,HIRE,4,WK 37,120
1739,1,YES,MOVE EXISTING,4,WK 37,140
2019,1,YES,MOVE EXISTING,4,WK 37,140
2199,2,YES,HIRE,4,WK 37,120
2281,1,YES,MOVE EXISTING,4,WK 37,140
2420,2,YES,MOVE EXISTING,4,WK 37,120
2611,2,YES,HIRE,4,WK 37,120
4501,3,NO,-,4,WK 37,80
5088,2,YES,HIRE,4,WK 37,120
5379,2,YES,HIRE,4,WK 37,120
5446,3,NO,-,4,WK 37,80
545,3,NO,-,2,WK 37,80
552,3,NO,-,3,WK 37,80
696,3,NO,-,3,WK 37,80
739,2,YES,HIRE,4,WK 37,120
1113,1,YES,MOVE EXISTING,4,WK 37,140
1189,3,NO,-,3,WK 37,80
1233,2,YES,MOVE EXISTING,4,WK 37,120
1247,2,YES,MOVE EXISTING,4,WK 37,120
1259,2,YES,MOVE EXISTING,4,WK 37,120
1505,1,YES,MOVE EXISTING,4,WK 37,140
1743,3,NO,-,3,WK 37,80
154,2,YES,MOVE EXISTING,4,WK 37,120
1023,2,YES,HIRE,4,WK 37,120
1302,2,YES,MOVE EXISTING,4,WK 37,120
1336,3,NO,-,3,WK 37,80
1763,2,YES,MOVE EXISTING,4,WK 37,120
2089,2,YES,MOVE EXISTING,4,WK 37,120
2761,3,NO,-,4,WK 37,80
3270,3,NO,-,4,WK 37,80
3303,3,NO,-,3,WK 37,80
3480,3,NO,-,3,WK 37,80
3772,3,NO,-,3,WK 37,80
1450,2,YES,HIRE,4,WK 37,120
2244,2,YES,MOVE EXISTING,4,WK 37,120
2548,2,YES,HIRE,4,WK 37,120
2576,2,YES,MOVE EXISTING,4,WK 37,120
2610,2,YES,MOVE EXISTING,4,WK 37,120
2792,3,NO,-,3,WK 37,80
2810,3,NO,-,3,WK 37,80
2849,3,NO,-,3,WK 37,80
4277,2,YES,MOVE EXISTING,4,WK 37,120
5296,2,YES,MOVE EXISTING,4,WK 37,120
1351,2,YES,MOVE EXISTING,4,WK 37,120
1360,2,YES,MOVE EXISTING,4,WK 37,120
1477,2,YES,HIRE,4,WK 37,120
1499,2,YES,MOVE EXISTING,4,WK 37,120
2036,1,YES,MOVE EXISTING,4,WK 37,140
2646,3,NO,-,3,WK 37,80
2662,3,NO,-,3,WK 37,80
2933,2,YES,HIRE,4,WK 37,120
4278,3,NO,-,3,WK 37,80
5319,2,YES,MOVE EXISTING,4,WK 37,120
6951,3,NO,-,3,WK 37,80
1239,3,NO,-,4,WK 37,80
1595,2,YES,HIRE,4,WK 37,120
1990,3,NO,-,2,WK 37,80
2426,2,YES,MOVE EXISTING,4,WK 37,120
2471,3,NO,-,3,WK 37,80
2725,2,YES,MOVE EXISTING,4,WK 37,120
2774,3,NO,-,3,WK 37,80
3812,2,YES,MOVE EXISTING,4,WK 37,120
5185,2,YES,MOVE EXISTING,4,WK 37,120
5203,3,NO,-,3,WK 37,80
1368,3,NO,-,3,WK 37,80
1427,2,YES,MOVE EXISTING,4,WK 37,120
1519,2,YES,MOVE EXISTING,4,WK 37,120
1564,1,YES,MOVE EXISTING,4,WK 37,140
2400,2,YES,MOVE EXISTING,4,WK 37,120
2572,3,NO,-,3,WK 37,80
2605,2,YES,HIRE,4,WK 37,120
3251,2,YES,HIRE,4,WK 37,120
3282,2,YES,HIRE,4,WK 37,120
3486,2,YES,MOVE EXISTING,4,WK 37,120
3515,2,YES,HIRE,4,WK 37,120
1594,1,YES,HIRE,4,WK 37,140
2098,1,YES,MOVE EXISTING,4,WK 37,140
2726,1,YES,MOVE EXISTING,4,WK 37,140
3447,2,YES,MOVE EXISTING,4,WK 37,120
3580,2,YES,MOVE EXISTING,4,WK 37,120
3792,2,YES,HIRE,4,WK 37,120
5184,2,YES,HIRE,4,WK 37,120
5466,1,YES,MOVE EXISTING,4,WK 37,140
5857,3,NO,-,3,WK 37,80
1289,2,YES,HIRE,4,WK 37,120
1407,3,NO,-,3,WK 37,80
1441,2,YES,HIRE,4,WK 37,120
1443,1,YES,MOVE EXISTING,4,WK 37,140
2250,2,YES,MOVE EXISTING,4,WK 37,120
2309,2,YES,HIRE,4,WK 37,120
3502,1,YES,MOVE EXISTING,4,WK 37,140
3571,2,YES,HIRE,4,WK 37,120
3749,2,YES,HIRE,4,WK 37,120
3784,2,YES,MOVE EXISTING,4,WK 37,120
5499,2,YES,MOVE EXISTING,4,WK 37,120
1410,2,YES,HIRE,4,WK 37,120
1463,2,YES,HIRE,4,WK 37,120
1495,2,YES,MOVE EXISTING,4,WK 37,120
1503,2,YES,MOVE EXISTING,4,WK 37,120
1504,2,YES,MOVE EXISTING,4,WK 37,120
2124,2,YES,HIRE,4,WK 37,120
2429,2,YES,MOVE EXISTING,4,WK 37,120
3641,2,YES,HIRE,4,WK 37,120
3783,2,YES,MOVE EXISTING,4,WK 37,120
5104,2,YES,HIRE,4,WK 37,120
5409,2,YES,HIRE,4,WK 37,120
1510,1,YES,MOVE EXISTING,4,WK 37,140
1521,2,YES,HIRE,4,WK 37,120
1961,2,YES,HIRE,4,WK 37,120
2275,3,NO,-,3,WK 37,80
2441,2,YES,HIRE,4,WK 37,120
2447,2,YES,MOVE EXISTING,4,WK 37,120
2967,1,YES,MOVE EXISTING,4,WK 37,140
3342,2,YES,HIRE,4,WK 37,120
4609,2,YES,MOVE EXISTING,4,WK 37,120
1331,2,YES,MOVE EXISTING,4,WK 37,120
1480,3,NO,-,3,WK 37,80
1665,2,YES,MOVE EXISTING,4,WK 37,120
1729,3,NO,-,3,WK 37,80
1745,2,YES,MOVE EXISTING,4,WK 37,120
1758,2,YES,MOVE EXISTING,4,WK 37,120
2035,2,YES,HIRE,4,WK 37,120
2388,3,NO,-,3,WK 37,80
3747,3,NO,-,4,WK 37,80
3765,3,NO,-,3,WK 37,80
5374,3,NO,-,4,WK 37,80
854,3,NO,-,4,WK 37,80
1329,2,YES,HIRE,4,WK 37,120
1547,2,YES,MOVE EXISTING,4,WK 37,120
1728,1,YES,MOVE EXISTING,4,WK 37,140
1962,1,YES,MOVE EXISTING,4,WK 37,140
2020,3,NO,-,3,WK 37,80
2339,2,YES,HIRE,4,WK 37,120
2771,3,NO,-,3,WK 37,80
3851,2,YES,MOVE EXISTING,4,WK 37,120
1294,2,YES,MOVE EXISTING,4,WK 37,120
1304,2,YES,MOVE EXISTING,4,WK 37,120
1378,2,YES,HIRE,4,WK 37,120
1425,3,NO,-,4,WK 37,80
1566,2,YES,MOVE EXISTING,4,WK 37,120
1639,3,NO,-,3,WK 37,80
1667,2,YES,HIRE,4,WK 37,120
1978,2,YES,HIRE,4,WK 37,120
2311,2,YES,HIRE,4,WK 37,120
2679,2,YES,MOVE EXISTING,4,WK 37,120
4399,3,NO,-,4,WK 37,80
1388,2,YES,HIRE,4,WK 37,120
1419,2,YES,MOVE EXISTING,4,WK 37,120
1570,2,YES,MOVE EXISTING,4,WK 37,120
1647,3,NO,-,4,WK 37,80
1709,2,YES,MOVE EXISTING,4,WK 37,120
1804,2,YES,MOVE EXISTING,4,WK 37,120
2819,3,NO,-,4,WK 37,80
4230,2,YES,HIRE,4,WK 37,120
4231,2,YES,MOVE EXISTING,4,WK 37,120
5025,2,YES,MOVE EXISTING,4,WK 37,120
493,3,NO,-,4,WK 37,80
591,3,NO,-,4,WK 37,80
693,3,NO,-,3,WK 37,80
702,2,YES,MOVE EXISTING,4,WK 37,120
1139,1,YES,MOVE EXISTING,4,WK 37,140
1140,2,YES,MOVE EXISTING,4,WK 37,120
1426,1,YES,MOVE EXISTING,4,WK 37,140
1478,2,YES,HIRE,4,WK 37,120
1569,2,YES,HIRE,4,WK 37,120
2638,2,YES,HIRE,4,WK 37,120
4461,3,NO,-,3,WK 37,80
844,2,YES,MOVE EXISTING,4,WK 37,120
852,2,YES,MOVE EXISTING,4,WK 37,120
1003,3,NO,-,4,WK 37,80
1307,2,YES,MOVE EXISTING,4,WK 37,120
1386,3,NO,-,4,WK 37,80
1548,3,NO,-,3,WK 37,80
4323,3,NO,-,4,WK 37,80
4699,3,NO,-,3,WK 37,80
786,2,YES,MOVE EXISTING,4,WK 37,120
1420,2,YES,MOVE EXISTING,4,WK 37,120
1553,2,YES,MOVE EXISTING,4,WK 37,120
1814,2,YES,MOVE EXISTING,4,WK 37,120
1848,2,YES,HIRE,4,WK 37,120
1898,3,NO,-,3,WK 37,80
4405,2,YES,MOVE EXISTING,4,WK 37,120
5352,3,NO,-,4,WK 37,80
5442,3,NO,-,4,WK 37,80
1401,2,YES,MOVE EXISTING,4,WK 37,120
1596,2,YES,MOVE EXISTING,4,WK 37,120
1779,1,YES,MOVE EXISTING,4,WK 37,140
2215,2,YES,HIRE,4,WK 37,120
3400,2,YES,MOVE EXISTING,4,WK 37,120
3790,2,YES,HIRE,4,WK 37,120
4286,2,YES,HIRE,4,WK 37,120
4531,2,YES,MOVE EXISTING,4,WK 37,120
1256,1,YES,MOVE EXISTING,4,WK 37,140
1497,2,YES,HIRE,4,WK 37,120
1556,1,YES,MOVE EXISTING,4,WK 37,140
2956,2,YES,MOVE EXISTING,4,WK 37,120
3601,1,YES,MOVE EXISTING,4,WK 37,140
4049,2,YES,MOVE EXISTING,4,WK 37,120
4529,2,YES,HIRE,4,WK 37,120
5486,2,YES,HIRE,4,WK 37,120
1933,1,YES,HIRE,4,WK 37,140
1998,1,YES,HIRE,4,WK 37,140
2204,1,YES,MOVE EXISTING,4,WK 37,140
2816,1,YES,HIRE,4,WK 37,140
3725,2,YES,HIRE,4,WK 37,120
5402,2,YES,MOVE EXISTING,4,WK 37,120
5617,1,YES,HIRE,4,WK 37,140
5965,2,YES,MOVE EXISTING,4,WK 37,120
1681,3,NO,-,4,WK 37,80
1737,2,YES,HIRE,4,WK 37,120
1892,1,YES,MOVE EXISTING,4,WK 37,140
1897,2,YES,HIRE,4,WK 37,120
1938,1,YES,MOVE EXISTING,4,WK 37,140
2815,2,YES,HIRE,4,WK 37,120
3004,1,YES,MOVE EXISTING,4,WK 37,140
5485,1,YES,MOVE EXISTING,4,WK 37,140
1211,3,NO,-,3,WK 37,80
1377,2,YES,MOVE EXISTING,4,WK 37,120
1413,2,YES,MOVE EXISTING,4,WK 37,120
1531,2,YES,MOVE EXISTING,4,WK 37,120
3434,3,NO,-,4,WK 37,80
3597,2,YES,MOVE EXISTING,4,WK 37,120
4641,3,NO,-,4,WK 37,80
5060,2,YES,MOVE EXISTING,4,WK 37,120
198,3,NO,-,4,WK 37,80
213,2,YES,MOVE EXISTING,4,WK 37,120
224,2,YES,MOVE EXISTING,4,WK 37,120
317,3,NO,-,4,WK 37,80
435,3,NO,-,4,WK 37,80
436,3,NO,-,3,WK 37,80
454,3,NO,-,3,WK 37,80
506,3,NO,-,3,WK 37,80
936,2,YES,MOVE EXISTING,4,WK 37,120
1395,3,NO,-,4,WK 37,80
4259,3,NO,-,3,WK 37,80
254,3,NO,-,3,WK 37,80
422,3,NO,-,3,WK 37,80
481,2,YES,MOVE EXISTING,4,WK 37,120
550,3,NO,-,3,WK 37,80
612,3,NO,-,4,WK 37,80
798,3,NO,-,3,WK 37,80
1093,3,NO,-,3,WK 37,80
1734,2,YES,MOVE EXISTING,4,WK 37,120
2491,2,YES,MOVE EXISTING,4,WK 37,120
2934,3,NO,-,3,WK 37,80
3255,3,NO,-,4,WK 37,80
5403,3,NO,-,4,WK 37,80
200,2,YES,MOVE EXISTING,4,WK 37,120
334,3,NO,-,3,WK 37,80
343,3,NO,-,4,WK 37,80
480,3,NO,-,3,WK 37,80
609,2,YES,HIRE,4,WK 37,120
1451,3,NO,-,3,WK 37,80
1454,2,YES,HIRE,4,WK 37,120
1602,3,NO,-,4,WK 37,80
1690,2,YES,MOVE EXISTING,4,WK 37,120
2728,2,YES,HIRE,4,WK 37,120
3210,2,YES,MOVE EXISTING,4,WK 37,120
3602,2,YES,MOVE EXISTING,4,WK 37,120
197,2,YES,HIRE,4,WK 37,120
199,3,NO,-,4,WK 37,80
603,2,YES,MOVE EXISTING,4,WK 37,120
1028,2,YES,MOVE EXISTING,4,WK 37,120
1125,2,YES,MOVE EXISTING,4,WK 37,120
1323,3,NO,-,3,WK 37,80
1421,2,YES,HIRE,4,WK 37,120
1713,3,NO,-,3,WK 37,80
3459,2,YES,MOVE EXISTING,4,WK 37,120
3460,2,YES,MOVE EXISTING,4,WK 37,120
5157,3,NO,-,4,WK 37,80
633,3,NO,-,4,WK 37,80
636,3,NO,-,4,WK 37,80
775,2,YES,MOVE EXISTING,4,WK 37,120
792,3,NO,-,2,WK 37,80
796,2,YES,MOVE EXISTING,4,WK 37,120
830,3,NO,-,3,WK 37,80
891,2,YES,MOVE EXISTING,4,WK 37,120
957,3,NO,-,2,WK 37,80
2231,2,YES,MOVE EXISTING,4,WK 37,120
4511,2,YES,MOVE EXISTING,4,WK 37,120
5399,3,NO,-,4,WK 37,80
15,2,YES,HIRE,4,WK 37,120
32,2,YES,MOVE EXISTING,4,WK 37,120
56,3,NO,-,3,WK 37,80
379,3,NO,-,4,WK 37,80
444,2,YES,MOVE EXISTING,4,WK 37,120
837,3,NO,-,2,WK 37,80
871,3,NO,-,2,WK 37,80
1009,2,YES,MOVE EXISTING,4,WK 37,120
2175,3,NO,-,4,WK 37,80
2221,2,YES,MOVE EXISTING,4,WK 37,120
2702,3,NO,-,4,WK 37,80
4381,2,YES,HIRE,4,WK 37,120
21,2,YES,MOVE EXISTING,4,WK 37,120
29,2,YES,MOVE EXISTING,4,WK 37,120
44,3,NO,-,2,WK 37,80
65,3,NO,-,4,WK 37,80
89,2,YES,MOVE EXISTING,4,WK 37,120
101,2,YES,MOVE EXISTING,4,WK 37,120
219,2,YES,MOVE EXISTING,4,WK 37,120
354,3,NO,-,3,WK 37,80
357,3,NO,-,3,WK 37,80
815,3,NO,-,4,WK 37,80
895,3,NO,-,2,WK 37,80
5477,3,NO,-,4,WK 37,80
60,3,NO,-,4,WK 37,80
145,3,NO,-,3,WK 37,80
243,2,YES,HIRE,4,WK 37,120
648,2,YES,MOVE EXISTING,4,WK 37,120
1021,3,NO,-,4,WK 37,80
1161,2,YES,MOVE EXISTING,4,WK 37,120
1188,2,YES,MOVE EXISTING,4,WK 37,120
1265,3,NO,-,3,WK 37,80
2600,3,NO,-,4,WK 37,80
2616,2,YES,MOVE EXISTING,4,WK 37,120
5313,2,YES,HIRE,4,WK 37,120
5927,2,YES,MOVE EXISTING,4,WK 37,120
99,3,NO,-,4,WK 37,80
172,2,YES,MOVE EXISTING,4,WK 37,120
295,3,NO,-,4,WK 37,80
313,3,NO,-,4,WK 37,80
805,2,YES,MOVE EXISTING,4,WK 37,120
1177,2,YES,HIRE,4,WK 37,120
1514,1,YES,MOVE EXISTING,4,WK 37,140
2213,2,YES,MOVE EXISTING,4,WK 37,120
2694,3,NO,-,4,WK 37,80
3061,2,YES,MOVE EXISTING,4,WK 37,120
5150,2,YES,MOVE EXISTING,4,WK 37,120
201,2,YES,MOVE EXISTING,4,WK 37,120
253,3,NO,-,4,WK 37,80
256,2,YES,MOVE EXISTING,4,WK 37,120
328,3,NO,-,4,WK 37,80
361,2,YES,HIRE,4,WK 37,120
1071,2,YES,HIRE,4,WK 37,120
1418,2,YES,MOVE EXISTING,4,WK 37,120
1761,3,NO,-,4,WK 37,80
4695,3,NO,-,4,WK 37,80
14,2,YES,MOVE EXISTING,4,WK 37,120
27,3,NO,-,3,WK 37,80
46,2,YES,MOVE EXISTING,4,WK 37,120
78,3,NO,-,4,WK 37,80
86,2,YES,MOVE EXISTING,4,WK 37,120
88,3,NO,-,3,WK 37,80
138,2,YES,MOVE EXISTING,4,WK 37,120
166,3,NO,-,3,WK 37,80
173,3,NO,-,3,WK 37,80
179,2,YES,MOVE EXISTING,4,WK 37,120
250,3,NO,-,4,WK 37,80
845,3,NO,-,2,WK 37,80
25,3,NO,-,4,WK 37,80
40,2,YES,MOVE EXISTING,4,WK 37,120
51,3,NO,-,3,WK 37,80
80,3,NO,-,4,WK 37,80
159,2,YES,MOVE EXISTING,4,WK 37,120
189,2,YES,MOVE EXISTING,4,WK 37,120
203,3,NO,-,3,WK 37,80
363,3,NO,-,4,WK 37,80
451,3,NO,-,4,WK 37,80
783,3,NO,-,3,WK 37,80
820,3,NO,-,4,WK 37,80
109,3,NO,-,4,WK 37,80
135,3,NO,-,4,WK 37,80
195,2,YES,HIRE,4,WK 37,120
234,2,YES,MOVE EXISTING,4,WK 37,120
325,3,NO,-,3,WK 37,80
560,2,YES,MOVE EXISTING,4,WK 37,120
801,3,NO,-,4,WK 37,80
834,3,NO,-,3,WK 37,80
1120,2,YES,MOVE EXISTING,4,WK 37,120
2857,1,YES,MOVE EXISTING,4,WK 37,140
2994,2,YES,HIRE,4,WK 37,120
20,3,NO,-,4,WK 37,80
61,2,YES,MOVE EXISTING,4,WK 37,120
96,2,YES,HIRE,4,WK 37,120
184,1,YES,MOVE EXISTING,4,WK 37,140
319,2,YES,MOVE EXISTING,4,WK 37,120
326,3,NO,-,2,WK 37,80
573,2,YES,MOVE EXISTING,4,WK 37,120
1014,1,YES,MOVE EXISTING,4,WK 37,140
1094,2,YES,MOVE EXISTING,4,WK 37,120
2856,3,NO,-,3,WK 37,80
4553,1,YES,MOVE EXISTING,4,WK 37,140
4590,3,NO,-,4,WK 37,80
486,3,NO,-,3,WK 37,80
577,2,YES,MOVE EXISTING,4,WK 37,120
1151,2,YES,MOVE EXISTING,4,WK 37,120
1599,3,NO,-,3,WK 37,80
1691,2,YES,HIRE,4,WK 37,120
2490,2,YES,MOVE EXISTING,4,WK 37,120
2855,2,YES,HIRE,4,WK 37,120
2955,3,NO,-,4,WK 37,80
3273,3,NO,-,4,WK 37,80
4475,2,YES,MOVE EXISTING,4,WK 37,120
4611,3,NO,-,4,WK 37,80
497,2,YES,MOVE EXISTING,4,WK 37,120
526,3,NO,-,3,WK 37,80
1053,2,YES,MOVE EXISTING,4,WK 37,120
1327,2,YES,MOVE EXISTING,4,WK 37,120
2968,3,NO,-,3,WK 37,80
3294,1,YES,HIRE,4,WK 37,140
4450,2,YES,MOVE EXISTING,4,WK 37,120
5418,2,YES,MOVE EXISTING,4,WK 37,120
7290,3,NO,-,3,WK 37,80
922,2,YES,MOVE EXISTING,4,WK 37,120
1033,2,YES,HIRE,4,WK 37,120
1142,3,NO,-,4,WK 37,80
1157,3,NO,-,4,WK 37,80
1160,1,YES,HIRE,4,WK 37,140
1180,2,YES,MOVE EXISTING,4,WK 37,120
1476,1,YES,MOVE EXISTING,4,WK 37,140
2691,2,YES,MOVE EXISTING,4,WK 37,120
5417,1,YES,HIRE,4,WK 37,140
7087,3,NO,-,4,WK 37,80
884,2,YES,HIRE,4,WK 37,120
1141,2,YES,HIRE,4,WK 37,120
1459,2,YES,MOVE EXISTING,4,WK 37,120
1580,2,YES,MOVE EXISTING,4,WK 37,120
2787,2,YES,MOVE EXISTING,4,WK 37,120
3435,2,YES,HIRE,4,WK 37,120
3529,2,YES,MOVE EXISTING,4,WK 37,120
5443,1,YES,MOVE EXISTING,4,WK 37,140
5483,3,NO,-,4,WK 37,80
828,1,YES,MOVE EXISTING,4,WK 37,140
902,3,NO,-,4,WK 37,80
995,2,YES,MOVE EXISTING,4,WK 37,120
996,3,NO,-,3,WK 37,80
1013,3,NO,-,3,WK 37,80
1310,2,YES,MOVE EXISTING,4,WK 37,120
1356,2,YES,HIRE,4,WK 37,120
1629,3,NO,-,3,WK 37,80
1991,2,YES,MOVE EXISTING,4,WK 37,120
4235,2,YES,HIRE,4,WK 37,120
4417,2,YES,MOVE EXISTING,4,WK 37,120
143,3,NO,-,4,WK 37,80
204,3,NO,-,4,WK 37,80
282,2,YES,HIRE,4,WK 37,120
294,3,NO,-,4,WK 37,80
430,3,NO,-,4,WK 37,80
431,2,YES,HIRE,4,WK 37,120
491,2,YES,MOVE EXISTING,4,WK 37,120
653,1,YES,MOVE EXISTING,4,WK 37,140
655,2,YES,HIRE,4,WK 37,120
736,3,NO,-,4,WK 37,80
3362,2,YES,HIRE,4,WK 37,120
257,3,NO,-,3,WK 37,80
299,1,YES,MOVE EXISTING,4,WK 37,140
333,3,NO,-,4,WK 37,80
694,2,YES,MOVE EXISTING,4,WK 37,120
701,2,YES,HIRE,4,WK 37,120
1263,2,YES,MOVE EXISTING,4,WK 37,120
1341,2,YES,MOVE EXISTING,4,WK 37,120
1676,3,NO,-,4,WK 37,80
3363,2,YES,MOVE EXISTING,4,WK 37,120
5236,2,YES,MOVE EXISTING,4,WK 37,120
5728,2,YES,MOVE EXISTING,4,WK 37,120
445,2,YES,MOVE EXISTING,4,WK 37,120
589,2,YES,MOVE EXISTING,4,WK 37,120
709,1,YES,MOVE EXISTING,4,WK 37,140
729,2,YES,MOVE EXISTING,4,WK 37,120
760,3,NO,-,2,WK 37,80
1165,2,YES,HIRE,4,WK 37,120
1170,2,YES,MOVE EXISTING,4,WK 37,120
1675,3,NO,-,3,WK 37,80
4118,2,YES,MOVE EXISTING,4,WK 37,120
6931,2,YES,MOVE EXISTING,4,WK 37,120
569,3,NO,-,4,WK 37,80
665,2,YES,HIRE,4,WK 37,120
689,1,YES,MOVE EXISTING,4,WK 37,140
711,1,YES,MOVE EXISTING,4,WK 37,140
719,1,YES,MOVE EXISTING,4,WK 37,140
825,3,NO,-,3,WK 37,80
1048,3,NO,-,4,WK 37,80
1190,2,YES,MOVE EXISTING,4,WK 37,120
1234,3,NO,-,4,WK 37,80
2654,3,NO,-,3,WK 37,80
507,3,NO,-,4,WK 37,80
519,3,NO,-,3,WK 37,80
571,2,YES,MOVE EXISTING,4,WK 37,120
584,2,YES,HIRE,4,WK 37,120
692,2,YES,MOVE EXISTING,4,WK 37,120
720,2,YES,HIRE,4,WK 37,120
1210,2,YES,HIRE,4,WK 37,120
2628,1,YES,MOVE EXISTING,4,WK 37,140
2783,2,YES,MOVE EXISTING,4,WK 37,120
3894,1,YES,MOVE EXISTING,4,WK 37,140
196,3,NO,-,4,WK 37,80
216,1,YES,MOVE EXISTING,4,WK 37,140
222,3,NO,-,4,WK 37,80
233,3,NO,-,3,WK 37,80
237,2,YES,MOVE EXISTING,4,WK 37,120
252,3,NO,-,3,WK 37,80
262,3,NO,-,4,WK 37,80
302,3,NO,-,3,WK 37,80
352,3,NO,-,3,WK 37,80
596,3,NO,-,2,WK 37,80
833,3,NO,-,3,WK 37,80
923,2,YES,HIRE,4,WK 37,120
1275,3,NO,-,4,WK 37,80
1518,2,YES,MOVE EXISTING,4,WK 37,120
1557,2,YES,MOVE EXISTING,4,WK 37,120
1601,3,NO,-,4,WK 37,80
1655,2,YES,HIRE,4,WK 37,120
2786,1,YES,MOVE EXISTING,4,WK 37,140
2788,2,YES,HIRE,4,WK 37,120
3781,1,YES,MOVE EXISTING,4,WK 37,140
6476,3,NO,-,4,WK 37,80
