Store Number,Department Category Description ,WK05,WK06,WK07,WK08,WK09,WK10,WK11,WK12,WK13,WK14,WK15,WK16,WK17,WK18,WK19,WK20,WK21,WK22,WK23,WK24,WK25,WK26,WK27,WK28,WK29,WK30,WK31,WK32,WK33,WK34,WK35,WK36,WK37,WK38,WK39,WK40,WK41,WK42,WK43,WK44,WK45,WK46,WK47,WK48,WK49,WK50,WK51,WK52,WK01,WK02,WK03,WK04,WK05,,,
135,COMBO GRILLS,,,,,,,1,,,2,,,,,,,1,1,1,1,,1,1,,,,1,1,,1,,,,,,,,,,,,1,,,,,1,2,,,,,,,,
135,FULL SIZE GAS GRILLS,3,,1,1,3,4,2,4,2,1,3,3,4,5,4,3,7,4,2,,2,,3,,1,,2,7,4,3,3,2,,,,1,2,,,,,,,3,,,,2,,,,1,,,,
135,FULL SIZE GRIDDLES,2,1,,3,2,2,3,2,,2,3,5,2,5,5,4,7,1,1,1,1,1,5,2,1,2,3,3,1,,,1,,,,,,,1,1,1,,,,,1,,6,,2,4,3,,,,
135,FULL SIZE PELLET GRILLS,3,1,,2,0,2,2,4,,1,,,2,1,2,4,6,1,5,3,2,2,2,,1,1,,,2,2,2,,,,,2,,1,3,1,3,3,1,1,,2,1,5,,1,4,4,,,,
136,FULL SIZE GAS GRILLS,2,1,,,1,1,,,,1,2,2,1,1,,1,,,,,,1,,,1,1,,,,,,2,,,,1,,,,,,,1,,,,,,,,,2,,,,
136,FULL SIZE GRIDDLES,2,1,2,,,1,,,1,1,,,1,,1,2,1,,1,,,,,,1,,1,,1,,,,1,,1,1,,,2,0,1,1,,,,,1,,,,,1,,,,
136,FULL SIZE PELLET GRILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,
137,COMBO GRILLS,1,1,1,,,2,,1,1,,,,,1,,1,,,,,,,,,,,1,1,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,
137,FULL SIZE GAS GRILLS,2,,2,2,3,3,4,5,4,1,4,2,4,6,2,5,8,3,7,3,5,2,2,,1,,2,,1,2,3,2,,,,1,,,,,,,2,,,1,,,,1,2,3,1,,,
137,FULL SIZE GRIDDLES,,2,1,4,3,3,,1,1,1,,,1,1,3,3,8,,2,6,1,,1,,2,1,2,1,1,1,3,,1,,3,1,,2,1,2,,,4,2,,,1,,1,,1,,,,,
137,FULL SIZE PELLET GRILLS,3,2,,1,1,3,2,,1,2,,,4,3,3,3,1,1,2,3,,,1,,,1,,,,2,2,0,,,2,1,0,,,1,,1,,,,,1,,1,,4,3,,,,
138,COMBO GRILLS,2,1,,,1,,1,,1,1,1,,,,2,1,2,,2,,,1,,,,1,2,2,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,
138,FULL SIZE GAS GRILLS,2,1,2,1,2,1,1,2,4,5,1,3,1,3,6,3,4,3,3,,5,,,4,2,3,3,3,1,1,,1,,,,,,1,2,1,,1,1,1,2,1,1,2,1,3,2,2,,,,
138,FULL SIZE GRIDDLES,1,,2,1,1,2,2,1,2,3,2,2,2,2,2,2,6,,2,2,2,1,,2,1,1,3,3,2,4,3,3,1,,,,,,1,,,,1,,,1,,,1,1,1,,,,,
138,FULL SIZE PELLET GRILLS,,2,1,3,1,2,,1,1,,,2,2,3,3,6,1,4,1,1,1,,1,,,,1,,,1,2,,,,,2,,1,2,1,1,,2,,3,,1,1,,,,2,,,,
139,COMBO GRILLS,,1,,2,1,,,,,3,,,3,1,1,,1,2,1,,2,1,,,,,2,,2,0,,,,,,1,,,,,,,,,,,,,,,,,,,,
139,FULL SIZE GAS GRILLS,4,,,1,3,1,2,2,1,2,6,1,3,7,2,1,9,7,7,2,3,2,2,5,5,1,1,2,1,1,,,7,1,2,1,,,1,,,2,,,,,,1,,1,1,,,,,
139,FULL SIZE GRIDDLES,,,4,2,2,1,1,1,1,4,3,2,2,5,5,7,5,3,3,1,1,2,,2,4,5,2,5,3,2,6,4,2,5,,,1,,1,2,,3,4,,2,2,1,,1,1,2,2,,,,
139,FULL SIZE PELLET GRILLS,2,3,1,2,3,2,,4,2,5,4,1,,2,2,2,3,1,6,,1,2,2,2,4,3,4,3,1,1,1,4,,1,0,5,1,,2,1,,,4,2,,1,0,,,2,,,1,,,
140,COMBO GRILLS,,,,,,,,,1,,,,,2,1,2,1,,,,2,,1,,1,,3,2,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
140,FULL SIZE GAS GRILLS,,2,1,3,3,1,3,2,2,2,3,2,2,3,3,8,11,9,8,5,6,1,7,5,2,2,7,7,2,3,1,2,,2,,,1,,1,3,,,1,,7,2,2,3,,2,1,2,,,,
140,FULL SIZE GRIDDLES,2,,1,,1,1,1,1,5,1,2,4,,2,3,7,6,2,5,2,2,2,,3,2,2,6,2,2,1,2,1,,,1,,,2,1,2,2,2,3,,2,,2,2,,4,3,2,2,,,
140,FULL SIZE PELLET GRILLS,4,3,3,2,2,3,1,4,2,4,5,2,3,5,3,8,6,3,7,1,1,3,1,,3,,3,6,3,8,1,6,6,1,1,1,2,2,4,2,1,2,6,2,4,3,1,1,,3,1,2,1,,,
141,COMBO GRILLS,,,,1,,1,,1,,1,,,1,,,1,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,FULL SIZE GAS GRILLS,1,3,1,1,7,4,3,2,,10,5,2,2,3,4,4,8,8,10,9,3,4,3,5,1,8,9,3,3,,,4,,,2,,,1,1,1,2,,2,1,1,,,1,1,1,2,1,,,,
141,FULL SIZE GRIDDLES,0,1,5,2,6,3,6,,,2,2,2,3,5,6,7,12,5,5,3,1,2,2,,1,12,1,2,1,,,,,,,,,,,2,,,1,,1,,,4,,1,5,2,2,,,
141,FULL SIZE PELLET GRILLS,2,2,1,0,1,2,2,3,3,,4,1,,2,1,2,7,6,1,1,1,2,2,2,1,2,12,6,1,1,,,,,,,2,,2,,1,,2,2,1,,,1,,2,,2,,,,
143,COMBO GRILLS,,,1,,,1,1,,1,1,,1,1,,1,2,1,1,5,1,,,,,,,4,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
143,FULL SIZE GAS GRILLS,3,1,3,7,3,3,4,3,5,7,5,1,6,8,2,3,5,11,23,5,5,3,2,2,2,2,12,6,1,,,,1,,1,1,,,2,,,,1,,,,,1,,,2,1,1,,,
143,FULL SIZE GRIDDLES,6,3,,3,3,2,6,3,3,6,5,8,6,6,4,2,17,3,12,4,4,4,4,2,3,2,2,6,1,2,,2,1,1,3,3,,,2,,1,1,1,4,,1,,,1,2,2,3,1,,,
143,FULL SIZE PELLET GRILLS,3,2,2,3,5,3,1,2,2,,1,4,2,1,1,4,7,3,28,12,,1,1,2,1,,15,2,2,1,1,,,,3,1,,,,,,1,1,,,1,,,,1,,1,,,,
144,COMBO GRILLS,1,,,,,,1,,,1,,,,1,1,2,4,,2,1,,,,,,1,,2,,,,,1,,1,0,,1,,1,,,1,,,1,1,,,1,,,,,,
144,FULL SIZE GAS GRILLS,,,1,2,1,3,3,4,1,3,6,4,2,12,3,8,7,5,14,2,6,5,5,4,4,2,1,1,6,4,3,2,,1,1,4,3,,2,,1,,1,,1,1,1,1,2,,1,4,1,,,
144,FULL SIZE GRIDDLES,4,,3,2,,3,2,1,2,1,1,3,,2,3,6,5,4,2,5,3,3,1,2,1,5,2,2,3,,1,2,2,,,,3,,1,6,2,,3,,2,1,0,,,,1,,,,,
144,FULL SIZE PELLET GRILLS,4,2,2,6,0,1,1,,3,1,3,2,,2,2,4,1,,1,1,3,2,3,3,,0,5,2,3,,2,5,,1,2,,0,,1,1,,3,4,,,,2,,,1,4,1,2,,,
145,FULL SIZE GAS GRILLS,1,2,4,1,1,2,1,2,,,2,2,5,1,1,3,2,2,4,2,1,,,8,1,1,,5,2,1,,,,3,,,,,1,,,,1,,1,,,,,,,1,,,,
145,FULL SIZE GRIDDLES,3,,2,2,2,1,2,4,3,4,1,1,2,,4,3,7,,2,,1,1,1,2,2,,2,1,2,3,,2,3,2,6,,1,2,4,2,1,1,1,1,,,1,,1,2,,2,,,,
145,FULL SIZE PELLET GRILLS,3,2,,2,1,0,,,1,,,1,1,,,,,,,,,,,,1,1,,1,1,,,,,,1,,,,,,,,,2,,,,,1,1,1,2,1,,,
146,COMBO GRILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
146,FULL SIZE GAS GRILLS,1,,,,1,2,1,2,3,1,1,1,2,3,3,3,,2,7,,2,2,3,2,2,,1,1,3,,1,,1,,1,1,1,,,,,,1,1,,,,,1,2,1,1,1,,,
146,FULL SIZE GRIDDLES,2,1,,1,,1,,1,1,,,,,1,1,6,4,,1,1,,,,,1,,2,1,1,2,1,2,1,1,2,,,1,1,2,1,1,3,1,1,1,1,,1,,1,1,1,,,
146,FULL SIZE PELLET GRILLS,1,,,,,,1,1,,,1,,4,1,1,,1,1,1,2,,,,,1,,1,,2,1,,,1,,1,,1,1,,,,1,2,,,,,1,,1,1,,1,,,
147,COMBO GRILLS,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
147,FULL SIZE GAS GRILLS,1,2,2,1,1,,1,,,1,1,4,4,9,2,7,5,5,8,6,,8,1,2,5,5,2,6,2,2,1,2,1,2,1,,3,,2,1,1,5,3,2,2,2,4,4,1,5,5,7,,,,
147,FULL SIZE GRIDDLES,1,1,2,2,5,2,3,1,1,1,1,3,1,2,4,1,7,,4,,1,3,2,,3,,2,3,2,,1,1,2,,,,,2,1,4,2,1,3,3,,1,2,3,1,1,1,4,2,,,
147,FULL SIZE PELLET GRILLS,,1,2,1,1,1,1,,1,3,1,,2,3,2,7,3,,,,0,3,1,,1,1,3,2,2,1,2,,2,,2,,,,1,,,1,,,1,,1,,1,0,1,1,,,,
148,COMBO GRILLS,,,1,1,1,,,,1,2,1,,3,1,,,2,1,,1,,,1,1,,,3,,4,,,1,,2,,,,,1,,,2,1,,,,,,,,,2,,,,
148,FULL SIZE GAS GRILLS,1,1,2,3,4,7,2,4,3,7,3,3,4,3,8,8,8,6,15,9,4,3,4,2,6,1,14,10,9,3,,,,,,,,1,,,1,4,3,2,,,,1,1,2,5,4,,,,
148,FULL SIZE GRIDDLES,1,1,2,1,1,2,1,4,1,6,9,4,3,10,5,9,7,,6,3,,2,2,2,,,7,9,3,2,1,1,2,1,1,1,1,,5,4,3,2,3,1,4,1,2,2,,1,1,3,2,,,
148,FULL SIZE PELLET GRILLS,1,,3,2,1,4,1,2,3,4,1,1,2,7,7,5,,4,1,4,1,,1,,1,3,3,8,4,1,4,3,1,2,1,2,1,2,2,1,2,3,1,,,3,1,1,2,1,1,3,1,,,
149,COMBO GRILLS,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,FULL SIZE GAS GRILLS,,3,,,2,1,,,,2,0,2,1,2,,2,,2,1,,2,1,,2,3,3,2,,1,,,2,,,,,,,,,,1,1,,,,,,,1,,1,,,,
149,FULL SIZE GRIDDLES,,1,1,1,,2,1,,1,,,,1,3,1,3,4,2,1,,,,2,2,,,,,,,1,1,,,1,1,2,1,,,,1,1,,,,1,,1,1,,1,,,,
149,FULL SIZE PELLET GRILLS,1,1,,1,1,1,1,1,1,1,,1,,3,1,1,0,1,1,,,,1,1,4,,2,2,,1,,,,,,1,,,1,1,,,2,1,,,,,,,,,,,,
150,COMBO GRILLS,,,,1,1,,,1,1,1,1,2,,,1,1,,1,,,,,1,,,,,2,1,,,1,,,,,,,1,,,,,,1,,,,,,,1,,,,
150,FULL SIZE GAS GRILLS,,2,2,4,2,3,2,1,5,2,2,4,3,3,2,5,11,4,4,1,5,5,3,2,,9,18,22,,1,3,,2,,1,1,,,1,2,,,1,,,1,1,1,,1,2,2,,,,
150,FULL SIZE GRIDDLES,1,,,2,10,1,3,1,1,5,2,5,6,3,6,4,2,6,,1,5,2,3,3,,3,4,16,3,1,1,1,2,1,3,,2,1,1,5,2,1,1,1,,1,2,1,2,,2,2,,,,
150,FULL SIZE PELLET GRILLS,2,2,2,2,2,,3,1,5,1,4,3,3,,5,5,6,8,1,2,2,4,,2,5,4,5,16,1,2,5,2,1,4,,2,2,,5,2,4,3,4,,1,1,1,4,1,,1,4,,,,
151,COMBO GRILLS,,,,,1,1,1,1,,,2,,1,1,,3,1,,1,,,5,1,2,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
151,FULL SIZE GAS GRILLS,3,2,2,4,,3,2,4,4,1,4,4,5,9,3,7,5,19,12,6,12,12,8,6,8,4,3,7,4,3,3,1,4,1,2,1,1,,1,1,,1,1,,,1,1,1,,1,2,1,1,,,
151,FULL SIZE GRIDDLES,3,2,3,2,3,4,5,,3,7,2,4,2,7,8,8,10,4,5,5,8,22,12,8,1,1,6,3,3,1,2,5,3,1,3,2,2,2,2,0,3,3,2,1,1,,,,1,,2,3,1,,,
151,FULL SIZE PELLET GRILLS,1,3,2,2,2,1,5,1,1,1,1,2,3,5,4,11,4,1,6,0,6,25,20,1,1,1,2,3,2,1,3,,4,3,1,0,2,,3,1,,1,3,2,1,1,2,,,,4,1,3,,,
152,COMBO GRILLS,,,,,,1,,,,,2,1,2,1,,1,,1,2,,,,,1,2,,,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,
152,FULL SIZE GAS GRILLS,,1,3,1,3,2,,3,1,,5,2,2,3,1,3,4,4,5,1,1,1,3,1,3,2,2,3,3,2,3,3,3,1,,,2,,,,1,,3,,2,,1,,1,1,1,1,3,,,
152,FULL SIZE GRIDDLES,5,2,2,5,7,6,2,1,4,3,5,2,6,7,1,5,9,6,11,2,2,,1,,4,4,6,6,1,2,2,2,1,1,,1,,1,2,,6,,2,1,,,2,,,1,,1,1,,,
152,FULL SIZE PELLET GRILLS,0,,2,,1,3,4,2,1,1,1,2,2,6,4,3,2,3,3,,,1,1,1,1,2,3,5,2,5,0,2,3,,,,,,1,1,,,4,,,1,,1,,1,1,1,,,,
153,COMBO GRILLS,,,,,,1,1,,,,1,1,,,,1,,,,,,,,,,1,1,1,1,1,,1,,,,,,,1,,1,,,,,,,1,,2,,,,,,
153,FULL SIZE GAS GRILLS,,1,2,1,2,,1,1,2,5,2,4,2,5,5,4,4,4,2,1,1,1,,2,1,2,,2,3,3,,1,1,1,,,,,,,,2,2,1,,1,,1,1,1,2,,,,,
153,FULL SIZE GRIDDLES,,1,,3,1,3,1,,4,1,3,5,2,4,2,4,2,4,1,1,3,,2,3,,,2,2,,,1,,1,1,2,,2,,1,1,,,2,1,1,,,1,1,,,2,,,,
153,FULL SIZE PELLET GRILLS,2,3,1,2,,4,1,1,1,2,5,1,5,6,5,2,3,1,5,2,2,,1,1,,1,1,2,1,,,,,,,2,,1,3,,,2,4,,1,1,,,1,1,3,2,,,,
154,COMBO GRILLS,2,1,,3,,1,,,1,1,1,1,,2,,2,1,1,,1,,1,,,,,5,3,1,4,1,8,,1,1,1,1,,1,,,,,,,,1,1,,,,,,,,
154,FULL SIZE GAS GRILLS,1,6,1,3,2,1,2,3,4,2,3,3,3,7,3,4,5,5,5,6,,2,1,2,1,1,4,3,3,,1,1,,1,1,1,,,1,,,4,1,1,,,,2,2,1,1,0,1,,,
154,FULL SIZE GRIDDLES,5,7,1,2,1,2,1,1,3,4,5,6,2,10,6,5,7,9,6,1,5,3,3,2,3,2,1,2,2,1,0,1,,1,,,,,2,3,4,2,5,,,1,1,,,,1,2,,,,
154,FULL SIZE PELLET GRILLS,,,1,,1,,1,4,,3,2,1,,3,1,,3,1,3,1,1,1,1,,,2,1,6,1,2,,5,,,1,1,,,2,,,,1,,,,,1,1,1,3,1,,,,
155,COMBO GRILLS,1,1,,,,,1,1,,,1,,2,,,1,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,1,1,,,,,,
155,FULL SIZE GAS GRILLS,2,1,1,,,1,,1,,1,4,1,1,2,2,2,3,1,3,2,1,,,,,2,1,2,3,,,1,3,,1,,,,1,,,,,1,,,,,1,,,,,,,
155,FULL SIZE GRIDDLES,3,1,,2,3,1,2,,2,2,,2,1,1,3,3,1,1,,,,2,2,,2,2,1,,,1,,1,1,,2,1,1,1,,7,2,2,2,,,1,,1,2,2,,1,,,,
155,FULL SIZE PELLET GRILLS,,1,1,1,,1,1,3,,1,,1,2,6,2,2,2,1,1,2,,1,,1,,2,1,,1,,2,,1,2,,,2,,,,,2,3,,1,,,,2,1,,1,3,,,
157,COMBO GRILLS,,1,,1,2,1,1,,1,3,1,,1,,,1,6,1,2,,,1,1,,1,2,1,,,,,,,,1,,,,1,1,,,,,,,,,,1,,,,,,
157,FULL SIZE GAS GRILLS,1,3,4,2,6,3,3,5,2,3,2,4,4,4,3,7,10,8,10,4,2,2,5,4,1,3,4,5,3,1,3,4,2,3,4,4,1,1,,2,,1,3,1,,3,3,3,1,4,4,3,,,,
157,FULL SIZE GRIDDLES,3,2,1,3,5,1,6,1,9,6,3,4,3,2,6,11,7,2,6,2,3,3,1,2,1,5,3,5,,1,4,2,3,,2,,,3,,8,1,3,6,1,2,1,2,3,2,1,3,,1,,,
157,FULL SIZE PELLET GRILLS,1,1,3,1,2,2,5,1,1,3,,3,4,6,3,6,3,1,6,,1,1,3,,1,,2,5,1,2,3,1,2,,1,,,,2,1,1,1,5,3,3,2,,2,1,1,2,4,2,,,
158,COMBO GRILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
158,FULL SIZE GAS GRILLS,,1,3,3,,2,3,1,3,5,2,7,4,7,2,3,3,6,6,3,,4,1,3,1,,2,1,4,2,,1,,,2,,,,,,1,,1,2,2,,1,1,,,1,1,,,,
158,FULL SIZE GRIDDLES,1,1,2,,2,,,2,1,1,2,1,1,,1,1,,,,,,,,,,,,,,,1,1,,1,,,,2,1,2,,,3,,1,,,,,2,,1,,,,
158,FULL SIZE PELLET GRILLS,,,1,1,1,2,1,,1,,,1,,,0,,,1,1,,,,,,,,,,1,,1,1,1,,1,1,,,,1,,2,,,,,,,,,,1,1,,,
159,COMBO GRILLS,2,,2,2,,1,,,,1,1,3,,1,1,,1,,,1,2,1,,,,,2,2,16,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
159,FULL SIZE GAS GRILLS,1,2,,2,,1,1,2,3,,7,2,3,4,4,4,2,3,4,2,5,5,1,1,4,1,9,6,29,11,3,1,,1,,,,,,,,,,,,,,,,,,,,,,
159,FULL SIZE GRIDDLES,2,,,4,,2,3,,2,5,2,4,3,5,4,4,7,2,,2,4,5,3,,1,,5,7,28,7,3,2,1,2,,,1,1,,,,,1,,,,,,,1,,1,,,,
159,FULL SIZE PELLET GRILLS,3,,2,,1,,3,2,1,1,1,2,1,8,1,1,,,,,2,3,,,,,5,0,12,17,4,2,1,1,1,1,1,,,,1,,1,,,,,,,2,1,1,,,,
160,COMBO GRILLS,1,,,,1,,1,,1,3,,1,2,2,,2,1,,,1,1,1,1,,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
160,FULL SIZE GAS GRILLS,2,,3,2,2,6,4,,1,4,3,7,8,10,7,2,5,6,5,3,9,7,9,2,2,2,3,5,2,1,,2,2,1,1,,,1,,,,,2,1,1,,0,2,1,,,2,,,,
160,FULL SIZE GRIDDLES,1,1,2,1,,,,1,2,,,2,4,1,3,3,4,2,2,,1,,1,,3,1,3,2,1,,1,1,1,1,1,,,,2,1,,,3,2,,,1,1,1,2,1,2,,,,
160,FULL SIZE PELLET GRILLS,2,,1,5,1,4,2,3,4,,4,1,4,3,4,7,4,4,,3,3,,4,4,3,4,8,3,1,,,2,1,,,1,,1,4,1,1,,3,,,1,,,1,,3,5,1,,,
161,FULL SIZE GAS GRILLS,1,,,,,2,2,,1,2,1,2,1,3,1,3,,,2,,1,1,2,,1,2,2,1,1,3,,,3,1,1,,2,,,,,,1,1,,,,,,1,,,,,,
161,FULL SIZE GRIDDLES,,,1,1,1,,,3,1,1,1,1,,1,,3,1,1,,2,2,1,,,1,1,2,2,,,,,1,,,1,,1,1,4,1,1,3,,,1,1,,,,1,1,1,,,
161,FULL SIZE PELLET GRILLS,,1,,,,,1,,1,2,,,,1,,,2,,2,1,,,1,,,,1,,,1,1,1,,,,,,1,,2,,,,1,1,0,,,1,1,,,,,,
162,FULL SIZE GAS GRILLS,,1,2,,,,2,,1,1,2,,1,1,,2,4,,1,2,,1,1,2,,2,,2,,3,1,,,,1,,,,,,1,,1,,1,,,,1,,1,,,,,
162,FULL SIZE GRIDDLES,,,,,,,2,,1,,1,0,,1,1,,1,,3,,,,2,,,,,1,1,,,,,1,,,,,1,2,1,,2,1,1,,1,1,,,,,1,,,
162,FULL SIZE PELLET GRILLS,,,,,,,,1,,,2,1,,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,2,,,1,1,,,,,,,,,,,,,
163,COMBO GRILLS,,1,,1,1,1,1,,,0,,1,,1,,1,,2,,,1,,,,,,0,,2,,,,,,,2,,1,,,,,,,,,,,,1,,,,,,
163,FULL SIZE GAS GRILLS,1,3,1,2,,4,3,1,,2,1,3,2,3,2,5,4,4,4,2,2,3,1,,,,1,2,2,3,,,,,,1,2,,,,,,,,,,2,2,1,3,1,1,,,,
163,FULL SIZE GRIDDLES,3,3,2,,1,2,2,1,1,1,5,1,4,2,1,2,3,,2,1,1,2,1,1,1,,,,,,1,5,,,,,,1,1,,1,2,,2,2,,1,,2,1,,2,1,,,
163,FULL SIZE PELLET GRILLS,2,1,,2,2,1,,2,2,2,1,3,,4,3,2,1,,4,5,2,,,3,1,,2,,2,1,,,2,,,,1,1,2,2,,1,1,1,3,1,1,,2,,1,3,1,,,
164,COMBO GRILLS,1,2,1,1,1,1,1,,1,,,1,1,1,,1,1,3,,,1,1,,,,1,,,,3,2,1,,,,,,,,,,,,,,,,,,3,,,,,,
164,FULL SIZE GAS GRILLS,3,1,,4,1,4,4,1,,6,2,1,3,1,4,1,7,1,2,1,2,3,,4,3,4,,3,,1,2,1,1,3,1,2,,,,1,1,2,3,,,,1,,1,5,3,5,,,,
164,FULL SIZE GRIDDLES,2,1,1,3,,1,2,3,2,1,3,1,6,4,4,8,3,,1,,,,2,,3,1,4,1,5,1,,,1,,,,,,4,3,4,2,6,2,,,,1,,,,,,,,
164,FULL SIZE PELLET GRILLS,,1,2,2,,4,3,,,2,,1,3,4,2,3,3,2,3,2,,1,,1,2,3,1,2,1,,,,1,,3,,2,,2,,2,3,1,3,1,1,,,1,1,2,,2,,,
165,FULL SIZE GAS GRILLS,,,,3,,,,,1,2,1,1,1,1,1,1,2,3,6,1,2,2,1,3,6,3,4,4,3,2,,2,0,,1,,,,1,,1,,2,4,1,1,2,,,1,2,,,,,
165,FULL SIZE GRIDDLES,1,2,2,2,3,1,,1,3,1,1,1,1,4,4,3,4,1,1,1,,,1,,1,1,1,,,1,,,1,1,,,1,1,2,1,1,1,4,3,1,1,2,1,,,1,2,2,,,
165,FULL SIZE PELLET GRILLS,1,,2,,1,,1,,,,,1,,0,1,,1,,3,,0,2,2,1,,,,,,1,,,1,2,,1,,1,,,1,,1,1,,,,,1,,3,1,,,,
166,FULL SIZE GAS GRILLS,2,,4,2,3,1,5,2,1,,6,5,4,5,,5,1,4,5,8,,5,3,1,1,,1,3,,1,2,,1,1,1,,,1,,,,2,7,0,,,,,,1,,2,,,,
166,FULL SIZE GRIDDLES,,,1,2,,,1,1,,,1,,1,2,,1,,,1,1,,1,,2,2,1,,,,1,2,1,,,,,,,,1,2,,2,,,,,,1,,,1,,,,
166,FULL SIZE PELLET GRILLS,,,1,,1,,,,1,,2,1,1,2,,,,1,,,,,,,2,,,,,1,,,,1,4,,,,1,9,3,,,2,1,,,,,,,4,,,,
167,COMBO GRILLS,,,1,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,1,,,,,
167,FULL SIZE GAS GRILLS,1,,1,,1,,,,,,,,,1,,2,2,1,1,,,,1,,1,,,,,,,1,2,,,,,,,,1,1,,2,,,1,,,3,1,,,,,
167,FULL SIZE GRIDDLES,3,,,,1,,1,1,,1,,1,1,,1,2,2,,1,,,,,1,1,5,,1,1,1,,,3,,,,,1,1,6,3,2,2,1,3,4,2,1,,2,2,1,1,,,
167,FULL SIZE PELLET GRILLS,,1,1,3,1,,3,,3,1,,1,2,,2,3,2,5,2,1,5,2,,,1,1,1,2,1,3,1,,,1,1,0,,,2,,2,3,2,2,,2,,2,1,1,1,3,,,,
168,COMBO GRILLS,1,1,1,1,,,1,2,,,,,,2,2,,1,1,,1,,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
168,FULL SIZE GAS GRILLS,1,3,5,1,1,4,6,10,2,4,1,5,4,12,3,7,9,14,12,2,2,3,2,3,5,5,2,1,5,1,1,,1,0,1,,1,,,,,,,,,,3,,,1,1,2,1,,,
168,FULL SIZE GRIDDLES,4,,2,6,6,3,1,6,4,3,5,6,4,7,8,8,14,4,8,6,5,6,6,4,3,2,2,2,3,3,,,,1,,,1,2,2,1,,3,4,,,,1,,,,1,4,,,,
168,FULL SIZE PELLET GRILLS,,,4,1,,1,3,,,1,4,3,1,4,2,4,5,4,1,2,1,1,1,1,3,1,2,2,2,1,1,,,,,1,,2,,,3,,1,1,,,1,,,3,1,2,,,,
169,FULL SIZE GAS GRILLS,,,,,,,1,2,1,1,1,3,,4,1,,,0,1,,,,,,,2,4,1,1,,,,,,1,,1,,1,,1,,1,1,1,,2,,0,2,,,,,,
169,FULL SIZE GRIDDLES,1,,1,1,2,,2,,,,2,1,,,2,,1,,,,,,,,,1,1,,15,,2,,,,,,,,,1,2,1,3,,1,1,4,,,,,,,,,
169,FULL SIZE PELLET GRILLS,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,1,,5,,,,1,,,,,,,,1,,1,1,,,,,,,,,,,,
170,COMBO GRILLS,,,1,,,,,,1,,1,,,1,,,1,1,,,,1,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,FULL SIZE GAS GRILLS,,1,3,,1,,2,1,1,,2,,3,1,2,,4,3,1,1,1,1,,1,1,,2,2,,2,1,4,1,1,2,2,2,2,,,2,,2,2,1,0,,,1,1,4,,,,,
170,FULL SIZE GRIDDLES,,1,1,,2,1,,,1,1,2,1,3,,,1,5,1,,1,,1,1,1,,,1,1,2,,,1,,,,3,,1,2,,,,1,,,1,,,,,,,,,,
170,FULL SIZE PELLET GRILLS,1,,,2,2,1,0,1,1,0,2,1,1,3,1,3,7,1,3,1,1,2,1,2,,,,3,2,,,2,1,,,,,,,1,1,,4,,,,1,,1,,1,,3,,,
171,COMBO GRILLS,1,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
171,FULL SIZE GAS GRILLS,,1,1,,1,1,2,2,1,3,1,1,,2,,,3,1,4,1,,1,,1,1,3,5,,1,2,,,1,1,,,,,,,1,,,,,,,,1,,1,,1,,,
171,FULL SIZE GRIDDLES,2,,1,1,,,,1,1,2,1,4,2,3,,3,1,,1,,1,,1,,,3,12,8,2,2,,,,1,,1,,2,3,1,1,2,3,1,1,1,1,2,1,,,,1,,,
171,FULL SIZE PELLET GRILLS,,1,5,1,,1,1,,2,1,1,,4,5,3,2,2,4,1,,1,1,,,,2,,1,,,,1,,,,,,,,,,,1,,1,,2,1,2,,,2,1,,,
172,COMBO GRILLS,,2,1,,2,,1,1,,2,3,,2,,,2,1,1,1,,,,,,,1,,2,1,2,1,1,,,,,,1,,1,,,,,,,,,,1,,,,,,
