Store Number,Address,City,State,Switch Needed?,Printer 2 Shipping Status
2215,2189 75TH ST,DARIEN,IL,No,Pending Shipment
2228,555 HUBBARD AVE STE 12,PITTSFIELD,MA,No,Pending Shipment
2233,7400 GUILFORD DR,FREDERICK,MD,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782629550
2234,5815 ROME TABERG RD,ROME,NY,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784320134
2243,300 NW OAKTREE LN,REDMOND,OR,No,Pending Shipment
2244,3333 US ROUTE 60,HUNTINGTON,WV,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052793783
2252,3722 EASTON NAZARETH HWY,EASTON,PA,No,Pending Shipment
2255,761 AIRPORT RD,HAZLE TOWNSHIP,PA,No,Pending Shipment
2264,1320 ALTAMONT AVE,SCHENECTADY,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871860903
2271,1244 EAST GREEN BAY,SHAWANO,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003538890
2273,5323 E COURT ST N,BURTON,MI,No,Pending Shipment
2274,200 12TH ST SW,FOREST LAKE,MN,No,Pending Shipment
2275,5720 COLLEGE CORNER PIKE,OXFORD,OH,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871709729
2276,333 BOYD BLVD,LA PORTE,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003561420
2285,103 N CAROLINE ST,HERKIMER,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277862948006
2286,161 CENTEREACH MALL,CENTEREACH,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927552340
2287,2501 W STATE ST,NEW CASTLE,PA,No,Pending Shipment
2295,7901 BROOK RD,RICHMOND,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863859408
2307,11328 S JORDAN GTWY,SOUTH JORDAN,UT,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277925757036
2309,8288 CINCINNATI DAYTON RD,WEST CHESTER,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864875867
2313,905 SINGLETARY DR,STREETSBORO,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918099568
2318,3100 OAKLAND AVE,INDIANA,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782506214
2326,1000 STATE ROUTE 36,HORNELL,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277925738707
2334,2034 LINCOLN HWY E,LANCASTER,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782621331
2336,300 COLONY PLACE RD,PLYMOUTH,MA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013379862
2350,485 AIRPORT HWY,WAUSEON,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918017075
2354,2500 S ADAMS RD,ROCHESTER HILLS,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277780212220
2357,20910 FREDERICK RD,GERMANTOWN,MD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277752145435
2358,1180 M 32 W,ALPENA,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782611249
2359,3551 N RIDGE RD E,ASHTABULA,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968106031
2367,950 11TH ST SW,PINE CITY,MN,No,Pending Shipment
2369,33 SHERWOOD DRIVE,TILTON,NH,No,Pending Shipment
2388,950 W VOTAW ST,PORTLAND,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052781070
2400,85 RIVER TRACE LANE,CHILLICOTHE,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965758713
2417,1850 ANDERSON RD,PETOSKEY,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277752193600
2421,2212 GLACIER DR,SAINT CROIX FALLS,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052786120
2422,2295 GABLE RD,SAINT HELENS,OR,No,Pending Shipment
2426,5200 WEST POINTE PLAZA,COLUMBUS,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013370410
2428,1701 S KANSAS RD,NEWTON,KS,Yes,Pending Shipment
2434,1920 SO. STEPEHENSON AVE,IRON MOUNTAIN,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779509581
2435,2399 NORTH POINT BLVD,DUNDALK,MD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784310924
2436,"6400A RIDGE ROAD, SUITE 1",SYKESVILLE,MD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871760554
2437,700 JAMES MADISON HWY,WARRENTON,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918217839
2438,217 GARRISONVILLE RD,STAFFORD,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918299839
2439,8700 N HIGHWAY 146,BAYTOWN,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052762957
2441,1505 MAIN ST,HAMILTON,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003632953
2444,2024 GENESEE ST,ONEIDA,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968095019
2447,2322 FERGUSON RD,CINCINNATI,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052771230
2460,22899 SUSSEX HWY,SEAFORD,DE,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277751617178
2469,540 7TH AVE,LONGVIEW,WA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864798795
2474,R.R. #4 BOX 82,KEYSER,WV,No,Pending Shipment
2476,1700 SE MEADOWBROOK BLVD,COLLEGE PLACE,WA,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927420526
2491,4101 N VERMILION ST STE A,DANVILLE,IL,No,Pending Shipment
2502,100 COLONY LN,LATROBE,PA,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277752306341
2506,2600 STATE ROUTE 59,RAVENNA,OH,No,Pending Shipment
2509,810 S IRISH RD,CHILTON,WI,No,Pending Shipment
2514,2132 OLD SNOW HILL RD,POCOMOKE CITY,MD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864761240
2519,698 SHREWSBURY COMMONS AVE,SHREWSBURY,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782546891
2520,125 WASHINGTON SQUARE PLZ,FREDERICKSBURG,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968089035
2528,167 HOGAN BLVD,MILL HALL,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871729135
2532,2785 MILWAUKEE RD,BELOIT,WI,No,Pending Shipment
2539,15727 E BROADWAY AVE,SPOKANE VALLEY,WA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927504614
2540,63 PERKINS RD,CLARION,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864243523
2544,6087 US HIGHWAY 6,PORTAGE,IN,No,Pending Shipment
2547,41 ANAWANA LAKE RD,MONTICELLO,NY,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965919836
2549,9212 N COLTON ST,SPOKANE,WA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968080840
2550,221E NE 104TH AVE,VANCOUVER,WA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965767718
2551,209 E RIDGEVILLE BLVD,MOUNT AIRY,MD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277925784614
2555,117 WILTON BLVD,NEW CASTLE,DE,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779521126
2565,197 MADISON HEIGHTS SQ,MADISON HEIGHTS,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965910184
2574,60 NOBLE BLVD,CARLISLE,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918130970
2576,100 NITRO MARKET PL,CROSS LANES,WV,No,Pending Shipment
2588,100 WALMART DR,NORTH VERSAILLES,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277925793711
2595,8924 QUILCEDA BLVD,MARYSVILLE,WA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013361334
2596,2301 FREEWAY DR,MOUNT VERNON,WA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003620261
2597,10 KIMBERLY LN,CRANBERRY,PA,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968167180
2603,300 WALMART DR,GIBSONIA,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965804874
2605,2145 EASTERN AVE,GALLIPOLIS,OH,No,Pending Shipment
2608,3205 STOWER ST,MILES CITY,MT,No,Pending Shipment
2610,77 NORMAN MORGAN BLVD,LOGAN,WV,No,Pending Shipment
2611,2100 SUMMIT RIDGE PLZ,MOUNT PLEASANT,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013353174
2614,5370 ALLENTOWN PIKE,TEMPLE,PA,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003598082
2618,3301 PONTIAC TRAIL ROAD,COMMERCE,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277887920658
2619,910 JOE MANN BLVD,MIDLAND,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864703155
2631,29555 PLYMOUTH RD,LIVONIA,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918228880
2637,288 LARKIN DR,MONROE,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013341663
2641,1091 MILLCREEK RD,ALLENTOWN,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052478237
2642,7835 150TH ST W,APPLE VALLEY,MN,No,Pending Shipment
2643,10240 HUDSON RD,WOODBURY,MN,Yes,Pending Shipment
2644,5825 BROCKWAY RD,SAGINAW,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918028863
2663,300 WALMART DR,EBENSBURG,PA,No,Pending Shipment
2667,7401 SAMUELL BLVD,DALLAS,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053517072
2668,3049 S OAKES RD,STURTEVANT,WI,No,Pending Shipment
2674,45 WILLIAMSON RD,GREENVILLE,PA,No,Pending Shipment
2679,175 COUNTRY ROAD #6 WEST,ELKHART,IN,No,Pending Shipment
2688,6801 S BROADWAY AVE,TYLER,TX,No,Pending Shipment
2691,2910 GRANT LINE RD,NEW ALBANY,IN,No,Pending Shipment
2705,1500 ARMORY DR,FRANKLIN,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013607081
2725,8659 COLUMBUS PIKE,LEWIS CENTER,OH,No,Pending Shipment
2726,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,No,Pending Shipment
2728,4625 E MARYLAND ST,DECATUR,IL,Yes,Pending Shipment
2756,2421 MONOCACY BLVD,FREDERICK,MD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918327074
2758,683 TENNEY MOUNTAIN HWY,PLYMOUTH,NH,No,Pending Shipment
2761,13320 G.C. PEERY HWY,POUNDING MILL,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003586733
2762,7373 PEPPERS FERRY BLVD,RADFORD,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052496111
2763,900 N. SALINAS BOULEVARD,DONNA,TX,No,Pending Shipment
2771,1088 W BROADWAY ST,MONTICELLO,IN,No,Pending Shipment
2787,7325 N KEYSTONE AVE,INDIANAPOLIS,IN,No,Pending Shipment
2799,8745 BRANCH AVE,CLINTON,MD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968160922
2803,2200 W DANFORTH RD,EDMOND,OK,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053524383
2804,1801 BELLE ISLE BLVD,OKLAHOMA CITY,OK,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277925802570
2808,12200 CHATTANOOGA PLZ,MIDLOTHIAN,VA,No,Pending Shipment
2809,100 BUCKHANNON CROSSROADS,BUCKHANNON,WV,No,Pending Shipment
2812,25 25TH ST SE,ROCHESTER,MN,No,Pending Shipment
2813,2001 N CENTRAL AVE,MARSHFIELD,WI,No,Pending Shipment
2816,5630 W TOUHY AVE,NILES,IL,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277750884645
2819,2100 N MAIN ST,BLUFFTON,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779726395
2821,2410 SHEILA LN,RICHMOND,VA,No,Pending Shipment
2823,2900 PIKE ST,PARKERSBURG,WV,No,Pending Shipment
2830,1570 CHESTER PIKE,EDDYSTONE,PA,No,Pending Shipment
2844,1549 ROUTE 9,CLIFTON PARK,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003577831
2852,10 WALMART DR,MOUNDSVILLE,WV,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782453651
2853,40 DRURY DR,LA PLATA,MD,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965902543
2854,180 RIVER RD,LISBON,CT,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918050133
2862,4051 E FAIRVIEW AVE,MERIDIAN,ID,No,Pending Shipment
2864,6703 W LOOP 1604 N,SAN ANTONIO,TX,No,Pending Shipment
2867,3225 TOWNE CENTRE BLVD,LANSING,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968151468
2869,409 N MARKETPLACE BLVD,LANSING,MI,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965776539
2872,10562 BELLEVILLE RD,BELLEVILLE,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013593828
2882,9451 DUNKIRK LN N,MAPLE GROVE,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779738929
2888,100 NO LONDONDERRY SQUARE,PALMYRA,PA,No,Pending Shipment
2889,2715 S 25TH ST,CLINTON,IA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784275344
2891,2450 NW LOOP 338,ODESSA,TX,Yes,Pending Shipment
2910,2875 E STATE ST,SALEM,OH,No,Pending Shipment
2911,3018 EAST AVE,CENTRAL SQUARE,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052411498
2912,7555 TELEGRAPH RD,TAYLOR,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013558366
2914,1 MASSILLON MARKETPLACE DR SW,MASSILLON,OH,Yes,Pending Shipment
2915,3990 NESCONSET HWY,EAST SETAUKET,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053532495
2917,1850 VETERANS HWY,ISLANDIA,NY,No,Pending Shipment
2921,534 N HARRISVILLE RD,HARRISVILLE,UT,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918340910
2923,1649 MAIN ST,BILLINGS,MT,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013617792
2927,23500 NE SANDY BLVD,WOOD VILLAGE,OR,No,Pending Shipment
2933,201 GREASY RIDGE RD,PRINCETON,WV,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782566210
2937,12080 HIGHWAY 169 W,HIBBING,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784180888
2945,100 COMMONS DR,PARKESBURG,PA,No,Pending Shipment
2947,9000 NE HIGHWAY 99,VANCOUVER,WA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052436790
2958,3701 E CALUMET ST,APPLETON,WI,No,Pending Shipment
2965,3164 BERLIN TPKE,NEWINGTON,CT,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968144525
2966,222 SMOKERISE DR,WADSWORTH,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779484378
2990,1101 E SPRUCE ST,MITCHELL,SD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968204281
2991,201 WALTON WAY,CEDAR PARK,TX,Yes,Pending Shipment
3206,2400 HARDING HWY,LIMA,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784116798
3210,2760 NO. DIRKSEN PKWY,SPRINGFIELD,IL,No,Pending Shipment
3214,6259 COLLEGE DR,SUFFOLK,VA,No,Pending Shipment
3216,1149 NIMMO PKWY,VIRGINIA BEACH,VA,No,Pending Shipment
3218,20307 MOUNTAIN HWY E,SPANAWAY,WA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053044896
3219,731 E ROCHAMBEAU DR,WILLIAMSBURG,VA,No,Pending Shipment
3221,515 E 4TH ST,WATKINS GLEN,NY,No,Pending Shipment
3223,#100 CHIPPEWA TOWN CENTRE,BEAVER FALLS,PA,No,Pending Shipment
3225,2501 LAKEVIEW PKWY,ROWLETT,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864673891
3226,25108 MARKET PLACE DR,KATY,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927359133
3228,6700 HOLLYWOOD BLVD,DELMONT,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779748919
3232,7671 S 3800 W,WEST JORDAN,UT,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968134774
3233,2025 PAUL BUNYAN DR NW,BEMIDJI,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277751475587
3237,5521 E ARROWHEAD PKWY,SIOUX FALLS,SD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013423255
3239,2659 OLYMPIC ST,SPRINGFIELD,OR,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053053000
3243,4524 CHALLENGER AVE,ROANOKE,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779495949
3247,1819 E GENEVA ST,DELAVAN,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782557395
3250,7235 MARKET PLACE DR,REMINDERVILLE,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277752290739
3251,1397 LEESBURG AVE,WASHINGTON COURT HOUSE,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784293652
3253,108 WASHINGTON TOWNE BLVD N,EDINBORO,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784197092
3254,5260 W 7TH ST,RENO,NV,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871673920
3258,4550 W 11TH AVE,EUGENE,OR,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782474502
3260,1399 NAT WASHINGTON WAY,EPHRATA,WA,Yes,Pending Shipment
3262,61205 SOUTHGATE RD,CAMBRIDGE,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864655973
3265,2601 GEO. WASHINGTON MEM. HWY,YORKTOWN,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784207590
3270,345 COMMONWEALTH DR,WYTHEVILLE,VA,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277751385368
3278,8700 ANDERMATT DR,LINCOLN,NE,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013567614
3285,621 UPTOWN BLVD,CEDAR HILL,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927479080
3290,101 PAKAULA ST,KAHULUI,HI,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968127246
3293,223 MEADOWLANDS DR,CHARDON,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277925706907
3296,2700 S KIRKWOOD RD,HOUSTON,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968074661
3297,12353 FM 1960 RD W,HOUSTON,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965646463
3300,1257 BELLEFONTAINE ST,WAPAKONETA,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277925767129
3302,9460 W SAM HOUSTON PKWY S,HOUSTON,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013436050
3322,411 PEWAUKEE RD,PEWAUKEE,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784248075
3324,4433 VANGUARD DR,SHEBOYGAN,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277755813806
3328,10772 W CARSON CITY RD,GREENVILLE,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052193375
3329,7494 US HIGHWAY 11,POTSDAM,NY,No,Pending Shipment
3334,3222 STATE ROUTE 11,MALONE,NY,No,Pending Shipment
3337,3159 ROUTE 9 SOUTH,RIO GRANDE,NJ,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782534707
3342,1815 E OHIO PIKE,AMELIA,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277975349535
3364,1644 ROBERT ST S,SAINT PAUL,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779538555
3366,221 W PARRISH LN,CENTERVILLE,UT,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968197140
3390,10001 WOODLANDS PKWY,WOODLANDS,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013581364
3406,15220 MONTFORT RD,DALLAS,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052364960
3409,20 SOOJIAN DR,LEICESTER,MA,No,Pending Shipment
3412,200 KOCHER LN,ELIZABETHVILLE,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277755953147
3425,9598 ROWLETT RD,HOUSTON,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053293558
3431,2801 E INTERSTATE 20,HUDSON OAKS,TX,No,Pending Shipment
3434,1275 LAKE AVE,WOODSTOCK,IL,No,Pending Shipment
3435,1133 NO. EMERSON ROAD,GREENWOOD,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784265284
3436,700 W IRELAND RD,SOUTH BEND,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277755841380
3459,2225 W MARKET ST,BLOOMINGTON,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277780298589
3460,8915 N ALLEN RD,PEORIA,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784844547
3486,929 E STATE ST,ATHENS,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965654347
3488,1901 MILWAUKEE AVE,BURLINGTON,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782524349
3490,7081 ARUNDEL MILLS CIR,HANOVER,MD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013590406
3497,428 WALTON DR,PLYMOUTH,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871694685
3500,5655 E SAM HOUSTON PKWY N,HOUSTON,TX,No,Pending Shipment
3501,100 CROSSINGS BLVD,ELVERSON,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277780313674
3502,3201 PRINCETON RD,HAMILTON,OH,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013457128
3505,130 COMMERCE ST,WISCONSIN DELLS,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864583021
3510,1710 BROADWAY ST,PEARLAND,TX,No,Pending Shipment
3513,8101 OLD CARRIAGE CT,SHAKOPEE,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863981435
3514,50 FOSTER BROOK BLVD,BRADFORD,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863954497
3515,540 HARRY SAUNER RD,HILLSBORO,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278008864864
3518,2320 BOB BULLOCK LOOP,LAREDO,TX,Yes,Pending Shipment
3529,10735 PENDLETON PIKE,INDIANAPOLIS,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277780335532
3534,295 TYLER RD S,RED WING,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864563020
3535,35 FRESH RIVER RD,EPPING,NH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779759537
3568,3180 S 5600 W,WEST VALLEY CITY,UT,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013499514
3571,2900 TOWNE BLVD,MIDDLETOWN,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052753183
3580,1315 N 21ST ST,NEWARK,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053140920
3602,1100 LEJUNE DR,SPRINGFIELD,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277755978471
3624,9320 CEDAR ST,MONTICELLO,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918142425
3630,5491 HIGHWAY 151,MARION,IA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863932091
3632,655 W SANILAC RD,SANDUSKY,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053150909
3633,12751 WASHINGTON TOWNSHIP BLVD,WAYNESBORO,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864537765
3634,35 PLAZA DR,TAMAQUA,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918242211
3720,3601 WASHINGTON BLVD,ARBUTUS,MD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052728892
3722,250 TALLMADGE RD,KENT,OH,No,Pending Shipment
3747,1501 E 29TH ST,MUNCIE,IN,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863886456
3760,1720 WESTRIDGE RD,NEW ULM,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918063762
3761,1755 HIGHWAY 59 S,THIEF RIVER FALLS,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277975338446
3762,6365 STAGECOACH DR,WEST DES MOINES,IA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864518288
3764,105 CENTENNIAL BLVD,LINDALE,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864498797
3765,1300 E ASH ST,PIQUA,OH,Yes,Pending Shipment
3768,125 CLARION RD,ALTAVISTA,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784330124
3772,468 TRADE CENTER LN,JONESVILLE,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277862746707
3783,3465 YORK COMMONS BLVD,DAYTON,OH,No,Pending Shipment
3784,1275 E 2ND ST,FRANKLIN,OH,No,Pending Shipment
3790,16241 S FARRELL RD,LOCKPORT,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277780320963
3791,101 S TOLBERT DR,THREE RIVERS,MI,No,Pending Shipment
3806,1250 GOEMANN RD,FAIRMONT,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968190237
3809,1855 E WYANDOT AVE,UPPER SANDUSKY,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782419759
3810,620 GRAVEL PIKE,EAST GREENVILLE,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918353760
3828,4006 ESTES PKWY,LONGVIEW,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927390081
3831,1098 FREDRICK BLVD,PORTSMOUTH,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277864465247
3840,1161 TRENTON AVE,FINDLAY,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782588854
3853,2791 DAKOTA AVE S,HURON,SD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052720181
3857,2151 ROYAL AVE,MONONA,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277925686474
3860,200 GOLDIE RD,YOUNGSTOWN,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277756016730
3893,4000 ROUTE #173,ZION,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863432238
4068,1206 N. CANYON CREEK PARKWAY,SPANISH FORK,UT,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278008843752
