Store #,City,Category,Declaration Category,Declared Items,UPC ,Cat,Sub-Cat,Change Request Action ,Store-UPC,Zahra Comments
140,LUFKIN,Cheese,Monterey Jack - 2 lb,GV Mont Jack,78742097473,2,12,No Change,140-78742097473,
140,LUFKIN,Cheese,Mozzarella 1 lb,GV Mozzarella,78742430195,2,12,No Change,140-78742430195,
140,LUFKIN,Cheese,Mozzarella 2 lb,GV Mozzarella,78742119076,2,12,No Change,140-78742119076,
140,LUFKIN,Cheese,Sharp Cheddar 1 lb,GV Sharp Cheddar 1lb,78742430225,2,12,No Change,140-78742430225,
140,LUFKIN,Cheese,Sharp Cheddar 2 lb,GV Sharp Cheddar 2lb,78742148786,2,12,No Change,140-78742148786,
140,LUFKIN,Cheese,String ,Frigo String Cheese,41716232163,2,12,No Change,140-41716232163,
140,LUFKIN,Cheese,X Sharp Cheddar 1 lb,GV XSharp Cheddar 1lb,78742062570,2,12,No Change,140-78742062570,
140,LUFKIN,Frozen Juice,Apple 12 oz Frozen,GV Apple 12 oz Frozen,78742352282,4,5,No Change,140-78742352282,
140,LUFKIN,Frozen Juice,Grape P 12 oz Frozen,GV Grape P 12 oz Frozen,78742229799,4,5,No Change,140-78742229799,
140,LUFKIN,Frozen Juice,Orange 12 oz - Other Pulp Free Frozen ,GV Orange Pulp Free 12 oz Frozen,78742122373,4,5,No Change,140-78742122373,
140,LUFKIN,Frozen Juice,Orange 12 oz Frozen,GV Orange 12 oz Frozen,78742371672,4,5,No Change,140-78742371672,
140,LUFKIN,Juice,Apple 48 oz.,Tex Sun Apple 48 oz,16300220017,4,5,No Change,140-16300220017,
140,LUFKIN,Juice,Apple 64 oz.,GV Apple 64 oz,78742088198,4,4,No Change,140-78742088198,
140,LUFKIN,Juice,Cranberry 64 oz,GV Cranberry 64 oz,78742066929,4,4,No Change,140-78742066929,
140,LUFKIN,Juice,Cranberry Grape 64 oz,GV Crangrape 64 oz,78742069906,4,4,No Change,140-78742069906,
140,LUFKIN,Juice,Grape Purple 64 oz.,GV Grape Purple 64 oz,78742226903,4,4,No Change,140-78742226903,
140,LUFKIN,Juice,Grape White 64 oz.,GV Grape White 64 oz,78742226897,4,4,No Change,140-78742226897,
140,LUFKIN,Juice,Orange 48 oz - Non Refrigerated,Tex Sun Orange 48 oz NR,16300220055,4,5,No Change,140-16300220055,
140,LUFKIN,Juice,Orange 64 oz - Non Refrigerated,GV Orange 64 oz NR- 7874229660,78742296609,4,4,No Change,140-78742296609,
140,LUFKIN,Juice,Orange Pineapple 48 oz,Tex Sun Orange Pineapple 48 oz,16300220062,4,5,No Change,140-16300220062,
140,LUFKIN,Juice,Pineapple 64 oz,GV Pineapple 64 oz NR,78742014678,4,4,No Change,140-78742014678,
140,LUFKIN,Juice,Tomato 64 oz,GV Tomato 64 oz,78742062099,4,4,No Change,140-78742062099,
140,LUFKIN,Juice,Vegetable 64 oz,GV Vegetable 64 oz,78742062037,4,4,No Change,140-78742062037,
140,LUFKIN,Milk,1% Gallon Milk,GV 1% Milk Gallon,78742351889,1,2,No Change,140-78742351889,
140,LUFKIN,Milk,1% Half Gallon Milk,GV 1% Milk Half Gallon,78742352022,1,6,No Change,140-78742352022,
140,LUFKIN,Milk,Skim Gallon Milk,GV Skim Milk Gallon,78742351896,1,2,No Change,140-78742351896,
140,LUFKIN,Milk,Skim Half Gallon Milk,GV Skim Milk Half Gallon,78742352039,1,6,No Change,140-78742352039,
140,LUFKIN,Milk,Whole Gallon Milk,GV Whole Milk Gallon,78742351865,51,1,No Change,140-78742351865,
140,LUFKIN,Milk,Whole Half Gallon Milk,GV Whole Milk Half Gallon,78742352008,51,2,No Change,140-78742352008,
140,LUFKIN,Refrigerated Juice,Orange 64 oz Country Style Refrigerated,GV Orange Country Style 64 oz R,78742228822,4,4,No Change,140-78742228822,
140,LUFKIN,Refrigerated Juice,Orange 64 oz Refrigerated,GV Orange Juice 64 oz R,78742352169,4,4,No Change,140-78742352169,
140,LUFKIN,Refrigerated Juice,Orange 64 oz w/ Calcium Refrigerated,GV Orange w calc Juice 64 oz R,78742229126,4,4,No Change,140-78742229126,
146,GILMER,Milk,1% Buttermilk,PRAIRIE FARMS HILAND LOWFAT BUTTERMILK HG-064OZ,72060025118,1,3,Add,146-72060025118,
146,GILMER,Milk,1% Quart Milk,PRAIRIE FARMS HILAND 1% QT-032OZ,72060000559,52,1,Add,146-72060000559,
146,GILMER,Milk,Skim Quart Milk,PRAIRIE FARMS HILAND SKIM QT-032OZ,72060000863,52,1,Add,146-72060000863,
146,GILMER,Milk,Whole Quart Milk,PRAIRIE FARMS HILAND WHOLE QT-032OZ,72060000122,50,1,Add,146-72060000122,
146,GILMER,Bread,Whole Wheat Bread,Sara Lee 100% Whole Wheat Bread,72945611030,16,1,No Change,146-72945611030,
146,GILMER,Cheese,American,GV Deluxe Sliced American ,78742353272,2,12,No Change,146-78742353272,
146,GILMER,Cheese,Colby 1 lb,GV Colby 1lb,78742430201,2,12,No Change,146-78742430201,
146,GILMER,Cheese,Colby Jack 1 lb,GV Colby Jack,78742079646,2,12,No Change,146-78742079646,
146,GILMER,Cheese,Med Cheddar 1 lb,GV Med Cheddar 1lb,78742217307,2,12,No Change,146-78742217307,
146,GILMER,Cheese,Mild Cheddar 1 lb,GV Mild Cheddar 1lb,78742374581,2,12,No Change,146-78742374581,
146,GILMER,Cheese,Mild Cheddar 2 lb,GV Mild Cheddar 2lb,78742067735,2,12,No Change,146-78742067735,
146,GILMER,Cheese,Monterey Jack - 1 lb,GV Mont Jack,78742430218,2,12,No Change,146-78742430218,
146,GILMER,Cheese,Monterey Jack - 2 lb,GV Mont Jack,78742097473,2,12,No Change,146-78742097473,
146,GILMER,Cheese,Mozzarella 1 lb,GV Mozzarella,78742430195,2,12,No Change,146-78742430195,
146,GILMER,Cheese,Mozzarella 2 lb,GV Mozzarella,78742119076,2,12,No Change,146-78742119076,
146,GILMER,Cheese,Sharp Cheddar 1 lb,GV Sharp Cheddar 1lb,78742430225,2,12,No Change,146-78742430225,
146,GILMER,Cheese,Sharp Cheddar 2 lb,GV Sharp Cheddar 2lb,78742148786,2,12,No Change,146-78742148786,
146,GILMER,Cheese,String ,Frigo String Cheese,41716232163,2,12,No Change,146-41716232163,
146,GILMER,Cheese,X Sharp Cheddar 1 lb,GV XSharp Cheddar 1lb,78742062570,2,12,No Change,146-78742062570,
146,GILMER,Frozen Juice,Apple 12 oz Frozen,GV Apple 12 oz Frozen,78742352282,4,5,No Change,146-78742352282,
146,GILMER,Frozen Juice,Grape P 12 oz Frozen,GV Grape P 12 oz Frozen,78742229799,4,5,No Change,146-78742229799,
146,GILMER,Frozen Juice,Orange 12 oz - Other Pulp Free Frozen ,GV Orange Pulp Free 12 oz Frozen,78742122373,4,5,No Change,146-78742122373,
146,GILMER,Frozen Juice,Orange 12 oz Frozen,GV Orange 12 oz Frozen,78742371672,4,5,No Change,146-78742371672,
146,GILMER,Juice,Apple 48 oz.,Tex Sun Apple 48 oz,16300220017,4,5,No Change,146-16300220017,
146,GILMER,Juice,Apple 64 oz.,GV Apple 64 oz,78742088198,4,4,No Change,146-78742088198,
146,GILMER,Juice,Cranberry 64 oz,GV Cranberry 64 oz,78742066929,4,4,No Change,146-78742066929,
146,GILMER,Juice,Cranberry Grape 64 oz,GV Crangrape 64 oz,78742069906,4,4,No Change,146-78742069906,
146,GILMER,Juice,Grape Purple 64 oz.,GV Grape Purple 64 oz,78742226903,4,4,No Change,146-78742226903,
146,GILMER,Juice,Grape White 64 oz.,GV Grape White 64 oz,78742226897,4,4,No Change,146-78742226897,
146,GILMER,Juice,Orange 48 oz - Non Refrigerated,Tex Sun Orange 48 oz NR,16300220055,4,5,No Change,146-16300220055,
146,GILMER,Juice,Orange 64 oz - Non Refrigerated,GV Orange 64 oz NR- 7874229660,78742296609,4,4,No Change,146-78742296609,
146,GILMER,Juice,Orange Pineapple 48 oz,Tex Sun Orange Pineapple 48 oz,16300220062,4,5,No Change,146-16300220062,
146,GILMER,Juice,Pineapple 64 oz,GV Pineapple 64 oz NR,78742014678,4,4,No Change,146-78742014678,
146,GILMER,Juice,Tomato 64 oz,GV Tomato 64 oz,78742062099,4,4,No Change,146-78742062099,
146,GILMER,Juice,Vegetable 64 oz,GV Vegetable 64 oz,78742062037,4,4,No Change,146-78742062037,
146,GILMER,Milk,1% Gallon Milk,GV 1% Milk Gallon,78742351889,1,2,No Change,146-78742351889,
146,GILMER,Milk,1% Half Gallon Milk,GV 1% Milk Half Gallon,78742352022,1,6,No Change,146-78742352022,
146,GILMER,Milk,Skim Gallon Milk,GV Skim Milk Gallon,78742351896,1,2,No Change,146-78742351896,
146,GILMER,Milk,Skim Half Gallon Milk,GV Skim Milk Half Gallon,78742352039,1,6,No Change,146-78742352039,
146,GILMER,Milk,Whole Gallon Milk,GV Whole Milk Gallon,78742351865,51,1,No Change,146-78742351865,
146,GILMER,Milk,Whole Half Gallon Milk,GV Whole Milk Half Gallon,78742352008,51,2,No Change,146-78742352008,
146,GILMER,Refrigerated Juice,Orange 64 oz Country Style Refrigerated,GV Orange Country Style 64 oz R,78742228822,4,4,No Change,146-78742228822,
146,GILMER,Refrigerated Juice,Orange 64 oz Refrigerated,GV Orange Juice 64 oz R,78742352169,4,4,No Change,146-78742352169,
146,GILMER,Refrigerated Juice,Orange 64 oz w/ Calcium Refrigerated,GV Orange w calc Juice 64 oz R,78742229126,4,4,No Change,146-78742229126,
147,DENISON,Milk,1% Buttermilk,PRAIRIE FARMS HILAND LOWFAT BUTTERMILK HG-064OZ,72060025118,1,3,Add,147-72060025118,
147,DENISON,Milk,1% Quart Milk,PRAIRIE FARMS HILAND 1% QT-032OZ,72060000559,52,1,Add,147-72060000559,
147,DENISON,Milk,Skim Quart Milk,PRAIRIE FARMS HILAND SKIM QT-032OZ,72060000863,52,1,Add,147-72060000863,
147,DENISON,Milk,Whole Quart Milk,PRAIRIE FARMS HILAND WHOLE QT-032OZ,72060000122,50,1,Add,147-72060000122,
147,DENISON,Bread,Whole Wheat Bread,Sara Lee 100% Whole Wheat Bread,72945611030,16,1,No Change,147-72945611030,
147,DENISON,Cheese,American,GV Deluxe Sliced American ,78742353272,2,12,No Change,147-78742353272,
147,DENISON,Cheese,Colby 1 lb,GV Colby 1lb,78742430201,2,12,No Change,147-78742430201,
147,DENISON,Cheese,Colby 2 lb,GV Colby 2lb,78742114637,2,12,No Change,147-78742114637,
147,DENISON,Cheese,Colby Jack 1 lb,GV Colby Jack,78742079646,2,12,No Change,147-78742079646,
147,DENISON,Cheese,Med Cheddar 1 lb,GV Med Cheddar 1lb,78742217307,2,12,No Change,147-78742217307,
147,DENISON,Cheese,Mild Cheddar 1 lb,GV Mild Cheddar 1lb,78742374581,2,12,No Change,147-78742374581,
147,DENISON,Cheese,Mild Cheddar 2 lb,GV Mild Cheddar 2lb,78742067735,2,12,No Change,147-78742067735,
147,DENISON,Cheese,Monterey Jack - 1 lb,GV Mont Jack,78742430218,2,12,No Change,147-78742430218,
147,DENISON,Cheese,Mozzarella 1 lb,GV Mozzarella,78742430195,2,12,No Change,147-78742430195,
147,DENISON,Cheese,Mozzarella 2 lb,GV Mozzarella,78742119076,2,12,No Change,147-78742119076,
147,DENISON,Cheese,Sharp Cheddar 1 lb,GV Sharp Cheddar 1lb,78742430225,2,12,No Change,147-78742430225,
147,DENISON,Cheese,Sharp Cheddar 2 lb,GV Sharp Cheddar 2lb,78742148786,2,12,No Change,147-78742148786,
147,DENISON,Cheese,String ,Frigo String Cheese,41716232163,2,12,No Change,147-41716232163,
147,DENISON,Cheese,X Sharp Cheddar 1 lb,GV XSharp Cheddar 1lb,78742062570,2,12,No Change,147-78742062570,
147,DENISON,Frozen Juice,Apple 12 oz Frozen,GV Apple 12 oz Frozen,78742352282,4,5,No Change,147-78742352282,
147,DENISON,Frozen Juice,Grape P 12 oz Frozen,GV Grape P 12 oz Frozen,78742229799,4,5,No Change,147-78742229799,
147,DENISON,Frozen Juice,Orange 12 oz - Other Pulp Free Frozen ,GV Orange Pulp Free 12 oz Frozen,78742122373,4,5,No Change,147-78742122373,
147,DENISON,Frozen Juice,Orange 12 oz Frozen,GV Orange 12 oz Frozen,78742371672,4,5,No Change,147-78742371672,
147,DENISON,Juice,Apple 48 oz.,Tex Sun Apple 48 oz,16300220017,4,5,No Change,147-16300220017,
147,DENISON,Juice,Apple 64 oz.,GV Apple 64 oz,78742088198,4,4,No Change,147-78742088198,
147,DENISON,Juice,Cranberry 64 oz,GV Cranberry 64 oz,78742066929,4,4,No Change,147-78742066929,
147,DENISON,Juice,Cranberry Grape 64 oz,GV Crangrape 64 oz,78742069906,4,4,No Change,147-78742069906,
147,DENISON,Juice,Grape Purple 64 oz.,GV Grape Purple 64 oz,78742226903,4,4,No Change,147-78742226903,
147,DENISON,Juice,Grape White 64 oz.,GV Grape White 64 oz,78742226897,4,4,No Change,147-78742226897,
147,DENISON,Juice,Orange 48 oz - Non Refrigerated,Tex Sun Orange 48 oz NR,16300220055,4,5,No Change,147-16300220055,
147,DENISON,Juice,Orange 64 oz - Non Refrigerated,GV Orange 64 oz NR- 7874229660,78742296609,4,4,No Change,147-78742296609,
147,DENISON,Juice,Orange Pineapple 48 oz,Tex Sun Orange Pineapple 48 oz,16300220062,4,5,No Change,147-16300220062,
147,DENISON,Juice,Pineapple 64 oz,GV Pineapple 64 oz NR,78742014678,4,4,No Change,147-78742014678,
