Store,System Modular Capacity,Total Inventory,Total Replenishable Inventory,Dot.com,Mod Deleted,L52 Avg Units,4 Tire Instock,Total Valid,Total Traited,
663,1320,1190,1135,52,3, 159 ,92.0%,170,170,
664,1320,1087,1021,47,19, 129 ,92.0%,170,170,
665,550,611,549,59,3, 88 ,87.8%,95,95,
667,915,973,879,91,3, 126 ,89.0%,142,142,
668,915,830,802,23,5, 125 ,82.5%,135,135,
669,780,810,734,76,0, 83 ,91.1%,122,122,
670,1320,1031,935,90,6, 126 ,81.0%,172,172,
671,662,657,610,46,1, 77 ,90.3%,99,99,
672,780,803,762,26,15, 90 ,86.5%,123,123,
673,1120,1084,1054,14,16, 127 ,94.8%,152,152,
674,780,698,689,9,0, 87 ,84.8%,122,122,
675,662,683,631,49,3, 83 ,86.4%,102,102,
676,1320,1044,956,61,27, 99 ,90.2%,160,160,
677,662,707,653,51,3, 96 ,85.5%,107,107,
678,780,816,728,85,3, 120 ,79.7%,120,120,
680,1320,1003,964,27,12, 156 ,78.2%,166,166,
681,616,644,611,31,2, 70 ,95.1%,102,102,
682,915,872,851,13,8, 103 ,88.1%,140,140,
683,1120,1121,1108,13,0, 156 ,91.3%,158,158,
684,1320,1115,1049,55,11, 130 ,89.1%,171,171,
685,1320,1096,1004,79,13, 181 ,83.5%,172,172,
686,855,841,714,110,17, 72 ,78.7%,123,123,
687,1000,976,931,34,11, 116 ,92.1%,147,147,
688,1320,1049,1035,10,4, 127 ,88.2%,157,157,
689,780,1093,1017,71,5, 205 ,95.3%,123,123,
690,1320,899,869,26,4, 102 ,86.6%,163,163,
691,550,589,555,33,1, 49 ,93.5%,92,92,
692,1000,929,822,72,35, 154 ,84.3%,149,149,
694,1320,1141,1127,13,1, 134 ,94.7%,166,166,
695,498,635,539,76,20, 68 ,94.6%,73,73,
697,550,422,390,23,9, 73 ,62.8%,83,83,
698,1120,903,873,20,10, 102 ,90.6%,146,146,
699,1320,810,756,39,15, 137 ,71.3%,163,163,
700,550,606,552,51,3, 90 ,82.6%,86,86,
701,1120,982,906,70,6, 155 ,88.1%,159,159,
702,616,598,545,25,28, 75 ,87.9%,96,96,
703,855,717,632,60,25, 54 ,83.5%,120,120,
706,1320,1077,1040,21,16, 123 ,89.5%,168,168,
707,662,649,518,125,6, 68 ,77.1%,95,95,
708,780,816,732,41,43, 93 ,84.2%,129,129,
710,662,860,683,153,24, 78 ,94.0%,98,98,
711,1120,1206,1166,38,2, 203 ,92.0%,159,159,
712,616,736,665,71,0, 118 ,85.2%,107,107,
714,1120,727,715,10,2, 53 ,89.6%,134,134,
715,915,949,921,23,5, 154 ,86.7%,148,148,
716,1320,1046,1007,36,3, 185 ,82.9%,163,163,
718,1320,1072,1005,45,22, 122 ,87.1%,166,166,
719,915,896,869,27,0, 146 ,95.9%,142,142,
720,616,725,597,119,9, 86 ,89.1%,98,98,
721,1120,1026,1016,10,0, 186 ,91.7%,154,154,
722,1320,1053,998,51,4, 146 ,85.0%,171,171,
723,662,746,661,83,2, 99 ,89.3%,101,101,
724,915,877,865,12,0, 130 ,82.4%,144,144,
725,662,964,709,221,34, 138 ,92.4%,104,104,
726,780,818,725,84,9, 109 ,83.6%,127,127,
727,855,707,610,82,15, 32 ,95.2%,106,106,
728,616,886,799,86,1, 87 ,85.2%,114,114,
729,1320,950,925,22,3, 111 ,86.0%,168,168,
730,616,765,707,56,2, 109 ,87.4%,102,102,
731,1320,1066,1026,40,0, 105 ,90.4%,165,165,
733,662,577,549,19,9, 55 ,92.0%,100,100,
734,915,960,847,103,10, 99 ,92.0%,137,137,
735,915,862,811,44,7, 109 ,81.9%,140,140,
736,1320,1114,1034,56,24, 93 ,90.1%,159,159,
737,1320,1103,1043,45,15, 119 ,90.0%,166,166,
738,1000,1066,1047,18,1, 138 ,87.2%,160,160,
740,662,618,603,15,0, 59 ,89.8%,98,98,
741,780,730,657,57,16, 70 ,85.8%,123,123,
742,915,846,765,65,16, 98 ,80.1%,133,133,
743,1120,863,844,18,1, 113 ,84.6%,154,154,
744,915,750,668,58,24, 76 ,82.4%,124,124,
746,1120,832,691,119,22, 73 ,84.3%,136,136,
748,498,669,454,177,38, 55 ,83.8%,77,77,
752,1320,1053,1017,28,8, 128 ,88.6%,164,164,
753,1000,1027,917,75,35, 90 ,90.7%,148,148,
755,855,734,699,33,2, 68 ,86.0%,118,118,
756,780,640,604,34,2, 25 ,94.6%,91,91,
757,616,801,665,133,3, 83 ,93.3%,102,102,
758,662,747,698,43,6, 83 ,91.6%,106,106,
761,780,707,651,52,4, 53 ,92.5%,116,116,
762,915,784,742,38,4, 51 ,88.9%,109,109,
764,780,733,699,27,7, 43 ,96.7%,120,120,
765,616,501,451,41,9, 51 ,82.4%,88,88,
766,855,914,806,107,1, 138 ,83.3%,136,136,
767,616,570,507,58,5, 84 ,76.5%,81,113,
768,700,667,643,11,13, 88 ,85.2%,106,106,
769,780,883,830,44,9, 98 ,96.1%,126,126,
770,1320,1072,996,34,42, 96 ,93.0%,169,169,
771,855,851,797,39,15, 96 ,91.6%,129,129,
772,1320,898,835,32,31, 98 ,88.1%,142,142,
773,1320,976,917,32,27, 99 ,90.9%,161,161,
774,915,949,834,97,18, 89 ,87.6%,136,136,
775,1320,1104,1019,66,19, 135 ,88.4%,171,171,
776,780,880,744,109,27, 112 ,85.2%,126,126,
777,1000,938,833,78,27, 91 ,92.9%,137,137,
778,1320,1018,960,49,9, 112 ,90.4%,162,162,
780,780,692,606,68,18, 54 ,80.3%,118,118,
781,915,884,829,52,3, 91 ,92.7%,133,133,
782,780,978,935,40,3, 132 ,97.6%,120,120,
783,662,458,413,43,2, 36 ,90.2%,78,78,
784,1320,882,859,17,6, 69 ,88.2%,157,157,
785,1320,983,964,19,0, 131 ,84.3%,165,165,
786,662,681,612,58,11, 77 ,90.3%,102,102,
787,915,890,811,65,14, 104 ,88.0%,126,126,
788,1120,858,835,22,1, 112 ,88.9%,149,149,
789,915,885,847,33,5, 120 ,93.2%,131,131,
790,915,919,880,37,2, 123 ,87.5%,140,140,
791,855,701,669,23,9, 88 ,88.7%,121,121,
793,1320,922,854,35,33, 72 ,88.1%,155,155,
794,700,679,628,50,1, 123 ,75.0%,116,116,
796,1320,923,908,14,1, 105 ,90.7%,159,159,
797,662,762,659,94,9, 111 ,87.0%,106,106,
799,700,759,624,105,30, 75 ,86.0%,117,117,
801,662,711,617,79,15, 80 ,86.4%,100,100,
802,498,583,520,62,1, 51 ,94.4%,87,87,
804,1320,955,894,30,31, 99 ,92.4%,154,154,
805,1320,1101,1012,66,23, 137 ,91.1%,165,165,
806,780,731,699,31,1, 91 ,82.6%,119,119,
807,855,884,802,51,31, 76 ,92.1%,126,126,
808,1200,960,895,43,22, 80 ,88.2%,158,158,
809,1000,906,868,34,4, 110 ,88.4%,144,144,
810,1320,989,929,31,29, 89 ,87.0%,166,166,
811,1000,951,858,73,20, 130 ,82.2%,142,142,
812,1120,787,742,42,3, 114 ,74.8%,156,156,
813,550,550,490,59,1, 62 ,91.0%,85,85,
814,616,707,679,26,2, 146 ,87.9%,103,103,
815,550,698,550,147,1, 87 ,85.0%,97,97,
816,1320,1075,1017,41,17, 106 ,87.0%,158,158,
817,616,656,629,21,6, 118 ,90.8%,97,97,
818,855,913,825,60,28, 114 ,86.0%,140,140,
819,780,957,747,178,32, 120 ,81.7%,112,124,
821,780,645,644,1,0, 90 ,#DIV/0!,120,120,
822,915,834,804,20,10, 83 ,90.6%,134,134,
823,1120,952,925,26,1, 180 ,87.6%,157,157,
826,1320,995,973,17,5, 111 ,89.8%,163,163,
827,700,809,752,47,10, 95 ,94.9%,113,113,
828,915,729,697,31,1, 56 ,89.6%,121,121,
836,1120,1017,893,115,9, 107 ,89.1%,154,154,
838,1200,890,881,6,3, 103 ,86.1%,161,161,
839,915,837,736,60,41, 66 ,89.2%,129,129,
842,616,887,682,190,15, 70 ,88.2%,98,98,
844,550,654,612,40,2, 66 ,84.5%,81,91,
847,915,754,740,9,5, 51 ,92.5%,129,129,
848,700,810,730,57,23, 115 ,85.1%,113,113,
849,550,517,468,26,23, 76 ,86.4%,80,80,
850,855,811,774,39,-2, 87 ,87.2%,129,129,
851,616,586,531,32,23, 42 ,84.5%,99,99,
852,1320,989,950,37,2, 129 ,89.8%,165,166,
853,662,661,644,17,0, 110 ,83.2%,111,111,
854,855,662,632,25,5, 60 ,75.6%,126,126,
855,1000,804,779,42,-17, 92 ,90.5%,148,148,
856,1320,1240,1192,40,8, 141 ,92.9%,167,167,
859,700,797,755,37,5, 120 ,94.9%,113,113,
860,1320,1113,982,96,35, 131 ,92.0%,159,159,
861,616,546,478,65,3, 57 ,80.0%,97,97,
862,855,876,819,47,10, 89 ,87.1%,141,141,
863,400,438,407,31,0, 53 ,86.5%,73,73,
864,1320,1245,1070,167,8, 118 ,75.3%,165,166,
865,550,548,510,36,2, 73 ,84.5%,93,93,
866,498,598,558,40,0, 137 ,90.6%,85,85,
867,1320,1094,1055,30,9, 144 ,88.9%,168,168,
868,662,784,693,87,4, 108 ,83.5%,117,117,
869,1320,980,965,12,3, 124 ,85.8%,165,165,
870,662,719,660,56,3, 79 ,93.2%,102,102,
871,400,434,404,29,1, 36 ,95.9%,70,70,
872,1320,1013,912,79,22, 112 ,81.4%,157,157,
874,1120,1142,1058,63,21, 128 ,91.9%,157,157,
877,662,668,656,8,4, 68 ,93.1%,101,101,
878,780,681,612,65,4, 67 ,82.9%,116,116,
