,,,,Action Alley,,,,Endcaps,,,,,,,,,,,Frozen Doors ,,,,
Store Nbr,Bakecenter + Trian ,Train No Bakecenter,Bakecenter No Train ,AA - Sparkling Water Pallet,AA - Tortilla Chips Pallet,AA - Potato Chips Pallet,AA - Cookies 1/2 Stack,1/2 EC - Coffee,1/2 EC - Soup,1/2 EC - Crackers,1/2 EC - Pasta,1/2 EC - Pasta Sauce,1/2 EC - Sparkling Water,1/2 EC - Fruit Juice,1/2 EC - Tortilla Chips,1/2 EC - Potato Chips,1/2 EC - Cookies,1/2 EC - Fruit Snacks,FD - Frozen Pizza,FD - Frozen Pot Pie,FD - Frozen Potatoes,FD - Frozen Smoothies,FD - Frozen Wings
173,Both ,,,YES,,,,,YES,,YES,YES,,,,,,,YES,YES,,YES,YES
174,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
175,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
177,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,YES,,
178,,No Bakecenter,,YES,,,,YES,,,,,,,,,,,,,,,
179,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,,YES,YES
180,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,,YES
181,Both ,,,,,,,,,,YES,YES,,,,,,,YES,YES,YES,YES,YES
182,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
183,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
184,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
185,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
186,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
188,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
189,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
190,,No Bakecenter,,YES,,,,YES,YES,,YES,YES,,,,,,,YES,,,,YES
192,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
194,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
195,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
196,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
197,Both ,,,YES,YES,,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
198,,No Bakecenter,,YES,YES,YES,,,,,,,,,,,,,YES,YES,,,YES
199,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,
200,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
201,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
202,,No Bakecenter,,,,,,,,,,,,,,,,,YES,,,,YES
204,,No Bakecenter,,YES,YES,YES,,,YES,YES,YES,YES,,,,,,,YES,YES,,,YES
205,Both ,,,YES,,,,YES,YES,,YES,YES,,,,,,,YES,YES,YES,,YES
206,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
207,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
211,,No Bakecenter,,,,,,,YES,,YES,YES,,,,,,,YES,,,,
212,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
213,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,YES,YES
214,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
216,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
217,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
218,,No Bakecenter,,YES,,,,YES,,,YES,YES,,,,,,,,,,,
