Store Nbr,Event 1 Total Pallets,Event 2 Total Pallets,Event 3 Total Pallets
1723,64,34,123
1724,38,29,65
1726,39,35,84
1727,28,23,61
1728,55,39,124
1729,41,33,91
1730,34,30,81
1731,31,27,66
1732,34,26,85
1733,56,34,117
1734,37,26,103
1735,39,25,73
1736,54,37,126
1737,40,25,81
1738,33,31,78
1739,85,48,157
1740,53,35,91
1741,53,47,106
1742,52,42,127
1743,39,44,94
1744,49,41,100
1745,56,38,118
1746,59,38,121
1747,56,38,131
1748,42,23,82
1749,47,37,89
1750,51,37,98
1751,31,21,66
1752,59,43,123
1753,45,40,100
1754,42,38,95
1755,40,29,99
1756,48,39,120
1757,43,32,89
1758,45,38,98
1759,40,38,101
1760,32,22,75
1761,42,31,107
1762,57,46,113
1763,51,43,123
1764,65,56,114
1765,42,35,96
1766,35,23,59
1767,48,34,107
1768,47,36,113
1769,52,43,109
1770,67,37,97
1771,40,29,71
1772,49,37,104
1773,48,35,108
1774,50,38,120
1775,40,31,90
1776,35,30,78
1777,46,32,97
1778,34,33,70
1779,45,34,89
1780,34,24,77
1781,50,45,113
1782,60,53,147
1783,42,35,87
1784,54,42,112
1785,55,45,113
1786,32,25,71
1787,36,45,85
1788,50,42,120
1789,54,38,114
1790,51,46,129
1791,77,62,154
1792,46,48,90
1793,37,33,78
1794,63,48,114
1795,28,21,58
1796,54,44,106
1797,33,28,78
1798,41,33,91
1799,40,27,81
1800,52,34,139
1801,83,57,195
1802,57,44,130
1803,44,29,83
1804,57,40,123
1805,48,41,117
1806,45,34,97
1807,46,38,110
1808,25,25,56
1809,41,37,88
1810,72,50,158
1811,48,26,107
1812,49,35,105
1813,38,35,82
1814,45,30,93
1815,80,57,166
1816,30,22,79
1817,49,47,120
1819,45,34,89
1820,44,41,92
1821,38,29,80
1822,57,40,136
1823,66,49,111
1825,58,37,116
1826,54,44,133
1827,33,22,71
1828,44,37,97
1829,37,32,76
1830,45,35,110
1831,45,40,95
1832,56,40,114
1833,46,36,112
1834,56,48,113
1835,75,47,154
1836,56,48,118
1837,63,43,138
1838,38,22,86
1839,55,30,113
1840,43,29,106
1841,52,32,104
1842,51,46,115
1843,45,30,88
1844,41,38,90
1845,39,31,92
1846,88,39,160
1847,51,48,123
1848,37,24,76
1849,48,29,99
1850,56,41,104
1851,40,30,102
1852,59,41,124
1853,58,48,143
1854,69,71,180
1855,38,25,66
1856,65,55,156
1857,50,36,97
1858,30,25,66
1859,112,52,212
1860,47,37,112
1861,41,32,75
1862,84,49,176
1863,53,28,97
1864,37,24,87
1865,28,26,54
1866,31,32,74
1867,33,26,74
1868,76,51,155
1869,37,30,74
1870,32,29,61
1871,68,45,143
1872,41,35,98
1873,49,31,115
1874,34,26,67
1875,71,41,151
1876,31,26,69
1877,64,44,135
1878,42,39,91
1879,40,29,107
1880,49,35,96
1881,35,26,69
1882,51,37,99
1883,51,41,106
1884,69,50,164
1885,60,42,127
1886,69,48,139
1887,43,36,112
1888,66,44,137
1889,39,35,89
1890,58,46,158
1891,59,42,102
1892,58,34,124
1893,44,30,100
1894,51,39,101
1895,42,27,83
1896,39,27,85
1897,33,26,75
1898,31,22,64
1899,58,37,138
1900,38,37,94
1901,50,42,93
1902,64,44,144
1903,55,35,113
1904,43,32,82
1905,42,34,83
1906,44,35,92
1907,38,26,76
1908,52,32,109
1909,67,40,145
1910,31,27,75
1911,50,30,106
1912,43,33,102
1913,42,30,77
1914,52,37,111
1915,50,36,105
1916,42,37,88
1917,37,31,96
1918,46,32,90
1919,25,25,62
1920,35,31,83
1921,34,28,74
1922,51,39,130
1923,54,37,105
1924,49,48,123
1925,34,29,68
1926,34,33,71
1927,48,28,89
1928,47,32,115
1929,44,30,83
1930,40,28,96
1931,45,32,97
1932,39,31,96
1933,50,29,112
1934,40,33,105
1935,54,44,123
1936,39,35,85
1937,37,32,73
1938,59,33,127
1939,39,33,88
1940,61,38,106
1941,39,36,100
1942,42,36,96
1943,55,39,107
1945,41,39,83
1946,55,41,104
1947,41,30,78
1948,38,30,83
1949,55,35,105
1950,33,29,80
1951,53,39,121
1952,37,24,81
1953,36,32,75
1954,44,34,94
1955,52,37,100
1956,54,36,118
1957,32,27,73
1958,76,46,149
1959,66,46,165
1960,49,38,119
1961,52,35,99
1962,63,37,116
1963,50,35,111
1964,39,28,77
1965,46,39,108
1966,44,36,103
1967,51,26,115
1968,48,29,103
1969,44,30,94
1970,35,29,82
1971,42,34,89
1972,32,25,75
1973,61,41,120
1974,27,35,69
1975,38,38,87
1976,68,48,148
1977,53,36,116
1978,48,35,105
1979,37,32,78
1980,39,36,84
1981,57,38,136
1982,50,37,111
1983,55,40,114
1984,34,25,76
1985,62,33,120
1986,43,34,96
1987,61,47,125
1988,49,42,101
1989,48,37,118
1990,34,27,68
1991,46,34,108
1992,40,30,86
1993,46,45,109
1994,59,43,117
1995,61,49,128
1996,41,37,92
1997,43,36,101
1998,50,31,97
1999,41,30,88
2000,38,35,81
2001,58,43,118
2002,47,34,114
2003,50,40,96
2004,37,33,98
2005,84,50,154
2006,47,35,102
2007,56,37,99
2008,33,28,65
2009,32,25,77
2010,46,33,98
2012,47,38,105
2013,67,46,124
2014,41,32,87
2015,43,42,88
2016,36,30,73
2019,69,41,126
2020,32,24,67
2021,51,48,114
2022,39,34,90
2023,47,39,106
2024,55,42,104
2025,55,48,129
2026,66,47,160
2027,85,57,149
2028,64,36,132
2030,36,26,75
2031,49,39,104
2032,56,34,122
2033,28,24,53
2035,47,34,100
2036,65,53,139
2037,58,37,96
2038,53,45,94
2039,37,29,91
2040,40,26,90
2041,37,27,73
2043,34,29,68
2044,41,30,85
2045,54,30,102
2046,59,43,131
2047,36,38,92
2048,39,28,81
2049,80,50,158
2050,44,26,95
2051,61,53,137
2052,39,29,77
2053,30,21,65
2054,33,27,70
2055,44,38,101
2056,56,39,113
2057,31,25,65
2058,40,24,82
2059,53,42,128
2061,39,26,85
2062,37,27,83
2063,60,39,115
2064,46,36,103
2065,46,34,103
2066,64,32,101
2067,82,81,200
2068,61,42,123
2069,42,33,91
2070,36,29,97
2071,48,37,122
2072,49,45,145
2073,70,35,111
2074,41,36,108
2075,35,30,74
2077,50,37,121
2078,52,42,110
2079,62,47,99
2080,62,38,133
2081,46,39,102
2082,49,35,99
2083,46,35,77
2084,36,29,75
2085,69,48,166
2086,35,24,76
2087,42,23,105
2088,53,40,102
2089,66,61,137
2090,32,22,62
2091,93,105,191
2092,42,31,83
2093,46,40,103
2094,34,27,76
2095,37,30,100
2096,33,23,68
2097,31,25,70
2098,59,31,99
2099,44,36,108
2100,34,29,70
2101,51,43,112
2102,47,35,83
2103,41,30,101
2104,61,53,125
2105,58,33,97
2106,32,27,78
2107,55,41,119
2108,48,38,104
2109,38,36,103
2110,46,33,98
2111,39,34,89
2112,46,33,103
2113,53,32,122
2114,37,33,82
2115,67,37,131
2116,53,42,115
2117,44,23,92
2118,36,27,80
2119,38,27,90
2120,50,46,105
2121,41,31,81
2122,46,29,98
2123,62,44,145
2124,66,42,137
2125,41,30,94
2126,69,36,143
2127,52,36,117
2128,31,22,58
2129,34,34,83
2130,40,29,72
2131,37,26,92
2132,50,32,114
2133,53,37,105
2134,47,23,101
2135,34,33,89
2136,38,32,88
2137,38,24,83
2138,35,29,82
2139,53,34,108
2140,43,38,88
2141,69,42,130
2142,74,76,148
2143,30,32,68
2144,40,25,88
2145,64,41,127
2146,37,32,95
2147,42,34,84
2149,54,43,94
2150,66,38,138
2151,40,29,86
2152,57,31,127
2153,39,36,95
2154,47,33,97
2155,35,32,84
2156,37,23,76
2157,51,36,149
2158,46,38,85
2159,55,40,127
2160,36,26,83
2161,35,28,71
2163,55,42,107
2164,42,36,95
2166,51,40,106
2167,39,26,76
2169,75,57,152
2170,31,27,66
2174,59,42,129
2175,32,24,68
2176,39,28,88
2177,44,29,107
2178,31,32,71
2180,44,33,106
2181,58,38,124
2183,38,34,94
2184,48,30,107
2185,41,41,111
2187,40,35,80
2188,30,22,69
2189,33,25,73
2190,34,23,74
2191,41,35,82
2192,40,33,73
2193,56,37,112
2194,57,29,102
2195,41,33,104
2196,38,30,77
2197,62,38,131
2198,36,28,72
2199,65,36,125
2200,30,27,77
2201,98,60,210
2202,44,38,92
2204,51,31,112
2205,45,31,95
2206,36,29,81
2207,36,29,84
2208,65,50,127
2209,63,44,117
2210,73,43,138
2211,50,35,110
2213,43,39,104
2214,47,23,76
2215,39,27,79
2218,37,26,81
2221,48,41,114
2222,55,45,108
2223,55,38,103
2224,42,29,87
2225,41,33,111
2227,46,33,95
2228,41,29,91
2230,52,38,94
2231,56,41,124
2232,37,26,85
2233,55,47,118
2234,52,36,119
2236,31,57,66
2237,48,32,105
2238,43,32,95
2239,84,61,206
2240,72,56,186
2241,42,36,92
2242,37,33,107
2243,44,38,98
2244,52,35,115
2245,40,29,100
2247,35,26,70
2248,53,27,92
2249,54,51,125
2250,42,29,98
2251,40,26,95
2252,58,48,130
2253,44,31,93
2254,34,28,67
2255,51,33,110
2256,39,28,87
2257,45,32,107
2258,40,29,106
2259,49,39,107
2261,31,26,64
2262,50,41,111
2263,37,26,80
2264,42,29,90
2265,78,34,170
2266,64,38,118
2267,30,26,69
2269,51,39,122
2270,38,34,72
2271,44,36,93
2272,32,33,72
2273,62,43,132
2274,42,35,97
2275,36,26,64
2276,47,29,87
2277,51,33,112
2278,74,47,132
2279,54,36,146
2280,42,34,89
2281,53,36,125
2282,57,35,126
2283,69,35,134
2284,63,37,114
2285,61,40,129
2286,55,38,114
2287,47,36,93
2288,39,25,90
2289,33,30,82
2291,48,28,126
2292,36,25,73
2293,25,19,50
2294,36,28,68
2295,41,23,89
2297,39,24,78
2299,43,33,107
2300,55,45,111
2302,56,43,137
2306,60,38,110
2307,55,37,98
2308,41,23,95
2309,46,34,103
2310,46,34,102
2311,50,43,103
2312,47,34,103
2313,36,34,80
2314,47,25,124
2315,31,27,69
2316,62,34,106
2317,32,30,74
2318,58,52,128
2319,36,27,71
2320,27,23,61
2321,41,33,107
2322,43,29,91
2323,50,33,89
2325,46,37,101
2326,49,34,95
2329,35,27,74
2330,63,48,126
2331,43,40,99
2332,39,34,79
2333,38,34,98
2334,48,34,100
2335,39,22,78
2336,56,38,116
2337,41,32,76
2338,50,37,107
2339,39,26,83
2340,46,35,103
2341,53,34,105
2346,75,54,167
2348,32,22,64
2350,37,31,86
2351,41,32,90
2352,47,35,114
2354,46,29,94
2355,43,29,87
2357,61,47,106
2358,45,48,89
2359,53,34,122
2360,39,28,70
2361,60,41,137
2362,78,28,115
2365,46,31,95
2366,63,43,145
2367,49,32,82
2368,46,34,91
2369,40,35,89
2370,40,27,75
2371,58,45,122
2373,43,28,95
2385,47,39,111
2386,48,35,110
2387,55,40,149
2388,34,31,72
2398,35,28,72
2399,52,41,102
2400,59,44,139
2401,45,32,91
2402,41,33,101
2403,55,53,112
2404,44,34,97
2405,64,49,164
2412,41,38,89
2417,38,28,69
2418,36,22,62
2419,54,42,120
2420,57,44,142
2421,34,27,78
2422,30,29,73
2423,71,79,184
2424,28,25,56
2426,57,40,106
2427,41,30,93
2428,45,41,89
2429,48,34,115
2432,34,27,76
2434,43,39,89
2435,52,30,128
2436,39,26,81
2437,45,31,73
2438,42,35,94
2439,50,41,122
2440,37,33,76
2441,40,32,88
2443,39,34,81
2444,41,33,82
2445,44,34,94
2446,45,35,99
2447,67,35,121
2448,35,29,71
2449,78,58,202
2450,37,32,87
2452,54,25,99
2453,34,32,83
2455,41,39,100
2457,37,26,73
2458,36,28,80
2459,41,33,88
2460,54,38,158
2463,34,25,76
2464,51,34,103
2469,35,34,89
2471,39,26,69
2472,48,32,107
2473,62,33,144
2474,36,33,88
2475,47,27,105
2476,49,41,114
2477,47,42,117
2479,62,44,123
2480,50,36,97
2481,37,36,80
2482,50,38,133
2483,46,33,104
2484,35,29,87
2485,33,33,74
2490,44,34,94
2491,53,34,113
2492,35,33,85
2493,45,25,76
2494,38,29,80
2495,39,29,81
2496,57,30,92
2497,49,37,97
2501,77,68,180
2502,40,37,100
2503,30,25,63
2504,53,33,120
2505,43,32,105
2506,44,34,78
2507,52,33,122
2508,42,35,108
2509,32,30,59
2510,32,29,63
2511,53,39,126
2512,60,39,131
2513,32,26,70
2514,40,35,86
2515,60,35,125
2516,43,35,88
2517,45,41,105
2518,39,33,89
2519,36,37,85
2520,35,27,76
2522,40,28,88
2523,39,31,87
2526,47,38,102
2527,30,22,64
2528,42,36,91
2529,53,37,110
2530,36,25,77
2531,51,37,103
2532,44,29,91
2533,38,35,84
2534,42,36,113
2535,72,46,135
2536,55,41,120
2537,47,34,105
2538,29,25,73
2539,57,38,125
2540,40,36,79
2541,50,41,113
2542,29,27,67
2543,51,43,94
2544,60,40,141
2545,41,34,93
2546,45,32,103
2547,49,33,96
2548,43,39,99
2549,56,44,128
2550,42,28,90
2551,34,28,68
2552,38,30,90
2553,41,26,87
2554,57,40,150
2555,50,29,100
2556,35,27,81
2557,84,41,163
2558,37,23,70
2559,59,36,132
2560,49,39,107
2561,44,40,99
2562,28,23,58
2563,29,32,66
2564,31,24,64
2565,33,27,76
2566,38,33,78
2567,44,30,102
2568,51,38,120
2571,30,23,70
2572,44,26,90
2574,47,35,110
2575,37,30,83
2576,50,36,103
2577,41,27,85
2579,30,24,65
2580,40,29,88
2581,43,35,102
2582,31,21,59
2583,45,29,99
2584,35,23,64
2585,64,37,112
2586,57,33,126
2587,66,49,129
2588,52,32,108
2591,42,32,99
2592,48,32,121
2593,66,48,153
2594,34,27,84
2595,48,37,105
2596,40,34,89
2597,52,36,117
2598,43,33,93
2599,61,42,114
2600,35,27,72
2603,31,21,66
2604,38,24,73
2605,47,37,105
2607,34,23,62
2608,29,23,61
2609,44,33,100
2610,54,43,119
2611,45,34,94
2612,73,43,165
2613,33,27,74
2614,51,35,110
2615,48,36,114
2616,65,45,123
2617,29,29,72
2618,43,32,77
2619,51,38,134
2620,32,26,70
2621,32,31,77
2626,35,36,95
2627,43,27,91
2628,69,54,149
2629,35,31,87
2630,44,34,103
2631,52,29,110
2633,45,26,76
2634,29,25,57
2636,43,30,88
2637,51,37,110
2638,50,36,91
2639,30,26,64
2640,39,25,80
2641,57,38,121
2642,50,38,104
2643,33,24,88
2644,42,28,98
2645,31,25,68
2646,25,27,65
2647,33,22,62
2648,53,31,95
2649,52,33,120
2650,59,30,122
2651,53,40,85
2652,33,32,79
2653,36,31,95
2654,31,28,56
2656,38,31,85
2658,48,28,91
2659,28,27,54
2660,31,23,71
2662,33,28,74
2663,40,31,89
2664,35,30,75
2665,48,37,118
2666,36,23,63
2667,62,34,132
2668,67,42,127
2671,42,34,99
2672,30,29,62
2674,37,29,71
2678,57,42,132
2679,50,35,103
2680,39,22,74
2681,32,28,70
2682,35,27,68
2683,30,24,76
2684,46,38,87
2687,50,33,101
2688,56,44,145
2690,39,29,83
2691,42,35,106
2692,62,49,141
2693,53,31,104
2694,34,21,74
2695,61,43,127
2696,32,30,70
2697,53,35,111
2700,50,35,120
2702,35,30,76
2703,37,28,80
2704,40,38,91
2705,35,25,72
2706,53,36,127
2708,56,45,122
2710,30,25,69
2711,30,25,67
2712,47,41,114
2713,54,38,111
2714,43,33,84
2715,68,49,151
2716,45,35,106
2717,33,27,70
2718,79,29,132
2719,40,34,86
2720,58,30,124
2721,65,41,169
2722,51,39,132
2723,43,37,86
2724,56,35,130
2725,48,30,91
2726,68,37,137
2727,51,35,117
2728,40,28,88
2729,44,33,83
2730,44,33,91
2732,40,35,110
2733,43,32,92
2734,31,32,78
2735,47,30,104
2739,33,26,81
2740,48,35,97
2747,46,38,97
2748,35,32,82
2749,29,36,65
2751,34,25,74
2752,38,26,73
2753,32,37,75
2754,31,26,65
2755,52,29,103
2756,44,34,83
2757,38,33,84
2758,36,29,64
2760,35,30,84
2761,34,38,87
2762,35,29,69
2763,72,42,160
2764,78,42,136
2765,36,31,100
2766,39,30,97
2767,50,38,114
2768,50,34,117
2769,38,27,83
2771,31,25,75
2772,36,32,78
2774,30,25,66
2777,54,38,132
2778,37,26,87
2780,48,39,115
2781,45,38,112
2782,33,31,73
2783,36,27,76
2784,29,31,70
2785,30,29,66
2786,57,39,113
2787,39,30,77
2788,45,33,94
2789,50,42,160
2790,38,30,86
2791,38,33,88
2792,29,25,63
2793,53,37,102
2794,28,28,79
2795,34,29,73
2796,47,37,101
2797,30,25,70
2799,57,29,105
2803,45,34,109
2804,52,36,102
2805,29,25,75
2806,57,38,130
2807,37,26,72
2808,44,32,93
2809,36,36,79
2810,27,26,59
2811,64,34,120
2812,41,35,93
2813,36,36,89
2814,94,60,148
2815,38,27,83
2816,44,40,86
2817,48,25,105
2818,67,39,123
2819,38,31,83
2820,36,36,83
2821,45,27,99
2822,47,38,98
2823,46,42,122
2825,50,24,90
2827,44,29,93
2828,44,26,95
2830,42,24,97
2831,32,27,72
2832,30,22,66
2833,37,27,73
2834,40,29,96
2836,33,26,78
2838,54,41,138
2841,38,33,100
2842,46,34,109
2843,37,34,112
2844,49,36,109
2845,35,29,90
2846,55,35,125
2847,49,31,110
2849,37,31,76
2850,35,30,71
2852,45,44,84
2853,47,33,107
2854,39,42,102
2855,43,32,98
2856,32,33,81
2857,83,38,131
2859,44,27,90
2860,50,42,124
2861,30,32,69
2862,41,32,98
2864,50,51,135
2865,36,30,81
2866,31,26,71
2867,38,33,76
2869,54,39,121
2871,51,35,130
2872,42,35,105
2873,53,30,104
2874,44,30,98
2881,54,46,124
2882,44,32,92
2883,42,29,75
2884,64,44,153
2885,31,27,68
2886,67,54,139
2888,52,42,94
2889,43,35,94
2890,53,40,129
2891,64,47,177
2892,37,30,79
2893,29,32,87
2894,39,31,75
2897,35,27,75
2898,31,28,56
2899,38,23,64
2900,38,26,81
2901,30,23,66
2902,41,30,94
2903,31,23,72
2904,35,24,83
2905,51,31,91
2906,37,25,87
2908,31,30,76
2909,45,40,77
2910,43,40,101
2911,40,32,84
2912,58,43,133
2913,37,25,95
2914,60,41,129
2915,36,29,89
2916,47,32,105
2917,46,33,102
2918,39,27,82
2920,46,45,129
2921,54,42,147
2922,48,33,100
2923,43,32,87
2924,56,38,125
2925,34,23,64
2926,26,22,56
2927,52,41,122
2928,51,43,128
2929,44,41,112
2931,37,28,90
2932,50,37,119
2933,52,41,105
2934,30,23,70
2935,32,33,87
2936,51,21,97
2937,36,25,77
2938,36,27,89
2939,33,25,74
2941,32,27,76
2945,36,27,84
2946,41,29,95
2947,29,29,77
2948,45,30,105
2950,46,33,116
2951,47,32,101
2952,57,38,134
2953,39,32,102
2954,40,26,71
2955,40,25,82
2956,50,31,108
2957,40,32,83
2958,50,34,109
2959,73,35,133
2962,46,35,113
2963,36,34,100
2964,46,28,105
2965,41,28,93
2966,53,36,117
2967,58,38,135
2968,30,28,72
2973,52,40,92
2978,55,38,127
2980,56,35,123
2985,62,43,143
2986,38,26,81
2987,49,34,104
2988,33,33,96
2989,30,26,68
2990,43,35,93
2991,47,33,110
2992,45,36,99
2993,46,32,95
2994,39,29,76
2996,39,21,84
3004,59,41,133
3008,25,23,55
3014,52,34,108
3017,36,30,91
3018,38,32,85
3035,53,28,97
3044,42,30,91
3053,29,23,64
3055,35,37,102
3056,41,30,101
3057,40,29,91
3058,48,35,111
3059,34,21,72
3060,35,22,72
3061,39,31,81
3067,36,26,83
3075,35,27,83
3077,39,34,87
3078,39,28,83
3081,44,31,93
3087,33,21,70
3088,35,25,78
3093,40,36,84
3102,31,24,77
3103,32,28,66
3106,57,50,134
3107,33,25,73
3112,41,30,87
3114,52,37,112
3118,33,21,70
3119,33,28,81
3136,56,41,148
3137,29,23,59
3149,28,19,60
3150,40,28,91
3151,30,26,69
3159,80,52,138
3163,50,31,114
3167,46,24,87
3169,36,26,77
3170,30,24,72
3177,24,22,53
3180,82,44,140
3182,29,21,62
3188,34,23,84
3191,27,28,56
3192,38,33,92
3197,39,30,107
3200,35,25,79
3201,49,32,123
3205,52,27,113
3206,46,34,95
3207,46,37,115
3208,53,30,109
3209,45,34,96
3210,49,40,97
3212,44,31,96
3213,57,40,127
3214,43,26,104
3215,55,38,110
3216,34,30,77
3217,31,21,79
3218,46,40,112
3219,45,39,108
3220,41,28,103
3221,44,38,73
3222,37,39,88
3223,57,39,108
3224,59,48,123
3225,42,36,101
3226,50,41,119
3227,29,24,58
3228,37,30,78
3229,27,25,84
3230,47,33,119
3231,34,38,85
3232,54,37,120
3233,42,32,95
3234,35,33,72
3235,44,40,89
3236,47,34,95
3237,44,39,96
3239,45,36,120
3241,52,34,139
3243,44,33,97
3245,27,24,66
3247,32,27,78
3248,39,30,89
3250,47,28,93
3251,37,32,85
3252,36,28,81
3253,53,35,87
3254,33,29,68
3255,29,25,63
3258,35,31,97
3259,40,37,82
3260,33,32,72
3261,49,42,124
3262,46,43,93
3265,57,45,123
3266,33,29,74
3267,40,37,90
3268,34,26,80
3269,32,33,63
3270,39,39,85
3271,37,28,87
3273,31,27,71
3274,35,30,93
3276,51,37,120
3277,36,30,73
3278,40,28,103
3279,46,35,117
3280,48,31,100
3281,51,45,136
3282,38,33,89
3283,56,41,149
3284,46,35,115
3285,50,34,113
3286,32,26,71
3288,43,29,93
3289,32,32,66
3290,51,32,138
3291,39,26,75
3292,68,36,120
3293,36,29,81
3294,56,33,105
3295,50,56,127
3296,59,34,114
3297,50,39,115
3298,44,37,127
3300,46,43,87
3301,48,32,101
3302,59,30,124
3303,31,29,73
3304,42,37,95
3305,34,28,68
3307,34,24,77
3308,52,38,135
3309,30,24,72
3310,46,42,109
3311,38,27,95
3313,39,24,67
3319,50,34,130
3320,79,52,190
3322,30,23,67
3324,44,30,76
3328,39,34,94
3329,43,37,95
3331,46,42,109
3332,45,34,97
3334,52,45,96
3336,49,38,126
3337,47,34,84
3339,65,40,129
3342,41,37,94
3344,47,37,92
3347,48,40,116
3348,42,31,85
3349,38,33,85
3350,54,32,120
3351,76,50,166
3352,72,39,154
3360,48,32,122
3362,43,33,98
3363,42,38,103
3364,38,24,74
3366,51,38,125
3367,38,25,77
3370,39,31,115
3371,31,23,70
3372,37,25,95
3379,39,26,97
3380,56,36,138
3381,28,28,63
3382,43,38,100
3383,47,32,117
3384,32,37,85
3386,42,33,91
3387,43,33,119
3388,39,28,91
3389,41,29,88
3390,51,42,107
3391,41,33,108
3394,30,30,72
3395,40,34,86
3397,37,27,104
3400,45,38,105
3401,41,29,94
3402,48,34,127
3403,57,61,158
3404,44,33,92
3406,47,47,96
3407,52,39,129
3408,34,29,72
3409,45,39,106
3412,37,36,78
3415,30,24,68
3417,35,27,77
3418,53,40,109
3420,70,44,132
3422,64,32,146
3423,38,27,74
3425,61,34,128
3427,34,42,82
3428,32,24,68
3429,50,41,102
3430,36,38,84
3431,40,32,86
3432,52,27,106
3433,46,34,120
3434,37,30,85
3435,54,48,123
3436,53,29,104
3439,43,43,122
3443,51,41,104
3445,52,34,105
3447,35,23,77
3453,55,39,94
3454,57,50,142
3455,37,27,94
3458,31,23,65
3459,38,28,81
3460,45,33,107
3461,51,35,116
3462,48,29,96
3463,51,41,118
3464,53,37,137
3465,62,37,155
3469,89,47,162
3471,42,31,87
3472,37,33,83
3473,62,43,135
3474,48,37,103
3475,47,31,94
3476,50,28,101
3477,42,29,104
3478,53,39,121
3480,32,30,89
3481,37,31,104
3482,38,26,85
3483,42,38,98
3484,37,36,97
3485,35,36,97
3486,42,36,83
3487,46,36,101
3488,33,25,65
3489,39,26,92
3490,41,27,89
3491,39,26,86
3492,53,36,113
3493,40,26,97
3494,42,29,90
3495,50,37,112
3497,31,23,65
3498,36,25,81
3499,35,29,69
3500,58,47,139
3501,36,27,65
3502,46,38,130
3503,55,37,127
3505,39,26,79
3510,53,45,123
3511,48,41,94
3513,43,31,96
3514,38,32,87
3515,45,38,88
3516,49,34,136
3518,65,40,151
3520,100,68,180
3522,53,42,123
3523,56,50,121
3524,48,31,102
3525,43,34,110
3526,34,32,93
3527,52,46,135
3528,35,29,91
3529,52,36,104
3531,47,41,113
3533,47,29,92
3534,30,26,63
3535,39,34,88
3537,48,39,126
3538,47,38,109
3541,34,31,78
3543,46,39,102
3545,35,27,69
3546,32,26,66
3547,65,39,110
3548,50,34,119
3549,39,29,82
3560,50,37,119
3561,32,24,68
3562,60,39,102
3563,37,26,74
3564,45,32,98
3566,47,41,102
3567,53,40,136
3568,54,32,130
3569,57,30,112
3570,47,34,100
3571,41,32,98
3572,66,33,140
3573,40,38,90
3580,49,36,105
3581,58,44,104
3582,56,33,118
3583,38,35,84
3584,64,42,106
3585,43,30,103
3587,41,27,92
3588,66,41,133
3589,42,30,91
3590,56,38,115
3591,42,36,101
3595,51,34,127
3596,36,38,97
3597,35,27,75
3598,29,24,63
3601,45,27,99
3602,45,31,99
3607,34,27,68
3608,48,47,139
3609,48,25,100
3611,38,27,79
3612,31,28,72
3616,40,32,91
3620,53,39,118
3621,40,26,79
3623,47,44,119
3624,44,36,95
3625,44,29,101
3626,45,32,105
3627,46,41,110
3630,49,37,100
3631,45,37,117
3632,32,26,79
3633,51,41,116
3634,34,28,69
3639,37,27,73
3640,43,33,94
3641,39,28,78
3643,27,25,66
3644,34,29,90
3645,58,43,120
3648,44,38,97
3650,38,25,70
3652,52,35,113
3658,43,27,95
3659,33,29,78
3660,38,29,81
3693,56,39,147
3700,47,32,101
3701,28,27,72
3702,51,34,130
3705,45,44,100
3708,42,31,77
3709,49,25,102
3710,32,23,70
3712,37,28,95
3716,66,50,166
3717,38,22,74
3720,59,31,108
3722,54,35,117
3725,41,31,80
3726,66,43,121
3728,47,30,113
3729,46,28,97
3730,36,28,91
3731,47,33,91
3732,56,37,119
3733,39,24,82
3734,27,28,61
3738,49,44,94
3739,51,41,105
3741,42,24,92
3742,29,25,66
3747,37,31,92
3748,44,43,117
3749,37,24,83
3750,54,45,121
3751,55,41,122
3754,31,26,67
3757,33,33,87
3758,24,20,56
3760,36,29,72
3761,30,26,73
3762,60,46,121
3763,67,43,169
3764,41,36,104
3765,40,33,81
3768,34,28,78
3770,32,29,65
3771,59,40,149
3772,37,35,80
3773,51,41,109
3774,50,39,103
3775,38,25,86
3777,40,29,80
3778,31,29,57
3780,44,37,87
3781,60,26,94
3782,62,41,144
3783,40,32,86
3784,47,36,108
3785,28,23,61
3786,48,36,98
3789,37,31,85
3790,33,25,75
3791,34,26,82
3792,47,37,120
3794,41,34,97
3795,93,51,161
3796,72,44,170
3799,38,27,95
3801,30,26,74
3802,68,46,131
3803,35,24,84
3804,54,27,97
3805,29,28,59
3806,33,30,76
3807,30,26,74
3809,34,29,66
3810,35,26,64
3812,38,29,68
3823,48,39,110
3824,35,28,90
3825,40,28,90
3826,41,31,92
3827,59,45,144
3828,38,33,99
3829,39,32,88
3830,31,30,74
3831,36,27,88
3833,53,40,138
3835,41,35,86
3837,44,28,93
3838,51,38,111
3840,52,45,94
3842,36,27,79
3843,48,42,94
3847,45,47,85
3848,36,34,100
3850,37,35,94
3851,47,33,105
3852,29,33,68
3853,32,29,66
3857,31,24,76
3858,34,24,64
3860,38,31,99
3861,41,26,99
3864,43,36,107
3867,54,42,115
3868,43,29,98
3869,34,25,68
3872,42,32,87
3874,54,46,121
3875,29,26,64
3876,36,24,81
3877,32,27,76
3883,48,31,118
3884,41,30,89
3886,69,41,153
3887,44,43,128
3888,65,47,156
3889,34,24,68
3891,54,28,95
3893,34,23,83
3894,72,56,158
3896,39,30,94
3897,59,46,137
3912,35,25,75
3947,45,30,89
4049,43,27,97
4055,43,32,108
4063,33,24,62
4064,44,35,93
4065,50,35,103
4068,52,42,113
4101,36,27,78
4102,34,27,84
4103,34,36,94
4108,52,39,122
4111,41,29,95
4112,74,51,164
4115,45,29,100
4118,46,38,107
