Region,Market,Store Number,Percentage,
13,129,3483,93.69%,
13,130,428,77.87%,
13,130,532,96.79%,
13,130,839,125.00%,
13,130,935,96.46%,
13,130,1102,125.00%,
13,130,1206,125.00%,
13,130,1266,57.72%,
13,130,4683,97.36%,
13,131,401,97.78%,
13,131,1136,84.66%,
13,131,1196,79.98%,
13,131,2132,107.75%,
13,131,2822,69.99%,
13,131,3288,115.63%,
13,131,4679,77.95%,
13,131,5056,125.00%,
13,132,309,34.16%,
13,132,310,25.08%,
13,132,386,67.29%,
13,132,402,51.49%,
13,132,415,42.54%,
13,132,531,101.52%,
13,132,533,61.92%,
13,132,543,39.54%,
13,132,2938,67.78%,
13,132,7301,58.00%,
13,134,75,125.00%,
13,134,170,118.52%,
13,134,312,46.05%,
13,134,405,87.86%,
13,134,498,65.81%,
13,134,505,44.16%,
13,134,539,125.00%,
13,134,773,65.59%,
13,134,1107,102.84%,
13,134,1128,76.04%,
13,134,4295,125.00%,
13,141,501,86.17%,
13,141,785,64.46%,
13,141,816,64.71%,
13,141,874,82.09%,
13,141,887,109.67%,
13,141,916,120.93%,
13,141,954,71.96%,
13,141,1025,71.06%,
13,141,1106,67.28%,
13,141,1168,35.69%,
13,141,1192,125.00%,
13,141,2717,108.06%,
13,143,969,66.26%,
13,143,970,50.89%,
13,143,1066,43.68%,
13,143,1088,73.46%,
13,143,1195,74.67%,
13,143,1260,53.08%,
13,143,1346,122.35%,
13,143,2715,84.56%,
13,143,3528,63.95%,
13,143,5079,44.21%,
13,503,140,122.72%,
13,503,163,96.80%,
13,503,214,49.44%,
13,503,236,39.28%,
13,503,249,32.12%,
13,503,275,62.83%,
13,503,285,82.12%,
13,503,288,40.19%,
13,503,364,45.88%,
13,Region Total,,78.12%,
14,1,853,41.70%,
14,1,866,93.95%,
14,1,904,82.62%,
14,1,934,125.00%,
14,1,991,125.00%,
14,1,1212,110.73%,
14,1,2748,79.72%,
14,1,4333,106.04%,
14,1,4581,56.02%,
14,1,5174,71.90%,
14,1,6173,55.57%,
14,2,562,81.90%,
14,2,670,82.33%,
14,2,762,104.04%,
14,2,1158,57.05%,
14,2,1711,125.00%,
14,2,2723,82.83%,
14,2,5113,120.19%,
14,2,7280,110.32%,
14,3,298,56.55%,
14,3,300,29.73%,
14,3,301,117.83%,
14,3,315,75.52%,
14,3,316,80.89%,
14,3,691,112.42%,
14,3,1201,125.00%,
14,3,2713,97.35%,
14,3,3386,55.22%,
14,3,5126,83.13%,
14,7,604,104.77%,
14,7,723,67.77%,
14,7,734,98.61%,
14,7,740,48.95%,
14,7,1063,46.22%,
14,7,1091,72.91%,
14,7,1134,84.50%,
14,7,1462,62.92%,
14,7,1638,42.80%,
14,7,2114,53.70%,
14,7,2534,94.60%,
14,8,424,113.07%,
14,8,483,125.00%,
14,8,700,67.04%,
14,8,930,124.14%,
14,8,938,118.49%,
14,8,1101,125.00%,
14,8,4318,117.35%,
14,8,4407,125.00%,
14,8,5348,79.20%,
14,10,329,84.61%,
14,10,355,78.51%,
14,10,356,96.54%,
14,10,432,87.89%,
14,10,726,110.08%,
14,10,730,98.15%,
14,10,733,125.00%,
14,10,809,88.25%,
14,10,863,43.33%,
14,10,1057,125.00%,
14,13,423,68.23%,
14,13,1229,107.64%,
14,13,1481,106.35%,
14,13,2111,96.74%,
14,13,3271,75.94%,
14,13,4330,64.01%,
14,13,4497,125.00%,
14,13,5262,73.01%,
14,14,990,107.77%,
14,14,1174,59.11%,
14,14,1222,101.00%,
14,14,1224,92.07%,
14,14,1493,70.64%,
14,14,1605,97.49%,
14,14,1620,70.08%,
14,14,2533,44.60%,
14,14,2739,102.33%,
14,14,2760,39.31%,
14,14,3484,103.44%,
14,14,3785,41.90%,
14,14,7247,125.00%,
14,15,818,64.86%,
14,15,919,66.28%,
14,15,944,49.72%,
14,15,1032,85.91%,
14,15,1207,52.68%,
14,15,1362,37.24%,
14,15,3075,76.80%,
14,15,3119,29.62%,
14,15,3439,53.39%,
14,15,5845,93.96%,
14,15,5872,82.07%,
14,16,494,120.51%,
14,16,614,99.19%,
14,16,932,99.47%,
14,16,1112,47.59%,
14,16,1284,108.86%,
14,16,1311,91.92%,
14,16,1338,82.42%,
14,16,3461,89.76%,
14,16,4200,100.46%,
14,16,4283,87.23%,
14,16,5363,47.74%,
14,97,488,71.81%,
14,97,858,52.96%,
14,97,1077,105.20%,
14,97,1223,77.29%,
14,97,1375,58.32%,
14,97,1408,117.05%,
14,97,3307,106.26%,
14,97,4427,81.98%,
14,97,4520,125.00%,
14,97,5172,79.01%,
14,97,5422,82.86%,
14,Region Total,,85.42%,
16,154,1967,80.80%,
16,154,1984,118.84%,
16,154,2174,74.43%,
16,154,2228,125.00%,
16,154,2289,86.60%,
16,154,2386,47.52%,
16,154,2683,62.10%,
16,154,2797,125.00%,
16,154,2901,103.05%,
16,154,5278,93.41%,
16,156,1918,60.75%,
16,156,2012,77.45%,
16,156,2118,67.75%,
16,156,2155,84.12%,
16,156,2158,46.37%,
16,156,2267,83.92%,
16,156,2329,77.73%,
16,156,2629,67.54%,
16,156,2964,113.03%,
16,156,3409,47.92%,
16,156,4387,72.01%,
16,157,1762,49.56%,
16,157,2139,101.62%,
16,157,2180,110.23%,
16,157,2222,125.00%,
16,157,2640,54.61%,
16,157,2660,87.15%,
16,157,2903,17.29%,
16,157,3114,56.50%,
16,157,3535,76.77%,
16,159,1970,73.72%,
16,159,2103,53.48%,
16,159,2122,62.48%,
16,159,2128,91.30%,
16,159,2227,85.51%,
16,159,2336,87.46%,
16,159,2341,56.76%,
16,159,2902,37.00%,
16,159,2904,63.13%,
16,159,3200,120.39%,
16,160,1906,89.75%,
16,160,2021,75.97%,
16,160,2095,95.14%,
16,160,2157,125.00%,
16,160,2184,113.93%,
16,160,2366,88.28%,
16,160,2953,112.68%,
16,160,3560,55.70%,
16,160,3561,101.19%,
16,160,5448,101.88%,
16,179,1797,57.98%,
16,179,1856,68.92%,
16,179,1919,35.86%,
16,179,1924,85.43%,
16,179,1932,75.27%,
16,179,1974,47.66%,
16,179,2013,90.82%,
16,179,2047,77.05%,
16,179,2143,55.63%,
16,179,2178,45.05%,
16,179,5076,87.49%,
16,180,1866,32.28%,
16,180,1868,68.74%,
16,180,1939,92.17%,
16,180,2046,111.55%,
16,180,2140,118.93%,
16,180,2183,92.83%,
16,180,2202,61.71%,
16,180,2634,62.62%,
16,180,2681,49.52%,
16,180,3269,16.15%,
16,181,1975,90.16%,
16,181,2138,125.00%,
16,181,2224,125.00%,
16,181,2332,125.00%,
16,181,2369,60.92%,
16,181,2530,118.89%,
16,181,2639,71.41%,
16,181,2682,98.78%,
16,181,2758,97.82%,
16,181,4156,70.80%,
16,181,4389,44.47%,
16,183,1698,73.02%,
16,183,1749,123.56%,
16,183,1788,80.02%,
16,183,1954,82.78%,
16,183,2055,86.78%,
16,183,2130,76.36%,
16,183,2153,89.46%,
16,183,2330,79.58%,
16,183,2398,44.60%,
16,183,2659,65.16%,
16,184,1753,125.00%,
16,184,1785,119.98%,
16,184,1796,50.02%,
16,184,1907,85.92%,
16,184,1930,47.37%,
16,184,2057,62.38%,
16,184,2142,86.08%,
16,184,2399,97.49%,
16,184,3491,39.17%,
16,184,3549,91.36%,
16,187,1871,125.00%,
16,187,1946,34.62%,
16,187,1994,90.02%,
16,187,2092,54.39%,
16,187,2116,53.86%,
16,187,2424,89.61%,
16,187,3329,61.49%,
16,187,3334,61.61%,
16,187,4403,71.97%,
16,187,5497,125.00%,
16,187,5498,53.38%,
16,188,1940,115.59%,
16,188,1997,93.70%,
16,188,2056,58.32%,
16,188,2097,125.00%,
16,188,2152,119.23%,
16,188,2351,93.80%,
16,188,2370,99.14%,
16,188,2504,101.51%,
16,188,2844,108.10%,
16,188,3583,125.00%,
16,Region Total,,81.41%,
17,161,1873,69.28%,
17,161,1964,92.39%,
17,161,2225,83.48%,
17,161,2261,96.22%,
17,161,2283,62.23%,
17,161,2373,95.95%,
17,161,2747,55.96%,
17,161,2885,64.31%,
17,161,3301,27.82%,
17,162,1891,45.55%,
17,162,1980,39.25%,
17,162,2022,68.92%,
17,162,2170,54.72%,
17,162,2200,53.70%,
17,162,2282,82.72%,
17,162,2331,68.85%,
17,162,2854,85.67%,
17,162,2898,29.42%,
17,162,5777,63.98%,
17,163,2144,72.69%,
17,163,2299,58.82%,
17,163,2371,78.76%,
17,163,2719,29.44%,
17,163,2897,60.86%,
17,163,2899,73.86%,
17,163,2900,38.03%,
17,163,2965,80.42%,
17,163,3548,61.79%,
17,163,5095,77.58%,
17,164,1810,94.68%,
17,164,1959,55.01%,
17,164,2064,70.12%,
17,164,2104,66.21%,
17,164,2531,40.06%,
17,164,2547,81.76%,
17,164,2637,45.59%,
17,164,2905,70.78%,
17,164,4570,102.54%,
17,171,2156,48.60%,
17,171,2286,99.95%,
17,171,2906,95.31%,
17,171,2915,40.54%,
17,171,2917,63.32%,
17,171,5202,91.45%,
17,171,8331,81.60%,
17,172,2583,80.67%,
17,172,2916,70.63%,
17,172,3420,95.02%,
17,172,5293,29.46%,
17,172,5295,74.41%,
17,173,2163,49.30%,
17,173,2232,125.00%,
17,173,2284,65.83%,
17,173,2585,41.18%,
17,173,2954,38.89%,
17,173,3543,125.00%,
17,173,3545,102.47%,
17,173,3546,31.65%,
17,173,3803,99.89%,
17,173,5294,97.94%,
17,173,5439,114.43%,
17,174,2003,52.94%,
17,174,2090,68.02%,
17,174,2294,93.46%,
17,174,2365,55.53%,
17,174,2368,52.32%,
17,174,2497,65.63%,
17,174,2503,28.77%,
17,174,2582,120.53%,
17,174,2604,80.06%,
17,174,3291,47.08%,
17,175,2633,55.36%,
17,175,2651,55.70%,
17,175,2825,36.77%,
17,175,3078,87.10%,
17,175,3469,39.22%,
17,175,4153,44.21%,
17,175,5201,65.73%,
17,175,5281,48.53%,
17,176,3292,105.58%,
17,176,3598,90.95%,
17,176,3912,75.81%,
17,176,5111,68.22%,
17,176,5178,24.47%,
17,176,5447,54.75%,
17,176,5867,17.75%,
17,190,1781,91.03%,
17,190,1835,54.46%,
17,190,1976,70.40%,
17,190,2120,55.38%,
17,190,2135,95.97%,
17,190,2262,78.53%,
17,190,2992,60.62%,
17,190,3221,59.26%,
17,190,5240,81.96%,
17,190,5732,103.31%,
17,226,1623,75.07%,
17,226,1884,59.96%,
17,226,1945,47.31%,
17,226,2024,54.07%,
17,226,2208,71.76%,
17,226,2480,67.18%,
17,226,2543,46.00%,
17,226,4276,46.39%,
17,577,3159,51.53%,
17,577,3443,35.97%,
17,577,3520,28.18%,
17,577,3562,13.92%,
17,577,3795,24.89%,
17,577,5077,29.42%,
17,577,5752,25.15%,
17,Region Total,,65.08%,
19,197,1790,46.64%,
19,197,2631,60.59%,
19,197,2872,30.80%,
19,197,2912,73.64%,
19,197,3336,45.27%,
19,197,3476,95.25%,
19,197,4383,99.78%,
19,197,5761,69.28%,
19,197,5842,49.13%,
19,200,1791,45.48%,
19,200,1923,125.00%,
19,200,1942,97.14%,
19,200,2102,93.98%,
19,200,2238,76.34%,
19,200,2493,90.15%,
19,200,2567,125.00%,
19,200,3328,76.73%,
19,200,3453,125.00%,
19,200,3458,93.80%,
19,200,3876,113.48%,
19,200,5386,125.00%,
19,201,1540,125.00%,
19,201,2010,59.91%,
19,201,2061,72.11%,
19,201,2062,90.24%,
19,201,2678,111.94%,
19,201,3436,118.19%,
19,201,4439,83.54%,
19,201,5064,72.46%,
19,201,5065,105.34%,
19,201,5280,124.30%,
19,202,1593,101.90%,
19,202,1642,87.76%,
19,202,1771,79.13%,
19,202,1809,76.64%,
19,202,1836,73.71%,
19,202,2080,104.83%,
19,202,2620,45.67%,
19,202,3791,63.06%,
19,202,5160,117.78%,
19,202,5411,39.25%,
19,202,5472,66.88%,
19,203,1423,91.29%,
19,203,1733,58.46%,
19,203,1754,61.10%,
19,203,2618,125.00%,
19,203,2700,81.84%,
19,203,2866,45.40%,
19,203,2867,108.69%,
19,203,2869,125.00%,
19,203,4540,49.85%,
19,203,5048,65.99%,
19,203,5893,57.27%,
19,204,1422,72.62%,
19,204,1428,69.81%,
19,204,1432,87.27%,
19,204,1719,117.45%,
19,204,1752,70.22%,
19,204,2014,38.71%,
19,204,2619,84.98%,
19,204,2644,124.12%,
19,204,5097,62.19%,
19,204,5159,68.65%,
19,204,5376,68.40%,
19,205,1592,67.47%,
19,205,1611,55.27%,
19,205,1798,78.83%,
19,205,1928,75.08%,
19,205,1987,55.49%,
19,205,2273,40.57%,
19,205,2354,125.00%,
19,205,2693,39.16%,
19,205,3632,60.21%,
19,205,3726,93.75%,
19,205,4243,55.52%,
19,206,2558,34.00%,
19,206,2559,107.51%,
19,206,2692,63.03%,
19,206,2873,125.00%,
19,206,2959,97.84%,
19,206,3487,90.89%,
19,206,4424,99.81%,
19,206,4660,42.90%,
19,206,5844,84.39%,
19,207,1416,113.86%,
19,207,1913,101.73%,
19,207,2191,112.47%,
19,207,2350,60.33%,
19,207,3445,96.74%,
19,207,4479,79.48%,
19,207,5028,85.67%,
19,207,5029,44.91%,
19,207,5030,125.00%,
19,207,5385,96.09%,
19,213,1429,79.36%,
19,213,1445,68.52%,
19,213,1448,91.85%,
19,213,1539,76.73%,
19,213,1622,67.71%,
19,213,1628,60.10%,
19,213,1986,80.25%,
19,213,2613,29.65%,
19,213,3809,90.78%,
19,213,5309,91.83%,
19,213,5471,76.04%,
19,238,1479,40.03%,
19,238,1487,80.33%,
19,238,1576,57.03%,
19,238,1618,82.62%,
19,238,2276,50.27%,
19,238,2544,51.39%,
19,238,2817,111.28%,
19,238,2818,96.59%,
19,238,4631,60.86%,
19,Region Total,,80.37%,
20,208,1707,68.54%,
20,208,2063,62.90%,
20,208,2197,91.57%,
20,208,2211,66.53%,
20,208,2506,113.38%,
20,208,2541,92.74%,
20,208,2910,90.35%,
20,208,3722,89.48%,
20,208,3860,87.22%,
20,209,1857,34.43%,
20,209,1863,107.39%,
20,209,1927,125.00%,
20,209,2313,63.18%,
20,209,2359,89.62%,
20,209,2362,111.94%,
20,209,3250,125.00%,
20,209,3293,78.06%,
20,209,3608,125.00%,
20,209,5387,53.36%,
20,214,1839,90.14%,
20,214,2073,122.17%,
20,214,2266,61.51%,
20,214,2316,117.37%,
20,214,4255,86.40%,
20,214,4285,125.00%,
20,214,5066,109.52%,
20,214,5082,65.69%,
20,215,1812,125.00%,
20,215,1894,116.85%,
20,215,1895,125.00%,
20,215,1911,112.61%,
20,215,2323,72.50%,
20,215,2361,73.10%,
20,215,2914,75.12%,
20,215,2966,111.86%,
20,215,5285,99.98%,
20,215,5410,105.26%,
20,216,1724,80.13%,
20,216,1782,58.39%,
20,216,1937,84.22%,
20,216,2078,90.36%,
20,216,2115,125.00%,
20,216,2149,64.41%,
20,216,2209,114.05%,
20,216,2684,46.40%,
20,216,2823,77.65%,
20,216,2852,51.77%,
20,216,3262,89.75%,
20,216,3581,86.95%,
20,227,1948,117.22%,
20,227,2193,63.00%,
20,227,2300,58.51%,
20,227,2588,44.87%,
20,227,3738,84.02%,
20,227,3838,89.43%,
20,227,4644,95.80%,
20,227,5040,94.61%,
20,227,5381,69.21%,
20,229,1568,68.24%,
20,229,1770,125.00%,
20,229,1820,56.43%,
20,229,1883,98.39%,
20,229,1885,121.36%,
20,229,2008,71.76%,
20,229,2287,74.06%,
20,229,2540,55.07%,
20,229,2603,80.94%,
20,229,3223,83.55%,
20,229,4643,83.39%,
20,235,1739,91.38%,
20,235,2019,105.07%,
20,235,2199,108.96%,
20,235,2281,116.68%,
20,235,2420,49.46%,
20,235,2611,70.71%,
20,235,4501,40.24%,
20,235,5088,90.39%,
20,235,5379,28.59%,
20,235,5446,81.53%,
20,258,545,9.03%,
20,258,552,18.64%,
20,258,696,29.20%,
20,258,739,49.18%,
20,258,1113,100.40%,
20,258,1189,41.34%,
20,258,1233,56.47%,
20,258,1247,84.20%,
20,258,1259,68.32%,
20,258,1505,54.08%,
20,258,1743,26.67%,
20,311,154,115.49%,
20,311,1023,81.03%,
20,311,1302,84.92%,
20,311,1336,45.94%,
20,311,1763,68.22%,
20,311,2089,77.83%,
20,311,2761,63.43%,
20,311,3270,103.59%,
20,311,3303,44.60%,
20,311,3480,28.58%,
20,311,3772,75.88%,
20,316,1450,39.69%,
20,316,2244,106.20%,
20,316,2548,73.99%,
20,316,2576,98.10%,
20,316,2610,112.25%,
20,316,2792,32.46%,
20,316,2810,57.10%,
20,316,2849,53.08%,
20,316,4277,57.02%,
20,316,5296,83.22%,
20,317,1351,100.53%,
20,317,1360,93.80%,
20,317,1477,63.27%,
20,317,1499,91.47%,
20,317,2036,109.04%,
20,317,2646,76.19%,
20,317,2662,97.89%,
20,317,2933,67.35%,
20,317,4278,79.10%,
20,317,5319,119.53%,
20,317,6951,41.34%,
20,Region Total,,80.63%,
21,217,1239,72.65%,
21,217,1595,58.80%,
21,217,1990,36.84%,
21,217,2426,69.35%,
21,217,2471,61.34%,
21,217,2725,60.76%,
21,217,2774,46.64%,
21,217,3812,87.03%,
21,217,5185,95.91%,
21,217,5203,75.87%,
21,218,1368,118.00%,
21,218,1427,92.07%,
21,218,1519,102.31%,
21,218,1564,74.81%,
21,218,2400,94.00%,
21,218,2572,70.17%,
21,218,2605,40.75%,
21,218,3251,55.12%,
21,218,3282,30.96%,
21,218,3486,62.07%,
21,218,3515,70.51%,
21,219,1594,58.83%,
21,219,2098,91.45%,
21,219,2726,55.57%,
21,219,3447,79.50%,
21,219,3580,79.32%,
21,219,3792,88.56%,
21,219,5184,50.88%,
21,219,5466,103.47%,
21,219,5857,77.09%,
21,221,1289,58.03%,
21,221,1407,55.49%,
21,221,1441,62.09%,
21,221,1443,97.68%,
21,221,2250,60.86%,
21,221,2309,87.62%,
21,221,3502,74.92%,
21,221,3571,69.18%,
21,221,3749,80.13%,
21,221,3784,79.94%,
21,221,5499,21.70%,
21,222,1264,125.00%,
21,222,1330,110.16%,
21,222,1333,75.01%,
21,222,1433,116.91%,
21,222,1718,70.16%,
21,222,1750,87.57%,
21,222,2542,68.19%,
21,222,3206,102.44%,
21,222,3300,84.94%,
21,222,3840,94.08%,
21,222,5355,82.74%,
21,223,1410,34.97%,
21,223,1463,74.38%,
21,223,1495,102.18%,
21,223,1503,65.75%,
21,223,1504,88.43%,
21,223,2124,113.60%,
21,223,2429,62.32%,
21,223,3641,79.91%,
21,223,3783,125.00%,
21,223,5104,106.81%,
21,223,5409,78.62%,
21,225,1510,121.90%,
21,225,1521,96.30%,
21,225,1961,68.55%,
21,225,2275,48.39%,
21,225,2441,55.60%,
21,225,2447,40.43%,
21,225,2967,82.56%,
21,225,3342,99.16%,
21,225,4609,66.99%,
21,239,1331,73.17%,
21,239,1480,48.98%,
21,239,1665,102.02%,
21,239,1729,68.02%,
21,239,1745,46.68%,
21,239,1758,63.16%,
21,239,2035,41.45%,
21,239,2388,68.32%,
21,239,3747,65.88%,
21,239,3765,76.40%,
21,239,5374,96.23%,
21,246,854,60.05%,
21,246,1329,63.43%,
21,246,1547,110.42%,
21,246,1728,69.21%,
21,246,1962,94.05%,
21,246,2020,88.25%,
21,246,2339,88.35%,
21,246,2771,91.12%,
21,246,3851,79.76%,
21,247,1294,83.48%,
21,247,1304,125.00%,
21,247,1378,125.00%,
21,247,1425,92.83%,
21,247,1566,62.23%,
21,247,1639,89.88%,
21,247,1667,96.24%,
21,247,1978,96.16%,
21,247,2311,80.45%,
21,247,2679,110.99%,
21,247,4399,72.79%,
21,248,1388,94.46%,
21,248,1419,98.02%,
21,248,1570,111.79%,
21,248,1647,40.80%,
21,248,1709,92.69%,
21,248,1804,86.34%,
21,248,2819,82.19%,
21,248,4230,125.00%,
21,248,4231,55.54%,
21,248,5025,82.64%,
21,259,493,73.78%,
21,259,591,119.05%,
21,259,693,20.00%,
21,259,702,120.58%,
21,259,1139,69.83%,
21,259,1140,85.81%,
21,259,1426,125.00%,
21,259,1478,114.71%,
21,259,1569,47.83%,
21,259,2638,59.21%,
21,259,4461,103.97%,
21,Region Total,,79.65%,
22,165,1742,78.00%,
22,165,2108,45.50%,
22,165,2109,31.86%,
22,165,2254,68.15%,
22,165,3212,114.12%,
22,165,3337,74.10%,
22,165,3339,51.62%,
22,165,3774,61.86%,
22,165,5384,48.31%,
22,165,5476,88.34%,
22,166,2141,76.28%,
22,166,2830,55.48%,
22,166,3252,48.57%,
22,166,5103,61.05%,
22,166,5229,32.73%,
22,166,5495,111.49%,
22,166,5881,43.15%,
22,166,5891,41.67%,
22,167,2167,95.85%,
22,167,2236,61.92%,
22,167,2263,61.49%,
22,167,2945,61.81%,
22,167,3475,51.27%,
22,167,3501,64.49%,
22,167,3541,29.67%,
22,167,4687,125.00%,
22,167,5239,69.83%,
22,168,1670,41.22%,
22,168,1777,67.07%,
22,168,2145,52.50%,
22,168,2252,54.55%,
22,168,2614,125.00%,
22,168,2641,77.43%,
22,168,3563,20.48%,
22,168,3810,78.06%,
22,168,4612,75.47%,
22,170,2068,54.67%,
22,170,2096,74.30%,
22,170,2445,97.06%,
22,170,2446,54.41%,
22,170,2650,92.71%,
22,170,3564,120.27%,
22,170,5130,66.54%,
22,170,5131,66.63%,
22,170,5649,73.11%,
22,178,1844,89.91%,
22,178,1921,29.88%,
22,178,1977,100.95%,
22,178,2195,83.55%,
22,178,2518,69.19%,
22,178,3236,93.12%,
22,178,3266,24.21%,
22,178,3830,59.30%,
22,178,5012,76.12%,
22,178,5142,67.42%,
22,178,5414,42.43%,
22,232,1644,63.11%,
22,232,1794,96.85%,
22,232,1887,94.11%,
22,232,2169,63.22%,
22,232,2185,83.29%,
22,232,2255,56.12%,
22,232,2481,80.68%,
22,232,2528,28.07%,
22,232,2535,106.91%,
22,232,3412,110.23%,
22,232,3634,87.12%,
22,233,1529,83.22%,
22,233,2023,48.30%,
22,233,2205,125.00%,
22,233,2334,65.72%,
22,233,2340,62.20%,
22,233,2519,112.66%,
22,233,2888,84.27%,
22,233,4404,91.35%,
22,233,5200,44.60%,
22,234,1537,50.60%,
22,234,1591,125.00%,
22,234,1823,86.74%,
22,234,1850,65.24%,
22,234,1886,116.89%,
22,234,2574,67.49%,
22,234,3633,76.86%,
22,234,5358,56.24%,
22,234,5469,36.02%,
22,234,5888,125.00%,
22,237,1607,59.59%,
22,237,1640,100.69%,
22,237,1684,102.33%,
22,237,1769,70.10%,
22,237,1792,86.79%,
22,237,2049,76.44%,
22,237,2129,37.58%,
22,237,2230,90.78%,
22,237,4348,68.81%,
22,237,5470,79.72%,
22,284,1736,72.05%,
22,284,1741,71.97%,
22,284,1860,98.02%,
22,284,2041,72.34%,
22,284,2555,117.75%,
22,284,3802,85.07%,
22,284,5039,69.25%,
22,284,5436,125.00%,
22,284,5795,95.92%,
22,285,1715,80.00%,
22,285,1890,87.40%,
22,285,2272,68.53%,
22,285,2419,125.00%,
22,285,2460,42.13%,
22,285,2514,47.35%,
22,285,2560,59.64%,
22,285,2791,102.76%,
22,285,2931,107.21%,
22,285,3843,71.77%,
22,285,4378,23.21%,
22,558,1807,73.85%,
22,558,1869,48.62%,
22,558,2040,67.17%,
22,558,2841,43.83%,
22,558,2871,52.58%,
22,558,3422,63.82%,
22,558,4456,60.07%,
22,558,5047,58.40%,
22,558,5340,100.73%,
22,558,5944,78.72%,
22,Region Total,,73.15%,
25,262,844,95.39%,
25,262,852,64.35%,
25,262,1003,31.36%,
25,262,1307,73.05%,
25,262,1386,87.23%,
25,262,1548,31.94%,
25,262,4323,82.49%,
25,262,4699,67.42%,
25,264,786,85.56%,
25,264,1420,35.36%,
25,264,1553,46.84%,
25,264,1814,50.22%,
25,264,1848,91.46%,
25,264,1898,39.18%,
25,264,4405,19.00%,
25,264,5352,59.13%,
25,264,5442,94.40%,
25,265,1401,82.13%,
25,265,1596,33.51%,
25,265,1779,76.02%,
25,265,2215,70.53%,
25,265,3400,68.81%,
25,265,3790,44.13%,
25,265,4286,86.25%,
25,265,4531,45.74%,
25,266,1256,68.94%,
25,266,1497,69.91%,
25,266,1556,83.53%,
25,266,2956,82.24%,
25,266,3601,112.47%,
25,266,4049,81.25%,
25,266,4529,86.71%,
25,266,5486,86.19%,
25,267,1933,38.20%,
25,267,1998,49.57%,
25,267,2204,45.92%,
25,267,2816,47.37%,
25,267,3725,48.63%,
25,267,5402,82.76%,
25,267,5617,50.05%,
25,267,5965,68.27%,
25,268,1681,50.10%,
25,268,1737,123.66%,
25,268,1892,75.81%,
25,268,1897,64.12%,
25,268,1938,54.61%,
25,268,2815,36.80%,
25,268,3004,80.77%,
25,268,5485,67.30%,
25,269,1228,48.10%,
25,269,1404,44.98%,
25,269,1489,33.74%,
25,269,1668,39.25%,
25,269,1735,26.56%,
25,269,3891,61.67%,
25,269,3893,42.37%,
25,269,5199,69.77%,
25,269,5276,25.01%,
25,270,1211,89.96%,
25,270,1377,64.68%,
25,270,1413,93.41%,
25,270,1531,47.78%,
25,270,3434,64.15%,
25,270,3597,68.07%,
25,270,4641,65.13%,
25,270,5060,55.70%,
25,272,198,78.74%,
25,272,213,71.09%,
25,272,224,122.96%,
25,272,317,82.68%,
25,272,435,74.95%,
25,272,436,94.11%,
25,272,454,82.90%,
25,272,506,52.06%,
25,272,936,125.00%,
25,272,1395,33.40%,
25,272,4259,35.76%,
25,273,254,67.24%,
25,273,422,51.78%,
25,273,481,125.00%,
25,273,550,59.41%,
25,273,612,113.80%,
25,273,798,82.15%,
25,273,1093,37.40%,
25,273,1734,125.00%,
25,273,2491,125.00%,
25,273,2934,114.12%,
25,273,3255,125.00%,
25,273,5403,123.67%,
25,275,200,97.60%,
25,275,334,95.64%,
25,275,343,67.26%,
25,275,480,91.45%,
25,275,609,105.51%,
25,275,1451,78.51%,
25,275,1454,68.98%,
25,275,1602,125.00%,
25,275,1690,123.11%,
25,275,2728,116.53%,
25,275,3210,94.72%,
25,275,3602,87.17%,
25,278,197,84.95%,
25,278,199,105.71%,
25,278,603,109.08%,
25,278,1028,125.00%,
25,278,1125,114.01%,
25,278,1323,112.71%,
25,278,1421,81.09%,
25,278,1713,68.07%,
25,278,3459,106.74%,
25,278,3460,125.00%,
25,278,5157,82.74%,
25,279,633,53.86%,
25,279,636,47.66%,
25,279,775,89.41%,
25,279,792,65.16%,
25,279,796,57.00%,
25,279,830,30.35%,
25,279,891,53.59%,
25,279,957,24.36%,
25,279,2231,80.54%,
25,279,4511,80.66%,
25,279,5399,74.94%,
25,Region Total,,73.86%,
26,296,1191,55.69%,
26,296,1287,74.48%,
26,296,1288,53.16%,
26,296,1579,85.25%,
26,296,2137,125.00%,
26,296,2256,69.46%,
26,296,2845,30.96%,
26,296,3182,125.00%,
26,296,3612,106.72%,
26,296,5346,125.00%,
26,297,1614,125.00%,
26,297,1751,73.20%,
26,297,1816,51.37%,
26,297,1953,48.92%,
26,297,2058,125.00%,
26,297,4250,125.00%,
26,297,4484,109.14%,
26,297,5118,125.00%,
26,297,5254,125.00%,
26,297,5292,93.39%,
26,298,1132,45.94%,
26,298,1498,105.73%,
26,298,1558,94.35%,
26,298,1842,76.02%,
26,298,2704,22.96%,
26,298,3304,71.13%,
26,298,3305,82.22%,
26,298,3658,66.23%,
26,298,5320,68.17%,
26,299,1237,125.00%,
26,299,1321,52.80%,
26,299,1372,80.09%,
26,299,1664,118.10%,
26,299,2247,113.90%,
26,299,2836,94.09%,
26,299,3889,66.62%,
26,299,4458,83.29%,
26,299,4499,97.01%,
26,299,4564,55.30%,
26,299,5046,90.02%,
26,299,5743,69.52%,
26,301,1197,68.53%,
26,301,1354,54.10%,
26,301,1379,45.71%,
26,301,1502,90.31%,
26,301,1527,60.66%,
26,301,1641,51.30%,
26,301,1950,107.73%,
26,301,2000,52.68%,
26,301,2730,44.46%,
