Store,OP Model Tier,Fashion Coach,Coach Movement ,Approved TL Headcount,RFID Tracking ,Link to Tracking
1752,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881052697848,FedEx Tracking
1754,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1768,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1769,2,YES,Hire,4,#N/A,FedEx Tracking
1770,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1771,3,NO,N/A,4,#N/A,FedEx Tracking
1777,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881052771575,FedEx Tracking
1780,2,YES,Hire,4,#N/A,FedEx Tracking
1783,2,YES,Hire,4,#N/A,FedEx Tracking
1790,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1791,3,NO,N/A,3,#N/A,FedEx Tracking
1792,3,NO,N/A,4,#N/A,FedEx Tracking
1794,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1798,3,NO,N/A,4,#N/A,FedEx Tracking
1800,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881052839439,FedEx Tracking
1801,1,YES,Hire,4,#N/A,FedEx Tracking
1803,2,YES,Hire,4,#N/A,FedEx Tracking
1805,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1807,2,YES,Hire,4,#N/A,FedEx Tracking
1808,3,NO,N/A,4,#N/A,FedEx Tracking
1809,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1820,3,NO,N/A,4,#N/A,FedEx Tracking
1823,2,YES,Hire,4,#N/A,FedEx Tracking
1827,3,NO,N/A,3,#N/A,FedEx Tracking
1832,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1836,2,YES,Hire,4,#N/A,FedEx Tracking
1837,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1842,1,YES,Hire,4,#N/A,FedEx Tracking
1844,2,YES,Hire,4,#N/A,FedEx Tracking
1845,2,YES,Hire,4,#N/A,FedEx Tracking
1850,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1851,2,YES,Hire,4,#N/A,FedEx Tracking
1859,1,YES,Hire,4,#N/A,FedEx Tracking
1860,1,YES,Hire,4,#N/A,FedEx Tracking
1869,2,YES,Hire,4,#N/A,FedEx Tracking
1871,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1874,3,NO,N/A,4,#N/A,FedEx Tracking
1883,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1885,2,YES,Hire,4,#N/A,FedEx Tracking
1886,1,YES,Hire,4,#N/A,FedEx Tracking
1887,2,YES,Hire,4,#N/A,FedEx Tracking
1888,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1890,2,YES,Hire,4,#N/A,FedEx Tracking
1896,2,YES,Hire,4,#N/A,FedEx Tracking
1908,2,YES,Hire,4,#N/A,FedEx Tracking
1913,2,YES,Hire,4,#N/A,FedEx Tracking
1915,2,YES,Hire,4,#N/A,FedEx Tracking
1916,2,YES,Hire,4,#N/A,FedEx Tracking
1921,2,YES,Hire,4,#N/A,FedEx Tracking
1923,2,YES,Hire,4,#N/A,FedEx Tracking
1928,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1931,2,YES,Hire,4,#N/A,FedEx Tracking
1942,2,YES,Hire,4,#N/A,FedEx Tracking
1946,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1957,N/A,N/A,N/A,N/A,TBD,FedEx Tracking
1958,1,YES,Hire,4,#N/A,FedEx Tracking
1965,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1977,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1986,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1987,2,YES,Hire,4,#N/A,FedEx Tracking
1994,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1996,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2002,1,YES,Hire,4,#N/A,FedEx Tracking
2008,3,NO,N/A,3,#N/A,FedEx Tracking
2010,2,YES,Hire,4,#N/A,FedEx Tracking
2014,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881052904850,FedEx Tracking
2023,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2027,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2040,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2041,2,YES,Hire,4,#N/A,FedEx Tracking
2049,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2061,3,NO,N/A,4,#N/A,FedEx Tracking
2062,2,YES,Hire,4,#N/A,FedEx Tracking
2066,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2068,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2080,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2083,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2086,2,YES,Hire,4,https://www.fedex.com/wtrk/track/?tracknumbers=881053197612,FedEx Tracking
2091,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053257427,FedEx Tracking
2092,3,NO,N/A,3,#N/A,FedEx Tracking
2096,3,NO,N/A,3,#N/A,FedEx Tracking
2102,3,NO,N/A,4,#N/A,FedEx Tracking
2105,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053325089,FedEx Tracking
2108,2,YES,Hire,4,#N/A,FedEx Tracking
2109,2,YES,Hire,4,#N/A,FedEx Tracking
2113,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2116,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2117,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2125,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2127,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2129,3,NO,N/A,4,#N/A,FedEx Tracking
2141,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2145,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053417120,FedEx Tracking
2151,1,YES,Hire,4,#N/A,FedEx Tracking
2167,2,YES,Hire,4,#N/A,FedEx Tracking
2169,1,YES,Hire,4,#N/A,FedEx Tracking
2176,2,YES,Hire,4,#N/A,FedEx Tracking
2181,1,YES,Hire,4,#N/A,FedEx Tracking
2185,2,YES,Hire,4,#N/A,FedEx Tracking
2191,3,NO,N/A,4,#N/A,FedEx Tracking
2195,2,YES,Hire,4,#N/A,FedEx Tracking
2205,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2207,3,NO,N/A,3,#N/A,FedEx Tracking
2223,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2230,2,YES,Hire,4,#N/A,FedEx Tracking
2236,3,NO,N/A,3,#N/A,FedEx Tracking
2237,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2238,2,YES,Hire,4,#N/A,FedEx Tracking
2251,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2252,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053460223,FedEx Tracking
2254,3,NO,N/A,3,#N/A,FedEx Tracking
2255,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2257,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2263,3,NO,N/A,4,#N/A,FedEx Tracking
2271,2,YES,Hire,4,#N/A,FedEx Tracking
2272,3,NO,N/A,4,#N/A,FedEx Tracking
2273,2,YES,Hire,4,#N/A,FedEx Tracking
2276,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2280,1,YES,Hire,4,#N/A,FedEx Tracking
2287,2,YES,Hire,4,#N/A,FedEx Tracking
2292,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2293,3,NO,N/A,3,#N/A,FedEx Tracking
2307,2,YES,Hire,4,#N/A,FedEx Tracking
2334,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2340,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2350,2,YES,Hire,4,#N/A,FedEx Tracking
2354,2,YES,Hire,4,#N/A,FedEx Tracking
2385,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2401,1,YES,Hire,4,#N/A,FedEx Tracking
2403,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2404,1,YES,Hire,4,#N/A,FedEx Tracking
2419,2,YES,Hire,4,#N/A,FedEx Tracking
2424,3,NO,N/A,3,#N/A,FedEx Tracking
2427,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053547023,FedEx Tracking
2439,2,YES,Hire,4,#N/A,FedEx Tracking
2445,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2446,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2458,2,YES,Hire,4,#N/A,FedEx Tracking
2459,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2460,2,YES,Hire,4,#N/A,FedEx Tracking
2463,3,NO,N/A,4,#N/A,FedEx Tracking
2474,3,NO,N/A,4,#N/A,FedEx Tracking
2481,2,YES,Hire,4,#N/A,FedEx Tracking
2484,2,YES,Hire,4,#N/A,FedEx Tracking
2493,2,YES,Hire,4,#N/A,FedEx Tracking
2505,2,YES,Hire,4,#N/A,FedEx Tracking
2510,3,NO,N/A,4,#N/A,FedEx Tracking
2511,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2514,3,NO,N/A,4,#N/A,FedEx Tracking
2515,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2516,1,YES,Hire,4,#N/A,FedEx Tracking
2518,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2519,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2528,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2535,2,YES,Hire,4,#N/A,FedEx Tracking
2540,3,NO,N/A,4,#N/A,FedEx Tracking
2542,3,NO,N/A,2,#N/A,FedEx Tracking
2544,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2555,2,YES,Hire,4,#N/A,FedEx Tracking
2558,2,YES,Hire,4,#N/A,FedEx Tracking
2559,1,YES,Hire,4,#N/A,FedEx Tracking
2560,1,YES,Hire,4,#N/A,FedEx Tracking
2563,3,NO,N/A,3,#N/A,FedEx Tracking
2565,3,NO,N/A,4,#N/A,FedEx Tracking
2567,2,YES,Hire,4,#N/A,FedEx Tracking
2571,2,YES,Hire,4,#N/A,FedEx Tracking
2574,2,YES,Hire,4,#N/A,FedEx Tracking
2575,3,NO,N/A,4,#N/A,FedEx Tracking
2580,2,YES,Hire,4,#N/A,FedEx Tracking
2587,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2591,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2603,3,NO,N/A,3,#N/A,FedEx Tracking
2613,3,NO,N/A,3,#N/A,FedEx Tracking
2614,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053601322,FedEx Tracking
2618,2,YES,Hire,4,#N/A,FedEx Tracking
2619,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053654999,FedEx Tracking
2620,3,NO,N/A,4,#N/A,FedEx Tracking
2631,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2641,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053703751,FedEx Tracking
2644,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053776518,FedEx Tracking
2649,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2650,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2667,1,YES,Hire,4,#N/A,FedEx Tracking
2672,3,NO,N/A,3,#N/A,FedEx Tracking
2678,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2688,2,YES,Hire,4,#N/A,FedEx Tracking
2692,1,YES,Hire,4,#N/A,FedEx Tracking
2693,2,YES,Hire,4,#N/A,FedEx Tracking
2696,3,NO,N/A,3,#N/A,FedEx Tracking
2700,2,YES,Hire,4,#N/A,FedEx Tracking
2704,3,NO,N/A,4,#N/A,FedEx Tracking
2714,3,NO,N/A,4,#N/A,FedEx Tracking
2718,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2724,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053835370,FedEx Tracking
2727,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053883442,FedEx Tracking
2729,2,YES,Hire,4,#N/A,FedEx Tracking
2751,2,YES,Hire,4,#N/A,FedEx Tracking
2752,2,YES,Hire,4,#N/A,FedEx Tracking
2757,2,YES,Hire,4,#N/A,FedEx Tracking
2763,1,YES,Hire,4,#N/A,FedEx Tracking
2765,3,NO,N/A,3,#N/A,FedEx Tracking
2769,2,YES,Hire,4,#N/A,FedEx Tracking
2772,3,NO,N/A,4,#N/A,FedEx Tracking
2789,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2791,2,YES,Hire,4,#N/A,FedEx Tracking
2807,3,NO,N/A,4,#N/A,FedEx Tracking
2809,3,NO,N/A,4,#N/A,FedEx Tracking
2813,2,YES,Hire,4,#N/A,FedEx Tracking
2814,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054051007,FedEx Tracking
2817,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2818,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2830,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2833,3,NO,N/A,3,#N/A,FedEx Tracking
2834,2,YES,Hire,4,https://www.fedex.com/wtrk/track/?tracknumbers=881054099733,FedEx Tracking
2841,2,YES,Hire,4,#N/A,FedEx Tracking
2847,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2866,3,NO,N/A,3,#N/A,FedEx Tracking
2867,2,YES,Hire,4,#N/A,FedEx Tracking
2869,1,YES,Hire,4,#N/A,FedEx Tracking
2871,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2872,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2873,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2881,1,YES,Hire,4,#N/A,FedEx Tracking
2883,2,YES,Move Existing Coach,4,https://www.fedex.com/wtrk/track/?tracknumbers=881054201350,FedEx Tracking
2886,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2888,2,YES,Hire,4,#N/A,FedEx Tracking
2892,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054295104,FedEx Tracking
2894,3,NO,N/A,4,#N/A,FedEx Tracking
2912,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2918,3,NO,N/A,4,#N/A,FedEx Tracking
2921,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2926,3,NO,N/A,3,#N/A,FedEx Tracking
2931,2,YES,Hire,4,#N/A,FedEx Tracking
2938,2,YES,Hire,4,#N/A,FedEx Tracking
2945,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2946,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2948,2,YES,Hire,4,#N/A,FedEx Tracking
2959,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2962,1,YES,Hire,4,#N/A,FedEx Tracking
2963,2,YES,Hire,4,#N/A,FedEx Tracking
2973,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2978,2,YES,Hire,4,#N/A,FedEx Tracking
2980,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2987,1,YES,Hire,4,#N/A,FedEx Tracking
2993,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2996,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054368526,FedEx Tracking
3014,2,YES,Hire,4,https://www.fedex.com/wtrk/track/?tracknumbers=881054422001,FedEx Tracking
3018,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3044,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3150,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3151,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3159,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3163,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3177,3,NO,N/A,3,#N/A,FedEx Tracking
3206,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3208,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3212,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3215,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3223,2,YES,Hire,4,#N/A,FedEx Tracking
3224,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054473080,FedEx Tracking
3225,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054520571,FedEx Tracking
3226,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3227,3,NO,N/A,4,#N/A,FedEx Tracking
3230,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3231,3,NO,N/A,3,https://www.fedex.com/wtrk/track/?tracknumbers=881054567981,FedEx Tracking
3232,1,YES,Hire,4,#N/A,FedEx Tracking
3235,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3236,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3252,2,YES,Hire,4,#N/A,FedEx Tracking
3266,2,YES,Hire,4,#N/A,FedEx Tracking
3267,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3268,3,NO,N/A,4,#N/A,FedEx Tracking
3274,2,YES,Hire,4,#N/A,FedEx Tracking
3284,2,YES,Hire,4,#N/A,FedEx Tracking
3285,2,YES,Move Existing Coach,4,https://www.fedex.com/wtrk/track/?tracknumbers=881054658177,FedEx Tracking
3286,3,NO,N/A,4,https://www.fedex.com/wtrk/track/?tracknumbers=881054707043,FedEx Tracking
3295,3,NO,N/A,4,#N/A,FedEx Tracking
3296,2,YES,Hire,4,#N/A,FedEx Tracking
3297,1,YES,Hire,4,#N/A,FedEx Tracking
3298,2,YES,Hire,4,#N/A,FedEx Tracking
3300,3,NO,N/A,4,#N/A,FedEx Tracking
3302,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3304,2,YES,Hire,4,#N/A,FedEx Tracking
3305,3,NO,N/A,4,#N/A,FedEx Tracking
3307,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3309,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3311,2,YES,Hire,4,#N/A,FedEx Tracking
3313,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054751977,FedEx Tracking
3320,1,YES,Hire,4,#N/A,FedEx Tracking
3328,2,YES,Hire,4,#N/A,FedEx Tracking
3329,2,YES,Hire,4,#N/A,FedEx Tracking
3331,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3334,2,YES,Hire,4,#N/A,FedEx Tracking
3336,2,YES,Hire,4,#N/A,FedEx Tracking
3337,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3339,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3347,2,YES,Hire,4,#N/A,FedEx Tracking
3348,2,YES,Hire,4,#N/A,FedEx Tracking
3349,2,YES,Hire,4,#N/A,FedEx Tracking
3366,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3370,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3382,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3387,2,YES,Hire,4,#N/A,FedEx Tracking
3391,2,YES,Hire,4,#N/A,FedEx Tracking
3397,2,YES,Hire,4,#N/A,FedEx Tracking
3403,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3406,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3412,3,NO,N/A,4,#N/A,FedEx Tracking
3417,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054799526,FedEx Tracking
3422,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3425,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054851888,FedEx Tracking
3431,2,YES,Hire,4,#N/A,FedEx Tracking
3432,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3433,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3436,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3443,1,YES,Hire,4,#N/A,FedEx Tracking
3445,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3453,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3454,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3458,3,NO,N/A,3,#N/A,FedEx Tracking
3471,2,YES,Hire,4,#N/A,FedEx Tracking
3474,2,YES,Hire,4,#N/A,FedEx Tracking
3475,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3476,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3482,2,YES,Hire,4,https://www.fedex.com/wtrk/track/?tracknumbers=881054893347,FedEx Tracking
3487,2,YES,Hire,4,#N/A,FedEx Tracking
3500,1,YES,Hire,4,#N/A,FedEx Tracking
3501,3,NO,N/A,4,#N/A,FedEx Tracking
3510,2,YES,Hire,4,#N/A,FedEx Tracking
3520,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3522,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3525,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3527,2,YES,Hire,4,#N/A,FedEx Tracking
3533,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3538,2,YES,Hire,4,#N/A,FedEx Tracking
3541,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3562,1,YES,Hire,4,#N/A,FedEx Tracking
3563,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054940633,FedEx Tracking
3564,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3566,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3567,1,YES,Hire,4,#N/A,FedEx Tracking
3568,1,YES,Hire,4,#N/A,FedEx Tracking
3572,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3582,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3584,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3589,1,YES,Hire,4,#N/A,FedEx Tracking
3590,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3611,2,YES,Hire,4,#N/A,FedEx Tracking
3620,2,YES,Hire,4,#N/A,FedEx Tracking
3625,2,YES,Hire,4,#N/A,FedEx Tracking
3631,2,YES,Hire,4,#N/A,FedEx Tracking
3632,3,NO,N/A,4,#N/A,FedEx Tracking
3633,2,YES,Hire,4,#N/A,FedEx Tracking
3634,3,NO,N/A,4,#N/A,FedEx Tracking
3640,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3643,3,NO,N/A,3,#N/A,FedEx Tracking
3658,2,YES,Hire,4,#N/A,FedEx Tracking
3702,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3726,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3748,2,YES,Hire,4,#N/A,FedEx Tracking
3764,2,YES,Hire,4,#N/A,FedEx Tracking
3773,2,YES,Move Existing Coach,4,https://www.fedex.com/wtrk/track/?tracknumbers=881054986602,FedEx Tracking
3774,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3777,2,YES,Move Existing Coach,4,https://www.fedex.com/wtrk/track/?tracknumbers=881055056347,FedEx Tracking
3782,1,YES,Hire,4,#N/A,FedEx Tracking
3789,3,NO,N/A,4,#N/A,FedEx Tracking
3791,3,NO,N/A,3,#N/A,FedEx Tracking
3794,1,YES,Hire,4,#N/A,FedEx Tracking
3795,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3802,1,YES,Hire,4,#N/A,FedEx Tracking
3805,3,NO,N/A,4,#N/A,FedEx Tracking
3809,3,NO,N/A,3,#N/A,FedEx Tracking
3810,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881055105853,FedEx Tracking
3824,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3827,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3830,3,NO,N/A,4,#N/A,FedEx Tracking
3840,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3843,2,YES,Hire,4,#N/A,FedEx Tracking
3848,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3858,3,NO,N/A,4,#N/A,FedEx Tracking
3867,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3868,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3876,3,NO,N/A,4,#N/A,FedEx Tracking
3886,1,YES,Hire,4,#N/A,FedEx Tracking
3887,2,YES,Hire,4,#N/A,FedEx Tracking
3891,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
3893,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4055,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4063,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881055160846,FedEx Tracking
4065,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4068,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4108,2,YES,Hire,4,#N/A,FedEx Tracking
4111,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4112,1,YES,Hire,4,#N/A,FedEx Tracking
4115,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4161,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881055365111,FedEx Tracking
4164,2,YES,Hire,4,#N/A,FedEx Tracking
4165,2,YES,Hire,4,https://www.fedex.com/wtrk/track/?tracknumbers=881055415109,FedEx Tracking
4168,3,NO,N/A,4,#N/A,FedEx Tracking
4183,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4194,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4208,3,NO,N/A,3,#N/A,FedEx Tracking
4215,3,NO,N/A,4,#N/A,FedEx Tracking
4216,2,YES,Hire,4,#N/A,FedEx Tracking
4232,3,NO,N/A,3,#N/A,FedEx Tracking
4240,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881055493088,FedEx Tracking
4243,1,YES,Hire,4,#N/A,FedEx Tracking
4260,2,YES,Hire,4,#N/A,FedEx Tracking
4272,2,YES,Hire,4,#N/A,FedEx Tracking
4273,1,YES,Hire,4,#N/A,FedEx Tracking
4279,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4284,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4288,2,YES,Hire,4,#N/A,FedEx Tracking
4298,1,YES,Hire,4,#N/A,FedEx Tracking
4303,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881055542263,FedEx Tracking
4332,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4335,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4348,3,NO,N/A,4,#N/A,FedEx Tracking
4358,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4365,2,YES,Hire,4,#N/A,FedEx Tracking
4372,3,NO,N/A,3,#N/A,FedEx Tracking
4377,3,NO,N/A,3,#N/A,FedEx Tracking
4378,3,NO,N/A,4,#N/A,FedEx Tracking
4383,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4403,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4404,3,NO,N/A,4,#N/A,FedEx Tracking
4416,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
4424,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
