Store Number,NSW2 CONSOLE - QTY,NSW2 MARIO KART WLD - QTY,Total Estimate: In-store Launch (QTY) ,Time Zone,Event Type
214,7,6,13,CST,Morning Event- June 5
216,10,16,26,CST,Morning Event- June 5
217,2,5,7,CST,Morning Event- June 5
218,6,5,11,CST,Morning Event- June 5
219,5,11,16,CST,Morning Event- June 5
220,3,16,19,CST,Morning Event- June 5
221,2,11,13,CST,Morning Event- June 5
222,4,5,9,CST,Morning Event- June 5
224,7,11,18,CST,Morning Event- June 5
225,3,5,8,CST,Morning Event- June 5
226,10,5,15,CST,Morning Event- June 5
227,6,5,11,CST,Morning Event- June 5
228,6,11,17,CST,Morning Event- June 5
229,3,5,8,CST,Morning Event- June 5
230,5,5,10,CST,Morning Event- June 5
231,14,16,30,CST,Morning Event- June 5
232,5,5,10,CST,Morning Event- June 5
233,8,5,13,CST,Morning Event- June 5
234,2,11,13,CST,Morning Event- June 5
236,3,5,8,CST,Morning Event- June 5
237,5,11,16,CST,Morning Event- June 5
238,7,5,12,CST,Morning Event- June 5
239,3,5,8,CST,Morning Event- June 5
240,5,5,10,CST,Morning Event- June 5
242,7,5,12,CST,Morning Event- June 5
243,5,11,16,CST,Morning Event- June 5
244,4,5,9,CST,Morning Event- June 5
246,6,5,11,CST,Morning Event- June 5
247,2,5,7,CST,Morning Event- June 5
248,7,6,13,CST,Morning Event- June 5
249,6,11,17,CST,Morning Event- June 5
250,4,5,9,CST,Morning Event- June 5
251,4,6,10,CST,Morning Event- June 5
252,6,5,11,CST,Morning Event- June 5
253,7,11,18,CST,Morning Event- June 5
254,7,5,12,CST,Morning Event- June 5
256,4,17,21,CST,Morning Event- June 5
257,6,5,11,CST,Morning Event- June 5
258,15,11,26,CST,Morning Event- June 5
259,5,11,16,CST,Morning Event- June 5
260,5,11,16,CST,Morning Event- June 5
261,7,11,18,CST,Morning Event- June 5
262,5,11,16,CST,Morning Event- June 5
264,9,17,26,CST,Morning Event- June 5
265,6,11,17,CST,Morning Event- June 5
266,12,10,22,CST,Morning Event- June 5
267,2,6,8,CST,Morning Event- June 5
268,6,6,12,CST,Morning Event- June 5
269,6,11,17,CST,Morning Event- June 5
271,4,5,9,CST,Morning Event- June 5
272,2,11,13,CST,Morning Event- June 5
273,9,10,19,CST,Morning Event- June 5
274,5,5,10,CST,Morning Event- June 5
275,11,11,22,CST,Morning Event- June 5
276,2,5,7,CST,Morning Event- June 5
277,5,11,16,CST,Morning Event- June 5
278,2,11,13,CST,Morning Event- June 5
279,3,5,8,CST,Morning Event- June 5
280,3,5,8,CST,Morning Event- June 5
281,9,5,14,CST,Morning Event- June 5
282,5,11,16,CST,Morning Event- June 5
283,6,5,11,CST,Morning Event- June 5
284,3,11,14,CST,Morning Event- June 5
285,6,11,17,CST,Morning Event- June 5
286,2,6,8,CST,Morning Event- June 5
287,12,11,23,CST,Morning Event- June 5
288,4,5,9,CST,Morning Event- June 5
289,5,5,10,CST,Morning Event- June 5
290,2,5,7,CST,Morning Event- June 5
292,6,6,12,CST,Morning Event- June 5
293,6,5,11,CST,Morning Event- June 5
294,3,6,9,CST,Morning Event- June 5
295,4,6,10,CST,Morning Event- June 5
296,6,5,11,CST,Morning Event- June 5
297,6,16,22,CST,Morning Event- June 5
298,14,11,25,CST,Morning Event- June 5
299,5,16,21,CST,Morning Event- June 5
300,4,5,9,CST,Morning Event- June 5
301,8,11,19,CST,Morning Event- June 5
302,4,5,9,CST,Morning Event- June 5
303,4,5,9,CST,Morning Event- June 5
304,7,16,23,CST,Morning Event- June 5
305,4,5,9,CST,Morning Event- June 5
306,5,11,16,CST,Morning Event- June 5
307,6,11,17,CST,Morning Event- June 5
308,7,11,18,CST,Morning Event- June 5
309,6,6,12,CST,Morning Event- June 5
310,7,5,12,CST,Morning Event- June 5
311,4,5,9,CST,Morning Event- June 5
312,3,5,8,CST,Morning Event- June 5
313,6,11,17,CST,Morning Event- June 5
314,6,6,12,CST,Morning Event- June 5
315,10,11,21,CST,Morning Event- June 5
316,7,16,23,CST,Morning Event- June 5
317,2,5,7,CST,Morning Event- June 5
318,2,5,7,CST,Morning Event- June 5
319,5,11,16,CST,Morning Event- June 5
320,5,5,10,CST,Morning Event- June 5
321,5,5,10,CST,Morning Event- June 5
322,6,11,17,CST,Morning Event- June 5
323,2,5,7,CST,Morning Event- June 5
324,4,5,9,CST,Morning Event- June 5
325,2,5,7,CST,Morning Event- June 5
326,5,5,10,CST,Morning Event- June 5
328,2,6,8,CST,Morning Event- June 5
329,6,6,12,CST,Morning Event- June 5
330,10,11,21,CST,Morning Event- June 5
331,6,11,17,CST,Morning Event- June 5
332,6,11,17,CST,Morning Event- June 5
333,4,5,9,CST,Morning Event- June 5
334,6,5,11,CST,Morning Event- June 5
335,6,11,17,CST,Morning Event- June 5
336,6,5,11,CST,Morning Event- June 5
337,3,5,8,CST,Morning Event- June 5
338,3,5,8,CST,Morning Event- June 5
339,5,5,10,CST,Morning Event- June 5
340,9,5,14,CST,Morning Event- June 5
341,5,5,10,CST,Morning Event- June 5
342,3,5,8,CST,Morning Event- June 5
343,2,6,8,CST,Morning Event- June 5
344,9,5,14,CST,Morning Event- June 5
345,11,11,22,CST,Morning Event- June 5
346,6,5,11,CST,Morning Event- June 5
347,3,5,8,CST,Morning Event- June 5
348,6,6,12,CST,Morning Event- June 5
350,6,5,11,CST,Morning Event- June 5
351,3,11,14,CST,Morning Event- June 5
352,5,5,10,CST,Morning Event- June 5
353,7,5,12,CST,Morning Event- June 5
354,4,5,9,CST,Morning Event- June 5
355,2,11,13,CST,Morning Event- June 5
356,5,6,11,CST,Morning Event- June 5
357,2,5,7,CST,Morning Event- June 5
358,4,5,9,CST,Morning Event- June 5
359,6,17,23,CST,Morning Event- June 5
360,6,5,11,CST,Morning Event- June 5
361,6,11,17,CST,Morning Event- June 5
362,4,5,9,CST,Morning Event- June 5
363,7,6,13,CST,Morning Event- June 5
364,10,5,15,CST,Morning Event- June 5
365,5,11,16,CST,Morning Event- June 5
366,3,11,14,EST,Morning Event- June 5
368,9,5,14,CST,Morning Event- June 5
369,9,5,14,CST,Morning Event- June 5
370,5,5,10,CST,Morning Event- June 5
371,5,11,16,CST,Morning Event- June 5
372,15,11,26,CST,Morning Event- June 5
373,3,5,8,CST,Morning Event- June 5
374,2,11,13,CST,Morning Event- June 5
375,5,5,10,CST,Morning Event- June 5
376,6,11,17,CST,Morning Event- June 5
378,5,5,10,CST,Morning Event- June 5
379,6,11,17,CST,Morning Event- June 5
381,8,16,24,CST,Morning Event- June 5
382,6,6,12,CST,Morning Event- June 5
383,8,11,19,CST,Morning Event- June 5
384,6,6,12,CST,Morning Event- June 5
385,5,5,10,CST,Morning Event- June 5
386,3,5,8,CST,Morning Event- June 5
387,5,5,10,CST,Morning Event- June 5
388,11,11,22,CST,Morning Event- June 5
389,3,11,14,CST,Morning Event- June 5
390,6,5,11,CST,Morning Event- June 5
391,6,6,12,CST,Morning Event- June 5
392,7,11,18,CST,Morning Event- June 5
393,6,11,17,CST,Morning Event- June 5
394,2,5,7,CST,Morning Event- June 5
395,4,18,22,CST,Morning Event- June 5
396,5,11,16,EST,Morning Event- June 5
397,3,18,21,CST,Morning Event- June 5
398,10,11,21,CST,Morning Event- June 5
399,6,16,22,CST,Morning Event- June 5
400,2,17,19,CST,Morning Event- June 5
401,2,5,7,CST,Morning Event- June 5
402,6,5,11,CST,Morning Event- June 5
403,8,5,13,CST,Morning Event- June 5
404,2,11,13,CST,Morning Event- June 5
405,7,11,18,CST,Morning Event- June 5
406,3,11,14,CST,Morning Event- June 5
407,2,17,19,CST,Morning Event- June 5
408,2,11,13,CST,Morning Event- June 5
409,2,5,7,CST,Morning Event- June 5
410,7,11,18,CST,Morning Event- June 5
411,5,5,10,CST,Morning Event- June 5
412,7,11,18,CST,Morning Event- June 5
413,7,5,12,CST,Morning Event- June 5
414,2,6,8,CST,Morning Event- June 5
415,6,5,11,CST,Morning Event- June 5
416,6,11,17,CST,Morning Event- June 5
417,9,11,20,CST,Morning Event- June 5
418,4,5,9,CST,Morning Event- June 5
419,9,5,14,CST,Morning Event- June 5
420,5,11,16,CST,Morning Event- June 5
421,5,11,16,CST,Morning Event- June 5
422,3,5,8,CST,Morning Event- June 5
423,5,16,21,CST,Morning Event- June 5
424,2,6,8,CST,Morning Event- June 5
425,5,5,10,CST,Morning Event- June 5
426,6,5,11,CST,Morning Event- June 5
427,11,11,22,CST,Morning Event- June 5
428,6,5,11,CST,Morning Event- June 5
429,5,11,16,CST,Morning Event- June 5
430,4,6,10,CST,Morning Event- June 5
431,2,11,13,CST,Morning Event- June 5
432,6,5,11,CST,Morning Event- June 5
433,6,5,11,CST,Morning Event- June 5
434,4,11,15,CST,Morning Event- June 5
435,2,6,8,CST,Morning Event- June 5
436,6,5,11,CST,Morning Event- June 5
437,6,5,11,CST,Morning Event- June 5
438,3,5,8,CST,Morning Event- June 5
440,8,5,13,CST,Morning Event- June 5
442,5,11,16,CST,Morning Event- June 5
443,2,5,7,CST,Morning Event- June 5
444,4,11,15,CST,Morning Event- June 5
445,6,11,17,CST,Morning Event- June 5
446,5,5,10,CST,Morning Event- June 5
447,16,17,33,CST,Morning Event- June 5
448,5,5,10,CST,Morning Event- June 5
449,6,6,12,CST,Morning Event- June 5
450,6,5,11,CST,Morning Event- June 5
451,4,11,15,CST,Morning Event- June 5
452,6,16,22,CST,Morning Event- June 5
453,5,5,10,CST,Morning Event- June 5
454,2,5,7,CST,Morning Event- June 5
456,2,17,19,CST,Morning Event- June 5
457,6,11,17,CST,Morning Event- June 5
458,8,6,14,CST,Morning Event- June 5
459,4,11,15,EST,Morning Event- June 5
461,12,23,35,CST,Morning Event- June 5
462,6,11,17,CST,Morning Event- June 5
463,10,11,21,CST,Morning Event- June 5
464,5,16,21,CST,Morning Event- June 5
465,9,11,20,CST,Morning Event- June 5
466,4,5,9,CST,Morning Event- June 5
467,4,11,15,CST,Morning Event- June 5
468,3,11,14,CST,Morning Event- June 5
469,4,5,9,CST,Morning Event- June 5
470,2,11,13,CST,Morning Event- June 5
471,6,5,11,CST,Morning Event- June 5
472,5,16,21,CST,Morning Event- June 5
473,5,5,10,CST,Morning Event- June 5
475,5,11,16,CST,Morning Event- June 5
476,10,5,15,CST,Morning Event- June 5
477,5,5,10,EST,Morning Event- June 5
478,5,5,10,CST,Morning Event- June 5
479,7,11,18,CST,Morning Event- June 5
480,5,5,10,CST,Morning Event- June 5
481,2,11,13,CST,Morning Event- June 5
482,6,5,11,CST,Morning Event- June 5
483,2,6,8,CST,Morning Event- June 5
484,2,11,13,CST,Morning Event- June 5
485,3,5,8,CST,Morning Event- June 5
486,6,5,11,CST,Morning Event- June 5
488,4,5,9,EST,Morning Event- June 5
489,6,5,11,CST,Morning Event- June 5
490,4,11,15,CST,Morning Event- June 5
491,5,16,21,CST,Morning Event- June 5
492,11,11,22,EST,Morning Event- June 5
493,6,5,11,EST,Morning Event- June 5
494,4,11,15,EST,Morning Event- June 5
495,7,16,23,CST,Morning Event- June 5
497,2,11,13,EST,Morning Event- June 5
498,4,5,9,CST,Morning Event- June 5
499,14,17,31,CST,Morning Event- June 5
501,10,11,21,CST,Morning Event- June 5
502,8,5,13,CST,Morning Event- June 5
503,5,5,10,CST,Morning Event- June 5
504,6,6,12,CST,Morning Event- June 5
505,8,6,14,CST,Morning Event- June 5
506,4,5,9,CST,Morning Event- June 5
507,2,5,7,EST,Morning Event- June 5
508,8,11,19,CST,Morning Event- June 5
510,2,11,13,EST,Morning Event- June 5
511,3,11,14,EST,Morning Event- June 5
513,9,11,20,CST,Morning Event- June 5
514,6,11,17,EST,Morning Event- June 5
515,10,11,21,EST,Morning Event- June 5
516,6,5,11,CST,Morning Event- June 5
517,6,11,17,CST,Morning Event- June 5
