Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
45,5,3764,UBER,Scheduled Standard Delivery,9,Executive Review,Recovering,Driver Supply Focus,202230,87.32%,95.09%,8.4,90.40%,86.80%,85.10%,87.00%
46,5,918,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,81.65%,80.65%,11.5,76.30%,88.80%,83.00%,77.00%
46,5,3828,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202230,80.39%,92.64%,9.6,81.80%,81.90%,80.30%,77.60%
48,5,371,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Store Focus,202230,80.77%,95.78%,9.9,85.00%,87.00%,76.10%,78.70%
48,5,590,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,82.99%,83.59%,19.9,86.60%,84.90%,75.10%,85.00%
49,5,471,SPARK,Scheduled Standard Delivery,28,Executive Review,Degrading,Store Focus,202230,67.03%,71.46%,18.5,68.90%,57.40%,50.60%,85.70%
49,5,896,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,59.24%,59.87%,22.3,72.30%,73.70%,49.90%,43.90%
49,5,3014,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,202230,80.97%,88.93%,9.7,92.60%,85.40%,73.30%,76.80%
49,5,3432,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,57.58%,64.88%,21.9,54.90%,61.40%,30.00%,73.20%
49,5,4503,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202230,50.59%,56.36%,25.5,51.20%,52.30%,38.50%,57.90%
49,5,5810,SPARK,Scheduled Standard Delivery,31,Executive Review,Degrading,Driver Supply Focus,202230,82.78%,96.77%,8.9,81.80%,78.80%,79.30%,90.20%
50,5,807,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,79.40%,63.23%,17,78.30%,76.50%,82.40%,80.80%
