Store Nbr,Store Name,Curr Str On Hand Qty,Curr Str On Hand Retail,Curr Str On Hand Cost
2206,"LAGUNA NIGUEL, CA EF",50 ,$897 ,$585 
2221,"SPRINGFIELD, MO",80 ,"$1,435 ",$940 
2242,"ANAHEIM, CA",79 ,"$1,417 ",$915 
2249,"CHEHALIS, WA",81 ,"$1,453 ",$945 
2251,"CITY OF INDUSTRY, CA",82 ,"$1,471 ",$954 
2252,"EASTON, PA",53 ,$951 ,$613 
2266,"CLEVELAND, OH",52 ,$933 ,$607 
2272,"CAMBRIDGE, MD",58 ,"$1,041 ",$675 
2276,"LA PORTE, IN",66 ,"$1,184 ",$779 
2313,"STREETSBORO, OH",78 ,"$1,399 ",$909 
2316,"NORTH OLMSTED, OH",50 ,$877 ,$589 
2321,"KAILUA KONA, HI",86 ,"$1,543 ","$1,005 "
2323,"STOW, OH",64 ,"$1,148 ",$742 
2325,"PORT ORCHARD, WA",69 ,"$1,238 ",$812 
2419,"REHOBOTH BEACH, DE",47 ,$833 ,$552 
2423,CAROLINA (RACETRACK) PR,80 ,"$1,405 ",$941 
2429,"SPRINGFIELD, OH",49 ,$879 ,$576 
2432,LINCOLN 27TH & GRAINGER N,74 ,"$1,328 ",$865 
2435,"DUNDALK, MD",32 ,$574 ,$379 
2443,SIOUX FALLS S SD,74 ,"$1,328 ",$863 
2446,"QUAKERTOWN, PA",99 ,"$1,776 ","$1,161 "
2452,"MILWAUKEE, WI",38 ,$682 ,$448 
2458,"SALINAS, CA",60 ,"$1,076 ",$705 
2460,"SEAFORD,DE",52 ,$933 ,$602 
2475,"CONYERS, GA",58 ,"$1,025 ",$677 
2483,LAS VEGAS BLUE DIAMOND NV,67 ,"$1,202 ",$785 
2497,"PHILLIPSBURG, NJ",57 ,"$1,023 ",$666 
2505,"MISSOURI CITY, TX",52 ,$933 ,$605 
2509,"CHILTON, WI",68 ,"$1,220 ",$789 
2511,"AMERICAN FORK, UT",73 ,"$1,300 ",$856 
2513,"DAHLONEGA, GA",61 ,"$1,078 ",$715 
2516,"RENTON, WA",73 ,"$1,310 ",$842 
2517,"SANTA ANA, CA",79 ,"$1,417 ",$922 
2520,"FREDERICKSBURG (E), VA",63 ,"$1,130 ",$732 
2526,"PORTER RANCH, CA",71 ,"$1,244 ",$826 
2532,"BELOIT, WI",79 ,"$1,417 ",$920 
2533,"GULF BREEZE, FL",51 ,$915 ,$601 
2541,"ALLIANCE, OH",57 ,"$1,023 ",$662 
2542,"OTTAWA, OH",67 ,"$1,202 ",$782 
2545,"MARINETTE, WI",72 ,"$1,292 ",$841 
2563,"PAOLI, IN",76 ,"$1,363 ",$884 
2564,"LURAY, VA",3 ,$54 ,$33 
2575,"CONWAY (S), AR",64 ,"$1,148 ",$750 
2576,"CROSS LANES, WV",58 ,"$1,041 ",$675 
2579,"CHADRON, NE",75 ,"$1,346 ",$870 
2584,"TUCKER, GA",55 ,$972 ,$639 
2592,"NORTH LAS VEGAS, NV",76 ,"$1,363 ",$881 
2595,MARYSVILLE WA,66 ,"$1,184 ",$766 
2597,"FRANKLIN, PA",66 ,"$1,184 ",$783 
2600,"CHESTERFIELD, MO",73 ,"$1,310 ",$852 
2612,"EL PASO (NE), TX",85 ,"$1,525 ",$999 
2615,"VALDOSTA (N), GA",58 ,"$1,025 ",$686 
2616,"O`FALLON, MO",59 ,"$1,058 ",$686 
2640,"SALEM, MA",57 ,"$1,023 ",$658 
2649,"IRVING (NORTH), TX",47 ,$843 ,$541 
2650,"PHILADELPHIA (NE), PA",43 ,$771 ,$487 
2652,"GRANTS, NM",69 ,"$1,238 ",$803 
2656,"ESPANOLA, NM",75 ,"$1,346 ",$879 
2658,"WEST BEND, WI",65 ,"$1,166 ",$756 
2665,"SLIDELL, LA",36 ,$636 ,$425 
2667,"DALLAS (E), TX",53 ,$951 ,$611 
2681,"LITTLETON,NH",68 ,"$1,210 ",$786 
2694,"KIRKWOOD, MO",66 ,"$1,184 ",$769 
2702,"NIXA, MO",78 ,"$1,399 ",$916 
2710,"KETCHIKAN, AK",88 ,"$1,579 ","$1,020 "
2711,"KODIAK, AK",84 ,"$1,577 ",$972 
2721,"CAYEY, PR",91 ,"$1,633 ","$1,050 "
2732,"VILLA RICA, GA",61 ,"$1,078 ",$712 
2733,"PERRY, GA",28 ,$495 ,$322 
2734,"NORMAN (E), OK",69 ,"$1,238 ",$804 
2740,"TAMPA, FL",32 ,$574 ,$370 
2748,"GULF SHORES, AL",48 ,$861 ,$552 
2764,"ALTOONA, IA",59 ,"$1,043 ",$685 
2771,"MONTICELLO, IN",61 ,"$1,094 ",$714 
2783,"LEXINGTON, (NE) KY",48 ,$861 ,$561 
2784,"BEATRICE, NE",83 ,"$1,489 ",$960 
2790,"HAGERSTOWN (S), MD",42 ,$753 ,$497 
2791,"GEORGETOWN, DE",58 ,"$1,041 ",$675 
2794,"EPHRAIM, UT",80 ,"$1,435 ",$933 
2796,"OLDSMAR, FL",48 ,$861 ,$560 
2811,"ATHENS, GA",51 ,$902 ,$596 
2815,"ROLLING MEADOWS, IL",59 ,"$1,058 ",$690 
2817,"LANSING, IL",29 ,$520 ,$342 
2818,"HAMMOND, IN",51 ,$915 ,$601 
2843,"SUMMERFIELD, FL",78 ,"$1,399 ",$911 
2847,"BELLEVUE, NE",65 ,"$1,166 ",$756 
2852,"MOUNDSVILLE, WV",66 ,"$1,184 ",$776 
2857,"KANSAS CITY (NW), MO",41 ,$736 ,$483 
2861,GARDEN CITY ID,67 ,"$1,202 ",$786 
2862,"MERIDIAN, ID",81 ,"$1,453 ",$944 
2865,"SPOKANE (W), WA",85 ,"$1,525 ",$991 
2874,"GLENVILLE, NY",49 ,$866 ,$569 
2883,PLANO (N) TX,71 ,"$1,274 ",$828 
2885,"NEWPORT, RI",42 ,$743 ,$493 
2886,PICO RIVERA CA,60 ,"$1,076 ",$696 
2902,FRAMINGHAM MA,63 ,"$1,130 ",$732 
2918,"ALLEN, TX",76 ,"$1,363 ",$890 
2932,"KNOXVILLE (SW), TN",51 ,$915 ,$598 
2937,"HIBBING, MN",60 ,"$1,076 ",$714 
2938,"LAFAYETTE (S), LA",58 ,"$1,025 ",$669 
2951,"LANCASTER (EAST), CA",49 ,$879 ,$574 
2957,"DETROIT LAKES, MN",63 ,"$1,130 ",$733 
2958,APPLETON (E),70 ,"$1,256 ",$819 
2968,"CARROLLTON, KY",60 ,"$1,076 ",$701 
2978,"FORT WORTH (S), TX",71 ,"$1,274 ",$837 
2985,"FRESNO, CA EF",70 ,"$1,256 ",$817 
2988,"LA FAYETTE, GA",53 ,$937 ,$622 
2996,"DALLAS (NW), TX",112 ,"$2,009 ","$1,325 "
3018,FOUNTAIN CO,75 ,"$1,326 ",$877 
3061,SHREWSBURY MO,49 ,$879 ,$571 
3067,NORCROSS E GA,95 ,"$1,680 ","$1,098 "
3078,EAST BRUNSWICK NJ,52 ,$933 ,$611 
3087,OXNARD CA,61 ,"$1,094 ",$708 
3093,MERIDIAN S ID,51 ,$915 ,$594 
3114,SAUGUS MA,63 ,"$1,090 ",$734 
3118,DECATUR  GA,53 ,$937 ,$622 
3119,PANAMA CITY PIER PARK FL,71 ,$781 ,$833 
3136,HORIZON CITY TX,77 ,"$1,381 ",$901 
3137,FAIRVIEW TN,54 ,$969 ,$638 
3150,COUNCIL BLUFFS IA,69 ,"$1,220 ",$799 
3151,OMAHA 50TH & AMES NE,71 ,"$1,274 ",$828 
3159,TETERBORO NJ,55 ,$987 ,$643 
3169,MANOR TX,75 ,"$1,346 ",$873 
3170,ELGIN TX,78 ,"$1,399 ",$904 
3180,SOUTHGATE CA,45 ,$768 ,$526 
3188,STONE MOUNTAIN W GA,66 ,"$1,167 ",$759 
3197,TAMPA BEARRS FL,58 ,"$1,041 ",$677 
3201,"MCDONOUGH, GA",34 ,$601 ,$405 
3206,LIMA OH,54 ,$969 ,$628 
3207,SANFORD (W) FL,64 ,"$1,148 ",$740 
3216,"VIRGINIA BEACH (SE), VA",63 ,"$1,130 ",$727 
3219,WILLIAMSBURG VA,42 ,$753 ,$493 
3223,"CHIPPEWA, PA",61 ,"$1,094 ",$712 
3226,"KATY, TX",71 ,"$1,274 ",$826 
3231,GREENWOOD AR 11-11-02,52 ,$933 ,$600 
3236,"FREEHOLD, NJ",61 ,"$1,094 ",$712 
3247,DELAVAN WI,62 ,"$1,112 ",$721 
3250,AURORA OH,80 ,"$1,435 ",$933 
3253,"EDINBORO, PA",59 ,"$1,058 ",$692 
3258,EUGENE (W) OR,78 ,"$1,399 ",$907 
3265,"TABB, VA",54 ,$969 ,$630 
3267,OMAHA (W),70 ,"$1,256 ",$821 
3273,OVERLAND PARK (S) KS,71 ,"$1,274 ",$831 
3278,LINCOLN NE 11-11-02,74 ,"$1,328 ",$856 
3281,HARBORCREEK PA,61 ,"$1,094 ",$713 
3284,"ARLINGTON (SW), TX",72 ,"$1,292 ",$842 
3285,CEDAR HILL TX,62 ,"$1,112 ",$721 
3295,BROKEN ARROW OK,61 ,"$1,094 ",$712 
3298,"HOUSTON, TX",69 ,"$1,238 ",$805 
3300,"WAPAKONETA, OH",60 ,"$1,076 ",$699 
3308,"MIDDLEBURG, FL",50 ,$897 ,$585 
3309,"JACKSONVILLE(CLINTON), FL",49 ,$879 ,$575 
3319,"HARKER HEIGHTS, TX",51 ,$915 ,$600 
3322,"PEWAUKEE, WI",89 ,"$1,597 ","$1,044 "
3324,"SHEBOYGAN (N), WI",3 ,$12 ,$37 
3331,"PINE BLUFF, AR",52 ,$933 ,$611 
3334,"MALONE, NY",43 ,$760 ,$509 
3344,"WINCHESTER-W, VA",54 ,$969 ,$633 
3348,"LAKE PARK (P.B.GARD), FL",59 ,"$1,058 ",$686 
3350,"LAS VEGAS (BOULDER), NV",55 ,$987 ,$644 
3351,"NORTH LAS VEGAS, NV",74 ,"$1,328 ",$864 
3372,LARGO CROSSROAD FL,37 ,$664 ,$432 
3380,PASCO WA,63 ,"$1,130 ",$736 
3383,"AMARILLO (SC), TX",65 ,"$1,166 ",$755 
3389,SNELLVILLE (S) GA,69 ,"$1,220 ",$799 
3394,"ATLANTIC, IA",73 ,"$1,291 ",$852 
3400,OSWEGO IL,59 ,"$1,058 ",$688 
3401,COLLEGE PARK GA,64 ,"$1,132 ",$747 
3408,"CARSON CITY, NV",76 ,"$1,363 ",$885 
3423,"SANTA FE (S), NM",66 ,"$1,144 ",$771 
3434,"WOODSTOCK, IL",79 ,"$1,417 ",$922 
3454,PERRY(BRIGHAM CITY) UT,81 ,"$1,453 ",$942 
3459,BLOOMINGTON IL,70 ,"$1,256 ",$814 
3460,"PEORIA (N), IL",72 ,"$1,292 ",$837 
3462,SUWANEE GA,68 ,"$1,202 ",$791 
3463,BRANDON FL,53 ,$951 ,$614 
3469,LINDEN NJ,40 ,$718 ,$455 
3471,KENNESAW GA,51 ,$902 ,$598 
3472,"POST FALLS, ID",84 ,"$1,507 ",$979 
3473,"LAS VEGAS, NV",57 ,"$1,023 ",$667 
3476,"CANTON, MI",72 ,"$1,292 ",$835 
3477,LONG BEACH CA,68 ,"$1,220 ",$793 
3478,HONOLULU HI,67 ,"$1,202 ",$782 
3482,PLANO COIT/190 TX,78 ,"$1,399 ",$909 
3484,"PENSACOLA, FL",63 ,"$1,130 ",$733 
3488,"BURLINGTON, WI",66 ,"$1,167 ",$771 
3497,"PLYMOUTH, WI",69 ,"$1,238 ",$807 
3499,JEFFERSON WI,59 ,"$1,058 ",$685 
3505,WISCONSIN DELLS WI,75 ,"$1,346 ",$860 
3510,PEARLAND TX,69 ,"$1,158 ",$800 
3520,"SECAUCUS, NJ",59 ,"$1,058 ",$694 
3526,BROOKSVILLE FL,60 ,"$1,076 ",$699 
3537,"LAKEWOOD, WA",70 ,"$1,256 ",$815 
3541,KENNETT SQUARE PA,62 ,"$1,112 ",$725 
3561,FALMOUTH MA,50 ,$897 ,$585 
3573,MANASSAS (S) VA,40 ,$708 ,$464 
3585,WOODLANDS E TX,56 ,"$1,005 ",$657 
3590,SIOUX CITY (N) IA,61 ,"$1,078 ",$721 
3601,CRESTWOOD IL,64 ,"$1,148 ",$745 
3602,SPRINGFIELD (E) IL,64 ,"$1,148 ",$746 
3608,"NORTH MADISON, OH",46 ,$825 ,$534 
3611,"MARIETTA, GA",76 ,"$1,344 ",$885 
3621,CHAMBLEE GA,60 ,"$1,061 ",$700 
3631,CROWLEY TX,72 ,"$1,292 ",$839 
3633,WAYNESBORO PA,1 ,$18 ,$13 
3639,DULLES VA,61 ,"$1,094 ",$714 
3648,"BISMARCK, ND",64 ,"$1,148 ",$747 
3650,"VENTURA (W), CA",58 ,"$1,041 ",$675 
3659,"CHATTANOOGA(SIGNAL), TN",66 ,"$1,184 ",$771 
3660,"CHATTANOOGA(SW), TN",65 ,"$1,166 ",$754 
3693,"SANTA ISABEL,PR",57 ,$993 ,$658 
3710,"DECATUR (W), GA",59 ,"$1,043 ",$690 
3725,"NILES, IL",55 ,$987 ,$649 
3726,"GRAND BLANC, MI",48 ,$861 ,$561 
3729,"SPARKS, NV",75 ,"$1,346 ",$874 
3732,"RIO RANCHO (W), NM",76 ,"$1,363 ",$879 
3739,"NAMPA (NORTHEAST), ID",58 ,"$1,041 ",$690 
3741,"ATLANTA, GA",56 ,$990 ,$653 
3748,ACWORTH(N) GA,50 ,$884 ,$589 
3754,"CHELAN, WA",57 ,"$1,023 ",$666 
3763,"EL PASO (MONTANA), TX",70 ,"$1,256 ",$821 
3778,"CASPER (W), WY",75 ,"$1,346 ",$870 
3781,"INDIANAPOLIS (LAFYTE), IN",62 ,"$1,112 ",$725 
3786,"BUFORD (E), GA",41 ,$725 ,$480 
3795,"NORTH BERGEN, NJ",86 ,"$1,543 ","$1,008 "
3807,"BENSON, AZ",76 ,"$1,363 ",$889 
3823,"LINCOLN (NE), NE",77 ,"$1,381 ",$900 
3829,"JOHNSON CITY, TN",65 ,"$1,166 ",$752 
3835,OOLTEWAH TN,55 ,$987 ,$648 
3837,"ROCKTON, IL",77 ,"$1,381 ",$894 
3840,"FINDLAY (W), OH",62 ,"$1,112 ",$721 
3847,"MESQUITE, NV",70 ,"$1,256 ",$819 
3853,"HURON, SD",65 ,"$1,166 ",$763 
3877,"GAINSVILLE (WALDO), FL",50 ,$897 ,$581 
3884,"TUCSON, AZ",85 ,"$1,505 ","$1,005 "
3893,"ZION, IL",64 ,"$1,148 ",$747 
3894,"LEXINGTON (E), KY",57 ,"$1,023 ",$666 
3897,"TWIN FALLS (N), ID",68 ,"$1,220 ",$793 
3912,LEDGEWOOD MARY LOUISE NJ,89 ,"$1,597 ","$1,047 "
3947,CHULA VISTA CA,86 ,"$1,543 ","$1,001 "
4049,OLYMPIA FIELDS IL,55 ,$987 ,$644 
4101,LONG BEACH NW CA,64 ,"$1,148 ",$751 
4108,SPRINGDALE ELM SPRINGS AR,52 ,$910 ,$605 
4130,KYLE TX,63 ,"$1,130 ",$738 
4164,KAUFMAN TX,55 ,$987 ,$648 
4168,BEEBE AR,70 ,"$1,256 ",$814 
4171,GARDEN GROVE CA,71 ,"$1,234 ",$826 
4200,"COLUMBUS (GATEWAY), GA",65 ,"$1,149 ",$754 
4201,"EDGEWOOD, NM",71 ,"$1,274 ",$833 
4209,"NEBRASKA CITY, NE",75 ,"$1,346 ",$875 
4219,"BUDA, TX",74 ,"$1,328 ",$868 
4223,"MARYVILLE, TN",44 ,$789 ,$517 
4226,"DUNLAP, TN",52 ,$933 ,$609 
4238,"SANGER, CA",71 ,"$1,274 ",$833 
4239,"STEAD, NV",70 ,"$1,217 ",$804 
4240,"HIGHLAND VILLAGE, TX",74 ,"$1,328 ",$866 
4252,"FLAGSTAFF, AZ",70 ,"$1,256 ",$815 
4255,"ELYRIA (S), OH",50 ,$897 ,$590 
4256,"AMES (S), IA",72 ,"$1,273 ",$839 
4277,"HURRICANE, WV",51 ,$915 ,$603 
4283,"COLUMBUS (AIRPORT), GA",47 ,$831 ,$546 
4322,"CRETE, NE",71 ,"$1,274 ",$819 
4323,"KANKAKEE, IL",65 ,"$1,166 ",$762 
4333,"FAIRHOPE, AL",67 ,"$1,202 ",$786 
4407,"MONTGOMERY (E), AL",67 ,"$1,202 ",$787 
4409,"ROCKMART, GA",42 ,$743 ,$495 
4423,"MARTINSBURG (N), WV",37 ,$664 ,$426 
4436,"ALPHARETTA (NE), GA",78 ,"$1,379 ",$915 
4438,"SARATOGA SPRINGS, UT",78 ,"$1,399 ",$909 
4460,"NORTH LITTLE ROCK(MAU),AR",67 ,"$1,202 ",$779 
4472,"LITHONIA (STONECRST), GA",94 ,"$1,686 ","$1,086 "
4475,"OLATHE (W), KS",69 ,"$1,238 ",$806 
4482,"MOUNT JULIET, TN",69 ,"$1,238 ",$806 
4483,"WHITE HOUSE, TN",46 ,$825 ,$532 
4488,"MARINA, CA",62 ,"$1,112 ",$721 
4503,GRAND PRAIRIE PIONEER PKW,42 ,$753 ,$497 
4509,"BENBROOK, TX",66 ,"$1,184 ",$771 
4529,"NEW LENOX, IL",63 ,"$1,130 ",$736 
4531,"ROMEOVILLE, IL",58 ,"$1,041 ",$668 
4557,"LAS VEGAS (MCLEOD), NV",70 ,"$1,256 ",$815 
4558,"COVINGTON (W), GA",62 ,"$1,096 ",$721 
4568,"BLAIR, NE",70 ,"$1,256 ",$819 
4600,"GRETNA, NE",75 ,"$1,346 ",$871 
4615,"TULSA (GLENPOOL), OK",62 ,"$1,112 ",$719 
4616,"CLEVELAND, GA",61 ,"$1,078 ",$703 
4677,"MUSKEGO, WI",83 ,"$1,489 ",$965 
4681,"TAMPA (GANDY), FL",60 ,"$1,076 ",$696 
4687,KING OF PRUSSIA (HD) PA,46 ,$825 ,$539 
4689,"CEDAR HILLS, UT",58 ,"$1,041 ",$673 
4690,"ST. PETERSBURG (C), FL",45 ,$807 ,$520 
4695,"GODFREY, IL",108 ,"$1,938 ","$1,260 "
4697,"LYNCHBURG (N), VA",45 ,$807 ,$521 
4699,"STREATOR, IL",65 ,"$1,166 ",$758 
5012,HAMILTON NJ,25 ,$449 ,$291 
5023,NATIONAL CITY CA,85 ,"$1,475 ",$992 
5037,YULEE FL,61 ,"$1,094 ",$714 
5055,"NAPLES (SE), FL",46 ,$825 ,$544 
5057,MURFREESBORO TN 11-12-02,62 ,"$1,112 ",$722 
5076,BREWER ME,60 ,"$1,076 ",$699 
5090,"GREEN BAY, WI",80 ,"$1,435 ",$927 
5091,HOUSTON ROSEHILL TX,78 ,"$1,399 ",$916 
5092,LEWISVILLE (SE) TX,62 ,"$1,112 ",$727 
5095,"HARTFORD, CT",23 ,$407 ,$271 
5101,PAHRUMP NV,81 ,"$1,453 ",$941 
5115,DAVENPORT (W) IA,4 ,$71 ,$44 
5126,CENTRE AL,63 ,"$1,130 ",$736 
5129,"LANDOVER HILLS, MD EF",49 ,$879 ,$584 
5134,"BAKERSFIELD (SW), CA",71 ,"$1,274 ",$832 
5147,DALLAS (W) TX,85 ,"$1,525 ",$996 
5150,"MAPLEWOOD, MO",39 ,$700 ,$450 
5159,"WEST BRANCH, MI",69 ,"$1,238 ",$810 
5175,ALGOOD TN,61 ,"$1,094 ",$709 
5192,SACRAMENTO CA,66 ,"$1,184 ",$771 
5210,"WYLIE, TX",70 ,"$1,256 ",$821 
5211,MCKINNEY (SW) TX,90 ,"$1,615 ","$1,045 "
5214,ORLANDO LAKE WILSON FL,53 ,$951 ,$607 
5218,"ST. PETERSBURG, FL",66 ,"$1,184 ",$769 
5220,TAMPA (DM WATERS) FL,39 ,$700 ,$452 
5236,BOWLING GREEN (NW) KY,35 ,$628 ,$407 
5251,"CHATTANOOGA (E.RIDGE), TN",44 ,$789 ,$511 
5263,CLEVELAND (S) TN,47 ,$843 ,$552 
5266,"NEW PORT RICHEY(NW),FL",60 ,"$1,076 ",$703 
5270,LINDON UT,78 ,"$1,399 ",$915 
5274,"HONOLULU (MANANA), HI",134 ,"$2,404 ","$1,568 "
5278,CHICOPEE MA,41 ,$736 ,$477 
5288,"SEAGOVILLE, TX",58 ,"$1,041 ",$666 
5293,VALLEY STREAM NY,63 ,"$1,130 ",$730 
5295,"FARMINGDALE (LI) HD, NY",34 ,$601 ,$394 
5309,OBERLIN OH,65 ,"$1,166 ",$751 
5313,LAKE ST. LOUIS MO,65 ,"$1,166 ",$759 
5316,SAGINAW TX,56 ,"$1,005 ",$642 
5319,"MACARTHUR, WV",44 ,$789 ,$511 
5320,GREENSBORO (SE) NC,47 ,$831 ,$555 
5359,AZLE TX,75 ,"$1,346 ",$884 
5374,EATON OH,57 ,"$1,023 ",$662 
5387,"MIDDLEFIELD, OH",59 ,"$1,058 ",$697 
5397,"WINONA, MN",64 ,"$1,148 ",$745 
5398,"ROCKFORD (W), IL",62 ,"$1,112 ",$723 
5399,DIXON IL,65 ,"$1,166 ",$755 
5402,CHICAGO (W) IL,62 ,"$1,112 ",$714 
5409,ENGLEWOOD OH,64 ,"$1,148 ",$746 
5410,"CANTON (C), OH",51 ,$915 ,$597 
5417,"LOUISVILLE, KY",19 ,$341 ,$226 
5429,"SURPRISE, AZ",97 ,"$1,740 ","$1,127 "
5430,"ALBUQUERQUE, NM",77 ,"$1,381 ",$890 
5433,"HOT SPRINGS VILLAGE, AR",72 ,"$1,292 ",$841 
5438,"NEW BERLIN, WI",73 ,"$1,310 ",$852 
5445,ERIE C PA,64 ,"$1,148 ",$749 
5480,ROUND ROCK (NE) TX,78 ,"$1,399 ",$907 
5482,"EATONTON, GA",67 ,"$1,185 ",$782 
5485,"EVERGREEN PARK, IL",46 ,$805 ,$535 
5492,"SOCORRO, NM",55 ,$987 ,$639 
5617,CHICAGO HERMOSA IL,49 ,$859 ,$571 
5641,LA HABRA CA,74 ,"$1,328 ",$860 
5667,SOUTH MILWAUKEE WI,58 ,"$1,041 ",$668 
5673,SACHSE TX,80 ,"$1,435 ",$915 
5686,BURBANK CA,84 ,"$1,477 ",$988 
5706,"LITTLE ROCK, AR",54 ,$969 ,$627 
5707,"CROSS ROADS, TX",66 ,"$1,100 ",$768 
5709,"LOCUST GROVE, GA",74 ,"$1,308 ",$866 
5710,"MODESTO, CA",67 ,"$1,202 ",$789 
5728,"NEWBURGH, IN",57 ,"$1,023 ",$657 
5748,"GRIMES, IA",76 ,"$1,344 ",$896 
5764,"FORT WORTH (HASLET), TX",71 ,"$1,274 ",$835 
5772,"BEVERLY HILLS, FL",61 ,"$1,094 ",$714 
5781,"CHICAGO (CHATHAM), IL",33 ,$592 ,$374 
5787,"RAEFORD, NC",67 ,"$1,185 ",$788 
5799,"TUCSON, AZ",73 ,"$1,310 ",$842 
5812,BLUE RIDGE GA,62 ,"$1,096 ",$721 
5823,"DALLAS (SKILL), TX",53 ,$951 ,$615 
5841,"MERIDIAN, ID",67 ,"$1,202 ",$782 
5866,"FRISCO, TX",70 ,"$1,256 ",$815 
5880,"FAIRFAX, VA",44 ,$789 ,$512 
5883,"SPOKANE VALLEY, WA",70 ,"$1,256 ",$824 
5891,"PHILADELPHIA, PA",14 ,$241 ,$164 
5894,ORLANDO (ALOMA),57 ,"$1,023 ",$661 
5930,"ANAHEIM, CA",83 ,"$1,489 ",$971 
5941,WASHINGTON DC,15 ,$269 ,$176 
5947,EL PASO TX,73 ,"$1,310 ",$844 
5964,TAMPA 22ND AND HILL FL,83 ,"$1,489 ",$964 
5987,ROYSE CITY TX,80 ,"$1,435 ",$942 
6397,MIAMI (CORAL REEF) FL,40 ,$718 ,$460 
6931,LOUSIVILLE KY,62 ,"$1,112 ",$725 
6998,EAST POINT GA,40 ,$707 ,$473 
7185,COAL MOUNTAIN GA,62 ,"$1,096 ",$719 
7246,COCHRAN GA,62 ,"$1,096 ",$721 
7294,NORMAN CEDAR LANE OK,60 ,"$1,076 ",$701 
8331,YAPHANK NY,85 ,"$1,503 ","$1,002 "
