,,,,,,Milk 1% Gallon,,,Milk 1% Half Gallon,,,Chocolate Milk 1% Gallon,,,Chocolate Milk 1% Half Gallon,,,Milk Fat Free/Skim Gallon,,,Milk Fat Free/Skim Half Gallon,,,Chocolate Milk Fat Free/Skim Gallon,,,Chocolate Milk Fat Free/Skim Half Gallon,,,Whole Milk Gallon,,,Whole Milk Half Gallon,,,Dry Powder Milk 9.6 oz,,, Milk Lactose Free/Reduced Gallon,,, Milk Lactose Free/Reduced Half Gallon,,, Milk Ultra High Temperature (UHT) Quart,N/A,,Eggs Grade A Large White 1 Dozen,,Block,Processed American Block,,Processed Cheddar Block,,Colby Block,,Monterey Jack Block,,Colby Jack Block,,Mozarella Block,,Swiss Block,,String,Processed American String,,Cheddar String,,Colby String,,Monterey Jack String,,Colby Jack String,,Mozarella String,,Swiss String,,Sliced,Processed American Sliced,,Cheddar Sliced,,Colby Sliced,,Monterey Jack Sliced,,Colby Jack Sliced,,Mozarella Sliced,,Swiss Sliced,,Shred,Processed American Shredded,,Processed Cheddar Shredded,,Colby Shredded,,Monterey Jack Shredded,,Colby Jack Shredded,,Mozarella Shredded,,Swiss Shredded,,Cubed,Processed American Cubed,,Processed Cheddar Cubed,,Colby Cubed,,Monterey Jack Cubed,,Colby Jack Cubed,,Mozarella Cubed,,Swiss Cubed,
StrNbr,StreetAddr,StrCity,StrState,StrType,Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits)
1710,950 HIGHWAY 80 E,CLINTON,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2715,3615 SANGANI BLVD,DIBERVILLE,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2717,5901 U S HIGHWAY 49,HATTIESBURG,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,N/A,N/A,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2720,127 GRANDVIEW BLVD,MADISON,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2755,5341 HIGHWAY 25,FLOWOOD,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2846,7950 CRAFT GOODMAN FRONTAGE RD,OLIVE BRANCH,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2939,200 MARKETPLACE DRIVE,RICHLAND,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3059,244 FEATHER LANE,CANTON,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3060,2129 GRAND AVENUE,YAZOO CITY,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3528,1053 FRONTAGE DR E,WIGGINS,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3593,2401 GOODMAN RD W,HORN LAKE,MS,Nbrhd Mkt,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3990,3310-A HIGHWAY 39 NORTH,MERIDIAN,MS,Nbrhd Mkt,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,N/A,N/A,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4586,1820-A POPPS FERRY RD,BILOXI,MS,Nbrhd Mkt,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4619,316 S GLOSTER STREET,TUPELO,MS,Nbrhd Mkt,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5079,1617 E BEACH BLVD,PASS CHRISTIAN,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5419,2600 MCINGVALE RD,HERNANDO,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5459,105 MARKET STREET,STARKVILLE,MS,Nbrhd Mkt,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,N/A,N/A,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5776,6412 WASHINGTON AVENUE,OCEAN SPRINGS,MS,Nbrhd Mkt,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6165,1733 EAST PASS ROAD,GULFPORT,MS,Nbrhd Mkt,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6166,10290 D'IBERVILLE RD,DIBERVILLE,MS,Nbrhd Mkt,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
