Store Nbr,Market,Region,Tier,Details
1851,109,9,Tier 1,ISA On in Total Store
1369,364,46,Tier 1,ISA On in Total Store
2557,447,57,Tier 1,ISA On in Total Store
5262,13,14,Tier 1,ISA On in Total Store
361,341,25,Tier 1,ISA On in Total Store
3126,490,61,Tier 1,ISA On in Total Store
3004,268,25,Tier 1,ISA On in Total Store
93,145,12,Tier 1,ISA On in Total Store
1113,258,41,Tier 1,ISA On in Total Store
508,506,6,Tier 1,ISA On in Total Store
1072,27,3,Tier 1,ISA On in Total Store
4439,201,19,Tier 1,ISA On in Total Store
457,66,13,Tier 1,ISA On in Total Store
2764,414,52,Tier 1,ISA On in Total Store
5421,495,59,Tier 1,ISA On in Total Store
2250,225,21,Tier 1,ISA On in Total Store
5482,21,2,Tier 1,ISA On in Total Store
3475,167,22,Tier 1,ISA On in Total Store
1925,478,60,Tier 1,ISA On in Total Store
379,333,40,Tier 1,ISA On in Total Store
30,335,40,Tier 1,ISA On in Total Store
389,352,44,Tier 1,ISA On in Total Store
18,328,42,Tier 1,ISA On in Total Store
5255,559,72,Tier 1,ISA On in Total Store
1011,29,4,Tier 1,ISA On in Total Store
1310,251,25,Tier 1,ISA On in Total Store
82,335,40,Tier 1,ISA On in Total Store
535,74,5,Tier 1,ISA On in Total Store
4055,87,6,Tier 1,ISA On in Total Store
5182,566,59,Tier 1,ISA On in Total Store
3646,496,59,Tier 1,ISA On in Total Store
1720,25,2,Tier 1,ISA On in Total Store
5303,364,46,Tier 1,ISA On in Total Store
1626,352,44,Tier 1,ISA On in Total Store
5035,116,9,Tier 1,ISA On in Total Store
1557,482,25,Tier 1,ISA On in Total Store
782,88,46,Tier 1,ISA On in Total Store
739,258,41,Tier 1,ISA On in Total Store
2001,449,57,Tier 1,ISA On in Total Store
1006,27,3,Tier 1,ISA On in Total Store
3019,490,61,Tier 1,ISA On in Total Store
75,134,13,Tier 1,ISA On in Total Store
2464,454,56,Tier 1,ISA On in Total Store
4440,41,4,Tier 1,ISA On in Total Store
5203,217,21,Tier 1,ISA On in Total Store
5602,481,61,Tier 1,ISA On in Total Store
2396,488,72,Tier 1,ISA On in Total Store
1035,42,4,Tier 1,ISA On in Total Store
3527,107,9,Tier 1,ISA On in Total Store
1427,218,21,Tier 1,ISA On in Total Store
4118,256,41,Tier 1,ISA On in Total Store
4425,96,72,Tier 1,ISA On in Total Store
1271,138,14,Tier 1,ISA On in Total Store
2118,156,16,Tier 1,ISA On in Total Store
3488,435,53,Tier 1,ISA On in Total Store
1755,453,56,Tier 1,ISA On in Total Store
2190,453,56,Tier 1,ISA On in Total Store
4609,225,21,Tier 1,ISA On in Total Store
2559,206,19,Tier 1,ISA On in Total Store
657,152,41,Tier 1,ISA On in Total Store
5032,464,57,Tier 1,ISA On in Total Store
1164,41,4,Tier 1,ISA On in Total Store
2427,52,5,Tier 1,ISA On in Total Store
1418,341,25,Tier 1,ISA On in Total Store
3772,311,20,Tier 1,ISA On in Total Store
3502,223,21,Tier 1,ISA On in Total Store
2141,166,22,Tier 2,GM Pause
4521,41,4,Tier 1,ISA On in Total Store
5894,91,9,Tier 1,ISA On in Total Store
5458,388,54,Tier 1,ISA On in Total Store
3461,16,3,Tier 1,ISA On in Total Store
5492,384,46,Tier 1,ISA On in Total Store
1488,22,2,Tier 1,ISA On in Total Store
1030,38,4,Tier 1,ISA On in Total Store
489,128,13,Tier 1,ISA On in Total Store
1970,159,16,Tier 1,ISA On in Total Store
3518,88,46,Tier 1,ISA On in Total Store
7221,102,72,Tier 1,ISA On in Total Store
1839,214,20,Tier 1,ISA On in Total Store
4450,242,41,Tier 1,ISA On in Total Store
2054,450,56,Tier 1,ISA On in Total Store
4046,561,64,Tier 1,ISA On in Total Store
1253,82,5,Tier 1,ISA On in Total Store
907,32,3,Tier 1,ISA On in Total Store
2283,161,16,Tier 1,ISA On in Total Store
11,328,42,Tier 1,ISA On in Total Store
3733,42,4,Tier 1,ISA On in Total Store
7361,562,64,Tier 1,ISA On in Total Store
1126,506,6,Tier 1,ISA On in Total Store
3729,392,56,Tier 1,ISA On in Total Store
2945,233,22,Tier 1,ISA On in Total Store
1560,396,57,Tier 1,ISA On in Total Store
2984,533,64,Tier 1,ISA On in Total Store
