Store Nbr,Prime Item Nbr,Prime Item Desc,Dept Category Group Description,Curr Str On Hand Qty
943,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
944,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
947,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
954,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
955,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
961,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
963,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
966,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
967,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
969,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
972,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
973,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
975,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
981,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
989,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
990,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
991,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
995,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1000,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1001,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
1003,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1008,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1010,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1014,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1015,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1016,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1020,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1030,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1037,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1039,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1042,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1047,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1053,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
1055,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1058,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1059,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1060,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1069,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
1075,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
1077,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1080,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1082,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1083,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1084,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1091,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1094,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1096,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1097,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1099,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1102,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1104,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1105,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1112,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1120,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1124,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1126,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1128,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1130,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1132,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1136,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1139,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1140,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1141,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1152,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1153,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1156,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1158,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
