Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
1711,,Scheduled Delivery Standard,18,Executive Review,Degrading,Store Focus,202251,77.70%,75.40%,19.1,75.10%,81.70%,74.10%,80.70%
2723,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202251,88.50%,86.80%,10.3,90.00%,85.60%,92.40%,84.40%
5113,,Scheduled Delivery Standard,21,Executive Review,Recovering,Store Focus,202251,93.40%,94.70%,11.9,95.40%,97.10%,88.20%,92.60%
300,,Scheduled Delivery Standard,2,Active Monitoring,Recovering,Store Focus,202251,85.80%,91.10%,14.2,93.80%,84.10%,76.10%,89.80%
301,,Scheduled Delivery Standard,8,Executive Review,Recovering,Store Focus,202251,86.30%,81.20%,16.8,91.10%,90.10%,76.20%,87.80%
483,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202251,87.50%,89.60%,18.4,91.20%,86.80%,82.40%,89.40%
930,,Scheduled Delivery Express,13,Executive Review,Recovering,Store Focus,202251,74.10%,77.70%,13.7,97.90%,78.30%,62.20%,61.20%
1101,,Scheduled Delivery Standard,22,Executive Review,Recovering,Store Focus,202251,88.90%,84.10%,10.9,93.40%,92.30%,84.50%,89.10%
4318,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202251,87.30%,87.40%,16.6,93.30%,90.90%,77.50%,86.70%
5348,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202251,88.70%,92.50%,17.8,94.40%,85.50%,82.60%,92.50%
356,,Scheduled Delivery Standard,22,Executive Review,Recovering,Store Focus,202251,81.00%,70.50%,14.6,93.30%,65.30%,78.10%,90.40%
432,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202251,81.80%,78.20%,11.6,79.60%,89.60%,77.60%,78.60%
2306,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202251,91.80%,90.60%,11.2,94.00%,84.20%,95.50%,93.50%
423,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202251,92.40%,96.90%,11.4,97.00%,94.50%,86.90%,90.90%
1229,,Scheduled Delivery Standard,18,Executive Review,Recovering,Store Focus,202251,89.50%,94.00%,10.4,90.80%,94.40%,87.10%,83.30%
1481,,Scheduled Delivery Standard,45,Executive Review,Degrading,Store Focus,202251,70.60%,81.90%,18.3,84.80%,65.20%,68.20%,71.00%
3271,,Scheduled Delivery Express,1,Active Monitoring,Degrading,Store Focus,202251,80.30%,75.00%,13.7,78.90%,76.90%,88.20%,75.00%
3271,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202251,89.40%,97.00%,10,90.50%,89.70%,89.80%,87.60%
4330,,Scheduled Delivery Standard,17,Executive Review,Recovering,Store Focus,202251,84.80%,76.90%,16.7,92.20%,90.60%,69.90%,85.70%
4497,,Scheduled Delivery Standard,44,Executive Review,Degrading,Store Focus,202251,89.20%,92.20%,11.2,85.30%,88.10%,93.40%,91.20%
990,,Scheduled Delivery Standard,36,Executive Review,Recovering,Store Focus,202251,93.40%,92.20%,14.8,95.20%,95.60%,87.60%,95.10%
1605,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202251,92.50%,82.90%,13.3,96.00%,97.40%,89.30%,86.30%
495,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202251,93.80%,98.00%,12.4,98.70%,89.60%,97.30%,87.60%
4504,,Scheduled Delivery Standard,39,Executive Review,Degrading,Store Focus,202251,68.50%,65.00%,15.4,59.90%,51.80%,77.40%,78.90%
4580,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202251,85.20%,80.60%,10.6,91.70%,90.40%,77.10%,81.80%
4672,,Scheduled Delivery Standard,18,Executive Review,Degrading,Store Focus,202251,83.00%,70.00%,13.7,88.00%,93.80%,73.10%,76.70%
4691,,Scheduled Delivery Standard,18,Executive Review,Recovering,Store Focus,202251,89.70%,89.50%,14.9,94.90%,90.20%,85.30%,87.80%
5256,,Scheduled Delivery Standard,22,Executive Review,Recovering,Store Focus,202251,88.00%,82.80%,14,93.90%,90.10%,78.40%,89.10%
