Store Number,Tracking Number,Ship date ,Status ,Delivered date,Service type 
5482,391049310849,7/21/2025,Out for delivery,,FedEx Ground
4185,391049311856,7/21/2025,Delivered,7/23/2025,FedEx Ground
3412,391049312110,7/21/2025,Out for delivery,,FedEx Ground
819,391049312359,7/21/2025,Out for delivery,,FedEx Ground
2237,391049312370,7/21/2025,Out for delivery,,FedEx Ground
5447,391049313046,7/21/2025,Out for delivery,,FedEx Ground
628,391049313057,7/21/2025,Out for delivery,,FedEx Ground
7199,391049315222,7/21/2025,Out for delivery,,FedEx Ground
1225,391049315303,7/21/2025,Out for delivery,,FedEx Ground
2435,391049317100,Will be updated soon,Out for delivery,,FedEx Ground
2166,391049317730,7/21/2025,Out for delivery,,FedEx Ground
3658,391049317800,7/21/2025,Delivered,7/24/2025,FedEx Ground
5293,391049317876,7/21/2025,Out for delivery,,FedEx Ground
5343,391049317968,7/21/2025,Out for delivery,,FedEx Ground
5888,391049318162,7/21/2025,Out for delivery,,FedEx Ground
2251,391049318493,7/21/2025,Out for delivery,,FedEx Ground
520,391049318780,7/21/2025,Delivered,7/23/2025,FedEx Ground
1607,391049319066,7/21/2025,Out for delivery,,FedEx Ground
2030,391049319217,7/21/2025,Out for delivery,,FedEx Ground
2814,391049319515,7/21/2025,Delivery updated,,FedEx Ground
5498,391049319629,7/21/2025,Out for delivery,,FedEx Ground
5745,391049319651,7/21/2025,Delivered,7/24/2025,FedEx Ground
1614,391049319673,7/21/2025,Out for delivery,,FedEx Ground
1524,391049319695,7/21/2025,Out for delivery,,FedEx Ground
1372,391049319732,7/21/2025,Out for delivery,,FedEx Ground
1925,391049319754,7/21/2025,Out for delivery,,FedEx Ground
1888,391049319798,7/21/2025,Out for delivery,,FedEx Ground
818,391049320405,7/21/2025,Out for delivery,,FedEx Ground
5930,391049320828,7/21/2025,Out for delivery,,FedEx Ground
7245,391049321033,7/21/2025,Out for delivery,,FedEx Ground
5035,391049321044,7/21/2025,Out for delivery,,FedEx Ground
977,391049321375,7/21/2025,Out for delivery,,FedEx Ground
3471,391049321412,7/21/2025,Delivered,7/23/2025,FedEx Ground
5717,391049322588,7/21/2025,Out for delivery,,FedEx Ground
5864,391049326296,7/21/2025,Out for delivery,,FedEx Ground
2101,391049326366,7/21/2025,Out for delivery,,FedEx Ground
7032,391049331365,7/21/2025,Out for delivery,,FedEx Ground
2777,391049331619,7/21/2025,Out for delivery,,FedEx Ground
2208,391049332177,7/21/2025,Out for delivery,,FedEx Ground
1287,391049333200,7/21/2025,Out for delivery,,FedEx Ground
2460,391049334103,7/21/2025,Out for delivery,,FedEx Ground
4681,391049338830,7/21/2025,Out for delivery,,FedEx Ground
658,391049339366,7/21/2025,Delivered,7/23/2025,FedEx Ground
3611,391049339984,7/21/2025,Delivered,7/23/2025,FedEx Ground
2592,391049340028,7/21/2025,On the way,,FedEx Ground
2753,391049340142,7/21/2025,Delivery updated,,FedEx Ground
3344,391049340955,7/21/2025,Out for delivery,,FedEx Ground
110,391049342167,7/21/2025,Out for delivery,,FedEx Ground
2001,391049342395,7/21/2025,Out for delivery,,FedEx Ground
3564,391049342524,7/21/2025,Out for delivery,,FedEx Ground
666,391049342752,7/21/2025,Out for delivery,,FedEx Ground
3739,391049344023,7/21/2025,Out for delivery,,FedEx Ground
4697,391049344034,7/21/2025,Out for delivery,,FedEx Ground
3896,391049344674,7/21/2025,Out for delivery,,FedEx Ground
1586,391049345096,7/21/2025,Delivered,7/24/2025,FedEx Ground
630,391049345431,7/21/2025,Out for delivery,,FedEx Ground
1440,391049345486,7/21/2025,Out for delivery,,FedEx Ground
3241,391049346195,7/21/2025,Out for delivery,,FedEx Ground
1563,391049346221,7/21/2025,Out for delivery,,FedEx Ground
2176,391049346265,7/21/2025,Out for delivery,,FedEx Ground
2730,391049346368,7/21/2025,Out for delivery,,FedEx Ground
4273,391049346910,7/21/2025,Out for delivery,,FedEx Ground
1701,391049346920,7/21/2025,Out for delivery,,FedEx Ground
5154,391049347099,7/21/2025,Out for delivery,,FedEx Ground
2032,391049347191,7/21/2025,On the way,,FedEx Ground
7185,391049347240,7/21/2025,Delivered,7/23/2025,FedEx Ground
3912,391049347916,7/21/2025,Out for delivery,,FedEx Ground
3501,391049348030,7/21/2025,Out for delivery,,FedEx Ground
1037,391049350305,7/21/2025,Delivered,7/24/2025,FedEx Ground
2626,391049352606,7/21/2025,Out for delivery,,FedEx Ground
943,391049352742,7/21/2025,Out for delivery,,FedEx Ground
2920,391049352970,7/21/2025,Out for delivery,,FedEx Ground
3842,391049353521,7/21/2025,Delivered,7/24/2025,FedEx Ground
1705,391049354848,7/21/2025,Out for delivery,,FedEx Ground
5320,391049354951,7/21/2025,Delivered,7/24/2025,FedEx Ground
4247,391049354984,7/21/2025,Out for delivery,,FedEx Ground
5497,391049355936,7/21/2025,Delivered,7/24/2025,FedEx Ground
2137,391049356050,7/21/2025,Out for delivery,,FedEx Ground
5345,391049356141,7/21/2025,Out for delivery,,FedEx Ground
2277,391049356542,7/21/2025,On the way,,FedEx Ground
881,391049356900,7/21/2025,Out for delivery,,FedEx Ground
5275,391049356932,7/21/2025,Delivered,7/23/2025,FedEx Ground
2058,391049356965,7/21/2025,Out for delivery,,FedEx Ground
889,391049357078,7/21/2025,Delivered,7/24/2025,FedEx Ground
5105,391049357240,7/21/2025,Out for delivery,,FedEx Ground
1029,391049357468,7/21/2025,Delivered,7/24/2025,FedEx Ground
4476,391049357490,7/21/2025,Delivery updated,,FedEx Ground
1850,391049357799,7/21/2025,Delivered,7/24/2025,FedEx Ground
3119,391049358270,7/21/2025,Out for delivery,,FedEx Ground
3789,391049358306,7/21/2025,Out for delivery,,FedEx Ground
3180,391049358350,7/21/2025,Out for delivery,,FedEx Ground
1656,391049358486,7/21/2025,Out for delivery,,FedEx Ground
1951,391049358556,7/21/2025,Out for delivery,,FedEx Ground
1957,391049359037,7/21/2025,Out for delivery,,FedEx Ground
2727,391049359048,7/21/2025,Delivery updated,,FedEx Ground
5133,391049359666,7/21/2025,Out for delivery,,FedEx Ground
2988,391049360019,7/21/2025,Delivered,7/23/2025,FedEx Ground
5947,391049361655,7/21/2025,Out for delivery,,FedEx Ground
2050,391049363187,7/21/2025,Out for delivery,,FedEx Ground
3531,391049365937,7/21/2025,Out for delivery,,FedEx Ground
3243,391049367403,7/21/2025,Out for delivery,,FedEx Ground
955,391049369358,7/21/2025,Out for delivery,,FedEx Ground
5429,391049370145,7/21/2025,Out for delivery,,FedEx Ground
2519,391049370903,7/21/2025,Delivered,7/24/2025,FedEx Ground
