Store #,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail
2023,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
2205,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
2334,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
2340,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
2519,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
2888,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
4404,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
5200,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
1537,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
1823,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
1850,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
3633,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
5358,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
5469,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
5888,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
1770,4.43,,2.36,,4.15,,2.22,,3.94,,2.12,,3.77,,2.03,,4.12,,2.21,
4644,4.43,,2.36,,4.15,,2.22,,3.94,,2.12,,3.77,,2.03,,4.12,,2.21,
4643,4.43,,2.36,,4.15,,2.22,,3.94,,2.12,,3.77,,2.03,,4.12,,2.21,
1820,4.43,,2.36,,4.15,,2.22,,3.94,,2.12,,3.77,,2.03,,4.12,,2.21,
1883,4.43,,2.36,,4.15,,2.22,,3.94,,2.12,,3.77,,2.03,,4.12,,2.21,
1885,4.43,,2.36,,4.15,,2.22,,3.94,,2.12,,3.77,,2.03,,4.12,,2.21,
2603,4.43,,2.36,,4.15,,2.22,,3.94,,2.12,,3.77,,2.03,,4.12,,2.21,
3223,4.43,,2.36,,4.15,,2.22,,3.94,,2.12,,3.77,,2.03,,4.12,,2.21,
