Store Nbr,Store Type Descr,Store Name,State,Market,Reg,Cupcake Double Bucket,"DZ Roses 
Double Bucket","DZ Roses 
Pallet","DZ Roses 
Double Decker",LG Carnations Double Bucket,LG Vase DZ Roses Pallet,MED Vase Mixed Bqt Display,Mega Mixed Bqt Pallet,Mini Rose Plus Double Bucket,"Mixed BQT 
Double Bucket","Mixed BQT 
Pallet","Mixed BQT 
Double Decker","Rose Lily
Double Bucket",Small Bouquet Double Bucket,"XL Premium Roses
Double Bucket","XL Premium Roses
Pallet",TOTAL PROMO DISPLAYS
4115,Supercenter,SAN ANTONIO CIBOLO TX,TX,87,6,9,3,,2,9,7,5,2,2,2,,2,4,9,4,2,62
4130,Supercenter,KYLE TX,TX,82,5,6,1,2,2,9,3,3,2,16,1,1,2,3,7,3,1,62
4165,Supercenter,FORT WORTH JACKSBORO & RI,TX,479,5,5,3,2,4,9,5,4,2,,1,1,2,4,6,2,2,52
4183,Supercenter,BRYAN WEST TX,TX,85,6,3,3,,2,,6,,,2,2,,2,3,,,2,25
4195,Supercenter,CHOCTAW OK,OK,352,44,8,3,,2,8,8,2,1,,1,2,2,4,6,2,1,50
4200,Supercenter,"COLUMBUS (GATEWAY), GA",GA,16,3,2,3,,2,,9,3,,2,1,2,2,3,7,,1,37
4219,Supercenter,"BUDA, TX",TX,82,5,5,2,2,1,6,6,5,1,8,2,1,2,3,10,3,2,59
4238,Supercenter,"SANGER, CA",CA,449,57,3,3,,1,9,2,5,2,8,4,,2,4,1,4,1,49
4260,Supercenter,"PORT ST LUCIE (SW), FL",FL,107,9,3,1,2,3,,6,2,2,4,2,,2,4,7,3,2,43
4262,Supercenter,"THE VILLAGES (N), FL",FL,89,9,4,2,2,,3,,2,2,6,2,2,2,3,,4,,34
4272,Supercenter,"LOGAN (S), UT",UT,401,54,3,4,1,2,,5,2,,2,1,2,2,3,4,2,,33
4273,Supercenter,"LELAND, NC",NC,300,26,6,2,1,3,,7,4,1,2,1,,2,3,7,3,,42
4274,Supercenter,"LOWESVILLE, NC",NC,305,4,7,3,2,2,3,3,2,1,10,1,,2,3,8,2,1,50
4298,Supercenter,"HOUSTON (REDSTONE), TX",TX,59,6,5,3,2,4,10,10,,2,4,2,2,2,,4,4,2,56
4335,Supercenter,"FALCON (PEYTON), CO",CO,391,54,5,2,,1,7,6,5,2,4,2,1,2,3,7,4,2,53
4336,Supercenter,"EL MIRAGE, AZ",AZ,368,46,5,3,2,,3,4,4,2,4,2,2,2,3,10,8,2,56
4340,Supercenter,"HESPERIA, CA",CA,445,57,4,2,,3,,6,3,,4,2,,2,4,4,3,2,39
4356,Supercenter,"LAS VEGAS (RAINBOW), NV",NV,396,57,4,2,2,1,,7,4,1,2,2,,2,4,8,3,1,43
4366,Neighborhood Market,"EL PASO (RESLER), TX",TX,526,64,2,2,1,2,3,,1,1,2,1,,2,3,,1,2,23
4368,Supercenter,"OCALA (SE), FL",FL,93,3,,2,,1,3,2,2,,16,1,,2,3,,1,,33
4381,Supercenter,"BRANSON, MO",MO,333,40,1,2,,1,5,4,,1,2,2,1,2,4,4,2,,31
4387,Supercenter,"WORCESTER, MA",MA,156,16,,2,1,4,,4,2,2,4,1,,2,3,4,1,1,31
4392,Supercenter,"VICTORVILLE (W), CA",CA,445,57,4,1,,1,,5,2,,2,3,,2,3,6,1,2,32
4399,Supercenter,"MISHAWAKA, IN",IN,247,21,4,3,,1,8,,,,8,2,1,2,,4,,1,34
4405,Supercenter,"AURORA (NE), IL",IL,264,25,7,1,2,2,9,7,2,2,4,3,1,2,4,4,2,2,54
4415,Neighborhood Market,"EL PASO (NO. LOOP), TX",TX,526,64,,2,,1,9,4,1,2,4,1,,2,3,9,8,2,48
4423,Supercenter,"MARTINSBURG (N), WV",WV,280,75,2,3,,3,7,6,2,2,4,1,1,2,3,4,3,,43
4438,Supercenter,"SARATOGA SPRINGS, UT",UT,403,54,10,3,,3,,5,5,,6,2,1,2,3,4,4,2,50
4440,Supercenter,"BALLENTINE (IRMO), SC",SC,41,4,6,3,1,1,,6,5,,6,1,1,2,3,5,2,2,44
4451,Supercenter,"QUEEN CREEK (N), AZ",AZ,373,46,2,3,,3,6,5,3,2,10,1,1,2,3,5,8,2,56
4456,Supercenter,"SOMMERDALE, NJ",NJ,558,22,5,2,1,3,,4,2,,4,1,2,2,3,,2,,31
4484,Supercenter,"RALEIGH (TRI.MALL), NC",NC,297,26,4,2,1,2,,5,5,,2,1,1,2,3,3,3,1,35
4494,Neighborhood Market,CALDWELL ID,ID,557,61,5,3,2,,,2,4,,8,1,,2,3,,3,,33
4501,Supercenter,"WEST BROWNSVILLE, PA",PA,235,20,7,3,2,,,7,5,,6,1,,2,3,,,2,38
4508,Supercenter,"PENITAS, TX",TX,80,6,4,3,2,2,4,4,,2,4,1,,2,,8,3,1,40
4509,Supercenter,"BENBROOK, TX",TX,48,5,5,1,,3,7,4,,1,4,1,,2,4,8,4,1,45
4521,Supercenter,"LEXINGTON (S), SC",SC,41,4,8,3,2,3,3,9,2,2,16,2,2,2,3,2,5,2,66
4531,Supercenter,"ROMEOVILLE, IL",IL,265,25,4,2,1,3,9,4,3,2,4,1,,2,3,5,3,1,47
4538,Supercenter,KATY FRY RD AND W LITTLE,TX,67,6,3,1,2,2,4,4,2,,,2,,2,3,8,4,1,38
4601,Supercenter,"LAS CRUCES (N), NM",NM,387,46,1,4,1,2,5,10,2,3,6,3,,2,4,,,2,45
4612,Supercenter,"HAMBURG, PA",PA,168,22,2,2,2,,,5,,,2,3,1,2,,,2,,21
4616,Supercenter,"CLEVELAND, GA",GA,18,2,1,1,,,,5,,,,1,2,2,,,1,,13
4627,Supercenter,"DENTON (NW), TX",TX,52,5,2,3,1,4,5,7,2,1,4,1,,2,3,5,5,2,47
4635,Supercenter,"CLINTON, TN",TN,121,2,2,2,1,1,,5,3,,10,1,,2,3,4,4,1,39
4637,Supercenter,"BROKEN ARROW E., OK",OK,356,44,2,2,,3,4,9,3,1,,3,,2,3,,3,,35
4678,Supercenter,"HURRICANE, UT",UT,405,46,6,3,,1,,5,2,,2,1,2,2,3,,2,,29
4696,Supercenter,"HEBER CITY, UT",UT,582,54,3,2,1,1,,5,2,,2,2,,2,3,1,5,,29
5039,Supercenter,CAMDEN DE 11-12-02,DE,284,75,5,1,,5,,5,2,2,4,2,1,2,3,3,2,1,38
5054,Supercenter,"JACKSONVILLE (ATLAN), FL",FL,98,3,3,3,2,1,3,3,5,,,2,1,2,3,2,1,1,32
5071,Supercenter,LAWTON OK 11-12-02,OK,349,44,1,4,,3,9,13,2,2,10,3,1,2,3,6,5,2,66
5080,Supercenter,HURST TX,TX,50,5,1,1,,4,,3,2,,4,1,,2,3,6,3,1,31
5092,Supercenter,LEWISVILLE (SE) TX,TX,53,5,1,1,,4,4,6,2,1,,4,,2,3,3,2,1,34
5113,Supercenter,"PELL CITY, AL",AL,2,14,6,4,1,2,,5,3,,2,2,,2,3,,2,,32
5116,Supercenter,LA PORTE TX,TX,60,6,3,2,2,3,,7,2,,,2,1,2,3,,3,1,31
5123,Supercenter,COLORADO SPGS (NE) CO,CO,391,54,6,3,1,1,3,6,4,2,2,2,,2,3,7,,2,44
5124,Supercenter,"GLENDALE (MAINSTEE), AZ",AZ,370,46,,3,2,1,3,4,3,,2,2,2,2,3,10,1,2,40
5126,Supercenter,CENTRE AL,AL,3,14,,3,,,,5,4,,2,3,1,2,3,,4,,27
5141,Supercenter,"OMAHA (NW), NE",NE,432,47,4,1,,,5,7,5,1,6,1,,2,3,,4,,39
5155,Supercenter,LAS CRUCES (SW) NM,NM,387,46,3,1,2,1,7,8,4,2,8,3,2,2,3,10,8,2,66
5156,Supercenter,"BEAUMONT, CA",CA,463,57,3,3,2,2,,8,2,,2,2,1,2,3,4,2,1,37
5165,Supercenter,"ALAMO, TX",TX,80,6,4,1,1,3,9,7,2,2,8,2,,2,3,,8,2,54
5166,Supercenter,DEMING NM,NM,387,46,9,2,,1,9,9,5,2,2,2,1,2,3,6,7,2,62
5175,Supercenter,ALGOOD TN,TN,152,41,1,3,2,1,,8,2,,,3,,2,3,,4,,29
5189,Supercenter,PHOENIX (MARYVALE) AZ,AZ,369,46,4,1,1,1,9,3,5,2,4,4,,2,3,2,8,2,51
5193,Supercenter,"MORENO VALLEY, CA",CA,461,57,4,2,1,2,,3,2,,2,3,,2,3,6,2,,32
5216,Supercenter,"AMARILLO, (NW) TX",TX,70,46,5,1,2,1,,3,2,,12,1,,2,3,,2,2,36
5233,Supercenter,"WEST VALLEY CITY (S), UT",UT,403,54,3,3,,2,,6,5,2,2,3,2,2,4,,3,2,39
5236,Supercenter,BOWLING GREEN (NW) KY,KY,254,41,6,3,,3,,7,2,2,2,1,2,2,3,6,1,1,41
5245,Supercenter,SAN ANTONIO (BROOKS) TX,TX,77,6,5,3,2,2,8,7,4,2,4,2,1,2,4,9,5,2,62
5247,Supercenter,"ROANOKE, TX",TX,479,5,1,1,1,3,4,7,2,1,2,3,1,2,4,2,,2,36
5250,Supercenter,KISSIMMEE FL,FL,90,9,3,2,,8,,9,3,2,2,3,1,2,4,10,6,2,57
5261,Supercenter,"PINEVILLE, MO",MO,323,42,3,3,1,1,,4,4,,4,3,1,2,3,5,2,1,37
5263,Supercenter,CLEVELAND (S) TN,TN,119,2,5,1,,2,,5,,,14,1,,2,,4,4,,38
5270,Supercenter,LINDON UT,UT,582,54,2,1,1,2,,6,4,,8,1,2,2,3,,5,,37
5288,Supercenter,"SEAGOVILLE, TX",TX,49,5,2,4,,5,9,7,5,2,,1,1,2,4,6,6,2,56
5300,Supercenter,"GIBSONTON, FL",FL,116,9,11,1,,3,,12,5,2,14,1,,2,4,5,3,1,64
5316,Supercenter,SAGINAW TX,TX,479,5,1,1,2,4,9,7,,2,4,1,1,2,2,2,3,1,42
5326,Supercenter,OCALA (SW) FL,FL,93,3,2,4,1,,3,4,4,2,16,3,2,2,4,,4,,51
5330,Supercenter,"PHOENIX, AZ",AZ,369,46,3,3,1,5,9,5,,2,8,1,,2,,1,3,1,44
5331,Supercenter,PHOENIX TOLLESON AZ,AZ,368,46,5,2,1,1,9,7,,2,6,1,,2,,4,6,2,48
5343,Supercenter,"FREDERICKSBURG, VA",VA,291,75,6,1,,3,10,15,2,2,2,2,1,2,2,2,2,2,54
5347,Supercenter,FORT MYERS FL,FL,105,9,4,2,2,2,,3,2,,4,1,,2,4,5,,2,33
5356,Supercenter,BLAIRSVILLE PA,PA,231,22,5,2,,1,,5,3,,,1,1,2,2,,4,,26
5359,Supercenter,AZLE TX,TX,48,5,5,1,,2,,6,3,,,2,1,2,2,7,,1,32
5368,Supercenter,"SALEM (C), OR",OR,477,60,7,1,1,1,,5,4,,2,2,1,2,2,7,1,,36
5387,Supercenter,"MIDDLEFIELD, OH",OH,209,20,3,3,1,,,7,2,,2,1,,2,2,,2,1,26
5394,Supercenter,DINUBA CA,CA,581,57,4,1,1,1,10,2,4,2,4,2,,2,4,3,8,2,50
5414,Supercenter,FORKED RIVER NJ,NJ,178,22,3,1,,2,,5,3,,2,1,,2,2,3,1,,25
5422,Supercenter,"BAINBRIDGE, GA",GA,97,3,3,3,,,,7,5,,,4,,2,2,,2,,28
5430,Supercenter,"ALBUQUERQUE, NM",NM,384,46,5,3,2,2,5,18,5,2,12,3,2,2,4,2,2,,69
5450,Supercenter,"NORTH EAST, MD",MD,284,75,,2,1,2,,5,2,,,1,1,2,2,3,1,,22
5455,Supercenter,"PALM BAY, FL",FL,92,9,4,3,,2,,6,5,2,16,4,,2,2,5,1,1,53
5461,Supercenter,VANCOUVER (NE) WA,WA,476,60,6,1,,1,5,3,4,,6,3,,2,2,,1,2,36
5470,Supercenter,HUNTINGDON PA,PA,237,22,2,3,2,1,,2,2,,6,1,1,2,2,,2,,26
5476,Supercenter,DEPTFORD (WEST) NJ,NJ,165,22,1,4,,4,,5,3,,4,1,,2,2,5,2,,33
5480,Supercenter,ROUND ROCK (NE) TX,TX,83,5,,1,2,2,5,7,2,1,10,1,1,2,2,10,6,2,54
5487,Supercenter,"TRAVELERS REST, SC",SC,35,2,10,2,2,3,,3,3,,,3,1,2,2,,3,,34
5494,Supercenter,"IDAHO FALLS (W), ID",ID,400,56,6,2,,2,,7,,1,10,4,,2,4,4,1,1,44
5497,Supercenter,"LERAY, NY",NY,187,17,2,4,1,3,,6,3,2,12,1,,2,2,4,,2,44
5626,Supercenter,TUCSON BRIDGES AZ,AZ,367,46,1,1,,2,,7,5,,4,2,1,2,2,,4,,31
5709,Supercenter,"LOCUST GROVE, GA",GA,19,2,3,2,2,2,,9,2,,4,1,,2,2,3,2,2,36
5713,Supercenter,"LAREDO (NE), TX",TX,88,46,,1,,3,,5,,,20,2,,2,,,2,1,36
5727,Supercenter,"SARASOTA (NE), FL",FL,115,9,4,1,1,1,,3,5,,,1,,2,2,6,3,1,30
5745,Supercenter,"LAKE WYLIE, SC",SC,305,4,6,2,1,2,,3,2,,,3,,2,2,,1,2,26
5808,Supercenter,ELSA TX,TX,569,6,2,4,1,2,6,9,5,2,12,1,,2,2,8,,1,57
5841,Supercenter,"MERIDIAN, ID",ID,399,56,3,3,2,,,4,4,,,1,,2,2,1,2,,24
5845,Supercenter,"NICEVILLE, FL",FL,15,14,5,3,2,1,7,5,5,3,4,1,,2,2,5,,1,46
5867,Supercenter,"BAYONNE, NJ",NJ,176,17,4,3,2,2,,4,,,,1,1,2,,5,3,2,29
5872,Supercenter,"DESTIN (E), FL",FL,15,14,2,1,,1,,5,4,,2,3,1,2,2,,,,23
5898,Supercenter,"CORPUS CHRISTI, TX",TX,78,6,4,1,1,2,,8,2,1,4,2,,2,2,3,2,1,35
5947,Supercenter,EL PASO TX,TX,505,46,1,2,2,2,7,2,,2,26,1,,2,,2,5,2,56
5959,Supercenter,HOUSTON TX,TX,63,6,2,4,1,3,,5,2,,6,2,,2,2,,,2,31
6173,Supercenter,ROBERTSDALE AL,AL,1,14,1,3,2,1,,8,5,,4,1,1,2,4,7,,,39
6579,Supercenter,NEW CANEY TX,TX,59,6,2,2,1,5,9,8,4,2,2,1,,2,4,1,6,2,51
6587,Neighborhood Market,EL PASO HWY 54 & MLK TX,TX,526,64,3,2,2,,9,3,3,,,2,1,2,4,,2,,33
6878,Supercenter,HAZEL GREEN AL,AL,5,12,6,2,1,2,3,6,4,2,6,3,,2,2,,5,,44
6929,Supercenter,TEMPLE TX,TX,76,5,1,3,2,4,7,7,,2,4,1,,2,4,6,5,,48
6963,Supercenter,ANNA TX,TX,52,5,3,2,1,3,10,4,2,2,2,3,2,2,2,3,1,1,43
7032,Supercenter,RICHMOND LABURNUM VA,VA,287,75,5,3,,,,3,3,,6,2,2,2,2,,2,,30
7199,Supercenter,GREAT FALLS S MT,MT,383,47,8,3,,1,,3,2,,2,3,,2,2,,3,,29
7280,Supercenter,CULLMAN N AL,AL,2,14,1,3,,2,5,9,,2,8,1,1,2,4,1,3,,42
7326,Supercenter,OKLAHOMA CITY SW OK,OK,353,44,1,2,,4,9,3,2,2,2,3,1,2,4,2,1,1,39
1108,Supercenter,"OAK GROVE, LA",LA,135,42,,2,1,,,4,,,2,2,,1,,,,,12
5,Supercenter,CONWAY AR,AR,326,42,5,3,,2,,6,5,,14,6,2,1,3,,4,,51
8,Supercenter,MORRILTON AR,AR,326,42,5,4,,1,,3,2,,4,3,,1,3,,4,,30
18,Supercenter,NEWPORT AR,AR,328,42,4,2,,1,,,3,,2,3,,1,3,,3,,22
20,Supercenter,CLINTON MO,MO,357,40,7,3,2,,,6,5,,6,3,,1,3,7,3,1,47
21,Supercenter,ST ROBERT MO /WAYNESVILLE,MO,336,40,4,3,,2,6,7,4,,12,3,2,1,3,2,4,2,55
24,Supercenter,JACKSONVILLE AR,AR,326,42,2,2,,1,,5,5,,4,1,2,1,3,5,2,1,34
25,Supercenter,MEXICO MO,MO,359,40,1,2,1,1,,2,5,,,4,,1,3,,1,,21
26,Supercenter,LEAVENWORTH KS,KS,411,47,6,2,2,2,3,3,5,,4,2,,1,3,,2,,35
27,Supercenter,SALEM MO,MO,357,40,3,3,,1,,2,3,,2,1,,1,3,,1,,20
28,Supercenter,MIAMI OK,OK,347,44,6,2,1,1,,3,3,,,3,1,1,3,6,3,,33
31,Supercenter,POTEAU OK,OK,351,44,4,2,2,1,5,8,2,,2,2,2,1,3,,1,,35
34,Supercenter,NEVADA MO,MO,334,42,4,3,1,,,5,4,,4,1,2,1,3,,,1,29
35,Supercenter,MANHATTAN KS,KS,407,47,3,2,1,2,3,4,,,4,3,,1,,,,1,24
38,Supercenter,IDABEL OK,OK,47,44,,3,1,1,,4,,,4,1,1,1,,,4,,20
40,Supercenter,MOBERLY MO,MO,359,40,4,3,1,2,,6,5,,2,2,2,1,3,4,1,,36
42,Supercenter,COFFEYVILLE KS,KS,410,44,,4,1,,,3,2,,,1,,1,3,,3,,18
43,Supercenter,JUNCTION CITY KS,KS,407,47,6,2,1,2,3,5,2,,8,1,,1,3,,3,,37
47,Supercenter,SALLISAW OK,OK,351,44,8,3,2,,,5,,,2,1,2,1,,,,1,25
48,Supercenter,MONETT MO,MO,334,42,2,3,2,1,,5,2,,,1,2,1,3,6,5,,33
51,Supercenter,FULTON MO,MO,339,40,1,3,2,,,3,4,,,2,2,1,3,,,1,22
52,Supercenter,HOT SPRINGS AR,AR,325,42,2,2,2,1,,3,2,,,3,,1,3,,5,,24
60,Supercenter,TROY MO,MO,339,40,,3,,1,,5,4,,2,2,2,1,3,3,4,,30
63,Supercenter,WAGONER OK,OK,347,44,,2,,1,,3,2,,,1,1,1,3,,4,,18
64,Supercenter,BROWNSVILLE TN,TN,146,41,,3,,1,,4,3,,,3,,1,3,,1,,19
65,Supercenter,SULLIVAN MO,MO,336,40,2,3,2,1,,5,4,,,1,,1,3,,4,,26
66,Supercenter,CLARKSVILLE AR,AR,321,42,7,2,,1,3,8,5,2,2,1,1,1,3,3,1,,40
70,Supercenter,WEST MEMPHIS AR,AR,329,12,3,3,1,1,,5,3,,2,3,1,1,3,,2,,28
71,Supercenter,POCAHONTAS AR,AR,328,42,7,2,,2,,2,2,,2,1,1,1,3,,2,,25
72,Supercenter,PITTSBURG KS,KS,410,44,3,2,,4,7,2,2,,,1,1,1,3,6,5,,37
73,Supercenter,SAPULPA OK,OK,356,44,,2,,1,,4,,,,4,1,1,,,1,,14
76,Supercenter,BERRYVILLE AR,AR,322,42,6,2,,2,6,5,5,2,4,4,,1,3,2,4,2,48
77,Supercenter,TAYLOR TX,TX,83,5,8,2,2,2,,3,2,,2,3,,1,3,,1,,29
78,Supercenter,MARSHFIELD MO,MO,357,40,4,3,,1,,5,5,,,4,1,1,3,,2,,29
79,Supercenter,WEST JOPLIN MO,MO,334,42,6,3,1,1,,5,,,,3,2,1,,5,3,1,31
80,Supercenter,COLUMBIA MO,MO,359,40,4,3,,2,,3,5,,4,3,,1,3,2,,1,31
82,Supercenter,PERRYVILLE MO,MO,335,40,2,3,2,,,3,2,,6,3,,1,3,,3,,28
85,Supercenter,BENTON AR,AR,324,42,2,2,1,2,,4,3,,2,3,1,1,3,,1,,25
88,Supercenter,MOUNTAIN GROVE MO,MO,357,40,4,3,2,,,4,4,,,1,1,1,3,,1,,24
94,Supercenter,MILLINGTON TN,TN,145,12,2,2,2,1,,7,,,4,1,1,1,,3,2,,26
95,Supercenter,DESLOGE MO,MO,335,40,4,2,1,1,,3,3,,6,3,2,1,3,,1,,30
96,Supercenter,HARRISONVILLE MO,MO,361,40,5,2,2,1,,4,2,,,3,2,1,3,2,,1,28
99,Supercenter,UNION MO,MO,336,40,1,2,2,,,2,2,,,3,1,1,3,,2,1,20
102,Supercenter,STUTTGART AR,AR,327,42,3,2,2,,,4,5,,,3,,1,3,,4,,27
104,Supercenter,MILAN TN,TN,146,41,5,3,,2,,7,5,,10,2,,1,3,10,3,1,52
105,Supercenter,CORINTH MS,MS,4,12,9,2,2,2,,4,,,6,2,2,1,,,2,1,33
108,Supercenter,GUTHRIE OK,OK,344,44,4,2,2,1,,4,4,,,4,1,1,3,7,1,1,35
109,Supercenter,CAMERON MO,MO,360,40,5,3,,,,4,5,,2,2,1,1,3,,2,1,29
111,Supercenter,CHANUTE KS,KS,410,44,,2,,,,3,5,,,1,1,1,3,,3,,19
112,Supercenter,STARKVILLE MS,MS,138,14,8,2,,1,,6,2,,6,2,,1,3,,5,,36
114,Supercenter,BOONEVILLE MS,MS,4,12,15,2,2,1,,2,2,,,1,2,1,3,,4,,35
115,Supercenter,"WEST POINT, MS",MS,138,14,4,2,,1,,6,5,,2,1,1,1,3,,1,,27
118,Supercenter,AMORY MS,MS,4,12,7,3,,1,,4,3,,2,1,1,1,3,,2,,28
120,Supercenter,HUMBOLDT TN,TN,146,41,3,3,,1,,5,,,4,2,1,1,,5,,1,26
122,Supercenter,JACKSON MO,MO,335,40,6,4,,1,,3,5,,2,2,1,1,3,,3,,31
126,Supercenter,LITTLE ROCK AR,AR,324,42,2,3,1,1,,2,4,,,2,,1,3,,1,1,21
128,Supercenter,"JONESBORO (W), AR",AR,329,12,5,2,,2,,3,5,,2,1,1,1,3,,4,2,31
129,Supercenter,ARDMORE OK,OK,350,44,3,2,1,3,,10,5,1,6,2,2,1,3,7,3,,49
132,Supercenter,KINGFISHER OK,OK,344,44,,3,1,1,,3,5,,,1,1,1,3,,4,,23
134,Supercenter,ELK CITY OK,OK,344,44,,2,,1,,4,3,,2,1,1,1,3,,3,1,22
135,Supercenter,CHILLICOTHE MO,MO,360,40,3,3,1,,,2,,,,4,,1,,,1,,15
137,Supercenter,STILLWATER OK,OK,352,44,9,2,2,2,3,9,,2,,1,,1,3,,2,,36
139,Supercenter,PURCELL OK,OK,353,44,4,2,1,1,,3,4,,2,4,,1,3,,5,,30
145,Supercenter,BOWLING GREEN MO,MO,339,40,2,3,2,,,3,4,,2,1,,1,3,,1,,22
147,Supercenter,DENISON TX,TX,350,44,4,2,,2,9,4,,1,4,1,2,1,3,,2,2,37
150,Supercenter,WOODWARD OK,OK,344,44,3,3,2,1,,6,4,,,1,,1,3,,2,2,28
152,Supercenter,DESOTO MO,MO,335,40,4,2,1,1,3,3,2,2,2,1,2,1,3,,4,1,32
154,Supercenter,ABINGDON VA,VA,311,20,8,3,,2,4,4,4,,,1,,1,3,,2,,32
158,Supercenter,BONHAM TX,TX,350,44,,3,,1,,2,4,,6,1,,1,3,,4,,25
159,Supercenter,COLUMBIA MO,MO,359,40,3,3,1,2,,2,2,,4,1,2,1,3,,2,,26
160,Supercenter,ASH FLAT AR,AR,328,42,3,3,,1,,3,4,,,1,1,1,3,,4,,24
161,Supercenter,HUNTINGDON TN,TN,147,12,3,3,2,,,3,2,,2,1,2,1,3,,,1,23
162,Supercenter,"ANADARKO, OK",OK,349,44,,2,2,,,3,2,,2,4,,1,3,,,,19
163,Supercenter,NACOGDOCHES TX,TX,503,6,7,2,1,4,,5,2,2,8,4,1,1,3,6,3,1,50
164,Supercenter,PONTOTOC MS,MS,4,12,,3,1,2,4,8,2,,4,3,1,1,3,,2,,34
166,Supercenter,HOUSTON MO,MO,357,40,3,3,1,,,3,5,,2,4,1,1,3,,1,,27
167,Supercenter,CROSSETT AR,AR,327,42,4,2,,,,2,2,,,4,,1,3,,5,,23
172,Supercenter,WASHINGTON MO,MO,336,40,3,3,,2,4,4,,2,4,3,1,1,,,1,1,29
173,Supercenter,POTOSI MO,MO,357,40,7,3,2,,,3,5,,2,1,2,1,3,,1,,30
175,Supercenter,COLLIERVILLE TN,TN,144,12,2,2,,2,,3,2,,2,1,2,1,3,,1,,21
178,Supercenter,"ALVA, OK",OK,344,44,,3,,1,,3,2,,,4,,1,3,,2,,19
179,Supercenter,"SPRINGFIELD, MO",MO,357,40,4,4,,1,,3,5,,4,3,1,1,3,,3,1,33
183,Supercenter,LOUISVILLE MS,MS,138,14,4,2,1,,,3,3,,2,3,,1,3,,1,,23
185,Supercenter,GAINESVILLE TX,TX,350,44,5,3,2,,5,6,5,2,4,3,2,1,3,2,4,2,49
186,Supercenter,EL DORADO KS,KS,409,44,,2,,,,,5,,,3,,1,3,,1,,15
189,Supercenter,KIRKSVILLE MO,MO,359,40,2,3,2,1,,3,4,,,1,1,1,3,,1,,22
190,Supercenter,KENNETT MO,MO,329,12,4,2,2,1,,9,4,,4,3,,1,3,,,,33
195,Supercenter,EXCELSIOR SPRINGS MO,MO,360,40,4,2,2,2,,2,4,,,1,,1,3,,1,,22
196,Supercenter,CARBONDALE IL,IL,271,25,5,3,2,1,,3,5,,2,3,,1,3,,1,,29
198,Supercenter,SALEM IL,IL,272,25,,3,2,,,4,,,4,4,,1,,,4,,22
199,Supercenter,LINCOLN IL,IL,278,25,3,3,1,1,,5,5,,2,1,1,1,3,6,3,1,36
200,Supercenter,JACKSONVILLE IL,IL,275,25,5,2,2,1,8,7,,2,8,3,1,1,,4,1,1,46
204,Supercenter,PRINCETON KY,KY,253,41,5,3,2,1,,4,3,,6,2,2,1,3,,,1,33
205,Supercenter,PHILADELPHIA MS,MS,138,14,4,3,,1,,7,5,,2,1,1,1,3,,3,,31
206,Supercenter,MCKINNEY TX,TX,52,5,1,3,,2,,5,5,,4,1,1,1,3,,1,1,28
211,Supercenter,HILLSBORO TX,TX,76,5,4,2,,2,4,6,5,,4,2,,1,4,3,2,2,41
212,Supercenter,NORMAN OK,OK,353,44,3,2,1,3,,6,3,1,2,3,2,1,4,2,,1,34
214,Supercenter,JASPER TX,TX,503,6,2,3,,2,,2,5,,2,1,,1,3,,5,,26
222,Supercenter,SPARTA IL,IL,271,25,4,4,,1,,4,5,,,3,2,1,3,,2,,29
224,Supercenter,"MT. VERNON, IL.",IL,272,25,,3,2,1,,4,,,2,3,,1,,,2,,18
225,Supercenter,SULPHUR OK.,OK,350,44,,2,2,,,6,5,,8,1,2,1,3,,1,1,32
226,Supercenter,"ATLANTA, TX.",TX,47,44,2,3,2,,,4,3,,4,1,,1,3,,4,,27
227,Supercenter,EL RENO OK.,OK,344,44,2,3,,1,,4,,,2,1,1,1,,,,1,16
228,Supercenter,CLEBURNE TX.,TX,48,5,4,2,1,2,,5,5,2,4,3,,1,3,7,3,1,43
231,Supercenter,ADA OK.,OK,350,44,6,2,1,4,,9,4,2,2,1,2,1,3,8,4,2,51
233,Supercenter,"ANNA, IL.",IL,271,25,7,2,,1,,3,2,,8,1,,1,3,,2,,30
234,Supercenter,"KANSAS CITY, MO.",MO,360,40,4,2,2,2,,4,4,,,2,,1,3,,,,24
237,Supercenter,HARRISBURG IL.,IL,271,25,,3,1,2,,3,5,,2,4,,1,3,,2,,26
239,Supercenter,"KOSCIUSKO, MS.",MS,138,14,3,3,1,1,,2,,,4,1,1,1,,,1,,18
240,Supercenter,COMMERCE TX.,TX,47,44,6,2,,1,,3,3,,,2,,1,3,,5,,26
246,Supercenter,SKIATOOK OK.,OK,345,44,7,2,,1,,3,5,,,1,,1,3,,,2,25
248,Supercenter,MEXIA TX.,TX,76,5,,4,,2,,2,,,2,4,,1,,2,2,,19
249,Supercenter,CLEVELAND TX.,TX,503,6,5,2,1,4,7,6,,,8,4,1,1,,1,3,2,45
250,Supercenter,WARSAW MO.,MO,336,40,2,3,1,,,2,,,2,1,2,1,,,3,,17
251,Supercenter,MINEOLA TX.,TX,45,5,3,2,,2,,3,3,,2,3,1,1,3,,,,23
252,Supercenter,"DU QUOIN, IL.",IL,271,25,8,3,1,,,3,4,,2,3,,1,3,,2,,30
253,Supercenter,"JERSEYVILLE, IL.",IL,272,25,2,2,1,1,,,5,,,2,1,1,3,,1,,19
254,Supercenter,OLNEY IL.,IL,273,25,,2,2,,,3,5,,2,4,1,1,3,,3,,26
