DC Number,Type,Date,Application,Summary,Status,CRQ NUMBER,CRQ Link
6083,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7084,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6091,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6073,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6096,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7024,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6084,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
8397,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6097,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6099,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7012,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7079,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
8348,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
8852,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6858,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7019,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7017,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7014,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7030,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7023,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7016,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7055,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
8851,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
2364,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
2971,Enhancement,7/29/2025,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",Deployed,CHG3372098,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
2971,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
2971,Enhancement,7/29/2025,Inventory,Piloted a new version of the inventory user interface,Deployed,CHG3372801,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
4020,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
4047,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
4047,Enhancement,7/29/2025,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",Deployed,CHG3372098,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
4047,Enhancement,7/29/2025,Inventory,Piloted a new version of the inventory user interface,Deployed,CHG3372801,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
6042,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6047,Enhancement,7/29/2025,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",Deployed,CHG3372098,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
6047,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6047,Enhancement,7/29/2025,Inventory,Piloted a new version of the inventory user interface,Deployed,CHG3372801,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
6055,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6057,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6059,Enhancement,7/29/2025,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",Deployed,CHG3372098,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
6059,Enhancement,7/29/2025,Inventory,Piloted a new version of the inventory user interface,Deployed,CHG3372801,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
6059,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6062,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6065,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6071,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6073,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6074,Enhancement,7/29/2025,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",Deployed,CHG3372098,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
6074,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6074,Enhancement,7/29/2025,Inventory,Piloted a new version of the inventory user interface,Deployed,CHG3372801,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
6077,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6082,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6083,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6084,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6091,Enhancement,7/29/2025,Inventory,Piloted a new version of the inventory user interface,Deployed,CHG3372801,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
6091,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6091,Enhancement,7/29/2025,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",Deployed,CHG3372098,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
6097,Enhancement,7/29/2025,Inventory,Piloted a new version of the inventory user interface,Deployed,CHG3372801,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
6097,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6097,Enhancement,7/29/2025,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",Deployed,CHG3372098,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
6099,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6858,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6858,Enhancement,7/29/2025,Inventory,Piloted a new version of the inventory user interface,Deployed,CHG3372801,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
6858,Enhancement,7/29/2025,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",Deployed,CHG3372098,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
7014,Enhancement,7/29/2025,Inventory,Piloted a new version of the inventory user interface,Deployed,CHG3372801,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
7014,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
7014,Enhancement,7/29/2025,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",Deployed,CHG3372098,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
7016,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
7016,Enhancement,7/29/2025,Inventory,Piloted a new version of the inventory user interface,Deployed,CHG3372801,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
7016,Enhancement,7/29/2025,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",Deployed,CHG3372098,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
7019,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
7030,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
7055,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
8348,Bug fix,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,Deployed,CHG3366594,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
3010,Bug fix,7/29/2025,WTD,Deploys WTD 2.0 enhancements and bug fixes ,Deployed,CHG3365444,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=42da5bef87f6eed4d32143b6cebb35db&recordUrl=change_request.do%3Fsys_id%3D42da5bef87f6eed4d32143b6cebb35db&sysparm_stack=&sysparm_view=
8852,Enhancement,7/29/2025,Inventory,Updated backend database configuration for accurate processing,Deployed,CHG3372353,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6095a0cd8703aa1c8992eb5d0ebb3504&recordUrl=change_request.do%3Fsys_id%3D6095a0cd8703aa1c8992eb5d0ebb3504&sysparm_stack=&sysparm_view=
2971,Enhancement,7/30/2025,Receiving,Updated configurations for ASN tracker enablement and paperless receiving features,Deployed,CHG3378583,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2daf11614743629c4e8db5f4236d4387&recordUrl=change_request.do%3Fsys_id%3D2daf11614743629c4e8db5f4236d4387&sysparm_stack=&sysparm_view=
2971,Enhancement,7/30/2025,Inventory,Released backend improvements for inventory and shipment syncing,Deployed,CHG3372657,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=840085c5870faa1c8992eb5d0ebb3571&recordUrl=change_request.do%3Fsys_id%3D840085c5870faa1c8992eb5d0ebb3571&sysparm_stack=&sysparm_view=
4047,Enhancement,7/30/2025,Inventory,Released backend improvements for inventory and shipment syncing,Deployed,CHG3372657,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=840085c5870faa1c8992eb5d0ebb3571&recordUrl=change_request.do%3Fsys_id%3D840085c5870faa1c8992eb5d0ebb3571&sysparm_stack=&sysparm_view=
4047,Enhancement,7/30/2025,Receiving,Updated configurations for ASN tracker enablement and paperless receiving features,Deployed,CHG3378583,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2daf11614743629c4e8db5f4236d4387&recordUrl=change_request.do%3Fsys_id%3D2daf11614743629c4e8db5f4236d4387&sysparm_stack=&sysparm_view=
