Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments,
20,96,Jack Daniels and Woodford Res Corrugated Display,PDQ,1,41,,
20,96,Winemakers Selection Brut $5 & Prosecco $10,Full Stack,1,41,,
20,96,Stella Rosa Wine 5pk VAP,Half Endcap,1,41,,
21,7,Hot Wheels Car Dump Bin /,Q-Bin,1,41,,
21,40,18pc MOTRIN 50ct,SK,2,41,,
21,40,EQ DUAL ACTION 30ct SIDEKICK,SK,1,41,,
21,80,YANCEY BACON SAMPLER,Bunker,1,41,,
21,92,"Seasonal Cheerios Pallet, 240 units",Full Stack,1,41,,
21,96,Spirits Holiday Gift Set,Table,1,41,,
21,8,"6 QT ROUND HEATED PET BOWL, 48",Full Endcap,1,41,,
21,8,VL CEDBEDNG 141L 25ct Pallet,Full Stack,1,41,,
21,22,144pc Mossy Oak and Realtree Throw Blanket Assortment,Full Stack,1,41,,
21,40,MUCINEX® Pediatrics  23CT,SK,1,41,,
21,92,Delgrossos Sloppy Joe Sauce,Side-stack,1,41,,
21,95,8z 4pk half pallet Winter LTO - Pear Cinnamon,Half Stack,1,41,,
21,96,Stella Rosa Wine 5pk VAP,Half Endcap,1,41,,
22,2,Dr. Teals Salts & Foaming Bath 304pc,Full Endcap,1,41,,
22,8,VL CEDBEDNG 141L 25ct Pallet,Full Stack,1,41,,
22,8,VL PINEBEDNG 141L 25ct Pallet,Full Stack,1,41,,
22,14,Ninja 7QT Mega Air Fryer /10 units per half pallet,Half Stack,2,41,,
22,14,Kalorik MAXX 26QT Toaster Oven/10units half pallet,Half Stack,2,41,,
22,40,MUCINEX® Pediatrics  23CT,SK,1,41,,
22,40,Emergency Immune + Triple Action 15 PC,PDQ,1,41,,
22,40,Chapstick 108pc Qbin,Q-Bin,1,41,,
22,40,Alka seltzer PLus,SK,1,41,,
22,40,Alka seltzer PDQ,Half Endcap,1,41,,
22,40,Airborne 4 way PDQ,4-way,1,41,,
22,82,Plush,Half Stack,1,41,,
22,92,Oregon Pie Filling Assorted PDQ,Quarter Stack,1,41,,
22,92,"Rice Krispies Holiday LTO Pallet, 192 pieces",Half Stack,2,41,,
22,92,"Chex Rice/Corn MidSize Pallet, 372 pieces",Full Stack,2,41,,
22,92,JP Marsh Mini 10 oz,Half Stack,1,41,,
22,92,30oz Miracle Whip Half Pallet,Half Stack,1,41,,
22,92,Taco Bell Seasoning Shipper 288 Count,Quarter Stack,1,41,,
22,92,Taco Bell 600 Piece Mixed 1/2 Pallet Mod,Half Stack,1,41,,
22,92,Hellmann's Mayo 480PC 30oz,Full Stack,1,41,,
22,93,SHRMP 1/2 MOON 20OZ,Bunker,1,41,,
22,95,Ocean Spray 64oz 60case Pallet,Full Stack,1,41,,
23,40,Airborne 4 way PDQ,4-way,1,41,,
24,2,Dr. Teals Salts & Foaming Bath 304pc,Full Endcap,1,41,,
24,2,Dr. Squatch Pine Tar PDQ 56pc,PDQ,1,41,,
24,7,"Care Bears 3"" Micro Plush 40 pc Sidekick - #6 Plus",SK,2,41,,
24,7,"Care Bears 14"" Plush Always Here 48pc",Half Endcap,1,41,,
24,7,Tonka Steel Classics Tow&4X4&DT Assortment,Full Endcap,1,41,,
24,7,1/2 PALLET MODELKITS / 105 PCS,Half Stack,1,41,,
24,11,HART 25' Autolock Tape,SK,1,41,,
24,13,3PK Holiday 1/2 Pallet Display,Half Stack,1,41,,
24,14,Chefman 6QT Slow Cooker / 10 units per half endcap,Half Endcap,3,41,,
24,14,379PC Holiday Time Colored Disposable Foil Pallet,Half Stack,1,41,,
24,14,52pc PW Holiday Bake & Store PLT,Half Stack,1,41,,
24,14,Chefman 4.5L Deep Fryer / 10 units per half endcap,Half Endcap,2,41,,
24,14,Chefman 2-Slice Digital Toaster / 16 per half EC,Half Endcap,2,41,,
24,17,MS 50pk Tealights - 270pc,Quarter Stack,1,41,,
24,17,Teddy Pillow PDQ Pillow,Train,1,41,,
24,22,Electric Mattress Pad,Full Endcap,1,41,,
24,22,144pc Mossy Oak and Realtree Throw Blanket Assortment,Full Stack,1,41,,
24,22,2 piece Hoodiwink - Throw + Hood / 75 units,PDQ,1,41,,
24,22,46” x 60” Silk Touch Throw with Sherpa 45pcs,PDQ,1,41,,
24,92,Oregon Pie Filling Assorted PDQ,Quarter Stack,1,41,,
24,92,JP Marsh Mini 10 oz,Half Stack,1,41,,
24,92,30oz Miracle Whip Half Pallet,Half Stack,1,41,,
24,93,SHRMP 1/2 MOON 20OZ,Bunker,1,41,,
25,14,Beautiful Stand Mixer-White,Full Endcap,1,41,,
25,40,EQ DUAL ACTION 30ct SIDEKICK,SK,1,41,,
25,7,Tonka Steel Classics Tow&4X4&DT Assortment,Full Endcap,1,41,,
25,8,"6 QT ROUND HEATED PET BOWL, 48",Full Endcap,2,41,,
25,11,Command Outdoor Light Clip,SK,2,41,,
25,13,3PK Holiday 1/2 Pallet Display,Half Stack,1,41,,
25,14,Chefman 6QT Slow Cooker / 10 units per half endcap,Half Endcap,3,41,,
25,14,Chefman  Warming Tray / 20 units per half endcap,Half Endcap,3,41,,
25,14,379PC Holiday Time Colored Disposable Foil Pallet,Half Stack,2,41,,
25,14,Chefman Window 5QT Air Fryer / 12 per half pallet,Half Stack,4,41,,
25,14,PW LINEN 14PC SET,Full Endcap,1,41,,
25,17,Teddy Pillow PDQ Pillow,Train,1,41,,
25,20,Hooded Towel Wrap / 96 units,PDQ,2,41,,
