Store ,NSW2 Console w/ Mario Kart (15928868255),NSW2 Console (15949610846),NSW2 Pro Controller (15955005005)
1785,83,45,23
1786,44,14,15
1787,13,6,2
1788,83,25,22
1789,42,12,16
1790,50,22,11
1791,21,10,4
1792,13,7,2
1793,48,20,15
1794,52,18,10
1795,25,11,7
1796,97,33,25
1797,27,9,4
1798,23,5,4
1799,23,9,6
1800,50,21,6
1801,48,18,7
1802,37,17,4
1803,25,13,10
1804,50,19,14
1805,39,20,6
1806,32,11,7
1807,36,11,12
1808,6,3,3
1809,24,11,10
1810,100,43,26
1811,29,8,10
1812,35,14,10
1813,32,13,5
1814,47,26,13
1815,51,20,11
1816,24,6,4
1817,41,12,7
1819,41,18,11
1820,27,16,7
1821,32,14,11
1823,44,19,9
1825,67,26,17
1826,45,20,16
1827,28,14,6
1828,42,20,14
1829,6,2,1
1830,41,17,10
1831,49,16,14
1832,51,17,7
1833,40,13,8
1834,44,21,14
1835,67,29,20
1836,46,16,8
1837,31,12,6
1838,27,15,11
1839,44,16,13
1840,43,17,12
1841,46,18,9
1842,46,20,13
1843,44,18,5
1844,47,26,15
1845,34,12,12
1846,16,3,1
1847,33,15,3
1848,32,13,11
1849,24,14,10
1850,47,22,7
1851,39,18,10
1852,64,33,16
1853,42,16,8
1855,34,11,12
1856,73,26,13
1857,49,25,15
1858,5,4,1
1859,112,45,6
1860,48,23,13
1861,41,11,10
1862,88,39,3
1863,44,13,13
1864,39,15,10
1865,9,4,
1866,9,10,4
1867,40,11,12
1868,58,24,17
1869,43,11,13
1870,35,14,12
1871,37,11,8
1872,38,18,5
1873,70,20,18
1874,20,10,3
1875,62,22,17
1876,34,14,8
1877,36,19,7
1878,69,29,11
1879,17,8,4
1880,28,12,3
1881,36,13,7
1882,30,16,4
1883,32,17,16
1884,67,32,24
1885,45,20,14
1886,61,18,12
1887,36,16,8
1888,71,28,13
1889,15,3,3
1890,30,12,2
1891,39,18,9
1892,58,23,15
1893,39,17,15
1894,51,20,14
1895,33,14,6
1896,53,17,18
1897,32,15,7
1898,34,15,8
1899,69,29,8
1900,32,7,6
1901,32,6,5
1902,69,30,24
1903,34,15,14
1904,59,25,15
1905,28,5,5
1906,40,17,11
1907,37,13,1
1908,48,16,11
1909,47,26,17
1910,19,3,2
1911,51,21,12
1912,41,15,9
1913,43,20,11
1914,45,19,4
1915,36,12,4
1916,42,15,11
1917,46,23,12
1918,66,33,20
1919,6,4,1
1920,38,19,13
1921,44,17,10
1922,64,33,10
1923,62,28,18
1924,27,7,1
1925,26,8,7
1926,35,15,2
1927,33,15,8
1928,32,16,5
1929,39,15,11
1930,59,21,19
1931,22,9,2
1932,32,6,4
1933,57,23,15
1934,6,3,2
1935,36,14,8
1936,24,2,4
1937,24,2,5
1938,64,33,19
1939,44,18,13
1940,54,26,16
1941,50,24,11
1942,53,23,16
1943,59,23,13
1945,13,9,1
1946,11,5,2
1947,5,3,
1948,33,12,7
1949,41,17,13
1950,9,1,
1951,28,7,4
1952,41,16,11
1953,21,9,7
1954,40,19,12
1955,41,21,10
1956,50,24,9
1957,16,5,5
1958,48,20,5
1959,55,23,17
1960,53,20,13
1961,46,16,12
1962,48,17,7
1963,37,15,10
1964,39,13,9
1965,38,19,5
1966,40,19,14
1967,78,27,20
1968,46,18,14
1969,41,10,10
1970,40,17,11
1971,42,22,17
1972,32,16,7
1973,41,19,13
1974,18,1,3
1975,31,14,9
1976,41,17,16
1977,61,23,11
1978,30,12,5
1979,17,6,1
1980,33,18,9
1981,53,22,14
1982,56,19,20
1983,48,22,13
1984,28,12,7
1985,41,17,11
1986,35,14,7
1987,45,20,10
1988,57,22,15
1989,42,18,7
1990,29,18,11
1991,72,28,16
1992,47,26,10
1993,49,20,11
1994,42,22,7
1995,61,16,10
1996,50,20,16
1997,57,17,12
1998,50,26,15
1999,38,15,12
2000,22,6,5
2001,55,21,15
2002,53,24,16
2003,60,24,14
2004,38,13,12
2005,39,19,10
2006,39,9,11
2007,42,13,7
2008,27,9,8
2009,31,17,7
2010,36,13,9
2012,40,14,9
2013,50,23,8
2014,11,2,2
2015,51,26,14
2016,6,3,
2019,42,18,11
2020,13,4,2
2021,61,23,15
2022,45,20,14
2023,49,20,7
2024,28,14,3
2025,63,30,18
2027,53,24,21
2028,77,31,10
2030,26,14,7
2031,50,23,11
2032,56,22,13
2033,19,9,
2035,26,12,4
2036,49,24,15
2037,42,22,5
2038,66,35,17
2039,25,9,8
2040,38,22,11
2041,30,11,7
2044,27,9,9
2045,44,16,11
2046,50,24,10
2047,23,9,2
2048,36,14,13
2049,52,25,12
2050,47,21,13
2051,32,14,4
2052,27,10,5
2053,11,3,1
2054,24,8,1
2055,52,19,9
2056,57,20,14
2057,21,9,6
2058,31,15,11
2059,50,22,19
2061,29,17,10
2062,25,10,11
2063,45,19,11
2064,41,21,11
2065,55,19,16
2066,34,13,10
2068,69,33,20
2069,43,17,18
2073,56,24,17
2075,45,21,11
2077,46,19,12
2078,47,17,8
2079,32,15,5
2080,45,24,10
2081,48,16,14
2082,40,13,9
2083,31,13,8
2084,52,21,19
2086,33,9,9
2087,47,26,13
2088,30,15,12
2089,45,20,5
2090,44,14,12
2091,149,65,36
2092,14,6,
2093,34,15,7
2094,60,25,17
2095,35,14,13
2096,33,14,6
2097,25,9,3
2098,41,18,11
2099,36,19,14
2100,14,5,2
2101,48,23,16
2102,26,5,10
2103,66,33,16
2104,83,32,24
2105,45,18,13
2106,28,14,10
2107,39,16,14
2108,32,12,8
2109,28,9,5
2110,42,25,11
2111,30,12,11
2112,41,18,14
2113,60,23,2
2114,12,4,
2115,40,17,10
2116,47,18,7
2117,24,13,4
2118,48,19,19
2119,52,23,12
2120,27,17,5
2121,35,11,10
2122,43,16,10
2123,22,9,5
2124,64,24,19
2125,42,15,15
2127,49,22,13
2128,34,12,8
2129,28,9,4
2130,36,11,6
2131,23,9,5
2132,20,8,3
2133,69,26,15
2134,45,15,13
2135,27,10,4
2136,33,13,12
2137,41,15,12
2138,32,14,13
2139,81,34,24
2140,8,3,1
2141,59,24,18
2142,80,26,19
2143,13,,2
2144,40,13,8
2145,75,33,25
2146,28,14,3
2147,36,18,9
2149,41,19,11
2150,97,36,25
2151,72,29,18
2152,55,22,14
2153,48,23,13
2154,61,23,15
2155,31,16,7
2156,31,15,9
2157,42,18,17
2158,44,16,11
2159,28,8,2
2160,17,4,2
2161,35,14,8
2163,47,24,14
2164,31,14,6
2166,65,21,19
2167,41,17,13
2169,53,22,7
2170,39,16,13
2174,70,31,19
2175,10,1,1
2176,48,15,15
2177,69,29,17
2178,6,3,4
2180,60,22,17
2181,49,25,4
2183,27,12,4
2184,53,18,14
2185,30,12,5
2187,51,23,6
2189,28,16,12
2190,33,15,9
2191,27,14,7
2192,31,6,5
2193,42,17,3
2194,58,25,13
2195,42,16,10
2196,18,11,1
2197,42,20,4
2198,42,15,8
2199,35,15,6
2200,45,17,7
2201,79,33,8
2202,47,17,12
2204,48,25,13
2205,54,19,12
2206,43,17,13
2207,46,15,17
2208,32,10,4
2209,41,12,7
2210,48,22,15
2211,49,21,14
2213,47,20,14
2214,25,9,7
2215,31,14,11
2218,44,17,11
2221,51,21,11
2222,61,32,19
2223,53,19,17
2224,62,25,17
2225,56,21,17
2227,44,14,13
2228,38,14,11
2230,40,16,10
2231,45,19,7
2232,48,16,15
2233,77,33,23
2234,35,15,8
2236,32,17,13
2237,40,20,10
2238,31,14,9
2239,55,23,13
2241,31,11,3
2242,51,27,14
2243,44,21,15
2244,39,19,7
2245,50,24,15
2247,39,13,12
2248,43,16,12
2249,54,26,6
2250,44,27,13
2251,39,16,9
2252,67,22,17
2253,56,17,14
2254,24,2,8
2255,44,18,4
2256,20,9,2
2257,35,17,10
2258,41,14,11
2259,51,23,10
2261,39,17,10
2262,33,8,5
2263,42,17,14
2264,50,22,9
2265,53,24,18
2266,62,25,14
2267,40,15,11
2269,39,19,9
2270,19,2,4
2271,22,6,4
2272,18,9,2
2273,36,18,6
2274,35,17,6
2275,22,9,3
2276,37,14,8
2277,28,14,6
2278,47,18,13
2279,47,23,14
2280,51,26,14
2281,57,27,10
2282,62,33,18
2283,56,22,17
2284,68,27,16
2285,37,18,5
2286,70,32,19
2287,41,19,9
2288,41,16,11
2289,28,7,5
2291,84,32,27
2292,40,16,12
2293,18,9,5
2294,48,18,14
2295,35,17,10
2297,44,21,14
2299,62,27,16
2300,65,24,17
2306,25,7,6
2307,61,29,20
2309,59,20,15
2310,43,22,13
2311,36,7,4
2312,36,14,5
2313,43,17,11
2315,31,14,9
2316,52,23,16
2317,46,16,9
2318,39,16,3
2319,32,15,10
2320,19,7,2
2322,14,4,3
2323,52,27,16
2325,66,27,23
2326,31,14,10
2329,23,10,5
2330,63,28,6
2331,52,18,9
2332,42,18,17
2333,24,12,
2334,49,14,12
2335,42,14,14
2336,56,17,17
2337,21,10,2
2338,51,23,12
2339,47,18,16
2340,50,21,10
2341,64,33,20
2348,24,8,8
2350,20,9,5
2351,33,14,3
2352,40,19,9
2354,44,28,13
2355,52,21,14
2357,83,33,28
2358,17,10,5
2359,40,16,4
2361,58,21,18
2362,39,18,9
2365,27,18,7
2366,80,24,22
2367,18,7,3
2368,48,18,11
2369,37,19,6
2370,43,11,11
2371,73,34,18
2373,48,20,15
2385,70,21,18
2386,46,17,12
2387,47,21,16
2388,14,8,3
2398,35,10,11
2399,69,29,20
2400,45,17,4
2401,39,24,13
2402,20,12,6
2403,57,21,18
2404,28,13,5
2405,73,23,22
2412,44,18,12
2417,33,14,7
2418,27,10,7
2419,48,16,4
2420,42,18,14
2421,24,14,6
2422,25,11,9
2424,7,4,2
2426,59,31,18
2427,41,15,10
2428,13,6,
2429,33,13,6
2432,36,13,9
2434,26,17,7
2435,68,21,19
2436,48,22,13
2437,37,20,11
2438,58,20,15
2439,32,19,5
2440,30,8,3
2441,29,10,11
2443,39,17,13
2444,36,16,8
2445,70,28,21
2446,56,22,12
2447,42,14,10
2448,50,21,17
2450,63,21,18
2452,29,17,8
2453,24,7,6
2455,23,13,2
2457,31,16,7
2458,41,17,13
2459,34,18,10
2460,32,14,9
2463,30,12,10
2464,46,19,6
2469,26,9,5
2471,36,16,11
2472,53,16,12
2474,17,8,4
2475,27,13,3
2476,45,22,22
2477,48,16,5
2479,65,35,18
2480,37,13,7
2481,28,16,2
2482,57,23,16
2483,48,26,14
2484,18,5,3
2485,20,6,7
2490,43,16,11
2491,24,8,4
2492,8,3,
2493,43,17,12
2494,36,16,13
2495,40,16,11
2496,37,14,4
2497,53,20,12
2502,35,13,11
2503,41,24,14
2504,58,21,15
2505,39,15,10
2506,40,14,10
2507,52,17,19
2508,55,30,20
2509,8,10,2
2510,12,9,1
2511,82,28,26
2512,51,27,2
2513,22,10,1
2514,20,9,1
2515,59,24,12
2516,68,33,18
2517,85,41,21
2518,60,26,16
2519,34,17,10
2520,25,10,7
2522,22,4,5
2523,39,24,10
2526,56,29,18
2527,33,15,12
2528,35,12,6
2529,59,17,14
2530,31,12,7
2531,80,24,24
2532,35,18,2
2533,33,12,5
2534,25,9,3
2535,31,19,9
2536,34,16,3
2537,35,14,7
2538,46,17,14
2539,50,23,9
2540,19,12,5
2541,35,13,1
2542,15,5,5
2543,41,13,13
2544,60,19,15
2545,17,12,3
2546,51,27,10
2547,27,13,4
2548,11,1,
2549,56,22,22
2550,49,28,12
2551,50,28,11
2553,48,16,13
2554,53,19,3
2555,37,16,12
2556,43,19,15
2557,57,27,18
2558,34,16,7
2559,48,25,12
2560,37,14,8
2561,42,18,9
2562,3,1,1
2563,9,2,1
2564,12,3,1
2565,23,7,5
2566,40,22,14
2567,51,21,9
2568,53,30,16
2571,40,13,12
2572,27,10,5
2574,52,14,7
2575,30,14,11
2576,40,18,12
2577,45,15,11
2579,6,1,1
2580,14,5,1
2581,63,29,4
2582,42,16,11
2583,51,24,11
2584,28,14,7
2585,74,34,20
2586,61,23,13
2587,52,25,8
2588,44,16,11
2591,50,22,14
2592,57,19,14
2593,77,33,20
2594,77,31,21
2595,75,28,13
2596,46,20,16
2597,36,12,5
2598,40,16,10
2599,51,16,17
2600,34,9,11
2603,43,17,13
2604,35,17,10
2605,27,6,9
2607,6,1,2
2608,6,2,1
2609,48,23,14
2610,20,8,2
2611,25,14,11
2612,56,26,18
2613,20,10,5
2614,48,16,8
2615,27,17,2
2616,57,27,20
2617,6,2,2
2618,51,25,15
2619,63,20,17
2620,33,15,2
2621,36,16,12
2626,15,3,4
2627,29,11,1
2628,82,33,22
2629,46,20,13
2630,10,3,3
2631,46,22,15
2633,40,17,9
2634,13,4,4
2636,44,27,12
2637,69,27,18
2638,26,14,4
2639,29,14,7
2640,50,28,14
2641,86,23,20
2642,54,25,15
2643,31,15,7
2644,32,17,7
2645,13,3,3
2646,14,4,6
2647,31,9,5
2648,49,27,15
2649,33,15,12
2650,41,16,11
2651,42,17,14
2652,8,1,2
2653,11,2,
2654,5,2,
2656,23,11,8
2658,48,18,14
2659,45,14,12
2660,41,17,13
2662,19,7,4
2663,30,14,5
2664,11,5,1
2665,32,23,9
2667,51,17,5
2668,46,17,8
2671,48,17,14
2672,7,3,1
2674,18,8,3
2678,47,24,17
2679,41,16,4
2681,22,13,8
2682,33,13,9
2683,31,10,7
2684,6,5,1
2687,31,11,11
2688,47,17,10
2690,39,16,13
2691,46,15,11
2692,59,29,16
2693,37,17,12
2694,35,13,13
2695,77,28,16
2696,4,2,1
2697,45,14,10
2700,57,27,16
2702,32,12,9
2703,16,6,1
2704,18,8,4
2705,15,10,2
2706,32,15,12
2708,73,24,10
2712,37,15,9
2713,25,9,3
2714,18,4,2
2715,35,12,8
2716,45,19,12
2717,20,9,2
2719,56,27,18
2720,24,8,9
2723,11,4,1
2724,35,13,2
2725,62,27,14
2726,84,29,22
2727,44,17,6
2728,26,10,10
2729,52,18,14
2730,10,4,
2732,29,15,3
2733,24,8,4
2734,27,10,6
2735,44,16,10
2739,8,3,1
2740,51,18,11
2747,25,12,
2748,11,6,4
2749,26,7,8
2751,59,19,17
2752,34,16,11
2753,9,2,
2754,5,3,3
2755,24,9,3
2756,70,23,16
2757,36,15,12
2758,23,8,6
2760,3,1,1
2761,10,11,4
2762,22,8,3
2763,43,16,1
2764,42,19,11
2765,18,8,3
2766,40,14,13
2767,45,21,15
2768,51,21,18
2769,27,9,3
2771,23,9,1
2772,19,9,4
2774,31,16,9
2777,40,17,9
2778,26,7,3
2780,48,24,19
2781,41,18,13
2782,13,6,5
2783,31,10,13
2784,9,5,1
2785,41,16,13
2786,51,18,14
2787,42,12,15
2788,41,15,10
2789,43,11,10
2790,31,15,9
2791,30,16,8
2792,9,5,2
2793,43,14,10
2794,22,3,7
2795,30,9,5
2796,39,14,10
2797,33,17,8
2799,45,16,10
2803,37,20,13
2804,43,16,15
2805,12,2,
2806,38,13,12
2807,21,10,7
2808,46,20,16
2809,22,6,5
2810,2,1,
2811,34,12,7
2812,37,19,9
2813,29,14,9
2814,95,40,21
2815,50,26,14
2816,39,15,14
2817,38,14,10
2818,49,15,16
2819,17,7,4
2820,14,1,3
2821,50,22,15
2822,24,10,2
2823,36,15,7
2825,46,23,17
2827,41,17,11
2828,49,26,14
2830,31,17,11
2831,24,4,2
2832,15,9,4
2833,13,3,3
2834,35,18,14
2836,35,18,8
2838,53,22,18
2841,58,22,13
2842,53,20,8
2843,21,7,3
2844,61,20,18
2845,20,7,6
2846,25,11,10
2847,60,22,19
2849,17,6,2
2850,27,9,10
2852,21,6,3
2853,25,15,8
2854,41,19,8
2855,42,11,9
2856,18,9,5
2857,45,22,18
2859,46,23,14
2860,43,18,9
2861,31,16,9
2862,44,18,11
2864,60,22,16
2865,47,18,12
2866,40,15,10
2867,36,18,12
2869,69,27,17
2871,44,17,9
2872,46,24,15
2873,41,16,13
2874,49,16,13
2881,79,36,22
2882,34,15,12
2883,33,12,10
2884,50,18,16
2885,35,12,10
2886,96,49,24
2888,50,21,11
2889,29,13,5
2890,29,15,6
2891,39,9,2
2892,45,14,13
2893,14,1,1
2894,8,2,2
2897,43,14,11
2898,30,18,7
2899,45,16,10
2900,46,18,12
2901,28,12,6
2902,48,22,13
2903,41,17,12
2904,31,18,8
2905,47,27,11
2906,61,22,13
2908,18,7,4
2909,19,8,1
2910,28,14,5
2911,25,11,6
2912,67,36,17
2913,15,9,7
2914,36,15,10
2915,50,27,13
2916,49,27,15
2917,67,32,19
2918,25,8,7
2920,37,16,7
2921,73,24,20
2922,44,21,12
2923,42,16,6
2924,41,20,12
2925,37,12,11
2926,28,8,5
2927,72,35,24
2928,46,14,12
2929,38,14,5
2931,25,9,5
2932,52,21,17
2933,31,9,9
2934,6,1,
2935,13,1,4
2937,21,4,5
2938,25,8,11
2939,18,8,3
2941,34,13,6
2945,37,11,11
2946,62,24,16
2947,50,27,12
2948,48,22,9
2950,36,21,5
2951,31,9,1
2952,66,26,14
2953,43,13,11
2954,79,34,20
2955,28,13,11
2956,56,26,14
2957,18,6,1
2958,64,20,15
2959,62,32,19
2962,45,16,11
2963,52,22,11
2964,58,24,15
2965,59,22,12
2966,69,17,18
2967,75,26,17
2968,17,9,3
2973,30,8,11
2978,31,13,11
2980,59,25,14
2985,42,13,16
2986,39,15,11
2987,49,28,13
2988,23,9,6
2989,27,12,7
2990,15,9,6
2991,66,34,20
2992,39,19,9
2993,38,18,9
2996,33,10,8
3004,61,31,17
3014,27,14,2
3017,44,20,12
3018,39,17,9
3035,63,25,18
3044,24,8,4
3053,48,25,13
3055,21,8,9
3056,39,17,11
3057,34,10,11
3058,35,14,7
3059,9,4,2
3060,5,,
3061,33,18,9
3067,43,14,11
3075,27,13,6
3077,45,16,11
3078,40,15,11
3081,40,14,2
3087,45,22,3
3088,23,13,5
3093,55,16,18
3102,26,14,4
3103,17,8,3
3106,44,19,4
3107,24,9,12
3112,34,15,5
3114,73,33,25
3118,34,16,12
3119,23,9,3
3136,52,24,6
3137,19,9,10
3150,27,16,9
3151,28,9,9
3159,86,43,21
3163,51,22,14
3167,16,7,4
3169,40,13,12
3170,25,13,10
3177,22,11,6
3182,32,18,7
3188,26,15,7
3191,18,9,2
3192,29,14,11
3197,22,13,7
3200,46,22,9
3201,25,9,7
3205,21,6,12
3206,26,8,1
3207,47,25,13
3208,58,23,19
3209,46,16,12
3210,32,11,11
3212,70,24,20
3213,49,19,12
3214,28,10,9
3215,50,18,13
3216,35,13,11
3217,16,6,1
3218,40,17,12
3219,49,19,10
3220,48,24,18
3221,17,9,2
3222,33,16,5
3223,39,16,6
3224,31,15,2
3225,36,10,5
3226,53,24,12
3227,38,16,13
3228,31,12,11
3229,7,1,
3230,28,14,14
3231,10,6,2
3232,61,26,23
3233,22,7,4
3234,20,5,4
3235,56,26,16
3236,64,27,14
3237,42,15,14
3239,63,29,25
3241,34,15,
3243,47,21,3
3245,12,3,1
3247,27,13,6
3248,45,25,15
3250,32,16,9
3251,26,14,1
3252,31,16,8
3253,19,8,3
3254,32,13,9
3255,31,10,8
3258,46,19,22
3259,46,16,13
3260,20,9,1
3261,62,29,16
3262,31,1,10
3265,47,24,15
3266,28,17,12
3267,41,18,15
3268,15,2,5
3269,7,2,
3270,18,6,14
3271,25,9,2
3273,36,11,11
3274,25,11,10
3276,46,22,5
3277,27,11,9
3278,34,15,9
3279,26,17,5
3280,39,17,13
3281,28,13,7
3282,29,13,6
3283,44,16,13
3284,27,13,8
3285,21,8,4
3286,27,11,11
3288,12,9,3
3289,23,11,6
3291,46,14,12
3292,70,34,22
3293,43,15,13
3294,47,18,12
3295,26,10,11
3296,41,17,8
3297,45,17,14
3298,31,15,5
3300,31,3,3
3301,74,33,20
3302,41,19,9
3304,21,5,1
3305,19,11,1
3307,15,7,1
3308,40,17,2
3309,31,11,11
3310,43,17,8
3311,29,13,12
3313,49,20,13
3319,36,19,10
3320,51,22,4
3322,36,17,11
3324,33,15,2
3328,39,15,14
3329,24,5,9
3331,14,7,3
3332,47,22,4
3334,10,6,3
3336,47,22,14
3337,47,21,8
3339,42,17,5
3342,30,16,10
3344,35,15,3
3347,38,14,4
3348,24,10,10
3349,29,14,3
3350,38,15,12
3351,63,25,18
3352,40,15,3
3360,50,21,17
3362,27,12,4
3363,33,15,11
3364,39,16,12
3366,66,21,16
3367,19,8,3
3370,39,18,11
3371,25,15,5
3372,28,12,10
3379,30,14,3
3380,39,19,13
3381,9,4,
3382,31,6,3
3383,35,11,6
3384,10,3,3
3386,21,8,2
3387,33,14,11
3388,28,12,8
3389,25,13,5
3390,44,18,9
3391,33,16,6
3394,5,2,2
3395,18,4,2
3397,32,17,6
3400,65,33,16
3401,16,5,3
3402,27,7,8
3403,45,22,7
3404,51,22,17
3406,33,13,7
3407,50,26,6
3408,31,17,12
3409,37,17,12
3412,27,10,4
3415,28,7,8
3417,24,10,7
3418,54,20,17
3420,73,34,17
3422,50,20,14
3423,31,14,5
3425,42,14,6
3427,4,2,
3428,8,5,
3429,25,10,2
3430,19,9,2
3431,28,14,7
3432,19,8,6
3433,30,9,1
3434,29,14,10
3435,50,16,14
3436,41,13,10
3439,42,17,8
3443,65,32,18
3445,42,16,11
3447,38,18,12
3453,51,25,14
3454,45,24,10
3455,34,14,10
3458,20,9,3
3459,30,11,11
3460,43,14,11
3461,36,15,15
3462,52,23,10
3463,36,16,6
3464,66,35,13
3465,38,16,1
3469,110,47,32
3471,51,13,15
3472,43,19,17
3473,43,20,4
3474,39,18,6
3475,59,26,16
3476,58,26,15
3477,50,21,11
3480,25,6,2
3481,31,13,7
3482,35,9,7
3483,19,6,5
3484,26,8,6
3485,20,4,5
3486,42,23,12
3487,57,28,12
3488,31,14,5
3489,30,10,10
3490,45,25,12
3491,48,23,12
3492,45,18,11
3493,44,26,15
3494,56,24,13
3495,44,13,10
3497,18,8,1
3498,32,14,7
3499,29,11,11
3500,42,18,4
3501,34,14,7
3502,45,18,17
3503,30,12,4
3505,33,8,6
3510,29,14,7
3511,53,22,12
3513,43,25,12
3514,26,5,7
3515,27,10,7
3516,71,33,18
3518,46,22,2
3520,108,52,31
3522,79,29,19
3523,62,29,13
3525,64,19,22
3526,25,15,5
3527,44,17,15
3528,5,3,
3529,44,12,11
3531,52,21,18
3533,51,21,11
3534,21,7,3
3535,53,20,11
3537,45,15,21
3538,50,18,16
3541,53,25,15
3543,65,31,19
3545,38,15,11
3546,54,21,17
3548,75,24,15
3549,33,14,4
3560,62,25,18
3561,30,14,
3562,59,25,14
3563,53,22,9
3564,23,8,11
3566,49,15,14
3567,35,18,4
3568,59,25,24
3569,57,23,17
3570,42,19,10
3571,45,15,13
3572,53,23,13
3573,45,24,14
3580,38,15,3
3581,24,8,10
3582,56,24,18
3583,53,18,9
3584,53,22,15
3585,51,18,15
3587,44,23,6
3588,42,15,11
3589,71,21,22
3590,28,4,4
3591,33,14,3
3595,33,14,2
3596,28,13,5
3597,29,16,9
3598,48,26,12
3601,43,15,12
3602,31,12,10
3607,18,8,4
3608,38,18,14
3609,31,8,10
3611,28,10,9
3612,28,12,2
3616,13,4,2
3620,67,33,23
3621,49,26,14
3623,31,14,
3624,38,17,7
3625,31,14,12
3626,44,19,13
3627,42,17,6
3630,36,17,14
3631,30,15,1
3632,12,3,1
3633,34,14,6
3634,24,9,3
3639,47,27,13
3640,52,25,18
3641,23,9,3
3643,8,3,1
3644,30,9,7
3645,42,6,6
3648,35,18,12
3650,41,15,11
3652,41,24,8
3658,30,11,5
3659,42,15,14
3660,30,13,9
3700,49,19,15
3701,13,4,4
3702,41,19,5
3705,47,18,9
3708,48,19,10
3709,24,15,7
3710,40,14,11
3712,47,18,11
3717,32,8,11
3720,42,12,14
3722,56,25,17
3725,50,27,12
3726,60,20,13
3728,40,16,13
3729,41,21,12
3730,35,17,5
3731,41,18,7
3732,57,26,19
3733,31,12,7
3734,12,4,2
3738,45,20,16
3739,40,16,15
3741,32,16,7
3742,22,9,7
3747,24,11,5
3748,39,19,10
3749,41,13,10
3750,38,16,7
3751,65,28,16
3754,3,,2
3757,43,16,12
3758,6,2,
3760,12,3,2
3761,13,6,2
3762,62,21,22
3763,52,21,6
3764,25,4,7
3765,26,8,10
3768,13,9,5
3770,4,2,
3771,61,29,12
3772,10,3,5
3773,35,14,4
3774,44,12,11
3777,44,16,12
3778,16,4,2
3780,39,17,10
3781,32,12,11
3782,85,29,21
3783,26,12,6
3784,41,16,11
3785,16,9,6
3786,44,17,16
3789,37,16,15
3790,40,17,9
3791,20,8,6
3792,43,19,18
3794,61,31,19
3795,111,49,31
3796,84,41,18
3799,42,22,12
3801,55,21,20
3802,58,27,14
3803,40,17,11
3804,34,16,5
3805,16,4,4
3806,15,7,7
3807,4,3,6
3809,14,8,6
3810,31,9,10
3812,40,18,10
3823,43,20,8
3824,39,16,12
3825,23,11,8
3826,21,9,4
3827,59,23,14
3828,14,2,2
3829,39,17,12
3830,31,11,8
3831,26,8,6
3833,57,26,22
3835,37,19,9
3837,30,11,9
3838,62,28,17
3840,34,12,14
3842,42,17,10
3843,23,9,4
3847,14,2,2
3848,57,27,21
3850,48,22,16
3851,43,18,12
3852,17,5,4
3853,9,3,1
3857,50,27,13
3858,27,17,8
3860,29,15,12
3861,62,26,18
3864,24,5,7
3867,44,19,18
3868,22,9,7
3869,29,15,7
3872,30,13,12
3874,43,16,14
3875,6,3,
3876,23,10,5
3877,21,9,10
3884,40,15,9
3886,46,17,5
3887,21,6,
3888,76,31,24
3889,34,14,13
3891,71,23,19
3893,39,22,7
3894,48,20,20
3896,34,15,5
3897,62,15,13
3912,46,25,10
3947,47,19,13
4049,24,12,11
4055,30,15,9
4063,11,4,1
4064,29,16,7
4065,40,12,9
4068,62,25,27
4101,31,14,10
4102,19,10,7
4103,13,7,1
4108,46,18,10
4111,49,16,13
4112,47,15,5
4115,38,11,4
4118,30,13,9
4129,18,9,3
4130,39,18,14
4131,25,11,11
4132,52,24,16
4137,58,21,14
4144,19,9,4
4153,42,16,11
4156,10,2,2
4161,55,25,11
4162,29,12,10
4163,49,23,15
4164,17,6,2
4165,24,9,2
4166,17,6,1
4168,25,11,8
4171,32,17,11
4176,44,23,13
4183,30,16,8
4185,34,14,7
4187,17,3,1
4191,22,5,7
4194,26,7,7
4195,26,13,5
4200,27,9,5
4201,21,8,3
4202,33,13,7
4203,12,6,1
4208,37,9,11
4209,12,4,1
4215,16,6,3
4216,30,15,7
4219,56,19,16
4221,79,34,21
4223,40,17,9
4224,39,18,7
4226,16,5,1
4230,40,18,18
4231,26,10,6
4232,22,15,9
4235,40,17,4
4237,26,13,1
4238,28,14,7
4239,41,17,5
4240,35,19,14
4241,26,2,2
4243,48,21,8
4244,9,,2
4246,6,3,3
4247,14,2,2
4249,4,3,1
4250,33,16,8
4252,35,14,7
4253,10,2,3
4255,63,22,16
4256,35,14,5
4257,30,13,4
4258,29,11,8
4259,13,4,2
4260,54,19,14
4262,27,16,8
4272,62,26,15
4273,39,19,10
4274,49,21,15
4276,54,19,15
4277,30,15,11
4278,26,9,7
4279,35,15,3
4281,3,2,
4283,26,13,1
4284,37,21,15
4285,35,15,11
4286,70,27,20
4288,37,17,15
4295,9,9,1
4298,38,17,6
4299,39,16,5
4303,67,32,19
4309,28,12,8
4317,33,11,11
4318,25,12,1
4321,30,12,6
4322,9,5,2
4323,20,8,5
4325,35,11,3
4330,24,9,6
4332,109,43,26
4333,27,14,2
4334,40,17,18
4335,47,19,14
4336,33,14,3
4337,16,9,1
4340,36,18,6
4341,1,2,1
4348,27,14,5
4350,13,4,3
4352,46,21,13
4355,13,5,3
4356,69,27,18
4358,44,17,14
4365,83,32,23
4368,37,19,5
4370,23,9,6
4372,14,4,1
4374,13,1,
4377,13,4,2
4378,7,2,1
4381,16,7,3
4383,77,33,19
4384,27,11,5
