Store Number,Pallets to plan for,LY Pallets planned for
2232,99,77
2233,143,104
2234,145,108
2236,77,63
2237,154,113
2238,123,102
2239,220,168
2240,163,116
2241,119,102
2242,131,103
2243,112,86
2244,145,95
2245,103,85
2247,92,74
2248,112,79
2249,154,116
2250,92,77
2251,101,83
2252,173,120
2253,110,86
2254,79,62
2255,129,95
2256,112,90
2257,118,100
2258,91,81
2259,116,90
2261,73,67
2262,136,105
2263,88,74
2264,110,90
2265,199,113
2266,147,95
2267,84,74
2269,131,100
2270,77,79
2271,106,88
2272,93,75
2273,171,127
2274,129,90
2275,91,72
2276,113,85
2277,121,91
2278,181,139
2279,141,113
2280,113,97
2281,142,119
2282,148,115
2283,151,106
2284,151,115
2285,171,120
2286,121,101
2287,109,87
2288,101,80
2289,95,81
2291,153,119
2292,88,69
2293,58,55
2294,86,70
2295,98,78
2297,88,74
2299,133,96
2300,134,99
2302,153,102
2306,131,99
2307,123,93
2308,117,99
2309,118,84
2310,133,100
2311,135,110
2312,133,103
2313,99,80
2314,159,127
2315,87,67
2316,131,104
2317,87,69
2318,151,117
2319,89,79
2320,73,66
2321,131,108
2322,96,88
2323,117,93
2325,125,100
2326,105,95
2329,90,76
2330,158,126
2331,131,107
2332,97,78
2333,113,99
2334,129,98
2335,101,78
2336,113,95
2337,105,83
2338,133,100
2339,98,80
2340,122,98
2341,113,97
2346,165,118
2348,67,64
2350,102,81
2351,110,95
2352,146,106
2354,126,97
2355,121,95
2357,121,103
2358,110,87
2359,146,108
2360,0,71
2361,158,108
2362,133,86
2365,113,89
2366,164,134
2367,97,79
2368,122,101
2369,109,91
2370,93,83
2371,155,119
2373,106,85
2385,122,105
2386,141,104
2387,153,120
2388,98,78
2398,84,76
2399,122,107
2400,162,123
2401,103,85
2402,110,89
2403,117,104
2404,106,82
2405,169,116
2412,101,85
2417,92,81
2418,74,66
2419,147,110
2420,145,110
2421,92,79
2422,86,71
2423,176,127
2424,73,63
2426,147,110
2427,111,85
2428,120,98
2429,134,105
2432,86,73
2434,119,91
2435,172,118
2436,98,89
2437,92,77
2438,123,97
2439,147,110
2440,102,80
2441,124,84
2443,108,87
2444,110,80
2445,111,93
2446,125,97
2447,144,99
2448,102,84
2449,171,123
2450,111,88
2452,105,82
2453,112,92
2455,127,101
2457,85,72
2458,119,93
2459,96,80
2460,157,122
2463,97,75
2464,118,93
2469,106,91
2471,92,74
2472,119,98
2473,176,133
2474,99,81
2475,134,108
2476,131,101
2477,120,95
2479,146,115
2480,116,97
2481,94,83
2482,144,117
2483,120,88
2484,113,89
2485,86,69
2490,110,82
2491,142,115
2492,99,83
2493,91,75
2494,97,79
2495,91,81
2496,96,73
2497,125,97
2501,169,120
2502,125,93
2503,85,70
2504,130,105
2505,133,100
2506,98,85
2507,135,109
2508,117,99
2509,74,62
2510,74,65
2511,143,109
2512,169,126
2513,100,81
2514,108,85
2515,153,114
2516,100,90
2517,125,117
2518,100,84
2519,109,85
2520,95,76
2522,124,101
2523,96,75
2526,120,95
2527,70,68
2528,110,86
2529,115,84
2530,87,81
2531,122,98
2532,106,81
2533,118,82
2534,136,110
2535,141,107
2536,149,119
2537,116,93
2538,83,71
2539,140,108
2540,106,89
2541,140,98
2542,78,66
2543,118,97
2544,165,108
2545,120,98
2546,108,80
2547,121,96
2548,122,91
2549,150,116
2550,101,83
2551,84,68
2553,100,84
2554,175,136
2555,121,92
2556,91,80
2557,182,131
2558,96,80
2559,161,127
2560,125,98
2561,118,108
2562,68,63
2563,79,67
2564,83,68
2565,97,81
2566,105,80
2567,117,95
2568,120,116
2571,70,63
2572,113,90
2574,133,100
2575,108,85
2576,133,105
2577,99,77
2579,70,63
2580,108,84
2581,129,106
2582,62,61
2583,117,95
2584,95,83
2585,150,114
2586,146,118
2587,166,116
2588,129,93
2591,91,84
2592,134,111
2593,152,112
2594,96,75
2595,145,106
2596,107,85
2597,135,106
2598,113,101
2599,134,115
2600,105,81
2603,94,73
2604,90,77
2605,124,96
2607,79,67
2608,76,62
2609,105,98
2610,154,101
2611,109,90
2612,197,158
2613,99,78
2614,149,108
2615,132,103
2616,158,113
2617,90,77
2618,110,82
2619,144,114
2620,89,75
2621,102,78
2626,123,94
2627,104,86
2628,176,127
2629,125,95
2630,129,93
2631,130,102
2633,102,86
2634,67,64
2636,100,79
2637,135,108
2638,137,105
2639,84,72
2640,97,75
2641,153,103
2642,116,96
2643,110,96
2644,116,85
2645,85,69
2646,89,75
2647,90,73
2648,104,86
2649,124,94
2650,132,103
2651,134,101
2652,95,79
2653,120,84
2654,84,75
2656,120,81
2658,115,80
2659,61,62
2660,88,80
2662,109,75
2663,120,95
2664,96,76
2665,148,109
2667,160,138
2668,144,108
2671,129,95
2672,87,71
2674,82,68
2678,163,125
2679,120,99
2681,80,69
2682,85,70
2683,85,76
2684,107,94
2687,128,87
2688,181,132
2690,107,86
2691,131,103
2692,159,132
2693,128,94
2694,85,68
2695,153,119
2696,96,81
2697,127,99
2700,142,105
2702,109,90
2703,98,85
2704,108,88
2705,94,77
2706,146,90
2708,138,111
2710,84,75
2711,86,76
2712,146,109
2713,137,101
2714,108,83
2715,196,126
2716,117,86
2717,78,72
2718,146,91
2719,112,91
2720,136,94
2721,159,112
2722,143,111
2723,120,90
2724,143,103
2725,125,97
2726,170,112
2727,131,114
2728,110,83
2729,96,77
2730,118,84
2732,148,112
2733,130,94
2734,97,81
2735,113,98
2739,104,80
2740,135,89
2747,123,96
2748,106,75
2749,93,78
2751,80,67
2752,107,81
2753,105,89
2754,74,78
2755,131,103
2756,97,82
2757,110,87
2758,76,63
2760,102,80
2761,128,96
2762,94,81
2763,209,130
2764,168,121
2765,139,98
2766,105,89
2767,137,104
2768,141,108
2769,106,77
2771,101,84
2772,89,77
2774,85,76
2777,156,115
2778,118,86
2780,152,115
2781,129,104
2782,108,80
2783,107,84
2784,83,74
2785,84,75
2786,148,103
2787,92,75
2788,106,88
2789,131,116
2790,105,82
2791,126,90
2792,83,68
2793,130,98
2794,91,79
2795,96,74
2796,120,92
2797,93,77
2799,111,95
2803,123,102
2804,126,105
2805,81,71
2806,134,98
2807,87,73
2808,121,84
2809,119,95
2810,77,71
2811,137,103
2812,110,85
2813,123,89
2814,137,120
2815,103,87
2816,111,90
2817,120,90
2818,152,108
2819,100,81
2820,100,86
2821,114,85
2822,123,96
2823,155,117
2825,115,98
2827,121,92
2828,108,87
2830,114,90
2831,88,77
2832,84,70
2833,83,76
2834,119,92
2836,97,74
2838,149,121
2841,121,87
2842,118,95
2843,107,93
2844,138,109
2845,107,78
2846,152,113
2847,149,108
2849,93,72
2850,93,75
2852,105,88
2853,129,105
2854,130,109
2855,123,88
2856,103,78
2857,157,104
2859,124,98
2860,155,121
2861,74,71
2862,119,85
2864,151,109
2865,97,84
2866,89,79
2867,94,78
2869,160,121
2871,138,95
2872,124,102
2873,133,101
2874,124,97
2881,164,121
2882,127,90
2883,97,88
2884,154,136
2885,83,68
2886,158,131
2888,129,94
2889,116,88
2890,131,104
2891,182,130
2892,101,73
2893,96,81
2894,104,84
2897,102,79
2898,76,63
2899,72,65
2900,98,81
2901,77,67
2902,114,86
2903,80,75
2904,86,84
2905,104,88
2906,96,87
2908,95,74
2909,92,80
2910,128,95
2911,113,87
2912,157,129
2913,109,89
2914,173,119
2915,103,89
2916,109,94
2917,111,93
2918,107,81
2920,148,112
2921,143,119
2922,130,103
2923,109,79
2924,132,105
2925,78,71
2926,84,65
2927,134,101
2928,166,119
2929,139,102
2931,110,89
2932,174,127
2933,140,102
2934,81,70
2935,97,82
2937,82,77
2938,93,86
2939,91,77
2941,81,68
2945,93,75
2946,107,86
2947,86,69
2948,115,86
2950,126,103
2951,120,103
2952,139,115
2953,111,101
2954,97,70
2955,100,71
2956,143,109
2957,114,91
2958,138,105
2959,157,116
2962,111,96
2963,79,77
2964,117,96
2965,113,98
2966,138,105
2967,147,104
2968,93,73
2973,126,81
2978,155,117
2980,158,104
2985,158,131
2986,94,71
2987,124,94
2988,109,81
2989,80,70
2990,116,82
2991,126,95
2992,124,103
2993,127,104
2994,109,90
2996,109,73
3004,153,133
3014,128,102
3017,111,88
3018,125,95
3035,108,81
3044,107,88
3053,77,69
3055,120,93
3056,121,92
3057,112,85
3058,135,103
3059,77,70
3060,82,68
3061,96,67
3067,92,75
3075,111,89
3077,102,80
3078,103,89
3081,118,87
3087,89,71
3088,83,72
3093,96,80
3102,98,73
3103,86,74
3106,163,129
3107,87,76
3112,118,90
3114,144,117
3118,74,69
3119,101,86
3136,193,143
3137,79,67
3150,107,89
3151,92,74
3159,153,127
3163,133,97
3167,96,76
3169,96,74
3170,90,79
3177,65,59
3180,155,127
3182,62,62
3188,86,75
3191,85,73
3192,106,89
3197,105,87
3200,83,72
3201,132,109
3205,119,87
3206,115,91
3207,141,110
3208,117,98
3209,111,89
3210,130,96
3212,114,86
3213,163,118
3214,100,74
3215,153,114
3216,99,74
3217,90,78
3218,123,99
3219,133,98
3220,111,88
3221,82,73
3222,113,84
3223,130,97
3224,158,110
3225,135,101
3226,148,110
3227,80,69
3228,101,78
3229,106,87
3230,142,106
3231,117,87
3232,166,115
3233,125,99
3234,95,80
3235,99,86
3236,99,75
3237,126,99
3239,117,99
3241,141,112
3243,143,97
3245,78,71
3247,98,80
3248,103,82
3250,107,80
3251,101,85
3252,100,73
3253,104,85
3254,79,69
3255,73,67
3258,97,90
3259,98,80
3260,94,72
3261,132,107
3262,126,100
3265,136,101
3266,90,71
3267,117,94
3268,93,82
3269,78,66
3270,105,84
3271,126,88
3273,90,76
3274,102,78
3276,127,101
3277,90,67
3278,114,94
3279,136,98
3280,128,98
3281,140,99
3282,116,97
3283,183,130
3284,134,95
3285,117,90
3286,89,76
3288,101,85
3289,97,81
3290,153,128
3291,92,72
3292,133,95
3293,91,75
3294,122,102
3295,130,103
3296,122,96
3297,124,92
3298,142,95
3300,119,96
3301,121,100
3302,141,111
3303,91,71
3304,116,91
3305,97,72
3307,100,78
3308,154,112
3309,89,78
3310,139,111
3311,105,91
3313,83,71
3319,130,97
3320,229,145
3322,93,73
3324,96,77
3328,116,91
3329,100,86
3331,138,109
3332,128,98
3334,140,99
3336,174,139
3337,105,81
3339,154,100
3342,111,92
3344,130,106
3347,151,113
3348,91,75
3349,114,85
3350,140,114
3351,218,143
3352,162,122
3360,129,105
3362,113,83
3363,143,102
3364,92,68
3366,119,93
3367,94,78
3370,121,91
3371,76,70
3372,95,86
3379,117,90
3380,155,112
3381,88,73
3382,129,96
3383,145,108
3384,122,95
3386,113,83
3387,135,105
3388,101,88
3389,109,83
3390,128,105
3391,129,102
3394,93,81
3395,110,91
3397,92,90
3400,138,108
3401,98,83
3402,141,113
3403,170,125
3404,116,99
3406,109,76
3407,170,132
3408,90,75
3409,142,116
3412,95,78
3415,106,83
3417,81,69
3418,133,101
3420,142,116
3422,133,103
3423,96,76
3425,143,104
3427,112,82
3428,101,81
3429,131,99
3430,101,86
3431,100,88
3432,123,93
3433,128,89
3434,99,81
3435,167,114
3436,130,99
3439,116,91
3443,117,96
3445,144,111
3447,102,82
3453,112,84
3454,147,109
3455,105,88
3458,81,70
3459,110,86
3460,125,97
3461,122,87
3462,114,81
3463,133,107
3464,129,110
3465,191,130
3469,192,138
3471,115,86
3472,110,83
3473,130,120
3474,121,92
3475,106,81
3476,139,105
3477,115,88
3478,135,123
3480,120,91
3481,119,96
3482,94,75
3483,112,85
3484,114,89
3485,127,108
3486,118,96
3487,116,86
3488,91,71
3489,99,82
3490,104,84
3491,97,86
3492,140,108
3493,106,89
3494,106,85
3495,142,103
3497,80,62
3498,107,82
3499,89,68
3500,185,139
3501,70,63
3502,139,108
3503,145,106
3505,103,83
3510,137,97
3511,116,97
3513,116,95
3514,113,86
3515,116,94
3516,146,118
3518,191,147
3520,176,132
3522,130,110
3523,126,100
3525,140,105
3526,119,90
3527,151,107
3528,108,85
3529,118,90
3531,123,97
3533,104,83
3534,73,66
3535,99,91
3537,122,98
3538,119,86
3541,86,72
3543,116,92
3545,89,73
3546,85,70
3548,142,123
3549,95,77
3560,133,122
3561,77,67
3562,119,88
3563,95,81
3564,105,84
3566,110,90
3567,174,128
3568,157,114
3569,140,106
3570,132,112
3571,110,84
3572,162,127
3573,107,78
3580,139,102
3581,137,102
3582,139,108
3583,100,83
3584,133,100
3585,136,96
3587,110,79
3588,147,91
3589,118,89
3590,141,106
3591,124,92
3595,147,106
3596,124,92
3597,95,76
3598,74,68
3601,111,87
3602,118,86
3607,95,80
3608,138,103
3609,113,93
3611,113,93
3612,86,73
3616,106,77
3620,140,104
3621,91,85
3623,146,108
3624,119,85
3625,104,81
3626,119,94
3627,124,104
3630,131,94
3631,128,103
3632,95,85
3633,126,97
3634,102,83
3639,100,77
3640,117,99
3641,94,77
3643,90,78
3644,94,79
3645,175,128
3648,126,105
3650,98,74
3652,125,94
3658,110,80
3659,94,74
3660,98,78
3693,156,105
3700,123,89
3701,81,70
3702,134,115
3705,111,95
3708,99,83
3709,77,73
3710,85,68
3712,102,83
3716,169,113
3717,90,84
3720,107,82
3722,153,108
3725,102,78
3726,159,123
3728,142,106
3729,103,81
3730,117,87
3731,122,95
3732,138,104
3733,97,73
3734,75,70
3738,127,96
3739,130,104
3741,89,79
3742,77,65
3747,107,88
3748,135,101
3749,85,77
3750,139,110
3751,152,103
3754,77,75
3757,96,77
3758,65,62
3760,99,80
3761,84,74
3762,151,120
3763,216,148
3764,126,98
3765,96,81
3768,92,80
3770,85,75
3771,164,146
3772,102,85
3773,134,97
3774,127,93
3777,112,85
3778,84,71
3780,104,76
3781,105,87
3782,161,105
3783,111,82
3784,119,87
3785,76,69
3786,131,94
3789,104,78
3790,94,77
3791,98,88
3792,160,133
3794,108,91
3795,170,138
3796,180,121
3799,121,93
3801,85,73
3802,171,107
3803,103,85
3804,109,93
3805,69,66
3806,93,83
3807,102,76
3809,80,70
3810,86,65
3812,87,79
3823,125,102
3824,98,82
3825,111,86
3826,100,86
3827,168,123
3828,131,97
3829,122,93
3830,88,69
3831,91,69
3833,152,118
3835,114,88
3837,114,83
3838,123,98
3840,107,89
3842,88,76
3843,115,88
3847,121,100
3848,111,82
3850,104,84
3851,139,106
3852,82,74
3853,88,76
3857,80,74
3858,70,64
3860,108,75
3861,119,96
3864,142,110
3867,159,110
3868,116,89
3869,72,61
3872,91,75
3874,154,110
3875,80,71
3876,95,77
3877,92,76
3883,154,121
3884,123,89
3886,178,128
3887,160,121
3888,180,130
3889,93,78
3891,119,77
3893,102,88
3894,189,142
3896,113,87
3897,170,137
3912,100,78
3947,112,89
4049,116,87
4055,124,102
4063,71,68
4064,118,82
4065,118,83
4068,136,100
4101,95,80
4102,119,83
4103,121,94
4108,152,113
4111,116,84
4112,217,131
4115,116,87
4118,124,90
4129,112,89
4130,144,100
4131,101,86
4132,118,100
4137,98,86
4144,94,84
4153,110,86
4156,85,73
4161,98,89
4162,103,87
4163,102,76
4164,132,102
4165,109,81
4166,101,85
4168,114,87
4171,96,83
4176,88,79
4183,119,93
4185,93,72
4187,115,81
4191,84,65
4194,118,93
4195,135,102
4200,115,92
4201,87,65
4202,79,70
4203,93,73
4208,69,62
4209,85,73
4215,102,78
4216,121,97
4219,133,109
4221,114,88
4223,137,100
4224,144,105
4226,84,63
4230,134,103
4231,110,84
4232,103,74
4235,150,118
4237,112,90
4238,132,100
4239,87,76
4240,121,95
4241,100,91
4243,188,142
4244,74,64
4246,84,74
4247,87,75
4249,66,61
4250,96,79
4252,96,77
4253,97,77
4255,102,86
4256,93,76
4257,115,87
4258,109,82
4259,89,65
4260,141,99
4262,120,100
4272,124,97
4273,134,93
4274,114,91
4276,130,100
4277,124,96
4278,104,82
4279,152,113
4281,77,71
4283,126,102
4284,97,75
4285,113,98
4286,122,94
4288,107,89
4295,110,92
4298,191,126
4299,155,110
4303,159,99
4309,79,63
4317,95,79
4318,137,94
4321,125,97
4322,77,67
4323,97,74
4325,138,89
4330,124,92
4332,117,107
4333,101,85
4334,104,88
4335,115,91
4336,144,97
4337,165,113
4340,151,122
4341,83,70
4348,134,92
4350,72,62
4352,142,93
4355,88,74
4356,157,126
4358,109,88
4359,109,97
4365,127,101
4368,144,121
4370,90,71
4372,84,73
4374,75,66
4377,86,72
4378,102,74
4381,135,110
4383,145,123
4384,81,61
4387,128,104
4389,67,64
4392,149,115
4393,125,91
4394,109,89
4395,102,79
4399,123,95
4403,121,97
4404,118,88
4405,90,77
4407,104,87
4409,127,95
4410,143,96
4412,79,67
4414,86,70
4416,155,113
4417,128,100
4420,126,89
4423,155,112
4424,161,119
4427,86,76
4428,70,64
4430,182,135
4435,83,72
4436,99,79
4438,144,107
4439,81,70
4440,128,99
4444,130,101
4446,88,80
4450,131,96
4451,154,127
4456,121,94
4457,80,68
4458,91,76
4459,75,75
4460,121,99
4461,97,73
4471,71,63
4472,94,81
4474,104,93
4475,110,96
4476,112,86
4477,114,80
4479,142,105
4482,150,99
4483,124,100
4484,103,77
4487,110,86
4488,91,80
4497,121,87
4499,127,94
4501,93,72
4503,121,89
4506,104,91
4508,159,123
4509,118,91
4511,125,83
4512,126,100
4514,85,70
4520,87,79
4521,162,115
4526,143,109
4529,110,77
4531,125,91
4533,99,72
4538,152,112
4540,90,72
4543,79,68
4553,132,91
4554,82,63
4556,93,82
4557,98,95
4558,128,101
4564,131,96
4567,128,95
4568,68,63
4569,94,75
4570,89,68
4574,129,93
4581,115,93
4583,79,68
4588,104,87
4590,103,75
4593,111,88
4594,116,85
4597,141,112
4599,92,81
4600,93,74
4601,133,102
4606,83,67
4609,163,116
4611,101,73
4612,108,82
4615,190,144
4616,121,97
4623,91,77
4627,134,100
4631,125,94
4635,136,100
4636,98,73
4637,144,126
4638,89,77
4639,63,59
4641,85,64
4643,83,66
4644,96,72
4653,83,74
4660,134,102
4664,109,88
4677,90,69
4678,95,76
4679,114,86
4681,94,73
4682,107,85
4683,73,69
4687,90,67
4689,78,64
4690,73,66
4695,105,75
4696,91,72
4697,90,74
4699,84,75
4734,77,63
4849,85,82
4865,110,84
5003,58,52
5012,133,93
5022,88,71
5023,138,114
5025,166,118
5027,114,96
5028,101,74
5029,137,97
5030,141,118
5031,158,115
5032,92,80
5033,106,87
5034,134,97
5035,174,131
5036,137,110
5037,128,97
5039,175,114
5040,110,84
5041,114,96
5044,62,56
5045,141,106
5046,134,103
5047,101,66
5048,106,98
5049,88,72
5051,127,95
5054,127,103
5055,121,92
5056,115,98
5057,104,82
5058,94,77
5060,126,98
5063,117,90
5064,106,84
5065,95,83
5066,125,100
5070,124,109
5071,182,135
5072,162,132
5073,90,79
5075,104,81
5076,120,93
5077,92,66
5078,126,103
5079,106,85
5080,123,89
5082,175,119
5085,127,87
5087,138,98
5088,139,105
5089,77,64
5090,121,98
5091,153,119
5092,109,83
5095,136,99
5096,107,98
5097,153,109
5099,145,106
5101,121,94
5103,130,94
5104,94,81
5105,119,93
5111,107,81
5113,152,107
5115,192,115
5116,160,118
5117,117,92
5118,84,71
5123,118,96
5124,154,111
5126,117,86
5127,89,70
5129,134,108
5130,132,105
5131,117,88
5133,99,80
5134,177,129
5136,128,101
5137,126,90
5139,98,79
5140,121,93
5141,137,107
5142,125,90
5144,123,91
5145,132,103
5146,108,91
5147,171,129
5150,115,95
5151,130,97
5152,95,81
5154,151,135
5155,135,90
5156,124,110
5157,91,74
5159,132,107
5160,177,132
5162,86,74
5165,190,134
5166,107,84
5167,143,107
5168,107,84
5170,64,62
5172,107,85
5173,159,116
5174,125,99
5175,119,90
5178,89,74
5184,105,91
5185,112,90
5186,118,93
5189,170,122
5190,160,116
5191,161,119
5192,125,89
5193,127,103
5196,100,85
5197,100,78
5199,112,87
5200,104,81
5201,91,79
5202,126,96
5203,97,72
5210,109,85
5211,102,80
5214,122,94
5215,140,103
5216,163,111
5218,88,74
5219,66,65
5220,119,100
5227,93,71
5228,102,84
5229,93,75
5231,92,72
5232,102,72
5233,156,117
5234,166,125
5235,111,88
5236,154,118
5239,101,80
5240,75,69
5241,107,84
5242,126,106
5244,91,76
5245,197,132
5246,101,79
5247,109,79
5250,151,117
5251,106,80
5252,143,100
5253,111,79
5254,122,93
5260,178,123
5261,115,85
5262,104,78
5263,107,84
5264,106,82
5266,152,112
5270,123,95
5272,100,82
5273,69,57
5274,169,155
5275,164,123
5276,76,73
5278,176,145
5280,108,90
5281,124,90
5282,105,89
5285,111,92
5287,139,111
5288,162,115
5292,99,77
5293,202,159
5294,127,98
5295,142,122
5296,193,127
5298,103,74
5299,171,115
5300,154,107
5301,93,83
5303,74,62
5305,176,135
5307,105,81
5309,95,77
5311,95,73
5312,156,114
5313,123,87
5316,161,118
5317,117,94
5319,143,103
5320,108,92
5325,86,75
5326,145,114
5329,100,80
5330,151,113
5331,163,134
5334,121,104
5335,123,105
5337,160,122
5338,110,101
5340,102,83
5341,85,74
5342,162,122
5343,144,105
5345,91,67
5346,93,73
5347,104,90
5348,85,79
5350,92,74
5352,89,74
5355,85,68
5356,90,74
5358,102,82
5359,124,92
5360,87,71
5361,143,112
5363,113,90
5368,139,103
5369,182,136
5370,95,72
5373,147,113
5374,102,78
5376,98,88
5379,126,102
5381,96,78
5382,112,87
5384,103,75
5385,150,118
5386,97,78
5387,86,71
5388,176,132
5389,111,98
5390,108,90
5391,116,95
5392,107,87
5394,145,126
5396,108,93
5397,102,95
5398,86,74
5399,92,79
5402,98,80
5403,107,90
5409,117,85
5410,120,97
5411,108,95
5414,109,83
5416,169,134
5417,152,107
5418,116,98
5419,126,94
5420,164,115
5422,96,82
5424,88,76
5425,178,132
5428,135,102
5429,157,116
5430,172,123
5432,94,85
5433,85,69
5434,109,99
5435,135,118
5436,139,101
5438,102,72
5439,104,81
5440,113,86
5441,116,91
5442,86,73
5443,141,103
5444,82,73
5445,109,87
5446,91,78
5447,192,154
5448,92,80
5449,148,88
5450,122,101
5455,141,112
5458,91,72
5460,113,91
5461,94,87
5462,96,91
5463,91,68
5466,142,114
5469,101,78
5470,96,81
5471,99,77
5472,92,79
5476,129,99
5477,106,99
5479,125,92
5480,131,101
5481,96,71
5482,92,79
5483,114,91
5485,126,102
5486,110,77
5487,131,92
5488,118,83
5489,102,84
5491,119,100
5492,77,65
5494,136,119
5495,113,87
5497,118,99
5498,86,66
5499,127,106
5612,139,104
5616,65,66
5617,138,102
5626,141,113
5628,74,66
5629,88,72
5632,116,83
5641,79,65
5644,109,85
5649,100,69
5667,84,75
5668,95,76
5669,137,104
5671,100,85
5672,115,85
5673,104,76
5676,74,64
5686,130,110
5701,125,101
5703,115,97
5705,107,91
5706,103,84
5707,105,81
5709,135,98
5710,117,92
5713,220,154
5717,170,136
5727,131,91
5728,118,86
5731,85,72
5732,95,85
5735,114,89
5743,137,99
5745,117,96
5747,132,93
5748,106,87
5751,98,79
5752,144,106
5753,94,70
5761,124,93
5763,105,79
5764,125,95
5766,70,63
5768,100,76
5772,99,78
5777,101,79
5779,99,80
5786,110,86
5787,107,91
5793,164,109
5795,106,92
5797,84,74
5799,108,81
5802,158,111
5803,152,105
5806,77,67
5807,100,96
5808,121,105
5809,205,134
5810,96,91
5812,101,77
5814,108,85
5823,115,88
5835,74,67
5839,103,86
5841,88,73
5842,151,118
5843,101,93
5844,109,91
5845,92,79
5847,98,69
5848,99,83
5851,102,94
5853,108,79
5854,120,96
5857,94,74
5858,116,86
5859,101,73
5861,68,65
5864,72,64
5866,100,95
5867,171,129
5869,51,58
5871,85,74
5872,76,67
5874,92,83
5879,87,74
5880,86,74
5881,104,90
5882,96,74
5883,92,80
5884,102,82
5886,63,63
5888,94,69
5889,93,77
5890,106,85
5891,112,87
5893,122,92
5894,97,81
5898,159,107
5911,60,61
5912,88,78
5922,82,69
5927,114,86
5929,84,73
5930,86,81
5932,106,86
5935,99,85
5936,60,44
5938,116,95
5944,100,74
5947,153,120
5956,126,101
5957,80,73
5959,137,111
5964,92,81
5965,123,93
5968,73,51
5969,90,74
5976,96,86
5977,95,74
5987,121,98
5992,83,71
5996,88,77
6173,116,82
6190,121,97
6286,122,105
6300,106,87
6370,121,90
6392,85,70
6394,87,78
6395,83,74
6397,82,75
6467,110,97
6469,99,82
6476,85,70
6477,67,90
6480,114,94
6576,91,82
6579,196,135
6789,115,83
6807,93,82
6878,130,98
6879,126,104
6887,111,83
6898,139,101
6929,138,112
6931,119,87
6932,102,86
6951,83,71
6952,79,63
6958,111,90
6963,122,89
6964,114,90
6978,138,103
6998,82,76
7009,104,85
7020,104,79
7032,92,71
7087,110,87
7129,64,62
7156,123,95
7178,118,89
7179,98,81
7181,72,69
7185,112,95
7188,94,73
7194,91,80
7199,99,85
7238,69,62
7243,69,59
7245,73,63
7246,77,64
7247,75,67
7249,70,65
7280,131,108
7281,94,78
7290,88,72
7294,124,96
7301,117,92
7324,93,69
7326,159,127
8331,111,88
8930,68,62
