Store,Balloon Bouquet Program?,Current Tank On-Hand,Pickup Month
2580,Yes,7,October
1641,Yes,18,September
1379,Yes,16,September
2730,Yes,9,September
1527,No,8,September
1197,Yes,8,September
1502,Yes,17,October
4459,Yes,9,October
2000,No,9,October
1354,Yes,8,October
5851,Yes,6,October
1300,Yes,14,September
3864,Yes,12,September
7179,Yes,9,September
3701,Yes,7,September
1355,No,6,September
1661,Yes,13,October
3825,Yes,11,October
7238,No,8,October
1298,Yes,7,October
1236,Yes,6,October
4224,Yes,20,September
1662,Yes,9,September
1290,No,7,September
1131,No,6,September
1039,Yes,6,September
1064,Yes,16,October
1337,Yes,8,October
948,Yes,7,October
1096,Yes,6,October
5298,Yes,13,September
4274,Yes,12,September
5085,Yes,10,September
1385,No,9,September
1464,No,13,October
1034,No,11,October
5481,Yes,9,October
4594,Yes,6,October
1156,Yes,17,September
1027,Yes,12,September
5747,Yes,8,September
4574,Yes,6,September
1133,Yes,13,October
2134,Yes,10,October
1821,Yes,7,October
2005,No,6,October
6789,No,20,September
3626,Yes,13,September
3503,Yes,9,September
1849,No,8,September
1613,Yes,7,September
2793,Yes,19,October
1322,Yes,10,October
2472,Yes,8,October
4477,Yes,7,October
1552,Yes,7,October
5063,Yes,13,September
1666,No,11,September
3371,Yes,8,September
1255,Yes,8,September
1452,Yes,7,September
3700,Yes,13,October
1010,No,11,October
2908,Yes,8,October
877,Yes,8,October
1097,No,7,October
5489,Yes,21,September
6879,Yes,13,September
1155,Yes,11,September
1238,Yes,10,September
1774,Yes,8,September
2929,Yes,6,September
6958,Yes,18,October
1261,Yes,13,October
1312,Yes,10,October
3595,Yes,9,October
5787,Yes,6,October
1302,Yes,12,September
2761,Yes,9,September
3303,Yes,7,September
154,No,6,September
3270,Yes,9,October
2089,No,8,October
1763,Yes,6,October
1243,Yes,10,September
3243,Yes,9,September
1292,Yes,7,September
3770,Yes,9,October
1309,No,8,October
2312,Yes,6,October
1465,Yes,17,September
2645,Yes,10,September
1486,Yes,8,September
4636,No,10,October
1934,Yes,9,October
3768,Yes,6,October
1350,Yes,11,September
1335,Yes,9,September
2807,Yes,7,September
5117,No,6,September
4697,Yes,9,October
1344,Yes,8,October
1399,Yes,7,October
1780,No,6,October
2576,No,11,September
2792,Yes,7,September
4277,Yes,6,September
2244,Yes,8,October
2548,Yes,7,October
2810,No,6,October
2933,No,9,September
5319,No,8,September
1351,Yes,8,September
2662,No,6,September
2036,Yes,9,October
4278,Yes,8,October
6951,No,6,October
1477,Yes,6,October
2027,No,12,September
1522,Yes,8,September
1653,No,7,September
2809,Yes,8,October
2833,No,7,October
3215,Yes,6,October
141,Yes,18,September
279,Yes,14,September
358,Yes,10,September
55,Yes,9,September
66,Yes,7,September
16,Yes,6,September
125,Yes,15,October
3231,Yes,10,October
67,Yes,9,October
388,Yes,8,October
209,Yes,6,October
359,Yes,25,September
2,Yes,12,September
54,Yes,8,September
144,Yes,19,October
914,Yes,11,October
76,Yes,7,October
100,Yes,13,September
5261,Yes,10,September
1,Yes,12,October
5260,Yes,9,October
126,Yes,17,September
3230,Yes,8,September
4460,No,7,September
5244,No,11,October
5706,No,7,October
124,No,7,October
58,Yes,24,September
33,Yes,12,September
127,Yes,7,September
318,Yes,6,September
52,Yes,14,October
261,Yes,11,October
5433,Yes,6,October
7,Yes,10,September
8,Yes,8,September
5,Yes,6,September
169,Yes,8,October
2587,Yes,7,October
530,Yes,11,September
348,Yes,9,September
102,Yes,8,September
171,Yes,11,October
714,No,8,October
83,Yes,6,October
119,Yes,20,September
788,Yes,8,September
57,Yes,7,September
157,Yes,6,September
11,No,14,October
18,Yes,8,October
160,Yes,6,October
45,Yes,15,September
190,Yes,11,September
70,No,10,September
62,Yes,9,September
229,Yes,6,September
36,Yes,14,October
91,Yes,10,October
453,Yes,9,October
128,Yes,7,October
68,Yes,6,October
15,Yes,11,September
2702,Yes,8,September
4381,No,7,September
837,No,7,September
444,Yes,6,September
379,Yes,10,October
2221,Yes,8,October
871,No,7,October
1009,Yes,6,October
32,No,6,October
13,Yes,6,September
19,Yes,13,September
9,Yes,10,September
95,Yes,7,September
30,Yes,11,October
188,Yes,9,October
152,Yes,6,October
219,Yes,13,September
21,Yes,10,September
101,Yes,9,September
65,Yes,12,October
815,Yes,9,October
357,Yes,7,October
1188,No,12,September
243,No,6,October
328,No,11,September
1418,No,8,September
253,No,7,September
201,Yes,10,October
256,Yes,8,October
499,Yes,14,September
108,No,9,September
622,Yes,10,October
227,No,8,October
41,Yes,11,September
576,No,9,September
3055,No,7,September
168,Yes,6,September
823,Yes,9,October
838,Yes,8,October
207,No,7,October
136,No,6,October
50,No,16,September
22,Yes,8,September
90,No,7,September
130,Yes,6,September
12,Yes,9,October
374,Yes,7,October
81,Yes,7,October
1116,Yes,13,September
5071,Yes,9,September
1148,Yes,7,September
113,Yes,7,September
479,Yes,11,October
420,Yes,9,October
269,Yes,7,October
3229,No,6,October
151,Yes,14,September
947,Yes,11,September
185,No,10,September
158,No,9,September
1043,Yes,12,October
129,Yes,11,October
147,Yes,10,October
103,Yes,12,September
2804,Yes,18,September
389,Yes,9,September
2803,No,8,September
360,Yes,8,September
387,No,6,September
4241,Yes,10,October
4195,Yes,8,October
1626,Yes,8,October
3430,Yes,6,October
212,Yes,13,September
139,Yes,10,September
743,Yes,8,September
2734,Yes,7,September
1056,Yes,11,October
7326,Yes,9,October
277,Yes,8,October
517,Yes,7,October
3295,No,10,September
4637,Yes,7,September
894,Yes,7,September
472,Yes,6,September
73,Yes,6,September
1597,Yes,8,October
992,No,7,October
4615,Yes,6,October
324,Yes,6,October
88,Yes,13,September
14,Yes,10,September
173,Yes,8,September
166,No,6,September
179,Yes,12,October
86,Yes,9,October
46,Yes,7,October
363,Yes,10,September
40,Yes,7,September
203,No,6,September
189,No,8,October
820,No,6,October
325,Yes,10,September
1120,Yes,7,September
195,No,7,September
560,Yes,6,September
234,Yes,8,October
834,No,7,October
801,No,6,October
61,Yes,12,September
4590,Yes,9,September
96,Yes,9,September
319,Yes,11,October
573,Yes,9,October
20,Yes,6,October
4475,Yes,11,September
4611,No,8,September
1151,Yes,6,September
486,Yes,11,October
2855,Yes,6,October
826,Yes,8,September
3428,No,6,September
1380,Yes,7,October
966,No,6,October
5137,Yes,9,September
1689,Yes,7,September
2892,Yes,9,October
3313,Yes,6,October
5051,Yes,10,September
2729,Yes,9,September
953,Yes,9,September
3177,Yes,6,September
924,Yes,10,October
980,Yes,9,October
4599,Yes,6,October
1231,Yes,14,September
1659,Yes,9,September
4567,Yes,8,September
1045,No,8,September
3867,No,10,October
905,Yes,9,October
4288,No,8,October
5049,Yes,6,September
3778,Yes,8,September
1457,No,6,September
1315,Yes,8,October
1508,Yes,12,September
1485,No,6,October
2259,Yes,14,September
1872,Yes,9,September
2607,Yes,10,October
3259,No,8,October
1414,No,11,September
2652,Yes,8,September
906,No,9,October
3596,No,6,October
3731,Yes,15,September
824,Yes,10,September
3423,Yes,7,September
4201,Yes,10,October
5491,Yes,7,October
3732,Yes,6,October
4601,No,19,September
3427,Yes,12,September
611,Yes,10,September
868,Yes,8,September
1357,No,6,September
5166,Yes,17,October
1306,Yes,12,October
806,Yes,9,October
5155,Yes,6,October
4377,No,9,September
1280,Yes,7,September
5458,No,8,October
1058,No,6,October
842,Yes,9,September
1001,Yes,6,October
3582,Yes,10,September
3227,No,7,September
1896,Yes,6,September
5123,Yes,9,October
4335,Yes,6,October
1616,No,8,September
3729,Yes,7,October
2884,Yes,14,September
3728,Yes,11,September
3350,No,6,September
1838,Yes,13,October
2592,Yes,9,October
1559,No,6,October
2838,Yes,16,September
4356,Yes,10,September
1584,Yes,9,September
5070,Yes,7,September
1560,Yes,11,October
5101,No,9,October
2593,No,8,October
5258,No,9,September
4339,No,7,September
5269,Yes,8,October
5841,Yes,14,September
2862,Yes,9,September
3093,Yes,7,September
3739,Yes,6,September
2780,No,6,September
2781,Yes,10,October
2508,Yes,9,October
2617,No,7,October
2861,Yes,6,October
1951,Yes,6,October
1995,Yes,11,September
3897,Yes,8,September
5494,No,6,September
2782,No,9,October
2831,Yes,7,October
1905,Yes,6,October
3848,Yes,15,September
3454,Yes,13,September
4272,Yes,10,September
1708,Yes,6,September
3789,Yes,13,October
5234,Yes,12,October
1699,Yes,8,October
3568,Yes,15,September
3620,Yes,9,September
1440,Yes,9,September
5235,No,6,September
5233,Yes,11,October
2307,Yes,9,October
3232,Yes,7,October
1686,Yes,6,October
5168,No,12,September
3847,Yes,8,September
2794,Yes,7,September
1438,Yes,10,October
1573,Yes,8,October
664,Yes,18,September
770,Yes,11,September
592,Yes,8,September
799,Yes,7,September
978,Yes,6,September
372,Yes,12,October
2562,No,8,October
419,Yes,8,October
369,Yes,7,October
558,Yes,11,September
557,Yes,9,September
1282,Yes,7,September
35,Yes,11,October
43,No,8,October
993,Yes,7,October
794,Yes,10,September
2428,Yes,9,September
3283,Yes,8,September
1507,Yes,7,September
4321,Yes,9,October
186,Yes,9,October
1221,Yes,8,October
5307,Yes,8,September
2893,No,6,September
39,Yes,6,September
42,Yes,7,October
72,Yes,6,October
342,Yes,13,September
484,Yes,9,September
1802,Yes,7,September
5441,Yes,6,September
26,Yes,11,October
2131,Yes,7,October
6392,No,6,October
5219,Yes,6,October
5806,No,7,September
1545,Yes,6,October
3762,Yes,11,September
1764,No,10,September
1435,Yes,7,September
751,No,11,October
1723,Yes,8,October
2935,No,6,October
5748,Yes,9,September
1389,Yes,7,September
748,Yes,6,September
1732,Yes,9,October
892,Yes,7,October
753,Yes,13,September
1496,Yes,9,September
646,Yes,8,September
2004,Yes,7,September
750,Yes,6,September
1528,No,9,October
1506,No,8,October
2716,No,7,October
3630,Yes,6,October
1241,Yes,8,September
5115,No,6,October
2367,Yes,11,September
1634,No,7,September
1757,No,8,October
1447,No,6,October
1415,Yes,9,September
1473,Yes,7,September
3806,No,6,September
1738,No,6,September
1865,No,7,October
4374,No,6,October
3760,No,6,October
1470,Yes,6,October
1861,Yes,9,September
3404,Yes,8,September
2882,Yes,7,September
3498,No,8,October
2643,Yes,8,October
1864,No,7,October
2198,Yes,8,September
2642,Yes,7,September
5992,No,7,October
2274,Yes,11,September
3088,Yes,9,September
1562,Yes,9,September
1577,No,8,September
1633,Yes,6,September
1999,No,11,October
2352,Yes,9,October
5976,No,8,October
3102,Yes,6,October
1971,Yes,10,September
1038,Yes,9,September
4257,Yes,8,September
1657,Yes,10,October
1020,No,9,October
1332,Yes,11,September
1526,Yes,9,September
3590,Yes,8,September
1361,Yes,7,September
810,No,11,October
886,No,9,October
1152,Yes,8,October
1625,No,6,October
4352,No,12,September
1567,Yes,10,September
1565,No,7,September
3648,Yes,11,October
1534,Yes,10,October
867,Yes,12,September
5170,Yes,7,September
1585,Yes,7,September
1326,Yes,6,September
2579,No,8,October
3395,No,7,October
637,Yes,7,October
1538,Yes,10,September
1604,Yes,9,September
3872,Yes,7,September
2443,Yes,7,September
1543,Yes,6,September
2990,No,9,October
1483,Yes,9,October
3853,Yes,7,October
1520,Yes,7,October
1500,No,6,October
4568,Yes,7,September
5141,Yes,6,September
5361,Yes,6,October
4358,Yes,6,October
2432,Yes,15,September
885,Yes,8,September
350,Yes,8,September
3278,Yes,6,September
774,No,12,October
645,Yes,8,October
1671,Yes,7,October
1571,No,16,September
5667,No,8,September
2668,Yes,8,September
5668,No,6,September
3488,No,9,October
4677,No,8,October
1167,Yes,8,October
1394,Yes,6,October
2421,Yes,12,September
5432,No,10,September
3245,No,7,September
2192,No,11,October
1819,Yes,9,October
5444,No,6,October
979,No,15,September
5397,Yes,6,September
1277,No,8,October
2986,Yes,8,September
1982,Yes,7,September
1449,Yes,7,September
2509,No,7,October
1828,Yes,7,October
2813,Yes,12,September
2127,Yes,9,September
2510,No,6,September
5090,Yes,11,October
1908,Yes,8,October
1453,Yes,6,October
1274,Yes,10,September
3505,No,7,September
1305,Yes,7,September
1138,Yes,7,September
1396,No,8,October
1799,Yes,7,October
1267,No,7,October
5438,No,9,September
1678,No,7,September
1635,No,9,October
910,Yes,6,October
5463,No,14,September
1650,No,10,September
1643,Yes,7,September
2658,No,13,October
2452,No,7,October
3324,Yes,6,October
1692,Yes,18,September
1693,Yes,10,September
4340,No,9,September
1879,Yes,7,September
1914,Yes,11,October
4392,Yes,9,October
2333,Yes,7,October
2526,No,7,September
1624,Yes,10,September
5134,Yes,7,September
2099,No,9,October
2507,Yes,7,October
5686,No,12,September
3523,No,11,September
2951,No,8,September
2950,No,7,September
2297,No,12,October
5162,Yes,9,October
1660,Yes,8,October
5337,Yes,11,September
1815,Yes,10,September
2001,Yes,9,September
2985,Yes,7,September
2277,No,6,September
4238,Yes,10,October
5701,No,9,October
5632,No,8,October
1583,Yes,7,October
2030,No,13,September
2039,Yes,8,September
1840,Yes,7,September
1587,Yes,6,September
5710,Yes,12,October
1963,Yes,7,October
1983,Yes,6,October
5435,Yes,6,September
3352,No,13,September
3493,Yes,9,September
3455,Yes,7,September
1554,Yes,11,October
2925,Yes,9,October
1651,Yes,6,October
3652,Yes,16,September
2048,Yes,10,September
3708,No,8,September
5139,Yes,11,October
1704,Yes,10,October
1881,Yes,7,October
2735,Yes,10,September
2457,Yes,9,September
1789,Yes,8,September
5231,No,9,October
5848,Yes,8,October
1697,Yes,8,October
4202,No,12,September
1760,Yes,9,September
3587,No,9,October
5192,Yes,7,October
1903,Yes,15,September
1575,Yes,10,September
5133,Yes,8,September
5136,Yes,10,October
1608,Yes,9,October
2537,Yes,7,October
2150,Yes,18,September
5023,Yes,12,September
3947,Yes,6,September
2253,Yes,13,October
2291,Yes,7,October
5338,Yes,13,September
1917,Yes,12,September
2177,Yes,8,September
5140,Yes,7,September
3494,Yes,13,October
5996,Yes,8,October
1700,Yes,8,October
2479,Yes,6,October
2952,Yes,15,September
2494,Yes,11,September
5075,No,7,September
2708,Yes,15,October
2094,Yes,11,October
2245,Yes,6,October
2842,Yes,18,September
1912,Yes,12,September
2028,Yes,10,September
5425,Yes,8,September
1853,Yes,14,October
5193,Yes,10,October
1747,No,9,October
1899,Yes,8,October
3464,Yes,14,September
3796,Yes,10,September
1862,Yes,9,September
1992,Yes,6,September
1922,Yes,14,October
1941,Yes,10,October
1756,Yes,8,October
5335,Yes,15,September
1832,Yes,11,September
5156,Yes,9,September
2181,Yes,8,September
1555,Yes,12,October
5096,Yes,10,October
1915,No,9,October
1859,Yes,8,October
2523,Yes,12,September
2242,Yes,8,September
5032,No,9,October
5874,Yes,12,September
4132,Yes,10,September
4101,Yes,9,September
3477,Yes,7,September
5072,No,10,October
5807,Yes,9,October
2110,No,8,October
2609,No,7,October
2218,Yes,11,September
2517,Yes,9,September
4171,No,6,September
2636,Yes,10,October
2495,Yes,7,October
4137,No,9,September
3850,Yes,8,September
3531,No,8,September
2249,No,7,September
2469,Yes,9,October
3705,No,8,October
5853,No,7,October
5839,Yes,10,September
1834,No,6,September
2069,No,7,October
1772,No,6,October
2722,Yes,11,September
2074,Yes,8,September
4359,Yes,6,September
2711,No,10,October
2071,Yes,8,October
2070,Yes,6,October
2126,Yes,37,September
2314,Yes,33,September
3883,Yes,14,September
5274,Yes,33,October
2321,Yes,15,October
2473,Yes,13,October
3801,No,13,September
2595,Yes,10,September
2594,Yes,7,September
5628,No,11,October
2319,Yes,8,October
3757,No,6,October
5273,No,13,September
5272,No,8,September
2037,Yes,7,September
2317,No,6,September
2196,No,9,October
2121,No,7,October
5861,No,6,October
5078,Yes,15,September
2269,Yes,10,September
2007,Yes,11,October
3217,Yes,9,October
4395,No,7,September
3380,Yes,12,September
2241,Yes,8,September
1817,No,7,September
3261,Yes,10,October
1889,Yes,8,October
2492,Yes,6,October
3742,No,9,September
5461,No,7,September
5929,Yes,6,September
2927,Yes,8,October
2550,Yes,7,October
5368,Yes,11,September
1784,Yes,9,September
1920,Yes,6,September
4176,Yes,9,October
1793,Yes,7,October
1843,Yes,6,October
5396,No,7,September
3258,No,6,October
4165,Yes,20,September
5764,No,15,September
421,No,10,September
5312,Yes,8,September
5247,Yes,17,October
3773,Yes,15,October
2980,Yes,9,October
940,Yes,7,October
3179,Yes,8,September
5664,No,6,October
3781,No,7,September
1655,No,7,September
2788,Yes,7,October
2948,Yes,11,September
3522,Yes,8,September
5154,Yes,9,October
2401,No,7,October
2425,No,7,September
3104,No,7,September
3011,Yes,7,October
3019,No,9,September
3082,Yes,6,September
3740,Yes,6,October
5990,No,7,September
3155,Yes,6,October
6876,No,7,September
6975,Yes,6,September
3593,No,6,September
3599,Yes,7,October
6943,Yes,6,October
6390,No,6,September
6174,No,9,September
3338,No,7,September
2328,Yes,6,September
2731,No,6,October
5908,Yes,13,September
3959,Yes,7,September
5467,No,8,October
3504,No,9,September
4148,No,7,September
7004,Yes,6,September
7146,Yes,7,October
7315,Yes,6,October
5829,Yes,7,September
7235,No,6,September
3600,No,7,October
163,No,11,September
140,Yes,10,September
288,No,8,September
285,Yes,7,September
275,Yes,6,September
249,Yes,10,October
364,Yes,9,October
214,No,8,October
236,Yes,7,October
6966,Yes,10,September
3199,Yes,6,September
5963,Yes,7,October
3763,Yes,18,September
500,Yes,14,September
5947,Yes,9,September
1015,Yes,9,September
2201,Yes,6,September
5717,Yes,16,October
3136,Yes,13,October
2612,Yes,9,October
512,Yes,9,October
3057,No,10,September
508,Yes,9,September
4131,Yes,7,September
3107,Yes,6,September
1198,Yes,10,October
4162,Yes,8,October
1126,Yes,7,October
1154,Yes,6,October
4655,No,8,September
3340,Yes,6,September
2395,Yes,6,September
6942,Yes,6,October
2880,Yes,6,October
1893,Yes,8,September
2799,Yes,6,October
6176,Yes,9,September
6264,Yes,8,September
7206,Yes,6,September
5014,Yes,9,October
6233,Yes,7,October
6586,Yes,6,October
2025,Yes,9,September
2689,Yes,7,September
3046,No,6,October
3794,Yes,9,September
2516,No,7,September
3525,Yes,6,September
5041,Yes,7,October
5073,Yes,6,October
2385,Yes,6,October
2487,Yes,11,September
5663,Yes,8,September
3132,Yes,10,October
3131,Yes,6,October
7329,No,10,September
7137,Yes,6,September
7209,Yes,6,October
2870,No,6,October
5960,No,11,September
5962,Yes,6,September
5108,Yes,7,October
4415,Yes,6,October
5490,No,9,September
5226,Yes,6,September
3450,Yes,6,September
5290,Yes,6,October
4056,Yes,6,October
2835,Yes,6,October
5314,No,6,September
2394,No,6,September
5286,Yes,6,October
5738,Yes,11,September
3654,Yes,6,September
2742,No,6,September
2686,Yes,11,October
3164,No,6,October
2741,Yes,6,October
2744,No,12,September
4128,Yes,8,September
3723,Yes,6,September
7317,Yes,9,October
4579,Yes,6,October
7127,Yes,10,September
3111,Yes,6,September
7072,No,6,October
7233,No,6,September
3727,Yes,6,September
5125,No,6,October
4674,Yes,7,September
4577,No,6,September
3752,No,7,October
6323,Yes,8,September
5256,Yes,8,September
4357,No,13,September
6531,Yes,7,October
4421,Yes,11,September
4517,Yes,6,September
6732,No,6,October
3414,No,7,September
3013,No,6,October
5820,No,7,September
5817,Yes,6,September
2944,No,7,October
525,Yes,6,October
5678,Yes,12,September
3144,No,7,October
5661,No,12,September
4134,No,9,September
5640,Yes,8,September
4169,Yes,7,September
5637,Yes,9,October
3101,Yes,9,October
5684,Yes,7,October
5601,Yes,6,October
5979,No,9,September
4759,Yes,6,September
4127,No,8,October
3090,No,6,October
3163,Yes,6,September
1511,No,6,September
1590,Yes,6,October
3619,No,10,September
4528,No,6,September
4692,No,6,October
4700,Yes,9,September
5205,Yes,6,September
4706,Yes,7,October
5875,Yes,7,September
4565,No,6,September
5741,Yes,6,October
4159,Yes,6,October
3204,Yes,7,September
2975,No,6,September
2977,Yes,6,October
7357,Yes,10,September
6590,Yes,8,September
7361,Yes,6,September
4618,Yes,6,September
3452,Yes,6,September
4468,Yes,10,October
3509,Yes,7,October
5094,Yes,6,October
3579,Yes,6,October
7342,Yes,6,September
456,Yes,29,September
1041,Yes,20,September
4112,Yes,15,September
1000,Yes,13,September
1296,Yes,6,September
2763,Yes,23,October
2765,Yes,16,October
5808,Yes,13,October
595,Yes,11,October
3517,Yes,10,September
5702,Yes,9,October
3443,No,11,September
2563,Yes,6,September
1371,Yes,6,September
1783,Yes,6,October
870,Yes,6,October
5394,Yes,9,September
1826,Yes,8,September
1882,Yes,8,October
5859,No,6,October
5270,No,13,September
1768,Yes,11,September
3208,Yes,9,September
2511,Yes,8,September
4068,Yes,12,October
4689,No,10,October
1827,Yes,9,October
1572,No,6,October
1800,Yes,8,September
3224,Yes,6,September
259,Yes,7,October
3533,Yes,8,September
5957,No,6,September
3824,No,6,September
2223,Yes,8,October
4734,No,6,October
