Store Number,Tracking Number,Delivered date,Service type ,Reference ,Received by 
458,427914857216,1/27/2025,FedEx Ground,F0595,AAVILA
463,427914857227,1/27/2025,FedEx Ground,F0595,
868,427914857396,1/27/2025,FedEx Ground,F0595,LMARTINEZ
1103,427914857433,1/27/2025,FedEx Ground,F0595,JJJ
1154,427914857455,1/27/2025,FedEx Ground,F0595,DWEST
2241,427914857569,1/27/2025,FedEx Ground,F0595,JJENNIFER
2269,427914857580,1/27/2025,FedEx Ground,F0595,JJESSIE
2596,427914857617,1/27/2025,FedEx Ground,F0595,TBACKSTROM
260,427914857650,1/27/2025,FedEx Ground,F0595,WWALART
297,427914857694,1/27/2025,FedEx Ground,F0595,WWALLACE
420,427914857720,1/27/2025,FedEx Ground,F0595,MCHRISTMAS
421,427914857731,1/27/2025,FedEx Ground,F0595,NNATHAN
462,427914857775,1/27/2025,FedEx Ground,F0595,RRE
465,427914857786,1/27/2025,FedEx Ground,F0595,PMORALES
467,427914857797,1/27/2025,FedEx Ground,F0595,ASCOTT
504,427914857801,1/27/2025,FedEx Ground,F0595,GRENEE
546,427914857812,1/27/2025,FedEx Ground,F0595,RROXANNE
752,427914857834,1/27/2025,FedEx Ground,F0595,MMARTA
808,427914857878,1/27/2025,FedEx Ground,F0595,AWELL
940,427914857915,1/27/2025,FedEx Ground,F0595,JJEN
972,427914857937,1/27/2025,FedEx Ground,F0595,CRITA
999,427914857948,1/27/2025,FedEx Ground,F0595,MMEDINA
1045,427914857960,1/27/2025,FedEx Ground,F0595,WWALL
1126,427914857992,1/27/2025,FedEx Ground,F0595,SSTACY
1129,427914858006,1/27/2025,FedEx Ground,F0595,ARODRIGUEZ
1137,427914858017,1/27/2025,FedEx Ground,F0595,LGARCIA
1186,427914858039,1/27/2025,FedEx Ground,F0595,BLEWIS
1347,427914858061,1/27/2025,FedEx Ground,F0595,MMORALES
1405,427914858072,1/27/2025,FedEx Ground,F0595,EESTELLW
1434,427914858094,1/27/2025,FedEx Ground,F0595,LLL
1689,427914858109,1/27/2025,FedEx Ground,F0595,TTONY
2133,427914858142,1/27/2025,FedEx Ground,F0595,EMONTEMAYOR
2505,427914858164,1/27/2025,FedEx Ground,F0595,DDESI
2751,427914858186,1/27/2025,FedEx Ground,F0595,DDOMINGUEZ
2864,427914858197,1/27/2025,FedEx Ground,F0595,JRODRGUEZ
2978,427914858223,1/27/2025,FedEx Ground,F0595,CGIBSON
2993,427914858234,1/27/2025,FedEx Ground,F0595,ACLEO
3057,427914858267,1/27/2025,FedEx Ground,F0595,EMARTINEZ
3058,427914858278,1/27/2025,FedEx Ground,F0595,
3106,427914858289,1/27/2025,FedEx Ground,F0595,VPETERSON
3112,427914858304,1/27/2025,FedEx Ground,F0595,WWALMART
3298,427914858370,1/27/2025,FedEx Ground,F0595,JHHHHJFFC
3432,427914858381,1/27/2025,FedEx Ground,F0595,MWARREN
3433,427914858392,1/27/2025,FedEx Ground,F0595,DDOCK
3566,427914858418,1/27/2025,FedEx Ground,F0595,HJIJU
3631,427914858430,1/27/2025,FedEx Ground,F0595,RBAKER
3827,427914858440,1/27/2025,FedEx Ground,F0595,MMEHFUZA
3888,427914858451,1/27/2025,FedEx Ground,F0595,LLILLIANA
4102,427914858462,1/27/2025,FedEx Ground,F0595,ASANMIGUEL
4103,427914858473,1/27/2025,FedEx Ground,F0595,OOSXAR
4131,427914858495,1/27/2025,FedEx Ground,F0595,OORTEGA
4164,427914858510,1/27/2025,FedEx Ground,F0595,BDNDKS
4298,427914858543,1/27/2025,FedEx Ground,F0595,ISABEL
4554,427914858587,1/27/2025,FedEx Ground,F0595,LLINA
5288,427914858657,1/27/2025,FedEx Ground,F0595,ADOMINGUEZ
5316,427914858668,1/27/2025,FedEx Ground,F0595,RROBERT
5388,427914858680,1/27/2025,FedEx Ground,F0595,TTAMMY
5449,427914858690,1/27/2025,FedEx Ground,F0595,MMARINA
5707,427914858716,1/27/2025,FedEx Ground,F0595,MWHITE
6300,427914858738,1/27/2025,FedEx Ground,F0595,DDARLENE
6579,427914858749,1/27/2025,FedEx Ground,F0595,GGARZA
6963,427914858750,1/27/2025,FedEx Ground,F0595,MSANXON
1306,427914858782,1/27/2025,FedEx Ground,F0595,MLEFEVRE
1328,427914858793,1/27/2025,FedEx Ground,F0595,JMORA
1291,427914858852,1/27/2025,FedEx Ground,F0595,MENMAN
1532,427914858863,1/27/2025,FedEx Ground,F0595,JWHITE
2922,427914858999,1/27/2025,FedEx Ground,F0595,FREYES
3241,427914859013,1/27/2025,FedEx Ground,F0595,CLANDIN
3884,427914859068,1/27/2025,FedEx Ground,F0595,NBUER
4232,427914859079,1/27/2025,FedEx Ground,F0595,LLOPEZ
5031,427914859105,1/27/2025,FedEx Ground,F0595,MCAMPAS
5124,427914859116,1/27/2025,FedEx Ground,F0595,GGAINS
5429,427914859149,1/27/2025,FedEx Ground,F0595,BBURNS
5799,427914859160,1/27/2025,FedEx Ground,F0595,VWELLES
1747,427914859182,1/27/2025,FedEx Ground,F0595,EEDWINA
1832,427914859193,1/27/2025,FedEx Ground,F0595,MMANAGER
1862,427914859208,1/27/2025,FedEx Ground,F0595,CCASAS
1914,427914859219,1/27/2025,FedEx Ground,F0595,BBEEZ
2001,427914859220,1/27/2025,FedEx Ground,F0595,BBIANCA
2110,427914859230,1/27/2025,FedEx Ground,F0595,REYNALDO
2181,427914859241,1/27/2025,FedEx Ground,F0595,EELISA
2708,427914859263,1/27/2025,FedEx Ground,F0595,GGRISELDA
1805,427914859274,1/27/2025,FedEx Ground,F0595,HIL
1838,427914859285,1/27/2025,FedEx Ground,F0595,CHELEKAHI
1941,427914859296,1/27/2025,FedEx Ground,F0595,LLAA
2082,427914859311,1/27/2025,FedEx Ground,F0595,JNA
2218,427914859322,1/27/2025,FedEx Ground,F0595,MMARVIN
2251,427914859333,1/27/2025,FedEx Ground,F0595,MBRENDA
2292,427914859344,1/27/2025,FedEx Ground,F0595,SSAMANTHA
2333,427914859355,1/27/2025,FedEx Ground,F0595,SSHERRI
2526,427914859366,1/27/2025,FedEx Ground,F0595,NJONATHAN
2609,427914859377,1/27/2025,FedEx Ground,F0595,LLUIS
2636,427914859388,1/27/2025,FedEx Ground,F0595,LLUARA
2948,427914859399,1/27/2025,FedEx Ground,F0595,JJC
3477,427914859403,1/27/2025,FedEx Ground,F0595,EELENA
3847,427914859414,1/27/2025,FedEx Ground,F0595,JJOSH
4101,427914859425,1/27/2025,FedEx Ground,F0595,GGINA
4171,427914859436,1/27/2025,FedEx Ground,F0595,MMICHELLE
4557,427914859447,1/27/2025,FedEx Ground,F0595,JJAMET
5162,427914859458,1/27/2025,FedEx Ground,F0595,MMARK
5641,427914859469,1/27/2025,FedEx Ground,F0595,MMARCEE
5930,427914859470,1/27/2025,FedEx Ground,F0595,ATINA
2,427914845039,1/28/2025,FedEx Ground,F0595,CLIFF
15,427914845040,1/28/2025,FedEx Ground,F0595,MWARREN
16,427914845050,1/28/2025,FedEx Ground,F0595,KKENNY
23,427914845061,1/28/2025,FedEx Ground,F0595,JCORKIL
25,427914845072,1/28/2025,FedEx Ground,F0595,MNIELSEN
29,427914845094,1/28/2025,FedEx Ground,F0595,JHERIFORD
35,427914845109,1/28/2025,FedEx Ground,F0595,KTROGDEN
39,427914845110,1/28/2025,FedEx Ground,F0595,REMERSON
72,427914845120,1/28/2025,FedEx Ground,F0595,CHATFIELD
130,427914845153,1/28/2025,FedEx Ground,F0595,MASHWOOD
135,427914845164,1/28/2025,FedEx Ground,F0595,SSKS
141,427914845175,1/28/2025,FedEx Ground,F0595,PHARP
203,427914845212,1/28/2025,FedEx Ground,F0595,AWALMART
205,427914845223,1/28/2025,FedEx Ground,F0595,JWIL
244,427914845267,1/28/2025,FedEx Ground,F0595,AROZELLE
307,427914845337,1/28/2025,FedEx Ground,F0595,CCOLLINS
342,427914845359,1/28/2025,FedEx Ground,F0595,JSND
357,427914845360,1/28/2025,FedEx Ground,F0595,ETOWLES
363,427914845370,1/28/2025,FedEx Ground,F0595,JANIS
376,427914845392,1/28/2025,FedEx Ground,F0595,CCHAMBERS
484,427914845462,1/28/2025,FedEx Ground,F0595,MMEG
515,427914845500,1/28/2025,FedEx Ground,F0595,MBURCH
539,427914845532,1/28/2025,FedEx Ground,F0595,SBALQUEA
628,427914845646,1/28/2025,FedEx Ground,F0595,AANDERSON
630,427914845657,1/28/2025,FedEx Ground,F0595,EBLUE
643,427914845690,1/28/2025,FedEx Ground,F0595,SGOODWIN
644,427914845705,1/28/2025,FedEx Ground,F0595,SHOFFSTETTER
775,427914845911,1/28/2025,FedEx Ground,F0595,XPADON
801,427914845933,1/28/2025,FedEx Ground,F0595,DDEBBIE
802,427914845944,1/28/2025,FedEx Ground,F0595,RHILLARY
816,427914845955,1/28/2025,FedEx Ground,F0595,ERUSHING
866,427914845977,1/28/2025,FedEx Ground,F0595,JWALSH
875,427914845988,1/28/2025,FedEx Ground,F0595,ALAYUS
882,427914845999,1/28/2025,FedEx Ground,F0595,RSLOWENSKI
903,427914846013,1/28/2025,FedEx Ground,F0595,ABROWN
916,427914846057,1/28/2025,FedEx Ground,F0595,TCORLEY
969,427914846090,1/28/2025,FedEx Ground,F0595,ADEADOUX
995,427914846127,1/28/2025,FedEx Ground,F0595,EWHITE
1005,427914846138,1/28/2025,FedEx Ground,F0595,CTOMONIKA
1007,427914846149,1/28/2025,FedEx Ground,F0595,
1017,427914846150,1/28/2025,FedEx Ground,F0595,SBILLUPS
1023,427914846160,1/28/2025,FedEx Ground,F0595,SSHAFNER
1034,427914846182,1/28/2025,FedEx Ground,F0595,ABUFF
1037,427914846193,1/28/2025,FedEx Ground,F0595,KKISEER
1066,427914846219,1/28/2025,FedEx Ground,F0595,EAYALA
1094,427914846230,1/28/2025,FedEx Ground,F0595,LHUNDALL
1106,427914846252,1/28/2025,FedEx Ground,F0595,GGALTEL
1120,427914846296,1/28/2025,FedEx Ground,F0595,WWICK
1144,427914846355,1/28/2025,FedEx Ground,F0595,SWILSON
1146,427914846366,1/28/2025,FedEx Ground,F0595,JCLEVLAND
1152,427914846377,1/28/2025,FedEx Ground,F0595,CRICE
1156,427914846388,1/28/2025,FedEx Ground,F0595,SADAMS
1179,427914846436,1/28/2025,FedEx Ground,F0595,ASALES
1180,427914846447,1/28/2025,FedEx Ground,F0595,CCLAIRE
1192,427914846458,1/28/2025,FedEx Ground,F0595,MHAMILTON
1193,427914846469,1/28/2025,FedEx Ground,F0595,MSASHA
1222,427914846517,1/28/2025,FedEx Ground,F0595,AJENNINGS
1236,427914846540,1/28/2025,FedEx Ground,F0595,ACAMPBLL
1237,427914846550,1/28/2025,FedEx Ground,F0595,BBRYNT
1277,427914846594,1/28/2025,FedEx Ground,F0595,SSTEPHANIE
1282,427914846609,1/28/2025,FedEx Ground,F0595,JJENNIFER
1288,427914846610,1/28/2025,FedEx Ground,F0595,AAAA
1292,427914846620,1/28/2025,FedEx Ground,F0595,NMUSSELMAN
1298,427914846642,1/28/2025,FedEx Ground,F0595,PPEN
1337,427914846712,1/28/2025,FedEx Ground,F0595,XHANAHAN
1352,427914846734,1/28/2025,FedEx Ground,F0595,FDIANE
1354,427914846756,1/28/2025,FedEx Ground,F0595,ABOWEN
1358,427914846767,1/28/2025,FedEx Ground,F0595,VDELOSSATOS
1379,427914846789,1/28/2025,FedEx Ground,F0595,BBEETON
1385,427914846815,1/28/2025,FedEx Ground,F0595,STREMBLE
1430,427914846860,1/28/2025,FedEx Ground,F0595,NETERNO
1515,427914846918,1/28/2025,FedEx Ground,F0595,DDEERK
1547,427914846984,1/28/2025,FedEx Ground,F0595,TWETHIGTON
1571,427914847010,1/28/2025,FedEx Ground,F0595,LSTENZEN
1618,427914847075,1/28/2025,FedEx Ground,F0595,TBARB
1662,427914847167,1/28/2025,FedEx Ground,F0595,LANDERSON
1694,427914847189,1/28/2025,FedEx Ground,F0595,EEMOGENE
1703,427914847215,1/28/2025,FedEx Ground,F0595,LLISA
1769,427914847260,1/28/2025,FedEx Ground,F0595,VSELVAGE
1850,427914847318,1/28/2025,FedEx Ground,F0595,TTINA
1890,427914847351,1/28/2025,FedEx Ground,F0595,SCALLIS
1981,427914847410,1/28/2025,FedEx Ground,F0595,TPROCTOR
2295,427914847568,1/28/2025,FedEx Ground,F0595,LKEISHA
2348,427914847590,1/28/2025,FedEx Ground,F0595,WMART
2367,427914847605,1/28/2025,FedEx Ground,F0595,ABRYCE
2496,427914847650,1/28/2025,FedEx Ground,F0595,TMILLER
2497,427914847660,1/28/2025,FedEx Ground,F0595,DDSD
2510,427914847682,1/28/2025,FedEx Ground,F0595,JJESS
2535,427914847719,1/28/2025,FedEx Ground,F0595,MCASSELLA
2562,427914847741,1/28/2025,FedEx Ground,F0595,JBECKNER
2662,427914847822,1/28/2025,FedEx Ground,F0595,PPAM
