Network,BU,DVP,Date,Start,End,Session,Room/Level
Grocery,Southeast,Mike Chatman,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain BU Meeting,South S320A-H/L3
Grocery,Southeast,Mike Chatman,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain Grocery Network ,South S310CD/L3
Grocery,Southeast,Mike Chatman,Mar. 10,5:30 p.m.,6:30 p.m.,Networking Reception (Invited Only),Hilton Hotel / Promenade lower level
Grocery,Southeast,Mike Chatman,Mar. 11 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Grocery,Southeast,Mike Chatman,Mar. 11,7:45 a.m.,9:45 a.m.,General Session,North Hall B/L1
Grocery,Southeast,Mike Chatman,Mar. 11,10:30 a.m.,11:30 a.m.,Divisional Meeting,South S331B/L3
Grocery,Southeast,Mike Chatman,Mar. 11,12:00 p.m.,12:45 p.m.,Lunch,North Hall A/L1
Grocery,Southeast,Mike Chatman,Mar. 11,12:45 p.m.,1:15 p.m.,Open,South Hall A/L1 
Grocery,Southeast,Mike Chatman,Mar. 11,2:45  p.m.,3:30 p.m.,Backroom,South Hall A/L1 
Grocery,Southeast,Mike Chatman,Mar. 11,4:15 p.m.,5:00 p.m.,MyWalmart,South Hall A/L1 
Grocery,Southeast,Mike Chatman,Mar. 12 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Grocery,Southeast,Mike Chatman,Mar. 12 ,9:45 a.m.,11:45 a.m.,Supply Chain Meeting,North N310/L3
Grocery,Southeast,Mike Chatman,Mar. 12 ,12:00 p.m.,12:45 a.m.,Lunch,North Hall A/L1
Grocery,Southeast,Mike Chatman,Mar. 12 ,1:00 p.m.,2:15 p.m.,Listening Session,North N310/L3
Grocery,Southeast,Mike Chatman,Mar. 12 ,3:00 p.m.,5:00 p.m.,Awards General Session,North Hall B/L1
Grocery,Southwest,Celia Gaye-Schnell,Mar. 10,10:45 a.m.,1:00 p.m.,Market Managers on merchandise floor,South Hall A/L1 
Grocery,Southwest,Celia Gaye-Schnell,Mar. 10,11:15a.m.,12:30 p.m.,E2E Officer Lunch Meeting (Invited only),South S331A-D/L3
Grocery,Southwest,Celia Gaye-Schnell,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain BU Meeting,South S320A-H/L3
Grocery,Southwest,Celia Gaye-Schnell,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain Grocery Network ,South S310CD/L3
Grocery,Southwest,Celia Gaye-Schnell,Mar. 10,5:30 p.m.,6:30 p.m.,Networking Reception (Invited Only),Hilton Hotel / Promenade lower level
Grocery,Southwest,Celia Gaye-Schnell,Mar. 11 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Grocery,Southwest,Celia Gaye-Schnell,Mar. 11,7:45 a.m.,9:45 a.m.,General Session,North Hall B/L1
Grocery,Southwest,Celia Gaye-Schnell,Mar. 11,10:30 a.m.,11:30 A.m.,Divisional Meeting,South S330EF/L3
Grocery,Southwest,Celia Gaye-Schnell,Mar. 11,11:45 a.m.,12:30 p.m.,MyWalmart,South Hall A/L1 
Grocery,Southwest,Celia Gaye-Schnell,Mar. 11,12:30 p.m.,1:15 p.m.,Backroom,South Hall A/L1 
Grocery,Southwest,Celia Gaye-Schnell,Mar. 11,1:15 p.m.,2:00 p.m.,Lunch,North Hall A/L1
Grocery,Southwest,Celia Gaye-Schnell,Mar. 11,2:15 p.m.,3:00 p.m.,Open,South Hall A/L1 
Grocery,Southwest,Celia Gaye-Schnell,Mar. 12 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Grocery,Southwest,Celia Gaye-Schnell,Mar. 12 ,8:00 a.m.,9:45 a.m.,Open,South Hall A/L1 
Grocery,Southwest,Celia Gaye-Schnell,Mar. 12 ,9:45 a.m.,11:45 a.m.,Supply Chain Meeting,North N310/L3
Grocery,Southwest,Celia Gaye-Schnell,Mar. 12 ,12:00 p.m.,12:45 a.m.,Lunch,North Hall A/L1
Grocery,Southwest,Celia Gaye-Schnell,Mar. 12 ,1:00 p.m.,2:15 p.m.,Listening Session,North N310/L3
Grocery,Southwest,Celia Gaye-Schnell,Mar. 12 ,3:00 p.m.,5:00 p.m.,Awards General Session,North Hall B/L1
Ambient,Southwest,Debbie Hodges,Mar. 10,10:45 a.m.,1:00 p.m.,Market Managers on merchandise floor,South Hall A/L1 
Ambient,Southwest,Debbie Hodges,Mar. 10,11:15a.m.,12:30 p.m.,E2E Officer Lunch Meeting (Invited only),South S331A-D/L3
Ambient,Southwest,Debbie Hodges,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain BU Meeting,South S320A-H/L3
Ambient,Southwest,Debbie Hodges,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain            Network ,South S310GH/L3
Ambient,Southwest,Debbie Hodges,Mar. 10,5:30 p.m.,6:30 p.m.,Networking Reception (Invited Only),Hilton Hotel / Promenade lower level
Ambient,Southwest,Debbie Hodges,Mar. 11 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Ambient,Southwest,Debbie Hodges,Mar. 11,7:45 a.m.,9:45 a.m.,General Session,North Hall B/L1
Ambient,Southwest,Debbie Hodges,Mar. 11,10:30 a.m.,11:30 A.m.,Open,South Hall A/L1 
Ambient,Southwest,Debbie Hodges,Mar. 11,11:45 a.m.,12:30 p.m.,MyWalmart,South Hall A/L1 
Ambient,Southwest,Debbie Hodges,Mar. 11,12:30 p.m.,1:15 p.m.,Backroom,South Hall A/L1 
Ambient,Southwest,Debbie Hodges,Mar. 11,1:15 p.m.,2:00 p.m.,Lunch,North Hall A/L1
Ambient,Southwest,Debbie Hodges,Mar. 11,2:15 p.m.,3:00 p.m.,Open,South Hall A/L1 
Ambient,Southwest,Debbie Hodges,Mar. 12 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Ambient,Southwest,Debbie Hodges,Mar. 12 ,8:00 a.m.,9:45 a.m.,Open,South Hall A/L1 
Ambient,Southwest,Debbie Hodges,Mar. 12 ,9:45 a.m.,11:45 a.m.,Supply Chain Meeting,North N310/L3
Ambient,Southwest,Debbie Hodges,Mar. 12 ,12:00 p.m.,12:45 a.m.,Lunch,North Hall A/L1
Ambient,Southwest,Debbie Hodges,Mar. 12 ,1:00 p.m.,2:15 p.m.,Listening Session,North N310/L3
Ambient,Southwest,Debbie Hodges,Mar. 12 ,3:00 p.m.,5:00 p.m.,Awards General Session,North Hall B/L1
Ambient,Southwest,Monica Navarro,Mar. 10,7:30 a.m.,10:30 a.m.,E2E Leadership Meeting,South S320A-H/L3
Ambient,Southwest,Monica Navarro,Mar. 10,10:45 a.m.,1:00 p.m.,Market Managers on merchandise floor,South Hall A/L1 
Ambient,Southwest,Monica Navarro,Mar. 10,11:15a.m.,12:30 p.m.,E2E Officer Lunch Meeting (Invited only),South S331A-D/L3
Ambient,Southwest,Monica Navarro,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain BU Meeting,South S320A-H/L3
Ambient,Southwest,Monica Navarro,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain Ambient Network ,South S310AB/L3
Ambient,Southwest,Monica Navarro,Mar. 10,5:30 p.m.,6:30 p.m.,Networking Reception (Invited Only),Hilton Hotel / Promenade lower level
Ambient,Southwest,Monica Navarro,Mar. 11 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Ambient,Southwest,Monica Navarro,Mar. 11,7:45 a.m.,9:45 a.m.,General Session,North Hall B/L1
Ambient,Southwest,Monica Navarro,Mar. 11,10:30 a.m.,11:30 A.m.,Open,South Hall A/L1 
Ambient,Southwest,Monica Navarro,Mar. 11,11:45 a.m.,12:30 p.m.,MyWalmart,South Hall A/L1 
Ambient,Southwest,Monica Navarro,Mar. 11,12:30 p.m.,1:15 p.m.,Backroom,South Hall A/L1 
Ambient,Southwest,Monica Navarro,Mar. 11,1:15 p.m.,2:00 p.m.,Lunch,North Hall A/L1
Ambient,Southwest,Monica Navarro,Mar. 11,2:15 p.m.,3:00 p.m.,Open,South Hall A/L1 
Ambient,Southwest,Monica Navarro,Mar. 12 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Ambient,Southwest,Monica Navarro,Mar. 12 ,8:00 a.m.,9:45 a.m.,Open,South Hall A/L1 
Ambient,Southwest,Monica Navarro,Mar. 12 ,9:45 a.m.,11:45 a.m.,Supply Chain Meeting,North N310/L3
Ambient,Southwest,Monica Navarro,Mar. 12 ,12:00 p.m.,12:45 a.m.,Lunch,North Hall A/L1
Ambient,Southwest,Monica Navarro,Mar. 12 ,1:00 p.m.,2:15 p.m.,Listening Session,North N310/L3
Ambient,Southwest,Monica Navarro,Mar. 12 ,3:00 p.m.,5:00 p.m.,Awards General Session,North Hall B/L1
Ambient,Southeast,Zak Pollard,Mar. 10,10:45 a.m.,1:00 p.m.,Market Managers on merchandise floor,South Hall A/L1 
Ambient,Southeast,Zak Pollard,Mar. 10,11:15a.m.,12:30 p.m.,E2E Officer Lunch Meeting (Invited only),South S331A-D/L3
Ambient,Southeast,Zak Pollard,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain BU Meeting,South S320A-H/L3
Ambient,Southeast,Zak Pollard,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain Ambient Network ,South S310AB/L3
Ambient,Southeast,Zak Pollard,Mar. 10,5:30 p.m.,6:30 p.m.,Networking Reception (Invited Only),Hilton Hotel / Promenade lower level
Ambient,Southeast,Zak Pollard,Mar. 11 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Ambient,Southeast,Zak Pollard,Mar. 11,7:45 a.m.,9:45 a.m.,General Session,North Hall B/L1
Ambient,Southeast,Zak Pollard,Mar. 11,10:30 a.m.,11:30 a.m.,Open,South Hall A/L1 
Ambient,Southeast,Zak Pollard,Mar. 11,12:00 p.m.,12:45 p.m.,Lunch,North Hall A/L1
Ambient,Southeast,Zak Pollard,Mar. 11,12:45 p.m.,1:15 p.m.,Open,South Hall A/L1 
Ambient,Southeast,Zak Pollard,Mar. 11,2:45  p.m.,3:30 p.m.,Backroom,South Hall A/L1 
Ambient,Southeast,Zak Pollard,Mar. 11,4:15 p.m.,5:00 p.m.,MyWalmart,South Hall A/L1 
Ambient,Southeast,Zak Pollard,Mar. 12 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Ambient,Southeast,Zak Pollard,Mar. 12 ,9:45 a.m.,11:45 a.m.,Supply Chain Meeting,North N310/L3
Ambient,Southeast,Zak Pollard,Mar. 12 ,12:00 p.m.,12:45 a.m.,Lunch,North Hall A/L1
Ambient,Southeast,Zak Pollard,Mar. 12 ,1:00 p.m.,2:15 p.m.,Listening Session,North N310/L3
Ambient,Southeast,Zak Pollard,Mar. 12 ,3:00 p.m.,5:00 p.m.,Awards General Session,North Hall B/L1
Grocery,East,Andy Walton,Mar. 10,10:45 a.m.,1:00 p.m.,Market Managers on merchandise floor,South Hall A/L1 
Grocery,East,Andy Walton,Mar. 10,11:15a.m.,12:30 p.m.,E2E Officer Lunch Meeting (Invited only),South S331A-D/L3
Grocery,East,Andy Walton,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain BU Meeting,South S320A-H/L3
Grocery,East,Andy Walton,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain Grocery Network ,South S310CD/L3
Grocery,East,Andy Walton,Mar. 10,5:30 p.m.,6:30 p.m.,Networking Reception (Invited Only),Hilton Hotel / Promenade lower level
Grocery,East,Andy Walton,Mar. 11 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Grocery,East,Andy Walton,Mar. 11,7:45 a.m.,9:45 a.m.,General Session,North Hall B/L1
Grocery,East,Andy Walton,Mar. 11,10:30 a.m.,11:30 a.m.,Divisional Meeting ,South S330GH/L3
Grocery,East,Andy Walton,Mar. 11,11:45 a.m.,12:30 p.m.,Lunch,North Hall A/L1
Grocery,East,Andy Walton,Mar. 11,12:30 p.m.,1:15 p.m.,Backroom,South Hall A/L1 
Grocery,East,Andy Walton,Mar. 11,1:15 p.m.,4:00 p.m.,Open,North Hall A/L1
Grocery,East,Andy Walton,Mar. 11,4:15 p.m.,5:00 p.m.,MyWalmart,South Hall A/L1 
Grocery,East,Andy Walton,Mar. 12 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Grocery,East,Andy Walton,Mar. 12 ,9:45 a.m.,11:45 a.m.,Supply Chain Meeting,North N310/L3
Grocery,East,Andy Walton,Mar. 12 ,12:00 p.m.,12:45 a.m.,Lunch,North Hall A/L1
Grocery,East,Andy Walton,Mar. 12 ,1:00 p.m.,2:15 p.m.,Listening Session,North N310/L3
Grocery,East,Andy Walton,Mar. 12 ,3:00 p.m.,5:00 p.m.,Awards General Session,North Hall B/L1
Grocery,North,Chad Ducote,Mar. 10,7:30 a.m.,10:30 a.m.,E2E Leadership Meeting,South S320A-H/L3
Grocery,North,Chad Ducote,Mar. 10,10:45 a.m.,1:00 p.m.,Market Managers on merchandise floor,South Hall A/L1 
Grocery,North,Chad Ducote,Mar. 10,11:15a.m.,12:30 p.m.,E2E Officer Lunch Meeting (Invited only),South S331A-D/L3
Grocery,North,Chad Ducote,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain BU Meeting,South S320A-H/L3
Grocery,North,Chad Ducote,Mar. 10,1:30 p.m.,4:30 p.m.,Supply Chain Grocery Network ,South S310CD/L3
Grocery,North,Chad Ducote,Mar. 10,5:30 p.m.,6:30 p.m.,Networking Reception (Invited Only),Hilton Hotel / Promenade lower level
Grocery,North,Chad Ducote,Mar. 11 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Grocery,North,Chad Ducote,Mar. 11,7:45 a.m.,9:45 a.m.,General Session,North Hall B/L1
Grocery,North,Chad Ducote,Mar. 11,10:30 a.m.,11:30 a.m.,Open,South Hall A/L1 
Grocery,North,Chad Ducote,Mar. 11,12:30 p.m.,1:15 p.m.,Lunch,North Hall A/L1
Grocery,North,Chad Ducote,Mar. 11,12:45 p.m.,1:15 p.m.,Open,South Hall A/L1 
Grocery,North,Chad Ducote,Mar. 11,4:15 p.m.,5:00 p.m.,Backroom,South Hall A/L1 
Grocery,North,Chad Ducote,Mar. 12 ,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,South Hall A/L1 
Grocery,North,Chad Ducote,Mar. 12 ,8:00 a.m.,8:45 a.m.,MyWalmart,South Hall A/L1 
Grocery,North,Chad Ducote,Mar. 12 ,9:45 a.m.,11:45 a.m.,Supply Chain Meeting,North N310/L3
Grocery,North,Chad Ducote,Mar. 12 ,12:00 p.m.,12:45 a.m.,Lunch,North Hall A/L1
Grocery,North,Chad Ducote,Mar. 12 ,1:00 p.m.,2:15 p.m.,Listening Session,North N310/L3
Grocery,North,Chad Ducote,Mar. 12 ,3:00 p.m.,5:00 p.m.,Awards General Session,North Hall B/L1
