Store,Market,Region,BU,Final Tier,Details
1181,23,2,SOUTHEAST BU,Tier 2 - GM Pause,
1182,94,3,SOUTHEAST BU,Tier 2 - GM Pause,
1183,41,4,EAST BU,Tier 3 - Total Store ISA Pause,
1184,20,2,SOUTHEAST BU,Tier 2 - GM Pause,
1185,83,5,SOUTWEST BU,Tier 2 - GM Pause,
1186,60,6,SOUTWEST BU,Tier 2 - GM Pause,
1187,410,44,SOUTWEST BU,Tier 2 - GM Pause,
1188,339,40,NORTH BU,Tier 2 - GM Pause,
1189,258,41,NORTH BU,Tier 2 - GM Pause,
1190,257,41,NORTH BU,Tier 2 - GM Pause,
1191,296,26,EAST BU,Tier 2 - GM Pause,
1192,141,13,SOUTWEST BU,Tier 2 - GM Pause,
1193,135,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1194,122,2,SOUTHEAST BU,Tier 2 - GM Pause,
1195,143,13,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1196,131,13,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1197,301,26,EAST BU,Tier 3 - Total Store ISA Pause,
1198,506,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1199,388,54,WEST BU,Tier 2 - GM Pause,
1200,391,47,WEST BU,Tier 2 - GM Pause,
1201,3,14,SOUTHEAST BU,Tier 2 - GM Pause,
1202,438,53,NORTH BU,Tier 2 - GM Pause,
1203,116,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1204,66,13,SOUTWEST BU,Tier 2 - GM Pause,
1205,101,3,SOUTHEAST BU,Tier 2 - GM Pause,Requested Per MM
1206,130,13,SOUTWEST BU,Tier 2 - GM Pause,
1207,15,14,SOUTHEAST BU,Tier 2 - GM Pause,
1209,305,4,EAST BU,Tier 2 - GM Pause,
1210,260,41,NORTH BU,Tier 2 - GM Pause,
1211,270,25,NORTH BU,Tier 1 - ISA On in Total Store,
1212,1,14,SOUTHEAST BU,Tier 2 - GM Pause,
1213,104,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1214,406,47,WEST BU,Tier 2 - GM Pause,
1215,120,2,SOUTHEAST BU,Tier 2 - GM Pause,
1216,53,5,SOUTWEST BU,Tier 2 - GM Pause,
1217,294,2,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1218,366,46,SOUTWEST BU,Tier 2 - GM Pause,
1219,101,3,SOUTHEAST BU,Tier 2 - GM Pause,
1220,90,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1221,409,44,SOUTWEST BU,Tier 2 - GM Pause,
1222,14,14,SOUTHEAST BU,Tier 2 - GM Pause,
1223,97,3,SOUTHEAST BU,Tier 2 - GM Pause,Requested per MM
1224,14,14,SOUTHEAST BU,Tier 2 - GM Pause,
1225,101,3,SOUTHEAST BU,Tier 2 - GM Pause,
1226,149,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1227,30,3,SOUTHEAST BU,Tier 2 - GM Pause,
1228,269,25,NORTH BU,Tier 2 - GM Pause,
1229,13,14,SOUTHEAST BU,Tier 2 - GM Pause,
1230,364,46,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1231,379,47,WEST BU,Tier 1 - ISA On in Total Store,
1232,81,5,SOUTWEST BU,Tier 2 - GM Pause,
1233,258,41,NORTH BU,Tier 2 - GM Pause,
1234,257,41,NORTH BU,Tier 2 - GM Pause,
1235,86,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1236,302,26,EAST BU,Tier 2 - GM Pause,
1237,299,26,EAST BU,Tier 2 - GM Pause,
1238,310,26,EAST BU,Tier 2 - GM Pause,
1239,217,21,NORTH BU,Tier 2 - GM Pause,
1240,367,46,SOUTWEST BU,Tier 2 - GM Pause,
1241,418,52,WEST BU,Tier 2 - GM Pause,
1242,294,2,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1243,312,75,EAST BU,Tier 2 - GM Pause,
1244,35,2,SOUTHEAST BU,Tier 2 - GM Pause,
1245,114,9,SOUTHEAST BU,Tier 2 - GM Pause,
1247,258,41,NORTH BU,Tier 2 - GM Pause,
1248,144,12,SOUTHEAST BU,Tier 2 - GM Pause,
1249,74,5,SOUTWEST BU,Tier 2 - GM Pause,
1252,380,47,WEST BU,Tier 2 - GM Pause,
1253,82,5,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1254,76,5,SOUTWEST BU,Tier 2 - GM Pause,
1255,309,26,EAST BU,Tier 2 - GM Pause,
1256,266,25,NORTH BU,Tier 2 - GM Pause,
1257,74,5,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1259,258,41,NORTH BU,Tier 2 - GM Pause,
1260,143,13,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1261,310,26,EAST BU,Tier 2 - GM Pause,
1263,254,41,NORTH BU,Tier 2 - GM Pause,
1264,222,21,NORTH BU,Tier 1 - ISA On in Total Store,
1265,340,40,NORTH BU,Tier 2 - GM Pause,
1266,130,13,SOUTWEST BU,Tier 2 - GM Pause,
1267,441,53,NORTH BU,Tier 1 - ISA On in Total Store,
1268,300,26,EAST BU,Tier 2 - GM Pause,
1270,39,2,SOUTHEAST BU,Tier 2 - GM Pause,
1271,138,14,SOUTHEAST BU,Tier 2 - GM Pause,
1272,74,5,SOUTWEST BU,Tier 2 - GM Pause,
1273,389,47,WEST BU,Tier 2 - GM Pause,
1274,441,53,NORTH BU,Tier 2 - GM Pause,
1275,482,25,NORTH BU,Tier 1 - ISA On in Total Store,
1276,444,53,NORTH BU,Tier 2 - GM Pause,
1277,438,53,NORTH BU,Tier 2 - GM Pause,
1279,59,6,SOUTWEST BU,Tier 2 - GM Pause,
1280,388,54,WEST BU,Tier 1 - ISA On in Total Store,
1281,42,4,EAST BU,Tier 2 - GM Pause,
1282,407,47,WEST BU,Tier 1 - ISA On in Total Store,
1283,93,3,SOUTHEAST BU,Tier 2 - GM Pause,
1284,16,3,SOUTHEAST BU,Tier 2 - GM Pause,
1285,418,52,WEST BU,Tier 2 - GM Pause,
1286,41,4,EAST BU,Tier 2 - GM Pause,
1287,296,26,EAST BU,Tier 1 - ISA On in Total Store,
1288,296,26,EAST BU,Tier 2 - GM Pause,
1289,221,21,NORTH BU,Tier 2 - GM Pause,
1290,304,4,EAST BU,Tier 2 - GM Pause,
1291,367,46,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1292,312,75,EAST BU,Tier 2 - GM Pause,
1293,30,3,SOUTHEAST BU,Tier 2 - GM Pause,
1294,247,21,NORTH BU,Tier 2 - GM Pause,
1295,350,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1296,569,6,SOUTWEST BU,Tier 2 - GM Pause,
1297,93,3,SOUTHEAST BU,Tier 2 - GM Pause,
1298,302,26,EAST BU,Tier 2 - GM Pause,
1299,364,46,SOUTWEST BU,Tier 2 - GM Pause,
1300,302,26,EAST BU,Tier 1 - ISA On in Total Store,
1301,312,75,EAST BU,Tier 2 - GM Pause,
1302,311,20,NORTH BU,Tier 3 - Total Store ISA Pause,
1303,81,5,SOUTWEST BU,Tier 2 - GM Pause,
1304,247,21,NORTH BU,Tier 2 - GM Pause,
1305,441,53,NORTH BU,Tier 2 - GM Pause,
1306,387,46,SOUTWEST BU,Tier 2 - GM Pause,
1307,262,25,NORTH BU,Tier 2 - GM Pause,
1308,380,47,WEST BU,Tier 1 - ISA On in Total Store,
1309,312,75,EAST BU,Tier 2 - GM Pause,
1310,251,25,NORTH BU,Tier 1 - ISA On in Total Store,
1311,16,3,SOUTHEAST BU,Tier 2 - GM Pause,
1312,310,26,EAST BU,Tier 2 - GM Pause,
1313,77,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1314,24,2,SOUTHEAST BU,Tier 2 - GM Pause,
1315,381,54,WEST BU,Tier 1 - ISA On in Total Store,
1316,439,53,NORTH BU,Tier 3 - Total Store ISA Pause,
1317,294,2,SOUTHEAST BU,Tier 2 - GM Pause,
1318,122,2,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
1319,122,2,SOUTHEAST BU,Tier 2 - GM Pause,
1320,122,2,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
1321,299,26,EAST BU,Tier 2 - GM Pause,
1322,308,26,EAST BU,Tier 1 - ISA On in Total Store,
1323,278,25,NORTH BU,Tier 1 - ISA On in Total Store,
1324,366,46,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1325,366,46,SOUTWEST BU,Tier 2 - GM Pause,
1326,429,47,WEST BU,Tier 2 - GM Pause,
1327,243,25,NORTH BU,Tier 2 - GM Pause,
1328,364,46,SOUTWEST BU,Tier 2 - GM Pause,
1329,247,21,NORTH BU,Tier 2 - GM Pause,
1330,222,21,NORTH BU,Tier 2 - GM Pause,
1331,223,21,NORTH BU,Tier 2 - GM Pause,
1332,426,52,WEST BU,Tier 1 - ISA On in Total Store,
1333,222,21,NORTH BU,Tier 1 - ISA On in Total Store,
1334,372,46,SOUTWEST BU,Tier 2 - GM Pause,
1335,315,75,EAST BU,Tier 1 - ISA On in Total Store,
1336,311,20,NORTH BU,Tier 2 - GM Pause,
1337,304,4,EAST BU,Tier 2 - GM Pause,
1338,16,3,SOUTHEAST BU,Tier 2 - GM Pause,
1339,41,4,EAST BU,Tier 1 - ISA On in Total Store,
1340,20,2,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
1341,254,41,NORTH BU,Tier 2 - GM Pause,
1342,128,13,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1344,315,75,EAST BU,Tier 2 - GM Pause,
1345,314,75,EAST BU,Tier 2 - GM Pause,
1346,143,13,SOUTWEST BU,Tier 2 - GM Pause,
1347,87,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1348,300,26,EAST BU,Tier 2 - GM Pause,
1349,109,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1350,315,75,EAST BU,Tier 1 - ISA On in Total Store,
1351,317,20,NORTH BU,Tier 2 - GM Pause,
1352,300,26,EAST BU,Tier 1 - ISA On in Total Store,
1353,128,13,SOUTWEST BU,Tier 2 - GM Pause,MM request
1354,301,26,EAST BU,Tier 2 - GM Pause,
1355,302,26,EAST BU,Tier 2 - GM Pause,
1356,251,25,NORTH BU,Tier 2 - GM Pause,
1357,387,46,SOUTWEST BU,Tier 2 - GM Pause,
1358,36,4,EAST BU,Tier 2 - GM Pause,
1359,36,4,EAST BU,Tier 2 - GM Pause,
1360,317,20,NORTH BU,Tier 2 - GM Pause,
1361,426,52,WEST BU,Tier 1 - ISA On in Total Store,
1362,15,14,SOUTHEAST BU,Tier 2 - GM Pause,
1363,21,2,SOUTHEAST BU,Tier 2 - GM Pause,
1364,365,57,WEST BU,Tier 1 - ISA On in Total Store,
1365,436,53,NORTH BU,Tier 2 - GM Pause,
1366,440,53,NORTH BU,Tier 2 - GM Pause,
1367,32,3,SOUTHEAST BU,Tier 2 - GM Pause,
1368,218,21,NORTH BU,Tier 1 - ISA On in Total Store,
1369,364,46,SOUTWEST BU,Tier 2 - GM Pause,
1370,365,57,WEST BU,Tier 1 - ISA On in Total Store,
1371,580,25,NORTH BU,Tier 1 - ISA On in Total Store,
1372,299,26,EAST BU,Tier 2 - GM Pause,
1373,24,2,SOUTHEAST BU,Tier 2 - GM Pause,
1374,91,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1375,97,3,SOUTHEAST BU,Tier 2 - GM Pause,Requested per MM
1376,152,41,NORTH BU,Tier 2 - GM Pause,
1377,270,25,NORTH BU,Tier 1 - ISA On in Total Store,
1378,247,21,NORTH BU,Tier 2 - GM Pause,
1379,301,26,EAST BU,Tier 3 - Total Store ISA Pause,
1380,375,46,SOUTWEST BU,Tier 2 - GM Pause,
1381,372,46,SOUTWEST BU,Tier 2 - GM Pause,
1382,39,2,SOUTHEAST BU,Tier 2 - GM Pause,
1383,29,4,EAST BU,Tier 2 - GM Pause,
1384,389,47,WEST BU,Tier 2 - GM Pause,
1385,305,4,EAST BU,Tier 2 - GM Pause,
1386,262,25,NORTH BU,Tier 2 - GM Pause,
1387,108,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1388,248,21,NORTH BU,Tier 2 - GM Pause,
1389,414,52,WEST BU,Tier 1 - ISA On in Total Store,
1390,111,9,SOUTHEAST BU,Tier 2 - GM Pause,
1391,94,3,SOUTHEAST BU,Tier 2 - GM Pause,Per MM
1392,300,26,EAST BU,Tier 2 - GM Pause,
1393,413,52,WEST BU,Tier 1 - ISA On in Total Store,
1394,435,53,NORTH BU,Tier 2 - GM Pause,
1395,272,25,NORTH BU,Tier 1 - ISA On in Total Store,
1396,441,53,NORTH BU,Tier 3 - Total Store ISA Pause,
1397,384,46,SOUTWEST BU,Tier 2 - GM Pause,
1398,108,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1399,315,75,EAST BU,Tier 1 - ISA On in Total Store,
1400,21,2,SOUTHEAST BU,Tier 2 - GM Pause,
1401,265,25,NORTH BU,Tier 2 - GM Pause,
1403,18,2,SOUTHEAST BU,Tier 2 - GM Pause,
1404,269,25,NORTH BU,Tier 1 - ISA On in Total Store,
1405,61,6,SOUTWEST BU,Tier 2 - GM Pause,
1406,286,75,EAST BU,Tier 1 - ISA On in Total Store,
1407,221,21,NORTH BU,Tier 2 - GM Pause,
1408,97,3,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
1409,65,6,SOUTWEST BU,Tier 2 - GM Pause,
1410,223,21,NORTH BU,Tier 2 - GM Pause,
1411,366,46,SOUTWEST BU,Tier 2 - GM Pause,
1412,381,54,WEST BU,Tier 2 - GM Pause,
1413,270,25,NORTH BU,Tier 2 - GM Pause,
1414,384,46,SOUTWEST BU,Tier 2 - GM Pause,
1415,421,52,WEST BU,Tier 1 - ISA On in Total Store,
1416,207,19,NORTH BU,Tier 1 - ISA On in Total Store,
1417,364,46,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1418,341,25,NORTH BU,Tier 2 - GM Pause,
1419,248,21,NORTH BU,Tier 2 - GM Pause,
1420,264,25,NORTH BU,Tier 1 - ISA On in Total Store,
1421,278,25,NORTH BU,Tier 3 - Total Store ISA Pause,
1422,204,19,NORTH BU,Tier 2 - GM Pause,
1423,203,19,NORTH BU,Tier 2 - GM Pause,
1424,290,75,EAST BU,Tier 2 - GM Pause,
1425,248,21,NORTH BU,Tier 2 - GM Pause,
1426,259,41,NORTH BU,Tier 3 - Total Store ISA Pause,
1427,218,21,NORTH BU,Tier 2 - GM Pause,
1428,204,19,NORTH BU,Tier 2 - GM Pause,
1429,213,19,NORTH BU,Tier 2 - GM Pause,
1430,439,53,NORTH BU,Tier 2 - GM Pause,
1431,418,52,WEST BU,Tier 1 - ISA On in Total Store,
1432,204,19,NORTH BU,Tier 2 - GM Pause,
1433,222,21,NORTH BU,Tier 1 - ISA On in Total Store,
1434,391,47,WEST BU,Tier 2 - GM Pause,
1435,413,52,WEST BU,Tier 1 - ISA On in Total Store,
1436,107,9,SOUTHEAST BU,Tier 2 - GM Pause,
1437,406,47,WEST BU,Tier 2 - GM Pause,
1438,405,46,SOUTWEST BU,Tier 2 - GM Pause,
1439,405,46,SOUTWEST BU,Tier 2 - GM Pause,
1440,403,54,WEST BU,Tier 1 - ISA On in Total Store,
1441,221,21,NORTH BU,Tier 2 - GM Pause,
1442,405,46,SOUTWEST BU,Tier 2 - GM Pause,
1443,225,21,NORTH BU,Tier 1 - ISA On in Total Store,
1444,98,3,SOUTHEAST BU,Tier 2 - GM Pause,
1445,213,19,NORTH BU,Tier 2 - GM Pause,
1446,436,53,NORTH BU,Tier 2 - GM Pause,
1447,419,52,WEST BU,Tier 1 - ISA On in Total Store,
1448,213,19,NORTH BU,Tier 3 - Total Store ISA Pause,
1449,439,53,NORTH BU,Tier 2 - GM Pause,
1450,316,20,NORTH BU,Tier 2 - GM Pause,
1451,275,25,NORTH BU,Tier 2 - GM Pause,
1452,309,26,EAST BU,Tier 2 - GM Pause,
1453,440,53,NORTH BU,Tier 1 - ISA On in Total Store,
1454,275,25,NORTH BU,Tier 2 - GM Pause,
1455,44,5,SOUTWEST BU,Tier 1 - ISA On in Total Store,
1456,381,54,WEST BU,Tier 1 - ISA On in Total Store,
1457,381,54,WEST BU,Tier 1 - ISA On in Total Store,
1458,120,2,SOUTHEAST BU,Tier 2 - GM Pause,
1459,249,25,NORTH BU,Tier 2 - GM Pause,
1460,429,47,WEST BU,Tier 2 - GM Pause,
1461,381,54,WEST BU,Tier 1 - ISA On in Total Store,
1462,7,14,SOUTHEAST BU,Tier 2 - GM Pause,
1463,221,21,NORTH BU,Tier 1 - ISA On in Total Store,
1464,305,4,EAST BU,Tier 2 - GM Pause,
1465,314,75,EAST BU,Tier 2 - GM Pause,
1466,121,2,SOUTHEAST BU,Tier 2 - GM Pause,
1467,121,2,SOUTHEAST BU,Tier 2 - GM Pause,
1468,136,12,SOUTHEAST BU,Tier 2 - GM Pause,
1469,120,2,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
1470,421,52,WEST BU,Tier 1 - ISA On in Total Store,
1471,439,53,NORTH BU,Tier 1 - ISA On in Total Store,
1472,423,52,WEST BU,Tier 1 - ISA On in Total Store,
1473,421,52,WEST BU,Tier 3 - Total Store ISA Pause,Will re-evaluate weekly and progressively move forward
1474,365,57,WEST BU,Tier 1 - ISA On in Total Store,
1475,418,52,WEST BU,Tier 1 - ISA On in Total Store,
1476,243,25,NORTH BU,Tier 1 - ISA On in Total Store,
1477,317,20,NORTH BU,Tier 2 - GM Pause,
1478,259,41,NORTH BU,Tier 3 - Total Store ISA Pause,
1479,238,19,NORTH BU,Tier 1 - ISA On in Total Store,
1480,239,21,NORTH BU,Tier 2 - GM Pause,
1481,13,14,SOUTHEAST BU,Tier 2 - GM Pause,
1482,112,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1483,430,54,WEST BU,Tier 1 - ISA On in Total Store,
1485,382,54,WEST BU,Tier 2 - GM Pause,
1486,314,75,EAST BU,Tier 2 - GM Pause,
1487,238,19,NORTH BU,Tier 2 - GM Pause,
1488,22,2,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
1489,269,25,NORTH BU,Tier 1 - ISA On in Total Store,
1490,263,53,NORTH BU,Tier 2 - GM Pause,
1491,413,52,WEST BU,Tier 1 - ISA On in Total Store,
1492,376,47,WEST BU,Tier 2 - GM Pause,
1493,14,14,SOUTHEAST BU,Tier 2 - GM Pause,
1494,78,6,SOUTWEST BU,Tier 2 - GM Pause,
1495,223,21,NORTH BU,Tier 2 - GM Pause,
1496,415,52,WEST BU,Tier 1 - ISA On in Total Store,
1497,266,25,NORTH BU,Tier 3 - Total Store ISA Pause,
1498,298,26,EAST BU,Tier 2 - GM Pause,
1499,317,20,NORTH BU,Tier 2 - GM Pause,
1500,430,54,WEST BU,Tier 1 - ISA On in Total Store,
1501,112,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1502,301,26,EAST BU,Tier 3 - Total Store ISA Pause,
1503,221,21,NORTH BU,Tier 1 - ISA On in Total Store,
1504,221,21,NORTH BU,Tier 1 - ISA On in Total Store,
1505,258,41,NORTH BU,Tier 2 - GM Pause,
1506,415,52,WEST BU,Tier 1 - ISA On in Total Store,
1507,409,44,SOUTWEST BU,Tier 2 - GM Pause,
1508,382,54,WEST BU,Tier 1 - ISA On in Total Store,
1509,415,52,WEST BU,Tier 1 - ISA On in Total Store,
1510,225,21,NORTH BU,Tier 2 - GM Pause,
1511,553,9,SOUTHEAST BU,Tier 2 - GM Pause,
1512,371,46,SOUTWEST BU,Tier 2 - GM Pause,
1513,111,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1514,340,40,NORTH BU,Tier 1 - ISA On in Total Store,
1515,442,53,NORTH BU,Tier 3 - Total Store ISA Pause,
1516,70,46,SOUTWEST BU,Tier 2 - GM Pause,
1517,108,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1518,482,25,NORTH BU,Tier 2 - GM Pause,
1519,218,21,NORTH BU,Tier 1 - ISA On in Total Store,
1520,430,54,WEST BU,Tier 1 - ISA On in Total Store,
1521,225,21,NORTH BU,Tier 3 - Total Store ISA Pause,
1522,320,75,EAST BU,Tier 2 - GM Pause,
1523,287,75,EAST BU,Tier 2 - GM Pause,
1524,290,75,EAST BU,Tier 2 - GM Pause,
1525,287,75,EAST BU,Tier 2 - GM Pause,
1526,426,52,WEST BU,Tier 1 - ISA On in Total Store,
1527,301,26,EAST BU,Tier 2 - GM Pause,
1528,415,52,WEST BU,Tier 1 - ISA On in Total Store,
1529,233,22,EAST BU,Tier 2 - GM Pause,
1530,136,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1531,270,25,NORTH BU,Tier 2 - GM Pause,
1532,369,46,SOUTWEST BU,Tier 2 - GM Pause,
1533,369,46,SOUTWEST BU,Tier 2 - GM Pause,
1534,427,54,WEST BU,Tier 1 - ISA On in Total Store,
1535,430,54,WEST BU,Tier 1 - ISA On in Total Store,
1536,111,9,SOUTHEAST BU,Tier 2 - GM Pause,
1537,234,22,EAST BU,Tier 2 - GM Pause,
1538,430,54,WEST BU,Tier 1 - ISA On in Total Store,
1539,213,19,NORTH BU,Tier 3 - Total Store ISA Pause,
1540,201,19,NORTH BU,Tier 1 - ISA On in Total Store,
1541,107,9,SOUTHEAST BU,Tier 2 - GM Pause,
1542,196,53,NORTH BU,Tier 2 - GM Pause,
1543,430,54,WEST BU,Tier 1 - ISA On in Total Store,
1544,320,75,EAST BU,Tier 2 - GM Pause,
1545,412,52,WEST BU,Tier 3 - Total Store ISA Pause,Re-evaluate each week and progressively move forward
1546,426,52,WEST BU,Tier 1 - ISA On in Total Store,
1547,246,21,NORTH BU,Tier 2 - GM Pause,
1548,262,25,NORTH BU,Tier 2 - GM Pause,
1549,368,46,SOUTWEST BU,Tier 2 - GM Pause,
1550,388,54,WEST BU,Tier 1 - ISA On in Total Store,
1551,435,53,NORTH BU,Tier 3 - Total Store ISA Pause,
1552,308,26,EAST BU,Tier 1 - ISA On in Total Store,
1553,264,25,NORTH BU,Tier 2 - GM Pause,
1554,452,56,WEST BU,Tier 1 - ISA On in Total Store,
1555,463,57,WEST BU,Tier 1 - ISA On in Total Store,
1556,266,25,NORTH BU,Tier 3 - Total Store ISA Pause,
1557,482,25,NORTH BU,Tier 2 - GM Pause,
1558,298,26,EAST BU,Tier 2 - GM Pause,
1559,394,57,WEST BU,Tier 1 - ISA On in Total Store,
1560,396,57,WEST BU,Tier 1 - ISA On in Total Store,
1561,145,12,SOUTHEAST BU,Tier 2 - GM Pause,
1562,424,52,WEST BU,Tier 2 - GM Pause,
1563,448,57,WEST BU,Tier 1 - ISA On in Total Store,
1564,218,21,NORTH BU,Tier 2 - GM Pause,
1565,427,54,WEST BU,Tier 2 - GM Pause,
1566,247,21,NORTH BU,Tier 2 - GM Pause,
1567,427,54,WEST BU,Tier 1 - ISA On in Total Store,
1568,229,20,NORTH BU,Tier 2 - GM Pause,
1569,259,41,NORTH BU,Tier 1 - ISA On in Total Store,
1570,248,21,NORTH BU,Tier 2 - GM Pause,
1571,442,53,NORTH BU,Tier 2 - GM Pause,
1572,582,54,WEST BU,Tier 2 - GM Pause,
1573,405,46,SOUTWEST BU,Tier 2 - GM Pause,
1574,447,57,WEST BU,Tier 1 - ISA On in Total Store,
1575,457,56,WEST BU,Tier 2 - GM Pause,
1576,238,19,NORTH BU,Tier 2 - GM Pause,
1577,424,52,WEST BU,Tier 1 - ISA On in Total Store,
1578,23,2,SOUTHEAST BU,Tier 2 - GM Pause,
1579,296,26,EAST BU,Tier 1 - ISA On in Total Store,
1580,249,25,NORTH BU,Tier 2 - GM Pause,
1581,427,54,WEST BU,Tier 2 - GM Pause,
1583,449,57,WEST BU,Tier 1 - ISA On in Total Store,
1584,396,57,WEST BU,Tier 2 - GM Pause,
1585,429,47,WEST BU,Tier 2 - GM Pause,
1586,26,2,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
1587,450,56,WEST BU,Tier 1 - ISA On in Total Store,
1588,445,57,WEST BU,Tier 2 - GM Pause,
1589,108,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1590,553,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1591,234,22,EAST BU,Tier 2 - GM Pause,
1592,205,19,NORTH BU,Tier 1 - ISA On in Total Store,
1593,202,19,NORTH BU,Tier 2 - GM Pause,
1594,219,21,NORTH BU,Tier 1 - ISA On in Total Store,
1595,217,21,NORTH BU,Tier 2 - GM Pause,
1596,265,25,NORTH BU,Tier 1 - ISA On in Total Store,
1597,356,44,SOUTWEST BU,Tier 2 - GM Pause,
1598,370,46,SOUTWEST BU,Tier 2 - GM Pause,
1599,362,40,NORTH BU,Tier 2 - GM Pause,
1600,447,57,WEST BU,Tier 1 - ISA On in Total Store,
1601,482,25,NORTH BU,Tier 1 - ISA On in Total Store,
1602,275,25,NORTH BU,Tier 1 - ISA On in Total Store,
1603,42,4,EAST BU,Tier 2 - GM Pause,
1604,430,54,WEST BU,Tier 1 - ISA On in Total Store,
1605,14,14,SOUTHEAST BU,Tier 2 - GM Pause,
1606,119,2,SOUTHEAST BU,Tier 2 - GM Pause,
1607,237,22,EAST BU,Tier 2 - GM Pause,
1608,457,56,WEST BU,Tier 2 - GM Pause,
1609,419,52,WEST BU,Tier 2 - GM Pause,
1610,192,17,EAST BU,Tier 2 - GM Pause,
1611,205,19,NORTH BU,Tier 1 - ISA On in Total Store,
1612,366,46,SOUTWEST BU,Tier 2 - GM Pause,
1613,308,26,EAST BU,Tier 2 - GM Pause,
1614,297,26,EAST BU,Tier 3 - Total Store ISA Pause,
1615,452,56,WEST BU,Tier 1 - ISA On in Total Store,
1616,457,56,WEST BU,Tier 2 - GM Pause,
1617,381,54,WEST BU,Tier 1 - ISA On in Total Store,
1618,238,19,NORTH BU,Tier 2 - GM Pause,
1619,192,17,EAST BU,Tier 2 - GM Pause,
1620,14,14,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
1621,418,52,WEST BU,Tier 1 - ISA On in Total Store,
1622,213,19,NORTH BU,Tier 2 - GM Pause,
1623,226,17,EAST BU,Tier 2 - GM Pause,
1624,447,57,WEST BU,Tier 2 - GM Pause,
1625,426,52,WEST BU,Tier 1 - ISA On in Total Store,
1626,352,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,Per RVP direction
1627,427,54,WEST BU,Tier 1 - ISA On in Total Store,
1628,213,19,NORTH BU,Tier 3 - Total Store ISA Pause,In 21 days ISA has adjusted $56 down and they are now seeing bigger trucks
1629,251,25,NORTH BU,Tier 1 - ISA On in Total Store,
1630,457,56,WEST BU,Tier 2 - GM Pause,
1631,288,75,EAST BU,Tier 1 - ISA On in Total Store,
1632,412,52,WEST BU,Tier 3 - Total Store ISA Pause,Re-evaluate each week and progressively move forward
1633,424,52,WEST BU,Tier 2 - GM Pause,
1634,419,52,WEST BU,Tier 2 - GM Pause,
1635,442,53,NORTH BU,Tier 2 - GM Pause,
1636,427,54,WEST BU,Tier 1 - ISA On in Total Store,
1637,432,47,WEST BU,Tier 1 - ISA On in Total Store,
1638,7,14,SOUTHEAST BU,Tier 2 - GM Pause,
1639,247,21,NORTH BU,Tier 2 - GM Pause,
1640,237,22,EAST BU,Tier 2 - GM Pause,
1641,301,26,EAST BU,Tier 1 - ISA On in Total Store,
1642,202,19,NORTH BU,Tier 2 - GM Pause,
1643,439,53,NORTH BU,Tier 2 - GM Pause,
1644,232,22,EAST BU,Tier 1 - ISA On in Total Store,
1645,581,57,WEST BU,Tier 1 - ISA On in Total Store,
1646,372,46,SOUTWEST BU,Tier 2 - GM Pause,
1647,248,21,NORTH BU,Tier 2 - GM Pause,
1648,392,56,WEST BU,Tier 2 - GM Pause,
