Store Number,Event 1 Total Pallets,Event 2 Total Pallets
898,48,117
938,49,117
1006,57,117
1112,54,117
1171,44,117
1236,52,117
1244,52,117
1288,46,117
1329,51,117
1609,52,117
1655,53,117
1680,68,117
1749,56,117
1787,49,117
1863,59,117
1893,53,117
1936,47,117
1966,47,117
1968,47,117
1969,54,117
2010,52,117
2022,45,117
2095,48,117
2109,46,117
2134,58,117
2205,52,117
2336,53,117
2537,55,117
2583,55,117
2642,56,117
2644,46,117
2911,47,117
3285,54,117
3404,52,117
3484,48,117
3529,55,117
3609,47,117
3837,53,117
4111,61,117
4168,53,117
4581,52,117
5041,56,117
5495,57,117
5735,55,117
6480,48,117
13,51,116
20,52,116
344,41,116
386,49,116
424,56,116
437,48,116
514,55,116
627,44,116
731,45,116
850,61,116
909,51,116
912,49,116
987,50,116
991,51,116
1534,51,116
1610,53,116
1814,51,116
1926,47,116
2087,57,116
2111,50,116
2248,58,116
2276,48,116
2365,51,116
2427,57,116
2469,51,116
2484,51,116
2528,53,116
2821,56,116
2830,56,116
2902,54,116
2916,55,116
3231,41,116
3515,62,116
3705,50,116
3712,46,116
3835,53,116
4129,63,116
4183,57,116
4221,59,116
4231,47,116
4335,59,116
4679,51,116
5027,57,116
5199,47,116
5441,49,116
6964,64,116
8331,65,116
25,51,115
78,46,115
190,45,115
426,55,115
528,46,115
583,64,115
620,54,115
937,54,115
1117,57,115
1312,52,115
1332,51,115
1354,48,115
1511,51,115
1557,46,115
2047,44,115
2177,62,115
2241,54,115
2243,49,115
2253,49,115
2256,50,115
2259,52,115
2402,55,115
2728,45,115
2735,58,115
2799,65,115
3057,49,115
3209,53,115
3212,57,115
3220,55,115
3222,46,115
3349,51,115
3462,56,115
3514,54,115
3571,53,115
3587,55,115
3611,52,115
3777,56,115
4153,55,115
4476,47,115
4865,52,115
5185,56,115
5440,62,115
5927,52,115
6958,56,115
7185,42,115
62,48,114
67,40,114
96,46,114
120,53,114
273,45,114
310,49,114
468,56,114
523,48,114
741,55,114
756,51,114
815,49,114
960,46,114
961,42,114
1216,57,114
1516,47,114
1620,49,114
1658,42,114
1757,51,114
1791,46,114
1806,55,114
1809,48,114
1912,55,114
1913,56,114
1918,56,114
1942,47,114
2215,48,114
2280,65,114
2450,51,114
2572,53,114
2598,51,114
2658,46,114
2917,57,114
2953,48,114
3017,50,114
3035,56,114
3362,61,114
3453,47,114
3472,55,114
3804,44,114
3947,58,114
4274,51,114
4359,44,114
4394,51,114
4593,50,114
5040,55,114
5092,61,114
5786,46,114
5795,57,114
43,53,113
65,50,113
107,46,113
186,44,113
253,54,113
262,53,113
479,49,113
527,50,113
1003,43,113
1070,52,113
1144,43,113
1219,50,113
1334,52,113
1392,56,113
1423,43,113
1613,58,113
1729,54,113
1807,47,113
1872,57,113
1929,50,113
1932,51,113
2120,57,113
2287,57,113
2351,52,113
2611,49,113
2643,51,113
2662,44,113
2719,58,113
2812,53,113
2816,60,113
2913,45,113
2957,53,113
2962,52,113
3075,47,113
3278,51,113
3825,53,113
3848,55,113
3896,57,113
4237,57,113
4474,50,113
5210,50,113
5363,53,113
5382,47,113
5389,48,113
5403,55,113
5644,55,113
5705,47,113
5844,59,113
5853,43,113
5891,49,113
6887,51,113
7087,47,113
89,54,112
124,47,112
152,54,112
160,46,112
267,47,112
272,52,112
356,57,112
430,48,112
513,56,112
587,48,112
675,48,112
800,56,112
855,47,112
918,55,112
958,51,112
1065,42,112
1163,45,112
1347,55,112
1375,53,112
1492,56,112
1615,58,112
1667,52,112
1712,55,112
1844,48,112
1905,48,112
1975,49,112
1998,55,112
2015,54,112
2031,55,112
2066,61,112
2164,40,112
2264,56,112
2358,49,112
2445,51,112
2575,48,112
2684,45,112
2843,55,112
2931,44,112
2988,48,112
3459,51,112
3483,51,112
3498,46,112
4258,52,112
4295,53,112
4529,50,112
5166,49,112
5235,48,112
5247,48,112
5881,48,112
6300,57,112
28,49,111
60,44,111
431,49,111
605,53,111
624,45,111
793,51,111
825,60,111
1051,48,111
1135,55,111
1289,56,111
1362,53,111
1383,44,111
1661,46,111
1710,52,111
1737,47,111
1954,51,111
2014,42,111
2052,46,111
2103,56,111
2136,54,111
2404,54,111
2444,50,111
2519,53,111
2546,58,111
2596,45,111
2757,55,111
2782,50,111
2994,47,111
2996,51,111
3150,52,111
3342,50,111
3389,50,111
3395,50,111
3406,59,111
3566,57,111
3783,53,111
3794,59,111
4475,60,111
4487,47,111
4612,44,111
4664,51,111
5048,49,111
5096,61,111
5280,48,111
5285,52,111
5320,50,111
5338,59,111
5396,53,111
5411,41,111
5462,56,111
5748,54,111
5787,47,111
5799,55,111
5814,45,111
5839,59,111
5932,58,111
199,43,110
727,44,110
762,51,110
764,51,110
852,53,110
1019,44,110
1058,51,110
1098,48,110
1143,44,110
1348,56,110
1388,51,110
1498,51,110
1512,51,110
1584,60,110
1601,51,110
1783,52,110
1843,54,110
1945,42,110
2129,51,110
2144,49,110
2191,52,110
2202,45,110
2452,56,110
2514,46,110
2580,45,110
2600,51,110
2609,60,110
2627,52,110
2702,49,110
2704,52,110
2748,48,110
2783,53,110
2790,53,110
2828,61,110
2915,46,110
2946,49,110
3192,53,110
3337,55,110
3475,52,110
3493,60,110
3658,55,110
3747,41,110
4358,50,110
5111,50,110
5172,41,110
5253,49,110
5347,56,110
5384,53,110
5414,52,110
5434,52,110
5445,43,110
5477,58,110
5486,48,110
5673,48,110
5763,50,110
7020,54,110
135,44,109
428,42,109
710,55,109
786,47,109
811,47,109
902,42,109
925,47,109
1068,52,109
1096,49,109
1261,55,109
1267,47,109
1399,41,109
1477,47,109
1592,43,109
1676,47,109
1702,44,109
1820,48,109
1849,50,109
1904,54,109
1930,51,109
2228,50,109
2337,53,109
2369,52,109
2443,51,109
2490,48,109
2532,54,109
2618,53,109
2648,59,109
2769,48,109
2788,51,109
2894,47,109
2923,47,109
3229,43,109
3270,47,109
3528,48,109
3573,51,109
3616,53,109
3729,61,109
3860,50,109
4162,56,109
4165,48,109
4288,55,109
4682,47,109
5079,46,109
5263,56,109
5264,49,109
5707,59,109
5851,49,109
5884,54,109
118,52,108
126,46,108
217,46,108
251,47,108
392,47,108
584,51,108
591,43,108
619,46,108
696,43,108
771,58,108
818,47,108
821,47,108
846,44,108
959,48,108
1020,50,108
1046,46,108
1168,52,108
1223,47,108
1234,49,108
1271,52,108
1518,50,108
1617,54,108
1632,54,108
1798,48,108
1927,55,108
1941,52,108
2178,42,108
2271,45,108
2326,45,108
2373,54,108
2566,51,108
2714,42,108
2918,49,108
3044,56,108
3415,49,108
3494,54,108
3720,55,108
4334,47,108
4395,47,108
4590,49,108
5133,48,108
5146,53,108
5168,48,108
5228,51,108
5251,53,108
5307,51,108
5390,48,108
5392,45,108
5397,49,108
5469,46,108
5890,52,108
7009,47,108
71,51,107
102,45,107
123,45,107
150,46,107
159,52,107
229,44,107
351,48,107
448,54,107
449,44,107
538,49,107
552,50,107
931,54,107
1162,49,107
1177,55,107
1179,48,107
1181,50,107
1421,46,107
1460,52,107
1581,47,107
1685,52,107
1829,45,107
1917,51,107
1937,49,107
1992,58,107
2137,52,107
2140,47,107
2245,56,107
2251,68,107
2401,58,107
2540,48,107
2690,51,107
2752,54,107
2766,57,107
2845,47,107
3253,46,107
3311,47,107
3455,54,107
3490,46,107
3533,45,107
3625,43,107
3725,50,107
3781,57,107
3840,61,107
3850,45,107
4695,54,107
5033,44,107
5057,55,107
5064,44,107
5262,48,107
5706,51,107
5807,61,107
6932,53,107
98,47,106
122,38,106
138,49,106
225,46,106
294,50,106
337,36,106
388,53,106
965,46,106
982,42,106
984,45,106
1094,47,106
1174,51,106
1192,42,106
1356,49,106
1369,47,106
1374,53,106
1422,42,106
1682,49,106
1735,48,106
1748,52,106
1793,52,106
1896,50,106
1916,50,106
1952,43,106
2004,55,106
2119,58,106
2153,60,106
2550,52,106
2739,48,106
2753,42,106
2856,45,106
2905,60,106
3078,51,106
3119,49,106
3197,55,106
3250,42,106
3505,44,106
3780,51,106
3789,55,106
5200,51,106
5211,50,106
5239,56,106
5282,53,106
5298,53,106
5489,46,106
5671,66,106
5772,49,106
5812,46,106
7199,47,106
99,43,105
139,44,105
171,46,105
279,46,105
313,51,105
493,45,105
521,50,105
566,45,105
737,47,105
803,46,105
1235,53,105
1249,49,105
1352,42,105
1391,45,105
1407,52,105
1457,49,105
1625,41,105
1642,37,105
1647,44,105
1838,53,105
1841,56,105
1948,45,105
2061,45,105
2118,49,105
2135,41,105
2154,48,105
2350,50,105
2412,49,105
2448,51,105
2852,44,105
2954,55,105
3077,53,105
3251,48,105
3447,57,105
3489,48,105
3564,55,105
3803,57,105
3893,47,105
4232,53,105
4255,53,105
4333,50,105
4378,46,105
4407,46,105
4506,46,105
5184,59,105
5241,46,105
5358,50,105
5438,50,105
5439,42,105
5649,43,105
5768,51,105
5777,44,105
5866,53,105
38,43,104
63,42,104
77,45,104
83,42,104
300,53,104
332,50,104
758,47,104
773,54,104
910,44,104
913,46,104
1059,49,104
1129,61,104
1138,45,104
1344,53,104
1450,46,104
1543,64,104
1637,47,104
1722,42,104
1732,42,104
1776,42,104
1861,53,104
1953,41,104
1999,48,104
2009,40,104
2039,53,104
2092,43,104
2160,46,104
2288,57,104
2513,50,104
2518,50,104
2621,52,104
2633,49,104
2771,39,104
2815,50,104
2819,45,104
2892,50,104
2897,51,104
3228,45,104
3248,51,104
3274,54,104
4131,53,104
4163,60,104
4278,51,104
4436,46,104
4484,49,104
4588,56,104
5232,48,104
5471,51,104
5847,44,104
5894,59,104
5944,49,104
7179,48,104
88,40,103
195,42,103
296,47,103
314,50,103
328,42,103
333,50,103
358,42,103
363,48,103
502,53,103
759,46,103
1053,54,103
1124,50,103
1242,55,103
1266,43,103
1272,46,103
1380,44,103
1393,44,103
1425,45,103
1526,42,103
1614,45,103
1635,49,103
1638,50,103
1691,50,103
1696,47,103
1730,43,103
1821,53,103
1900,54,103
1939,45,103
2050,54,103
2114,45,103
2155,47,103
2440,45,103
2492,43,103
2516,53,103
2636,51,103
3252,43,103
3258,51,103
3288,55,103
3388,47,103
3430,54,103
3434,47,103
3535,47,103
3634,45,103
3639,49,103
3824,59,103
4166,50,103
4241,51,103
4611,49,103
5047,42,103
5075,49,103
5196,47,103
5246,41,103
5292,51,103
5329,45,103
5843,55,103
5859,52,103
5935,57,103
48,43,102
146,48,102
167,44,102
226,50,102
382,43,102
688,59,102
740,44,102
829,43,102
905,53,102
1239,58,102
1276,49,102
1417,50,102
1530,48,102
1596,47,102
1657,41,102
1666,48,102
1681,51,102
1705,53,102
1866,42,102
1867,51,102
1881,48,102
1980,44,102
2048,47,102
2198,46,102
2232,45,102
2335,48,102
2436,46,102
2459,46,102
2474,46,102
2506,47,102
2553,44,102
2760,41,102
3216,46,102
3236,54,102
3324,51,102
3329,52,102
3372,53,102
3583,50,102
3807,43,102
3826,57,102
4215,48,102
5139,50,102
5197,43,102
5272,46,102
5751,50,102
5848,50,102
33,47,101
97,50,101
181,38,101
198,47,101
227,48,101
271,46,101
362,42,101
364,53,101
526,55,101
641,52,101
785,53,101
851,45,101
882,45,101
1021,42,101
1188,50,101
1335,41,101
1340,42,101
1365,40,101
1521,48,101
1579,41,101
1738,47,101
2131,51,101
2224,47,101
2295,51,101
2313,44,101
2463,50,101
2577,45,101
2640,51,101
2703,47,101
2756,55,101
2820,45,101
2836,47,101
2955,48,101
3093,49,101
3235,65,101
3307,51,101
3428,52,101
3431,53,101
3708,50,101
3760,47,101
3912,55,101
4161,50,101
5374,49,101
5668,44,101
5732,47,101
108,39,100
155,47,100
196,46,100
197,52,100
281,42,100
366,55,100
434,46,100
451,48,100
642,40,100
659,50,100
716,42,100
854,37,100
876,45,100
1005,47,100
1029,48,100
1061,45,100
1338,43,100
1349,54,100
1368,52,100
1395,44,100
1412,49,100
1481,48,100
1493,49,100
1577,45,100
1716,44,100
1851,54,100
1897,48,100
1907,42,100
1984,40,100
2121,40,100
2187,48,100
2206,49,100
2207,45,100
2339,45,100
2594,56,100
2734,50,100
2865,50,100
2883,53,100
2906,51,100
3102,44,100
3167,45,100
3214,51,100
3259,51,100
3305,45,100
3412,42,100
3660,44,100
3765,51,100
3772,46,100
3791,38,100
4171,49,100
4284,50,100
4461,54,100
4533,41,100
4557,59,100
4636,40,100
5203,47,100
5227,50,100
5340,54,100
5779,46,100
5810,52,100
5882,50,100
5964,47,100
5976,44,100
6469,51,100
66,43,99
68,43,99
161,43,99
318,46,99
425,41,99
477,53,99
629,42,99
874,46,99
914,37,99
1100,46,99
1196,46,99
1333,51,99
1413,53,99
1482,50,99
1545,50,99
1704,48,99
2041,42,99
2044,53,99
2175,43,99
2183,44,99
2218,50,99
2332,50,99
2494,47,99
2565,48,99
2613,46,99
2710,45,99
2729,49,99
2893,40,99
2900,48,99
2935,42,99
3247,42,99
3289,45,99
3401,48,99
3423,49,99
3491,48,99
3607,42,99
3757,47,99
4144,46,99
4250,49,99
4253,42,99
4323,39,99
4644,47,99
5309,50,99
5402,54,99
5432,43,99
5481,44,99
5888,52,99
7281,54,99
32,36,98
42,43,98
91,48,98
317,47,98
413,46,98
484,50,98
637,39,98
769,47,98
930,44,98
966,45,98
1128,45,98
1409,51,98
1540,40,98
1578,56,98
1653,50,98
1675,49,98
1721,41,98
1813,47,98
1878,46,98
1920,50,98
1950,39,98
2030,51,98
2069,50,98
2289,48,98
2370,50,98
2481,45,98
2584,44,98
2603,43,98
2986,48,98
3169,50,98
3234,51,98
3549,50,98
3597,50,98
3650,54,98
4101,51,98
5028,59,98
5301,45,98
5311,46,98
5370,47,98
5376,39,98
5381,51,98
5386,41,98
5422,39,98
5448,46,98
5461,52,98
5470,42,98
5845,46,98
5977,45,98
6807,50,98
232,37,97
236,39,97
305,50,97
324,39,97
466,49,97
519,49,97
626,40,97
693,47,97
858,42,97
863,41,97
953,54,97
1002,46,97
1043,34,97
1398,54,97
1467,44,97
1688,51,97
1697,45,97
1970,44,97
2102,46,97
2138,44,97
2322,46,97
2367,45,97
2422,43,97
2520,55,97
2523,48,97
2558,47,97
2652,43,97
2696,43,97
2795,44,97
2849,43,97
2908,39,97
2938,52,97
3151,51,97
3260,40,97
3394,39,97
3563,50,97
3641,42,97
3644,46,97
3659,52,97
3768,39,97
3790,44,97
3876,46,97
4137,49,97
4678,53,97
5058,45,97
5065,45,97
5104,44,97
5472,48,97
5874,57,97
5883,50,97
5996,51,97
7194,46,97
7324,44,97
18,45,96
76,50,96
411,43,96
422,40,96
440,45,96
443,41,96
454,39,96
686,45,96
713,43,96
738,43,96
790,42,96
820,45,96
1013,40,96
1018,43,96
1184,50,96
1295,41,96
1649,42,96
1684,38,96
1711,47,96
1760,44,96
1797,45,96
1845,47,96
1848,46,96
1895,47,96
2147,41,96
2272,39,96
2388,44,96
2493,49,96
2495,53,96
2664,46,96
2797,48,96
3061,48,96
3067,51,96
3268,41,96
3322,44,96
3367,47,96
3408,48,96
3482,46,96
3632,39,96
3877,47,96
3889,50,96
4185,47,96
4203,52,96
4252,51,96
4501,44,96
4556,42,96
4569,38,96
4599,56,96
4600,50,96
4681,48,96
5346,42,96
5350,46,96
5458,40,96
5463,47,96
5753,44,96
5857,48,96
5889,45,96
6576,43,96
7188,44,96
50,41,95
111,36,95
218,50,95
222,45,95
283,45,95
311,52,95
432,38,95
633,46,95
976,46,95
1052,42,95
1084,50,95
1152,43,95
1158,48,95
1191,45,95
1372,50,95
1386,42,95
1408,51,95
1513,49,95
1537,42,95
1621,41,95
2156,43,95
2192,44,95
2250,50,95
2258,48,95
2275,45,95
2421,47,95
2617,44,95
2794,40,95
2945,45,95
3277,46,95
3291,45,95
3621,52,95
3733,49,95
4317,53,95
4472,41,95
4697,47,95
5073,50,95
5244,42,95
5345,51,95
5399,38,95
5446,46,95
5482,44,95
5969,51,95
7032,50,95
55,37,94
80,45,94
149,45,94
169,36,94
176,41,94
276,37,94
295,42,94
573,49,94
606,40,94
951,43,94
1159,49,94
1275,44,94
1286,46,94
1336,41,94
1357,47,94
1436,49,94
1501,45,94
1548,41,94
1701,45,94
1803,44,94
2020,38,94
2417,43,94
2437,50,94
2591,51,94
2660,47,94
2762,50,94
2850,46,94
2867,43,94
3273,49,94
3303,49,94
3348,43,94
3397,45,94
3488,42,94
3545,48,94
4239,49,94
4256,45,94
4540,43,94
4623,44,94
4677,49,94
5032,62,94
5077,49,94
5127,45,94
5152,53,94
5912,43,94
34,46,93
39,37,93
106,40,93
115,44,93
203,41,93
240,48,93
476,42,93
824,45,93
1007,39,93
1110,42,93
1126,40,93
1206,52,93
1639,45,93
2094,52,93
2100,43,93
2190,49,93
2200,50,93
2214,51,93
2297,51,93
2329,43,93
2471,47,93
2556,45,93
2647,40,93
2705,43,93
2749,43,93
2787,47,93
2968,53,93
3293,47,93
3717,56,93
3830,45,93
3842,44,93
3872,53,93
4405,53,93
4458,49,93
4687,48,93
4696,34,93
5157,46,93
5229,47,93
5231,44,93
5629,50,93
7290,46,93
82,43,92
246,36,92
350,44,92
353,43,92
368,37,92
524,40,92
924,41,92
1008,51,92
1136,44,92
1189,48,92
1435,43,92
1672,39,92
1869,43,92
1964,46,92
1990,48,92
2084,51,92
2167,47,92
2196,42,92
2263,43,92
2319,48,92
2530,48,92
2604,47,92
2772,46,92
3266,47,92
3286,45,92
3364,45,92
3499,47,92
3643,39,92
3741,44,92
3806,46,92
3831,42,92
3853,39,92
4176,51,92
4259,34,92
4446,52,92
4488,52,92
4520,50,92
4570,40,92
4638,44,92
5022,51,92
5201,53,92
5352,47,92
5356,43,92
5797,41,92
5841,45,92
6394,48,92
173,41,91
250,39,91
375,50,91
473,33,91
707,42,91
784,46,91
933,38,91
954,38,91
1187,34,91
1252,44,91
1442,43,91
1780,44,91
1874,43,91
1996,54,91
2106,44,91
2176,53,91
2247,45,91
2317,47,91
2866,40,91
2909,42,91
2939,43,91
3087,52,91
3170,41,91
3217,40,91
3381,41,91
4201,44,91
4370,46,91
4427,41,91
5325,58,91
5498,41,91
5879,48,91
5930,48,91
51,45,90
293,44,90
387,39,90
801,42,90
1106,47,90
1157,43,90
1434,42,90
1471,38,90
1497,46,90
1508,50,90
1715,41,90
1731,39,90
1771,42,90
1947,42,90
2090,46,90
2292,48,90
2315,43,90
2672,39,90
2831,46,90
3107,45,90
3309,45,90
3801,42,90
4209,40,90
4355,43,90
4641,45,90
5049,47,90
5178,48,90
5218,47,90
5880,49,90
6392,47,90
6476,42,90
27,38,89
81,41,89
504,44,89
545,42,89
978,35,89
1114,36,89
1115,42,89
1169,45,89
1384,44,89
1415,43,89
1452,48,89
1678,42,89
1827,42,89
1898,42,89
1921,42,89
1974,44,89
2000,42,89
2058,50,89
2097,43,89
2161,49,89
2189,53,89
2294,44,89
2646,39,89
2711,38,89
2807,39,89
2947,46,89
3103,41,89
3612,46,89
3812,45,89
4156,40,89
4247,46,89
4372,41,89
4849,45,89
5348,46,89
5360,36,89
5398,45,89
5424,45,89
5731,45,89
5871,46,89
6395,42,89
56,43,88
166,40,88
183,51,88
302,35,88
433,46,88
485,44,88
561,37,88
568,35,88
714,40,88
903,42,88
1109,39,88
1131,47,88
1226,40,88
1475,44,88
1599,47,88
1695,39,88
1799,42,88
1876,44,88
1910,42,88
2008,42,88
2398,47,88
2432,44,88
2485,43,88
2551,44,88
2620,43,88
2654,39,88
2774,47,88
2832,43,88
2904,44,88
3088,38,88
3188,40,88
3191,41,88
3541,47,88
3546,41,88
3749,53,88
3770,41,88
4377,40,88
5341,42,88
5433,42,88
5442,48,88
5667,43,88
5929,48,88
5992,43,88
6397,50,88
74,42,87
133,33,87
162,38,87
202,47,87
242,40,87
254,39,87
288,37,87
325,43,87
370,38,87
409,46,87
488,36,87
612,39,87
1154,46,87
1456,42,87
1603,39,87
1629,35,87
1648,46,87
1713,41,87
2457,45,87
2538,46,87
2645,37,87
2694,44,87
2785,41,87
2926,45,87
3313,42,87
3761,46,87
4435,44,87
4606,39,87
4653,49,87
4699,36,87
5118,50,87
5387,38,87
5922,41,87
6998,42,87
57,38,86
290,43,86
346,40,86
360,37,86
390,40,86
596,36,86
845,44,86
873,51,86
1045,44,86
1323,45,86
1571,45,86
1786,49,86
2043,43,86
2054,38,86
2062,41,86
2130,43,86
2503,41,86
2564,41,86
2682,50,86
2683,44,86
2792,45,86
2833,40,86
3200,46,86
3417,45,86
3710,44,86
3778,46,86
4246,43,86
4341,38,86
4414,41,86
4514,42,86
4643,39,86
5162,51,86
5355,42,86
6951,41,86
8,43,85
117,37,85
233,42,85
257,43,85
385,38,85
446,40,85
550,36,85
748,39,85
1054,36,85
1077,42,85
1199,42,85
1404,40,85
1472,41,85
1683,41,85
2057,37,85
2639,43,85
2784,38,85
3701,44,85
3810,46,85
4583,47,85
5444,44,85
64,42,84
145,39,84
244,37,84
289,39,84
303,41,84
312,44,84
339,40,84
503,39,84
798,34,84
833,36,84
875,39,84
1057,42,84
1073,42,84
1095,41,84
1366,38,84
1480,40,84
1562,45,84
1589,47,84
1816,50,84
1925,39,84
2267,48,84
2674,35,84
2885,39,84
2937,44,84
2941,45,84
3221,38,84
3458,39,84
3497,37,84
3852,50,84
3857,46,84
4191,42,84
4384,47,84
5957,49,84
6952,38,84
109,37,83
132,35,83
567,39,83
728,36,83
788,42,83
795,37,83
895,35,83
1102,39,83
1175,41,83
1265,47,83
1855,46,83
1972,42,83
2016,45,83
2751,40,83
2805,41,83
2903,45,83
2934,39,83
2963,44,83
3053,45,83
4226,38,83
4554,51,83
7246,39,83
92,34,82
280,37,82
760,36,82
837,34,82
900,43,82
956,39,82
979,44,82
1063,34,82
1093,36,82
1282,38,82
1445,34,82
1546,37,82
2075,43,82
2086,46,82
2143,43,82
2188,35,82
2254,40,82
2563,41,82
2607,38,82
3060,42,82
3245,41,82
3254,41,82
3561,44,82
3709,51,82
3809,37,82
3875,39,82
4457,39,82
4543,46,82
5872,45,82
210,34,81
274,39,81
373,41,81
617,39,81
646,37,81
783,36,81
802,34,81
1038,41,81
1489,41,81
1640,44,81
2070,44,81
2128,42,81
2236,48,81
2681,36,81
2901,40,81
3227,42,81
3269,41,81
3371,42,81
3754,54,81
4202,46,81
4309,49,81
4412,38,81
4439,39,81
5089,36,81
5492,39,81
5806,44,81
252,35,80
347,35,80
354,38,80
369,35,80
478,39,80
482,35,80
636,42,80
750,40,80
1107,34,80
1176,43,80
1650,42,80
2270,50,80
2542,38,80
2925,42,80
3734,40,80
3742,39,80
4689,41,80
5276,44,80
5628,44,80
357,41,79
486,37,79
498,31,79
506,39,79
834,34,79
871,41,79
1308,47,79
1416,38,79
1865,36,79
2170,39,79
2418,46,79
2717,44,79
2898,39,79
2989,42,79
3059,48,79
3137,43,79
3785,40,79
4281,37,79
4322,37,79
5641,43,79
7245,38,79
247,39,78
334,36,78
419,40,78
436,40,78
453,41,78
632,42,78
647,36,78
993,40,78
1147,36,78
1451,32,78
1727,39,78
1778,44,78
2033,38,78
2509,39,78
2510,42,78
2810,36,78
4244,36,78
4374,38,78
5835,43,78
7247,38,78
401,33,77
480,36,77
847,37,77
1277,34,77
1506,38,77
1517,47,77
1724,45,77
1858,35,77
1919,40,77
2320,40,77
2608,36,77
2754,38,77
2758,38,77
3118,40,77
3255,37,77
3598,44,77
4459,40,77
4683,43,77
4690,44,77
4734,43,77
5240,44,77
7181,36,77
323,34,76
326,34,76
378,36,76
885,37,76
888,34,76
962,33,76
1067,35,76
1766,36,76
2424,35,76
2899,40,76
4063,48,76
5303,42,76
5676,46,76
5968,#N/A,76
971,38,75
1166,41,75
1509,33,75
1957,45,75
2261,39,75
2861,45,75
3501,41,75
4471,37,75
5766,38,75
8930,42,75
957,39,74
1211,35,74
1389,37,74
2571,44,74
2579,39,74
4428,39,74
5864,37,74
44,35,73
207,35,73
751,37,73
843,39,73
985,32,73
996,41,73
1108,35,73
1316,34,73
1751,44,73
2053,42,73
2527,49,73
3534,42,73
4350,35,73
7238,33,73
230,39,72
338,32,72
438,35,72
917,30,72
1616,41,72
1795,38,72
2096,45,72
3805,35,72
3869,42,72
5861,44,72
6477,56,72
7243,34,72
7249,38,72
1069,38,71
1214,35,71
1274,34,71
3858,46,71
4389,42,71
4568,36,71
5273,38,71
5886,38,71
178,33,70
209,35,70
342,34,70
607,36,70
749,43,70
1257,35,70
1630,33,70
2562,33,70
2634,37,70
4208,40,70
5616,40,70
136,35,69
830,32,69
7129,30,69
341,35,68
2348,38,68
3177,41,68
3758,33,68
4249,38,68
4639,35,68
5219,41,68
320,35,67
921,35,67
352,31,66
893,32,66
1078,35,66
1119,41,66
2659,37,66
5170,34,66
792,34,65
977,37,65
3182,39,65
5911,46,65
418,30,64
2582,37,64
116,34,63
5044,33,63
5936,#N/A,63
2293,34,61
841,32,60
5869,32,59
5003,35,58
1870,32,53
986,24,48
1550,16,43
1808,22,42
