Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5147,SPARK,Scheduled Standard Delivery,31,Executive Review,Degrading,Store Focus,202229,82.70%,78.67%,16.1,77.00%,81.20%,84.20%,86.50%
3764,UBER,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202229,85.71%,96.10%,8,86.80%,85.10%,87.00%,82.90%
3828,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202229,81.48%,91.13%,9.6,81.90%,80.30%,77.60%,85.70%
471,SPARK,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202229,72.22%,72.81%,17.7,57.50%,50.60%,85.70%,88.10%
3014,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Store Focus,202229,75.62%,88.51%,10.3,85.40%,73.30%,76.80%,67.20%
4503,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202229,59.49%,58.09%,23.9,52.40%,38.50%,57.90%,80.80%
5810,SPARK,Scheduled Standard Delivery,30,Executive Review,Degrading,Driver Supply Focus,202229,85.08%,98.29%,8.4,78.90%,79.30%,90.20%,89.60%
2649,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202229,60.55%,62.65%,20.8,54.00%,42.30%,66.40%,75.90%
202,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202229,69.14%,52.12%,17.4,39.70%,65.80%,73.70%,88.80%
2918,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202229,66.74%,61.01%,16.3,84.40%,63.80%,55.50%,63.20%
3406,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202229,78.90%,94.09%,15.2,68.30%,75.50%,83.10%,89.00%
467,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202229,76.85%,74.77%,18.8,79.80%,68.60%,76.70%,80.90%
2427,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,202229,72.83%,73.35%,17.9,80.30%,61.20%,72.40%,79.20%
426,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202229,76.74%,64.95%,13.4,86.60%,72.10%,68.40%,79.70%
2105,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202229,86.91%,82.10%,16.2,80.90%,83.10%,90.90%,94.60%
2996,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202229,91.82%,90.25%,11,88.30%,90.20%,94.00%,94.30%
5889,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202229,83.70%,93.95%,6.8,75.90%,84.20%,82.40%,90.80%
5191,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202229,92.03%,82.25%,14.2,97.00%,98.70%,97.10%,82.80%
2086,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202229,83.64%,82.20%,14.4,84.50%,84.40%,74.70%,92.30%
