Store,,MAY,73,YTD,74,MAY,75,YTD,76,MAY,77,YTD,78,MAY,79,YTD,80,MAY,81,YTD,82,MAY,83,YTD,84,MAY,85,YTD,86,MAY,87,YTD,88,MAY,89,YTD,90,MAY,91,YTD,92
211,,5.66%,,2.46%,,15.90%,,1.86%,R,-14.29%,R,-17.13%,R,33.21%,G,11.32%,,21,,83,,38.68%,,38.12%,,1,R,25,,24.07%,R,32.48%,,0:56:15,,0:57:49,,1382/2577,,2173/2577,R
248,,2.13%,,8.67%,,18.26%,,15.72%,,1.41%,,-5.16%,,4.52%,,28.41%,,29,G,79,,43.21%,,39.84%,,18,G,61,G,65.23%,,52.66%,,0:47:29,,0:47:17,,1184/2577,,960/2577,
320,,12.05%,G,7.11%,,55.29%,G,30.07%,,19.19%,G,-8.73%,R,18.07%,,30.95%,,0,R,0,R,18.37%,R,15.32%,R,1,R,5,R,30.61%,,12.25%,R,0:19:58,G,0:33:57,G,288/2577,G,992/2577,
610,,11.62%,G,8.73%,,41.48%,G,20.48%,,32.94%,G,-2.47%,,55.31%,G,40.27%,G,9,,43,,42.77%,,38.37%,,3,,12,,59.72%,,60.48%,,0:45:19,,0:54:27,,128/2577,G,879/2577,
746,,-0.98%,,3.96%,,22.65%,,41.59%,G,11.67%,,21.01%,G,37.83%,G,44.44%,G,0,R,5,R,40.57%,,46.94%,,2,,24,,9.31%,R,10.91%,R,0:32:17,G,0:29:53,G,1095/2577,,411/2577,G
939,,3.22%,,3.77%,,23.26%,,15.40%,,-1.02%,,-0.59%,,27.59%,,-3.07%,R,17,,23,,31.27%,,35.06%,,5,,7,,5.02%,R,11.90%,R,1:15:55,R,1:06:40,R,1303/2577,,1990/2577,
1254,,11.51%,G,16.89%,G,3.88%,,16.02%,,-5.02%,,-6.88%,R,15.55%,,42.64%,G,1,R,60,,31.79%,,38.59%,,3,,27,,38.05%,,32.31%,,0:41:25,,0:38:30,,1534/2577,,738/2577,
5389,,-4.98%,R,3.89%,,-3.99%,R,10.04%,,-3.74%,,-3.27%,,-11.41%,R,13.66%,,63,G,207,G,38.20%,,43.09%,,1,R,7,,5.36%,R,21.12%,R,0:23:09,G,0:23:22,G,2247/2577,R,1513/2577,
6929,,2.74%,,5.36%,,18.20%,,10.56%,,-1.25%,,-10.64%,R,16.11%,,7.64%,,18,,71,,48.37%,G,51.16%,G,6,,23,,99.80%,G,81.24%,G,0:38:11,,0:38:17,,914/2577,,1406/2577,
7156,,1.52%,,11.96%,G,6.75%,,28.06%,,2.95%,,11.31%,,-4.31%,R,28.85%,,4,,18,,45.89%,,46.07%,,24,G,57,G,27.06%,R,35.35%,,0:52:31,,0:53:48,,1862/2577,,436/2577,G
Total,B,4.25%,,7.40%,G,16.19%,,17.36%,,1.85%,,-2.24%,R,16.60%,,24.49%,,0.52,,0.49,,40.17%,,41.42%,,0.21,,0.21,,40.99%,,40.24%,,0:44:18,,0:44:25,,169/394,,136/394,
421,,10.74%,G,11.26%,G,17.99%,,19.54%,,10.45%,,7.29%,,12.22%,,7.68%,,74,G,195,G,40.89%,,40.78%,,35,G,180,G,72.67%,,87.25%,G,0:37:44,,0:38:41,,479/2577,G,509/2577,G
940,,4.76%,,8.23%,,25.73%,,29.72%,,-6.19%,,5.58%,,-12.62%,R,2.97%,R,12,,19,,37.22%,,39.58%,,16,G,29,,57.50%,,67.12%,,1:10:12,R,0:56:40,,1303/2577,,841/2577,
972,,-6.21%,R,-4.14%,R,-12.26%,R,2.70%,R,-13.82%,R,-3.67%,,-8.79%,R,-11.16%,R,1,R,6,R,45.48%,,54.65%,G,4,,31,,71.39%,,79.49%,G,0:57:01,,0:48:47,,2456/2577,R,2251/2577,R
3773,,10.83%,G,12.00%,G,37.50%,G,53.79%,G,42.18%,G,39.53%,G,1.90%,,27.33%,,26,,112,G,45.07%,,50.50%,G,18,G,149,G,82.93%,G,85.58%,G,0:40:21,,0:42:42,,155/2577,G,22/2577,G
5247,,5.07%,,1.67%,,12.77%,,2.50%,R,4.92%,,-8.05%,R,24.56%,,20.19%,,15,,42,,29.14%,,35.96%,,16,G,26,,44.57%,,20.73%,R,0:38:26,,0:37:36,,1069/2577,,1976/2577,
5312,,0.55%,,9.20%,G,17.77%,,24.56%,,4.95%,,5.35%,,-0.23%,,4.31%,,79,G,603,G,60.14%,G,67.17%,G,86,G,319,G,74.13%,,77.45%,,0:32:24,G,0:37:11,,958/2577,,392/2577,G
5316,,4.20%,,11.70%,G,29.21%,,50.25%,G,29.26%,G,39.26%,G,5.60%,,34.16%,G,8,,47,,45.40%,,42.87%,,32,G,250,G,67.86%,,63.91%,,0:38:39,,0:39:43,,466/2577,G,42/2577,G
Total,B,3.98%,,7.45%,G,17.08%,,24.96%,G,7.51%,,9.59%,G,2.58%,R,12.77%,,0.99,G,1.22,G,43.89%,G,47.45%,G,0.95,G,1.17,G,67.79%,,69.64%,G,0:42:58,,0:42:21,,112/394,,25/394,G
259,,9.91%,G,13.14%,G,28.91%,,28.35%,,2.36%,,-0.38%,,50.31%,G,48.96%,G,3,,12,,39.92%,,41.21%,,2,,11,,18.09%,R,16.69%,R,0:54:13,,0:56:34,,674/2577,,683/2577,
789,,3.17%,,12.56%,G,29.13%,,35.27%,G,13.84%,,19.67%,G,6.59%,,18.54%,,3,,11,,44.69%,,43.27%,,7,,27,,61.65%,,33.58%,,0:36:20,,0:39:43,,658/2577,,319/2577,G
1055,,4.64%,,8.62%,,31.39%,G,35.52%,G,17.30%,,18.69%,G,12.15%,,14.60%,,52,G,213,G,36.02%,,38.55%,,32,G,108,G,40.43%,,39.50%,,0:37:50,,0:36:10,,437/2577,G,268/2577,G
3224,,6.05%,,8.56%,,18.24%,,20.78%,,4.41%,,4.14%,,-0.73%,,4.22%,,50,G,256,G,53.05%,G,49.71%,G,13,G,72,G,80.04%,,72.00%,,0:56:32,,0:52:31,,961/2577,,759/2577,
3225,,-0.69%,,4.47%,,0.48%,R,8.66%,,-3.47%,,-1.24%,,-27.76%,R,-17.07%,R,7,,55,,59.18%,G,59.11%,G,1,R,18,,38.10%,,35.38%,,0:37:50,,0:43:18,,2117/2577,R,1769/2577,
Total,B,4.44%,,9.55%,G,22.55%,,26.80%,G,7.92%,,9.73%,G,6.57%,,12.89%,,0.74,,0.91,G,44.55%,G,44.74%,,0.35,,0.39,G,48.96%,,40.35%,,0:43:44,,0:44:30,,75/394,G,34/394,G
&nbsp;,B,3.81%,,7.30%,G,20.33%,,24.65%,G,6.54%,,6.96%,G,11.87%,,19.91%,,0.76,,0.76,,41.61%,,43.50%,G,0.50,G,0.55,G,57.88%,,57.46%,,0:45:06,,0:45:42,,4/34,G,1/34,G
297,,-2.01%,,4.74%,,-2.47%,R,4.00%,R,-4.01%,,-6.59%,R,5.47%,,15.16%,,22,,77,,40.37%,,41.52%,,8,,27,,14.26%,R,23.25%,R,1:06:42,R,1:08:29,R,2267/2577,R,1983/2577,
744,,-5.38%,R,1.82%,,18.01%,,21.83%,,13.88%,,11.84%,,19.44%,,26.36%,,9,,135,G,36.19%,,43.92%,,4,,36,,62.53%,,64.17%,,1:05:41,R,1:08:41,R,1563/2577,,1021/2577,
849,,8.70%,G,10.75%,G,78.42%,G,73.32%,G,60.21%,G,53.44%,G,103.88%,G,89.84%,G,22,,171,G,39.11%,,39.29%,,7,,56,G,27.06%,R,25.91%,R,0:32:57,G,0:31:51,G,31/2577,G,24/2577,G
1103,,-0.03%,,10.55%,G,26.38%,,27.96%,,6.83%,,7.89%,,25.75%,,19.86%,,13,,59,,26.33%,R,25.43%,R,2,,14,,45.48%,,39.07%,,0:26:19,G,0:29:24,G,889/2577,,475/2577,G
1279,,-8.93%,R,-4.40%,R,-19.38%,R,-19.46%,R,-18.08%,R,-20.55%,R,-16.56%,R,-14.11%,R,4,,11,,37.55%,,41.70%,,4,,24,,42.34%,,43.80%,,0:53:59,,0:49:38,,2516/2577,R,2496/2577,R
1837,,-0.39%,,6.28%,,19.21%,,21.77%,,3.69%,,8.02%,,14.43%,,18.42%,,88,G,116,G,46.85%,,48.83%,G,15,G,34,,61.94%,,70.12%,,0:41:38,,0:52:37,,1044/2577,,708/2577,
4298,,-4.99%,R,1.04%,,-17.85%,R,-12.55%,R,-6.88%,,-11.08%,R,-26.47%,R,-10.52%,R,47,G,218,G,31.75%,,36.09%,,34,G,189,G,38.13%,,43.02%,,1:15:57,R,1:08:05,R,2461/2577,R,2349/2577,R
6579,,5.87%,,9.40%,G,25.43%,,14.11%,,15.40%,,-1.13%,,29.43%,,21.99%,,11,,24,,39.31%,,36.19%,,28,G,131,G,29.37%,,32.70%,,0:49:03,,0:50:12,,590/2577,,1174/2577,
Total,B,-1.53%,R,4.31%,,9.10%,R,9.64%,R,6.09%,,2.52%,,6.39%,,10.47%,,0.87,G,0.84,G,37.36%,,39.34%,,0.41,G,0.53,G,39.04%,R,42.00%,,0:50:01,,0:50:03,,329/394,R,288/394,
194,,-4.05%,R,8.77%,,23.81%,,32.59%,G,11.54%,,12.06%,,33.91%,G,49.65%,G,25,,30,,32.25%,,35.35%,,0,R,8,,12.34%,R,11.08%,R,0:52:07,,0:49:37,,1391/2577,,553/2577,
522,,-0.28%,,5.94%,,16.13%,,19.77%,,2.88%,,8.49%,,28.28%,,27.34%,,10,,44,,38.58%,,36.13%,,3,,15,,61.94%,,55.21%,,0:34:05,G,0:36:03,G,1210/2577,,778/2577,
1186,,-2.25%,,6.65%,,17.64%,,30.15%,G,22.70%,G,30.54%,G,12.11%,,23.65%,,8,,23,,42.49%,,46.07%,,3,,27,,18.68%,R,17.40%,R,0:33:35,G,0:34:50,G,1268/2577,,404/2577,G
2439,,0.61%,,4.57%,,4.81%,,13.89%,,-3.88%,,-2.80%,,12.27%,,27.44%,,4,,14,,34.15%,,36.81%,,1,R,8,,40.98%,,44.48%,,1:08:00,R,1:11:16,R,2126/2577,R,1716/2577,
3298,,0.38%,,-0.58%,R,18.27%,,10.51%,,6.52%,,-6.21%,,38.43%,G,35.04%,G,4,,19,,36.79%,,35.90%,,7,,23,,46.82%,,45.30%,,0:56:20,,0:58:07,,1305/2577,,1938/2577,
3500,,-1.84%,,7.03%,,12.83%,,17.39%,,20.37%,G,12.88%,,-14.63%,R,3.97%,,12,,41,,40.50%,,39.56%,,4,,22,,16.13%,R,13.74%,R,0:54:00,,0:52:43,,1818/2577,,1249/2577,
5116,,2.07%,,4.82%,,24.43%,,23.26%,,11.99%,,13.52%,,21.45%,,21.17%,,0,R,7,R,39.80%,,43.88%,,2,,8,,15.42%,R,19.64%,R,0:30:03,G,0:31:53,G,910/2577,,868/2577,
Total,B,-0.95%,R,5.67%,,17.05%,,21.46%,,11.50%,,10.12%,G,13.04%,,23.92%,,0.29,,0.21,R,38.15%,,39.49%,,0.09,R,0.13,,27.63%,R,26.35%,R,0:46:35,,0:46:40,,244/394,,105/394,
462,,0.10%,,4.30%,,12.48%,,14.58%,,6.10%,,5.78%,,18.99%,,22.27%,,5,,24,,38.94%,,47.86%,,2,,12,,28.72%,R,38.17%,,0:36:54,,0:34:17,G,1516/2577,,1185/2577,
504,,4.48%,,7.26%,,23.25%,,20.37%,,16.81%,,9.49%,,24.13%,,30.86%,,99,G,231,G,37.46%,,35.62%,,12,G,22,,8.45%,R,23.44%,R,0:27:27,G,0:30:25,G,510/2577,G,597/2577,
527,,-6.17%,R,1.87%,,-7.80%,R,10.11%,,3.98%,,11.60%,,-34.08%,R,-16.59%,R,25,,108,G,3.39%,R,38.66%,,15,G,44,,0.00%,R,17.09%,R,0:32:30,G,0:35:59,G,2309/2577,R,1662/2577,
529,,-3.47%,R,1.83%,,9.95%,,16.94%,,13.55%,,11.15%,,-7.22%,R,9.68%,,1,R,6,R,35.63%,,36.53%,,0,R,17,,27.25%,R,26.94%,R,0:29:32,G,0:34:47,G,1935/2577,,1445/2577,
808,,1.34%,,4.32%,,14.94%,,13.77%,,12.10%,,2.53%,,14.96%,,22.69%,,0,R,2,R,45.55%,,48.74%,G,0,R,2,R,30.80%,,31.62%,,0:44:59,,0:51:44,,1497/2577,,1611/2577,
1405,,0.89%,,5.65%,,25.29%,,31.60%,G,15.90%,,17.66%,G,31.85%,G,34.94%,G,13,,68,,45.83%,,48.17%,G,3,,10,,52.04%,,59.81%,,0:45:41,,0:42:07,,768/2577,,389/2577,G
5388,,-2.72%,R,6.33%,,10.91%,,13.57%,,5.21%,,7.12%,,-1.02%,,11.10%,,5,,9,R,47.24%,G,43.12%,,3,,10,,40.34%,,34.46%,,0:45:29,,0:48:54,,1856/2577,,1441/2577,
Total,B,-0.77%,R,4.50%,,12.64%,,16.91%,,9.63%,,8.87%,,9.38%,,17.96%,,0.68,,0.53,,40.99%,,43.73%,,0.16,,0.14,,32.11%,R,35.99%,R,0:37:05,G,0:39:00,G,248/394,,149/394,
546,,5.02%,,7.13%,,21.74%,,23.09%,,14.38%,,12.46%,,11.90%,,18.55%,,7,,32,,53.37%,G,49.27%,G,4,,12,,69.12%,,64.66%,,0:43:08,,0:44:28,,728/2577,,637/2577,
872,,-4.51%,R,3.76%,,-6.49%,R,18.53%,,-17.32%,R,-11.41%,R,9.98%,,26.91%,,12,,13,,37.48%,,40.82%,,8,,19,,16.97%,R,22.92%,R,0:54:25,,0:56:01,,2352/2577,R,1541/2577,
915,,-4.76%,R,-3.37%,R,-8.68%,R,9.64%,,22.73%,G,11.97%,,-37.80%,R,-7.17%,R,3,,12,,14.79%,R,30.13%,,0,R,1,R,32.48%,,63.15%,,0:37:47,,0:45:42,,2340/2577,R,2149/2577,R
2505,,-5.72%,R,-1.89%,R,-0.45%,R,5.07%,R,4.75%,,8.21%,,-8.98%,R,3.11%,R,0,R,20,,36.77%,,40.99%,,0,R,10,,30.94%,,35.68%,,0:46:22,,0:45:04,,2387/2577,R,2134/2577,R
2993,,-4.94%,R,2.97%,,-0.03%,R,8.76%,,-4.61%,,6.57%,,5.41%,,16.21%,,90,G,244,G,54.39%,G,60.62%,G,52,G,256,G,90.31%,G,89.76%,G,0:42:59,,0:32:36,G,1854/2577,,1093/2577,
3510,,6.55%,,5.30%,,36.37%,G,27.63%,,12.52%,,16.63%,G,23.64%,,15.48%,,8,,30,,52.71%,G,63.09%,G,2,,24,,25.58%,R,27.35%,R,0:42:43,,0:40:47,,424/2577,G,640/2577,
3572,,3.21%,,9.05%,,5.20%,,20.39%,,0.25%,,8.13%,,26.11%,,55.53%,G,0,R,3,R,14.39%,R,21.85%,R,4,,8,,40.91%,,45.72%,,0:45:11,,0:48:48,,1786/2577,,913/2577,
Total,B,-1.10%,R,3.16%,,4.65%,R,14.47%,,3.13%,,7.34%,,2.16%,R,16.34%,,0.55,,0.42,,40.90%,,45.79%,G,0.32,,0.39,G,49.44%,,54.19%,,0:44:15,,0:43:44,,342/394,R,197/394,
752,,9.14%,G,9.28%,G,14.81%,,-4.28%,R,-17.44%,R,-28.80%,R,21.19%,,8.30%,,5,,43,,30.99%,,24.05%,R,7,,27,,13.11%,R,19.22%,R,1:09:55,R,1:10:44,R,1495/2577,,2150/2577,R
1062,,-2.48%,,2.35%,,26.99%,,14.24%,,26.36%,G,8.39%,,15.97%,,24.14%,,2,,10,,37.92%,,38.55%,,1,R,6,R,6.52%,R,7.59%,R,0:20:27,G,0:19:46,G,995/2577,,1398/2577,
3425,,1.67%,,4.11%,,-4.95%,R,8.56%,,-4.35%,,2.12%,,2.27%,,9.23%,,4,,27,,20.44%,R,20.69%,R,1,R,2,R,15.07%,R,17.88%,R,1:14:56,R,1:15:17,R,2395/2577,R,2162/2577,R
5612,,1.42%,,9.48%,G,-8.40%,R,10.18%,,3.30%,,7.60%,,8.79%,,30.68%,,7,,36,,14.54%,R,18.61%,R,0,R,16,,20.52%,R,33.28%,,0:56:11,,1:01:17,,2286/2577,R,1376/2577,
Total,B,2.55%,,6.43%,,5.58%,R,7.64%,R,3.31%,,-0.76%,,10.81%,,15.83%,,0.15,R,0.24,R,24.81%,R,23.65%,R,0.07,R,0.11,R,14.45%,R,20.70%,R,0:51:12,,0:53:02,,355/394,R,333/394,R
772,,4.73%,,4.61%,,22.02%,,12.59%,,11.53%,,7.46%,,7.69%,,9.64%,,1,R,3,R,41.64%,,37.65%,,13,G,34,,2.61%,R,13.62%,R,0:56:49,,0:52:13,,1164/2577,,1694/2577,
2066,,6.62%,,-0.06%,,16.29%,,12.22%,,19.69%,G,14.22%,,-5.61%,R,-1.46%,R,5,,18,,29.42%,,33.70%,,0,R,2,R,3.29%,R,6.47%,R,0:33:14,G,0:39:52,,1240/2577,,1958/2577,
3296,,-11.12%,R,-1.67%,R,3.16%,,11.64%,,-1.33%,,5.71%,,-10.16%,R,-6.37%,R,20,,103,G,32.45%,,37.52%,,1,R,26,,78.70%,,80.27%,G,0:43:24,,0:46:38,,2257/2577,R,1836/2577,
3302,,-3.56%,R,3.21%,,-19.32%,R,-22.37%,R,-17.21%,R,-12.80%,R,-12.69%,R,-14.06%,R,3,,4,R,14.73%,R,12.97%,R,4,,12,,5.35%,R,4.05%,R,1:05:57,R,1:09:18,R,2553/2577,R,2522/2577,R
Total,B,-1.12%,R,1.77%,R,4.48%,R,3.03%,R,3.11%,,3.92%,,-6.93%,R,-5.41%,R,0.23,,0.27,,27.38%,R,28.10%,R,0.15,,0.15,,20.04%,R,23.06%,R,0:48:50,,0:50:52,,385/394,R,386/394,R
344,,-0.45%,,3.56%,,-7.25%,R,-2.05%,R,-1.67%,,0.92%,,-10.99%,R,-2.88%,R,17,,185,G,64.24%,G,62.79%,G,4,,23,,47.47%,,55.38%,,0:53:11,,0:46:11,,2195/2577,R,1887/2577,
768,,-7.05%,R,-1.91%,R,-2.56%,R,2.15%,R,4.01%,,0.60%,,-19.20%,R,-0.17%,R,2,,3,R,37.57%,,41.89%,,4,,12,,34.62%,,43.63%,,0:59:30,,1:02:51,,2426/2577,R,2380/2577,R
1040,,11.75%,G,15.94%,G,25.26%,,18.32%,,9.76%,,-2.27%,,60.94%,G,56.33%,G,10,,44,,36.41%,,39.32%,,7,,36,,37.22%,,39.00%,,0:48:01,,0:51:30,,458/2577,G,713/2577,
3226,,9.06%,G,6.96%,,11.33%,,9.77%,,7.60%,,2.61%,,15.25%,,21.48%,,9,,72,,33.20%,,33.75%,,5,,28,,30.48%,,41.12%,,0:53:55,,0:44:59,,1265/2577,,1320/2577,
4111,,-2.07%,,4.12%,,15.55%,,18.63%,,7.29%,,12.22%,,16.80%,,24.26%,,1,R,6,R,44.16%,,43.31%,,0,R,6,R,73.43%,,73.19%,,0:45:22,,0:42:24,,1553/2577,,1073/2577,
4512,,1.89%,,3.44%,,14.52%,,12.93%,,-0.17%,,-2.98%,,18.42%,,27.60%,,3,,9,R,36.35%,,35.31%,,4,,18,,39.24%,,45.83%,,1:06:34,R,1:09:55,R,1646/2577,,1795/2577,
5246,,-2.07%,,3.20%,,1.29%,R,-0.47%,R,-6.42%,,-9.12%,R,-3.92%,R,6.73%,,1,R,6,R,50.16%,G,49.61%,G,1,R,8,,49.53%,,47.02%,,0:36:07,,0:40:03,,2137/2577,R,2099/2577,R
Total,B,2.09%,,5.29%,,8.99%,R,9.10%,R,4.13%,,0.51%,,9.63%,,18.48%,,0.20,R,0.39,,40.69%,,41.67%,,0.12,,0.16,,43.44%,,48.50%,,0:53:15,,0:52:57,,327/394,R,289/394,
703,,0.38%,,6.53%,,17.53%,,16.37%,,15.83%,,12.62%,,17.83%,,26.46%,,47,G,132,G,43.09%,,36.81%,,27,G,39,,67.43%,,37.06%,,0:38:50,,0:44:08,,850/2577,,838/2577,
2257,,4.10%,,9.08%,,24.15%,,32.05%,G,7.25%,,15.15%,,27.11%,,34.01%,G,0,R,13,,25.56%,R,29.15%,R,4,,11,,12.57%,R,13.48%,R,0:55:19,,0:50:58,,1196/2577,,628/2577,
3297,,-4.51%,R,-0.67%,R,27.34%,,12.96%,,24.76%,G,7.37%,,-7.44%,R,10.68%,,1,R,20,,33.93%,,32.24%,,4,,13,,71.43%,,44.34%,,0:53:32,,1:02:05,,1432/2577,,1980/2577,
4538,,4.02%,,3.51%,,28.16%,,15.43%,,27.69%,G,10.58%,,19.39%,,18.14%,,0,R,1,R,33.12%,,36.83%,,4,,8,,21.82%,R,17.14%,R,1:12:30,R,0:57:27,,1003/2577,,1673/2577,
5045,,8.79%,G,13.49%,G,8.86%,,11.49%,,9.46%,,8.68%,,4.15%,,6.62%,,7,,11,,26.74%,R,27.92%,R,0,R,3,R,7.64%,R,10.38%,R,0:52:16,,0:52:54,,1622/2577,,1544/2577,
5091,,6.30%,,13.36%,G,13.80%,,16.55%,,2.92%,,-1.75%,,31.50%,G,45.56%,G,1,R,16,,32.85%,,36.11%,,3,,17,,5.81%,R,4.44%,R,0:52:24,,0:56:14,,1385/2577,,1079/2577,
Total,B,3.45%,,7.70%,G,19.07%,,17.30%,,12.76%,G,7.82%,,15.85%,,22.79%,,0.30,,0.27,,31.19%,,32.86%,,0.23,,0.13,,23.94%,R,18.37%,R,0:54:33,,0:54:30,,163/394,,175/394,
1129,,-2.20%,,2.57%,,9.11%,,9.94%,,-2.00%,,-6.99%,R,29.23%,,29.20%,,22,,125,G,41.24%,,41.45%,,21,G,68,G,61.86%,,71.30%,,1:12:29,R,1:11:55,R,1736/2577,,1643/2577,
1253,,-3.03%,R,1.96%,,-3.12%,R,-2.12%,R,-24.04%,R,-23.21%,R,18.85%,,34.50%,G,12,,78,,22.41%,R,22.91%,R,2,,27,,28.45%,R,26.11%,R,1:00:35,,0:57:08,,2374/2577,R,2175/2577,R
2133,,-13.72%,R,0.14%,,-9.09%,R,7.30%,,-23.72%,R,-10.06%,R,10.54%,,34.65%,G,1,R,4,R,46.19%,,41.05%,,0,R,6,R,62.71%,,52.20%,,1:50:17,R,1:43:33,R,2498/2577,R,2178/2577,R
2991,,-7.31%,R,-2.57%,R,-13.30%,R,-4.51%,R,-23.95%,R,-20.90%,R,-9.73%,R,-8.40%,R,1,R,88,,39.48%,,46.16%,,31,G,243,G,21.74%,R,33.41%,,1:01:13,,0:59:35,,2512/2577,R,2389/2577,R
4130,,9.24%,G,18.41%,G,22.61%,,29.75%,,-8.68%,R,-13.30%,R,54.21%,G,67.64%,G,3,,12,,36.97%,,39.79%,,30,G,47,G,81.41%,G,83.16%,G,1:51:41,R,1:52:34,R,841/2577,,580/2577,
4163,,5.70%,,4.04%,,39.40%,G,34.97%,G,16.63%,,9.45%,,29.83%,G,29.54%,,40,G,111,G,83.62%,G,79.84%,G,43,G,143,G,116.38%,G,114.95%,G,0:41:46,,0:36:27,,107/2577,G,258/2577,G
4219,,-1.72%,,-0.41%,R,23.18%,,2.53%,R,-3.39%,,-11.03%,R,7.65%,,1.14%,R,1,R,4,R,41.18%,,38.43%,,4,,30,,54.41%,,50.46%,,1:18:54,R,1:27:42,R,1678/2577,,2412/2577,R
5317,,-16.44%,R,-10.42%,R,-35.04%,R,-36.72%,R,-40.94%,R,-43.35%,R,-27.65%,R,-24.37%,R,1,R,3,R,30.58%,,26.66%,R,2,,14,,39.76%,,42.08%,,1:16:34,R,1:33:13,R,2572/2577,R,2572/2577,R
Total,B,-3.95%,R,1.52%,R,3.39%,R,4.36%,R,-14.56%,R,-16.06%,R,10.63%,,16.07%,,0.33,,0.44,,42.48%,,42.03%,,0.54,G,0.60,G,57.36%,,58.14%,,1:12:17,R,1:14:03,R,379/394,R,364/394,R
77,,2.93%,,9.46%,G,22.96%,,31.89%,G,-0.44%,,13.87%,,24.15%,,31.58%,G,10,,35,,57.23%,G,54.47%,G,4,,15,,64.47%,,54.34%,,0:26:05,G,0:26:52,G,693/2577,,192/2577,G
475,,8.71%,G,19.91%,G,-5.99%,R,44.05%,G,-18.01%,R,6.09%,,62.30%,G,83.21%,G,1,R,11,,20.05%,R,32.64%,,3,,14,,27.63%,R,49.56%,,0:27:04,G,0:31:31,G,1627/2577,,177/2577,G
1185,,12.28%,G,10.84%,G,70.73%,G,67.59%,G,58.88%,G,37.38%,G,80.70%,G,69.36%,G,5,,10,,33.20%,,32.35%,,21,G,46,G,42.33%,,39.25%,,1:21:26,R,1:20:32,R,189/2577,G,304/2577,G
3569,,12.72%,G,13.32%,G,93.48%,G,56.30%,G,77.40%,G,37.24%,G,30.00%,G,19.17%,,6,,59,,29.84%,,35.31%,,6,,24,,58.51%,,55.99%,,0:42:05,,0:55:22,,92/2577,G,232/2577,G
5479,,5.87%,,13.66%,G,31.85%,G,43.59%,G,-4.38%,,6.17%,,60.15%,G,61.55%,G,5,,9,R,42.00%,,44.68%,,4,,21,,48.18%,,61.24%,,1:02:17,R,1:09:22,R,737/2577,,347/2577,G
5480,,19.96%,G,14.93%,G,95.71%,G,52.37%,G,60.98%,G,17.53%,G,106.00%,G,73.60%,G,3,,15,,45.44%,,46.30%,,0,R,5,R,24.47%,R,37.45%,,1:29:40,R,1:35:16,R,236/2577,G,338/2577,G
Total,B,10.36%,G,13.58%,G,42.80%,G,47.14%,G,19.94%,G,18.92%,G,55.12%,G,53.07%,G,0.16,R,0.19,R,39.60%,,42.02%,,0.20,,0.17,,45.27%,,49.85%,,0:55:04,,0:59:03,,22/394,G,27/394,G
330,,-10.64%,R,-2.22%,R,-20.49%,R,1.18%,R,-36.23%,R,-9.57%,R,2.86%,,10.49%,,2,,19,,31.48%,,36.06%,,1,R,4,R,17.59%,R,16.11%,R,0:46:27,,0:39:53,,2526/2577,R,2348/2577,R
385,,7.12%,,10.57%,G,1.71%,R,-1.07%,R,-29.41%,R,-26.35%,R,14.08%,,22.75%,,1,R,8,R,47.53%,G,33.48%,,0,R,7,,48.15%,,50.57%,,0:28:14,G,0:36:21,,1606/2577,,1723/2577,
437,,2.20%,,5.10%,,-7.03%,R,13.89%,,11.28%,,10.44%,,23.42%,,21.60%,,0,R,1,R,22.10%,R,32.08%,,0,R,8,,16.29%,R,29.64%,R,0:44:56,,0:42:30,,2050/2577,,1439/2577,
463,,8.10%,,5.27%,,6.55%,,5.70%,,-1.14%,,3.04%,,23.67%,,16.51%,,8,,14,,34.12%,,36.84%,,2,,8,,23.59%,R,20.36%,R,0:34:48,G,0:39:22,,1345/2577,,1768/2577,
1098,,-2.84%,R,-3.01%,R,11.77%,,5.93%,,2.85%,,-2.43%,,-11.86%,R,-6.44%,R,33,G,90,,60.55%,G,58.67%,G,9,,17,,65.75%,,55.93%,,0:57:47,,0:56:34,,1802/2577,,2176/2577,R
4194,,2.40%,,4.58%,,27.69%,,24.65%,,19.64%,G,9.44%,,22.46%,,53.56%,G,14,,30,,27.22%,R,27.10%,R,1,R,8,,39.05%,,38.47%,,0:38:01,,0:40:56,,761/2577,,850/2577,
Total,B,0.01%,,2.48%,,3.25%,R,8.39%,R,-3.97%,R,-1.03%,,12.83%,,15.56%,,0.31,,0.23,R,35.97%,,37.83%,,0.07,R,0.07,R,31.51%,R,31.95%,R,0:43:06,,0:43:25,,364/394,R,349/394,R
321,,1.11%,,9.15%,,35.82%,G,29.79%,,28.12%,G,14.76%,,11.54%,,19.27%,,17,,54,,36.05%,,39.53%,,0,R,1,R,42.95%,,47.61%,,0:46:19,,0:46:55,,796/2577,,566/2577,
322,,-5.27%,R,4.07%,,0.02%,R,4.70%,R,-3.26%,,-2.94%,,-16.30%,R,6.56%,,6,,9,R,27.59%,R,33.15%,,2,,5,R,38.34%,,37.23%,,0:37:10,,0:39:45,,2319/2577,R,2057/2577,
473,,1.62%,,5.83%,,-6.76%,R,7.90%,,10.97%,,11.74%,,-12.00%,R,2.25%,R,1,R,36,,27.73%,,34.30%,,1,R,4,R,59.55%,,61.53%,,0:34:47,G,0:34:14,G,2067/2577,R,1521/2577,
