State,Store ID,CBSA,Type,Address,Zip Code,City
NC,1662,"Charlotte-Concord-Gastonia, NC-SC",SUP,1116 Crossroads Dr,28625-8277,Statesville
NC,1666,"Charlotte-Concord-Gastonia, NC-SC",SUP,3850 E Independence Blvd,28205-7305,Charlotte
IL,1668,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,6590 Grand Ave,60031-1621,Gurnee
NE,1671,"Omaha-Council Bluffs, NE-IA",SUP,8525 S 71st Plz,68133-2100,Papillion
IL,1681,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,930 Mount Prospect Plz,60056-2652,Mount Prospect
VA,1682,"Virginia Beach-Norfolk-Newport News, VA-NC",SUP,2448 Chesapeake Square Ring Rd,23321-2173,Chesapeake
UT,1686,"Salt Lake City, UT",SUP,5469 S Redwood Rd,84123-5318,Taylorsville
VA,1688,"Virginia Beach-Norfolk-Newport News, VA-NC",SUP,657 Phoenix Dr,23452-7318,Virginia Beach
CO,1689,"Denver-Aurora-Lakewood, CO",SUP,5650 S Chambers Rd,80015-1132,AURORA (S)
AL,1711,"Birmingham-Hoover, AL",SUP,1600 Montclair Rd,35210-2410,Birmingham
FL,1712,"Tampa-St. Petersburg-Clearwater, FL",SUP,990 Missouri Ave N,33770-1812,Largo
GA,1720,"Atlanta-Sandy Springs-Roswell, GA",SUP,1550 Scenic Hwy N,30078-2130,Snellville
IN,1728,"Indianapolis-Carmel-Anderson, IN",SUP,2321 Charles St,46013-2762,Anderson
IL,1735,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,1455 E Lake Cook Rd,60090-2247,Wheeling
IL,1737,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,900 South Route 83,60181-0000,Villa Park
PA,1739,"Pittsburgh, PA",SUP,30 Trinity Point Dr,15301-2974,Washington
AZ,1746,"Phoenix-Mesa-Scottsdale, AZ",SUP,1380 W Elliot Rd,85284-1102,Tempe
CA,1760,"Sacramento--Roseville--Arden-Arcade, CA",SUP,1018 Riley St,95630-3268,Folsom
IL,1761,"St. Louis, MO-IL",SUP,379 W Pontoon Rd,62040-6848,Granite City
PA,1770,"Pittsburgh, PA",SUP,20245 Route 19,16066-6101,Cranberry Township
VA,1773,"Virginia Beach-Norfolk-Newport News, VA-NC",SUP,12401 Jefferson Ave,23602-4311,Newport News
TX,1800,"Dallas-Fort Worth-Arlington, TX",SUP,1801 Marketplace Dr,75041-5605,Garland
TX,1801,"Dallas-Fort Worth-Arlington, TX",SUP,4801 S Cooper St,76017-5928,Arlington
NY,1810,"New York-Newark-Jersey City, NY-NJ-PA",SUP,26 W Merritt Blvd,12524-2243,Fishkill
VA,1811,"Virginia Beach-Norfolk-Newport News, VA-NC",SUP,1170 N Military Hwy,23502-2425,Norfolk
IL,1814,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,1100 S Randall Rd,60123-4109,Elgin
VA,1825,"Washington-Arlington-Alexandria, DC-VA-MD-WV",SUP,8386 Sudley Rd,20109-3428,Manassas
VA,1833,"Washington-Arlington-Alexandria, DC-VA-MD-WV",SUP,1800 Carl D Silver Pkwy,22401-4960,Fredericksburg
TX,1837,"Houston-The Woodlands-Sugar Land, TX",SUP,9451 Fm 1960 Bypass,77338-4035,Humble
VA,1841,"Virginia Beach-Norfolk-Newport News, VA-NC",SUP,1521 Sams Cir,23320-4694,Chesapeake
FL,1845,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,4700 S Flamingo Rd,33330-2300,Cooper City
IL,1848,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,3s100 Route 53,60137-7394,Glen Ellyn
FL,1851,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,7900 W Mcnab Rd,33068-4303,North Lauderdale
VA,1852,"Washington-Arlington-Alexandria, DC-VA-MD-WV",SUP,14000 Worth Ave,22192-4121,Woodbridge
CA,1881,"Sacramento--Roseville--Arden-Arcade, CA",SUP,7901 Watt Ave,95843-2025,Antelope
PA,1883,"Pittsburgh, PA",SUP,3942 Brodhead Rd,15061-3028,Monaca
PA,1885,"Pittsburgh, PA",SUP,400 Butler Cmns,16001-2496,Butler
IL,1892,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,9450 Joliet Rd,60525-4156,Hodgkins
CO,1896,"Colorado Springs, CO",SUP,8250 Razorback Rd,80920-3950,Colorado Springs
IL,1897,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,801 Meacham Rd,60007-3073,Elk Grove Village
IL,1898,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,150 Smith Rd,60174-5203,Saint Charles
VA,1904,"Washington-Arlington-Alexandria, DC-VA-MD-WV",SUP,19360 Compass Creek Pkwy,20175-0000,Leesburg
FL,1916,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,5571 W Hillsboro Blvd,33073-4376,Coconut Creek
IL,1938,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,7050 S Cicero Ave,60638-6402,Bedford Park
CA,1941,"Los Angeles-Long Beach-Anaheim, CA",SUP,1950 Auto Center Drive,91740-6700,Glendora
NY,1959,"New York-Newark-Jersey City, NY-NJ-PA",SUP,470 Route 211 E,10940-2245,Middletown
FL,1960,"Tampa-St. Petersburg-Clearwater, FL",SUP,1505 N Dale Mabry Hwy,33607-2552,Tampa
IA,1965,"Omaha-Council Bluffs, NE-IA",SUP,3201 Manawa Centre Dr,51501-7672,Council Bluffs
VA,1969,"Richmond, VA",SUP,900 Walmart Way,23113-2600,Midlothian
NJ,1977,"New York-Newark-Jersey City, NY-NJ-PA",SUP,1872 Route 88,08724-3535,Brick
CA,1988,"Sacramento--Roseville--Arden-Arcade, CA",SUP,900 Pleasant Grove Blvd,95678-6126,Roseville
