Store,Day of Week,Date,8 am -12 pm Dispense,12 pm - 4 pm Dispense,4 pm - 8 pm Dispense,10 pm-7 am Pick & Stage
75,Wednesday,11/8/2023,0,0,0,2
75,Thursday,11/9/2023,3,3,1,2
75,Friday,11/10/2023,1,1,1,0
75,Saturday,11/11/2023,1,1,1,0
75,Sunday,11/12/2023,1,1,1,0
75,Monday,11/13/2023,1,1,1,0
76,Wednesday,11/8/2023,0,0,0,1
76,Thursday,11/9/2023,1,1,1,1
76,Friday,11/10/2023,1,1,1,0
76,Saturday,11/11/2023,1,1,1,0
76,Sunday,11/12/2023,1,1,1,0
76,Monday,11/13/2023,1,1,1,0
77,Wednesday,11/8/2023,0,0,0,2
77,Thursday,11/9/2023,3,3,1,2
77,Friday,11/10/2023,1,1,1,0
77,Saturday,11/11/2023,1,1,1,0
77,Sunday,11/12/2023,1,1,1,0
77,Monday,11/13/2023,1,1,1,0
78,Wednesday,11/8/2023,0,0,0,2
78,Thursday,11/9/2023,1,1,1,2
78,Friday,11/10/2023,1,1,1,0
78,Saturday,11/11/2023,1,1,1,0
78,Sunday,11/12/2023,1,1,1,0
78,Monday,11/13/2023,1,1,1,0
79,Wednesday,11/8/2023,0,0,0,3
79,Thursday,11/9/2023,3,3,1,3
79,Friday,11/10/2023,1,1,1,0
79,Saturday,11/11/2023,1,1,1,0
79,Sunday,11/12/2023,1,1,1,0
79,Monday,11/13/2023,1,1,1,0
80,Wednesday,11/8/2023,0,0,0,2
80,Thursday,11/9/2023,3,3,1,2
80,Friday,11/10/2023,1,1,1,0
80,Saturday,11/11/2023,1,1,1,0
80,Sunday,11/12/2023,1,1,1,0
80,Monday,11/13/2023,1,1,1,0
81,Wednesday,11/8/2023,0,0,0,2
81,Thursday,11/9/2023,1,1,1,2
81,Friday,11/10/2023,1,1,1,0
81,Saturday,11/11/2023,1,1,1,0
81,Sunday,11/12/2023,1,1,1,0
81,Monday,11/13/2023,1,1,1,0
82,Wednesday,11/8/2023,0,0,0,1
82,Thursday,11/9/2023,1,1,1,1
82,Friday,11/10/2023,1,1,1,0
82,Saturday,11/11/2023,1,1,1,0
82,Sunday,11/12/2023,1,1,1,0
82,Monday,11/13/2023,1,1,1,0
83,Wednesday,11/8/2023,0,0,0,2
83,Thursday,11/9/2023,3,3,1,2
83,Friday,11/10/2023,1,1,1,0
83,Saturday,11/11/2023,1,1,1,0
83,Sunday,11/12/2023,1,1,1,0
83,Monday,11/13/2023,1,1,1,0
85,Wednesday,11/8/2023,0,0,0,3
85,Thursday,11/9/2023,3,3,1,3
85,Friday,11/10/2023,1,1,1,0
85,Saturday,11/11/2023,1,1,1,0
85,Sunday,11/12/2023,1,1,1,0
85,Monday,11/13/2023,1,1,1,0
86,Wednesday,11/8/2023,0,0,0,2
86,Thursday,11/9/2023,3,3,1,2
86,Friday,11/10/2023,1,1,1,0
86,Saturday,11/11/2023,1,1,1,0
86,Sunday,11/12/2023,1,1,1,0
86,Monday,11/13/2023,1,1,1,0
87,Wednesday,11/8/2023,0,0,0,3
87,Thursday,11/9/2023,1,1,1,3
87,Friday,11/10/2023,1,1,1,0
87,Saturday,11/11/2023,1,1,1,0
87,Sunday,11/12/2023,1,1,1,0
87,Monday,11/13/2023,1,1,1,0
88,Wednesday,11/8/2023,0,0,0,2
88,Thursday,11/9/2023,1,1,1,2
88,Friday,11/10/2023,1,1,1,0
88,Saturday,11/11/2023,1,1,1,0
88,Sunday,11/12/2023,1,1,1,0
88,Monday,11/13/2023,1,1,1,0
89,Wednesday,11/8/2023,0,0,0,2
89,Thursday,11/9/2023,3,3,1,2
89,Friday,11/10/2023,1,1,1,0
89,Saturday,11/11/2023,1,1,1,0
89,Sunday,11/12/2023,1,1,1,0
