Store,Dept,Inventory Dollars,Format
104,94,"$24,893.76",WM Supercenter
104,98,"$18,877.61",WM Supercenter
105,80,"$9,899.25",WM Supercenter
105,93,"$84,865.28",WM Supercenter
105,94,"$30,716.48",WM Supercenter
105,98,"$22,085.40",WM Supercenter
106,80,"$10,011.10",WM Supercenter
106,93,"$43,258.73",WM Supercenter
106,94,"$16,965.77",WM Supercenter
106,98,"$7,417.38",WM Supercenter
107,80,"$13,463.34",WM Supercenter
107,93,"$60,263.18",WM Supercenter
107,94,"$29,504.51",WM Supercenter
107,98,"$20,254.14",WM Supercenter
108,80,"$11,982.06",WM Supercenter
108,93,"$65,944.08",WM Supercenter
108,94,"$28,390.01",WM Supercenter
108,98,"$22,342.48",WM Supercenter
109,80,"$11,358.57",WM Supercenter
109,93,"$44,434.83",WM Supercenter
109,94,"$21,573.55",WM Supercenter
109,98,"$5,377.40",WM Supercenter
110,80,"$14,552.69",WM Supercenter
110,93,"$90,191.86",WM Supercenter
110,94,"$40,942.39",WM Supercenter
110,98,"$27,680.54",WM Supercenter
111,80,"$14,497.08",WM Supercenter
111,93,"$57,836.73",WM Supercenter
111,94,"$31,719.45",WM Supercenter
111,98,"$19,066.03",WM Supercenter
112,80,"$15,123.40",WM Supercenter
112,93,"$64,294.17",WM Supercenter
112,94,"$25,616.76",WM Supercenter
112,98,"$21,998.53",WM Supercenter
113,80,"$24,088.25",WM Supercenter
113,93,"$73,739.59",WM Supercenter
113,94,"$30,148.89",WM Supercenter
113,98,"$32,972.71",WM Supercenter
114,80,"$17,258.42",WM Supercenter
114,93,"$54,731.12",WM Supercenter
114,94,"$21,790.91",WM Supercenter
114,98,"$20,009.70",WM Supercenter
115,80,"$10,367.52",WM Supercenter
115,93,"$51,745.25",WM Supercenter
115,94,"$21,820.45",WM Supercenter
115,98,"$15,199.38",WM Supercenter
118,80,"$9,611.59",WM Supercenter
118,93,"$54,144.89",WM Supercenter
118,94,"$25,952.38",WM Supercenter
118,98,"$19,317.45",WM Supercenter
119,80,"$18,267.84",WM Supercenter
119,93,"$62,792.09",WM Supercenter
119,94,"$25,902.72",WM Supercenter
119,98,"$24,363.91",WM Supercenter
120,80,"$11,201.25",WM Supercenter
120,93,"$70,465.00",WM Supercenter
120,94,"$28,445.21",WM Supercenter
120,98,"$17,150.18",WM Supercenter
121,80,"$18,497.03",WM Supercenter
121,93,"$84,105.16",WM Supercenter
121,94,"$34,544.54",WM Supercenter
121,98,"$24,239.76",WM Supercenter
122,80,"$2,533.53",WM Supercenter
122,93,"$40,037.46",WM Supercenter
122,94,"$19,883.91",WM Supercenter
122,98,"$11,162.19",WM Supercenter
123,80,"$14,378.41",WM Supercenter
123,93,"$60,781.94",WM Supercenter
123,94,"$23,618.36",WM Supercenter
123,98,"$5,174.07",WM Supercenter
124,80,"$22,208.80",WM Supercenter
124,93,"$77,925.19",WM Supercenter
124,94,"$30,709.57",WM Supercenter
124,98,"$18,267.28",WM Supercenter
125,80,"$13,748.19",WM Supercenter
125,93,"$110,484.99",WM Supercenter
125,94,"$46,654.46",WM Supercenter
125,98,"$25,674.38",WM Supercenter
126,80,"$13,333.72",WM Supercenter
126,93,"$59,930.18",WM Supercenter
126,94,"$24,474.76",WM Supercenter
126,98,"$18,392.06",WM Supercenter
127,80,"$18,693.79",WM Supercenter
127,93,"$52,590.31",WM Supercenter
127,94,"$29,787.41",WM Supercenter
127,98,"$18,754.06",WM Supercenter
128,80,"$10,084.33",WM Supercenter
128,93,"$51,492.37",WM Supercenter
128,94,"$19,040.05",WM Supercenter
128,98,"$19,474.83",WM Supercenter
129,80,"$21,486.35",WM Supercenter
129,93,"$91,393.44",WM Supercenter
129,94,"$30,608.00",WM Supercenter
129,98,"$26,400.37",WM Supercenter
130,80,"$19,136.73",WM Supercenter
130,93,"$112,552.16",WM Supercenter
130,94,"$39,774.49",WM Supercenter
130,98,"$25,387.52",WM Supercenter
131,80,"$16,298.43",WM Supercenter
131,93,"$68,234.69",WM Supercenter
131,94,"$36,830.05",WM Supercenter
131,98,"$19,446.40",WM Supercenter
132,80,"$7,945.55",WM Supercenter
132,93,"$45,608.82",WM Supercenter
132,94,"$18,117.38",WM Supercenter
132,98,"$12,150.15",WM Supercenter
133,80,"$11,917.79",WM Supercenter
133,93,"$38,875.05",WM Supercenter
133,94,"$16,876.09",WM Supercenter
133,98,"$7,662.90",WM Supercenter
134,80,"$14,378.63",WM Supercenter
134,93,"$93,010.34",WM Supercenter
134,94,"$35,111.19",WM Supercenter
134,98,"$18,707.96",WM Supercenter
135,80,"$10,360.92",WM Supercenter
135,93,"$52,099.74",WM Supercenter
135,94,"$22,079.96",WM Supercenter
135,98,"$18,579.29",WM Supercenter
137,80,"$14,228.57",WM Supercenter
137,93,"$73,975.64",WM Supercenter
137,94,"$37,143.89",WM Supercenter
137,98,"$23,345.12",WM Supercenter
138,80,"$14,770.41",WM Supercenter
138,93,"$67,459.47",WM Supercenter
138,94,"$27,686.34",WM Supercenter
138,98,"$22,518.64",WM Supercenter
139,80,"$16,311.80",WM Supercenter
139,93,"$50,172.80",WM Supercenter
139,94,"$22,246.50",WM Supercenter
139,98,"$19,007.08",WM Supercenter
140,80,"$10,149.27",WM Supercenter
140,93,"$101,532.09",WM Supercenter
140,94,"$37,902.16",WM Supercenter
140,98,"$23,537.47",WM Supercenter
141,80,"$13,075.95",WM Supercenter
141,93,"$91,675.83",WM Supercenter
141,94,"$50,353.48",WM Supercenter
141,98,"$23,402.34",WM Supercenter
143,80,"$18,753.43",WM Supercenter
143,93,"$60,865.26",WM Supercenter
143,94,"$26,859.35",WM Supercenter
143,98,"$21,521.82",WM Supercenter
144,80,"$14,777.58",WM Supercenter
144,93,"$78,387.52",WM Supercenter
144,94,"$36,222.52",WM Supercenter
144,98,"$30,050.42",WM Supercenter
145,80,"$7,110.80",WM Supercenter
145,93,"$48,142.93",WM Supercenter
145,94,"$17,849.32",WM Supercenter
145,98,"$14,252.01",WM Supercenter
146,80,"$13,948.57",WM Supercenter
146,93,"$62,666.79",WM Supercenter
146,94,"$34,791.31",WM Supercenter
146,98,"$9,145.03",WM Supercenter
147,80,"$12,867.48",WM Supercenter
147,93,"$77,349.62",WM Supercenter
147,94,"$28,121.38",WM Supercenter
147,98,"$22,962.64",WM Supercenter
148,80,"$5,884.16",WM Supercenter
148,93,"$86,100.12",WM Supercenter
148,94,"$42,316.58",WM Supercenter
148,98,"$22,986.63",WM Supercenter
149,80,"$10,676.88",WM Supercenter
149,93,"$46,924.34",WM Supercenter
149,94,"$20,871.28",WM Supercenter
149,98,"$8,123.02",WM Supercenter
150,80,"$16,358.80",WM Supercenter
150,93,"$64,639.80",WM Supercenter
150,94,"$28,789.78",WM Supercenter
150,98,"$24,366.68",WM Supercenter
151,80,"$14,793.25",WM Supercenter
151,93,"$107,446.24",WM Supercenter
151,94,"$48,975.71",WM Supercenter
151,98,"$28,710.52",WM Supercenter
152,80,"$18,289.45",WM Supercenter
152,93,"$55,077.87",WM Supercenter
152,94,"$26,993.17",WM Supercenter
152,98,"$24,183.33",WM Supercenter
153,80,"$11,193.91",WM Supercenter
153,93,"$52,220.81",WM Supercenter
153,94,"$21,496.91",WM Supercenter
153,98,"$9,648.65",WM Supercenter
154,80,"$16,487.35",WM Supercenter
154,93,"$60,536.18",WM Supercenter
154,94,"$29,957.67",WM Supercenter
154,98,"$22,455.48",WM Supercenter
155,80,"$21,056.16",WM Supercenter
155,93,"$81,932.49",WM Supercenter
155,94,"$28,595.75",WM Supercenter
155,98,"$22,839.79",WM Supercenter
157,80,"$20,499.06",WM Supercenter
157,93,"$84,375.57",WM Supercenter
157,94,"$38,448.34",WM Supercenter
157,98,"$26,474.25",WM Supercenter
158,80,"$11,805.96",WM Supercenter
158,93,"$46,728.79",WM Supercenter
158,94,"$22,836.30",WM Supercenter
158,98,"$11,591.54",WM Supercenter
159,80,"$16,544.14",WM Supercenter
159,93,"$72,646.38",WM Supercenter
159,94,"$37,870.49",WM Supercenter
159,98,"$21,918.00",WM Supercenter
160,80,"$2,463.01",WM Supercenter
160,93,"$55,870.70",WM Supercenter
160,94,"$19,243.40",WM Supercenter
160,98,"$10,167.87",WM Supercenter
161,80,"$8,954.70",WM Supercenter
161,93,"$44,044.26",WM Supercenter
161,94,"$25,934.69",WM Supercenter
161,98,"$6,818.57",WM Supercenter
162,80,"$14,351.35",WM Supercenter
162,93,"$43,989.00",WM Supercenter
162,94,"$16,927.53",WM Supercenter
162,98,"$6,302.99",WM Supercenter
163,80,"$11,944.80",WM Supercenter
163,93,"$81,774.23",WM Supercenter
163,94,"$33,967.23",WM Supercenter
163,98,"$25,642.88",WM Supercenter
164,80,"$14,189.57",WM Supercenter
164,93,"$54,741.89",WM Supercenter
164,94,"$26,048.55",WM Supercenter
164,98,"$18,627.37",WM Supercenter
165,80,"$10,727.53",WM Supercenter
165,93,"$54,006.22",WM Supercenter
165,94,"$14,665.61",WM Supercenter
165,98,"$23,444.29",WM Supercenter
166,80,"$7,350.43",WM Supercenter
166,93,"$34,300.29",WM Supercenter
166,94,"$18,260.32",WM Supercenter
166,98,"$6,851.24",WM Supercenter
167,80,"$23,641.28",WM Supercenter
167,93,"$52,246.61",WM Supercenter
167,94,"$20,624.39",WM Supercenter
167,98,"$22,043.82",WM Supercenter
168,80,"$14,394.74",WM Supercenter
168,93,"$95,690.98",WM Supercenter
168,94,"$41,287.52",WM Supercenter
168,98,"$24,256.64",WM Supercenter
169,80,"$13,255.72",WM Supercenter
169,93,"$57,475.98",WM Supercenter
169,94,"$24,897.38",WM Supercenter
169,98,"$12,424.52",WM Supercenter
170,80,"$6,816.11",WM Supercenter
170,93,"$77,450.82",WM Supercenter
170,94,"$27,309.10",WM Supercenter
170,98,"$19,201.21",WM Supercenter
171,80,"$17,283.16",WM Supercenter
171,93,"$60,738.89",WM Supercenter
171,94,"$23,513.21",WM Supercenter
171,98,"$18,144.92",WM Supercenter
172,80,"$21,977.72",WM Supercenter
172,93,"$66,948.38",WM Supercenter
172,94,"$35,128.77",WM Supercenter
172,98,"$25,586.84",WM Supercenter
173,80,"$13,226.32",WM Supercenter
173,93,"$44,183.71",WM Supercenter
173,94,"$23,682.22",WM Supercenter
173,98,"$7,152.00",WM Supercenter
174,80,"$26,421.46",WM Supercenter
174,93,"$70,983.45",WM Supercenter
174,94,"$28,560.77",WM Supercenter
174,98,"$21,589.68",WM Supercenter
175,80,"$23,085.36",WM Supercenter
175,93,"$72,401.49",WM Supercenter
175,94,"$36,207.31",WM Supercenter
175,98,"$21,805.04",WM Supercenter
177,80,"$12,527.74",WM Supercenter
177,93,"$65,980.23",WM Supercenter
177,94,"$30,813.83",WM Supercenter
177,98,"$23,582.27",WM Supercenter
178,80,"$9,970.06",WM Supercenter
178,93,"$33,850.37",WM Supercenter
178,94,"$14,597.15",WM Supercenter
178,98,"$4,250.16",WM Supercenter
179,80,"$11,109.50",WM Supercenter
179,93,"$58,326.11",WM Supercenter
179,94,"$28,071.81",WM Supercenter
179,98,"$21,949.80",WM Supercenter
180,80,"$16,309.81",WM Supercenter
180,93,"$67,507.26",WM Supercenter
180,94,"$32,459.28",WM Supercenter
180,98,"$21,090.41",WM Supercenter
181,80,"$11,114.53",WM Supercenter
181,93,"$52,975.22",WM Supercenter
181,94,"$31,889.92",WM Supercenter
181,98,"$14,837.01",WM Supercenter
182,80,"$14,753.62",WM Supercenter
182,93,"$122,140.36",WM Supercenter
182,94,"$36,091.59",WM Supercenter
182,98,"$24,451.65",WM Supercenter
