Store Number,Holiday ,Additional Pallets
1303,4th of July,2
1303,Memorial Day,2
1306,4th of July,3
1306,Memorial Day,3
1308,4th of July,2
1308,Memorial Day,2
1309,4th of July,1
1309,Memorial Day,1
1311,4th of July,2
1313,4th of July,2
1315,4th of July,2
1315,Memorial Day,2
1321,4th of July,2
1322,4th of July,2
1324,4th of July,2
1324,Memorial Day,2
1325,4th of July,2
1326,4th of July,2
1326,Memorial Day,2
1328,4th of July,3
1328,Memorial Day,3
1332,4th of July,2
1332,Memorial Day,2
1334,4th of July,2
1334,Memorial Day,2
1335,4th of July,2
1335,Memorial Day,2
1337,4th of July,2
1338,4th of July,1
1338,Memorial Day,1
1342,4th of July,2
1342,Memorial Day,2
1344,4th of July,2
1346,4th of July,2
1346,Memorial Day,2
1347,4th of July,2
1348,4th of July,3
1348,Memorial Day,3
1349,4th of July,1
1349,Memorial Day,1
1350,4th of July,2
1352,4th of July,2
1353,4th of July,2
1354,4th of July,2
1355,4th of July,2
1355,Memorial Day,2
1357,4th of July,2
1357,Memorial Day,2
1359,4th of July,2
1361,4th of July,2
1361,Memorial Day,2
1362,4th of July,3
1362,Memorial Day,3
1363,4th of July,1
1363,Memorial Day,1
1364,4th of July,3
1364,Memorial Day,3
1370,4th of July,3
1370,Memorial Day,3
1372,4th of July,2
1375,4th of July,2
1375,Memorial Day,2
1379,4th of July,2
1380,4th of July,2
1380,Memorial Day,2
1381,4th of July,3
1381,Memorial Day,3
1383,4th of July,2
1383,Memorial Day,2
1384,4th of July,2
1384,Memorial Day,2
1385,4th of July,2
1387,4th of July,1
1387,Memorial Day,1
1390,4th of July,2
1390,Memorial Day,2
1391,4th of July,2
1391,Memorial Day,2
1392,4th of July,2
1392,Memorial Day,2
1397,4th of July,2
1397,Memorial Day,2
1398,4th of July,1
1398,Memorial Day,1
1399,4th of July,2
1399,Memorial Day,2
1405,4th of July,2
1406,4th of July,2
1406,Memorial Day,2
1409,4th of July,2
1411,4th of July,3
1411,Memorial Day,3
1412,4th of July,3
1412,Memorial Day,3
1414,4th of July,2
1414,Memorial Day,2
1415,4th of July,2
1415,Memorial Day,2
1417,4th of July,3
1417,Memorial Day,3
1424,4th of July,2
1434,4th of July,2
1434,Memorial Day,2
1436,4th of July,2
1436,Memorial Day,2
1440,4th of July,3
1440,Memorial Day,3
1442,4th of July,3
1442,Memorial Day,3
1444,4th of July,1
1444,Memorial Day,1
1452,4th of July,2
1455,4th of July,2
1456,4th of July,3
1456,Memorial Day,3
1460,4th of July,3
1460,Memorial Day,3
1461,4th of July,2
1461,Memorial Day,2
1464,4th of July,1
1464,Memorial Day,1
1465,4th of July,1
1465,Memorial Day,1
1470,4th of July,2
1470,Memorial Day,2
1474,4th of July,3
1474,Memorial Day,3
1483,4th of July,3
1483,Memorial Day,3
1485,4th of July,3
1485,Memorial Day,3
1486,4th of July,1
1486,Memorial Day,1
1492,4th of July,2
1494,4th of July,2
1494,Memorial Day,2
1498,4th of July,2
1500,4th of July,2
1500,Memorial Day,2
1501,4th of July,2
1511,4th of July,2
1511,Memorial Day,2
1512,4th of July,2
1512,Memorial Day,2
1513,4th of July,1
1513,Memorial Day,1
1516,4th of July,1
1516,Memorial Day,1
1517,4th of July,1
1517,Memorial Day,1
1520,4th of July,1
1520,Memorial Day,1
1523,4th of July,1
1523,Memorial Day,1
1526,4th of July,2
1526,Memorial Day,2
1527,4th of July,2
1532,4th of July,3
1532,Memorial Day,3
1533,4th of July,3
1533,Memorial Day,3
1534,4th of July,2
1534,Memorial Day,2
1535,4th of July,2
1535,Memorial Day,2
1536,4th of July,2
1536,Memorial Day,2
1538,4th of July,2
1538,Memorial Day,2
1541,4th of July,1
1541,Memorial Day,1
1543,4th of July,2
1543,Memorial Day,2
1545,4th of July,1
1545,Memorial Day,1
1549,4th of July,3
1549,Memorial Day,3
1550,4th of July,2
1552,4th of July,2
1554,4th of July,4
1554,Memorial Day,4
1555,4th of July,4
1555,Memorial Day,4
