Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
49,5,3432,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202344,58.70%,67.30%,31,58.80%,62.10%,40.90%,70.70%
55,5,286,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202344,79.60%,77.70%,13.9,75.80%,76.80%,87.00%,79.60%
51,5,3406,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202344,88.80%,98.80%,10.3,87.30%,89.30%,89.30%,89.40%
583,5,8930,,Scheduled Delivery Standard,9,Executive Review,Degrading,Store Focus,202344,82.90%,94.80%,16.7,79.40%,87.00%,83.20%,82.90%
48,5,590,,Scheduled Delivery Standard,13,Executive Review,Degrading,Store Focus,202344,78.80%,84.80%,19.6,67.50%,78.40%,86.30%,82.90%
50,5,2649,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202344,70.30%,81.70%,24.8,59.50%,64.20%,73.90%,82.30%
81,7,813,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202344,87.30%,75.00%,12.4,94.20%,66.30%,87.60%,93.10%
479,5,2980,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202344,91.00%,93.20%,15.7,91.60%,94.80%,93.90%,85.60%
344,44,221,,Scheduled Delivery Standard,2,Active Monitoring,Recovering,Store Focus,202344,80.70%,85.50%,21.1,92.50%,83.10%,78.10%,70.20%
352,44,1626,,Scheduled Delivery Standard,29,Executive Review,Recovering,Store Focus,202344,88.00%,90.70%,14.6,91.30%,87.30%,84.50%,89.20%
352,44,2803,,Scheduled Delivery Standard,11,At Risk,Recovering,Store Focus,202344,88.30%,88.80%,14.9,90.60%,79.30%,87.50%,94.90%
47,44,427,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202344,85.60%,87.20%,12,86.10%,83.70%,86.50%,85.60%
