Store Number,Link,Number of Scales,Tracking for Scales Shipment,Power/Data Install Date,Power/Data Install Vendor,Scale Install Date,Scale Install Vendor,Floorplan,Give Feedback
1329,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1329_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/5/2023,Wachter,10/13/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1330,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1330_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/4/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1331,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1331_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/14/2023,Telaid,8/31/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1332,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1332_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/11/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1333,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1333_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/4/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1334,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1334_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/31/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1335,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1335_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/13/2023,Wachter,8/21/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1337,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1337_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/21/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1338,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1338_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/30/2023,Wachter,8/11/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1339,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1339_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/6/2023,Wachter,10/25/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1340,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1340_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/14/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1341,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1341_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,6/29/2023,Wachter,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1342,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1342_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/11/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1344,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1344_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,#N/A,,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1345,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1345_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/17/2023,Wachter,8/3/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1346,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1346_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/21/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1347,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1347_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,12/28/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1348,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1348_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,10/29/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1349,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1349_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/10/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1350,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1350_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/31/2023,Wachter,8/7/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1351,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1351_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/20/2023,Wachter,9/29/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1352,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1352_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/18/2023,Wachter,10/17/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1353,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1353_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,9/7/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1354,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1354_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,#N/A,,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1355,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1355_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,781144333542; 781144334480; 781144335203; 781144336070,6/26/2023,Wachter,7/25/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1356,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1356_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/29/2023,Wachter,9/8/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1357,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1357_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/27/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1358,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1358_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/6/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1359,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1359_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/22/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1360,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1360_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/19/2023,Wachter,9/28/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1361,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1361_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,11/5/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1362,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1362_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/4/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1363,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1363_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/12/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1364,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1364_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/24/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1366,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1366_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,6/21/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1367,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1367_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/2/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1368,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1368_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/7/2023,Telaid,8/1/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1369,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1369_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/5/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1370,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1370_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/22/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1371,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1371_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/12/2023,Wachter,9/19/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1372,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1372_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/7/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1373,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1373_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/2/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1375,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1375_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/25/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1376,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1376_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/21/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1377,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1377_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,6/22/2023,Wachter,6/26/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1378,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1378_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,TBD,Wachter,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1379,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1379_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/31/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1380,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1380_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/16/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1381,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1381_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/30/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1382,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1382_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,#N/A,,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1383,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1383_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,9/10/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1384,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1384_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/30/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1385,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1385_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,#N/A,,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1386,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1386_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/10/2023,Wachter,8/17/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1387,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1387_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,8/24/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1388,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1388_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/30/2023,Wachter,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1389,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1389_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/23/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1390,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1390_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,8/23/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1391,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1391_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,781537967991; 781537969983; 781537970921; 781537973380,7/30/2023,Wachter,8/3/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1392,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1392_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,10/30/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1393,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1393_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,11/12/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1394,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1394_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/7/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1395,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1395_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/11/2023,Wachter,9/18/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
