STORE,Effective Week,D3 C70 Moving Ftg,D3 C231 Soho Ftg,D12 C72 Moving Ftg,D12 Flooring Ftg
781,37,0,20,28,0
782,37,0,12,20,0
783,37,12,0,0,0
784,37,0,20,20,0
785,37,0,12,12,0
786,37,0,20,28,0
787,37,0,20,24,0
788,37,0,0,12,0
789,37,0,20,32,0
790,37,0,12,24,8
791,37,0,20,20,0
792,37,8,0,0,0
793,37,0,12,16,0
794,37,0,20,28,8
795,37,0,12,8,0
796,37,0,20,20,0
797,37,0,12,8,0
798,37,0,12,0,0
799,37,0,20,28,0
800,37,0,20,16,0
801,37,0,20,20,0
802,37,0,12,12,0
803,37,0,20,20,0
804,37,0,20,28,0
805,37,0,20,20,0
806,37,0,20,20,0
807,37,0,20,20,0
808,37,0,0,12,0
809,37,0,20,28,0
810,37,0,20,24,0
811,37,0,20,12,0
812,37,0,20,12,0
813,37,0,0,8,0
814,37,0,20,32,0
815,37,0,12,24,0
816,37,0,12,20,0
817,37,0,20,16,0
818,37,0,20,16,0
819,37,0,12,32,0
820,37,0,12,16,0
821,37,0,20,20,0
822,37,0,0,8,0
823,37,0,20,20,0
824,37,0,20,32,0
825,37,0,20,8,0
826,37,0,20,20,0
827,37,0,12,12,0
828,37,32,0,0,0
829,37,0,20,16,0
830,37,12,0,0,0
833,37,20,0,0,0
834,37,12,0,0,0
835,37,0,20,24,0
836,37,0,20,20,0
837,37,12,0,0,0
838,37,0,20,32,0
839,37,0,20,20,0
841,37,0,12,8,0
842,37,0,12,20,0
843,37,0,8,20,0
844,37,36,0,0,0
845,37,0,8,8,0
846,37,0,12,8,0
847,37,0,12,20,0
848,37,0,20,16,0
849,37,0,20,28,0
850,37,0,20,20,0
851,37,20,0,0,0
852,37,0,20,28,0
853,37,0,12,20,0
854,37,0,20,8,0
855,37,0,20,32,0
856,37,0,20,8,0
857,37,0,20,12,0
858,37,0,20,20,0
859,37,0,12,16,0
860,37,28,0,0,0
861,37,0,20,20,0
862,37,0,20,32,0
863,37,0,12,16,0
864,37,0,12,8,0
865,37,0,20,20,0
866,37,0,20,24,0
867,37,0,20,12,0
868,37,0,0,0,0
869,37,0,12,16,0
870,37,0,20,20,0
871,37,0,8,8,0
872,37,0,20,16,0
873,37,16,0,0,0
874,37,0,20,20,0
875,37,0,12,16,0
876,37,0,20,32,0
877,37,0,20,16,0
878,37,0,20,20,0
879,37,0,12,20,0
880,37,0,20,20,0
881,37,0,20,8,0
882,37,0,20,24,0
884,37,0,20,32,0
885,37,0,12,20,0
886,37,0,20,20,0
887,37,0,20,20,0
888,37,0,12,12,0
889,37,0,20,24,0
890,37,0,20,32,0
891,37,0,20,16,0
892,37,0,20,32,0
893,37,20,0,0,0
894,37,0,20,16,0
895,37,8,0,0,0
896,37,0,20,32,0
897,37,0,12,20,0
898,37,0,12,8,0
899,37,24,0,0,0
900,37,0,12,20,0
901,37,0,20,32,0
902,37,0,20,28,0
903,37,0,12,8,0
904,37,0,20,32,0
905,37,0,20,20,0
906,37,0,20,28,8
907,37,0,20,12,0
908,37,0,20,20,0
909,37,0,20,20,0
910,37,0,12,20,0
911,37,0,0,8,0
912,37,0,20,24,0
913,37,0,20,32,0
914,37,0,20,12,0
915,37,0,20,12,0
916,37,0,0,0,0
917,37,0,12,20,0
918,37,0,20,20,0
919,37,0,20,24,0
921,37,0,12,20,8
922,37,0,20,32,8
923,37,0,20,32,0
924,37,32,0,0,0
925,37,0,12,20,0
927,37,0,20,20,0
928,37,0,12,32,0
929,37,0,12,20,0
930,37,0,20,24,0
931,37,0,20,20,0
932,37,0,20,16,0
933,37,0,20,16,0
934,37,0,12,20,0
935,37,0,20,20,0
936,37,0,12,20,0
937,37,0,20,32,0
938,37,0,20,20,0
939,37,0,20,20,0
940,37,0,20,24,0
941,37,0,20,28,0
942,37,0,20,32,0
943,37,0,20,32,0
944,37,0,12,12,0
945,37,0,20,32,0
947,37,0,20,32,0
948,37,0,12,24,0
950,37,0,20,20,0
951,37,0,20,8,0
952,37,0,20,16,0
953,37,0,20,20,0
954,37,0,20,20,0
955,37,0,20,28,0
956,37,0,12,20,0
957,37,12,0,0,0
958,37,0,12,8,0
959,37,0,20,20,0
960,37,0,12,24,0
961,37,0,20,24,0
962,37,0,0,8,0
963,37,0,20,16,0
964,37,0,20,32,8
965,37,0,20,20,0
966,37,0,20,16,0
967,37,0,12,28,0
968,37,0,20,16,0
969,37,0,20,16,0
970,37,0,12,20,0
971,37,0,0,8,0
972,37,0,20,32,0
973,37,0,20,20,0
974,37,0,20,28,0
975,37,0,20,28,0
976,37,0,20,20,0
977,37,20,0,0,0
978,37,0,20,20,0
979,37,0,20,20,0
980,37,0,12,20,0
981,37,0,20,8,0
982,37,0,12,20,0
984,37,0,20,20,0
985,37,0,12,20,0
986,37,0,12,12,0
987,37,0,12,24,0
988,37,0,20,28,0
989,37,0,12,8,0
990,37,24,0,0,0
991,37,0,20,16,0
992,37,0,20,8,0
993,37,0,20,28,0
994,37,0,20,32,0
995,37,0,20,12,0
996,37,0,8,8,0
999,37,0,20,20,0
1000,37,0,20,12,0
1001,37,0,20,20,0
1002,37,0,20,12,0
1003,37,0,20,16,0
1004,37,0,20,32,0
1005,37,0,20,20,0
1006,37,0,12,12,0
1007,37,0,12,12,0
1008,37,28,0,0,0
1009,37,0,20,20,0
1010,37,0,12,20,0
1011,37,20,0,0,0
1012,37,0,20,20,0
1013,37,0,20,8,0
1014,37,0,20,24,0
1015,37,0,12,20,0
1016,37,0,20,28,8
1017,37,0,12,12,0
1018,37,0,20,8,0
1019,37,0,12,12,0
1020,37,0,0,8,0
1021,37,0,20,16,0
1022,37,0,20,20,0
1023,37,0,20,8,0
1024,37,0,20,12,0
1025,37,0,20,16,0
1026,37,0,20,28,0
1027,37,0,20,8,0
1028,37,0,20,28,8
1029,37,0,12,20,0
1030,37,0,20,16,0
1032,37,0,20,32,0
1033,37,0,20,16,0
1034,37,0,20,32,0
1035,37,0,20,16,0
1036,37,0,20,8,0
1037,37,0,20,24,0
1038,37,20,0,0,0
1039,37,0,20,8,0
1040,37,0,20,20,0
1041,37,0,20,24,8
1042,37,0,20,32,0
1043,37,0,12,12,0
1044,37,0,20,20,0
1045,37,0,20,16,0
1046,37,0,8,8,0
1047,37,0,20,24,0
1048,37,0,20,8,0
1051,37,0,12,12,0
1052,37,0,12,8,0
1053,37,0,12,16,0
1054,37,0,20,20,0
1055,37,0,20,32,0
1056,37,0,20,20,0
1057,37,0,12,20,0
1058,37,0,20,16,8
1059,37,0,20,20,8
1060,37,0,20,16,0
1061,37,0,12,8,0
1062,37,0,20,28,0
1063,37,0,8,8,0
1064,37,0,20,20,0
1065,37,0,12,16,0
1066,37,0,20,20,0
1067,37,8,0,0,0
1068,37,0,12,12,0
1069,37,0,20,16,0
1070,37,0,20,16,0
1071,37,0,20,24,0
1072,37,0,20,24,0
1073,37,0,12,8,0
1074,37,0,12,20,0
1075,37,0,20,32,0
1076,37,0,20,12,0
1077,37,0,20,20,0
1078,37,0,8,8,0
1079,37,0,12,8,0
1080,37,0,20,20,0
1081,37,0,20,24,0
1082,37,0,12,24,0
1083,37,0,20,20,0
1084,37,32,0,0,0
1085,37,0,20,32,0
1086,37,0,20,28,0
1087,37,0,12,16,0
1088,37,0,20,12,0
1089,37,0,20,12,0
1090,37,0,20,20,0
1091,37,0,12,16,0
1093,37,0,20,20,0
1094,37,0,0,20,0
1095,37,0,20,32,0
1096,37,0,20,32,0
1097,37,0,20,32,0
1098,37,0,20,16,0
1099,37,0,20,20,0
1100,37,0,12,16,0
1101,37,0,12,20,0
1102,37,0,20,16,0
1103,37,0,20,32,0
1104,37,0,12,32,0
1105,37,0,20,12,0
1106,37,0,12,12,0
1107,37,0,12,20,0
1108,37,0,12,8,0
1109,37,0,20,20,0
1110,37,0,20,20,0
1111,37,0,12,20,0
1112,37,0,20,8,0
1113,37,0,12,16,0
1114,37,0,12,12,0
1115,37,24,0,0,0
1116,37,0,20,24,0
1117,37,0,20,24,0
1118,37,0,20,24,0
1119,37,0,12,16,0
1120,37,0,0,20,0
1121,37,0,0,8,0
1122,37,0,12,24,0
1123,37,32,0,0,0
1124,37,0,20,12,0
1125,37,0,20,24,0
1126,37,0,20,0,0
1128,37,0,20,20,0
