Stores,Dept, July End Inv 
1324,94," 31,028 "
1324,98," 20,696 "
1326,80," 11,520 "
1326,93," 53,228 "
1326,94," 37,462 "
1326,98," 9,668 "
1327,80," 9,020 "
1327,93," 60,410 "
1327,94," 30,720 "
1327,98," 20,616 "
1328,80," 17,699 "
1328,93," 39,307 "
1328,94," 21,338 "
1328,98," 17,304 "
1329,80," 12,984 "
1329,93," 42,906 "
1329,94," 27,461 "
1329,98," 21,452 "
1330,80," 12,620 "
1330,93," 45,523 "
1330,94," 31,427 "
1330,98," 20,500 "
1331,80," 13,468 "
1331,93," 48,997 "
1331,94," 15,453 "
1331,98," 21,093 "
1332,80," 25,273 "
1332,93," 65,854 "
1332,94," 39,028 "
1332,98," 15,728 "
1333,80," 18,575 "
1333,93," 44,365 "
1333,94," 17,845 "
1333,98," 14,467 "
1334,80," 8,209 "
1334,93," 26,989 "
1334,94," 13,945 "
1334,98," 12,879 "
1335,80," 16,938 "
1335,93," 43,827 "
1335,94," 25,787 "
1335,98," 16,816 "
1337,80," 19,941 "
1337,93," 42,233 "
1337,94," 22,577 "
1337,98," 16,912 "
1338,80," 23,496 "
1338,93," 67,352 "
1338,94," 23,751 "
1338,98," 16,736 "
1339,80," 19,708 "
1339,93," 59,962 "
1339,94," 42,679 "
1339,98," 18,863 "
1340,80," 19,428 "
1340,93," 66,840 "
1340,94," 22,846 "
1340,98," 22,275 "
1341,80," 16,661 "
1341,93," 56,796 "
1341,94," 32,071 "
1341,98," 21,392 "
1342,80," 17,812 "
1342,93," 73,712 "
1342,94," 56,472 "
1342,98," 23,176 "
1344,80," 16,512 "
1344,93," 41,903 "
1344,94," 23,221 "
1344,98," 17,904 "
1345,80," 15,968 "
1345,93," 41,134 "
1345,94," 27,755 "
1345,98," 18,450 "
1346,80," 23,608 "
1346,93," 68,511 "
1346,94," 5,992 "
1346,98," 25,908 "
1347,80," 11,425 "
1347,93," 47,561 "
1347,94," 23,852 "
1347,98," 21,072 "
1348,80," 23,496 "
1348,93," 47,593 "
1348,94," 21,273 "
1348,98," 19,856 "
1349,80," 22,631 "
1349,93," 48,516 "
1349,94," 27,943 "
1349,98," 19,270 "
1350,80," 15,130 "
1350,93," 43,360 "
1350,94," 20,409 "
1350,98," 18,616 "
1351,80," 10,009 "
1351,93," 48,372 "
1351,94," 22,128 "
1351,98," 18,323 "
1352,80," 14,070 "
1352,93," 41,342 "
1352,94," 30,468 "
1352,98," 9,594 "
1353,80," 36,015 "
1353,93," 112,076 "
1353,94," 86,020 "
1353,98," 28,460 "
1354,80," 20,000 "
1354,93," 57,350 "
1354,94," 33,453 "
1354,98," 15,727 "
1355,80," 18,101 "
1355,93," 44,055 "
1355,94," 38,974 "
1355,98," 13,640 "
1356,80," 10,279 "
1356,93," 43,239 "
1356,94," 20,095 "
1356,98," 22,000 "
1357,80," 10,702 "
1357,93," 61,955 "
1357,94," 24,595 "
1357,98," 25,189 "
1358,80," 29,865 "
1358,93," 51,908 "
1358,94," 17,767 "
1358,98," 21,545 "
1359,80," 29,698 "
1359,93," 69,396 "
1359,94," 40,498 "
1359,98," 19,723 "
1360,80," 13,557 "
1360,93," 43,171 "
1360,94," 16,675 "
1360,98," 18,466 "
1361,80," 8,295 "
1361,93," 61,336 "
1361,94," 59,101 "
1361,98," 12,804 "
1362,80," 19,531 "
1362,93," 62,036 "
1362,94," 19,616 "
1362,98," 26,560 "
1363,80," 10,221 "
1363,93," 40,792 "
1363,94," 22,052 "
1363,98," 18,564 "
1364,80," 18,907 "
1364,93," 50,500 "
1364,94," 22,076 "
1364,98," 21,039 "
1366,80," 7,285 "
1366,93," 41,187 "
1366,94," 19,078 "
1366,98," 14,927 "
1367,80," 19,712 "
1367,93," 41,679 "
1367,94," 32,532 "
1367,98," 27,955 "
1368,80," 8,904 "
1368,93," 41,385 "
1368,94," 24,283 "
1368,98," 18,214 "
1369,80," 11,954 "
1369,93," 48,609 "
1369,94," 27,639 "
1369,98," 22,191 "
1370,80," 36,550 "
1370,93," 63,191 "
1370,94," 4,024 "
1370,98," 26,899 "
1371,80," 13,024 "
1371,93," 47,510 "
1371,94," 18,048 "
1371,98," 26,159 "
1372,80," 16,955 "
1372,93," 51,493 "
1372,94," 31,309 "
1372,98," 7,177 "
1373,80," 6,635 "
1373,93," 52,950 "
1373,94," 11,260 "
1373,98," 20,494 "
1375,80," 20,351 "
1375,93," 55,385 "
1375,94," 38,017 "
1375,98," 24,687 "
1376,80," 22,132 "
1376,93," 53,262 "
1376,94," 7,974 "
1376,98," 18,365 "
1377,80," 17,883 "
1377,93," 47,975 "
1377,94," 16,595 "
1377,98," 23,871 "
1378,80," 29,076 "
1378,93," 47,389 "
1378,94," 18,421 "
1378,98," 22,490 "
1379,80," 21,212 "
1379,93," 50,547 "
1379,94," 30,169 "
1379,98," 16,532 "
1380,80," 15,415 "
1380,93," 44,812 "
1380,94," 19,698 "
1380,98," 22,859 "
1381,80," 18,898 "
1381,93," 65,725 "
1381,94," 28,513 "
1381,98," 21,673 "
1382,80," 8,112 "
1382,93," 58,100 "
1382,94," 33,800 "
1382,98," 18,528 "
1383,80," 17,291 "
1383,93," 66,827 "
1383,94," 34,996 "
1383,98," 18,773 "
1384,80," 16,521 "
1384,93," 60,654 "
1384,94," 45,483 "
1384,98," 22,838 "
1385,80," 17,775 "
1385,93," 42,506 "
1385,94," 25,360 "
1385,98," 17,543 "
1386,80," 14,791 "
1386,93," 52,532 "
1386,94," 18,730 "
1386,98," 22,665 "
1387,80," 18,349 "
1387,93," 55,443 "
1387,94," 46,279 "
1387,98," 15,602 "
1388,80," 6,964 "
1388,93," 35,942 "
1388,94," 18,174 "
1388,98," 19,009 "
1389,80," 1,490 "
1389,93," 29,755 "
1389,94," 12,851 "
1389,98," 9,282 "
1390,80," 12,806 "
1390,93," 51,958 "
1390,94," 28,708 "
1390,98," 24,670 "
1391,80," 19,272 "
1391,93," 65,603 "
1391,94," 47,673 "
1391,98," 17,052 "
1392,80," 19,411 "
1392,93," 62,151 "
1392,94," 35,453 "
1392,98," 18,680 "
1393,80," 5,564 "
1393,93," 52,777 "
1393,94," 20,040 "
1393,98," 19,225 "
1394,80," 9,500 "
1394,93," 42,395 "
1394,94," 22,610 "
1394,98," 18,613 "
1395,80," 15,302 "
1395,93," 49,531 "
1395,94," 19,035 "
1395,98," 20,862 "
1396,80," 10,800 "
1396,93," 45,774 "
1396,94," 18,952 "
1396,98," 21,220 "
1397,80," 15,159 "
1397,93," 52,047 "
1397,94," 26,089 "
1397,98," 25,628 "
1398,80," 1,960 "
1398,93," 32,343 "
1398,94," 22,114 "
1398,98," 15,398 "
1399,80," 15,458 "
1399,93," 42,442 "
1399,94," 25,017 "
1399,98," 19,915 "
1400,80," 37,684 "
1400,93," 46,419 "
1400,94," 38,030 "
1400,98," 20,610 "
1401,80," 12,545 "
1401,93," 59,855 "
1401,94," 32,148 "
1401,98," 22,859 "
1403,80," 8,995 "
1403,93," 35,198 "
1403,94," 21,921 "
1403,98," 18,072 "
1404,80," 12,373 "
1404,93," 51,099 "
1404,94," 21,353 "
1404,98," 20,963 "
1405,80," 10,878 "
1405,93," 30,961 "
1405,94," 9,360 "
1405,98," 15,314 "
1406,80," 16,541 "
1406,93," 39,953 "
1406,94," 29,567 "
1406,98," 21,968 "
1407,80," 20,466 "
1407,93," 45,892 "
1407,94," 23,897 "
1407,98," 19,077 "
1408,80," 24,578 "
1408,93," 55,659 "
1408,94," 30,307 "
1408,98," 19,488 "
1409,80," 13,550 "
1409,93," 66,734 "
1409,94," 42,496 "
1409,98," 16,737 "
1410,80," 14,756 "
1410,93," 36,739 "
1410,94," 11,437 "
1410,98," 18,574 "
1411,80," 15,478 "
1411,93," 34,496 "
1411,94," 19,047 "
1411,98," 17,871 "
1412,80," 13,227 "
1412,93," 42,680 "
1412,94," 24,414 "
1412,98," 17,918 "
1413,80," 20,097 "
1413,93," 58,840 "
1413,94," 25,480 "
1413,98," 23,996 "
1414,80," 19,657 "
1414,93," 44,417 "
1414,94," 16,236 "
1414,98," 27,865 "
1415,80," 9,012 "
1415,93," 34,740 "
1415,94," 17,760 "
1415,98," 16,446 "
1416,80," 16,148 "
1416,93," 30,869 "
1416,94," 14,000 "
1416,98," 16,037 "
1417,80," 7,957 "
1417,93," 45,394 "
1417,94," 22,012 "
1417,98," 21,218 "
1418,80," 16,762 "
1418,93," 64,965 "
1418,94," 24,364 "
1418,98," 26,586 "
1419,80," 15,045 "
1419,93," 55,707 "
1419,94," 39,306 "
1419,98," 21,112 "
1420,80," 13,023 "
1420,93," 51,650 "
1420,94," 17,305 "
1420,98," 18,883 "
1421,80," 14,768 "
1421,93," 50,123 "
1421,94," 32,269 "
1421,98," 16,420 "
1422,80," 11,908 "
1422,93," 46,006 "
1422,94," 23,240 "
1422,98," 18,958 "
1423,80," 7,113 "
1423,93," 46,460 "
1423,94," 27,377 "
1423,98," 17,390 "
1424,80," 22,394 "
1424,93," 70,657 "
1424,94," 34,221 "
1424,98," 19,873 "
1425,80," 9,432 "
1425,93," 49,600 "
1425,94," 24,143 "
1425,98," 19,274 "
1426,80," 25,064 "
1426,93," 55,336 "
1426,94," 35,503 "
1426,98," 22,942 "
1427,80," 8,629 "
1427,93," 35,643 "
1427,94," 17,672 "
1427,98," 19,254 "
1428,80," 6,910 "
1428,93," 48,738 "
1428,94," 28,009 "
1428,98," 21,702 "
1429,80," 6,675 "
1429,93," 52,729 "
1429,94," 26,027 "
1429,98," 19,393 "
1430,80," 14,700 "
1430,93," 54,553 "
1430,94," 43,473 "
1430,98," 20,746 "
1431,80," 9,150 "
1431,93," 51,778 "
1431,94," 19,714 "
1431,98," 22,293 "
1432,80," 10,788 "
1432,93," 46,969 "
1432,94," 22,110 "
1432,98," 21,290 "
1433,80," 10,088 "
1433,93," 52,704 "
1433,94," 24,894 "
1433,98," 18,595 "
1434,80," 13,530 "
1434,93," 59,952 "
1434,94," 49,515 "
1434,98," 23,780 "
1435,80," 14,033 "
1435,93," 38,195 "
1435,94," 20,710 "
1435,98," 17,587 "
1436,80," 27,107 "
1436,93," 49,390 "
1436,94," 29,628 "
1436,98," 12,191 "
1437,80," 10,690 "
1437,93," 36,246 "
1437,94," 19,458 "
1437,98," 20,369 "
1438,80," 24,946 "
1438,93," 130,531 "
1438,94," 33,171 "
1438,98," 26,766 "
1439,80," 7,558 "
1439,93," 51,868 "
1439,94," 21,687 "
1439,98," 22,692 "
1440,80," 11,717 "
1440,93," 207,607 "
1440,94," 37,458 "
1440,98," 18,868 "
1441,80," 16,673 "
1441,93," 36,783 "
1441,94," 24,660 "
1441,98," 15,685 "
1442,80," 11,098 "
1442,93," 52,859 "
1442,94," 35,249 "
1442,98," 17,910 "
1443,80," 16,085 "
1443,93," 51,848 "
1443,94," 18,106 "
1443,98," 18,913 "
1444,80," 28,652 "
1444,93," 50,781 "
1444,94," 33,100 "
1444,98," 25,038 "
1445,80," 14,293 "
1445,93," 53,489 "
1445,94," 15,517 "
1445,98," 22,323 "
1446,80," 17,767 "
1446,93," 63,096 "
1446,94," 17,216 "
1446,98," 24,543 "
1447,80," 14,941 "
1447,93," 50,758 "
1447,94," 20,607 "
1447,98," 27,201 "
1448,80," 13,170 "
1448,93," 52,976 "
1448,94," 24,723 "
1448,98," 19,717 "
1449,80," 11,983 "
1449,93," 48,588 "
1449,94," 11,469 "
1449,98," 22,682 "
1450,80," 11,925 "
1450,93," 54,458 "
1450,94," 23,181 "
1450,98," 24,188 "
1451,80," 18,891 "
1451,93," 32,053 "
1451,94," 16,938 "
1451,98," 17,847 "
1453,80," 8,791 "
1453,93," 61,076 "
1453,94," 23,790 "
1453,98," 27,614 "
1454,80," 14,207 "
1454,93," 47,182 "
1454,94," 25,594 "
1454,98," 23,711 "
1455,80," 29,451 "
1455,93," 58,288 "
1455,94," 31,597 "
1455,98," 21,907 "
1456,80," 17,426 "
1456,93," 37,257 "
1456,94," 21,048 "
1456,98," 24,353 "
1457,80," 11,719 "
1457,93," 55,765 "
1457,94," 21,752 "
1457,98," 19,290 "
1458,80," 16,513 "
1458,93," 79,627 "
1458,94," 22,696 "
1458,98," 19,656 "
1459,80," 13,776 "
1459,93," 46,568 "
1459,94," 29,505 "
1459,98," 15,950 "
1460,80," 9,790 "
1460,93," 46,516 "
1460,94," 22,684 "
1460,98," 18,731 "
1461,80," 10,487 "
1461,93," 79,471 "
1461,94," 35,812 "
1461,98," 23,985 "
1462,80," 12,891 "
1462,93," 44,952 "
1462,94," 28,824 "
1462,98," 16,068 "
1463,80," 14,351 "
1463,93," 50,504 "
1463,94," 22,208 "
1463,98," 22,333 "
1464,80," 21,877 "
1464,93," 63,653 "
1464,94," 33,621 "
1464,98," 17,650 "
1465,80," 16,723 "
1465,93," 56,285 "
1465,94," 26,190 "
1465,98," 19,808 "
1466,80," 12,853 "
1466,93," 46,313 "
1466,94," 28,708 "
1466,98," 21,806 "
1467,80," 4,961 "
1467,93," 22,146 "
1467,94," 14,938 "
1467,98," 10,013 "
1468,80," 13,256 "
1468,93," 36,517 "
1468,94," 20,309 "
1468,98," 16,901 "
1469,80," 17,255 "
1469,93," 96,690 "
1469,94," 40,886 "
1469,98," 19,159 "
1470,80," 13,910 "
1470,93," 48,237 "
1470,94," 21,950 "
1470,98," 23,835 "
1472,80," 11,307 "
1472,93," 65,484 "
1472,94," 20,424 "
1472,98," 17,255 "
1473,80," 19,310 "
1473,93," 62,008 "
1473,94," 19,886 "
1473,98," 24,246 "
1474,80," 13,982 "
1474,93," 55,162 "
1474,94," 25,175 "
1474,98," 21,507 "
1475,80," 9,025 "
1475,93," 36,369 "
1475,94," 10,860 "
1475,98," 11,373 "
1476,80," 18,002 "
1476,93," 79,946 "
1476,94," 34,411 "
1476,98," 24,325 "
1477,80," 13,283 "
1477,93," 35,752 "
1477,94," 14,485 "
1477,98," 17,464 "
1478,80," 16,396 "
1478,93," 39,070 "
1478,94," 18,993 "
1478,98," 22,823 "
1479,80," 24,055 "
1479,93," 40,521 "
1479,94," 23,047 "
1479,98," 31,961 "
1480,80," 5,573 "
1480,93," 35,305 "
1480,94," 17,865 "
1480,98," 12,258 "
1481,80," 10,746 "
1481,93," 41,205 "
1481,94," 24,895 "
1481,98," 15,945 "
1483,80," 13,528 "
1483,93," 54,750 "
1483,94," 26,567 "
1483,98," 24,071 "
1484,80, -   
1484,93, -   
1484,94, -   
1484,98, -   
1485,80," 25,081 "
1485,93," 94,455 "
1485,94," 43,177 "
1485,98," 24,900 "
1486,80," 17,281 "
1486,93," 41,588 "
1486,94," 25,612 "
1486,98," 17,060 "
1487,80," 18,851 "
1487,93," 39,828 "
1487,94," 17,355 "
1487,98," 20,004 "
1488,80," 20,414 "
1488,93," 44,616 "
1488,94," 28,094 "
1488,98," 20,902 "
1490,80," 26,830 "
1490,93," 56,218 "
1490,94," 35,733 "
1490,98," 23,812 "
1491,80," 14,843 "
1491,93," 48,011 "
1491,94," 21,407 "
1491,98," 16,958 "
1492,80," 32,873 "
1492,93," 96,483 "
1492,94," 38,996 "
1492,98," 38,670 "
1493,80," 11,486 "
1493,93," 42,279 "
1493,94," 22,352 "
1493,98," 17,742 "
1494,80," 15,345 "
1494,93," 45,205 "
1494,94," 26,325 "
1494,98," 21,072 "
1495,80," 12,459 "
1495,93," 44,140 "
1495,94," 25,203 "
1495,98," 17,349 "
1496,80," 19,835 "
1496,93," 78,648 "
1496,94," 20,382 "
1496,98," 18,853 "
1497,80," 19,038 "
1497,93," 52,120 "
1497,94," 26,884 "
1497,98," 17,985 "
1498,80," 22,148 "
1498,93," 48,046 "
1498,94," 38,113 "
1498,98," 17,248 "
1499,80," 16,052 "
1499,93," 36,820 "
1499,94," 17,052 "
1499,98," 19,289 "
1500,80," 16,427 "
1500,93," 39,215 "
1500,94," 23,064 "
1500,98," 25,649 "
1502,80," 18,632 "
1502,93," 59,265 "
1502,94," 36,194 "
1502,98," 17,879 "
1503,80," 14,127 "
1503,93," 49,219 "
1503,94," 17,404 "
1503,98," 22,341 "
1504,80," 15,167 "
1504,93," 58,317 "
1504,94," 20,816 "
1504,98," 19,669 "
1505,80," 14,270 "
1505,93," 41,409 "
1505,94," 27,415 "
1505,98," 20,795 "
1506,80," 1,657 "
1506,93," 31,181 "
1506,94," 17,053 "
1506,98," 9,209 "
1507,80," 8,425 "
1507,93," 49,217 "
1507,94," 21,284 "
1507,98," 17,574 "
1508,80," 16,133 "
1508,93," 64,260 "
1508,94," 35,150 "
1508,98," 23,943 "
1509,80," 9,443 "
1509,93," 29,461 "
1509,94," 5,684 "
1509,98," 11,134 "
1510,80," 13,764 "
1510,93," 55,897 "
1510,94," 33,191 "
1510,98," 23,334 "
1511,80," 23,691 "
1511,93," 48,356 "
1511,94," 43,877 "
1511,98," 18,999 "
1512,80," 14,491 "
1512,93," 45,975 "
1512,94," 24,008 "
1512,98," 11,843 "
1513,80," 17,794 "
1513,93," 35,741 "
1513,94," 19,203 "
1513,98," 16,976 "
1514,80," 28,079 "
1514,93," 51,093 "
1514,94," 45,737 "
1514,98," 23,026 "
1515,80," 8,731 "
1515,93," 59,502 "
1515,94," 19,322 "
1515,98," 16,534 "
1516,80," 5,845 "
1516,93," 59,329 "
1516,94," 26,033 "
1516,98," 18,264 "
1517,80, 4 
1517,93," 57,123 "
1517,94," 38,492 "
1517,98," 10,113 "
1518,80," 18,401 "
1518,93," 71,749 "
1518,94," 53,685 "
1518,98," 17,815 "
1519,80," 13,813 "
1519,93," 41,051 "
1519,94," 13,647 "
1519,98," 21,446 "
1520,80," 18,675 "
1520,93," 48,956 "
1520,94," 35,283 "
1520,98," 19,168 "
1521,80," 17,136 "
1521,93," 75,561 "
1521,94," 19,548 "
1521,98," 18,038 "
1522,80," 10,205 "
1522,93," 58,491 "
1522,94," 42,794 "
1522,98," 22,832 "
1523,80," 24,014 "
1523,93," 54,411 "
1523,94," 49,253 "
1523,98," 19,336 "
1524,80," 13,486 "
1524,93," 44,936 "
1524,94," 30,249 "
1524,98," 20,393 "
1525,80," 27,505 "
1525,93," 69,901 "
1525,94," 71,393 "
1525,98," 20,018 "
1526,80," 8,144 "
1526,93," 41,141 "
1526,94," 31,501 "
1526,98," 15,047 "
1527,80," 13,011 "
1527,93," 57,480 "
1527,94," 32,964 "
1527,98," 20,829 "
1528,80," 14,766 "
1528,93," 53,503 "
1528,94," 18,928 "
1528,98," 23,251 "
1529,80," 20,311 "
1529,93," 62,020 "
1529,94," 46,449 "
1529,98," 23,400 "
1530,80," 11,753 "
1530,93," 85,029 "
1530,94," 26,990 "
1530,98," 18,359 "
1531,80," 13,943 "
1531,93," 48,688 "
1531,94," 31,448 "
1531,98," 18,187 "
1532,80," 18,519 "
1532,93," 36,727 "
1532,94," 20,904 "
1532,98," 20,209 "
1533,80," 24,910 "
1533,93," 58,623 "
1533,94," 31,731 "
1533,98," 21,560 "
1534,80," 11,193 "
1534,93," 74,576 "
1534,94," 40,908 "
1534,98," 28,220 "
1535,80," 10,642 "
1535,93," 88,869 "
1535,94," (5,000)"
1535,98," 23,562 "
1536,80," 17,270 "
1536,93," 41,365 "
1536,94," 41,661 "
1536,98," 22,261 "
1538,80," 7,821 "
1538,93," 40,517 "
1538,94," 17,264 "
1538,98," 20,734 "
1539,80," 13,162 "
1539,93," 50,350 "
1539,94," 27,926 "
1539,98," 20,405 "
1540,80," 18,152 "
1540,93," 60,504 "
1540,94," 25,752 "
1540,98," 15,089 "
1541,80," 36,599 "
1541,93," 73,120 "
1541,94," 42,016 "
1541,98," 19,270 "
1542,80," 12,690 "
1542,93," 46,160 "
1542,94," 20,306 "
1542,98," 21,332 "
1543,80," 10,025 "
1543,93," 37,183 "
1543,94," 34,915 "
1543,98," 24,294 "
1544,80," 19,837 "
1544,93," 57,979 "
1544,94," 36,415 "
1544,98," 26,293 "
1545,80," 14,663 "
1545,93," 54,318 "
1545,94," 10,684 "
1545,98," 18,884 "
1547,80," 18,123 "
1547,93," 54,474 "
1547,94," 22,541 "
1547,98," 21,449 "
1548,80," 2,644 "
1548,93," 28,697 "
1548,94," 16,921 "
1548,98," 12,925 "
1549,80," 19,976 "
1549,93," 64,663 "
1549,94," 28,564 "
1549,98," 22,419 "
1551,80," 14,068 "
1551,93," 45,568 "
1551,94," 22,671 "
1551,98," 21,729 "
1552,80," 37,415 "
1552,93," 62,380 "
1552,94," 33,316 "
1552,98," 20,669 "
1553,80," 8,783 "
1553,93," 75,930 "
1553,94," 33,728 "
1553,98," 20,609 "
1554,80," 22,319 "
1554,93," 37,038 "
1554,94, (977)
1554,98," 21,995 "
1555,80," 18,470 "
1555,93," 59,590 "
1555,94," 53,787 "
1555,98," 25,660 "
1556,80," 18,900 "
1556,93," 46,066 "
1556,94," 17,727 "
1556,98," 22,345 "
1557,80," 19,818 "
1557,93," 46,352 "
1557,94," 22,026 "
1557,98," 21,544 "
1558,80," 19,790 "
1558,93," 43,256 "
1558,94," 27,105 "
1558,98," 23,711 "
1560,80," 17,981 "
1560,93," 66,238 "
1560,94," 33,021 "
1560,98," 36,553 "
1561,80," 23,784 "
1561,93," 53,937 "
1561,94," 23,562 "
1561,98," 13,397 "
1563,80," 17,983 "
1563,93," 64,596 "
1563,94," 40,296 "
1563,98," 24,477 "
1564,80," 16,886 "
1564,93," 59,241 "
1564,94," 37,507 "
1564,98," 29,204 "
1565,80," 15,708 "
1565,93," 78,266 "
1565,94," 48,353 "
1565,98," 22,665 "
1566,80," 14,626 "
1566,93," 27,246 "
1566,94," 23,437 "
1566,98," 21,528 "
1567,80," 14,203 "
1567,93," 62,101 "
1567,94," 30,777 "
1567,98," 34,140 "
1568,80," 5,626 "
1568,93," 63,866 "
1568,94," 31,469 "
1568,98," 16,474 "
1569,80," 9,610 "
1569,93," 47,604 "
1569,94," 23,015 "
1569,98," 21,488 "
1570,80," 6,515 "
1570,93," 33,347 "
1570,94," 17,844 "
1570,98," 25,768 "
1571,80," 9,144 "
1571,93," 56,816 "
1571,94," 18,714 "
1571,98," 26,188 "
1572,80," 29,930 "
1572,93," 85,418 "
1572,94," 35,959 "
1572,98," 21,493 "
1573,80," 12,172 "
1573,93," 41,772 "
1573,94," 32,036 "
1573,98," 19,730 "
1574,80," 17,428 "
1574,93," 79,246 "
1574,94," 27,650 "
1574,98," 24,319 "
1575,80," 20,503 "
1575,93," 64,389 "
1575,94," 27,544 "
1575,98," 31,940 "
1577,80," 16,918 "
1577,93," 43,451 "
1577,94," (10,012)"
1577,98," 20,237 "
1578,80," 10,811 "
1578,93," 36,453 "
1578,94," 20,832 "
1578,98," 16,317 "
1579,80," 17,158 "
1579,93," 53,544 "
1579,94," 34,441 "
1579,98," 23,746 "
1580,80," 14,158 "
1580,93," 66,903 "
1580,94," 43,515 "
1580,98," 22,372 "
1581,80," 25,955 "
1581,93," 44,595 "
1581,94," 7,686 "
1581,98," 25,428 "
1584,80," 23,341 "
1584,93," 87,548 "
1584,94," 48,133 "
1584,98," 25,881 "
1585,80," 10,411 "
1585,93," 46,946 "
1585,94," 26,078 "
1585,98," 23,877 "
1586,80," 11,788 "
1586,93," 39,391 "
1586,94," 24,751 "
1586,98," 13,715 "
1588,80," 19,141 "
1588,93," 55,325 "
1588,94," 18,340 "
1588,98," 34,110 "
1589,80," 12,673 "
1589,93," 48,083 "
1589,94," 59,775 "
1589,98," 19,855 "
1590,80," 24,024 "
1590,93," 73,970 "
1590,94," 58,560 "
1590,98," 23,846 "
1591,80," 12,895 "
1591,93," 63,013 "
1591,94," 40,647 "
1591,98," 17,257 "
1592,80," 13,146 "
1592,93," 40,945 "
1592,94," 26,375 "
1592,98," 18,315 "
1593,80," 12,756 "
1593,93," 34,535 "
1593,94," 15,880 "
1593,98," 16,057 "
1594,80," 8,851 "
1594,93," 47,859 "
1594,94," 25,123 "
1594,98," 20,456 "
1595,80," 14,992 "
1595,93," 34,357 "
1595,94," 11,724 "
1595,98," 17,743 "
1596,80," 11,129 "
1596,93," 47,818 "
1596,94," 13,210 "
1596,98," 16,174 "
1597,80," 25,345 "
1597,93," 67,102 "
1597,94," 13,175 "
1597,98," 24,359 "
1598,80," 5,693 "
1598,93," 25,014 "
1598,94," 20,496 "
1598,98," 19,868 "
1599,80," 17,078 "
1599,93," 40,597 "
1599,94," 29,209 "
1599,98," 12,217 "
1600,80," 23,423 "
1600,93," 43,677 "
1600,94," 45,458 "
1600,98," 19,048 "
1601,80," 14,033 "
1601,93," 37,187 "
1601,94," 28,946 "
1601,98," 16,330 "
1602,80," 24,087 "
1602,93," 41,045 "
1602,94," 26,276 "
1602,98," 18,097 "
1603,80, 302 
1603,93," 32,633 "
1603,94," 13,897 "
1603,98," 11,326 "
1604,80," 23,100 "
1604,93," 58,448 "
1604,94," 13,439 "
1604,98," 29,908 "
1605,80," 11,499 "
1605,93," 49,233 "
1605,94," 30,212 "
1605,98," 22,052 "
1606,80," 7,423 "
1606,93," 43,295 "
1606,94," 20,413 "
1606,98," 18,833 "
1607,80," 10,334 "
1607,93," 45,365 "
1607,94," 26,020 "
1607,98," 21,026 "
1608,80," 13,044 "
1608,93," 27,592 "
1608,94," 20,524 "
1608,98," 21,948 "
1609,80," 11,126 "
1609,93," 73,265 "
1609,94," 35,841 "
1609,98," 22,869 "
1611,80," 17,114 "
1611,93," 40,963 "
1611,94," 24,742 "
1611,98," 19,488 "
1612,80," 6,882 "
1612,93," 49,694 "
1612,94," 27,310 "
1612,98," 23,584 "
1613,80," 18,934 "
1613,93," 42,139 "
1613,94," 28,176 "
1613,98," 17,288 "
1614,80," 12,250 "
1614,93," 52,687 "
1614,94," 27,208 "
1614,98," 16,300 "
1617,80," 10,626 "
1617,93," 76,976 "
1617,94," 38,171 "
1617,98," 20,179 "
1618,80," 17,098 "
1618,93," 46,867 "
1618,94," 19,462 "
1618,98," 24,303 "
1619,80," 12,493 "
1619,93," 70,996 "
1619,94," 19,938 "
1619,98," 21,489 "
1620,80," 8,346 "
1620,93," 43,051 "
1620,94," 20,228 "
1620,98," 17,594 "
1621,80," 2,878 "
1621,93," 37,194 "
1621,94," 19,848 "
1621,98," 12,007 "
1622,80," 10,868 "
1622,93," 45,822 "
1622,94," 20,317 "
1622,98," 20,870 "
1623,80," 16,023 "
1623,93," 61,973 "
1623,94," 29,856 "
1623,98," 26,231 "
1624,80," 10,108 "
1624,93," 36,731 "
1624,94," 31,779 "
1624,98," 22,215 "
1625,80," 16,934 "
1625,93," 39,654 "
1625,94," 19,787 "
1625,98," 18,422 "
1626,80," 13,441 "
1626,93," 85,148 "
1626,94," 57,228 "
1626,98," 20,427 "
1627,80," 21,556 "
1627,93," 69,356 "
1627,94," 28,766 "
1627,98," 23,723 "
1628,80," 12,503 "
1628,93," 69,260 "
1628,94," 16,817 "
1628,98," 18,139 "
1630,80," 2,430 "
1630,93," 31,267 "
1630,94," 20,638 "
1630,98," 17,293 "
1631,80," 24,201 "
1631,93," 65,110 "
1631,94," 30,172 "
1631,98," 20,147 "
1632,80," 15,085 "
1632,93," 82,312 "
1632,94," 41,141 "
1632,98," 20,774 "
1633,80," 12,091 "
1633,93," 48,218 "
1633,94," 16,822 "
1633,98," 24,678 "
1634,80," 15,125 "
1634,93," 43,472 "
1634,94," 13,873 "
1634,98," 18,309 "
1635,80," 12,528 "
1635,93," 50,960 "
1635,94," 20,821 "
1635,98," 17,116 "
1636,80," 25,989 "
1636,93," 56,989 "
1636,94," 14,949 "
1636,98," 28,779 "
1637,80," 29,645 "
1637,93," 57,677 "
1637,94," 30,444 "
1637,98," 16,303 "
1638,80," 8,646 "
1638,93," 48,470 "
1638,94," 20,050 "
1638,98," 17,035 "
1639,80," 1,743 "
1639,93," 34,465 "
1639,94," 13,380 "
1639,98," 7,764 "
1640,80," 8,715 "
