Market ,Avg. ,Stores ,Avg Returns volume ,Volume bucket ,Avg Return Units Per day ,Avg DotCom Return Units Per Day ,Average MP Return Units  ,Avg MP Return Units Per Day,Avg NPS ,Avg Wait Time 
21,,1111,16431,Low,216,15,386,5,70,6.1
21,,1121,22486,Medium,296,22,555,7,50,14.5
21,,1363,17213,Low,226,19,348,5,71,5.81
21,,1400,39614,High,521,55,1196,16,57,7.49
21,,1701,8104,Low,107,6,164,2,53,5.74
21,,2811,21491,Medium,283,21,487,6,76,4.98
21,,3627,30211,High,398,33,513,7,40,8.59
21,,5482,10073,Low,133,9,231,3,86,6.67
22,Mkt Avg,,23346,,307,24,582,8,51,7.06
22,,615,29305,High,386,32,798,11,43,9.87
22,,722,28106,High,370,30,840,11,58,5.37
22,,727,14409,Low,190,15,300,4,54,8.83
22,,856,19442,Medium,256,23,470,6,50,4.71
22,,1488,35878,High,472,36,1026,14,60,9.65
22,,2732,23239,Medium,306,25,555,7,38,6.35
22,,3205,22037,Medium,290,18,216,3,44,6.01
22,,3741,23304,Medium,307,22,728,10,32,8
22,,4409,14396,Low,189,15,309,4,83,4.73
23,Mkt Avg,,24381,,321,24,543,7,51,8.25
23,,1184,22617,Medium,298,19,25,0,38,4.53
23,,1373,31604,High,416,27,777,10,57,7.68
23,,2360,36042,High,474,52,1242,16,55,7.89
23,,2584,21148,Medium,278,21,564,7,55,8.38
23,,3067,15250,Low,201,10,17,0,55,12.55
23,,3188,18400,Medium,242,10,370,5,43,8.32
23,,3621,25603,Medium,337,31,805,11,53,8.41
24,Mkt Avg,,34698,,457,47,1056,14,52,7.87
24,,518,31342,High,412,37,833,11,60,6.14
24,,878,47384,High,623,65,1671,22,54,6.2
24,,1314,31445,High,414,37,890,12,49,6.09
24,,1578,31217,High,411,41,948,12,61,7.01
24,,1766,29906,High,393,50,1081,14,49,7.36
24,,2154,36137,High,475,41,990,13,51,9.25
24,,2941,39471,High,519,57,1264,17,45,9.12
24,,3462,37562,High,494,43,847,11,44,11.82
24,,4185,41896,High,551,70,1535,20,44,9.03
24,,4436,24901,Medium,328,36,780,10,69,6.43
24,,5814,30419,High,400,42,782,10,43,8.06
25,Mkt Avg,,32041,,422,30,725,10,52,8.76
25,,459,31584,High,416,30,910,12,48,7.69
