Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago,DP
16,2336,SPARK,Scheduled Standard Delivery,16,Executive Review,Degrading,Store Focus,202217,73.19%,58.76%,8.8,82.40%,69.70%,78.70%,65.90%,
16,2341,DOORDASH,Scheduled Standard Delivery,48,Executive Review,Degrading,Store Focus,202217,74.64%,93.50%,9.1,75.00%,74.20%,68.70%,78.80%,
16,2341,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Driver Supply Focus,202217,39.96%,94.01%,8,54.60%,37.30%,25.00%,35.90%,
16,2095,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202217,82.94%,55.25%,15.5,63.60%,85.90%,81.00%,91.30%,
16,2095,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202217,76.34%,58.08%,11.3,83.10%,69.90%,70.70%,82.60%,
16,2366,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202217,70.12%,67.39%,11.5,87.00%,75.60%,58.60%,54.40%,
16,2953,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202217,84.09%,93.72%,6.7,80.20%,87.90%,83.80%,84.10%,
16,5448,POINTPICKUP,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202217,87.10%,78.54%,8.9,89.00%,86.20%,87.70%,86.60%,
16,2261,POINTPICKUP,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202217,90.57%,85.84%,5.3,86.00%,95.60%,85.40%,93.30%,
16,1939,POINTPICKUP,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202217,79.87%,69.25%,14.9,82.10%,72.80%,87.20%,78.40%,
16,2682,DOORDASH,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202217,81.25%,67.90%,12.9,70.80%,75.00%,93.80%,87.50%,
16,2682,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,76.13%,76.96%,8.6,77.70%,73.60%,78.10%,75.00%,
16,1698,DOORDASH,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202217,90.49%,81.09%,6.7,87.60%,86.10%,92.40%,94.60%,
16,1788,POINTPICKUP,Scheduled Express Delivery ,5,At Risk,Recovering,Store Focus,202217,89.55%,93.06%,9.7,100.00%,95.00%,73.70%,94.40%,
16,1788,POINTPICKUP,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202217,88.16%,93.92%,5.8,89.20%,93.90%,82.40%,89.30%,
16,2055,DOORDASH,Scheduled Standard Delivery,20,Executive Review,Degrading,Store Focus,202217,87.35%,67.58%,10.9,86.00%,88.30%,83.30%,91.50%,
16,2055,SPARK,Scheduled Standard Delivery,30,Executive Review,Degrading,Store Focus,202217,71.24%,66.61%,8.8,75.40%,52.30%,82.50%,74.20%,
16,2130,POINTPICKUP,Scheduled Express Delivery ,35,Executive Review,-,Store Focus,202217,80.95%,85.71%,7.7,,80.00%,66.70%,90.00%,
16,2130,POINTPICKUP,Scheduled Standard Delivery,22,Executive Review,Degrading,Store Focus,202217,75.56%,86.71%,7.1,78.30%,75.00%,68.60%,84.00%,
16,2130,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,202217,87.47%,86.18%,6.2,95.40%,88.10%,80.20%,87.80%,
16,1796,POINTPICKUP,Scheduled Express Delivery ,1,Active Monitoring,-,Store Focus,202217,90.32%,97.50%,13.7,,,90.90%,90.00%,
16,1796,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202217,62.44%,60.70%,12,66.80%,57.10%,65.70%,82.60%,
26,1191,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,84.76%,87.55%,7.1,86.50%,76.50%,86.80%,89.20%,
26,1287,POINTPICKUP,Scheduled Express Delivery ,2,Active Monitoring,Degrading,Store Focus,202217,91.06%,80.00%,21.6,85.00%,90.90%,94.40%,91.20%,
26,1287,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202217,60.39%,59.44%,21.4,43.20%,63.10%,68.10%,58.60%,
26,1287,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202217,65.29%,63.38%,18.5,39.10%,66.90%,76.70%,62.30%,
26,1288,DOORDASH,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202217,87.46%,87.54%,9.2,78.50%,93.20%,88.50%,90.90%,
26,2137,SPARK,Scheduled Standard Delivery,35,Executive Review,Degrading,Store Focus,202217,55.83%,59.73%,13.1,47.40%,52.00%,68.90%,64.20%,
26,2137,UBER,Scheduled Express Delivery ,6,At Risk,Degrading,Store Focus,202217,83.05%,66.13%,26.2,71.40%,85.70%,100.00%,76.50%,
26,2137,UBER,Scheduled Standard Delivery,42,Executive Review,Degrading,Store Focus,202217,57.16%,54.01%,20.2,58.70%,37.40%,59.50%,66.50%,
26,3182,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,82.18%,90.16%,9.2,85.10%,75.60%,82.80%,84.50%,
26,5346,POINTPICKUP,Scheduled Express Delivery ,4,At Risk,Recovering,Store Focus,202217,88.57%,82.29%,16.1,100.00%,87.00%,91.30%,83.30%,
26,5346,POINTPICKUP,Scheduled Standard Delivery,17,Executive Review,Degrading,Store Focus,202217,68.60%,77.92%,15.4,64.50%,81.00%,67.00%,56.00%,
26,5346,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,77.30%,74.65%,14.6,77.50%,90.80%,78.80%,28.60%,
26,1614,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202217,78.67%,90.77%,7.9,83.20%,75.80%,76.10%,79.80%,
26,4250,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202217,43.92%,51.46%,22.9,44.70%,17.10%,65.10%,46.20%,
26,4250,UBER,Scheduled Standard Delivery,30,Executive Review,Degrading,Store Focus,202217,55.47%,42.31%,32,57.70%,43.80%,68.10%,49.00%,
26,4484,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,-,Store Focus,202217,68.18%,75.00%,13.2,,20.00%,80.00%,85.70%,
26,4484,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202217,78.16%,65.96%,10.7,57.30%,86.20%,88.10%,95.20%,
26,4484,UBER,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202217,76.84%,68.00%,17.8,64.30%,75.70%,81.90%,84.10%,
26,5118,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202217,64.52%,64.60%,10.9,64.00%,78.60%,39.10%,73.20%,
26,5118,UBER,Scheduled Standard Delivery,22,Executive Review,Degrading,Store Focus,202217,68.41%,55.72%,20.1,70.70%,85.50%,46.10%,72.60%,
26,5254,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Store Focus,202217,78.37%,54.94%,12.5,71.90%,88.40%,88.40%,69.60%,
26,5254,UBER,Scheduled Standard Delivery,22,Executive Review,Degrading,Store Focus,202217,70.97%,49.87%,18,79.50%,82.00%,97.60%,51.00%,
26,2704,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202217,88.31%,88.46%,8.1,92.00%,82.40%,81.30%,94.70%,
