Region,Market,Store Nbr,Bucket,Tier,Details
5,81,1232,>90%,Tier 1,ISA On in Total Store
41,258,1233,"> 80%, < 90%",Tier 2,GM Pause
41,257,1234,"> 80%, < 90%",Tier 2,GM Pause
6,86,1235,>90%,Tier 1,ISA On in Total Store
26,302,1236,"> 80%, < 90%",Tier 2,GM Pause
26,299,1237,< 80%,Tier 3,Total Store ISA Pause
26,310,1238,>90%,Tier 1,ISA On in Total Store
21,217,1239,"> 80%, < 90%",Tier 2,GM Pause
46,367,1240,>90%,Tier 1,ISA On in Total Store
52,418,1241,"> 80%, < 90%",Tier 2,GM Pause
2,294,1242,"> 80%, < 90%",Tier 2,GM Pause
75,312,1243,< 80%,Tier 3,Total Store ISA Pause
2,35,1244,>90%,Tier 1,ISA On in Total Store
9,114,1245,"> 80%, < 90%",Tier 2,GM Pause
41,258,1247,"> 80%, < 90%",Tier 2,GM Pause
12,144,1248,"> 80%, < 90%",Tier 2,GM Pause
5,74,1249,"> 80%, < 90%",Tier 2,GM Pause
47,380,1252,"> 80%, < 90%",Tier 2,GM Pause
5,82,1253,>90%,Tier 1,ISA On in Total Store
5,76,1254,>90%,Tier 1,ISA On in Total Store
26,309,1255,"> 80%, < 90%",Tier 2,GM Pause
25,266,1256,>90%,Tier 1,ISA On in Total Store
5,74,1257,"> 80%, < 90%",Tier 2,GM Pause
41,258,1259,"> 80%, < 90%",Tier 2,GM Pause
13,143,1260,"> 80%, < 90%",Tier 2,GM Pause
26,310,1261,"> 80%, < 90%",Tier 2,GM Pause
41,254,1263,>90%,Tier 1,ISA On in Total Store
21,222,1264,< 80%,Tier 3,Total Store ISA Pause
40,340,1265,>90%,Tier 1,ISA On in Total Store
13,130,1266,>90%,Tier 1,ISA On in Total Store
53,441,1267,"> 80%, < 90%",Tier 2,GM Pause
26,300,1268,>90%,Tier 1,ISA On in Total Store
2,39,1270,>90%,Tier 1,ISA On in Total Store
14,138,1271,>90%,Tier 1,ISA On in Total Store
5,74,1272,>90%,Tier 1,ISA On in Total Store
47,389,1273,"> 80%, < 90%",Tier 2,GM Pause
53,441,1274,"> 80%, < 90%",Tier 2,GM Pause
25,482,1275,>90%,Tier 1,ISA On in Total Store
53,444,1276,>90%,Tier 1,ISA On in Total Store
53,438,1277,>90%,Tier 1,ISA On in Total Store
6,59,1279,"> 80%, < 90%",Tier 2,GM Pause
54,388,1280,>90%,Tier 1,ISA On in Total Store
4,42,1281,"> 80%, < 90%",Tier 2,GM Pause
47,407,1282,"> 80%, < 90%",Tier 2,GM Pause
3,93,1283,< 80%,Tier 3,Total Store ISA Pause
3,16,1284,"> 80%, < 90%",Tier 2,GM Pause
52,418,1285,"> 80%, < 90%",Tier 2,GM Pause
4,41,1286,>90%,Tier 1,ISA On in Total Store
26,296,1287,>90%,Tier 1,ISA On in Total Store
26,296,1288,"> 80%, < 90%",Tier 2,GM Pause
21,221,1289,"> 80%, < 90%",Tier 2,GM Pause
4,304,1290,"> 80%, < 90%",Tier 2,GM Pause
46,367,1291,>90%,Tier 1,ISA On in Total Store
75,312,1292,< 80%,Tier 3,Total Store ISA Pause
3,30,1293,"> 80%, < 90%",Tier 2,GM Pause
21,247,1294,>90%,Tier 1,ISA On in Total Store
44,350,1295,>90%,Tier 1,ISA On in Total Store
6,569,1296,"> 80%, < 90%",Tier 2,GM Pause
3,93,1297,>90%,Tier 1,ISA On in Total Store
26,302,1298,"> 80%, < 90%",Tier 2,GM Pause
46,364,1299,>90%,Tier 1,ISA On in Total Store
26,302,1300,"> 80%, < 90%",Tier 2,GM Pause
75,312,1301,"> 80%, < 90%",Tier 2,GM Pause
20,311,1302,"> 80%, < 90%",Tier 2,GM Pause
5,81,1303,>90%,Tier 1,ISA On in Total Store
21,247,1304,>90%,Tier 1,ISA On in Total Store
53,441,1305,>90%,Tier 1,ISA On in Total Store
46,387,1306,"> 80%, < 90%",Tier 2,GM Pause
25,262,1307,>90%,Tier 1,ISA On in Total Store
47,380,1308,"> 80%, < 90%",Tier 2,GM Pause
75,312,1309,"> 80%, < 90%",Tier 2,GM Pause
25,251,1310,>90%,Tier 1,ISA On in Total Store
3,16,1311,"> 80%, < 90%",Tier 2,GM Pause
26,310,1312,>90%,Tier 1,ISA On in Total Store
6,77,1313,>90%,Tier 1,ISA On in Total Store
2,24,1314,>90%,Tier 1,ISA On in Total Store
54,381,1315,>90%,Tier 1,ISA On in Total Store
53,439,1316,"> 80%, < 90%",Tier 2,GM Pause
2,294,1317,>90%,Tier 1,ISA On in Total Store
2,122,1318,>90%,Tier 1,ISA On in Total Store
2,122,1319,"> 80%, < 90%",Tier 2,GM Pause
2,122,1320,>90%,Tier 1,ISA On in Total Store
26,299,1321,>90%,Tier 1,ISA On in Total Store
26,308,1322,>90%,Tier 1,ISA On in Total Store
25,278,1323,"> 80%, < 90%",Tier 2,GM Pause
46,366,1324,>90%,Tier 1,ISA On in Total Store
46,366,1325,>90%,Tier 1,ISA On in Total Store
47,429,1326,"> 80%, < 90%",Tier 2,GM Pause
25,243,1327,"> 80%, < 90%",Tier 2,GM Pause
46,364,1328,>90%,Tier 1,ISA On in Total Store
21,247,1329,>90%,Tier 1,ISA On in Total Store
21,222,1330,"> 80%, < 90%",Tier 2,GM Pause
21,223,1331,"> 80%, < 90%",Tier 2,GM Pause
52,426,1332,"> 80%, < 90%",Tier 2,GM Pause
21,222,1333,>90%,Tier 1,ISA On in Total Store
46,372,1334,"> 80%, < 90%",Tier 2,GM Pause
75,315,1335,"> 80%, < 90%",Tier 2,GM Pause
20,311,1336,"> 80%, < 90%",Tier 2,GM Pause
4,304,1337,"> 80%, < 90%",Tier 2,GM Pause
3,16,1338,>90%,Tier 1,ISA On in Total Store
4,41,1339,"> 80%, < 90%",Tier 2,GM Pause
2,20,1340,>90%,Tier 1,ISA On in Total Store
41,254,1341,>90%,Tier 1,ISA On in Total Store
13,128,1342,>90%,Tier 1,ISA On in Total Store
75,315,1344,< 80%,Tier 3,Total Store ISA Pause
75,314,1345,< 80%,Tier 3,Total Store ISA Pause
13,143,1346,< 80%,Tier 3,Total Store ISA Pause
6,87,1347,>90%,Tier 1,ISA On in Total Store
26,300,1348,>90%,Tier 1,ISA On in Total Store
9,109,1349,>90%,Tier 1,ISA On in Total Store
75,315,1350,"> 80%, < 90%",Tier 2,GM Pause
20,317,1351,"> 80%, < 90%",Tier 2,GM Pause
26,300,1352,"> 80%, < 90%",Tier 2,GM Pause
26,301,1354,>90%,Tier 1,ISA On in Total Store
26,302,1355,< 80%,Tier 3,Total Store ISA Pause
25,251,1356,< 80%,Tier 3,Total Store ISA Pause
46,387,1357,>90%,Tier 1,ISA On in Total Store
4,36,1358,< 80%,Tier 3,Total Store ISA Pause
4,36,1359,>90%,Tier 1,ISA On in Total Store
20,317,1360,"> 80%, < 90%",Tier 2,GM Pause
52,426,1361,"> 80%, < 90%",Tier 2,GM Pause
14,15,1362,"> 80%, < 90%",Tier 2,GM Pause
2,21,1363,"> 80%, < 90%",Tier 2,GM Pause
57,365,1364,>90%,Tier 1,ISA On in Total Store
53,436,1365,>90%,Tier 1,ISA On in Total Store
53,440,1366,"> 80%, < 90%",Tier 2,GM Pause
3,32,1367,"> 80%, < 90%",Tier 2,GM Pause
21,218,1368,>90%,Tier 1,ISA On in Total Store
46,364,1369,>90%,Tier 1,ISA On in Total Store
57,365,1370,"> 80%, < 90%",Tier 2,GM Pause
25,580,1371,< 80%,Tier 3,Total Store ISA Pause
26,299,1372,>90%,Tier 1,ISA On in Total Store
2,24,1373,>90%,Tier 1,ISA On in Total Store
9,91,1374,"> 80%, < 90%",Tier 2,GM Pause
3,97,1375,>90%,Tier 1,ISA On in Total Store
41,152,1376,"> 80%, < 90%",Tier 2,GM Pause
25,270,1377,"> 80%, < 90%",Tier 2,GM Pause
21,247,1378,"> 80%, < 90%",Tier 2,GM Pause
26,301,1379,"> 80%, < 90%",Tier 2,GM Pause
46,372,1381,>90%,Tier 1,ISA On in Total Store
2,39,1382,>90%,Tier 1,ISA On in Total Store
4,29,1383,>90%,Tier 1,ISA On in Total Store
47,389,1384,"> 80%, < 90%",Tier 2,GM Pause
4,305,1385,"> 80%, < 90%",Tier 2,GM Pause
25,262,1386,< 80%,Tier 3,Total Store ISA Pause
9,108,1387,"> 80%, < 90%",Tier 2,GM Pause
21,248,1388,"> 80%, < 90%",Tier 2,GM Pause
52,414,1389,"> 80%, < 90%",Tier 2,GM Pause
9,111,1390,>90%,Tier 1,ISA On in Total Store
3,94,1391,"> 80%, < 90%",Tier 2,GM Pause
26,300,1392,>90%,Tier 1,ISA On in Total Store
52,413,1393,"> 80%, < 90%",Tier 2,GM Pause
53,435,1394,"> 80%, < 90%",Tier 2,GM Pause
25,272,1395,"> 80%, < 90%",Tier 2,GM Pause
53,441,1396,>90%,Tier 1,ISA On in Total Store
46,384,1397,>90%,Tier 1,ISA On in Total Store
9,108,1398,"> 80%, < 90%",Tier 2,GM Pause
75,315,1399,"> 80%, < 90%",Tier 2,GM Pause
2,21,1400,"> 80%, < 90%",Tier 2,GM Pause
25,265,1401,< 80%,Tier 3,Total Store ISA Pause
2,18,1403,"> 80%, < 90%",Tier 2,GM Pause
25,269,1404,"> 80%, < 90%",Tier 2,GM Pause
6,61,1405,"> 80%, < 90%",Tier 2,GM Pause
75,286,1406,"> 80%, < 90%",Tier 2,GM Pause
21,221,1407,>90%,Tier 1,ISA On in Total Store
3,97,1408,>90%,Tier 1,ISA On in Total Store
6,65,1409,"> 80%, < 90%",Tier 2,GM Pause
21,223,1410,>90%,Tier 1,ISA On in Total Store
46,366,1411,"> 80%, < 90%",Tier 2,GM Pause
54,381,1412,"> 80%, < 90%",Tier 2,GM Pause
25,270,1413,< 80%,Tier 3,Total Store ISA Pause
46,384,1414,"> 80%, < 90%",Tier 2,GM Pause
52,421,1415,"> 80%, < 90%",Tier 2,GM Pause
19,207,1416,"> 80%, < 90%",Tier 2,GM Pause
46,364,1417,>90%,Tier 1,ISA On in Total Store
25,341,1418,>90%,Tier 1,ISA On in Total Store
21,248,1419,>90%,Tier 1,ISA On in Total Store
25,264,1420,"> 80%, < 90%",Tier 2,GM Pause
25,278,1421,"> 80%, < 90%",Tier 2,GM Pause
19,204,1422,"> 80%, < 90%",Tier 2,GM Pause
19,203,1423,"> 80%, < 90%",Tier 2,GM Pause
75,290,1424,"> 80%, < 90%",Tier 2,GM Pause
21,248,1425,"> 80%, < 90%",Tier 2,GM Pause
41,259,1426,"> 80%, < 90%",Tier 2,GM Pause
21,218,1427,>90%,Tier 1,ISA On in Total Store
19,204,1428,"> 80%, < 90%",Tier 2,GM Pause
19,213,1429,"> 80%, < 90%",Tier 2,GM Pause
53,439,1430,"> 80%, < 90%",Tier 2,GM Pause
52,418,1431,>90%,Tier 1,ISA On in Total Store
19,204,1432,>90%,Tier 1,ISA On in Total Store
21,222,1433,>90%,Tier 1,ISA On in Total Store
47,391,1434,"> 80%, < 90%",Tier 2,GM Pause
52,413,1435,"> 80%, < 90%",Tier 2,GM Pause
9,107,1436,>90%,Tier 1,ISA On in Total Store
47,406,1437,>90%,Tier 1,ISA On in Total Store
46,405,1438,"> 80%, < 90%",Tier 2,GM Pause
46,405,1439,>90%,Tier 1,ISA On in Total Store
54,403,1440,"> 80%, < 90%",Tier 2,GM Pause
21,221,1441,"> 80%, < 90%",Tier 2,GM Pause
46,405,1442,"> 80%, < 90%",Tier 2,GM Pause
21,225,1443,>90%,Tier 1,ISA On in Total Store
3,98,1444,"> 80%, < 90%",Tier 2,GM Pause
19,213,1445,< 80%,Tier 3,Total Store ISA Pause
53,436,1446,"> 80%, < 90%",Tier 2,GM Pause
52,419,1447,"> 80%, < 90%",Tier 2,GM Pause
19,213,1448,"> 80%, < 90%",Tier 2,GM Pause
53,439,1449,>90%,Tier 1,ISA On in Total Store
20,316,1450,"> 80%, < 90%",Tier 2,GM Pause
25,275,1451,< 80%,Tier 3,Total Store ISA Pause
26,309,1452,"> 80%, < 90%",Tier 2,GM Pause
53,440,1453,"> 80%, < 90%",Tier 2,GM Pause
25,275,1454,>90%,Tier 1,ISA On in Total Store
5,44,1455,>90%,Tier 1,ISA On in Total Store
54,381,1456,< 80%,Tier 3,Total Store ISA Pause
54,381,1457,>90%,Tier 1,ISA On in Total Store
2,120,1458,"> 80%, < 90%",Tier 2,GM Pause
25,249,1459,"> 80%, < 90%",Tier 2,GM Pause
47,429,1460,>90%,Tier 1,ISA On in Total Store
54,381,1461,"> 80%, < 90%",Tier 2,GM Pause
14,7,1462,>90%,Tier 1,ISA On in Total Store
21,221,1463,>90%,Tier 1,ISA On in Total Store
4,305,1464,>90%,Tier 1,ISA On in Total Store
75,314,1465,< 80%,Tier 3,Total Store ISA Pause
2,121,1466,"> 80%, < 90%",Tier 2,GM Pause
2,121,1467,>90%,Tier 1,ISA On in Total Store
12,136,1468,>90%,Tier 1,ISA On in Total Store
2,120,1469,>90%,Tier 1,ISA On in Total Store
52,421,1470,"> 80%, < 90%",Tier 2,GM Pause
53,439,1471,>90%,Tier 1,ISA On in Total Store
52,423,1472,"> 80%, < 90%",Tier 2,GM Pause
52,421,1473,>90%,Tier 1,ISA On in Total Store
57,365,1474,"> 80%, < 90%",Tier 2,GM Pause
52,418,1475,"> 80%, < 90%",Tier 2,GM Pause
25,243,1476,< 80%,Tier 3,Total Store ISA Pause
20,317,1477,"> 80%, < 90%",Tier 2,GM Pause
41,259,1478,>90%,Tier 1,ISA On in Total Store
19,238,1479,"> 80%, < 90%",Tier 2,GM Pause
21,239,1480,< 80%,Tier 3,Total Store ISA Pause
14,13,1481,< 80%,Tier 3,Total Store ISA Pause
9,112,1482,< 80%,Tier 3,Total Store ISA Pause
54,430,1483,"> 80%, < 90%",Tier 2,GM Pause
54,382,1485,"> 80%, < 90%",Tier 2,GM Pause
75,314,1486,"> 80%, < 90%",Tier 2,GM Pause
19,238,1487,"> 80%, < 90%",Tier 2,GM Pause
2,22,1488,>90%,Tier 1,ISA On in Total Store
25,269,1489,>90%,Tier 1,ISA On in Total Store
53,263,1490,>90%,Tier 1,ISA On in Total Store
52,413,1491,"> 80%, < 90%",Tier 2,GM Pause
47,376,1492,>90%,Tier 1,ISA On in Total Store
14,14,1493,"> 80%, < 90%",Tier 2,GM Pause
6,78,1494,"> 80%, < 90%",Tier 2,GM Pause
21,223,1495,"> 80%, < 90%",Tier 2,GM Pause
52,415,1496,"> 80%, < 90%",Tier 2,GM Pause
25,266,1497,"> 80%, < 90%",Tier 2,GM Pause
26,298,1498,"> 80%, < 90%",Tier 2,GM Pause
20,317,1499,>90%,Tier 1,ISA On in Total Store
54,430,1500,"> 80%, < 90%",Tier 2,GM Pause
9,112,1501,"> 80%, < 90%",Tier 2,GM Pause
26,301,1502,"> 80%, < 90%",Tier 2,GM Pause
21,221,1503,"> 80%, < 90%",Tier 2,GM Pause
21,221,1504,"> 80%, < 90%",Tier 2,GM Pause
41,258,1505,"> 80%, < 90%",Tier 2,GM Pause
52,415,1506,"> 80%, < 90%",Tier 2,GM Pause
44,409,1507,"> 80%, < 90%",Tier 2,GM Pause
54,382,1508,"> 80%, < 90%",Tier 2,GM Pause
52,415,1509,"> 80%, < 90%",Tier 2,GM Pause
21,225,1510,>90%,Tier 1,ISA On in Total Store
9,553,1511,"> 80%, < 90%",Tier 2,GM Pause
46,371,1512,"> 80%, < 90%",Tier 2,GM Pause
9,111,1513,"> 80%, < 90%",Tier 2,GM Pause
40,340,1514,"> 80%, < 90%",Tier 2,GM Pause
46,70,1516,"> 80%, < 90%",Tier 2,GM Pause
9,108,1517,>90%,Tier 1,ISA On in Total Store
25,482,1518,>90%,Tier 1,ISA On in Total Store
21,218,1519,"> 80%, < 90%",Tier 2,GM Pause
54,430,1520,"> 80%, < 90%",Tier 2,GM Pause
21,225,1521,"> 80%, < 90%",Tier 2,GM Pause
75,320,1522,"> 80%, < 90%",Tier 2,GM Pause
75,287,1523,"> 80%, < 90%",Tier 2,GM Pause
75,290,1524,< 80%,Tier 3,Total Store ISA Pause
75,287,1525,< 80%,Tier 3,Total Store ISA Pause
52,426,1526,< 80%,Tier 3,Total Store ISA Pause
26,301,1527,"> 80%, < 90%",Tier 2,GM Pause
52,415,1528,"> 80%, < 90%",Tier 2,GM Pause
22,233,1529,"> 80%, < 90%",Tier 2,GM Pause
12,136,1530,"> 80%, < 90%",Tier 2,GM Pause
25,270,1531,"> 80%, < 90%",Tier 2,GM Pause
46,369,1532,>90%,Tier 1,ISA On in Total Store
46,369,1533,"> 80%, < 90%",Tier 2,GM Pause
54,427,1534,"> 80%, < 90%",Tier 2,GM Pause
54,430,1535,< 80%,Tier 3,Total Store ISA Pause
9,111,1536,>90%,Tier 1,ISA On in Total Store
22,234,1537,"> 80%, < 90%",Tier 2,GM Pause
54,430,1538,>90%,Tier 1,ISA On in Total Store
19,213,1539,"> 80%, < 90%",Tier 2,GM Pause
19,201,1540,>90%,Tier 1,ISA On in Total Store
9,107,1541,< 80%,Tier 3,Total Store ISA Pause
53,196,1542,"> 80%, < 90%",Tier 2,GM Pause
54,430,1543,"> 80%, < 90%",Tier 2,GM Pause
75,320,1544,"> 80%, < 90%",Tier 2,GM Pause
52,412,1545,"> 80%, < 90%",Tier 2,GM Pause
52,426,1546,< 80%,Tier 3,Total Store ISA Pause
21,246,1547,>90%,Tier 1,ISA On in Total Store
25,262,1548,"> 80%, < 90%",Tier 2,GM Pause
46,368,1549,>90%,Tier 1,ISA On in Total Store
54,388,1550,"> 80%, < 90%",Tier 2,GM Pause
53,435,1551,"> 80%, < 90%",Tier 2,GM Pause
26,308,1552,"> 80%, < 90%",Tier 2,GM Pause
25,264,1553,< 80%,Tier 3,Total Store ISA Pause
56,452,1554,< 80%,Tier 3,Total Store ISA Pause
57,463,1555,>90%,Tier 1,ISA On in Total Store
25,266,1556,>90%,Tier 1,ISA On in Total Store
25,482,1557,>90%,Tier 1,ISA On in Total Store
26,298,1558,>90%,Tier 1,ISA On in Total Store
57,394,1559,>90%,Tier 1,ISA On in Total Store
57,396,1560,>90%,Tier 1,ISA On in Total Store
12,145,1561,>90%,Tier 1,ISA On in Total Store
52,424,1562,< 80%,Tier 3,Total Store ISA Pause
57,448,1563,"> 80%, < 90%",Tier 2,GM Pause
21,218,1564,>90%,Tier 1,ISA On in Total Store
54,427,1565,"> 80%, < 90%",Tier 2,GM Pause
21,247,1566,>90%,Tier 1,ISA On in Total Store
54,427,1567,< 80%,Tier 3,Total Store ISA Pause
20,229,1568,"> 80%, < 90%",Tier 2,GM Pause
41,259,1569,>90%,Tier 1,ISA On in Total Store
21,248,1570,"> 80%, < 90%",Tier 2,GM Pause
53,442,1571,>90%,Tier 1,ISA On in Total Store
54,582,1572,>90%,Tier 1,ISA On in Total Store
46,405,1573,"> 80%, < 90%",Tier 2,GM Pause
57,447,1574,>90%,Tier 1,ISA On in Total Store
56,457,1575,"> 80%, < 90%",Tier 2,GM Pause
19,238,1576,"> 80%, < 90%",Tier 2,GM Pause
52,424,1577,>90%,Tier 1,ISA On in Total Store
2,23,1578,"> 80%, < 90%",Tier 2,GM Pause
26,296,1579,>90%,Tier 1,ISA On in Total Store
25,249,1580,>90%,Tier 1,ISA On in Total Store
54,427,1581,"> 80%, < 90%",Tier 2,GM Pause
57,449,1583,"> 80%, < 90%",Tier 2,GM Pause
57,396,1584,>90%,Tier 1,ISA On in Total Store
47,429,1585,"> 80%, < 90%",Tier 2,GM Pause
2,26,1586,>90%,Tier 1,ISA On in Total Store
56,450,1587,>90%,Tier 1,ISA On in Total Store
57,445,1588,>90%,Tier 1,ISA On in Total Store
9,108,1589,"> 80%, < 90%",Tier 2,GM Pause
9,553,1590,"> 80%, < 90%",Tier 2,GM Pause
22,234,1591,>90%,Tier 1,ISA On in Total Store
19,205,1592,"> 80%, < 90%",Tier 2,GM Pause
19,202,1593,< 80%,Tier 3,Total Store ISA Pause
21,219,1594,"> 80%, < 90%",Tier 2,GM Pause
21,217,1595,"> 80%, < 90%",Tier 2,GM Pause
25,265,1596,>90%,Tier 1,ISA On in Total Store
44,356,1597,"> 80%, < 90%",Tier 2,GM Pause
46,370,1598,>90%,Tier 1,ISA On in Total Store
40,362,1599,"> 80%, < 90%",Tier 2,GM Pause
57,447,1600,"> 80%, < 90%",Tier 2,GM Pause
25,482,1601,"> 80%, < 90%",Tier 2,GM Pause
25,275,1602,"> 80%, < 90%",Tier 2,GM Pause
4,42,1603,"> 80%, < 90%",Tier 2,GM Pause
54,430,1604,>90%,Tier 1,ISA On in Total Store
14,14,1605,"> 80%, < 90%",Tier 2,GM Pause
2,119,1606,"> 80%, < 90%",Tier 2,GM Pause
22,237,1607,"> 80%, < 90%",Tier 2,GM Pause
56,457,1608,"> 80%, < 90%",Tier 2,GM Pause
52,419,1609,"> 80%, < 90%",Tier 2,GM Pause
17,192,1610,>90%,Tier 1,ISA On in Total Store
19,205,1611,"> 80%, < 90%",Tier 2,GM Pause
46,366,1612,>90%,Tier 1,ISA On in Total Store
26,308,1613,"> 80%, < 90%",Tier 2,GM Pause
26,297,1614,>90%,Tier 1,ISA On in Total Store
56,452,1615,"> 80%, < 90%",Tier 2,GM Pause
56,457,1616,"> 80%, < 90%",Tier 2,GM Pause
54,381,1617,"> 80%, < 90%",Tier 2,GM Pause
19,238,1618,>90%,Tier 1,ISA On in Total Store
14,14,1620,"> 80%, < 90%",Tier 2,GM Pause
52,418,1621,"> 80%, < 90%",Tier 2,GM Pause
19,213,1622,< 80%,Tier 3,Total Store ISA Pause
17,226,1623,< 80%,Tier 3,Total Store ISA Pause
57,447,1624,"> 80%, < 90%",Tier 2,GM Pause
52,426,1625,< 80%,Tier 3,Total Store ISA Pause
44,352,1626,>90%,Tier 1,ISA On in Total Store
54,427,1627,"> 80%, < 90%",Tier 2,GM Pause
19,213,1628,>90%,Tier 1,ISA On in Total Store
25,251,1629,"> 80%, < 90%",Tier 2,GM Pause
56,457,1630,"> 80%, < 90%",Tier 2,GM Pause
75,288,1631,>90%,Tier 1,ISA On in Total Store
52,412,1632,"> 80%, < 90%",Tier 2,GM Pause
52,424,1633,"> 80%, < 90%",Tier 2,GM Pause
52,419,1634,"> 80%, < 90%",Tier 2,GM Pause
53,442,1635,>90%,Tier 1,ISA On in Total Store
54,427,1636,>90%,Tier 1,ISA On in Total Store
47,432,1637,"> 80%, < 90%",Tier 2,GM Pause
14,7,1638,"> 80%, < 90%",Tier 2,GM Pause
21,247,1639,< 80%,Tier 3,Total Store ISA Pause
22,237,1640,"> 80%, < 90%",Tier 2,GM Pause
26,301,1641,>90%,Tier 1,ISA On in Total Store
19,202,1642,"> 80%, < 90%",Tier 2,GM Pause
53,439,1643,"> 80%, < 90%",Tier 2,GM Pause
22,232,1644,"> 80%, < 90%",Tier 2,GM Pause
57,581,1645,"> 80%, < 90%",Tier 2,GM Pause
46,372,1646,>90%,Tier 1,ISA On in Total Store
21,248,1647,>90%,Tier 1,ISA On in Total Store
56,392,1648,"> 80%, < 90%",Tier 2,GM Pause
54,427,1649,< 80%,Tier 3,Total Store ISA Pause
53,444,1650,"> 80%, < 90%",Tier 2,GM Pause
56,453,1651,>90%,Tier 1,ISA On in Total Store
75,312,1652,>90%,Tier 1,ISA On in Total Store
75,320,1653,"> 80%, < 90%",Tier 2,GM Pause
52,419,1654,>90%,Tier 1,ISA On in Total Store
25,482,1655,>90%,Tier 1,ISA On in Total Store
17,228,1656,"> 80%, < 90%",Tier 2,GM Pause
53,425,1657,"> 80%, < 90%",Tier 2,GM Pause
3,30,1658,"> 80%, < 90%",Tier 2,GM Pause
47,379,1659,>90%,Tier 1,ISA On in Total Store
57,448,1660,"> 80%, < 90%",Tier 2,GM Pause
26,302,1661,"> 80%, < 90%",Tier 2,GM Pause
4,304,1662,>90%,Tier 1,ISA On in Total Store
2,294,1663,"> 80%, < 90%",Tier 2,GM Pause
26,299,1664,"> 80%, < 90%",Tier 2,GM Pause
21,239,1665,"> 80%, < 90%",Tier 2,GM Pause
4,306,1666,>90%,Tier 1,ISA On in Total Store
21,247,1667,>90%,Tier 1,ISA On in Total Store
25,269,1668,"> 80%, < 90%",Tier 2,GM Pause
53,438,1669,>90%,Tier 1,ISA On in Total Store
22,168,1670,>90%,Tier 1,ISA On in Total Store
47,433,1671,>90%,Tier 1,ISA On in Total Store
53,436,1672,"> 80%, < 90%",Tier 2,GM Pause
17,192,1673,>90%,Tier 1,ISA On in Total Store
75,280,1674,>90%,Tier 1,ISA On in Total Store
41,256,1675,"> 80%, < 90%",Tier 2,GM Pause
25,580,1676,"> 80%, < 90%",Tier 2,GM Pause
17,189,1677,>90%,Tier 1,ISA On in Total Store
53,442,1678,>90%,Tier 1,ISA On in Total Store
53,438,1679,"> 80%, < 90%",Tier 2,GM Pause
9,110,1680,"> 80%, < 90%",Tier 2,GM Pause
25,268,1681,>90%,Tier 1,ISA On in Total Store
75,288,1682,"> 80%, < 90%",Tier 2,GM Pause
52,413,1683,"> 80%, < 90%",Tier 2,GM Pause
22,237,1684,"> 80%, < 90%",Tier 2,GM Pause
54,430,1685,< 80%,Tier 3,Total Store ISA Pause
54,403,1686,>90%,Tier 1,ISA On in Total Store
75,289,1687,< 80%,Tier 3,Total Store ISA Pause
75,289,1688,"> 80%, < 90%",Tier 2,GM Pause
47,376,1689,>90%,Tier 1,ISA On in Total Store
25,275,1690,"> 80%, < 90%",Tier 2,GM Pause
40,362,1691,"> 80%, < 90%",Tier 2,GM Pause
57,445,1692,"> 80%, < 90%",Tier 2,GM Pause
57,445,1693,>90%,Tier 1,ISA On in Total Store
4,124,1694,"> 80%, < 90%",Tier 2,GM Pause
54,427,1695,"> 80%, < 90%",Tier 2,GM Pause
52,412,1696,"> 80%, < 90%",Tier 2,GM Pause
56,454,1697,"> 80%, < 90%",Tier 2,GM Pause
16,183,1698,>90%,Tier 1,ISA On in Total Store
54,401,1699,>90%,Tier 1,ISA On in Total Store
57,459,1700,>90%,Tier 1,ISA On in Total Store
2,21,1701,< 80%,Tier 3,Total Store ISA Pause
9,92,1702,>90%,Tier 1,ISA On in Total Store
75,280,1703,"> 80%, < 90%",Tier 2,GM Pause
56,453,1704,"> 80%, < 90%",Tier 2,GM Pause
17,191,1705,>90%,Tier 1,ISA On in Total Store
20,208,1707,"> 80%, < 90%",Tier 2,GM Pause
54,401,1708,"> 80%, < 90%",Tier 2,GM Pause
21,248,1709,"> 80%, < 90%",Tier 2,GM Pause
13,140,1710,>90%,Tier 1,ISA On in Total Store
14,2,1711,>90%,Tier 1,ISA On in Total Store
9,111,1712,"> 80%, < 90%",Tier 2,GM Pause
25,278,1713,"> 80%, < 90%",Tier 2,GM Pause
75,320,1714,< 80%,Tier 3,Total Store ISA Pause
75,285,1715,"> 80%, < 90%",Tier 2,GM Pause
75,508,1716,"> 80%, < 90%",Tier 2,GM Pause
75,508,1717,"> 80%, < 90%",Tier 2,GM Pause
21,222,1718,>90%,Tier 1,ISA On in Total Store
19,204,1719,>90%,Tier 1,ISA On in Total Store
2,25,1720,< 80%,Tier 3,Total Store ISA Pause
52,418,1721,"> 80%, < 90%",Tier 2,GM Pause
52,421,1722,"> 80%, < 90%",Tier 2,GM Pause
52,413,1723,>90%,Tier 1,ISA On in Total Store
20,216,1724,"> 80%, < 90%",Tier 2,GM Pause
75,315,1726,>90%,Tier 1,ISA On in Total Store
53,439,1727,>90%,Tier 1,ISA On in Total Store
21,239,1728,>90%,Tier 1,ISA On in Total Store
21,239,1729,"> 80%, < 90%",Tier 2,GM Pause
75,287,1730,"> 80%, < 90%",Tier 2,GM Pause
17,192,1731,>90%,Tier 1,ISA On in Total Store
52,414,1732,"> 80%, < 90%",Tier 2,GM Pause
19,203,1733,"> 80%, < 90%",Tier 2,GM Pause
