Store Nbr,Curr Str On Hand Qty,Item Nbr,Item Desc 1,UPC
2882,13,4021620,ELECARE JR VAN PWDR,7007456586
4285,13,4021788,ELECARE JR. UNF PWDR,7007455254
4383,13,551144162,SIM COMF 12OZ,7007462600
4600,13,551174934,ELECARE 14.1OZ,7007453511
5835,13,587577952,SIM PRO-ADV 20.6OZ,7007468089
5980,13,587577953,SIM PRO-SEN 20.1OZ,7007468091
6500,13,551174934,ELECARE 14.1OZ,7007453511
65,12,4021788,ELECARE JR. UNF PWDR,7007455254
184,12,551144162,SIM COMF 12OZ,7007462600
212,12,551174934,ELECARE 14.1OZ,7007453511
218,12,4021620,ELECARE JR VAN PWDR,7007456586
730,12,4021788,ELECARE JR. UNF PWDR,7007455254
794,12,4021788,ELECARE JR. UNF PWDR,7007455254
796,12,4021788,ELECARE JR. UNF PWDR,7007455254
860,12,4021620,ELECARE JR VAN PWDR,7007456586
919,12,587577952,SIM PRO-ADV 20.6OZ,7007468089
960,12,551174934,ELECARE 14.1OZ,7007453511
1018,12,551174934,ELECARE 14.1OZ,7007453511
1040,12,555173533,SIM ALI 12.1OZ,7007464712
1099,12,4021620,ELECARE JR VAN PWDR,7007456586
1141,12,4021620,ELECARE JR VAN PWDR,7007456586
1141,12,4021788,ELECARE JR. UNF PWDR,7007455254
1242,12,4021788,ELECARE JR. UNF PWDR,7007455254
1304,12,555173533,SIM ALI 12.1OZ,7007464712
1340,12,555173533,SIM ALI 12.1OZ,7007464712
1429,12,4021788,ELECARE JR. UNF PWDR,7007455254
1492,12,587682371,SIM 3TC ADV 20.6OZ,7007468064
1819,12,551174934,ELECARE 14.1OZ,7007453511
1928,12,4021620,ELECARE JR VAN PWDR,7007456586
1949,12,551174934,ELECARE 14.1OZ,7007453511
1955,12,4021788,ELECARE JR. UNF PWDR,7007455254
2086,12,551144162,SIM COMF 12OZ,7007462600
2265,12,587577952,SIM PRO-ADV 20.6OZ,7007468089
2299,12,551144162,SIM COMF 12OZ,7007462600
2432,12,2617742,SIM SPIT 12.3OZ,7007450960
2464,12,587577953,SIM PRO-SEN 20.1OZ,7007468091
2475,12,587682370,SIM 3TC SEN 20.1OZ,7007468071
2477,12,551144162,SIM COMF 12OZ,7007462600
2547,12,4021788,ELECARE JR. UNF PWDR,7007455254
2581,12,2617742,SIM SPIT 12.3OZ,7007450960
2631,12,4021620,ELECARE JR VAN PWDR,7007456586
2668,12,4021788,ELECARE JR. UNF PWDR,7007455254
2703,12,4021620,ELECARE JR VAN PWDR,7007456586
2703,12,555173533,SIM ALI 12.1OZ,7007464712
2755,12,4021788,ELECARE JR. UNF PWDR,7007455254
2928,12,587577953,SIM PRO-SEN 20.1OZ,7007468091
3062,12,4021620,ELECARE JR VAN PWDR,7007456586
3070,12,4021620,ELECARE JR VAN PWDR,7007456586
3083,12,587682370,SIM 3TC SEN 20.1OZ,7007468071
3434,12,4021788,ELECARE JR. UNF PWDR,7007455254
3566,12,555173533,SIM ALI 12.1OZ,7007464712
3595,12,551174934,ELECARE 14.1OZ,7007453511
3598,12,587682371,SIM 3TC ADV 20.6OZ,7007468064
3610,12,4021788,ELECARE JR. UNF PWDR,7007455254
3653,12,587577956,SIM PRO-TC 20.1OZ,7007468108
3656,12,4021620,ELECARE JR VAN PWDR,7007456586
