STORE_NBR,DEPT_NBR,PRIME_ITEM_NBR,ITEM1_DESC,OH
2070,9,597417536,TAHOMA KAYAK,39
2071,9,597417536,TAHOMA KAYAK,38
2188,9,597417536,TAHOMA KAYAK,36
2710,9,597417536,TAHOMA KAYAK,36
2037,9,597417536,TAHOMA KAYAK,35
2469,9,597417536,TAHOMA KAYAK,35
2325,9,597417536,TAHOMA KAYAK,34
3742,9,597417536,TAHOMA KAYAK,29
2711,9,597417536,TAHOMA KAYAK,28
2473,9,597417568,TAHOMA KAYAK,42
2321,9,597417568,TAHOMA KAYAK,37
1772,9,597417568,TAHOMA KAYAK,35
516,9,597308267,TAMARACK KAYAK,33
2722,9,597308267,TAMARACK KAYAK,32
3742,9,597417568,TAHOMA KAYAK,29
2074,9,597308267,TAMARACK KAYAK,28
4474,9,578377405,LT TAMARACK PRO,33
2722,9,597398571,BOOST 100,38
4474,9,597398571,BOOST 100,38
2398,9,583067068,PEL KAYAK BOOST 100,48
4359,9,583067068,PEL KAYAK BOOST 100,33
1975,9,587317973,OT ANGLER 10 SIT-IN,35
5254,9,587317973,OT ANGLER 10 SIT-IN,31
1832,7,599767063,INTEX GIANT WATERMEL,96
5425,7,599767063,INTEX GIANT WATERMEL,61
1371,7,651113028,MED PLSH FLIP A MALO,97
1371,7,651842535,MED PLSH FLIP A MALO,97
2295,7,651113028,MED PLSH FLIP A MALO,72
2295,7,651842535,MED PLSH FLIP A MALO,72
3896,7,651113028,MED PLSH FLIP A MALO,37
3896,7,651842535,MED PLSH FLIP A MALO,37
5261,9,597687959,CHARGER KAYAK,74
2722,9,597687959,CHARGER KAYAK,69
3261,9,597687959,CHARGER KAYAK,56
2317,9,597687959,CHARGER KAYAK,49
15,9,597687959,CHARGER KAYAK,47
2037,9,597687959,CHARGER KAYAK,43
742,9,597687959,CHARGER KAYAK,40
2140,9,597687959,CHARGER KAYAK,40
2510,9,597687959,CHARGER KAYAK,35
4359,9,597687959,CHARGER KAYAK,34
2075,9,597687959,CHARGER KAYAK,33
5861,9,597687959,CHARGER KAYAK,33
2449,7,651339992,PR 10FT FRAME POOL,48
2501,7,651339992,PR 10FT FRAME POOL,42
2026,7,651339992,PR 10FT FRAME POOL,37
1854,7,651339992,PR 10FT FRAME POOL,36
2240,7,651339992,PR 10FT FRAME POOL,35
2721,7,651339992,PR 10FT FRAME POOL,35
2423,7,651339992,PR 10FT FRAME POOL,35
2473,7,570921838,22FT COLEMAN POOL,541
2231,7,570921838,22FT COLEMAN POOL,56
5368,7,587746947,PW HOT WHEELS RACER,45
2560,7,587603499,12V HONDA TALON,53
4512,7,587603499,12V HONDA TALON,48
1886,7,587603499,12V HONDA TALON,47
1486,7,587603499,12V HONDA TALON,47
2597,7,587603499,12V HONDA TALON,45
849,7,587603499,12V HONDA TALON,44
508,7,587603499,12V HONDA TALON,43
2222,7,587603499,12V HONDA TALON,43
886,7,587603499,12V HONDA TALON,42
1526,7,587603499,12V HONDA TALON,42
1781,74,597996482,7.1CF REFRIGERATOR,59
651,74,597996482,7.1CF REFRIGERATOR,57
1150,74,597996482,7.1CF REFRIGERATOR,56
939,74,597996482,7.1CF REFRIGERATOR,56
1253,74,597996482,7.1CF REFRIGERATOR,55
137,74,597996482,7.1CF REFRIGERATOR,55
789,74,597996482,7.1CF REFRIGERATOR,54
536,74,597996482,7.1CF REFRIGERATOR,54
869,74,597996482,7.1CF REFRIGERATOR,50
5841,9,587412989,PACER KAYAK,82
1822,14,567997533,PR BD10S BLENDER KIT,88
786,71,599901329,DHP COOPER LOVESEAT,51
5072,71,595800001,MS METAL ARM FUTON,54
2473,7,585374699,COLEMAN 18FT POOL,423
651,9,597875844,BLITZBAT AND BALL,75
1982,9,597875844,BLITZBAT AND BALL,67
2533,9,597875844,BLITZBAT AND BALL,65
5369,9,597875844,BLITZBAT AND BALL,59
2473,7,585107791,16FTX10FT OVAL POOL,519
6978,7,585107791,16FTX10FT OVAL POOL,79
3877,7,585107791,16FTX10FT OVAL POOL,70
1640,71,599933533,MS STUDIO FUTON,124
1640,71,595796927,MS STUDIO FUTON,124
2141,71,599933533,MS STUDIO FUTON,106
2141,71,595796927,MS STUDIO FUTON,106
752,71,599933533,MS STUDIO FUTON,93
752,71,595796927,MS STUDIO FUTON,93
2113,71,599933533,MS STUDIO FUTON,86
2113,71,595796927,MS STUDIO FUTON,86
719,71,599933533,MS STUDIO FUTON,83
719,71,595796927,MS STUDIO FUTON,83
2339,71,599933533,MS STUDIO FUTON,79
2339,71,595796927,MS STUDIO FUTON,79
2275,71,599933533,MS STUDIO FUTON,75
2275,71,595796927,MS STUDIO FUTON,75
5095,71,599933533,MS STUDIO FUTON,74
5095,71,595796927,MS STUDIO FUTON,74
537,71,599933533,MS STUDIO FUTON,72
3884,71,599933533,MS STUDIO FUTON,72
537,71,595796927,MS STUDIO FUTON,72
3884,71,595796927,MS STUDIO FUTON,72
5488,71,599933533,MS STUDIO FUTON,71
880,71,599933533,MS STUDIO FUTON,71
5488,71,595796927,MS STUDIO FUTON,71
880,71,595796927,MS STUDIO FUTON,71
1644,71,599933533,MS STUDIO FUTON,70
1644,71,595796927,MS STUDIO FUTON,70
2230,71,599933533,MS STUDIO FUTON,68
2039,71,599933533,MS STUDIO FUTON,68
