Store / Club #,Vision Center NPI #,Tax ID,Davis Vision Office ID #,Superior Vision Office ID #
1074,1023191723,71-0862119,46556,31561
1075,1184702136,71-0862119,46557,31571
1076,1356118194,71-0862119,118470,70653
1077,1518058809,71-0862119,46559,32227
1080,1386726156,71-0862119,46560,32112
1081,1821449299,71-0862119,41394,39442
1082,1598856882,71-0862119,46561,31232
1083,1205927597,71-0862119,46562,32689
1085,1437258837,71-0862119,46563,32837
1086,1609968791,71-0862119,46564,32381
1087,1619077518,71-0862119,52465,32318
1088,1326121021,71-0862119,46565,31972
1089,1386726875,71-0862119,46566,32500
1090,1528168424,71-0862119,46567,32683
1091,1477657674,71-0862119,54020,31693
1093,1093911927,71-0415188,57384,30135
1096,1013007624,71-0862119,51922,31960
1097,1750157558,71-0862119,118471,70654
1099,1104908151,71-0415188,46568,30188
1101,1952485559,71-0862119,46569,32399
1102,1053494823,71-0862119,46570,31440
1103,1619072352,74-3019386,46571,34183
1104,1134229032,71-0862119,46572,31905
1105,1902988413,71-0415188,46573,30157
1111,1083797914,71-0862119,46574,31512
1112,1568544690,71-0862119,46575,32825
1113,1801978671,71-0862119,46576,31654
1117,1003997461,74-3019386,46577,34270
1118,1073695110,74-3019386,46578,34023
1119,1033208970,71-0862119,46579,32201
1120,1669553152,71-0862119,46580,32716
1121,1659147452,71-0862119,118472,70655
1122,1912089046,71-0862119,52491,32290
1123,1821179292,71-0862119,46581,31554
1125,1942382825,71-0415188,46582,30009
1126,1528163268,74-3019386,46583,34041
1128,1235217472,71-0862119,46584,32713
1129,1538260328,74-3019386,46585,34035
1132,1093582835,71-0862119,118473,70656
1133,1275622144,71-0862119,51628,32764
1134,1447359401,71-0862119,46586,31325
1135,1871675900,71-0862119,46587,31276
1136,1649355488,71-0862119,54243,32160
1137,1063503019,74-3019386,46588,34040
1138,1871674895,71-0862119,46589,15638
1139,1326217027,71-0862119,59117,31712
1140,1326121880,71-0862119,46590,32453
1141,1821179219,71-0862119,46591,31689
1142,1740363464,71-0862119,46592,31540
1143,1891878724,71-0862119,49694,31367
1144,1871675223,71-0862119,46593,32914
1146,1336238252,71-0862119,51923,32483
1148,1154490126,74-3019386,46594,34176
1149,1518056845,71-0415188,46595,30307
1150,1972694925,74-3019386,46596,34090
1152,1891166294,71-0415188,41322,39436
1153,1023192622,71-0862119,46597,32609
1154,1861583817,74-3019386,51362,34055
1155,1689756033,71-0862119,46598,32477
1156,1700652518,71-0862119,118474,70657
1158,1326121252,71-0862119,46599,31907
1160,1467535195,71-0862119,46600,31149
1161,1942382833,71-0862119,46601,32037
1162,1902961733,71-0862119,55400,31631
1163,1598848368,71-0862119,46602,32317
1164,1104915016,71-0862119,46603,32242
1165,1477636934,71-0862119,46604,31286
1167,1386872059,71-0862119,62833,32213
1168,1417030115,71-0862119,46605,31166
1171,1073828729,71-0862119,68190,32807
1172,1952492324,71-0862119,46606,31391
1173,1245329119,71-0862119,46607,32848
1174,1992886360,71-0862119,46608,32193
1176,1104361500,71-0862119,48833,42795
1177,1114009008,71-0862119,46609,31731
1178,1346321825,74-3019386,46610,34208
1179,1710135009,71-0862119,61137,32594
1180,1831272764,71-0862119,46611,32768
1181,1346321718,71-0862119,46612,31616
1182,1245328269,71-0862119,46613,31601
1183,1013006923,71-0862119,46614,31888
1184,1932299534,71-0862119,49693,31642
1185,1366533531,74-3019386,46615,33988
1186,1194816371,74-3019386,46616,34114
1188,1487735973,71-0862119,46617,31293
1190,1730262296,71-0862119,49363,31301
1191,1285718882,71-0862119,46618,32466
1192,1568545762,71-0862119,46619,31548
1193,1407939275,71-0862119,46620,31983
1194,1710065768,71-0862119,46621,32265
1195,1194857540,71-0862119,46622,32410
1197,1801663455,71-0862119,118475,70658
1198,1790877553,74-3019386,46623,34059
1199,1326121039,71-0415188,46624,29807
1200,1104908854,71-0415188,46625,30042
1201,1013099134,71-0862119,46626,32853
1202,1922182559,71-0862119,46627,32372
1203,1922139344,71-0862119,56343,32447
1204,1316020183,71-0862119,46628,32200
1205,1114082997,71-0862119,55566,32883
1206,1669550018,71-0862119,49704,32114
1207,1972692879,71-0862119,46629,32724
1209,1043392483,71-0862119,52384,32098
1210,1366522278,71-0862119,46630,31195
1211,1871756239,71-0415188,59983,29898
1212,1235212168,71-0862119,46631,31229
1213,1760567697,71-0862119,46632,31384
1215,1144302266,71-0862119,46633,32396
1216,1093891186,74-3019386,46634,34017
1218,1336916980,71-0415188,118574,70659
1219,1710069166,71-0862119,46635,31317
1220,1083796437,71-0862119,46636,31922
1221,1003998055,71-0415188,46637,30254
1222,1053400937,71-0862119,46638,32856
1223,1215029806,71-0862119,46639,32536
1224,1134218936,71-0862119,46640,31969
1225,1528140977,71-0862119,46641,32857
1226,1730264300,71-0862119,46642,31550
1229,1770673345,71-0862119,46643,32001
1230,1821188814,71-0415188,46644,30215
1231,1558446120,71-0415188,50234,30384
1232,1982796751,74-3019386,50641,34142
1233,1649355215,71-0862119,50235,32422
1234,1992880561,71-0862119,46645,31609
1235,1538474283,74-3019386,66229,34246
1236,1427825082,71-0862119,118476,70660
1237,1598532152,71-0862119,118477,70661
1238,1306613963,71-0862119,118478,70662
1239,1033243969,71-0862119,53685,31648
1240,1013784677,71-0415188,118578,70663
1241,1306927405,71-0415188,46646,30235
1242,1003683665,71-0862119,118479,70664
1243,1063502177,71-0862119,46647,32923
1244,1366219925,71-0862119,118480,70665
1245,1043309842,71-0862119,46648,32571
1247,1356426936,71-0862119,46649,31299
1248,1699850271,71-0862119,46650,32747
1249,1104902451,74-3019386,54021,34276
1252,1629845227,71-0415188,118582,70666
1253,1548351729,74-3019386,46651,34299
1254,1245314756,74-3019386,46652,34062
1255,1558443952,71-0862119,44620,32866
1256,1801070636,71-0415188,58519,29938
1259,1154406734,71-0862119,46653,32597
1260,1215010905,71-0862119,46654,31255
1261,1245007848,71-0862119,118481,70667
1263,1528141611,71-0862119,46655,32323
1264,1477563617,71-0862119,46656,31847
1266,1831277292,71-0862119,46657,31804
1270,1922197839,71-0862119,46659,31308
1273,1265522411,71-0415188,46660,30261
1274,1548639784,71-0862119,36663,31400
1275,1720211998,71-0862119,63176,31898
1276,1568545184,71-0862119,46661,32261
1277,1922160027,71-0862119,55402,32619
1279,1649371170,74-3019386,46662,33992
1280,1235212945,71-0415188,46663,30000
1281,1679654032,71-0862119,46664,31799
1283,1952490757,71-0862119,51924,31439
1284,1215010145,71-0862119,46665,32256
1285,1467535732,71-0415188,46666,29858
1286,1831288745,71-0862119,46667,32746
1287,1821151432,71-0862119,55394,32118
1289,1457361602,71-0862119,46669,32022
1290,1609958750,71-0862119,51997,31632
1291,1003948456,71-0415188,53240,30293
1292,1831270271,71-0862119,46670,31886
1293,1063593440,71-0862119,51638,32144
1294,1588747224,71-0862119,46671,40874
1296,1356430946,74-3019386,46672,34001
1297,1336231984,71-0862119,46673,31823
1298,1215704812,71-0862119,118482,70668
1299,1629152848,71-0415188,49676,29875
1300,1821865437,71-0862119,118483,70669
1301,1215237946,71-0862119,68206,32511
1302,1811071137,71-0862119,51631,32763
1303,1437241080,74-3019386,38468,34280
1304,1528140449,71-0862119,46675,31931
1305,1053496976,71-0862119,54252,32277
1306,1619059102,71-0862119,51357,31863
1307,1316116015,71-0415188,59118,29890
1309,1962591453,71-0862119,46676,31655
1310,1043393762,71-0862119,46677,32543
1311,1144310749,71-0862119,46678,32522
1312,1013099217,71-0862119,46679,32673
1313,1184715351,74-3019386,46680,34010
1314,1871674259,71-0862119,46681,32275
1315,1326128943,71-0415188,51364,29883
1317,1770665119,71-0862119,50236,31336
1318,1235214818,71-0862119,46682,32685
1319,1336454529,71-0862119,66444,32749
1320,1932282274,71-0862119,46683,32735
1321,1962534651,71-0862119,53241,31355
1322,1487737318,71-0862119,52463,31521
1324,1922188358,71-0415188,46685,29600
1326,1770666026,71-0415188,46686,29922
1327,1376626002,71-0862119,46687,32554
1328,1699860718,71-0415188,54022,30279
1329,1215245816,71-0862119,66618,31881
1330,1538538772,71-0862119,34009,31900
1331,1619987864,71-0862119,46688,31884
1332,1336245521,71-0415188,53509,29782
1333,1003826108,71-0862119,51925,32083
1335,1649352972,71-0862119,46689,31328
1337,1295818128,71-0862119,46690,32528
1338,1801250048,71-0862119,41159,43200
1339,1285723197,71-0862119,46691,31172
1340,1851474787,71-0862119,49364,32518
1341,1760564918,71-0862119,46692,32179
1342,1225111099,71-0862119,46693,32072
1344,1174390785,71-0862119,118484,70670
1345,1336225549,71-0862119,46694,32205
1346,1144303835,71-0862119,46695,32295
1347,1790886562,74-3019386,46696,34054
1348,1740362946,71-0862119,46697,32487
1349,1023477320,71-0862119,37424,32171
1350,1528140852,71-0862119,46698,32294
1351,1528078771,71-0862119,46699,31383
1353,1740368109,71-0862119,46700,32484
1354,1851168462,71-0862119,118485,70671
1355,1356423552,71-0862119,46701,32070
1356,1851474571,71-0862119,46702,32336
1357,1366522765,71-0862119,1675,31929
1358,1689763559,71-0862119,51926,31777
1359,1376624007,71-0862119,46703,32733
1360,1730956244,71-0862119,118486,70672
1361,1396826483,71-0415188,46704,30065
1362,1245322890,71-0862119,46705,31483
1363,1467536060,71-0862119,51351,31573
1364,1386819142,71-0415188,59774,30231
1367,1629845136,71-0862119,118488,70673
1368,1912917014,71-0862119,46706,31253
1369,1538243753,71-0415188,46707,30011
1370,1275621310,71-0415188,46708,29998
1371,1326138942,71-0862119,55576,32730
1372,1427825934,71-0862119,118489,70674
1373,1952483083,71-0862119,46710,32319
1375,1154413706,71-0862119,46711,31843
1376,1467537050,71-0862119,51630,31757
1377,1669553707,71-0415188,46712,30097
1378,1407938624,71-0862119,46713,31854
1379,1568239291,71-0862119,118490,70675
1380,1093898900,71-0862119,1671,31958
1381,1891875233,71-0415188,46714,29960
1382,1306928767,71-0862119,46715,32480
1383,1811078561,71-0862119,46716,32212
1384,1568544211,71-0415188,46717,30245
1385,1053188789,71-0862119,118491,70676
1386,1225168750,71-0415188,56011,29806
1387,1124110770,71-0862119,46718,32282
1388,1811079726,71-0862119,44615,31928
1390,1467549782,71-0862119,46719,32779
1391,1376630699,71-0862119,46720,31239
1392,1457128191,71-0862119,118492,70677
1393,1376626648,71-0415188,46721,29912
1394,1811247109,71-0862119,33135,31216
1395,1477908770,71-0415188,38104,29683
1396,1477634921,71-0862119,46722,32881
1397,1164505087,71-0862119,1658,31193
1399,1336220706,71-0862119,46723,31259
1400,1497837520,71-0862119,46724,31677
1401,1396169041,71-0415188,30399,29959
1403,1982471637,71-0862119,118494,70678
1404,1669771663,71-0415188,69618,30330
1405,1558423657,74-3019386,55404,34229
1406,1912080995,71-0862119,46725,31850
1407,1346250305,71-0862119,51927,31496
1408,1285721506,71-0862119,46726,32383
1409,1982963922,74-3019386,30131,33995
1410,1023028115,71-0862119,46727,31633
1411,1235227877,71-0415188,52484,29844
1412,1235219858,71-0415188,46728,30148
1413,1326229253,71-0415188,57962,29676
1414,1811072739,71-0862119,54886,31122
1415,1730262007,71-0415188,46729,29910
1416,1275543332,71-0862119,46730,31637
1417,1396512059,71-0415188,118597,70679
1418,1881775906,71-0415188,49365,29765
1419,1851473086,71-0862119,46731,32507
1420,1831408160,71-0415188,66753,30343
1421,1992886709,71-0415188,49697,29866
1422,1184706301,71-0862119,46732,32758
1423,1437232527,71-0862119,52505,31285
1424,1275622185,71-0862119,53112,32676
1425,1184706095,71-0862119,46733,32325
1426,1023199403,71-0862119,51626,32221
1427,1184634248,71-0862119,50949,31446
1428,1679655591,71-0862119,46734,32428
1429,1255341210,71-0862119,46735,31761
1430,1639250467,71-0862119,46736,32222
1431,1154404770,71-0415188,46737,30012
1432,1588746408,71-0862119,46738,32855
1433,1609886779,71-0862119,50894,31684
1434,1104906304,71-0415188,46739,30289
1435,1932280062,71-0415188,50748,30324
1438,1275627564,71-0415188,46740,29718
1439,1558454413,71-0415188,46741,30259
1440,1912096405,71-0415188,46742,30383
1441,1679658546,71-0862119,54249,32506
1443,1770593840,71-0862119,52499,32374
1444,1518059708,71-0862119,50632,32928
1445,1306856810,71-0862119,52501,32025
1446,1831273465,71-0862119,51928,31932
1447,1487738019,71-0862119,50900,32259
1448,1932119013,71-0862119,46745,31696
1449,1689755423,71-0862119,46746,32340
1450,1386729127,71-0862119,54889,31700
1453,1386727501,71-0862119,46747,31899
1454,1871674994,71-0415188,46748,30203
1455,1558442046,74-3019386,46749,34324
1457,1225118789,71-0415188,46751,29818
1458,1942382072,71-0862119,46752,32092
1459,1932281128,71-0862119,46753,32722
1460,1528141223,71-0415188,50635,30098
1461,1649350133,71-0415188,46754,29877
1462,1932281060,71-0862119,44602,32471
1463,1982789897,71-0862119,54250,32695
1464,1073380739,71-0862119,118517,70680
1465,1053494666,71-0862119,46755,32491
1466,1316028798,71-0862119,46756,32020
1468,1033295290,71-0862119,46757,31758
1469,1538245782,71-0862119,46758,31748
1470,1639350564,71-0415188,57835,30277
1472,1710068523,71-0415188,46759,29822
1473,1609959139,71-0415188,46760,29846
1474,1215010855,71-0415188,46761,30002
1476,1760565352,71-0862119,44616,31397
1477,1841200920,71-0862119,46762,31711
1478,1134139223,71-0862119,46763,32228
1479,1649352568,71-0862119,46764,31885
1481,1952483281,71-0862119,46765,31764
1483,1013092659,71-0415188,50639,30015
1485,1891829966,71-0415188,55651,29925
1486,1730261850,71-0862119,46767,31622
1487,1669641627,71-0862119,59064,32568
1488,1851472237,71-0862119,46768,32702
1490,1013098151,71-0415188,50892,30296
1491,1386725471,71-0415188,46769,29759
1494,1366725525,74-3019386,3617,34211
1495,1073523585,71-0862119,49718,32756
1496,1801977608,71-0415188,46770,29721
1497,1891149332,71-0415188,40850,29920
1498,1154403202,71-0862119,46771,32266
1499,1932119021,71-0862119,46772,32494
1500,1740363092,71-0415188,50928,29672
1501,1326130527,71-0862119,46773,31458
1503,1689684755,71-0862119,50895,32638
1504,1912131707,71-0862119,62480,32846
1505,1881775260,71-0862119,46775,31943
1507,1114708385,71-0415188,118035,70130
1508,1629153234,71-0415188,46776,29799
1510,1447336698,71-0862119,53196,32752
1514,1902139629,71-0862119,63175,31822
1515,1548367907,71-0862119,53853,32940
1518,1194807396,71-0862119,46777,32147
1519,1841200540,71-0862119,46778,31154
1520,1083711451,71-0415188,53855,30099
1521,1134222045,71-0862119,53856,32818
1522,1487665139,71-0862119,49738,32718
1523,1033291497,71-0862119,46779,31267
1524,1023190485,71-0862119,46780,31305
1525,1669554028,71-0862119,46781,32736
1526,1659452753,71-0415188,46782,29837
1527,1487719092,71-0862119,55426,31182
1528,1275614091,71-0415188,42330,29968
1529,1629159090,71-0862119,42333,32014
1530,1235212929,71-0862119,52476,32711
1531,1457433344,71-0415188,46783,30257
1532,1780814228,71-0415188,63240,30238
1534,1467532200,71-0415188,46784,29982
1535,1235212796,71-0415188,46785,30046
1536,1972920718,71-0862119,32932,31194
1538,1801972054,71-0415188,49730,29919
1539,1992715056,71-0862119,51360,32239
1540,1689757700,71-0862119,46786,8967
1541,1033201686,71-0862119,46787,32930
1542,1679655914,71-0862119,46788,32899
1543,1194805606,71-0415188,50760,29997
1544,1558138222,71-0862119,118524,70681
1545,1922188762,71-0415188,46789,29958
1547,1205918125,71-0862119,46790,32355
1549,1619744380,71-0415188,118600,70682
1551,1588745665,71-0862119,46791,32675
1552,1083795470,71-0862119,46792,32152
1553,1700219474,71-0415188,1854,30037
1554,1770671240,71-0415188,46793,30050
1555,1639255839,71-0415188,46794,29906
1556,1992886808,71-0415188,46795,30370
1557,1093805442,71-0862119,46796,32804
1558,1366532970,71-0862119,51356,32091
1560,1821187311,71-0415188,46797,30248
1561,1528149929,71-0862119,46798,32301
1562,1831279116,71-0415188,46799,29708
1563,1770789695,71-0415188,57103,30158
1564,1043435423,71-0862119,56833,32390
1565,1144323031,71-0415188,53857,30116
1566,1053846345,71-0862119,8517,41848
1567,1104906940,71-0415188,52839,29942
1568,1538240981,71-0862119,39791,31349
1569,1942381348,71-0862119,46800,31882
1570,1558443473,71-0862119,46801,32475
1571,1083796999,71-0862119,51644,31917
1572,1043309370,71-0415188,46802,29840
1573,1154410025,71-0415188,46803,29957
1574,1619053816,71-0415188,46804,30258
1575,1932648235,71-0415188,8522,41850
1576,1467534388,71-0862119,46805,31509
1577,1124123369,71-0415188,49366,29713
1578,1770673386,71-0862119,46806,32916
1579,1518332063,71-0862119,37343,31187
1580,1033291158,71-0862119,46807,31218
1581,1023198868,71-0415188,46808,30171
1583,1689762155,71-0415188,46809,29865
1584,1548353717,71-0415188,46810,30086
1585,1205911856,71-0415188,46811,29744
1586,1023190162,71-0862119,46812,31262
1588,1659469161,71-0415188,46813,29764
1589,1689766883,71-0862119,46814,31542
1590,1306938501,71-0862119,46815,32580
1591,1295502979,71-0862119,118530,70683
1592,1174606263,71-0862119,46816,32864
1593,1518040245,71-0862119,46817,32774
1594,1114938818,71-0862119,46818,32874
1595,1790796829,71-0862119,52840,32539
1596,1669554572,71-0415188,46819,29869
1598,1558441451,71-0415188,46820,30164
1599,1689756371,71-0415188,46821,29665
1600,1659822161,71-0415188,43155,42748
1601,1649359985,71-0862119,46822,31720
1602,1972689420,71-0415188,46823,30066
1604,1801663596,71-0415188,118604,70684
1605,1972695401,71-0862119,46824,32413
1606,1013099027,71-0862119,46825,32566
1607,1942381330,71-0862119,44023,31190
1609,1902071764,71-0415188,59540,29598
1610,1396858627,71-0862119,46826,31136
1611,1467555375,71-0862119,46827,32440
1612,1881461572,71-0415188,118606,70685
1613,1831270214,71-0862119,46828,43495
1614,1023108594,71-0862119,46829,31495
1615,1346326758,71-0415188,46830,29913
1617,1427825124,71-0415188,118607,70686
1618,1366524274,71-0862119,46831,32053
1619,1205949534,71-0862119,46832,31303
1622,1154434090,71-0862119,52841,32016
1623,1356422885,71-0862119,44034,31798
1624,1326137282,71-0415188,46833,29962
1625,1922189059,71-0415188,46834,29646
1626,1588236889,71-0862119,114143,61582
1627,1164505251,71-0415188,46835,30133
1628,1588675292,71-0862119,46836,32535
1631,1225805922,71-0862119,118532,70687
1632,1295819829,71-0415188,52842,30163
1633,1144303942,71-0415188,46837,29891
1634,1992901821,71-0415188,57385,29761
1635,1427139542,71-0862119,46838,31718
1636,1205916046,71-0415188,46839,36754
1637,1982787685,71-0415188,46840,30260
1638,1902129661,71-0862119,64727,32130
1640,1972684322,71-0862119,42334,31565
1642,1346323433,71-0862119,46841,31572
1643,1194808311,71-0862119,46842,32274
1644,1619008133,71-0862119,56022,31297
1645,1114016151,71-0415188,46843,29821
1646,1760259469,71-0415188,118608,70688
1647,1548350994,71-0862119,51930,31579
1648,1912774621,71-0415188,118609,70689
1649,1477728236,71-0415188,59775,30367
1650,1245520055,71-0862119,69850,32802
1651,1710075387,71-0415188,46844,30286
1654,1669485991,71-0415188,46845,30299
1655,1033292677,71-0862119,53116,31647
1656,1790866226,71-0862119,50594,31535
1657,1649329863,71-0415188,55445,29758
1658,1902673619,71-0862119,118535,70690
1659,1467537035,71-0415188,46846,30246
1660,1235228198,71-0415188,51639,30122
1661,1366531261,71-0862119,44625,32338
1662,1801663513,71-0862119,118539,70691
1663,1033291349,71-0862119,46847,31394
1664,1063598274,71-0862119,51690,31918
1665,1841372075,71-0862119,46848,32436
1666,1942382254,71-0862119,46849,32287
1667,1972988426,71-0862119,41319,39435
1668,1326129347,71-0415188,46850,30270
1669,1073694071,71-0862119,46851,32297
1670,1316028764,71-0862119,44029,31265
1671,1295826253,71-0415188,46852,30347
1673,1619052453,71-0862119,54247,32359
1674,1215703947,71-0862119,118541,70692
1676,1356424089,71-0862119,49367,32726
1677,1811001605,71-0862119,46853,32432
1678,1629368113,71-0862119,69851,32031
1679,1063593176,71-0862119,46854,32109
1681,1457432908,71-0415188,46855,30371
1682,1144097676,71-0862119,118542,70693
1685,1710062328,71-0415188,50761,29815
1686,1538245725,71-0415188,46856,30218
1687,1679340111,71-0862119,118543,70694
1688,1730483512,71-0862119,68914,32666
1689,1245007798,71-0415188,118611,70695
1690,1306929955,71-0415188,46857,30142
1692,1770669970,71-0415188,49368,29647
1693,1619053022,71-0415188,46858,29888
1694,1801266382,71-0862119,32591,32033
1695,1508283730,71-0415188,32921,29748
1697,1487742771,71-0415188,46859,30341
1698,1194953869,71-0862119,62834,32059
1699,1407945371,71-0415188,46860,30305
1700,1073601555,71-0415188,49681,29725
1702,1841382041,71-0862119,46861,31160
1703,1912010307,71-0862119,46862,32775
1707,1326059064,71-0862119,46863,31551
1708,1912099847,71-0415188,46864,30179
1709,1205918430,71-0862119,46865,31744
1710,1003999517,71-0862119,46866,32901
1711,1750463899,71-0862119,46867,31526
1714,1033240429,71-0862119,56028,32133
1717,1740361260,71-0862119,46868,31295
1718,1689787012,71-0862119,46869,31923
1719,1477636793,71-0862119,46870,31789
1720,1003683558,71-0862119,118545,70696
1721,1174604995,71-0415188,46871,29607
1722,1245313865,71-0415188,50753,29686
1723,1619058419,71-0415188,46872,30194
1724,1548271778,71-0862119,46873,31556
1726,1447027990,71-0862119,118546,70697
1728,1164504080,71-0862119,46875,31861
1729,1437534971,71-0862119,33273,32353
1730,1174604540,71-0862119,46876,31563
1733,1154411536,71-0862119,51996,31543
1734,1851474407,71-0415188,46877,29965
1735,1629159173,71-0415188,46878,29754
1737,1558442111,71-0415188,46879,30356
1738,1013098284,71-0415188,46880,29706
1739,1730260258,71-0862119,39794,32064
1740,1235314956,71-0415188,58521,29955
1742,1316028772,71-0862119,51789,32218
1744,1790898054,71-0862119,46881,31674
1745,1508948746,71-0862119,46882,32245
1746,1720168628,71-0415188,46883,29735
1747,1730261637,71-0415188,49370,29829
1748,1497844369,71-0862119,46884,32303
1749,1669553335,71-0862119,46885,32584
1750,1952414393,71-0862119,46886,31504
1752,1821170739,71-0862119,46888,32298
1753,1922189695,71-0862119,46889,32062
1754,1093898116,71-0862119,46890,32286
1755,1255417663,71-0415188,49371,30166
1756,1528144938,71-0415188,55459,29813
1757,1750464988,71-0415188,46891,30172
1758,1639252349,71-0862119,46892,32127
1759,1124100227,71-0862119,46893,32687
1760,1952499915,71-0415188,44605,29616
1762,1568543239,71-0862119,46894,32697
1763,1528835071,71-0862119,118547,70698
1764,1730260837,71-0415188,46895,29606
1765,1588745970,71-0862119,44031,31754
1766,1750464681,71-0862119,49373,32106
1767,1154198612,71-0862119,118549,70699
1768,1487749776,71-0415188,46896,29727
1769,1699083295,71-0862119,66617,31699
1770,1295816726,71-0862119,39795,31751
1771,1336221266,71-0862119,46897,31474
1772,1982790648,71-0415188,49374,30082
1773,1770350233,71-0862119,118550,70700
1774,1356423487,71-0862119,49375,32172
1775,1427143718,71-0415188,51361,30053
1776,1821179375,71-0862119,46898,31671
1777,1144301524,71-0862119,49722,32586
1778,1831279355,71-0415188,46899,30047
1779,1619058161,71-0415188,46900,29619
1780,1467542068,71-0862119,50296,32920
1781,1013388644,71-0862119,34010,32797
1782,1457128910,71-0862119,118551,70701
1783,1477722171,71-0862119,59500,31979
1784,1609961804,71-0415188,52785,30022
1786,1376624411,71-0415188,46901,29730
1787,1356510317,71-0415188,59065,29880
1788,1205078292,71-0862119,62228,32458
1789,1568548766,71-0415188,58289,39448
1790,1205918133,71-0862119,46902,31796
1791,1386726206,71-0862119,44618,32710
1792,1740361278,71-0862119,49724,31242
1793,1710754270,71-0415188,118614,70702
1794,1073694451,71-0862119,49725,31139
1796,1942398565,71-0862119,46903,32821
1797,1851723811,71-0862119,3089,32530
1798,1679656391,71-0862119,46904,31252
1799,1043391964,71-0862119,46905,32054
1800,1619059763,74-3019386,46906,34087
1801,1295811453,74-3019386,46907,34236
1802,1992572465,71-0415188,118616,70703
1803,1225468135,74-3019386,7563,34221
1804,1871675017,71-0862119,46908,31589
1805,1023885431,71-0415188,118618,70704
1807,1538243936,71-0862119,49713,31967
1809,1679656268,71-0862119,46909,32705
1810,1548037955,71-0862119,118552,70705
1811,1356118764,71-0862119,118553,70706
1812,1477564623,71-0862119,46910,32288
1814,1033290952,71-0415188,46911,29640
1815,1194801399,71-0415188,50298,30090
1817,1750479135,71-0415188,46912,29726
1819,1609957604,71-0862119,46914,31618
1820,1831452614,71-0862119,31728,31121
1821,1750463063,71-0862119,49712,32873
1822,1154457679,66-0475164,54446,00059511
1823,1245007657,71-0862119,118554,70707
1825,1730260191,71-0862119,46916,32809
1826,1831288794,71-0415188,49682,29834
1828,1740364371,71-0862119,46917,31913
1830,1871360289,71-0862119,118555,70708
1831,1255445276,71-0862119,50519,32842
1832,1194800938,71-0415188,51940,30226
1833,1134996556,71-0862119,118556,70709
1834,1194592527,71-0415188,118621,70710
1835,1265209696,71-0862119,118557,70711
1836,1841372778,71-0862119,46918,31528
1837,1255423802,74-3019386,46919,34347
1838,1407938855,71-0415188,45286,30025
1839,1235243205,71-0862119,46920,32378
1841,1790552123,71-0862119,118558,70712
1842,1306613740,71-0862119,118559,70713
1843,1154419174,71-0415188,50303,29934
1844,1063593457,71-0862119,53763,32902
1845,1871678409,71-0862119,46921,32425
1847,1962594499,71-0862119,46922,32452
1848,1295816296,71-0415188,46923,30111
1849,1487421822,71-0862119,118560,70714
1850,1508947995,71-0862119,50300,31596
1851,1871685305,71-0862119,46924,32769
1852,1891879482,71-0862119,50048,31417
1853,1285401620,71-0415188,118623,70715
1854,1023144474,66-0475164,54476,00059027
1855,1972686400,71-0415188,46925,29684
1857,1902819790,71-0862119,46926,32889
1858,1871961185,71-0415188,9756,30016
1860,1053492447,71-0862119,51353,31158
1861,1700919883,71-0415188,53975,30236
1862,1962590471,71-0415188,45291,41212
1863,1689685760,71-0862119,46928,32197
1864,1770663049,71-0415188,46929,30321
1866,1821186446,71-0862119,46930,32627
1867,1497836860,71-0862119,46931,32009
1868,1164510780,71-0862119,46932,31142
1869,1821179284,71-0862119,45045,31462
1870,1912215534,71-0415188,66702,30276
1871,1093829996,71-0862119,50049,31763
1872,1063500080,71-0415188,46933,29987
1874,1780776211,71-0862119,44610,32052
1875,1942381314,71-0862119,46934,32330
1877,1437235637,71-0415188,50301,29694
1878,1467837583,71-0415188,36878,29751
1879,1376083386,71-0415188,8553,41853
1880,1295502649,71-0415188,118635,70716
1883,1063595684,71-0862119,39796,32932
1884,1801663265,71-0862119,118561,70717
1885,1588745954,71-0862119,39797,32308
1886,1841067204,71-0862119,118562,70718
1887,1457432817,71-0862119,50512,31188
1888,1619053808,71-0415188,46935,29773
1889,1720169261,71-0415188,54195,29664
1890,1336220870,71-0862119,46936,31984
1891,1134217938,71-0862119,55652,32351
1892,1386725380,71-0415188,46937,30375
1893,1164503520,71-0862119,46938,32168
1894,1942211040,71-0862119,46939,32345
1895,1063423218,71-0862119,46940,32268
1896,1164299541,71-0415188,118637,70719
1897,1649351644,71-0415188,46941,30322
1898,1508948423,71-0415188,46942,29757
1899,1518048651,71-0415188,50876,29971
1900,1760564967,71-0415188,46943,30101
1901,1740379619,71-0415188,46944,30104
1902,1659460525,71-0415188,46945,29673
1903,1538257878,71-0415188,50511,29657
1904,1700960390,71-0862119,51549,24546
1905,1841372042,71-0415188,46946,30229
1907,1710357298,71-0862119,33270,32720
1908,1184707309,71-0862119,46947,31849
1909,1508972993,71-0862119,46948,31500
1911,1518978642,71-0862119,46949,32036
1912,1942381967,71-0415188,50875,30176
1913,1992716039,71-0862119,46950,31371
1914,1891871208,71-0415188,45298,30141
1915,1841631090,71-0415188,38789,30240
1916,1174615298,71-0862119,46951,32546
1917,1306929948,71-0415188,51097,29803
1920,1841387420,71-0415188,50706,30205
1921,1518048974,71-0862119,51548,32502
1922,1437239878,71-0415188,50877,29695
1923,1962586115,71-0862119,46952,32305
1924,1801985130,71-0862119,46953,32765
1926,1619227907,71-0862119,33149,32191
1927,1871504845,71-0862119,46954,32796
1928,1255414348,71-0862119,46955,32371
