Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL,
80,5/19/2023,398355665175,3001 W Broadway,Columbia,MO,65203,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355665175,
81,5/19/2023,398355666583,84127 Highway 59,Stilwell,OK,74960-4257,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355666583,
82,5/19/2023,398355666837,1750 S Perryville Blvd,Perryville,MO,63775,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355666837,
83,5/19/2023,398355668141,60 Highway 79 N,Magnolia,AR,71753,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355668141,
85,5/19/2023,398355668976,17309 Interstate 30 S,Benton,AR,72015,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355668976,
86,5/19/2023,398355669413,2825 N Kansas Expy,Springfield,MO,65803,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355669413,
87,5/19/2023,398355670645,1379 Homer Rd,Minden,LA,71055,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355670645,
88,5/19/2023,398355670943,2100 N Main Ave,Mountain Grove,MO,65711,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355670943,
89,5/19/2023,398355672166,94 Cecil St,Camdenton,MO,65020,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355672166,
90,5/19/2023,398355673438,2115 S Main St,Grove,OK,74344,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355673438,
91,5/19/2023,398355674239,205 Deadrick Rd,Forrest City,AR,72335,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355674239,
92,5/19/2023,398355674489,3020 S Elliott Ave,Aurora,MO,65605,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355674489,
93,5/19/2023,398355674916,201 Lanny Bridges Ave,Covington,TN,38019,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355674916,
94,5/19/2023,398355676530,8445 Us Highway 51 N,Millington,TN,38053,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355676530,
95,5/19/2023,398355673910,407 N State St,Desloge,MO,63601,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355673910,
96,5/19/2023,398355678500,1700 N State Route 291,Harrisonville,MO,64701,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355678500,
97,5/19/2023,398355679491,628 Highway 51 N,Ripley,TN,38063,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355679491,
98,5/19/2023,398355680543,6091 Mer Rouge Rd,Bastrop,LA,71220,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355680543,
99,5/19/2023,398355681127,1445 E Central Ct,Union,MO,63084,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355681127,
100,5/19/2023,398355681790,406 S Walton Blvd,Bentonville,AR,72712,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355681790,
101,5/19/2023,398355682237,500 S Bishop Ave,Rolla,MO,65401,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355682237,
102,5/19/2023,398355680326,406 E 22Nd St,Stuttgart,AR,72160,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355680326,
103,5/19/2023,398355684230,196 Shawnee Mall Dr,Shawnee,OK,74804,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355684230,
104,5/19/2023,398355684630,15427 S First St,Milan,TN,38358,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355684630,
105,5/19/2023,398355686070,2301 S Harper Rd,Corinth,MS,38834,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355686070,
106,5/19/2023,398355686791,1405 Middle Rd,Fulton,KY,42041,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355686791,
107,5/19/2023,398355687217,134 Courtright Rd,Martin,TN,38237,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355687217,
108,5/19/2023,398355688280,1608 S Division St,Guthrie,OK,73044,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355688280,
109,5/19/2023,398355689003,2000 N Walnut St,Cameron,MO,64429,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355689003,
110,5/19/2023,398355689654,16313 New Independence Parkway,Winter Garden,FL,34787,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355689654,
111,5/19/2023,398355690923,2700 S Santa Fe Ave,Chanute,KS,66720,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355690923,
112,5/19/2023,398355690794,1010 Highway 12 W,Starkville,MS,39759,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355690794,
113,5/19/2023,398355692054,2001 S 1St St,Chickasha,OK,73018,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355692054,
114,5/19/2023,398355692960,300 Walmart Cir,Booneville,MS,38829,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355692960,
115,5/19/2023,398355688842,5509 Highway 45 Alt S,West Point,MS,39773,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355688842,
116,5/19/2023,398355695650,929 S Pine St,Vivian,LA,71082,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355695650,
117,5/19/2023,398355696510,501 S Park Dr,Broken Bow,OK,74728,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355696510,
118,5/19/2023,398355697722,1515 Highway 278 E,Amory,MS,38821,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355697722,
119,5/19/2023,398355698144,3150 Harrison St,Batesville,AR,72501,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355698144,
120,5/19/2023,398355698924,2716 N Central Ave,Humboldt,TN,38343,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355698924,
121,5/19/2023,398355699471,1800 S Wood Dr,Okmulgee,OK,74447,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355699471,
122,5/19/2023,398355701144,3051 E Jackson Blvd,Jackson,MO,63755,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355701144,
123,5/19/2023,398355701122,1500 E Wrangler Blvd,Seminole,OK,74868,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355701122,
124,5/19/2023,398355702107,8801 Baseline Rd,Little Rock,AR,72209,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355702107,
125,5/19/2023,398355702770,2425 Zero St,Fort Smith,AR,72901,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355702770,
126,5/19/2023,398355703217,2700 S Shackleford Rd,Little Rock,AR,72205,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355703217,
127,5/19/2023,398355705047,1910 Martin Luther King Blvd,Malvern,AR,72104,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355705047,
128,5/19/2023,398355650632,1911 W Parker Rd,Jonesboro,AR,72404,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355650632,
129,5/19/2023,398355653620,1715 N Commerce St,Ardmore,OK,73401,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355653620,
130,5/19/2023,398355654720,1000 W Shawnee St,Muskogee,OK,74401,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355654720,
131,5/19/2023,398355656273,2311 S Jefferson Ave,Mount Pleasant,TX,75455,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355656273,
132,5/19/2023,398355657626,200 Starlite Dr,Kingfisher,OK,73750,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355657626,
133,5/19/2023,398355658070,297 Highway 32 Byp,Ashdown,AR,71822,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355658070,
134,5/19/2023,398355658493,210 Regional Dr,Elk City,OK,73644,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355658493,
135,5/19/2023,398355659423,1000 Graves St,Chillicothe,MO,64601,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355659423,
136,5/19/2023,398355659467,1219 W Doolin Ave,Blackwell,OK,74631,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355659467,
137,5/19/2023,398355660015,111 N Perkins Rd,Stillwater,OK,74075,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355660015,
138,5/19/2023,398355662327,1923 E Kearney St,Springfield,MO,65803,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355662327,
139,5/19/2023,398355661868,2015 S Green Ave,Purcell,OK,73080,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355661868,
140,5/19/2023,398355663621,2500 Daniel Mccall Dr,Lufkin,TX,75904,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355663621,
141,5/19/2023,398355664330,8301 Rogers Ave,Fort Smith,AR,72903,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355664330,
143,5/19/2023,398355665646,310 W 5Th St,Benton,KY,42025,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355665646,
144,5/19/2023,398355665977,2875 W Martin Luther,Fayetteville,AR,72704,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355665977,
