DC,BANNER ,CATEGORY ,Pick Type,ITEM #,ITEM DESC,Ti ,Hi , Pack Height 
6073,WM,CUT FLORAL,Case Pick,579770235,BQ MD XL MIX DB CR,6,3,24.5
6073,WM,CUT FLORAL,Case Pick,599974158,RS MD 12ST RSE DB FF,6,3,24.5
6073,WM,CUT FLORAL,Case Pick,658419904,RS MD MIN RSPL DB BC,6,3,24.5
6073,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
6073,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
6073,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6074,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6074,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
6074,WM,CUT FLORAL,Case Pick,594730998,BQ MD XL MIX DB FP,6,3,24.5
6074,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
6074,WM,CUT FLORAL,Case Pick,658791713,RS MD 12ST RSE DB MF,6,3,24.5
6074,WM,CUT FLORAL,Case Pick,658968452,RS MD MIN RSPL DB CR,6,3,24.5
6074,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
6074,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
6077,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6077,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
6077,WM,CUT FLORAL,Case Pick,579770225,BQ MD XL MIX DB BC,6,3,24.5
6077,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6077,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
6077,WM,CUT FLORAL,Case Pick,658873678,BQ MD SM BQT DB EF,6,3,24.5
6077,WM,CUT FLORAL,Case Pick,658939897,RS MD MIN RSPL DB FF,6,3,24.5
6077,WM,CUT FLORAL,Case Pick,599976807,RS MD 12ST RSE DB CR,6,3,24.5
6077,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
6077,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
6082,WM,CUT FLORAL,Case Pick,599974162,CB MD LGCARN LADB FF,6,3,24.5
6082,WM,CUT FLORAL,Case Pick,599974175,CB MD CUPCAKE DB OF,6,3,24.5
6082,WM,CUT FLORAL,Case Pick,599977041,CB MD LG CARN DB RF,6,3,24.5
6082,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
6082,WM,CUT FLORAL,Case Pick,599934311,RS MD RSE DBB DI,6,3,24.5
6082,WM,CUT FLORAL,Case Pick,599974165,BQ MD XLMIX LA DB FF,6,3,24.5
6082,WM,CUT FLORAL,Case Pick,658898789,RS MD RSLILY LADB FF,6,3,24.5
6082,WM,CUT FLORAL,Case Pick,658939897,RS MD MIN RSPL DB FF,6,3,24.5
6082,WM,CUT FLORAL,Case Pick,658939898,RS MD MINRSP LADB FF,6,3,24.5
6082,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
6082,WM,CUT FLORAL,Case Pick,658898787,RS MD RSELILY DB VF,6,3,24.5
6082,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6083,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6083,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
6083,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6083,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
6083,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
6083,WM,CUT FLORAL,Case Pick,658791714,RS MD 12ST RSE DB G2,6,3,24.5
6083,WM,CUT FLORAL,Case Pick,658939897,RS MD MIN RSPL DB FF,6,3,24.5
6083,WM,CUT FLORAL,Case Pick,579770257,BQ MD XL MIX DB SB,6,3,24.5
6083,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
6083,WM,CUT FLORAL,Case Pick,658898787,RS MD RSELILY DB VF,6,3,24.5
6083,WM,CUT FLORAL,Case Pick,658939897,RS MD MIN RSPL DB FF,6,3,24.5
6083,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6084,WM,CUT FLORAL,Case Pick,599903580,CB MD LG CARN DB DI,6,3,24.5
6084,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6084,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
6084,WM,CUT FLORAL,Case Pick,599903580,CB MD LG CARN DB DI,6,3,24.5
6084,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6084,WM,CUT FLORAL,Case Pick,599974158,RS MD 12ST RSE DB FF,6,3,24.5
6084,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
6084,WM,CUT FLORAL,Case Pick,658898793,RS MD RSELILY DB CR,6,3,24.5
6084,WM,CUT FLORAL,Case Pick,658939902,RS MD MIN RSPL DB GF,6,3,24.5
6084,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6085,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6085,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
6085,WM,CUT FLORAL,Case Pick,579770225,BQ MD XL MIX DB BC,6,3,24.5
6085,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6085,WM,CUT FLORAL,Case Pick,658791713,RS MD 12ST RSE DB MF,6,3,24.5
6085,WM,CUT FLORAL,Case Pick,658873678,BQ MD SM BQT DB EF,6,3,24.5
6085,WM,CUT FLORAL,Case Pick,658939902,RS MD MIN RSPL DB GF,6,3,24.5
6085,WM,CUT FLORAL,Case Pick,658898793,RS MD RSELILY DB CR,6,3,24.5
6085,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
6090,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6090,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
6090,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
6090,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6090,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
6090,WM,CUT FLORAL,Case Pick,650819873,RS MD 12ST RSE DB FP,6,3,24.5
6090,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
6090,WM,CUT FLORAL,Case Pick,658898790,RS MD RSELILY DB RF,6,3,24.5
6090,WM,CUT FLORAL,Case Pick,658968452,RS MD MIN RSPL DB CR,6,3,24.5
6090,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6091,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6091,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
6091,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
6091,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6091,WM,CUT FLORAL,Case Pick,599974158,RS MD 12ST RSE DB FF,6,3,24.5
6091,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
6091,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
6091,WM,CUT FLORAL,Case Pick,658898793,RS MD RSELILY DB CR,6,3,24.5
6091,WM,CUT FLORAL,Case Pick,658939902,RS MD MIN RSPL DB GF,6,3,24.5
6091,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6095,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6095,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
6095,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
6095,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6095,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
6095,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
6095,WM,CUT FLORAL,Case Pick,599934311,RS MD RSE DBB DI,6,3,24.5
6095,WM,CUT FLORAL,Case Pick,658419904,RS MD MIN RSPL DB BC,6,3,24.5
6095,WM,CUT FLORAL,Case Pick,658898788,RS MD RSELILY DB FF,6,3,24.5
6095,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6096,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6096,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
6096,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6096,WM,CUT FLORAL,Case Pick,599974155,BQ MD XL MIX DB RD,6,3,24.5
6096,WM,CUT FLORAL,Case Pick,599974158,RS MD 12ST RSE DB FF,6,3,24.5
6096,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
6096,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
6096,WM,CUT FLORAL,Case Pick,658898787,RS MD RSELILY DB VF,6,3,24.5
6096,WM,CUT FLORAL,Case Pick,658939902,RS MD MIN RSPL DB GF,6,3,24.5
6096,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6097,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6097,WM,CUT FLORAL,Case Pick,599977041,CB MD LG CARN DB RF,6,3,24.5
6097,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6097,WM,CUT FLORAL,Case Pick,599974155,BQ MD XL MIX DB RD,6,3,24.5
6097,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
6097,WM,CUT FLORAL,Case Pick,599977041,CB MD LG CARN DB RF,6,3,24.5
6097,WM,CUT FLORAL,Case Pick,658791714,RS MD 12ST RSE DB G2,6,3,24.5
6097,WM,CUT FLORAL,Case Pick,658898793,RS MD RSELILY DB CR,6,3,24.5
6097,WM,CUT FLORAL,Case Pick,658939901,RS MD MIN RSPL DB DI,6,3,24.5
6097,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
6099,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
6099,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
6099,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
6099,WM,CUT FLORAL,Case Pick,658939897,RS MD MIN RSPL DB FF,6,3,24.5
6099,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
6099,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
6099,WM,CUT FLORAL,Case Pick,658791850,RS MD 12ST RSE DB GF,6,3,25
6099,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6858,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6858,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
6858,WM,CUT FLORAL,Case Pick,658791850,RS MD 12ST RSE DB GF,6,3,25
6858,WM,CUT FLORAL,Case Pick,658873678,BQ MD SM BQT DB EF,6,3,24.5
6858,WM,CUT FLORAL,Case Pick,658898793,RS MD RSELILY DB CR,6,3,24.5
6858,WM,CUT FLORAL,Case Pick,658939901,RS MD MIN RSPL DB DI,6,3,24.5
6858,WM,CUT FLORAL,Case Pick,658873678,BQ MD SM BQT DB EF,6,3,24.5
6858,WM,CUT FLORAL,Case Pick,658898795,BQ MD XL MIX DB VF,6,3,24.5
6858,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,599903580,CB MD LG CARN DB DI,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,599974162,CB MD LGCARN LADB FF,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,599934311,RS MD RSE DBB DI,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,599974165,BQ MD XLMIX LA DB FF,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,658873680,BQ MD STRIPY DB LAFF,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,658898789,RS MD RSLILY LADB FF,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,658939897,RS MD MIN RSPL DB FF,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,658939898,RS MD MINRSP LADB FF,6,3,24.5
7010,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
7012,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7012,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
7012,WM,CUT FLORAL,Case Pick,579770260,BQ MD XL MIX DB UB,6,3,24.5
7012,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7012,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
7012,WM,CUT FLORAL,Case Pick,658873678,BQ MD SM BQT DB EF,6,3,24.5
7012,WM,CUT FLORAL,Case Pick,658898790,RS MD RSELILY DB RF,6,3,24.5
7012,WM,CUT FLORAL,Case Pick,658939900,RS MD MIN RSPL DB FA,6,3,24.5
7012,WM,CUT FLORAL,Case Pick,650819873,RS MD 12ST RSE DB FP,6,3,24.5
7013,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7013,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
7013,WM,CUT FLORAL,Case Pick,579770225,BQ MD XL MIX DB BC,6,3,24.5
7013,WM,CUT FLORAL,Case Pick,658873678,BQ MD SM BQT DB EF,6,3,24.5
7013,WM,CUT FLORAL,Case Pick,658898793,RS MD RSELILY DB CR,6,3,24.5
7013,WM,CUT FLORAL,Case Pick,650819873,RS MD 12ST RSE DB FP,6,3,24.5
7013,WM,CUT FLORAL,Case Pick,658419904,RS MD MIN RSPL DB BC,6,3,24.5
7013,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
7014,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
7014,WM,CUT FLORAL,Case Pick,599974175,CB MD CUPCAKE DB OF,6,3,24.5
7014,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
7014,WM,CUT FLORAL,Case Pick,599974175,CB MD CUPCAKE DB OF,6,3,24.5
7014,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
7014,WM,CUT FLORAL,Case Pick,658898787,RS MD RSELILY DB VF,6,3,24.5
7014,WM,CUT FLORAL,Case Pick,599974158,RS MD 12ST RSE DB FF,6,3,24.5
7014,WM,CUT FLORAL,Case Pick,658968452,RS MD MIN RSPL DB CR,6,3,24.5
7015,WM,CUT FLORAL,Case Pick,599903580,CB MD LG CARN DB DI,6,3,24.5
7015,WM,CUT FLORAL,Case Pick,599974146,BQ MD XL MIX DB EF,6,3,24.5
7015,WM,CUT FLORAL,Case Pick,658939901,RS MD MIN RSPL DB DI,6,3,24.5
7015,WM,CUT FLORAL,Case Pick,658791714,RS MD 12ST RSE DB G2,6,3,24.5
7015,WM,CUT FLORAL,Case Pick,658873678,BQ MD SM BQT DB EF,6,3,24.5
7015,WM,CUT FLORAL,Case Pick,658898790,RS MD RSELILY DB RF,6,3,24.5
7015,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
7016,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7016,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
7016,WM,CUT FLORAL,Case Pick,579770225,BQ MD XL MIX DB BC,6,3,24.5
7016,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7016,WM,CUT FLORAL,Case Pick,658419904,RS MD MIN RSPL DB BC,6,3,24.5
7016,WM,CUT FLORAL,Case Pick,658791850,RS MD 12ST RSE DB GF,6,3,25
7016,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
7016,WM,CUT FLORAL,Case Pick,658898793,RS MD RSELILY DB CR,6,3,24.5
7017,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7017,WM,CUT FLORAL,Case Pick,650819837,CB MD LG CARN DB FA,6,3,24.5
7017,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7017,WM,CUT FLORAL,Case Pick,658791713,RS MD 12ST RSE DB MF,6,3,24.5
7017,WM,CUT FLORAL,Case Pick,658898787,RS MD RSELILY DB VF,6,3,24.5
7017,WM,CUT FLORAL,Case Pick,658939901,RS MD MIN RSPL DB DI,6,3,24.5
7017,WM,CUT FLORAL,Case Pick,658873677,BQ MD SM BQT DB CH,6,3,24.5
7018,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7018,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
7018,WM,CUT FLORAL,Case Pick,579770260,BQ MD XL MIX DB UB,6,3,24.5
7018,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7018,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
7018,WM,CUT FLORAL,Case Pick,599974158,RS MD 12ST RSE DB FF,6,3,24.5
7018,WM,CUT FLORAL,Case Pick,658939901,RS MD MIN RSPL DB DI,6,3,24.5
7018,WM,CUT FLORAL,Case Pick,658873677,BQ MD SM BQT DB CH,6,3,24.5
7018,WM,CUT FLORAL,Case Pick,658898791,RS MD RSELILY DB FA,6,3,24.5
7018,WM,CUT FLORAL,Case Pick,658939901,RS MD MIN RSPL DB DI,6,3,24.5
7018,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
7019,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7019,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
7019,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
7019,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
7019,WM,CUT FLORAL,Case Pick,658791850,RS MD 12ST RSE DB GF,6,3,25
7019,WM,CUT FLORAL,Case Pick,658898791,RS MD RSELILY DB FA,6,3,24.5
7019,WM,CUT FLORAL,Case Pick,658939902,RS MD MIN RSPL DB GF,6,3,24.5
7021,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7021,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
7021,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7021,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
7021,WM,CUT FLORAL,Case Pick,599976807,RS MD 12ST RSE DB CR,6,3,24.5
7021,WM,CUT FLORAL,Case Pick,658898795,BQ MD XL MIX DB VF,6,3,24.5
7021,WM,CUT FLORAL,Case Pick,658939902,RS MD MIN RSPL DB GF,6,3,24.5
7021,WM,CUT FLORAL,Case Pick,658873679,BQ MD SM BQT DB UB,6,3,24.5
7021,WM,CUT FLORAL,Case Pick,658898793,RS MD RSELILY DB CR,6,3,24.5
7021,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
7023,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7023,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
7023,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
7023,WM,CUT FLORAL,Case Pick,658791850,RS MD 12ST RSE DB GF,6,3,25
7023,WM,CUT FLORAL,Case Pick,658898793,RS MD RSELILY DB CR,6,3,24.5
7023,WM,CUT FLORAL,Case Pick,658939900,RS MD MIN RSPL DB FA,6,3,24.5
7023,WM,CUT FLORAL,Case Pick,599974155,BQ MD XL MIX DB RD,6,3,24.5
7023,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
7024,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7024,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
7024,WM,CUT FLORAL,Case Pick,579770225,BQ MD XL MIX DB BC,6,3,24.5
7024,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7024,WM,CUT FLORAL,Case Pick,599974158,RS MD 12ST RSE DB FF,6,3,24.5
7024,WM,CUT FLORAL,Case Pick,658873679,BQ MD SM BQT DB UB,6,3,24.5
7024,WM,CUT FLORAL,Case Pick,658898791,RS MD RSELILY DB FA,6,3,24.5
7024,WM,CUT FLORAL,Case Pick,658968452,RS MD MIN RSPL DB CR,6,3,24.5
7024,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
7030,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7030,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
7030,WM,CUT FLORAL,Case Pick,599974158,RS MD 12ST RSE DB FF,6,3,24.5
7030,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
7030,WM,CUT FLORAL,Case Pick,658873679,BQ MD SM BQT DB UB,6,3,24.5
7030,WM,CUT FLORAL,Case Pick,658968452,RS MD MIN RSPL DB CR,6,3,24.5
7030,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
7030,WM,CUT FLORAL,Case Pick,658898795,BQ MD XL MIX DB VF,6,3,24.5
7048,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7048,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
7048,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7048,WM,CUT FLORAL,Case Pick,599974158,RS MD 12ST RSE DB FF,6,3,24.5
7048,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
7048,WM,CUT FLORAL,Case Pick,658898788,RS MD RSELILY DB FF,6,3,24.5
7048,WM,CUT FLORAL,Case Pick,658939901,RS MD MIN RSPL DB DI,6,3,24.5
7048,WM,CUT FLORAL,Case Pick,658898795,BQ MD XL MIX DB VF,6,3,24.5
7048,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
7055,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7055,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
7055,WM,CUT FLORAL,Case Pick,579770225,BQ MD XL MIX DB BC,6,3,24.5
7055,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7055,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
7055,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
7055,WM,CUT FLORAL,Case Pick,658873677,BQ MD SM BQT DB CH,6,3,24.5
7055,WM,CUT FLORAL,Case Pick,658968452,RS MD MIN RSPL DB CR,6,3,24.5
7055,WM,CUT FLORAL,Case Pick,658791850,RS MD 12ST RSE DB GF,6,3,25
7055,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
7077,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7077,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
7077,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7077,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
7077,WM,CUT FLORAL,Case Pick,599976807,RS MD 12ST RSE DB CR,6,3,24.5
7077,WM,CUT FLORAL,Case Pick,658939901,RS MD MIN RSPL DB DI,6,3,24.5
7077,WM,CUT FLORAL,Case Pick,658873677,BQ MD SM BQT DB CH,6,3,24.5
7077,WM,CUT FLORAL,Case Pick,658898793,RS MD RSELILY DB CR,6,3,24.5
7077,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
7079,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7079,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
7079,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7079,WM,CUT FLORAL,Case Pick,658791843,RS MD 12ST RSE DB UB,6,3,24.5
7079,WM,CUT FLORAL,Case Pick,658898787,RS MD RSELILY DB VF,6,3,24.5
7079,WM,CUT FLORAL,Case Pick,658939900,RS MD MIN RSPL DB FA,6,3,24.5
7079,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
7079,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
7084,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7084,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
7084,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
7084,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
7084,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
7084,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
7084,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
