Store ,Market ,Region,Rollout Phase ,Fixture Arrival Week,Execution Set Week,Total Fixture Pallets
735,151,12,TBD,TBD,TBD,TBD
736,253,41,TBD,TBD,TBD,TBD
737,151,12,Oct-22,35,36,3
738,147,12,TBD,TBD,TBD,TBD
739,258,41,TBD,TBD,TBD,TBD
740,7,14,TBD,TBD,TBD,TBD
741,121,2,Oct-22,35,36,4
742,124,4,Oct-22,35,36,4
743,353,44,Oct-22,39,40,5
744,59,6,Oct-22,39,40,5
745,19,2,Oct-22,39,40,4
746,76,5,Oct-22,37,38,4
747,341,25,TBD,TBD,TBD,TBD
748,414,52,Oct-22,39,40,2
749,414,52,TBD,TBD,TBD,TBD
750,415,52,TBD,TBD,TBD,TBD
751,413,52,TBD,TBD,TBD,TBD
752,63,6,Oct-22,37,38,4
753,415,52,Oct-22,35,36,4
754,30,3,Oct-22,35,36,4
755,70,46,TBD,TBD,TBD,TBD
756,120,2,TBD,TBD,TBD,TBD
757,77,6,Oct-22,37,38,4
758,32,3,Oct-22,37,38,4
759,116,9,TBD,TBD,TBD,TBD
760,256,41,TBD,TBD,TBD,TBD
761,129,13,TBD,TBD,TBD,TBD
762,2,14,Oct-22,35,36,4
764,11,14,Oct-22,37,38,5
765,87,6,Oct-22,37,38,4
766,137,12,Oct-22,35,36,4
767,101,3,TBD,TBD,TBD,TBD
768,65,6,Oct-22,35,36,4
769,115,9,TBD,TBD,TBD,TBD
770,406,47,Oct-22,35,36,3
771,92,9,Oct-22,37,38,4
772,64,6,Oct-22,39,40,5
773,134,13,Oct-22,35,36,5
774,433,47,TBD,TBD,TBD,TBD
775,279,25,TBD,TBD,TBD,TBD
776,432,47,TBD,TBD,TBD,TBD
777,66,13,Oct-22,39,40,4
778,118,9,TBD,TBD,TBD,TBD
779,114,9,TBD,TBD,TBD,TBD
780,25,2,TBD,TBD,TBD,TBD
781,81,5,TBD,TBD,TBD,TBD
782,88,46,Oct-22,37,38,4
783,359,40,TBD,TBD,TBD,TBD
784,418,52,TBD,TBD,TBD,TBD
785,141,13,TBD,TBD,TBD,TBD
786,264,25,TBD,TBD,TBD,TBD
787,22,2,TBD,TBD,TBD,TBD
788,328,42,TBD,TBD,TBD,TBD
789,583,5,TBD,TBD,TBD,TBD
790,429,47,TBD,TBD,TBD,TBD
791,78,6,Oct-22,37,38,5
792,279,25,TBD,TBD,TBD,TBD
793,70,46,TBD,TBD,TBD,TBD
794,409,44,Oct-22,39,40,4
795,39,2,TBD,TBD,TBD,TBD
796,279,25,TBD,TBD,TBD,TBD
797,418,52,Oct-22,37,38,4
798,273,25,TBD,TBD,TBD,TBD
799,406,47,Oct-22,37,38,3
800,89,9,TBD,TBD,TBD,TBD
801,360,40,Oct-22,39,40,2
802,263,53,TBD,TBD,TBD,TBD
803,128,13,Oct-22,39,40,2
804,48,5,TBD,TBD,TBD,TBD
805,340,40,TBD,TBD,TBD,TBD
806,387,46,TBD,TBD,TBD,TBD
807,50,5,Oct-22,37,38,4
808,61,6,Oct-22,35,36,5
809,10,14,Oct-22,35,36,4
810,426,52,Oct-22,37,38,4
811,118,9,Oct-22,39,40,3
812,70,46,Oct-22,35,36,2
813,81,5,Oct-22,35,36,4
814,107,9,Oct-22,35,36,4
815,336,40,TBD,TBD,TBD,TBD
816,141,13,Oct-22,37,38,4
817,90,9,TBD,TBD,TBD,TBD
818,15,14,TBD,TBD,TBD,TBD
819,105,9,Oct-22,35,36,4
820,359,40,TBD,TBD,TBD,TBD
821,71,46,TBD,TBD,TBD,TBD
822,70,46,Oct-22,39,40,4
823,345,44,Oct-22,39,40,5
824,385,46,TBD,TBD,TBD,TBD
825,257,41,TBD,TBD,TBD,TBD
826,375,46,Oct-22,39,40,5
827,45,5,TBD,TBD,TBD,TBD
828,251,25,Oct-22,37,38,4
829,385,46,TBD,TBD,TBD,TBD
830,279,25,TBD,TBD,TBD,TBD
831,385,46,TBD,TBD,TBD,TBD
833,271,25,TBD,TBD,TBD,TBD
834,360,40,TBD,TBD,TBD,TBD
835,385,46,TBD,TBD,TBD,TBD
836,28,3,TBD,TBD,TBD,TBD
837,333,40,TBD,TBD,TBD,TBD
838,345,44,Oct-22,35,36,5
839,130,13,Oct-22,37,38,5
841,415,52,TBD,TBD,TBD,TBD
842,389,47,Oct-22,35,36,4
843,27,3,Oct-22,35,36,2
844,262,25,TBD,TBD,TBD,TBD
845,357,40,TBD,TBD,TBD,TBD
846,85,6,TBD,TBD,TBD,TBD
847,441,53,TBD,TBD,TBD,TBD
848,144,12,Oct-22,39,40,4
849,59,6,Oct-22,35,36,4
850,385,46,TBD,TBD,TBD,TBD
851,387,46,Oct-22,37,38,4
852,262,25,TBD,TBD,TBD,TBD
853,1,14,TBD,TBD,TBD,TBD
854,246,21,Oct-22,39,40,5
855,22,2,TBD,TBD,TBD,TBD
856,22,2,TBD,TBD,TBD,TBD
857,94,3,Oct-22,35,36,4
858,97,3,TBD,TBD,TBD,TBD
859,116,9,TBD,TBD,TBD,TBD
860,94,3,Oct-22,37,38,5
861,71,46,TBD,TBD,TBD,TBD
862,28,3,Oct-22,35,36,5
863,10,14,TBD,TBD,TBD,TBD
864,28,3,Oct-22,37,38,4
865,87,6,Oct-22,39,40,5
866,1,14,TBD,TBD,TBD,TBD
867,429,47,Oct-22,39,40,4
868,387,46,Oct-22,35,36,4
869,375,46,Oct-22,39,40,4
870,580,25,TBD,TBD,TBD,TBD
871,333,40,TBD,TBD,TBD,TBD
872,62,6,Oct-22,37,38,4
873,375,46,Oct-22,39,40,3
874,141,13,Oct-22,35,36,4
875,140,13,Oct-22,35,36,4
876,127,42,TBD,TBD,TBD,TBD
877,309,26,Oct-22,37,38,4
878,24,2,TBD,TBD,TBD,TBD
879,152,41,TBD,TBD,TBD,TBD
880,50,5,Oct-22,35,36,4
881,41,4,TBD,TBD,TBD,TBD
882,425,53,TBD,TBD,TBD,TBD
884,249,25,Oct-22,39,40,4
885,433,47,TBD,TBD,TBD,TBD
886,426,52,Oct-22,35,36,5
887,141,13,Oct-22,35,36,3
888,334,42,TBD,TBD,TBD,TBD
889,27,3,Oct-22,37,38,3
890,91,9,TBD,TBD,TBD,TBD
891,279,25,TBD,TBD,TBD,TBD
892,414,52,Oct-22,37,38,4
893,349,44,TBD,TBD,TBD,TBD
894,356,44,Oct-22,35,36,4
895,336,40,TBD,TBD,TBD,TBD
896,49,5,TBD,TBD,TBD,TBD
897,73,46,Oct-22,39,40,3
898,73,46,TBD,TBD,TBD,TBD
899,27,3,Oct-22,35,36,4
900,70,46,TBD,TBD,TBD,TBD
901,77,6,TBD,TBD,TBD,TBD
902,251,25,TBD,TBD,TBD,TBD
903,140,13,Oct-22,39,40,4
904,1,14,TBD,TBD,TBD,TBD
905,379,47,Oct-22,35,36,4
906,384,46,TBD,TBD,TBD,TBD
907,32,3,Oct-22,35,36,4
908,90,9,TBD,TBD,TBD,TBD
909,125,13,Oct-22,37,38,4
910,442,53,TBD,TBD,TBD,TBD
911,128,13,Oct-22,39,40,4
912,125,13,Oct-22,35,36,4
913,425,53,TBD,TBD,TBD,TBD
914,322,42,Oct-22,35,36,3
915,62,6,Oct-22,35,36,4
916,141,13,Oct-22,39,40,5
917,81,5,TBD,TBD,TBD,TBD
918,46,5,Oct-22,37,38,4
919,15,14,TBD,TBD,TBD,TBD
921,388,54,TBD,TBD,TBD,TBD
922,243,25,TBD,TBD,TBD,TBD
923,482,25,TBD,TBD,TBD,TBD
924,378,54,Oct-22,35,36,4
925,114,9,Oct-22,37,38,2
927,71,46,TBD,TBD,TBD,TBD
928,98,3,Oct-22,37,38,3
929,107,9,Oct-22,37,38,5
930,8,14,TBD,TBD,TBD,TBD
931,92,9,Oct-22,35,36,4
932,16,3,Oct-22,35,36,5
933,263,53,TBD,TBD,TBD,TBD
934,1,14,TBD,TBD,TBD,TBD
935,130,13,Oct-22,35,36,5
936,273,25,TBD,TBD,TBD,TBD
937,26,2,TBD,TBD,TBD,TBD
938,8,14,TBD,TBD,TBD,TBD
939,76,5,Oct-22,39,40,4
940,479,5,TBD,TBD,TBD,TBD
941,116,9,TBD,TBD,TBD,TBD
942,89,9,TBD,TBD,TBD,TBD
943,91,9,TBD,TBD,TBD,TBD
944,15,14,TBD,TBD,TBD,TBD
945,71,46,TBD,TBD,TBD,TBD
947,350,44,TBD,TBD,TBD,TBD
948,304,4,Oct-22,35,36,4
950,145,12,Oct-22,37,38,4
951,85,6,Oct-22,37,38,2
952,27,3,Oct-22,39,40,3
953,378,54,Oct-22,35,36,4
954,141,13,Oct-22,39,40,3
955,91,9,TBD,TBD,TBD,TBD
956,92,9,Oct-22,37,38,4
957,279,25,TBD,TBD,TBD,TBD
958,263,53,TBD,TBD,TBD,TBD
959,89,9,TBD,TBD,TBD,TBD
960,93,3,TBD,TBD,TBD,TBD
961,129,13,Oct-22,39,40,5
962,389,47,Oct-22,39,40,3
963,48,5,Oct-22,35,36,5
964,505,46,TBD,TBD,TBD,TBD
965,438,53,Oct-22,39,40,3
966,375,46,Oct-22,35,36,4
967,104,9,Oct-22,39,40,5
968,116,9,TBD,TBD,TBD,TBD
969,143,13,TBD,TBD,TBD,TBD
970,143,13,Oct-22,37,38,4
971,438,53,TBD,TBD,TBD,TBD
972,479,5,TBD,TBD,TBD,TBD
973,92,9,Oct-22,39,40,4
974,92,9,TBD,TBD,TBD,TBD
975,350,44,Oct-22,37,38,5
976,135,42,Oct-22,37,38,3
977,98,3,Oct-22,37,38,3
978,406,47,TBD,TBD,TBD,TBD
979,438,53,TBD,TBD,TBD,TBD
980,378,54,Oct-22,37,38,4
981,138,14,Oct-22,39,40,3
982,425,53,Oct-22,39,40,3
984,391,47,Oct-22,37,38,4
985,418,52,Oct-22,39,40,2
986,388,54,Oct-22,35,36,3
987,105,9,TBD,TBD,TBD,TBD
988,104,9,TBD,TBD,TBD,TBD
989,128,13,Oct-22,37,38,4
990,14,14,Oct-22,37,38,5
991,1,14,TBD,TBD,TBD,TBD
992,356,44,TBD,TBD,TBD,TBD
993,407,47,TBD,TBD,TBD,TBD
994,104,9,Oct-22,37,38,4
995,251,25,TBD,TBD,TBD,TBD
996,251,25,TBD,TBD,TBD,TBD
999,86,6,Oct-22,37,38,4
1000,569,6,Oct-22,39,40,4
1001,389,47,Oct-22,39,40,4
1002,580,25,TBD,TBD,TBD,TBD
1003,262,25,TBD,TBD,TBD,TBD
1004,115,9,Oct-22,37,38,4
1005,426,52,TBD,TBD,TBD,TBD
1006,27,3,Oct-22,35,36,3
1007,438,53,TBD,TBD,TBD,TBD
1008,378,54,Oct-22,39,40,3
1009,333,40,TBD,TBD,TBD,TBD
1010,309,26,Oct-22,37,38,5
1011,29,4,TBD,TBD,TBD,TBD
1012,444,53,TBD,TBD,TBD,TBD
1013,251,25,TBD,TBD,TBD,TBD
1014,361,40,Oct-22,35,36,4
1015,505,46,TBD,TBD,TBD,TBD
1016,129,13,Oct-22,35,36,5
1017,38,4,Oct-22,37,38,3
1018,28,3,Oct-22,39,40,3
1019,389,47,Oct-22,37,38,4
1020,425,53,Oct-22,39,40,4
1021,339,40,TBD,TBD,TBD,TBD
1022,45,5,Oct-22,39,40,5
1023,311,20,TBD,TBD,TBD,TBD
1024,30,3,Oct-22,39,40,2
1025,141,13,Oct-22,37,38,3
1026,580,25,TBD,TBD,TBD,TBD
1027,306,4,Oct-22,39,40,4
1028,278,25,Oct-22,39,40,4
1029,104,9,Oct-22,35,36,3
1030,38,4,Oct-22,39,40,4
1032,15,14,TBD,TBD,TBD,TBD
1033,243,25,TBD,TBD,TBD,TBD
1034,305,4,Oct-22,39,40,4
1035,42,4,Oct-22,37,38,5
1036,294,2,Oct-22,39,40,4
1037,36,4,Oct-22,39,40,4
1038,425,53,TBD,TBD,TBD,TBD
1039,304,4,TBD,TBD,TBD,TBD
1040,65,6,Oct-22,37,38,3
1041,569,6,Oct-22,39,40,4
1042,85,6,TBD,TBD,TBD,TBD
1043,350,44,TBD,TBD,TBD,TBD
1044,45,5,Oct-22,39,40,4
1045,379,47,Oct-22,39,40,4
1046,88,46,TBD,TBD,TBD,TBD
1047,22,2,TBD,TBD,TBD,TBD
1048,257,41,Oct-22,35,36,3
1051,71,46,TBD,TBD,TBD,TBD
1052,11,14,TBD,TBD,TBD,TBD
1053,242,41,TBD,TBD,TBD,TBD
1054,411,47,Oct-22,39,40,4
1055,583,5,TBD,TBD,TBD,TBD
1056,353,44,TBD,TBD,TBD,TBD
1057,10,14,TBD,TBD,TBD,TBD
1058,388,54,Oct-22,37,38,4
1059,138,14,TBD,TBD,TBD,TBD
1060,304,4,Oct-22,39,40,4
1061,28,3,TBD,TBD,TBD,TBD
1062,63,6,Oct-22,35,36,4
1063,7,14,TBD,TBD,TBD,TBD
1064,304,4,Oct-22,39,40,3
1065,325,42,TBD,TBD,TBD,TBD
1066,143,13,Oct-22,35,36,4
1067,84,6,TBD,TBD,TBD,TBD
1068,92,9,Oct-22,39,40,4
1069,138,14,Oct-22,37,38,3
1070,18,2,TBD,TBD,TBD,TBD
1071,341,25,TBD,TBD,TBD,TBD
1072,27,3,Oct-22,39,40,5
1073,81,5,TBD,TBD,TBD,TBD
1074,136,12,Oct-22,35,36,4
1075,149,12,Oct-22,37,38,4
1076,32,3,Oct-22,37,38,3
1077,97,3,Oct-22,35,36,4
1078,74,5,TBD,TBD,TBD,TBD
1079,94,3,TBD,TBD,TBD,TBD
1080,124,4,Oct-22,37,38,4
1081,93,3,TBD,TBD,TBD,TBD
1082,98,3,Oct-22,37,38,5
1083,101,3,TBD,TBD,TBD,TBD
1084,91,9,TBD,TBD,TBD,TBD
1085,104,9,Oct-22,39,40,5
1086,90,9,TBD,TBD,TBD,TBD
1087,107,9,Oct-22,35,36,4
1088,143,13,TBD,TBD,TBD,TBD
1089,119,2,TBD,TBD,TBD,TBD
1090,101,3,TBD,TBD,TBD,TBD
1091,7,14,TBD,TBD,TBD,TBD
1093,246,21,Oct-22,39,40,3
1094,361,40,Oct-22,39,40,5
1095,388,54,Oct-22,35,36,4
1096,304,4,TBD,TBD,TBD,TBD
1097,309,26,Oct-22,37,38,4
1098,84,6,Oct-22,35,36,3
1099,409,44,Oct-22,37,38,4
1100,137,12,TBD,TBD,TBD,TBD
1101,8,14,TBD,TBD,TBD,TBD
1102,130,13,Oct-22,35,36,5
1103,59,6,Oct-22,37,38,4
1104,104,9,TBD,TBD,TBD,TBD
1105,326,42,TBD,TBD,TBD,TBD
1106,141,13,Oct-22,39,40,2
1107,134,13,Oct-22,35,36,2
1108,135,42,Oct-22,35,36,2
1109,135,42,Oct-22,35,36,2
1110,135,42,Oct-22,35,36,2
1111,21,2,TBD,TBD,TBD,TBD
1112,16,3,TBD,TBD,TBD,TBD
1113,258,41,TBD,TBD,TBD,TBD
1114,328,42,TBD,TBD,TBD,TBD
1115,147,12,TBD,TBD,TBD,TBD
1116,349,44,Oct-22,39,40,3
1117,51,5,Oct-22,39,40,4
1118,55,5,TBD,TBD,TBD,TBD
1119,105,9,Oct-22,35,36,4
1120,360,40,Oct-22,37,38,4
1121,21,2,Oct-22,39,40,5
1122,18,2,TBD,TBD,TBD,TBD
1123,35,2,TBD,TBD,TBD,TBD
1124,137,12,TBD,TBD,TBD,TBD
1125,278,25,TBD,TBD,TBD,TBD
1126,506,6,Oct-22,35,36,4
1128,134,13,Oct-22,37,38,3
1129,82,5,TBD,TBD,TBD,TBD
1130,39,2,Oct-22,35,36,5
1131,304,4,TBD,TBD,TBD,TBD
1132,298,26,Oct-22,37,38,5
1133,309,26,Oct-22,39,40,4
1134,7,14,TBD,TBD,TBD,TBD
1135,38,4,Oct-22,37,38,3
1136,131,13,Oct-22,37,38,3
1137,60,6,Oct-22,39,40,4
1138,441,53,TBD,TBD,TBD,TBD
1139,259,41,Oct-22,37,38,4
1140,259,41,Oct-22,39,40,5
1141,249,25,TBD,TBD,TBD,TBD
1142,243,25,TBD,TBD,TBD,TBD
1143,30,3,TBD,TBD,TBD,TBD
1144,42,4,Oct-22,35,36,2
1146,36,4,Oct-22,37,38,4
1147,328,42,TBD,TBD,TBD,TBD
1148,349,44,TBD,TBD,TBD,TBD
1149,367,46,TBD,TBD,TBD,TBD
1150,85,6,Oct-22,39,40,4
1151,362,40,Oct-22,39,40,5
1152,426,52,TBD,TBD,TBD,TBD
1153,32,3,Oct-22,39,40,4
1154,506,6,TBD,TBD,TBD,TBD
1155,310,26,Oct-22,37,38,5
1156,306,4,Oct-22,35,36,4
1157,243,25,TBD,TBD,TBD,TBD
1158,2,14,Oct-22,35,36,4
1159,123,2,TBD,TBD,TBD,TBD
1160,243,25,TBD,TBD,TBD,TBD
1161,339,40,TBD,TBD,TBD,TBD
1162,580,25,TBD,TBD,TBD,TBD
1163,125,13,Oct-22,39,40,5
1164,41,4,Oct-22,35,36,4
1165,256,41,TBD,TBD,TBD,TBD
1166,300,26,TBD,TBD,TBD,TBD
1167,435,53,TBD,TBD,TBD,TBD
1168,141,13,Oct-22,35,36,3
1169,127,42,Oct-22,39,40,2
1170,256,41,TBD,TBD,TBD,TBD
1171,115,9,Oct-22,35,36,3
1172,98,3,Oct-22,39,40,5
1173,98,3,TBD,TBD,TBD,TBD
1174,14,14,TBD,TBD,TBD,TBD
1175,364,46,TBD,TBD,TBD,TBD
1176,441,53,TBD,TBD,TBD,TBD
1177,340,40,TBD,TBD,TBD,TBD
1178,50,5,TBD,TBD,TBD,TBD
1179,294,2,Oct-22,39,40,4
1180,243,25,TBD,TBD,TBD,TBD
1181,23,2,TBD,TBD,TBD,TBD
1182,94,3,Oct-22,39,40,4
1183,41,4,Oct-22,37,38,4
1184,20,2,TBD,TBD,TBD,TBD
1185,83,5,Oct-22,37,38,5
1186,60,6,Oct-22,39,40,4
1187,410,44,TBD,TBD,TBD,TBD
1188,339,40,TBD,TBD,TBD,TBD
1189,258,41,TBD,TBD,TBD,TBD
1190,257,41,Oct-22,39,40,3
1191,296,26,Oct-22,35,36,4
1192,141,13,Oct-22,39,40,2
1193,135,42,Oct-22,37,38,5
1194,122,2,Oct-22,35,36,5
1195,143,13,Oct-22,39,40,4
1196,131,13,Oct-22,35,36,3
1197,301,26,Oct-22,35,36,4
1198,506,6,Oct-22,35,36,5
1199,388,54,Oct-22,37,38,5
1200,391,47,Oct-22,39,40,4
1201,3,14,Oct-22,37,38,5
1202,438,53,TBD,TBD,TBD,TBD
1203,116,9,TBD,TBD,TBD,TBD
1204,66,13,Oct-22,39,40,5
1205,101,3,TBD,TBD,TBD,TBD
1206,130,13,Oct-22,35,36,5
1207,15,14,TBD,TBD,TBD,TBD
1209,305,4,Oct-22,37,38,4
1210,260,41,TBD,TBD,TBD,TBD
1211,270,25,TBD,TBD,TBD,TBD
1212,1,14,TBD,TBD,TBD,TBD
1213,104,9,TBD,TBD,TBD,TBD
1214,406,47,TBD,TBD,TBD,TBD
1215,120,2,TBD,TBD,TBD,TBD
1216,53,5,Oct-22,39,40,5
1217,294,2,TBD,TBD,TBD,TBD
1218,366,46,TBD,TBD,TBD,TBD
1219,101,3,TBD,TBD,TBD,TBD
1220,90,9,TBD,TBD,TBD,TBD
1221,409,44,Oct-22,35,36,4
1222,14,14,Oct-22,39,40,4
1223,97,3,Oct-22,39,40,5
1224,14,14,Oct-22,35,36,4
1225,101,3,TBD,TBD,TBD,TBD
1226,149,12,TBD,TBD,TBD,TBD
1227,30,3,Oct-22,35,36,4
1228,269,25,TBD,TBD,TBD,TBD
1229,13,14,Oct-22,39,40,5
1230,364,46,TBD,TBD,TBD,TBD
1231,379,47,Oct-22,37,38,5
1232,81,5,Oct-22,35,36,3
1233,258,41,TBD,TBD,TBD,TBD
1234,257,41,TBD,TBD,TBD,TBD
1235,86,6,Oct-22,39,40,3
1236,302,26,Oct-22,37,38,4
1237,299,26,Oct-22,39,40,4
1238,310,26,Oct-22,37,38,5
1239,217,21,TBD,TBD,TBD,TBD
1240,367,46,TBD,TBD,TBD,TBD
1241,418,52,TBD,TBD,TBD,TBD
1242,294,2,Oct-22,37,38,5
1243,312,75,Oct-22,37,38,5
1244,35,2,Oct-22,39,40,3
1245,114,9,Oct-22,35,36,5
1247,258,41,TBD,TBD,TBD,TBD
1248,144,12,Oct-22,35,36,5
1249,74,5,Oct-22,37,38,4
1252,380,47,Oct-22,37,38,4
1253,82,5,TBD,TBD,TBD,TBD
1254,76,5,Oct-22,37,38,4
1255,309,26,Oct-22,39,40,4
1256,266,25,TBD,TBD,TBD,TBD
1257,74,5,TBD,TBD,TBD,TBD
1259,258,41,TBD,TBD,TBD,TBD
1260,143,13,Oct-22,39,40,3
1261,310,26,Oct-22,39,40,5
1263,254,41,TBD,TBD,TBD,TBD
1264,222,21,TBD,TBD,TBD,TBD
1265,340,40,TBD,TBD,TBD,TBD
1266,130,13,Oct-22,39,40,4
1267,441,53,TBD,TBD,TBD,TBD
1268,300,26,TBD,TBD,TBD,TBD
1270,39,2,Oct-22,35,36,5
1271,138,14,Oct-22,35,36,4
1272,74,5,Oct-22,37,38,3
1273,389,47,Oct-22,37,38,4
1274,441,53,TBD,TBD,TBD,TBD
1275,482,25,TBD,TBD,TBD,TBD
1276,444,53,TBD,TBD,TBD,TBD
1277,438,53,TBD,TBD,TBD,TBD
1279,59,6,Oct-22,35,36,5
1280,388,54,Oct-22,35,36,4
1281,42,4,Oct-22,35,36,5
1282,407,47,TBD,TBD,TBD,TBD
1283,93,3,TBD,TBD,TBD,TBD
1284,16,3,TBD,TBD,TBD,TBD
1285,418,52,Oct-22,37,38,5
1286,41,4,Oct-22,35,36,4
1287,296,26,Oct-22,35,36,5
1288,296,26,Oct-22,35,36,3
1289,221,21,TBD,TBD,TBD,TBD
1290,304,4,Oct-22,35,36,4
1291,367,46,TBD,TBD,TBD,TBD
1292,312,75,Oct-22,37,38,4
1293,30,3,Oct-22,39,40,3
1294,247,21,Oct-22,39,40,4
1295,350,44,TBD,TBD,TBD,TBD
1296,569,6,Oct-22,39,40,3
1297,93,3,TBD,TBD,TBD,TBD
1298,302,26,TBD,TBD,TBD,TBD
1299,364,46,Oct-22,35,36,4
1300,302,26,Oct-22,39,40,5
1301,312,75,Oct-22,35,36,5
1302,311,20,TBD,TBD,TBD,TBD
1303,81,5,TBD,TBD,TBD,TBD
1304,247,21,Oct-22,35,36,5
1305,441,53,TBD,TBD,TBD,TBD
1306,387,46,Oct-22,39,40,5
1307,262,25,TBD,TBD,TBD,TBD
1308,380,47,Oct-22,37,38,4
1309,312,75,Oct-22,35,36,5
1310,251,25,Oct-22,39,40,4
1311,16,3,Oct-22,37,38,4
1312,310,26,Oct-22,35,36,4
1313,77,6,Oct-22,35,36,4
1314,24,2,TBD,TBD,TBD,TBD
1315,381,54,Oct-22,39,40,4
1316,439,53,TBD,TBD,TBD,TBD
1317,294,2,Oct-22,39,40,4
1318,122,2,Oct-22,39,40,4
1319,122,2,Oct-22,37,38,4
1320,122,2,Oct-22,39,40,5
1321,299,26,Oct-22,39,40,4
1322,308,26,Oct-22,35,36,4
1323,278,25,Oct-22,39,40,4
1324,366,46,TBD,TBD,TBD,TBD
1325,366,46,TBD,TBD,TBD,TBD
1326,429,47,Oct-22,35,36,4
1327,243,25,TBD,TBD,TBD,TBD
1328,364,46,Oct-22,37,38,3
1329,247,21,Oct-22,35,36,3
1330,222,21,TBD,TBD,TBD,TBD
1331,223,21,TBD,TBD,TBD,TBD
1332,426,52,Oct-22,37,38,4
1333,222,21,TBD,TBD,TBD,TBD
1334,372,46,Oct-22,37,38,3
1335,315,75,Oct-22,37,38,3
1336,311,20,TBD,TBD,TBD,TBD
1337,304,4,Oct-22,37,38,4
1338,16,3,Oct-22,35,36,3
1339,41,4,Oct-22,37,38,5
1340,20,2,Oct-22,39,40,4
1341,254,41,TBD,TBD,TBD,TBD
1342,128,13,Oct-22,35,36,4
1344,315,75,Oct-22,39,40,4
1345,314,75,Oct-22,37,38,4
1346,143,13,Oct-22,37,38,4
1347,87,6,Oct-22,39,40,4
1348,300,26,Oct-22,37,38,4
1349,109,9,Oct-22,35,36,4
1350,315,75,Oct-22,39,40,4
1351,317,20,Oct-22,37,38,4
1352,300,26,TBD,TBD,TBD,TBD
1353,128,13,Oct-22,35,36,5
1354,301,26,Oct-22,39,40,4
1355,302,26,Oct-22,37,38,4
1356,251,25,Oct-22,37,38,5
1357,387,46,Oct-22,37,38,5
1358,36,4,Oct-22,37,38,4
1359,36,4,Oct-22,37,38,4
1360,317,20,TBD,TBD,TBD,TBD
1361,426,52,Oct-22,39,40,3
1362,15,14,TBD,TBD,TBD,TBD
1363,21,2,TBD,TBD,TBD,TBD
1364,365,57,TBD,TBD,TBD,TBD
1365,436,53,TBD,TBD,TBD,TBD
1366,440,53,TBD,TBD,TBD,TBD
1367,32,3,Oct-22,39,40,5
1368,218,21,TBD,TBD,TBD,TBD
1369,364,46,Oct-22,39,40,2
1370,365,57,TBD,TBD,TBD,TBD
1371,580,25,TBD,TBD,TBD,TBD
1372,299,26,Oct-22,37,38,4
1373,24,2,TBD,TBD,TBD,TBD
1374,91,9,TBD,TBD,TBD,TBD
1375,97,3,TBD,TBD,TBD,TBD
1376,152,41,Oct-22,35,36,5
1377,270,25,TBD,TBD,TBD,TBD
1378,247,21,Oct-22,39,40,5
1379,301,26,Oct-22,37,38,3
1380,375,46,Oct-22,35,36,2
1381,372,46,Oct-22,39,40,4
1382,39,2,Oct-22,39,40,5
1383,29,4,Oct-22,39,40,4
1384,389,47,TBD,TBD,TBD,TBD
1385,305,4,Oct-22,39,40,5
1386,262,25,TBD,TBD,TBD,TBD
1387,108,9,Oct-22,37,38,4
1388,248,21,TBD,TBD,TBD,TBD
1389,414,52,Oct-22,35,36,3
1390,111,9,TBD,TBD,TBD,TBD
1391,94,3,Oct-22,37,38,4
1392,300,26,Oct-22,39,40,4
1393,413,52,Oct-22,35,36,3
1394,435,53,TBD,TBD,TBD,TBD
1395,272,25,TBD,TBD,TBD,TBD
1396,441,53,TBD,TBD,TBD,TBD
1397,384,46,Oct-22,39,40,4
1398,108,9,Oct-22,37,38,3
1399,315,75,Oct-22,37,38,3
1400,21,2,Oct-22,35,36,4
1401,265,25,TBD,TBD,TBD,TBD
1403,18,2,TBD,TBD,TBD,TBD
1404,269,25,TBD,TBD,TBD,TBD
1405,61,6,Oct-22,39,40,4
1406,286,75,TBD,TBD,TBD,TBD
1407,221,21,TBD,TBD,TBD,TBD
1408,97,3,Oct-22,37,38,3
1409,65,6,Oct-22,35,36,4
1410,223,21,Oct-22,39,40,5
1411,366,46,TBD,TBD,TBD,TBD
1412,381,54,TBD,TBD,TBD,TBD
1413,270,25,TBD,TBD,TBD,TBD
1414,384,46,TBD,TBD,TBD,TBD
1415,421,52,TBD,TBD,TBD,TBD
1416,207,19,TBD,TBD,TBD,TBD
1417,364,46,Oct-22,37,38,5
1418,341,25,TBD,TBD,TBD,TBD
1419,248,21,Oct-22,35,36,5
1420,264,25,TBD,TBD,TBD,TBD
1421,278,25,Oct-22,35,36,5
1422,204,19,Oct-22,39,40,2
1423,203,19,TBD,TBD,TBD,TBD
1424,290,75,Oct-22,39,40,5
1425,248,21,TBD,TBD,TBD,TBD
1426,259,41,Oct-22,35,36,3
1427,218,21,Oct-22,39,40,4
1428,204,19,Oct-22,35,36,4
1429,213,19,TBD,TBD,TBD,TBD
1430,439,53,TBD,TBD,TBD,TBD
1431,418,52,Oct-22,35,36,4
1432,204,19,TBD,TBD,TBD,TBD
1433,222,21,TBD,TBD,TBD,TBD
1434,391,47,Oct-22,39,40,4
1435,413,52,Oct-22,37,38,2
1436,107,9,Oct-22,39,40,3
1437,406,47,Oct-22,39,40,2
1438,405,46,TBD,TBD,TBD,TBD
1439,405,46,Oct-22,39,40,3
