Location Number,Capabilities,June 3 Hours,Week 19 (6/4-5) Additional Hours
4944,Instore Only,8,18
4946,Fuel + Instore,11,23
4947,Fuel + Instore,11,23
4948,Fuel + Instore,11,23
4950,Fuel + Instore,11,23
4952,Fuel + Instore,11,23
4955,Fuel + Instore,11,23
4958,Fuel + Instore,11,23
4961,Fuel + Instore,11,23
4962,Fuel + Instore,11,23
4963,Fuel + Instore,11,23
4969,Fuel + Instore,11,23
4972,Fuel + Instore,11,23
4973,Fuel + Instore,11,23
4974,Fuel + Instore,11,23
4982,Instore Only,8,18
4983,Fuel + Instore,11,23
4985,Fuel + Instore,11,23
4987,Fuel + Instore,11,23
4989,Fuel + Instore,11,23
4990,Fuel + Instore,11,23
4991,Fuel + Instore,11,23
4992,Fuel + Instore,11,23
4994,Fuel + Instore,11,23
4996,Fuel + Instore,11,23
4998,Fuel + Instore,11,23
4999,Fuel + Instore,11,23
6181,Fuel + Instore,11,23
6188,Fuel + Instore,11,23
6189,Fuel + Instore,11,23
6201,Instore Only,8,18
6202,Instore Only,8,18
6203,Fuel + Instore,11,23
6204,Fuel + Instore,11,23
6205,Fuel + Instore,11,23
6212,Fuel + Instore,11,23
6213,Fuel + Instore,11,23
6214,Instore Only,8,18
6216,Fuel + Instore,11,23
6217,Fuel + Instore,11,23
6218,Fuel + Instore,11,23
6219,Fuel + Instore,11,23
6220,Fuel + Instore,11,23
6228,Fuel + Instore,11,23
6235,Instore Only,8,18
6236,Fuel + Instore,11,23
6238,Fuel + Instore,11,23
6239,Instore Only,8,18
6240,Fuel + Instore,11,23
6242,Fuel + Instore,11,23
6244,Fuel + Instore,11,23
6245,Fuel + Instore,11,23
6246,Fuel + Instore,11,23
6247,Fuel + Instore,11,23
6249,Fuel + Instore,11,23
6251,Fuel + Instore,11,23
6252,Instore Only,8,18
6254,Fuel + Instore,11,23
6255,Fuel + Instore,11,23
6256,Fuel + Instore,11,23
6257,Fuel + Instore,11,23
6259,Instore Only,8,18
6260,Fuel + Instore,11,23
6261,Fuel + Instore,11,23
6262,Fuel + Instore,11,23
6265,Fuel + Instore,11,23
6267,Fuel + Instore,11,23
6269,Fuel + Instore,11,23
6275,Fuel + Instore,11,23
6302,Fuel + Instore,11,23
6304,Instore Only,8,18
6305,Fuel + Instore,11,23
6307,Instore Only,8,18
6308,Fuel + Instore,11,23
6309,Fuel + Instore,11,23
6310,Fuel + Instore,11,23
6311,Fuel + Instore,11,23
6312,Fuel + Instore,11,23
6313,Fuel + Instore,11,23
6314,Fuel + Instore,11,23
6315,Instore Only,8,18
6317,Fuel + Instore,11,23
6319,Fuel + Instore,11,23
6320,Fuel + Instore,11,23
6321,Instore Only,8,18
6322,Fuel + Instore,11,23
6324,Fuel + Instore,11,23
6325,Instore Only,8,18
6326,Fuel + Instore,11,23
6327,Fuel + Instore,11,23
6328,Fuel + Instore,11,23
6329,Fuel + Instore,11,23
6330,Fuel + Instore,11,23
6331,Fuel + Instore,11,23
6332,Fuel + Instore,11,23
6333,Fuel + Instore,11,23
6334,Instore Only,8,18
6335,Fuel + Instore,11,23
6336,Fuel + Instore,11,23
6338,Fuel + Instore,11,23
6339,Fuel + Instore,11,23
6341,Instore Only,8,18
6342,Fuel + Instore,11,23
6343,Fuel + Instore,11,23
6344,Fuel + Instore,11,23
6345,Fuel + Instore,11,23
6347,Fuel + Instore,11,23
6348,Fuel + Instore,11,23
6349,Instore Only,8,18
6350,Fuel + Instore,11,23
6351,Fuel + Instore,11,23
6352,Fuel + Instore,11,23
6353,Fuel + Instore,11,23
6354,Fuel + Instore,11,23
6355,Fuel + Instore,11,23
6356,Instore Only,8,18
6357,Fuel + Instore,11,23
6358,Fuel + Instore,11,23
6359,Fuel + Instore,11,23
6360,Fuel + Instore,11,23
6361,Fuel + Instore,11,23
6363,Fuel + Instore,11,23
6364,Fuel + Instore,11,23
6365,Fuel + Instore,11,23
6366,Instore Only,8,18
6367,Fuel + Instore,11,23
6368,Fuel + Instore,11,23
6369,Fuel + Instore,11,23
6371,Fuel + Instore,11,23
6372,Fuel + Instore,11,23
6373,Fuel + Instore,11,23
6375,Fuel + Instore,11,23
6376,Fuel + Instore,11,23
6377,Fuel + Instore,11,23
6378,Fuel + Instore,11,23
6379,Fuel + Instore,11,23
6380,Fuel + Instore,11,23
6381,Fuel + Instore,11,23
6382,Fuel + Instore,11,23
6383,Fuel + Instore,11,23
6384,Fuel + Instore,11,23
6385,Fuel + Instore,11,23
6386,Fuel + Instore,11,23
6387,Fuel + Instore,11,23
6388,Fuel + Instore,11,23
6401,Fuel + Instore,11,23
6402,Fuel + Instore,11,23
6403,Fuel + Instore,11,23
6404,Instore Only,8,18
6405,Fuel + Instore,11,23
6406,Fuel + Instore,11,23
6407,Fuel + Instore,11,23
6408,Fuel + Instore,11,23
6409,Fuel + Instore,11,23
6410,Fuel + Instore,11,23
6412,Fuel + Instore,11,23
6413,Fuel + Instore,11,23
6414,Fuel + Instore,11,23
6415,Fuel + Instore,11,23
6417,Instore Only,8,18
6418,Fuel + Instore,11,23
6419,Fuel + Instore,11,23
6420,Fuel + Instore,11,23
6421,Fuel + Instore,11,23
6422,Fuel + Instore,11,23
6423,Fuel + Instore,11,23
6424,Fuel + Instore,11,23
6425,Fuel + Instore,11,23
6426,Fuel + Instore,11,23
6427,Instore Only,8,18
6428,Fuel + Instore,11,23
6429,Fuel + Instore,11,23
6430,Fuel + Instore,11,23
6431,Instore Only,8,18
6432,Fuel + Instore,11,23
6433,Fuel + Instore,11,23
6434,Fuel + Instore,11,23
6435,Fuel + Instore,11,23
6436,Instore Only,8,18
6437,Fuel + Instore,11,23
6439,Fuel + Instore,11,23
6440,Instore Only,8,18
6441,Fuel + Instore,11,23
6443,Fuel + Instore,11,23
6444,Fuel + Instore,11,23
6445,Fuel + Instore,11,23
6448,Fuel + Instore,11,23
6449,Fuel + Instore,11,23
6450,Fuel + Instore,11,23
6452,Fuel + Instore,11,23
6453,Fuel + Instore,11,23
6454,Fuel + Instore,11,23
6455,Instore Only,8,18
6456,Fuel + Instore,11,23
6457,Fuel + Instore,11,23
6458,Fuel + Instore,11,23
6460,Fuel + Instore,11,23
6461,Fuel + Instore,11,23
6462,Instore Only,8,18
6463,Fuel + Instore,11,23
6464,Fuel + Instore,11,23
6471,Fuel + Instore,11,23
6472,Fuel + Instore,11,23
6474,Fuel + Instore,11,23
6479,Instore Only,8,18
6482,Fuel + Instore,11,23
6485,Instore Only,8,18
6487,Fuel + Instore,11,23
6489,Fuel + Instore,11,23
6501,Fuel + Instore,11,23
6502,Fuel + Instore,11,23
6503,Fuel + Instore,11,23
6505,Fuel + Instore,11,23
6506,Fuel + Instore,11,23
6507,Fuel + Instore,11,23
6509,Instore Only,8,18
6510,Fuel + Instore,11,23
6512,Fuel + Instore,11,23
6514,Fuel + Instore,11,23
6517,Fuel + Instore,11,23
6518,Fuel + Instore,11,23
6520,Fuel + Instore,11,23
6521,Fuel + Instore,11,23
6522,Instore Only,8,18
6524,Fuel + Instore,11,23
6527,Fuel + Instore,11,23
6528,Fuel + Instore,11,23
6533,Fuel + Instore,11,23
6535,Fuel + Instore,11,23
6536,Fuel + Instore,11,23
6539,Instore Only,8,18
6540,Instore Only,8,18
6547,Fuel + Instore,11,23
6549,Fuel + Instore,11,23
6556,Instore Only,8,18
6562,Fuel + Instore,11,23
6565,Fuel + Instore,11,23
6567,Instore Only,8,18
6568,Fuel + Instore,11,23
6569,Fuel + Instore,11,23
6570,Instore Only,8,18
6571,Fuel + Instore,11,23
6572,Fuel + Instore,11,23
6573,Fuel + Instore,11,23
6575,Fuel + Instore,11,23
6581,Fuel + Instore,11,23
6582,Fuel + Instore,11,23
6604,Fuel + Instore,11,23
6605,Fuel + Instore,11,23
6606,Fuel + Instore,11,23
6608,Fuel + Instore,11,23
6609,Fuel + Instore,11,23
6610,Fuel + Instore,11,23
6612,Instore Only,8,18
6613,Fuel + Instore,11,23
6614,Fuel + Instore,11,23
6615,Fuel + Instore,11,23
6616,Fuel + Instore,11,23
6617,Fuel + Instore,11,23
6619,Fuel + Instore,11,23
6620,Fuel + Instore,11,23
6621,Fuel + Instore,11,23
6622,Fuel + Instore,11,23
6624,Fuel + Instore,11,23
6626,Instore Only,8,18
6628,Instore Only,8,18
6630,Instore Only,8,18
6631,Fuel + Instore,11,23
6632,Instore Only,8,18
6633,Instore Only,8,18
6634,Fuel + Instore,11,23
6635,Instore Only,8,18
6636,Fuel + Instore,11,23
6637,Instore Only,8,18
6643,Fuel + Instore,11,23
6644,Fuel + Instore,11,23
6646,Fuel + Instore,11,23
6650,Fuel + Instore,11,23
6651,Fuel + Instore,11,23
6652,Fuel + Instore,11,23
6653,Instore Only,8,18
6655,Fuel + Instore,11,23
6657,Fuel + Instore,11,23
6658,Fuel + Instore,11,23
6659,Fuel + Instore,11,23
6660,Fuel + Instore,11,23
6661,Fuel + Instore,11,23
6662,Fuel + Instore,11,23
6663,Fuel + Instore,11,23
6664,Fuel + Instore,11,23
6666,Instore Only,8,18
6667,Fuel + Instore,11,23
6670,Fuel + Instore,11,23
6671,Instore Only,8,18
6672,Fuel + Instore,11,23
6673,Instore Only,8,18
6674,Instore Only,8,18
6675,Fuel + Instore,11,23
6676,Fuel + Instore,11,23
6677,Fuel + Instore,11,23
6678,Fuel + Instore,11,23
6679,Fuel + Instore,11,23
6682,Fuel + Instore,11,23
6683,Fuel + Instore,11,23
6684,Fuel + Instore,11,23
6685,Fuel + Instore,11,23
6686,Fuel + Instore,11,23
6692,Fuel + Instore,11,23
6693,Instore Only,8,18
6779,Fuel + Instore,11,23
6781,Fuel + Instore,11,23
6867,Fuel + Instore,11,23
6976,Fuel + Instore,11,23
6979,Fuel + Instore,11,23
7189,Fuel + Instore,11,23
7191,Instore Only,8,18
7658,Fuel + Instore,11,23
7676,Fuel + Instore,11,23
8102,Fuel + Instore,11,23
8104,Fuel + Instore,11,23
8106,Fuel + Instore,11,23
8107,Fuel + Instore,11,23
8111,Fuel + Instore,11,23
8112,Fuel + Instore,11,23
8114,Fuel + Instore,11,23
8115,Fuel + Instore,11,23
8116,Fuel + Instore,11,23
8117,Fuel + Instore,11,23
8119,Fuel + Instore,11,23
8120,Fuel + Instore,11,23
8123,Fuel + Instore,11,23
8125,Fuel + Instore,11,23
8126,Fuel + Instore,11,23
8128,Instore Only,8,18
8129,Fuel + Instore,11,23
8130,Fuel + Instore,11,23
8132,Instore Only,8,18
8133,Instore Only,8,18
8134,Fuel + Instore,11,23
8135,Fuel + Instore,11,23
8136,Fuel + Instore,11,23
8138,Fuel + Instore,11,23
8139,Fuel + Instore,11,23
8141,Fuel + Instore,11,23
8142,Fuel + Instore,11,23
8144,Fuel + Instore,11,23
8145,Fuel + Instore,11,23
8146,Fuel + Instore,11,23
8147,Fuel + Instore,11,23
8149,Instore Only,8,18
8150,Fuel + Instore,11,23
8151,Fuel + Instore,11,23
8152,Fuel + Instore,11,23
8153,Fuel + Instore,11,23
8155,Fuel + Instore,11,23
8156,Fuel + Instore,11,23
8157,Fuel + Instore,11,23
8158,Fuel + Instore,11,23
8160,Fuel + Instore,11,23
8161,Fuel + Instore,11,23
8162,Fuel + Instore,11,23
8163,Instore Only,8,18
8164,Instore Only,8,18
8165,Fuel + Instore,11,23
8166,Instore Only,8,18
8167,Instore Only,8,18
8168,Fuel + Instore,11,23
8169,Fuel + Instore,11,23
8172,Fuel + Instore,11,23
8173,Instore Only,8,18
8174,Fuel + Instore,11,23
8175,Fuel + Instore,11,23
8176,Fuel + Instore,11,23
8177,Fuel + Instore,11,23
8180,Fuel + Instore,11,23
8181,Fuel + Instore,11,23
8182,Fuel + Instore,11,23
8183,Fuel + Instore,11,23
8184,Fuel + Instore,11,23
8185,Instore Only,8,18
8186,Fuel + Instore,11,23
8188,Fuel + Instore,11,23
8189,Fuel + Instore,11,23
8190,Fuel + Instore,11,23
8191,Fuel + Instore,11,23
8192,Fuel + Instore,11,23
8193,Fuel + Instore,11,23
8194,Fuel + Instore,11,23
8196,Fuel + Instore,11,23
8197,Fuel + Instore,11,23
8201,Fuel + Instore,11,23
8202,Fuel + Instore,11,23
8203,Fuel + Instore,11,23
8205,Fuel + Instore,11,23
8207,Fuel + Instore,11,23
8208,Fuel + Instore,11,23
8209,Fuel + Instore,11,23
8210,Fuel + Instore,11,23
8211,Instore Only,8,18
8213,Fuel + Instore,11,23
8215,Fuel + Instore,11,23
8218,Fuel + Instore,11,23
8219,Instore Only,8,18
8220,Fuel + Instore,11,23
8221,Fuel + Instore,11,23
8222,Fuel + Instore,11,23
8223,Fuel + Instore,11,23
8224,Fuel + Instore,11,23
8225,Fuel + Instore,11,23
8226,Fuel + Instore,11,23
8227,Fuel + Instore,11,23
8228,Fuel + Instore,11,23
8236,Fuel + Instore,11,23
8237,Fuel + Instore,11,23
8238,Fuel + Instore,11,23
8239,Fuel + Instore,11,23
8241,Fuel + Instore,11,23
8242,Fuel + Instore,11,23
8243,Fuel + Instore,11,23
8244,Fuel + Instore,11,23
8245,Fuel + Instore,11,23
8246,Fuel + Instore,11,23
8247,Fuel + Instore,11,23
8248,Fuel + Instore,11,23
8250,Fuel + Instore,11,23
8251,Fuel + Instore,11,23
8252,Fuel + Instore,11,23
8253,Fuel + Instore,11,23
8254,Fuel + Instore,11,23
8256,Fuel + Instore,11,23
8257,Fuel + Instore,11,23
8259,Fuel + Instore,11,23
8261,Fuel + Instore,11,23
8262,Fuel + Instore,11,23
8263,Fuel + Instore,11,23
8264,Fuel + Instore,11,23
8265,Fuel + Instore,11,23
8266,Fuel + Instore,11,23
8267,Fuel + Instore,11,23
8268,Fuel + Instore,11,23
8269,Instore Only,8,18
8270,Fuel + Instore,11,23
8271,Fuel + Instore,11,23
8272,Fuel + Instore,11,23
8273,Fuel + Instore,11,23
8274,Fuel + Instore,11,23
8275,Fuel + Instore,11,23
8276,Fuel + Instore,11,23
8277,Fuel + Instore,11,23
8278,Fuel + Instore,11,23
8279,Fuel + Instore,11,23
8280,Fuel + Instore,11,23
8281,Fuel + Instore,11,23
8282,Fuel + Instore,11,23
8283,Fuel + Instore,11,23
8284,Fuel + Instore,11,23
8285,Fuel + Instore,11,23
8286,Fuel + Instore,11,23
8287,Fuel + Instore,11,23
8288,Fuel + Instore,11,23
8289,Fuel + Instore,11,23
8290,Fuel + Instore,11,23
8291,Fuel + Instore,11,23
8292,Fuel + Instore,11,23
8293,Fuel + Instore,11,23
8294,Fuel + Instore,11,23
8295,Fuel + Instore,11,23
8296,Fuel + Instore,11,23
8297,Fuel + Instore,11,23
8298,Fuel + Instore,11,23
8299,Fuel + Instore,11,23
1,Fuel + Pickup + Instore,16,33
2,Instore Only,8,18
3,Instore Only,8,18
4,Pickup + Instore,13,28
5,Pickup + Instore,13,28
7,Pickup + Instore,13,28
8,Instore Only,8,18
9,Instore Only,8,18
10,Instore Only,8,18
11,Instore Only,8,18
12,Pickup + Instore,13,28
13,Pickup + Instore,13,28
14,Instore Only,8,18
15,Instore Only,8,18
16,Pickup + Instore,13,28
17,Pickup + Instore,13,28
18,Instore Only,8,18
19,Pickup + Instore,13,28
20,Instore Only,8,18
21,Instore Only,8,18
22,Instore Only,8,18
23,Pickup + Instore,13,28
24,Pickup + Instore,13,28
25,Instore Only,8,18
26,Pickup + Instore,13,28
27,Instore Only,8,18
28,Instore Only,8,18
29,Pickup + Instore,13,28
30,Instore Only,8,18
31,Instore Only,8,18
33,Instore Only,8,18
34,Instore Only,8,18
35,Pickup + Instore,13,28
36,Pickup + Instore,13,28
37,Pickup + Instore,13,28
38,Instore Only,8,18
39,Instore Only,8,18
40,Instore Only,8,18
41,Pickup + Instore,13,28
42,Instore Only,8,18
43,Instore Only,8,18
45,Pickup + Instore,13,28
46,Instore Only,8,18
47,Instore Only,8,18
48,Instore Only,8,18
49,Instore Only,8,18
50,Instore Only,8,18
51,Instore Only,8,18
52,Pickup + Instore,13,28
54,Pickup + Instore,13,28
55,Instore Only,8,18
56,Instore Only,8,18
58,Fuel + Instore,11,23
59,Pickup + Instore,13,28
60,Pickup + Instore,13,28
61,Instore Only,8,18
62,Instore Only,8,18
63,Instore Only,8,18
64,Instore Only,8,18
65,Instore Only,8,18
66,Instore Only,8,18
67,Instore Only,8,18
68,Instore Only,8,18
69,Pickup + Instore,13,28
70,Pickup + Instore,13,28
71,Instore Only,8,18
72,Instore Only,8,18
73,Pickup + Instore,13,28
74,Instore Only,8,18
75,Pickup + Instore,13,28
76,Instore Only,8,18
77,Instore Only,8,18
78,Instore Only,8,18
79,Pickup + Instore,13,28
80,Pickup + Instore,13,28
81,Instore Only,8,18
82,Instore Only,8,18
83,Instore Only,8,18
85,Pickup + Instore,13,28
86,Pickup + Instore,13,28
87,Instore Only,8,18
88,Instore Only,8,18
89,Instore Only,8,18
90,Instore Only,8,18
91,Instore Only,8,18
92,Instore Only,8,18
93,Instore Only,8,18
94,Pickup + Instore,13,28
95,Pickup + Instore,13,28
96,Instore Only,8,18
97,Pickup + Instore,13,28
98,Instore Only,8,18
99,Pickup + Instore,13,28
100,Fuel + Pickup + Instore,16,33
101,Instore Only,8,18
102,Instore Only,8,18
103,Pickup + Instore,13,28
104,Instore Only,8,18
105,Instore Only,8,18
106,Instore Only,8,18
107,Instore Only,8,18
108,Instore Only,8,18
109,Instore Only,8,18
110,Fuel + Pickup + Instore,16,33
111,Instore Only,8,18
112,Instore Only,8,18
113,Pickup + Instore,13,28
114,Instore Only,8,18
115,Instore Only,8,18
118,Instore Only,8,18
119,Instore Only,8,18
120,Instore Only,8,18
121,Instore Only,8,18
122,Pickup + Instore,13,28
123,Instore Only,8,18
124,Instore Only,8,18
125,Pickup + Instore,13,28
126,Pickup + Instore,13,28
127,Instore Only,8,18
128,Pickup + Instore,13,28
129,Pickup + Instore,13,28
130,Instore Only,8,18
131,Instore Only,8,18
132,Instore Only,8,18
133,Instore Only,8,18
134,Instore Only,8,18
135,Instore Only,8,18
137,Pickup + Instore,13,28
138,Pickup + Instore,13,28
139,Instore Only,8,18
140,Pickup + Instore,13,28
141,Pickup + Instore,13,28
143,Instore Only,8,18
144,Pickup + Instore,13,28
145,Instore Only,8,18
146,Instore Only,8,18
147,Pickup + Instore,13,28
148,Pickup + Instore,13,28
149,Instore Only,8,18
150,Instore Only,8,18
151,Instore Only,8,18
152,Instore Only,8,18
153,Instore Only,8,18
154,Fuel + Pickup + Instore,16,33
155,Pickup + Instore,13,28
157,Pickup + Instore,13,28
158,Instore Only,8,18
159,Pickup + Instore,13,28
160,Instore Only,8,18
161,Instore Only,8,18
162,Instore Only,8,18
163,Fuel + Pickup + Instore,16,33
164,Pickup + Instore,13,28
165,Pickup + Instore,13,28
166,Instore Only,8,18
167,Instore Only,8,18
168,Pickup + Instore,13,28
169,Pickup + Instore,13,28
170,Instore Only,8,18
171,Instore Only,8,18
172,Pickup + Instore,13,28
173,Instore Only,8,18
174,Pickup + Instore,13,28
175,Pickup + Instore,13,28
177,Instore Only,8,18
178,Instore Only,8,18
179,Pickup + Instore,13,28
180,Instore Only,8,18
181,Instore Only,8,18
182,Pickup + Instore,13,28
183,Instore Only,8,18
184,Pickup + Instore,13,28
185,Instore Only,8,18
186,Instore Only,8,18
188,Pickup + Instore,13,28
189,Instore Only,8,18
190,Instore Only,8,18
192,Pickup + Instore,13,28
194,Pickup + Instore,13,28
195,Instore Only,8,18
196,Pickup + Instore,13,28
197,Instore Only,8,18
198,Instore Only,8,18
199,Instore Only,8,18
200,Instore Only,8,18
201,Pickup + Instore,13,28
202,Fuel + Pickup + Instore,16,33
203,Instore Only,8,18
204,Instore Only,8,18
205,Instore Only,8,18
206,Pickup + Instore,13,28
207,Instore Only,8,18
211,Instore Only,8,18
212,Pickup + Instore,13,28
213,Instore Only,8,18
214,Instore Only,8,18
216,Pickup + Instore,13,28
217,Pickup + Instore,13,28
218,Instore Only,8,18
219,Pickup + Instore,13,28
220,Pickup + Instore,13,28
221,Pickup + Instore,13,28
222,Instore Only,8,18
224,Instore Only,8,18
225,Instore Only,8,18
226,Instore Only,8,18
227,Instore Only,8,18
228,Pickup + Instore,13,28
229,Instore Only,8,18
231,Instore Only,8,18
233,Instore Only,8,18
234,Pickup + Instore,13,28
236,Fuel + Instore,11,23
237,Instore Only,8,18
238,Instore Only,8,18
239,Instore Only,8,18
240,Instore Only,8,18
242,Instore Only,8,18
243,Pickup + Instore,13,28
244,Instore Only,8,18
246,Instore Only,8,18
248,Instore Only,8,18
249,Instore Only,8,18
250,Instore Only,8,18
251,Instore Only,8,18
252,Instore Only,8,18
253,Instore Only,8,18
254,Instore Only,8,18
256,Pickup + Instore,13,28
257,Instore Only,8,18
258,Pickup + Instore,13,28
259,Pickup + Instore,13,28
260,Pickup + Instore,13,28
261,Pickup + Instore,13,28
262,Instore Only,8,18
264,Pickup + Instore,13,28
265,Instore Only,8,18
266,Pickup + Instore,13,28
267,Pickup + Instore,13,28
268,Instore Only,8,18
269,Pickup + Instore,13,28
271,Instore Only,8,18
272,Pickup + Instore,13,28
273,Instore Only,8,18
275,Instore Only,8,18
276,Pickup + Instore,13,28
277,Pickup + Instore,13,28
278,Pickup + Instore,13,28
279,Instore Only,8,18
280,Instore Only,8,18
281,Instore Only,8,18
282,Instore Only,8,18
284,Pickup + Instore,13,28
285,Pickup + Instore,13,28
286,Instore Only,8,18
287,Instore Only,8,18
288,Fuel + Instore,11,23
290,Fuel + Pickup + Instore,16,33
292,Instore Only,8,18
294,Instore Only,8,18
295,Pickup + Instore,13,28
296,Pickup + Instore,13,28
297,Pickup + Instore,13,28
298,Pickup + Instore,13,28
299,Pickup + Instore,13,28
300,Pickup + Instore,13,28
301,Pickup + Instore,13,28
302,Pickup + Instore,13,28
303,Instore Only,8,18
304,Pickup + Instore,13,28
305,Instore Only,8,18
306,Pickup + Instore,13,28
307,Pickup + Instore,13,28
308,Instore Only,8,18
309,Pickup + Instore,13,28
310,Pickup + Instore,13,28
312,Instore Only,8,18
313,Pickup + Instore,13,28
314,Instore Only,8,18
315,Instore Only,8,18
316,Pickup + Instore,13,28
317,Instore Only,8,18
318,Instore Only,8,18
319,Pickup + Instore,13,28
321,Instore Only,8,18
322,Pickup + Instore,13,28
323,Instore Only,8,18
324,Instore Only,8,18
325,Instore Only,8,18
328,Instore Only,8,18
329,Pickup + Instore,13,28
330,Pickup + Instore,13,28
331,Pickup + Instore,13,28
332,Pickup + Instore,13,28
333,Pickup + Instore,13,28
334,Pickup + Instore,13,28
335,Pickup + Instore,13,28
336,Instore Only,8,18
337,Instore Only,8,18
338,Instore Only,8,18
340,Instore Only,8,18
341,Instore Only,8,18
342,Instore Only,8,18
343,Instore Only,8,18
344,Instore Only,8,18
345,Instore Only,8,18
346,Instore Only,8,18
347,Instore Only,8,18
348,Instore Only,8,18
350,Instore Only,8,18
351,Fuel + Pickup + Instore,16,33
353,Instore Only,8,18
354,Instore Only,8,18
355,Pickup + Instore,13,28
356,Pickup + Instore,13,28
357,Instore Only,8,18
358,Pickup + Instore,13,28
359,Pickup + Instore,13,28
360,Instore Only,8,18
361,Pickup + Instore,13,28
362,Instore Only,8,18
363,Instore Only,8,18
364,Instore Only,8,18
365,Pickup + Instore,13,28
366,Instore Only,8,18
368,Instore Only,8,18
369,Instore Only,8,18
370,Instore Only,8,18
371,Pickup + Instore,13,28
372,Instore Only,8,18
373,Fuel + Pickup + Instore,16,33
374,Pickup + Instore,13,28
375,Pickup + Instore,13,28
376,Pickup + Instore,13,28
378,Pickup + Instore,13,28
379,Pickup + Instore,13,28
381,Pickup + Instore,13,28
382,Instore Only,8,18
383,Pickup + Instore,13,28
384,Pickup + Instore,13,28
386,Pickup + Instore,13,28
387,Instore Only,8,18
388,Pickup + Instore,13,28
389,Pickup + Instore,13,28
390,Instore Only,8,18
391,Pickup + Instore,13,28
392,Instore Only,8,18
393,Pickup + Instore,13,28
394,Instore Only,8,18
395,Pickup + Instore,13,28
396,Pickup + Instore,13,28
397,Pickup + Instore,13,28
398,Pickup + Instore,13,28
399,Pickup + Instore,13,28
400,Pickup + Instore,13,28
401,Instore Only,8,18
402,Pickup + Instore,13,28
403,Instore Only,8,18
404,Pickup + Instore,13,28
405,Instore Only,8,18
406,Pickup + Instore,13,28
407,Fuel + Pickup + Instore,16,33
408,Pickup + Instore,13,28
409,Instore Only,8,18
410,Pickup + Instore,13,28
412,Instore Only,8,18
413,Instore Only,8,18
414,Pickup + Instore,13,28
415,Pickup + Instore,13,28
416,Pickup + Instore,13,28
417,Instore Only,8,18
418,Instore Only,8,18
419,Instore Only,8,18
420,Pickup + Instore,13,28
421,Instore Only,8,18
422,Instore Only,8,18
423,Pickup + Instore,13,28
424,Instore Only,8,18
425,Instore Only,8,18
426,Pickup + Instore,13,28
427,Instore Only,8,18
428,Pickup + Instore,13,28
429,Pickup + Instore,13,28
430,Instore Only,8,18
431,Pickup + Instore,13,28
432,Instore Only,8,18
433,Instore Only,8,18
434,Pickup + Instore,13,28
435,Instore Only,8,18
436,Instore Only,8,18
437,Instore Only,8,18
438,Fuel + Instore,11,23
440,Pickup + Instore,13,28
442,Instore Only,8,18
443,Instore Only,8,18
444,Pickup + Instore,13,28
445,Instore Only,8,18
447,Pickup + Instore,13,28
448,Pickup + Instore,13,28
449,Pickup + Instore,13,28
450,Pickup + Instore,13,28
451,Pickup + Instore,13,28
452,Pickup + Instore,13,28
454,Instore Only,8,18
456,Pickup + Instore,13,28
457,Pickup + Instore,13,28
458,Pickup + Instore,13,28
459,Pickup + Instore,13,28
461,Pickup + Instore,13,28
462,Pickup + Instore,13,28
463,Instore Only,8,18
464,Pickup + Instore,13,28
465,Instore Only,8,18
466,Instore Only,8,18
467,Pickup + Instore,13,28
468,Pickup + Instore,13,28
469,Pickup + Instore,13,28
470,Pickup + Instore,13,28
471,Pickup + Instore,13,28
472,Pickup + Instore,13,28
475,Pickup + Instore,13,28
476,Instore Only,8,18
477,Pickup + Instore,13,28
479,Instore Only,8,18
481,Instore Only,8,18
483,Pickup + Instore,13,28
484,Pickup + Instore,13,28
485,Pickup + Instore,13,28
486,Pickup + Instore,13,28
488,Instore Only,8,18
489,Pickup + Instore,13,28
490,Pickup + Instore,13,28
491,Pickup + Instore,13,28
492,Instore Only,8,18
493,Instore Only,8,18
494,Pickup + Instore,13,28
495,Pickup + Instore,13,28
497,Pickup + Instore,13,28
498,Instore Only,8,18
499,Pickup + Instore,13,28
500,Pickup + Instore,13,28
501,Pickup + Instore,13,28
502,Instore Only,8,18
504,Pickup + Instore,13,28
505,Instore Only,8,18
506,Instore Only,8,18
507,Pickup + Instore,13,28
508,Pickup + Instore,13,28
510,Pickup + Instore,13,28
511,Pickup + Instore,13,28
512,Pickup + Instore,13,28
513,Instore Only,8,18
514,Pickup + Instore,13,28
515,Instore Only,8,18
516,Instore Only,8,18
517,Pickup + Instore,13,28
518,Pickup + Instore,13,28
519,Instore Only,8,18
520,Pickup + Instore,13,28
521,Pickup + Instore,13,28
522,Pickup + Instore,13,28
523,Instore Only,8,18
524,Instore Only,8,18
526,Pickup + Instore,13,28
527,Pickup + Instore,13,28
528,Pickup + Instore,13,28
529,Pickup + Instore,13,28
530,Instore Only,8,18
531,Pickup + Instore,13,28
532,Pickup + Instore,13,28
533,Pickup + Instore,13,28
535,Pickup + Instore,13,28
536,Pickup + Instore,13,28
537,Pickup + Instore,13,28
538,Pickup + Instore,13,28
539,Pickup + Instore,13,28
540,Pickup + Instore,13,28
541,Pickup + Instore,13,28
542,Pickup + Instore,13,28
543,Instore Only,8,18
544,Pickup + Instore,13,28
546,Pickup + Instore,13,28
547,Pickup + Instore,13,28
548,Pickup + Instore,13,28
549,Instore Only,8,18
550,Instore Only,8,18
551,Pickup + Instore,13,28
