Mkt,Wk,Reg,Associate Material Handling,Associate Falls,Associate Falling Merchandise,Associate Other,Accident Free Week,Safety Meetings,Late Reporting,Points For the Week,YTD Points, Five Star ,Sales Growth,BU Rank,Company Rank
281,42,75,0,0,3,1,0,0,0,4,39, 4.41 ,0.07%,23,156
183,42,16,0,1,3,0,0,0,0,4,39, 4.39 ,7.26%,24,157
175,42,17,2,1,3,1,0,0,0,7,38, 4.50 ,8.56%,25,163
190,42,17,0,0,0,0,0,0,0,0,38, 4.44 ,9.75%,26,166
172,42,17,2,0,3,0,0,0,0,5,37, 4.45 ,4.77%,27,178
297,42,26,2,1,3,1,7,0,0,14,37, 4.37 ,3.10%,28,183
577,42,17,0,1,3,1,0,0,0,5,36, 4.57 ,7.27%,29,187
165,42,22,0,0,3,0,0,0,0,3,36, 4.46 ,4.07%,30,190
312,42,75,2,1,3,0,0,0,0,6,35, 4.39 ,7.43%,31,207
41,42,4,2,1,3,1,7,0,0,14,35, 4.27 ,10.69%,32,213
168,42,22,0,0,0,0,0,0,0,0,34, 4.43 ,4.80%,33,221
298,42,26,2,1,3,1,0,0,0,7,34, 4.39 ,7.48%,34,222
181,42,16,2,0,0,0,0,0,-3,-1,34, 4.36 ,7.11%,35,224
300,42,26,0,1,3,1,0,0,0,5,33, 4.47 ,5.55%,36,233
280,42,75,0,1,3,1,0,0,0,5,33, 4.42 ,6.87%,37,236
314,42,75,2,0,0,1,0,0,0,3,32, 4.54 ,7.46%,38,245
174,42,17,2,1,0,0,0,0,0,3,32, 4.45 ,5.50%,39,250
124,42,4,2,1,3,1,7,0,0,14,32, 4.44 ,7.95%,40,252
160,42,16,2,1,3,0,0,0,-3,3,32, 4.41 ,8.49%,41,254
320,42,75,0,1,3,0,0,0,0,4,31, 4.64 ,8.02%,42,260
171,42,17,2,0,3,0,0,0,0,5,31, 4.53 ,15.58%,43,261
178,42,22,2,1,3,1,7,0,0,14,31, 4.47 ,5.76%,44,267
306,42,4,2,0,3,0,0,0,-3,2,31, 4.40 ,8.47%,45,274
154,42,16,2,0,3,0,0,0,-3,2,30, 4.46 ,8.46%,46,287
237,42,22,2,0,0,1,0,0,-3,0,30, 4.46 ,6.00%,47,289
289,42,75,0,1,3,0,0,0,-3,1,30, 4.41 ,4.17%,48,296
299,42,26,0,1,3,0,0,0,0,4,30, 4.40 ,4.28%,49,297
42,42,4,2,0,3,1,0,0,0,6,30, 4.39 ,10.89%,50,298
226,42,17,2,1,3,1,0,0,0,7,30, 4.39 ,6.33%,51,300
191,42,17,0,0,3,1,0,0,0,4,30, 4.38 ,11.05%,52,301
304,42,4,2,1,0,1,0,0,0,4,30, 4.38 ,7.83%,53,303
508,42,75,0,1,3,0,0,0,-3,1,29, 4.50 ,3.13%,54,308
157,42,16,2,0,0,1,0,0,0,3,29, 4.47 ,6.19%,55,311
228,42,17,2,0,3,0,0,0,0,5,29, 4.33 ,8.76%,56,320
36,42,4,2,1,3,0,0,0,0,6,29, 4.30 ,4.37%,57,321
189,42,17,2,1,3,0,0,0,0,6,28, 4.41 ,7.31%,58,332
156,42,16,0,1,3,0,0,0,0,4,27, 4.49 ,10.21%,59,342
38,42,4,0,0,3,1,0,0,0,4,26, 4.42 ,8.35%,60,352
233,42,22,2,1,0,1,0,0,-3,1,26, 4.41 ,5.78%,61,353
234,42,22,0,0,3,0,0,0,0,3,25, 4.48 ,6.46%,62,365
170,42,22,2,1,0,1,0,0,0,4,25, 4.45 ,7.49%,63,366
291,42,75,2,1,0,0,0,0,0,3,25, 4.44 ,8.04%,64,368
29,42,4,0,1,3,0,0,0,0,4,25, 4.40 ,6.87%,65,372
231,42,22,2,1,3,0,0,0,0,6,25, 4.39 ,7.69%,66,373
286,42,75,2,1,3,1,0,0,0,7,24, 4.45 ,8.06%,67,381
309,42,26,0,1,0,1,0,0,0,2,24, 4.40 ,5.53%,68,384
292,42,75,2,0,3,0,0,0,-3,2,23, 4.53 ,8.97%,69,385
